阿布石,a'bu'shi
不对称色散,bu'dui'chen'se'san
不对称山脊,bu'dui'chen'shan'ji
不对称碳原子,bu'dui'chen'tan'yuan'zi
不对称褶皱,bu'dui'chen'zhe'zhou
布尔顿规,bu'er'dun'gui
部分熔融,bu'fen'rong'rong
部分运动,bu'fen'yun'dong
布格校正,bu'ge'jiao'zheng
布格剩余异常,bu'ge'sheng'yu'yi'chang
布格异常,bu'ge'yi'chang
布格重力异常,bu'ge'zhong'li'yi'chang
补给,bu'gei
补给井,bu'gei'jing
补给坑,bu'gei'keng
不含煤的,bu'han'mei'de
不混溶岩浆,bu'hun'rong'yan'jiang
捕获晶,bu'huo'jing
不极化电极,bu'ji'hua'dian'ji
补给水,bu'ji'shui
补给线,bu'ji'xian
不胶结物质,bu'jiao'jie'wu'zhi
步进式梁,bu'jin'shi'liang
不具名的,bu'ju'ming'de
不均粒的,bu'jun'li'de
不均压力,bu'jun'ya'li
不均匀变形,bu'jun'yun'bian'xing
不均匀沉陷,bu'jun'yun'chen'xian
不均匀性,bu'jun'yun'xing
不均质核形成,bu'jun'zhi'he'xing'cheng
不可逆吸附,bu'ke'ni'xi'fu
不可逆性,bu'ke'ni'xing
不可压缩性,bu'ke'ya'suo'xing
不可约饱和,bu'ke'yue'bao'he
布拉维点阵,bu'la'wei'dian'zhen
不连续反应系,bu'lian'xu'fan'ying'xi
不连续面,bu'lian'xu'mian
不连续性,bu'lian'xu'xing
不连续褶曲,bu'lian'xu'zhe'qu
不连续值,bu'lian'xu'zhi
卟啉类化合物,bu'lin'lei'hua'he'wu
捕虏岩,bu'lu'yan
不平衡的,bu'ping'heng'de
不全裂,bu'quan'lie
不溶残渣,bu'rong'can'zha
不溶性,bu'rong'xing
哺乳动物学,bu'ru'dong'wu'xue
哺乳类,bu'ru'lei
不渗透透镜体,bu'shen'tou'tou'jing'ti
不渗透性,bu'shen'tou'xing
不蚀变岩石,bu'shi'bian'yan'shi
布氏硬度,bu'shi'ying'du
捕收剂,bu'shou'ji
不透眠缘,bu'tou'mian'yuan
不透蔑,bu'tou'mie
不透水层,bu'tou'shui'ceng
不透水的,bu'tou'shui'de
不完美晶体,bu'wan'mei'jing'ti
不完整式地槽,bu'wan'zheng'shi'di'cao
不稳定的,bu'wen'ding'de
不稳定核,bu'wen'ding'he
不稳定流非稳定流,bu'wen'ding'liu'fei'wen'ding'liu
不稳定同位素,bu'wen'ding'tong'wei'su
不稳定现象,bu'wen'ding'xian'xiang
不稳定元素,bu'wen'ding'yuan'su
不稳平衡,bu'wen'ping'heng
不相容,bu'xiang'rong
不相容原理,bu'xiang'rong'yuan'li
不相容元素,bu'xiang'rong'yuan'su
不谐和褶曲,bu'xie'he'zhe'qu
不锈钢,bu'xiu'gang
不一致化合物,bu'yi'zhi'hua'he'wu
不一致熔融,bu'yi'zhi'rong'rong
不整合,bu'zheng'he
不整合层理,bu'zheng'he'ceng'li
不整合的,bu'zheng'he'de
不整合面,bu'zheng'he'mian
不整合年龄,bu'zheng'he'nian'ling
不整合侵入,bu'zheng'he'qin'ru
不整合侵入岩体,bu'zheng'he'qin'ru'yan'ti
不整合泉,bu'zheng'he'quan
不整合岩基,bu'zheng'he'yan'ji
不整一的,bu'zheng'yi'de
擦痕卵石,ca'hen'luan'shi
擦碎角砾岩,ca'sui'jiao'li'yan
采掘设备,cai'jue'she'bei
采矿等级,cai'kuang'deng'ji
采矿地质学,cai'kuang'di'zhi'xue
采矿权,cai'kuang'quan
采煤,cai'mei
采区边界,cai'qu'bian'jie
彩色物体,cai'se'wu'ti
彩色指数,cai'se'zhi'shu
采石场,cai'shi'chang
采石坑砾石,cai'shi'keng'li'shi
采样法,cai'yang'fa
采样工,cai'yang'gong
采样平面图,cai'yang'ping'mian'tu
采油,cai'you
残斑岩,can'ban'yan
残积层,can'ji'ceng
残积矿床,can'ji'kuang'chuang
参考椭球体,can'kao'tuo'qiu'ti
参考资料,can'kao'zi'liao
残拉角闪岩,can'la'jiao'shan'yan
残留产物,can'liu'chan'wu
残留矿床,can'liu'kuang'chuang
残留亲和力,can'liu'qin'he'li
残留物,can'liu'wu
残缕构造,can'lv'gou'zao
残缕状的,can'lv'zhuang'de
残丘,can'qiu
残热,can're
参数,can'shu
残碎斑晶,can'sui'ban'jing
残遗分布区,can'yi'fen'bu'qu
残遗土壤,can'yi'tu'rang
残遗种,can'yi'zhong
残余,can'yu
残余沉积物,can'yu'chen'ji'wu
残余地槽,can'yu'di'cao
残余构造,can'yu'gou'zao
残余矿物,can'yu'kuang'wu
残余粘土,can'yu'nian'tu
残余山,can'yu'shan
残余水位下降,can'yu'shui'wei'xia'jiang
残余体,can'yu'ti
残余土壤,can'yu'tu'rang
残余物,can'yu'wu
残余岩浆,can'yu'yan'jiang
残植煤,can'zhi'mei
残醉斑状的,can'zui'ban'zhuang'de
草被,cao'bei
草本,cao'ben
草本植被,cao'ben'zhi'bei
草地,cao'di
草地泥炭,cao'di'ni'tan
草甸黑土,cao'dian'hei'tu
槽痕迹,cao'hen'ji
草黄铁矾,cao'huang'tie'fan
草生灰化土,cao'sheng'hui'hua'tu
槽水道,cao'shui'dao
草酸,cao'suan
草酸铁矿,cao'suan'tie'kuang
草酸盐,cao'suan'yan
槽探,cao'tan
草原,cao'yuan
操作,cao'zuo
侧板,ce'ban
侧壁,ce'bi
侧单眼,ce'dan'yan
测地的,ce'di'de
测点,ce'dian
测定井,ce'ding'jing
测度,ce'du
侧分泌说,ce'fen'mi'shuo
测风气球,ce'feng'qi'qiu
测风气球观测,ce'feng'qi'qiu'guan'ce
测高计,ce'gao'ji
侧火山锥,ce'huo'shan'zhui
测角,ce'jiao
测角器,ce'jiao'qi
测角仪,ce'jiao'yi
测井,ce'jing
测井车,ce'jing'che
测井电缆,ce'jing'dian'lan
测井记录解释,ce'jing'ji'lu'jie'shi
测距仪,ce'ju'yi
测量,ce'liang
测量范围,ce'liang'fan'wei
测量线路,ce'liang'xian'lu
测量线圈,ce'liang'xian'quan
测量学,ce'liang'xue
测量仪器,ce'liang'yi'qi
测吝,ce'lin
侧脉,ce'mai
侧面的,ce'mian'de
侧面进水,ce'mian'jin'shui
侧喷发,ce'pen'fa
侧碛,ce'qi
侧碛石,ce'qi'shi
测深,ce'shen
测深计,ce'shen'ji
测深器,ce'shen'qi
测深仪,ce'shen'yi
侧蚀,ce'shi
侧视图,ce'shi'tu
测速表,ce'su'biao
测微计,ce'wei'ji
测微偏振计,ce'wei'pian'zhen'ji
侧向测井,ce'xiang'ce'jing
侧向取岩心,ce'xiang'qu'yan'xin
侧向收缩,ce'xiang'shou'suo
侧向引力,ce'xiang'yin'li
侧向运移,ce'xiang'yun'yi
测压的势能,ce'ya'de'shi'neng
侧压力,ce'ya'li
测压水头,ce'ya'shui'tou
侧夷酌,ce'yi'zhuo
测云仪,ce'yun'yi
侧枝的,ce'zhi'de
层层贯入,ceng'ceng'guan'ru
层层侵入,ceng'ceng'qin'ru
层粗糙度,ceng'cu'cao'du
层电阻率,ceng'dian'zu'lv
层格,ceng'ge
层硅铈钛矿,ceng'gui'shi'tai'kuang
层厚,ceng'hou
层混合岩,ceng'hun'he'yan
层间面理,ceng'jian'mian'li
层理,ceng'li
层吝界层,ceng'lin'jie'ceng
层面,ceng'mian
层面冲断层,ceng'mian'chong'duan'ceng
层面断层,ceng'mian'duan'ceng
层面节理,ceng'mian'jie'li
层面裂开性,ceng'mian'lie'kai'xing
层内运移,ceng'nei'yun'yi
层内褶皱,ceng'nei'zhe'zhou
层凝灰岩,ceng'ning'hui'yan
层速度,ceng'su'du
层位,ceng'wei
层纹状的,ceng'wen'zhuang'de
层型,ceng'xing
层序,ceng'xu
层状,ceng'zhuang
层状的,ceng'zhuang'de
层状硅酸盐,ceng'zhuang'gui'suan'yan
层状火山,ceng'zhuang'huo'shan
层状结构,ceng'zhuang'jie'gou
层状节理,ceng'zhuang'jie'li
层状矿床,ceng'zhuang'kuang'chuang
层状煤,ceng'zhuang'mei
层状片麻岩,ceng'zhuang'pian'ma'yan
层状水,ceng'zhuang'shui
层组,ceng'zu
差别侵蚀,cha'bie'qin'shi
插晶菱沸石,cha'jing'ling'fei'shi
差热分析,cha're'fen'xi
插入夹层,cha'ru'jia'ceng
插入晶,cha'ru'jing
插入物,cha'ru'wu
差异风化,cha'yi'feng'hua
差异聚集,cha'yi'ju'ji
差异压实,cha'yi'ya'shi
叉状分枝,cha'zhuang'fen'zhi
柴苏辉石,chai'su'hui'shi
柴油,chai'you
产地,chan'di
颤动擦痕,chan'dong'ca'hen
颤动说,chan'dong'shuo
缠丝玛瑙,chan'si'ma'nao
产物,chan'wu
铲凿,chan'zao
长波辐射,chang'bo'fu'she
长程有序,chang'cheng'you'xu
长方形的,chang'fang'xing'de
长键,chang'jian
敞开褶皱,chang'kai'zhe'zhou
常劣,chang'lie
常绿的,chang'lv'de
常绿植物,chang'lv'zhi'wu
长霓岩,chang'ni'yan
常年泉,chang'nian'quan
长石,chang'shi
长石白粒岩,chang'shi'bai'li'yan
长石石英岩,chang'shi'shi'ying'yan
长焰煤,chang'yan'mei
长英麻粒岩,chang'ying'ma'li'yan
长英岩浆酌,chang'ying'yan'jiang'zhuo
长英质岩,chang'ying'zhi'yan
长云角页岩,chang'yun'jiao'ye'yan
长朕皱晶,chang'zhen'zhou'jing
长轴坡面,chang'zhou'po'mian
肠状脉,chang'zhuang'mai
肠状岩,chang'zhuang'yan
肠状褶皱,chang'zhuang'zhe'zhou
超变质,chao'bian'zhi
超变质矿床,chao'bian'zhi'kuang'chuang
超大陆,chao'da'lu
超短波,chao'duan'bo
超复,chao'fu
超复圈闭,chao'fu'quan'bi
超格子,chao'ge'zi
超格子反射,chao'ge'zi'fan'she
超基性岩,chao'ji'xing'yan
潮间带,chao'jian'dai
超碱性,chao'jian'xing
潮流,chao'liu
超糜棱岩,chao'mi'leng'yan
超粘土,chao'nian'tu
超群,chao'qun
超深井钻抽技术,chao'shen'jing'zuan'chou'ji'shu
超声波速度测量,chao'sheng'bo'su'du'ce'liang
超石英,chao'shi'ying
超铁镁岩,chao'tie'mei'yan
潮位变化,chao'wei'bian'hua
超微浮游生物,chao'wei'fu'you'sheng'wu
超微化石,chao'wei'hua'shi
超微结构,chao'wei'jie'gou
超微量化学,chao'wei'liang'hua'xue
潮汐,chao'xi
潮汐带,chao'xi'dai
潮汐率,chao'xi'lv
潮汐摩擦,chao'xi'mo'ca
潮汐三角洲,chao'xi'san'jiao'zhou
潮汐学说,chao'xi'xue'shuo
潮下带,chao'xia'dai
朝鲜辉石,chao'xian'hui'shi
超显微镜,chao'xian'wei'jing
超形态形成过程,chao'xing'tai'xing'cheng'guo'cheng
超岩石圈断裂,chao'yan'shi'quan'duan'lie
超铀元素,chao'you'yuan'su
车轮矿,che'lun'kuang
衬垫,chen'dian
沉淀沉淀,chen'dian'chen'dian
沉淀池,chen'dian'chi
沉淀剂,chen'dian'ji
沉淀深度,chen'dian'shen'du
沉淀速度,chen'dian'su'du
沉淀物,chen'dian'wu
沉积,chen'ji
沉积测量法,chen'ji'ce'liang'fa
沉积成因,chen'ji'cheng'yin
沉积成因矿床,chen'ji'cheng'yin'kuang'chuang
沉积池,chen'ji'chi
沉积分析,chen'ji'fen'xi
沉积盖层,chen'ji'gai'ceng
沉积构造,chen'ji'gou'zao
沉积计,chen'ji'ji
沉积间断,chen'ji'jian'duan
沉积尖灭,chen'ji'jian'mie
沉积建造,chen'ji'jian'zao
沉积结构,chen'ji'jie'gou
沉积矿床,chen'ji'kuang'chuang
沉积面,chen'ji'mian
沉积盆地,chen'ji'pen'di
沉积片麻岩,chen'ji'pian'ma'yan
沉积剩余磁化,chen'ji'sheng'yu'ci'hua
沉积速度,chen'ji'su'du
沉积体系,chen'ji'ti'xi
沉积推复体,chen'ji'tui'fu'ti
沉积旋回,chen'ji'xuan'hui
沉积学,chen'ji'xue
沉积岩,chen'ji'yan
沉积岩石学,chen'ji'yan'shi'xue
沉积因子,chen'ji'yin'zi
沉积杂层,chen'ji'za'ceng
沉积中断,chen'ji'zhong'duan
沉积酌,chen'ji'zhuo
沉降带,chen'jiang'dai
沉降海岸,chen'jiang'hai'an
沉没礁,chen'mo'jiao
沉溺三角洲,chen'ni'san'jiao'zhou
辰砂,chen'sha
沉水叶,chen'shui'ye
尘土堆积,chen'tu'dui'ji
沉陷,chen'xian
沉陷速度,chen'xian'su'du
沉陷锥,chen'xian'zhui
沉箱,chen'xiang
成斑酌,cheng'ban'zhuo
成层,cheng'ceng
成层的,cheng'ceng'de
成层构造因子,cheng'ceng'gou'zao'yin'zi
成层矿床,cheng'ceng'kuang'chuang
成层岩,cheng'ceng'yan
成虫,cheng'chong
橙钒钙石,cheng'fan'gai'shi
成分,cheng'fen
橙汞矿,cheng'gong'kuang
橙红砷钠石,cheng'hong'shen'na'shi
橙黄石,cheng'huang'shi
橙尖晶石,cheng'jian'jing'shi
成矿构造学,cheng'kuang'gou'zao'xue
成矿区,cheng'kuang'qu
成矿时代,cheng'kuang'shi'dai
成矿图,cheng'kuang'tu
成矿岩石,cheng'kuang'yan'shi
成矿因素,cheng'kuang'yin'su
成矿元素,cheng'kuang'yuan'su
成矿酌,cheng'kuang'zhuo
成煤酌,cheng'mei'zhuo
城市地质学,cheng'shi'di'zhi'xue
城市遥感,cheng'shi'yao'gan
成孰的,cheng'shu'de
成体,cheng'ti
成土过程,cheng'tu'guo'cheng
成土酌,cheng'tu'zhuo
橙玄玻璃,cheng'xuan'bo'li
承压水,cheng'ya'shui
承压水位,cheng'ya'shui'wei
成岩分异酌,cheng'yan'fen'yi'zhuo
成岩格子,cheng'yan'ge'zi
成岩酌,cheng'yan'zhuo
成盐酌,cheng'yan'zhuo
成因矿物学,cheng'yin'kuang'wu'xue
承载力,cheng'zai'li
橙针钠钙石,cheng'zhen'na'gai'shi
赤道,chi'dao
赤道无风带,chi'dao'wu'feng'dai
赤矾,chi'fan
齿骨,chi'gu
翅基片,chi'ji'pian
持久不断的量,chi'jiu'bu'duan'de'liang
持久度,chi'jiu'du
持久性,chi'jiu'xing
齿轮泵,chi'lun'beng
齿绿松石,chi'lv'song'shi
翅鞘,chi'qiao
齿式,chi'shi
持水当量,chi'shui'dang'liang
持水能,chi'shui'neng
赤铁矿,chi'tie'kuang
赤铁矿化,chi'tie'kuang'hua
赤铜矿,chi'tong'kuang
持续产量,chi'xu'chan'liang
持续化石,chi'xu'hua'shi
持续时间,chi'xu'shi'jian
迟延时间,chi'yan'shi'jian
池沼浮游生物,chi'zhao'fu'you'sheng'wu
齿状的,chi'zhuang'de
齿状钻头,chi'zhuang'zuan'tou
重叠,chong'die
重叠盆地,chong'die'pen'di
冲动,chong'dong
冲断层,chong'duan'ceng
重发射,chong'fa'she
重复,chong'fu
重复冲击,chong'fu'chong'ji
重复矿化,chong'fu'kuang'hua
重复侵入,chong'fu'qin'ru
重复岩墙,chong'fu'yan'qiang
冲沟,chong'gou
冲沟侵蚀,chong'gou'qin'shi
冲花,chong'hua
冲唤磨机,chong'huan'mo'ji
冲唤破碎机,chong'huan'po'sui'ji
冲唤振动筛,chong'huan'zhen'dong'shai
冲唤钻机,chong'huan'zuan'ji
冲唤钻头,chong'huan'zuan'tou
冲慧融物,chong'hui'rong'wu
冲辉验,chong'hui'yan
冲讳质,chong'hui'zhi
冲讳质酌,chong'hui'zhi'zhuo
冲魂进,chong'hun'jin
冲魂井,chong'hun'jing
冲魂井方法,chong'hun'jing'fang'fa
冲击,chong'ji
冲积,chong'ji
冲积表层,chong'ji'biao'ceng
冲积层,chong'ji'ceng
冲击冲突,chong'ji'chong'tu
冲积的,chong'ji'de
冲积河道,chong'ji'he'dao
冲积阶地,chong'ji'jie'di
冲积矿床,chong'ji'kuang'chuang
冲击碰撞,chong'ji'peng'zhuang
冲积平原,chong'ji'ping'yuan
冲积砂矿床,chong'ji'sha'kuang'chuang
冲积扇,chong'ji'shan
冲积扇层,chong'ji'shan'ceng
冲积土,chong'ji'tu
冲积锥,chong'ji'zhui
冲积锥受水区,chong'ji'zhui'shou'shui'qu
冲积锥涌水带,chong'ji'zhui'yong'shui'dai
冲积钻钻探,chong'ji'zuan'zuan'tan
重结晶酌,chong'jie'jing'zhuo
虫媒植物,chong'mei'zhi'wu
重名,chong'ming
充气,chong'qi
充气度,chong'qi'du
冲蚀,chong'shi
充填,chong'tian
充填料,chong'tian'liao
冲洗带,chong'xi'dai
冲洗液,chong'xi'ye
冲洗钻孔,chong'xi'zuan'kong
重新配置,chong'xin'pei'zhi
虫牙状的,chong'ya'zhuang'de
臭葱石,chou'cong'shi
抽风机,chou'feng'ji
俦硅酸盐,chou'gui'suan'yan
臭灰岩,chou'hui'yan
臭块云母,chou'kuai'yun'mu
抽砂泵,chou'sha'beng
抽水试验,chou'shui'shi'yan
臭氧层,chou'yang'ceng
触变性,chu'bian'xing
初步的,chu'bu'de
储槽,chu'cao
初次构造要素,chu'ci'gou'zao'yao'su
初次运移,chu'ci'yun'yi
雏地槽,chu'di'cao
触发器触发脉冲,chu'fa'qi'chu'fa'mai'chong
初房,chu'fang
触管,chu'guan
雏火山,chu'huo'shan
触角,chu'jiao
雏晶,chu'jing
雏晶大小,chu'jing'da'xiao
处理矿场水或污水的井,chu'li'kuang'chang'shui'huo'wu'shui'de'jing
储量级别,chu'liang'ji'bie
处女林,chu'nv'lin
初期微震,chu'qi'wei'zhen
初期褶皱,chu'qi'zhe'zhou
初期准平原,chu'qi'zhun'ping'yuan
储热构造,chu're'gou'zao
出溶酌,chu'rong'zhuo
出射角,chu'she'jiao
初生变质,chu'sheng'bian'zhi
初生的,chu'sheng'de
初生木质部,chu'sheng'mu'zhi'bu
初始断裂,chu'shi'duan'lie
初始富化,chu'shi'fu'hua
初始运动,chu'shi'yun'dong
初始运动期,chu'shi'yun'dong'qi
初始运移,chu'shi'yun'yi
触手,chu'shou
出水洞,chu'shui'dong
储水湖,chu'shui'hu
出水量,chu'shui'liang
储水能力,chu'shui'neng'li
储水系数,chu'shui'xi'shu
储水蒸发,chu'shui'zheng'fa
储油构造,chu'you'gou'zao
储油岩石,chu'you'yan'shi
传播速度,chuan'bo'su'du
氚测定年龄,chuan'ce'ding'nian'ling
穿插双晶,chuan'cha'shuang'jing
传导率,chuan'dao'lv
传感器感受设备,chuan'gan'qi'gan'shou'she'bei
穿孔,chuan'kong
串联连接,chuan'lian'lian'jie
传热,chuan're
穿入,chuan'ru
穿透,chuan'tou
穿透能力,chuan'tou'neng'li
传真电披,chuan'zhen'dian'pi
窗棱构造,chuang'leng'gou'zao
锤雏晶,chui'chu'jing
吹管分析,chui'guan'fen'xi
吹流,chui'liu
垂线,chui'xian
垂向运移,chui'xiang'yun'yi
吹穴,chui'xue
垂直摆,chui'zhi'bai
垂直磁异常,chui'zhi'ci'yi'chang
垂直电测深,chui'zhi'dian'ce'shen
垂直断距,chui'zhi'duan'ju
垂直分布,chui'zhi'fen'bu
垂直分布带,chui'zhi'fen'bu'dai
垂直厚度,chui'zhi'hou'du
垂直混合,chui'zhi'hun'he
垂直角,chui'zhi'jiao
垂直偏转,chui'zhi'pian'zhuan
垂直剖面,chui'zhi'pou'mian
垂直褶皱,chui'zhi'zhe'zhou
垂直震仪,chui'zhi'zhen'yi
纯度,chun'du
春分点,chun'fen'dian
纯橄家,chun'gan'jia
纯橄无球粒陨石,chun'gan'wu'qiu'li'yun'shi
纯钴土,chun'gu'tu
春化处理,chun'hua'chu'li
纯拉伸,chun'la'shen
纯铝土矿,chun'lv'tu'kuang
纯镁闪石,chun'mei'shan'shi
纯镁叶绿泥石,chun'mei'ye'lv'ni'shi
纯木煤,chun'mu'mei
纯闪锌矿,chun'shan'xin'kuang
纯应变,chun'ying'bian
磁暴,ci'bao
磁饱和,ci'bao'he
磁北,ci'bei
磁变,ci'bian
次变边,ci'bian'bian
次变边的,ci'bian'bian'de
磁变仪,ci'bian'yi
次波,ci'bo
磁测量,ci'ce'liang
磁场,ci'chang
磁场强度,ci'chang'qiang'du
磁秤,ci'cheng
磁赤铁矿,ci'chi'tie'kuang
磁畴,ci'chou
刺穿,ci'chuan
刺穿现象,ci'chuan'xian'xiang
刺穿褶皱,ci'chuan'zhe'zhou
磁导,ci'dao
磁导计,ci'dao'ji
磁导率,ci'dao'lv
次等宝石,ci'deng'bao'shi
磁动势,ci'dong'shi
磁放大器,ci'fang'da'qi
磁方位,ci'fang'wei
磁感应,ci'gan'ying
磁化力,ci'hua'li
磁化率,ci'hua'lv
磁化率测井,ci'hua'lv'ce'jing
磁化逆转,ci'hua'ni'zhuan
磁化强度,ci'hua'qiang'du
磁化线,ci'hua'xian
磁化学,ci'hua'xue
雌黄,ci'huang
磁黄铁矿,ci'huang'tie'kuang
磁极,ci'ji
磁极化,ci'ji'hua
磁极性,ci'ji'xing
磁矩,ci'ju
磁力,ci'li
磁力差,ci'li'cha
磁力蛤异性,ci'li'ge'yi'xing
磁力勘探,ci'li'kan'tan
磁力线,ci'li'xian
磁量子数,ci'liang'zi'shu
次磷钙铁矿,ci'lin'gai'tie'kuang
磁流,ci'liu
磁漏,ci'lou
次绿泥石,ci'lv'ni'shi
疵麦特炸药,ci'mai'te'zha'yao
磁偶极子,ci'ou'ji'zi
磁偏角,ci'pian'jiao
磁偏转,ci'pian'zhuan
磁铅矿,ci'qian'kuang
磁铅铁矿,ci'qian'tie'kuang
磁倾角,ci'qing'jiao
雌蕊,ci'rui
次深海沉积,ci'shen'hai'chen'ji
次生重结晶,ci'sheng'chong'jie'jing
次生地槽,ci'sheng'di'cao
次生富集,ci'sheng'fu'ji
次生富集带,ci'sheng'fu'ji'dai
次生构造,ci'sheng'gou'zao
次生化石,ci'sheng'hua'shi
次生结核,ci'sheng'jie'he
次生孔隙率,ci'sheng'kong'xi'lv
次生矿,ci'sheng'kuang
次生矿床,ci'sheng'kuang'chuang
次生矿物,ci'sheng'kuang'wu
次生裂隙,ci'sheng'lie'xi
次生木质部,ci'sheng'mu'zhi'bu
次生喷气孔,ci'sheng'pen'qi'kong
次生劈理,ci'sheng'pi'li
次生群落,ci'sheng'qun'luo
次生热液矿床,ci'sheng're'ye'kuang'chuang
次生演替,ci'sheng'yan'ti
次生氧化矿,ci'sheng'yang'hua'kuang
次生优地槽,ci'sheng'you'di'cao
瓷石,ci'shi
次石墨,ci'shi'mo
次碳酸镁铁矿,ci'tan'suan'mei'tie'kuang
磁体,ci'ti
磁铁,ci'tie
次铁钒矿,ci'tie'fan'kuang
磁铁尖晶辉岩,ci'tie'jian'jing'hui'yan
磁铁矿,ci'tie'kuang
磁通量,ci'tong'liang
磁头,ci'tou
次透辉石,ci'tou'hui'shi
瓷土,ci'tu
磁位,ci'wei
磁稳定性,ci'wen'ding'xing
磁吸引,ci'xi'yin
磁心存储器,ci'xin'cun'chu'qi
磁性地层学,ci'xing'di'ceng'xue
磁性分析,ci'xing'fen'xi
磁性合金,ci'xing'he'jin
磁性化石,ci'xing'hua'shi
磁性砂,ci'xing'sha
雌雄同体,ci'xiong'tong'ti
次序,ci'xu
磁选,ci'xuan
次旋回,ci'xuan'hui
磁选矿,ci'xuan'kuang
磁针,ci'zhen
磁滞,ci'zhi
磁致伸缩,ci'zhi'shen'suo
磁轴,ci'zhou
刺状的,ci'zhuang'de
磁子午线,ci'zi'wu'xian
磁自旋量子数,ci'zi'xuan'liang'zi'shu
磁阻,ci'zu
磁阻尼,ci'zu'ni
葱绿脆云母,cong'lv'cui'yun'mu
葱绿玉髓,cong'lv'yu'sui
从属褶皱,cong'shu'zhe'zhou
粗白榴岩,cu'bai'liu'yan
粗斑的,cu'ban'de
粗斑状的,cu'ban'zhuang'de
粗糙度,cu'cao'du
粗糙度系数,cu'cao'du'xi'shu
粗腐殖质,cu'fu'zhi'zhi
粗骨土,cu'gu'tu
促进酌,cu'jin'zhuo
粗晶的,cu'jing'de
粗粒度,cu'li'du
粗粒结构,cu'li'jie'gou
粗粒砂岩,cu'li'sha'yan
粗粒正长岩,cu'li'zheng'chang'yan
簇磷铁矿,cu'lin'tie'kuang
粗绿岩,cu'lv'yan
粗面安山岩,cu'mian'an'shan'yan
粗面徨绿岩,cu'mian'huang'lv'yan
粗面结构,cu'mian'jie'gou
粗面全晶质的,cu'mian'quan'jing'zhi'de
粗面玄武岩,cu'mian'xuan'wu'yan
粗面岩,cu'mian'yan
粗面状的,cu'mian'zhuang'de
粗球粒玄武岩的,cu'qiu'li'xuan'wu'yan'de
粗砂,cu'sha
粗砂岩,cu'sha'yan
粗砂质的,cu'sha'zhi'de
粗筛,cu'shai
醋酸,cu'suan
醋酸盐,cu'suan'yan
粗碎屑,cu'sui'xie
粗选,cu'xuan
粗玄的,cu'xuan'de
粗玄岩,cu'xuan'yan
脆度,cui'du
催化,cui'hua
淬火法,cui'huo'fa
脆沥青,cui'li'qing
脆硫砷铅矿,cui'liu'shen'qian'kuang
翠榴石,cui'liu'shi
脆硫锑铅矿,cui'liu'ti'qian'kuang
脆硫锑铜矿,cui'liu'ti'tong'kuang
脆硫铜铋矿,cui'liu'tong'bi'kuang
翠绿宝石,cui'lv'bao'shi
翠绿磷铜矿,cui'lv'lin'tong'kuang
脆绿泥石,cui'lv'ni'shi
翠绿砷铜矿,cui'lv'shen'tong'kuang
翠镍矿,cui'nie'kuang
脆磐,cui'pan
翠砷铜矿,cui'shen'tong'kuang
翠砷铜铀矿,cui'shen'tong'you'kuang
脆性,cui'xing
脆性断层,cui'xing'duan'ceng
脆银矿,cui'yin'kuang
大斑晶状构造,da'ban'jing'zhuang'gou'zao
大宝构造运动,da'bao'gou'zao'yun'dong
大暴雨,da'bao'yu
大孢子,da'bao'zi
大孢子囊,da'bao'zi'nang
大孢子叶,da'bao'zi'ye
大冰期,da'bing'qi
大潮,da'chao
大齿,da'chi
大地测量,da'di'ce'liang
大地电磁法,da'di'dian'ci'fa
大地电哩,da'di'dian'li
大地电流,da'di'dian'liu
大地电阻,da'di'dian'zu
大地构造,da'di'gou'zao
大地构造槽,da'di'gou'zao'cao
大地构造图,da'di'gou'zao'tu
大地构造学,da'di'gou'zao'xue
大地内的,da'di'nei'de
大地热量,da'di're'liang
大地震,da'di'zhen
达尔马堤亚式海岸,da'er'ma'di'ya'shi'hai'an
大复向斜,da'fu'xiang'xie
大构造,da'gou'zao
大骨节病,da'gu'jie'bing
大骨针,da'gu'zhen
大洪水,da'hong'shui
大化石,da'hua'shi
大晶,da'jing
打井口眼,da'jing'kou'yan
大孔隙,da'kong'xi
打捞钩,da'lao'gou
大理石,da'li'shi
大理石化,da'li'shi'hua
大粒土壤,da'li'tu'rang
大量取样,da'liang'qu'yang
大陆,da'lu
大陆边缘,da'lu'bian'yuan
大陆边缘地,da'lu'bian'yuan'di
大陆冰川,da'lu'bing'chuan
大陆冰川均衡过程,da'lu'bing'chuan'jun'heng'guo'cheng
大陆度,da'lu'du
大陆海,da'lu'hai
大陆核,da'lu'he
大陆河,da'lu'he
大陆块,da'lu'kuai
大陆连接,da'lu'lian'jie
大陆隆起,da'lu'long'qi
大陆漂恋,da'lu'piao'lian
大陆坡,da'lu'po
大陆气团,da'lu'qi'tuan
大陆台地,da'lu'tai'di
大陆稳定边缘,da'lu'wen'ding'bian'yuan
大陆稳定地块,da'lu'wen'ding'di'kuai
大陆型地壳,da'lu'xing'di'qiao
大陆移动,da'lu'yi'dong
大陆增长,da'lu'zeng'zhang
达宁阶,da'ning'jie
大气窗口,da'qi'chuang'kou
大气地球化学,da'qi'di'qiu'hua'xue
大气放射性,da'qi'fang'she'xing
大气风化,da'qi'feng'hua
大气浮游生物,da'qi'fu'you'sheng'wu
大气候,da'qi'hou
大气圈,da'qi'quan
大气透萌,da'qi'tou'meng
大气相对湿度,da'qi'xiang'dui'shi'du
