阿爷无大儿,a'ye'wu'da'er
上下天光,shang'xia'tian'guang
上下一白,shang'xia'yi'bai
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
上有黄鹂深树鸣,shang'you'huang'li'shen'shu'ming
伤仲永,shang'zhong'yong
少顷,shao'qing
稍稍宾客其父,shao'shao'bin'ke'qi'fu
稍稍正坐,shao'shao'zheng'zuo
少时,shao'shi
少壮不努力,shao'zhuang'bu'nu'li
设酒杀鸡作食,she'jiu'sha'ji'zuo'shi
舍其文轩,she'qi'wen'xuan
舍生而取义者也,she'sheng'er'qu'yi'zhe'ye
射天狼,she'tian'lang
舍鱼而取熊掌者也,she'yu'er'qu'xiong'zhang'zhe'ye
射者中,she'zhe'zhong
身长八尺,shen'chang'ba'chi
神弗福也,shen'fu'fu'ye
神龟虽寿,shen'gui'sui'shou
深林人不知,shen'lin'ren'bu'zhi
神情与苏黄不属,shen'qing'yu'su'huang'bu'shu
深入不毛,shen'ru'bu'mao
甚善虽然,shen'shan'sui'ran
身世浮沉雨打萍,shen'shi'fu'chen'yu'da'ping
身死而不受,shen'si'er'bu'shou
身已半入,shen'yi'ban'ru
深追先帝遗诏,shen'zhui'xian'di'yi'zhao
声然,sheng'ran
声如崩山,sheng'ru'beng'shan
胜事空自知,sheng'shi'kong'zi'zhi
生亦我所欲,sheng'yi'wo'suo'yu
生于忧患死于安乐,sheng'yu'you'huan'si'yu'an'le
生子当如孙仲谋,sheng'zi'dang'ru'sun'zhong'mou
胜作一书生,sheng'zuo'yi'shu'sheng
施八尺屏障,shi'ba'chi'ping'zhang
石必倒掷坎穴中,shi'bi'dao'zhi'kan'xue'zhong
食不饱,shi'bu'bao
始龀,shi'chen
拾此充饥肠,shi'ci'chong'ji'chang
诗词曲五首,shi'ci'qu'wu'shou
失道寡助,shi'dao'gua'zhu
失道者寡助,shi'dao'zhe'gua'zhu
是地利不如人和也,shi'di'li'bu'ru'ren'he'ye
十二三矣,shi'er'san'yi
是非木杮,shi'fei'mu'fei
是故谋闭而不兴,shi'gu'mou'bi'er'bu'xing
是故所欲有甚于生者,shi'gu'suo'yu'you'shen'yu'sheng'zhe
是故学然后知不足,shi'gu'xue'ran'hou'zhi'bu'zu
石壕吏,shi'hao'li
势极雄豪,shi'ji'xiong'hao
是金陵人,shi'jin'ling'ren
是进亦忧,shi'jin'yi'you
诗经两首,shi'jing'liang'shou
是离愁,shi'li'chou
世隶耕,shi'li'geng
时六年九月十五日,shi'liu'nian'jiu'yue'shi'wu'ri
是马也,shi'ma'ye
食马者,shi'ma'zhe
时难年荒世业空,shi'nan'nian'huang'shi'ye'kong
使内外异法也,shi'nei'wai'yi'fa'ye
十年春,shi'nian'chun
失期,shi'qi
失期当斩,shi'qi'dang'zhan
石青糁之,shi'qing'shen'zhi
时人莫之许也,shi'ren'mo'zhi'xu'ye
世人盛爱牡丹,shi'ren'sheng'ai'mu'dan
使人之所恶莫甚于死者,shi'ren'zhi'suo'e'mo'shen'yu'si'zhe
是日更定,shi'ri'geng'ding
时时而间进期年之后,shi'shi'er'jian'jin'ji'nian'zhi'hou
实是欲界之仙都,shi'shi'yu'jie'zhi'xian'du
世说新语两则,shi'shuo'xin'yu'liang'ze
诗四首,shi'si'shou
是天时不如地利也,shi'tian'shi'bu'ru'di'li'ye
是谓大同,shi'wei'da'tong
始闻叩柴荆,shi'wen'kou'chai'jing
事无大小,shi'wu'da'xiao
诗五首,shi'wu'shou
时先主屯新野,shi'xian'zhu'tun'xin'ye
是亦不可以已乎,shi'yi'bu'ke'yi'yi'hu
始一反焉,shi'yi'fan'yan
是以先帝简拔以遗陛下,shi'yi'xian'di'jian'ba'yi'yi'bi'xia
十一月四日风雨大作,shi'yi'yue'si'ri'feng'yu'da'zuo
是以众议举宠为督,shi'yi'zhong'yi'ju'chong'wei'du
试用于昔日,shi'yong'yu'xi'ri
世有伯乐,shi'you'bo'le
石又再转,shi'you'zai'zhuan
适与野情惬,shi'yu'ye'qing'qie
是鱼之乐也,shi'yu'zhi'le'ye
逝者如斯夫,shi'zhe'ru'si'fu
食之不能尽其材,shi'zhi'bu'neng'jin'qi'cai
始知郊田之外未始无春,shi'zhi'jiao'tian'zhi'wai'wei'shi'wu'chun
使至塞上,shi'zhi'sai'shang
室中更无人,shi'zhong'geng'wu'ren
侍中尚书,shi'zhong'shang'shu
侍中侍郎,shi'zhong'shi'lang
士卒多为用者,shi'zu'duo'wei'yong'zhe
守丞死,shou'cheng'si
手持十幅大彩旗,shou'chi'shi'fu'da'cai'qi
受地于先王,shou'di'yu'xian'wang
收而攻蕲,shou'er'gong'qi
受命以来,shou'ming'yi'lai
受任于败军之际,shou'ren'yu'bai'jun'zhi'ji
受上赏上书谏寡人者,shou'shang'shang'shang'shu'jian'gua'ren'zhe
受下赏,shou'xia'shang
手有百指,shou'you'bai'zhi
手指不可屈伸,shou'zhi'bu'ke'qu'shen
受之天也,shou'zhi'tian'ye
手中各有携,shou'zhong'ge'you'xie
受中赏能谤讥于市朝,shou'zhong'shang'neng'bang'ji'yu'shi'chao
手自笔录,shou'zi'bi'lu
黍地无人耕,shu'di'wu'ren'geng
倏尔,shu'er
述而,shu'er
孰敢不箪食壶浆,shu'gan'bu'dan'si'hu'jiang
属国过居延,shu'guo'guo'ju'yan
庶竭驽钝,shu'jie'nu'dun
树林阴翳,shu'lin'yin'yi
树木丛生,shu'mu'cong'sheng
数日,shu'ri
孰若孤,shu'ruo'gu
孰视之,shu'shi'zhi
树树皆秋色,shu'shu'jie'qiu'se
疏条交映,shu'tiao'jiao'ying
梳洗罢,shu'xi'ba
属引凄异,shu'yin'qi'yi
数有功,shu'you'gong
属予作文以记之,shu'yu'zuo'wen'yi'ji'zhi
庶曰此人可就见,shu'yue'ci'ren'ke'jiu'jian
霜落熊升树,shuang'luo'xiong'sheng'shu
双兔傍地走,shuang'tu'bang'di'zou
双袖龙钟泪不干,shuang'xiu'long'zhong'lei'bu'gan
霜重鼓寒声不起,shuang'zhong'gu'han'sheng'bu'qi
水爆轰震,shui'bao'hong'zhen
水波不兴,shui'bo'bu'xing
水不在深,shui'bu'zai'shen
谁道人生无再少,shui'dao'ren'sheng'wu'zai'shao
水调歌头明月几时有,shui'diao'ge'tou'ming'yue'ji'shi'you
水何澹澹,shui'he'dan'dan
谁家新燕啄春泥,shui'jia'xin'yan'zhuo'chun'ni
谁家玉笛暗飞声,shui'jia'yu'di'an'fei'sheng
水皆缥碧,shui'jie'piao'bi
水陆草木之花,shui'lu'cao'mu'zhi'hua
水落而石出者,shui'luo'er'shi'chu'zhe
水落石出,shui'luo'shi'chu
水面初平云脚低,shui'mian'chu'ping'yun'jiao'di
水是眼波横,shui'shi'yan'bo'heng
谁言天地宽,shui'yan'tian'di'kuan
水萦纡,shui'ying'yu
水尤清冽,shui'you'qing'lie
水中藻荇交横,shui'zhong'zao'xing'jiao'heng
舜发于畎亩之中,shun'fa'yu'quan'mu'zhi'zhong
朔气传金柝,shuo'qi'chuan'jin'tuo
说如此,shuo'ru'ci
似曾相识燕归来,si'ceng'xiang'shi'yan'gui'lai
思而不学则殆,si'er'bu'xue'ze'dai
死国可乎,si'guo'ke'hu
死即举大名耳,si'ji'ju'da'ming'er
四境之内莫不有求于王,si'jing'zhi'nei'mo'bu'you'qiu'yu'wang
思君不见下渝州,si'jun'bu'jian'xia'yu'zhou
寺临兰溪,si'lin'lan'xi
司马迁,si'ma'qian
四马塞途,si'ma'sai'tu
四面边声连角起,si'mian'bian'sheng'lian'jiao'qi
四面竹树环合,si'mian'zhu'shu'huan'he
四十而不惑,si'shi'er'bu'huo
四时俱备,si'shi'ju'bei
斯是陋室,si'shi'lou'shi
四时之景不同,si'shi'zhi'jing'bu'tong
私我也妾之美我者,si'wo'ye'qie'zhi'mei'wo'zhe
思贤如渴,si'xian'ru'ke
死亦我所恶,si'yi'wo'suo'e
似与游者相乐,si'yu'you'zhe'xiang'le
死者长已矣,si'zhe'chang'yi'yi
死者十九,si'zhe'shi'jiu
四支僵劲不能动,si'zhi'jiang'jin'bu'neng'dong
四座泪纵横,si'zuo'lei'zong'heng
松柏有本性,song'bai'you'ben'xing
送鲍浩然之浙东,song'bao'hao'ran'zhi'zhe'dong
送东阳马生序,song'dong'yang'ma'sheng'xu
送杜少府之任蜀州,song'du'shao'fu'zhi'ren'shu'zhou
送儿还故乡,song'er'huan'gu'xiang
宋何罪之有,song'he'zui'zhi'you
松间沙路净无泥,song'jian'sha'lu'jing'wu'ni
宋濂,song'lian
送灵澈上人,song'ling'che'shang'ren
宋莫能守,song'mo'neng'shou
宋所谓无雉兔鲋鱼者也,song'suo'wei'wu'zhi'tu'fu'yu'zhe'ye
宋无长木,song'wu'chang'mu
宋无罪而攻之,song'wu'zui'er'gong'zhi
宋有富人,song'you'fu'ren
送友人,song'you'ren
宋之地方五百里,song'zhi'di'fang'wu'bai'li
松枝一何劲,song'zhi'yi'he'jin
搜于国中三日三夜,sou'yu'guo'zhong'san'ri'san'ye
苏黄共阅一手卷,su'huang'gong'yue'yi'shou'juan
溯洄从之,su'hui'cong'zhi
苏幕遮碧云天,su'mu'zhe'bi'yun'tian
苏轼,su'shi
簌簌衣巾落枣花,su'su'yi'jin'luo'zao'hua
肃遂拜蒙母,su'sui'bai'meng'mu
夙夜忧叹,su'ye'you'tan
溯迎而上,su'ying'er'shang
溯游从之,su'you'cong'zhi
随波而逝,sui'bo'er'shi
虽不能察,sui'bu'neng'cha
遂反溯流逆上矣,sui'fan'su'liu'ni'shang'yi
随风满地石乱走,sui'feng'man'di'shi'luan'zou
随风直到夜郎西,sui'feng'zhi'dao'ye'lang'xi
遂率子孙荷担者三夫,sui'lv'zi'sun'he'dan'zhe'san'fu
遂迷,sui'mi
虽千里不敢易也,sui'qian'li'bu'gan'yi'ye
虽然,sui'ran
虽人有百手,sui'ren'you'bai'shou
虽杀臣,sui'sha'chen
虽我之死,sui'wo'zhi'si
虽席地不容间也,sui'xi'di'bu'rong'jian'ye
遂许先帝以驱驰,sui'xu'xian'di'yi'qu'chi
岁晏有余粮,sui'yan'you'yu'liang
遂用猖蹶,sui'yong'chang'jue
虽有佳肴,sui'you'jia'yao
虽有嘉肴,sui'you'jia'yao
虽有千里之能,sui'you'qian'li'zhi'neng
虽有至道,sui'you'zhi'dao
遂与外人间隔,sui'yu'wai'ren'jian'ge
虽欲言,sui'yu'yan
遂至,sui'zhi
遂逐齐师,sui'zhu'qi'shi
孙权据有江东,sun'quan'ju'you'jiang'dong
孙权劝学,sun'quan'quan'xue
孙叔敖举于海,sun'shu'ao'ju'yu'hai
孙又生子子又有子,sun'you'sheng'zi'zi'you'you'zi
所恶有甚于死者,suo'e'you'shen'yu'si'zhe
锁呐,suo'na
所识穷乏者得我欤,suo'shi'qiong'fa'zhe'de'wo'yu
所谓伊人,suo'wei'yi'ren
所以报先帝,suo'yi'bao'xian'di
所以动心忍性,suo'yi'dong'xin'ren'xing
所以兴隆也亲小人,suo'yi'xing'long'ye'qin'xiao'ren
所欲有甚于生者,suo'yu'you'shen'yu'sheng'zhe
太行王屋二山,tai'hang'wang'wu'er'shan
苔痕上阶绿,tai'hen'shang'jie'lv
太丘舍去,tai'qiu'she'qu
太守归而宾客从也,tai'shou'gui'er'bin'ke'cong'ye
太守即遣人随其往,tai'shou'ji'qian'ren'sui'qi'wang
太守谓谁,tai'shou'wei'shui
太守宴也,tai'shou'yan'ye
太守也,tai'shou'ye
太守与客来饮于此,tai'shou'yu'ke'lai'yin'yu'ci
太守自谓也,tai'shou'zi'wei'ye
太守醉也,tai'shou'zui'ye
弹琴复长啸,tan'qin'fu'chang'xiao
潭西南而望,tan'xi'nan'er'wang
谈笑无还期,tan'xiao'wu'hai'qi
谈笑有鸿儒,tan'xiao'you'hong'ru
袒胸露乳,tan'xiong'lu'ru
潭影空人心,tan'ying'kong'ren'xin
袒右,tan'you
潭中鱼可百许头,tan'zhong'yu'ke'bai'xu'tou
唐雎不辱使命,tang'ju'bu'ru'shi'ming
唐雎对曰臣未尝闻也,tang'ju'dui'yue'chen'wei'chang'wen'ye
唐雎对曰否,tang'ju'dui'yue'fou
唐雎曰,tang'ju'yue
唐雎曰此庸夫之怒也,tang'ju'yue'ci'yong'fu'zhi'nu'ye
陶弘景,tao'hong'jing
陶后鲜有闻,tao'hou'xian'you'wen
桃花源记,tao'hua'yuan'ji
陶渊明,tao'yuan'ming
螣蛇乘雾,teng'she'cheng'wu
腾身百变,teng'shen'bai'bian
滕子京谪守巴陵郡,teng'zi'jing'zhe'shou'ba'ling'jun
题破山寺后禅院,ti'po'shan'si'hou'chan'yuan
提携玉龙为君死,ti'xie'yu'long'wei'jun'si
天大寒,tian'da'han
天府之土,tian'fu'zhi'tu
天光云影共徘徊,tian'guang'yun'ying'gong'pai'huai
田家少闲月,tian'jia'shao'xian'yue
天街小雨润如酥,tian'jie'xiao'yu'run'ru'su
天净沙秋思,tian'jing'sha'qiu'si
天明登前途,tian'ming'deng'qian'tu
天倾西北,tian'qing'xi'bei
天山共色,tian'shan'gong'se
天时不如地利,tian'shi'bu'ru'di'li
天下独绝,tian'xia'du'jue
天下缟素,tian'xia'gao'su
天下顺之,tian'xia'shun'zhi
天下为公,tian'xia'wei'gong
天下英雄谁敌手,tian'xia'ying'xiong'shui'di'shou
天下之伟观也,tian'xia'zhi'wei'guan'ye
天涯若比邻,tian'ya'ruo'bi'lin
天雨墙坏,tian'yu'qiang'huai
天与云与山与水,tian'yu'yun'yu'shan'yu'shui
田园寥落干戈后,tian'yuan'liao'luo'gan'ge'hou
天柱折,tian'zhu'zhe
天子坐明堂,tian'zi'zuo'ming'tang
跳往助之,tiao'wang'zhu'zhi
铁马冰河入梦来,tie'ma'bing'he'ru'meng'lai
铁骑绕龙城,tie'qi'rao'long'cheng
停杯投箸不能食,ting'bei'tou'zhu'bu'neng'shi
听妇前致词,ting'fu'qian'zhi'ci
挺剑而起,ting'jian'er'qi
听其相顾言,ting'qi'xiang'gu'yan
停数日,ting'shu'ri
亭亭净植,ting'ting'jing'zhi
亭亭山上松,ting'ting'shan'shang'song
庭下如积水空明,ting'xia'ru'ji'shui'kong'ming
通计一舟,tong'ji'yi'zhou
铜雀春深锁二乔,tong'que'chun'shen'suo'er'qiao
同舍生皆被绮绣,tong'she'sheng'jie'bei'qi'xiu
同是宦游人,tong'shi'huan'you'ren
同行十二年,tong'xing'shi'er'nian
同游者吴武陵,tong'you'zhe'wu'wu'ling
同予者何人,tong'yu'zhe'he'ren
童稚携壶浆,tong'zhi'xie'hu'jiang
投以骨,tou'yi'gu
屠暴起,tu'bao'qi
屠大窘,tu'da'jiong
土地平旷,tu'di'ping'kuang
土膏微润,tu'gao'wei'run
屠惧,tu'ju
屠乃奔倚其下,tu'nai'ben'yi'qi'xia
徒属皆曰,tu'shu'jie'yue
徒以有先生也,tu'yi'you'xian'sheng'ye
徒有羡鱼情,tu'you'xian'yu'qing
途中两狼,tu'zhong'liang'lang
屠自后断其股,tu'zi'hou'duan'qi'gu
颓然乎其间者,tui'ran'hu'qi'jian'zhe
退亦忧,tui'yi'you
吞长江,tun'chang'jiang
吞天沃日,tun'tian'wo'ri
托臣以讨贼兴复之效,tuo'chen'yi'tao'zei'xing'fu'zhi'xiao
脱我战时袍,tuo'wo'zhan'shi'pao
外结好孙权,wai'jie'hao'sun'quan
万方多难此登临,wan'fang'duo'nan'ci'deng'lin
晚家南山陲,wan'jia'nan'shan'chui
万籁此都寂,wan'lai'ci'dou'ji
万里赴戎机,wan'li'fu'rong'ji
万里来游还望远,wan'li'lai'you'hai'wang'yuan
万里送行舟,wan'li'song'xing'zhou
万物生光辉,wan'wu'sheng'guang'hui
宛在水中坻,wan'zai'shui'zhong'di
宛在水中央,wan'zai'shui'zhong'yang
宛在水中沚,wan'zai'shui'zhong'zhi
万钟于我何加焉,wan'zhong'yu'wo'he'jia'yan
万钟则不辨礼义而受之,wan'zhong'ze'bu'bian'li'yi'er'shou'zhi
王安石,wang'an'shi
王勃,wang'bo
王不说,wang'bu'shuo
罔不因势象形,wang'bu'yin'shi'xiang'xing
望洞庭湖赠张丞相,wang'dong'ting'hu'zeng'zhang'cheng'xiang
望峰息心,wang'feng'xi'xin
王观,wang'guan
王侯将相宁有种乎,wang'hou'jiang'xiang'ning'you'zhong'hu
忘怀得失,wang'huai'de'shi
王绩,wang'ji
望江南,wang'jiang'nan
往来而不绝者,wang'lai'er'bu'jue'zhe
往来无白丁,wang'lai'wu'bai'ding
往来翕忽,wang'lai'xi'hu
忘路之远近,wang'lu'zhi'yuan'jin
王磐,wang'pan
望其旗靡,wang'qi'qi'mi
王湾,wang'wan
王维,wang'wei
望西都,wang'xi'du
望岳,wang'yue
王曰必为有窃疾矣,wang'yue'bi'wei'you'qie'ji'yi
王曰善,wang'yue'shan
王曰善哉,wang'yue'shan'zai
望月有感,wang'yue'you'gan
王之蔽甚矣,wang'zhi'bi'shen'yi
望之蔚然而深秀者,wang'zhi'wei'ran'er'shen'xiu'zhe
王子曰仲永之通悟,wang'zi'yue'zhong'yong'zhi'tong'wu
未百步辄返,wei'bai'bu'zhe'fan
为报倾城随太守,wei'bao'qing'cheng'sui'tai'shou
惟博陵崔州平,wei'bo'ling'cui'zhou'ping
未尝,wei'chang
惟长堤一痕,wei'chang'di'yi'hen
未尝稍降辞色,wei'chang'shao'jiang'ci'se
未尝识书具,wei'chang'shi'shu'ju
为陈同甫赋壮词以寄之,wei'chen'tong'fu'fu'zhuang'ci'yi'ji'zhi
为窗八,wei'chuang'ba
为坻,wei'di
委而去之,wei'er'qu'zhi
未复有能与其奇者,wei'fu'you'neng'yu'qi'qi'zhe
为宫室器皿人物,wei'gong'shi'qi'min'ren'wu
为宫室之美,wei'gong'shi'zhi'mei
未果,wei'guo
尉果笞广,wei'guo'chi'guang
为壶,wei'hu
为楫,wei'ji
未几,wei'ji
尉剑挺,wei'jian'ting
为炉,wei'lu
未能远谋,wei'neng'yuan'mou
为念珠各一对联题名并篆文,wei'nian'zhu'ge'yi'dui'lian'ti'ming'bing'zhuan'wen
谓其妻曰,wei'qi'qi'yue
为人谋而不忠乎,wei'ren'mou'er'bu'zhong'hu
为人五,wei'ren'wu
未若柳絮因风起,wei'ruo'liu'xu'yin'feng'qi
为箬篷,wei'ruo'peng
为手卷,wei'shou'juan
为坛而盟,wei'tan'er'meng
谓唐雎曰,wei'tang'ju'yue
威天下不以兵革之利,wei'tian'xia'bu'yi'bing'ge'zhi'li
为天下唱,wei'tian'xia'chang
为天下富,wei'tian'xia'fu
为屯长,wei'tun'zhang
谓为信然,wei'wei'xin'ran
惟闻女叹息,wei'wen'nv'tan'xi
微闻有鼠作作索索,wei'wen'you'shu'zuo'zuo'suo'suo
畏我也客之美我者,wei'wo'ye'ke'zhi'mei'wo'zhe
惟吾德馨,wei'wu'de'xin
谓先主曰诸葛孔明者,wei'xian'zhu'yue'zhu'ge'kong'ming'zhe
微笑,wei'xiao
魏学洢,wei'xue'yi
为岩,wei'yan
韦应物,wei'ying'wu
惟有乳下孙,wei'you'ru'xia'sun
为有源头活水来,wei'you'yuan'tou'huo'shui'lai
为屿,wei'yu
为与此同类,wei'yu'ci'tong'lei
为政,wei'zheng
未至,wei'zhi
未知其死也,wei'zhi'qi'si'ye
为字共三十有四,wei'zi'gong'san'shi'you'si
猥自枉屈,wei'zi'wang'qu
闻道龙标过五溪,wen'dao'long'biao'guo'wu'xi
温故而知新,wen'gu'er'zhi'xin
闻寡人之耳者,wen'gua'ren'zhi'er'zhe
问何以战,wen'he'yi'zhan
问今是何世,wen'jin'shi'he'shi
问君何能尔,wen'jun'he'neng'er
问女何所思,wen'nv'he'suo'si
问女何所忆,wen'nv'he'suo'yi
问其姓氏,wen'qi'xing'shi
问渠那得清如许,wen'qu'na'de'qing'ru'xu
闻水声,wen'shui'sheng
闻说鸡鸣见日升,wen'shuo'ji'ming'jian'ri'sheng
闻说双溪,wen'shuo'shuang'xi
问所从来,wen'suo'cong'lai
文天祥,wen'tian'xiang
温庭筠,wen'ting'yun
闻王昌龄左迁龙标遥有此寄,wen'wang'chang'ling'zuo'qian'long'biao'yao'you'ci'ji
问我久远行,wen'wo'jiu'yuan'xing
文曰初平山人,wen'yue'chu'ping'shan'ren
文曰天启壬戌秋日,wen'yue'tian'qi'ren'xu'qiu'ri
闻者为悲伤,wen'zhe'wei'bei'shang
闻之,wen'zhi
问之客曰,wen'zhi'ke'yue
闻之笑曰,wen'zhi'xiao'yue
我歌月徘徊,wo'ge'yue'pai'huai
我寄愁心与明月,wo'ji'chou'xin'yu'ming'yue
我家襄水曲,wo'jia'xiang'shui'qu
卧龙也,wo'long'ye
我孰与城北徐公美,wo'shu'yu'cheng'bei'xu'gong'mei
我所欲也,wo'suo'yu'ye
我舞影零乱,wo'wu'ying'ling'luan
我言秋日胜春朝,wo'yan'qiu'ri'sheng'chun'zhao
沃野千里,wo'ye'qian'li
卧右膝,wo'you'xi
我欲乘风归去,wo'yu'cheng'feng'gui'qu
我知之濠上也,wo'zhi'zhi'hao'shang'ye
无案牍之劳形,wu'an'du'zhi'lao'xing
无不伸颈,wu'bu'shen'jing
吾不言,wu'bu'yan
吾从北方闻子为梯,wu'cong'bei'fang'wen'zi'wei'ti
无从致书以观,wu'cong'zhi'shu'yi'guan
吴儿善泅者数百,wu'er'shan'qiu'zhe'shu'bai
无敢哗者,wu'gan'hua'zhe
吴广素爱人,wu'guang'su'ai'ren
吴广为都尉,wu'guang'wei'du'wei
吴广以为然,wu'guang'yi'wei'ran
吴广者,wu'guang'zhe
呜呼,wu'hu
五花连钱旋作冰,wu'hua'lian'qian'xuan'zuo'bing
无怀氏之民欤,wu'huai'shi'zhi'min'yu
无迹,wu'ji
吾既已言之王矣,wu'ji'yi'yan'zhi'wang'yi
乌江十五兄,wu'jiang'shi'wu'xiong
吴均,wu'jun
无可进者,wu'ke'jin'zhe
无可奈何花落去,wu'ke'nai'he'hua'luo'qu
武陵春,wu'ling'chun
武陵人捕鱼为业,wu'ling'ren'bu'yu'wei'ye
五柳先生传,wu'liu'xian'sheng'zhuan
无陇断焉,wu'long'duan'yan
吾庐独破受冻死亦足,wu'lu'du'po'shou'dong'si'yi'zu
无论魏晋,wu'lun'wei'jin
寤寐求之,wu'mei'qiu'zhi
寤寐思服,wu'mei'si'fu
吾请无攻宋矣,wu'qing'wu'gong'song'yi
无穷匮也,wu'qiong'kui'ye
吾日三省吾身,wu'ri'san'xing'wu'shen
误入藕花深处,wu'ru'ou'hua'shen'chu
五色交辉,wu'se'jiao'hui
屋舍俨然,wu'she'yan'ran
五十而知天命,wu'shi'er'zhi'tian'ming
吾视其辙乱,wu'shi'qi'zhe'luan
物是人非事事休,wu'shi'ren'fei'shi'shi'xiu
五十弦翻塞外声沙场秋点兵,wu'shi'xian'fan'sai'wai'sheng'sha'chang'qiu'dian'bing
吾十有五而志于学,wu'shi'you'wu'er'zhi'yu'xue
吾孰与徐公美,wu'shu'yu'xu'gong'mei
吾谁与归,wu'shui'yu'gui
无丝,wu'si
雾凇沆砀,wu'song'hang'dang
无所不有,wu'suo'bu'you
无题,wu'ti
无为在歧路,wu'wei'zai'qi'lu
吾闻二世少子也,wu'wen'er'shi'shao'zi'ye
无鲜肥滋味之享,wu'xian'fei'zi'wei'zhi'xiang
无限山河泪,wu'xian'shan'he'lei
无相忘,wu'xiang'wang
无言独上西楼,wu'yan'du'shang'xi'lou
无意苦争春,wu'yi'ku'zheng'chun
吾与汝毕力平险,wu'yu'ru'bi'li'ping'xian
吾与徐公孰美,wu'yu'xu'gong'shu'mei
五月人倍忙,wu'yue'ren'bei'mang
吾知所以距子矣,wu'zhi'suo'yi'ju'zi'yi
吾知子之所以距我,wu'zhi'zi'zhi'suo'yi'ju'wo
西北望,xi'bei'wang
夕贬潮阳路八千,xi'bian'chao'yang'lu'ba'qian
西和诸戎,xi'he'zhu'rong
夕露沾我衣,xi'lu'zhan'wo'yi
昔人已乘黄鹤去,xi'ren'yi'cheng'huang'he'qu
夕日欲颓,xi'ri'yu'tui
悉如外人,xi'ru'wai'ren
细若蚊足钩画了了,xi'ruo'wen'zu'gou'hua'le'le
西山寇盗莫相侵,xi'shan'kou'dao'mo'xiang'qin
席上见赠,xi'shang'jian'zeng
溪深而鱼肥,xi'shen'er'yu'fei
牺牲玉帛,xi'sheng'yu'bo
西市买鞍鞯,xi'shi'mai'an'jian
西蜀子云亭,xi'shu'zi'yun'ting
溪水西流,xi'shui'xi'liu
犀兕麋鹿满之,xi'si'mi'lu'man'zhi
西通巴蜀,xi'tong'ba'shu
夕阳西下,xi'yang'xi'xia
夕阳西下几时回,xi'yang'xi'xia'ji'shi'hui
徙倚湖山欲暮时,xi'yi'hu'shan'yu'mu'shi
徙倚欲何依,xi'yi'yu'he'yi
悉以咨之,xi'yi'zi'zhi
昔者,xi'zhe
下车引之,xia'che'yin'zhi
下见小潭,xia'jian'xiao'tan
呷浪之鳞,xia'lang'zhi'lin
下视其辙,xia'shi'qi'zhe
夏水襄陵,xia'shui'xiang'ling
夏完淳,xia'wan'chun
下者飘转沉塘坳,xia'zhe'piao'zhuan'chen'tang'ao
先达德隆望尊,xian'da'de'long'wang'zun
先帝不以臣卑鄙,xian'di'bu'yi'chen'bei'bi
先帝称之曰能,xian'di'cheng'zhi'yue'neng
先帝创业未半,xian'di'chuang'ye'wei'ban
先帝在时,xian'di'zai'shi
先帝知臣谨慎,xian'di'zhi'chen'jin'shen
闲静少言,xian'jing'shao'yan
闲来垂钓碧溪上,xian'lai'chui'diao'bi'xi'shang
咸来问讯,xian'lai'wen'xun
贤能为之用,xian'neng'wei'zhi'yong
闲敲棋子落灯花,xian'qiao'qi'zi'luo'deng'hua
先生不知何许人也,xian'sheng'bu'zhi'he'xu'ren'ye
先生坐,xian'sheng'zuo
先天下之忧而忧,xian'tian'xia'zhi'you'er'you
鲜妍明媚,xian'yan'ming'mei
贤于材人远矣,xian'yu'cai'ren'yuan'yi
衔远山,xian'yuan'shan
贤哉,xian'zai
贤者能勿丧耳,xian'zhe'neng'wu'sang'er
先主解之曰,xian'zhu'jie'zhi'yue
先主器之,xian'zhu'qi'zhi
先主曰君与俱来,xian'zhu'yue'jun'yu'ju'lai
先主曰善,xian'zhu'yue'shan
相顾无相识,xiang'gu'wu'xiang'shi
相见欢无言独上西楼,xiang'jian'huan'wu'yan'du'shang'xi'lou
相见时难别亦难,xiang'jian'shi'nan'bie'yi'nan
乡泪客中尽,xiang'lei'ke'zhong'jin
相期邈云汉,xiang'qi'miao'yun'han
乡书何处达,xiang'shu'he'chu'da
相随饷田去,xiang'sui'xiang'tian'qu
相委而去,xiang'wei'er'qu
向为身死而不受,xiang'wei'shen'si'er'bu'shou
项燕为楚将,xiang'yan'wei'chu'jiang
相与步于中庭,xiang'yu'bu'yu'zhong'ting
香远益清,xiang'yuan'yi'qing
晓畅军事,xiao'chang'jun'shi
笑从双脸生,xiao'cong'shuang'lian'sheng
小大之狱,xiao'da'zhi'yu
小弟闻姊来,xiao'di'wen'zi'lai
萧关逢候骑,xiao'guan'feng'hou'ji
小惠未徧,xiao'hui'wei'bian
晓镜但愁云鬓改,xiao'jing'dan'chou'yun'bin'gai
小麦覆陇黄,xiao'mai'fu'long'huang
小桥流水人家,xiao'qiao'liu'shui'ren'jia
小石潭记,xiao'shi'tan'ji
晓雾将歇,xiao'wu'jiang'xie
萧萧班马鸣,xiao'xiao'ban'ma'ming
潇潇暮雨子规啼,xiao'xiao'mu'yu'zi'gui'ti
小信未孚,xiao'xin'wei'fu
小园香径独徘徊,xiao'yuan'xiang'jing'du'pai'huai
斜晖脉脉水悠悠,xie'hui'mo'mo'shui'you'you
偕数友出东直,xie'shu'you'chu'dong'zhi
