爱奥尼亚柱式,ai'ao'ni'ya'zhu'shi
现场焊,xian'chang'han
现场监测,xian'chang'jian'ce
现场检验,xian'chang'jian'yan
现场勘察,xian'chang'kan'cha
现场勘查资料,xian'chang'kan'cha'zi'liao
现场踏勘,xian'chang'ta'kan
现场条件,xian'chang'tiao'jian
现场问题处理单,xian'chang'wen'ti'chu'li'dan
现场指令,xian'chang'zhi'ling
现场钻孔,xian'chang'zuan'kong
现代主义,xian'dai'zhu'yi
县道,xian'dao
先导操纵阀,xian'dao'cao'zong'fa
线电压,xian'dian'ya
县公路,xian'gong'lu
线荷载,xian'he'zai
线间电压,xian'jian'dian'ya
线间距,xian'jian'ju
线间距离,xian'jian'ju'li
先简支,xian'jian'zhi
先简支后连续,xian'jian'zhi'hou'lian'xu
现浇,xian'jiao
线脚,xian'jiao
现浇层,xian'jiao'ceng
现浇钢筋混凝土结构,xian'jiao'gang'jin'hun'ning'tu'jie'gou
现浇混凝土,xian'jiao'hun'ning'tu
现浇混凝土垫层,xian'jiao'hun'ning'tu'dian'ceng
现浇混凝土楼板,xian'jiao'hun'ning'tu'lou'ban
现浇混凝土路面,xian'jiao'hun'ning'tu'lu'mian
现浇混凝土下部结构,xian'jiao'hun'ning'tu'xia'bu'jie'gou
现浇箱梁,xian'jiao'xiang'liang
限界改善,xian'jie'gai'shan
限界检测车,xian'jie'jian'ce'che
线控制,xian'kong'zhi
显冷负荷,xian'leng'fu'he
线路,xian'lu
线路标志,xian'lu'biao'zhi
线路测量,xian'lu'ce'liang
线路大修,xian'lu'da'xiu
线路大修周期,xian'lu'da'xiu'zhou'qi
线路等级,xian'lu'deng'ji
线路更新,xian'lu'geng'xin
线路工程,xian'lu'gong'cheng
线路管理系统,xian'lu'guan'li'xi'tong
线路机具,xian'lu'ji'ju
线路机械,xian'lu'ji'xie
线路开关,xian'lu'kai'guan
线路爬行,xian'lu'pa'xing
线路平剖面图,xian'lu'ping'pou'mian'tu
线路清理机械,xian'lu'qing'li'ji'xie
线路上部建筑,xian'lu'shang'bu'jian'zhu
线路设备,xian'lu'she'bei
线路设计,xian'lu'she'ji
线路施工,xian'lu'shi'gong
线路施工机械,xian'lu'shi'gong'ji'xie
线路试验,xian'lu'shi'yan
线路实验,xian'lu'shi'yan
线路图,xian'lu'tu
线路维修规则,xian'lu'wei'xiu'gui'ze
线路养护,xian'lu'yang'hu
线路中断,xian'lu'zhong'duan
线路中心线,xian'lu'zhong'xin'xian
线路中修,xian'lu'zhong'xiu
线膨胀系数,xian'peng'zhang'xi'shu
线谱,xian'pu
氙气灯,xian'qi'deng
线圈,xian'quan
显热负荷,xian're'fu'he
仙人,xian'ren
显色性,xian'se'xing
限速,xian'su
鲜滩,xian'tan
线弹性,xian'tan'xing
咸铜线,xian'tong'xian
纤维,xian'wei
纤维板,xian'wei'ban
纤维材料,xian'wei'cai'liao
纤维混凝土,xian'wei'hun'ning'tu
纤维育苗器,xian'wei'yu'miao'qi
纤维增强材料,xian'wei'zeng'qiang'cai'liao
弦线支距,xian'xian'zhi'ju
弦线支距法,xian'xian'zhi'ju'fa
县乡道,xian'xiang'dao
线型,xian'xing
现行标准,xian'xing'biao'zhun
线形光源,xian'xing'guang'yuan
现行规范,xian'xing'gui'fan
线型火灾探测器,xian'xing'huo'zai'tan'ce'qi
线形设计,xian'xing'she'ji
线形锁,xian'xing'suo
线形要素,xian'xing'yao'su
县域规划,xian'yu'gui'hua
线载,xian'zai
先张法,xian'zhang'fa
闲置,xian'zhi
限值,xian'zhi
现值,xian'zhi
闲置地,xian'zhi'di
闲置费,xian'zhi'fei
限制坡度,xian'zhi'po'du
现制水磨石,xian'zhi'shui'mo'shi
现制水磨石面,xian'zhi'shui'mo'shi'mian
现制塑料楼地面,xian'zhi'su'liao'lou'di'mian
线坠,xian'zhui
镶板门,xiang'ban'men
相别,xiang'bie
乡村道路,xiang'cun'dao'lu
乡村公路,xiang'cun'gong'lu
乡村生活模式,xiang'cun'sheng'huo'mo'shi
相错式接头,xiang'cuo'shi'jie'tou
乡道,xiang'dao
箱底板,xiang'di'ban
相电压,xiang'dian'ya
箱顶,xiang'ding
箱顶板,xiang'ding'ban
响度,xiang'du
相对标高,xiang'dui'biao'gao
相对高差,xiang'dui'gao'cha
相对含水量,xiang'dui'han'shui'liang
相对介电系数,xiang'dui'jie'dian'xi'shu
相对密度,xiang'dui'mi'du
相对密实度,xiang'dui'mi'shi'du
相对湿度,xiang'dui'shi'du
相对式接头,xiang'dui'shi'jie'tou
相对误差,xiang'dui'wu'cha
相对坐标,xiang'dui'zuo'biao
襄樊,xiang'fan
襄樊北,xiang'fan'bei
厢拱,xiang'gong
厢栱,xiang'gong
乡公路,xiang'gong'lu
相关专业,xiang'guan'zhuan'ye
湘桂线,xiang'gui'xian
项海帆,xiang'hai'fan
箱涵,xiang'han
襄河,xiang'he
向隍,xiang'huang
橡胶板,xiang'jiao'ban
橡胶地面,xiang'jiao'di'mian
橡胶垫,xiang'jiao'dian
橡胶垫板,xiang'jiao'dian'ban
香蕉曲线,xiang'jiao'qu'xian
橡胶软梯,xiang'jiao'ruan'ti
橡胶条,xiang'jiao'tiao
橡胶止水带,xiang'jiao'zhi'shui'dai
橡胶支座,xiang'jiao'zhi'zuo
详勘,xiang'kan
向乐线,xiang'le'xian
箱梁,xiang'liang
箱梁底板,xiang'liang'di'ban
向梁线,xiang'liang'xian
箱梁预制,xiang'liang'yu'zhi
相邻板,xiang'lin'ban
相邻板高差,xiang'lin'ban'gao'cha
镶面,xiang'mian
项目部,xiang'mu'bu
项目法人,xiang'mu'fa'ren
项目范围,xiang'mu'fan'wei
项目风险管理,xiang'mu'feng'xian'guan'li
项目服务面积,xiang'mu'fu'wu'mian'ji
项目管理,xiang'mu'guan'li
项目建议书,xiang'mu'jian'yi'shu
项目经理,xiang'mu'jing'li
项目经理部,xiang'mu'jing'li'bu
项目人力资源管理,xiang'mu'ren'li'zi'yuan'guan'li
项目时间管理,xiang'mu'shi'jian'guan'li
项目收尾,xiang'mu'shou'wei
项目数据库,xiang'mu'shu'ju'ku
项目团队管理,xiang'mu'tuan'dui'guan'li
项目团队组建,xiang'mu'tuan'dui'zu'jian
项目型组织架构,xiang'mu'xing'zu'zhi'jia'gou
项目质量管理,xiang'mu'zhi'liang'guan'li
橡皮锤,xiang'pi'chui
橡皮垫,xiang'pi'dian
橡皮电缆,xiang'pi'dian'lan
橡皮垫圈,xiang'pi'dian'quan
橡皮减震器,xiang'pi'jian'zhen'qi
橡皮绝缘,xiang'pi'jue'yuan
橡皮绝缘线,xiang'pi'jue'yuan'xian
橡皮线,xiang'pi'xian
像片镶嵌图,xiang'pian'xiang'qian'tu
镶嵌花坛,xiang'qian'hua'tan
相切,xiang'qie
乡趣园,xiang'qu'yuan
镶入式荧光灯,xiang'ru'shi'ying'guang'deng
镶入式荧光灯带,xiang'ru'shi'ying'guang'deng'dai
向韶,xiang'shao
箱室,xiang'shi
向潭线,xiang'tan'xian
箱通,xiang'tong
详图,xiang'tu
乡土建筑,xiang'tu'jian'zhu
详图图库,xiang'tu'tu'ku
相位差,xiang'wei'cha
详细勘察,xiang'xi'kan'cha
详细设计,xiang'xi'she'ji
象限角,xiang'xian'jiao
箱形舞台,xiang'xing'wu'tai
象眼,xiang'yan
向阳店,xiang'yang'dian
襄渝线,xiang'yu'xian
象征意义,xiang'zheng'yi'yi
销板,xiao'ban
小比例图,xiao'bi'li'tu
小便槽,xiao'bian'cao
小便器,xiao'bian'qi
小变形,xiao'bian'xing
小变形量,xiao'bian'xing'liang
小变形量伸缩缝,xiao'bian'xing'liang'shen'suo'feng
小侧窗,xiao'ce'chuang
小城市,xiao'cheng'shi
小吃店,xiao'chi'dian
小池口,xiao'chi'kou
消除静电,xiao'chu'jing'dian
小岛,xiao'dao
小得江,xiao'de'jiang
销钉,xiao'ding
消毒设备,xiao'du'she'bei
小额枋,xiao'e'fang
消防,xiao'fang
消防安全,xiao'fang'an'quan
消防泵,xiao'fang'beng
消防车库,xiao'fang'che'ku
消防电梯,xiao'fang'dian'ti
消防干管,xiao'fang'gan'guan
消防供水,xiao'fang'gong'shui
消防控制中心,xiao'fang'kong'zhi'zhong'xin
消防立管,xiao'fang'li'guan
消防联动,xiao'fang'lian'dong
消防龙头,xiao'fang'long'tou
消防楼梯,xiao'fang'lou'ti
消防入口,xiao'fang'ru'kou
消防设备,xiao'fang'she'bei
消防设计及说明,xiao'fang'she'ji'ji'shuo'ming
消防设施,xiao'fang'she'shi
消防疏散,xiao'fang'shu'san
消防水带,xiao'fang'shui'dai
消防水喉,xiao'fang'shui'hou
消防水枪,xiao'fang'shui'qiang
消防梯,xiao'fang'ti
消防通道,xiao'fang'tong'dao
消防系统,xiao'fang'xi'tong
消防用水,xiao'fang'yong'shui
消防站,xiao'fang'zhan
小姑家,xiao'gu'jia
效果图,xiao'guo'tu
消耗材料,xiao'hao'cai'liao
小合隆,xiao'he'long
小花果,xiao'hua'guo
消火栓,xiao'huo'shuan
消火栓泵,xiao'huo'shuan'beng
消火栓给水管,xiao'huo'shuan'gei'shui'guan
消火栓试射记录,xiao'huo'shuan'shi'she'ji'lu
消火栓箱,xiao'huo'shuan'xiang
消极隔振,xiao'ji'ge'zhen
小径,xiao'jing
小箐,xiao'jing
小康庄,xiao'kang'zhuang
小冷库,xiao'leng'ku
消力齿,xiao'li'chi
消力池,xiao'li'chi
消力墩,xiao'li'dun
消力坎,xiao'li'kan
小厉线,xiao'li'xian
小梨线,xiao'li'xian
小梁山,xiao'liang'shan
小临,xiao'lin
小岭,xiao'ling
小路溪,xiao'lu'xi
小木作,xiao'mu'zuo
小南垭,xiao'nan'ya
小偏拉,xiao'pian'la
小偏心,xiao'pian'xin
小偏心受压,xiao'pian'xin'shou'ya
小偏压,xiao'pian'ya
小平锹,xiao'ping'qiao
小瀑布,xiao'pu'bu
小穹顶,xiao'qiong'ding
小区中心,xiao'qu'zhong'xin
孝泉,xiao'quan
小泉东,xiao'quan'dong
小哨,xiao'shao
小伸缩,xiao'shen'suo
小伸缩量,xiao'shen'suo'liang
小伸缩量伸缩缝,xiao'shen'suo'liang'shen'suo'feng
消声坑,xiao'sheng'keng
消声器,xiao'sheng'qi
消声室,xiao'sheng'shi
消声弯头,xiao'sheng'wan'tou
小式,xiao'shi
消石灰,xiao'shi'hui
小石子,xiao'shi'zi
小石子混凝土,xiao'shi'zi'hun'ning'tu
小寺沟,xiao'si'gou
小松,xiao'song
小土古里,xiao'tu'gu'li
小屯街,xiao'tun'jie
孝西,xiao'xi
小溪坝,xiao'xi'ba
小喜村,xiao'xi'cun
消卸,xiao'xie
小新街,xiao'xin'jie
小新线,xiao'xin'xian
小型构件,xiao'xing'gou'jian
小型机具,xiao'xing'ji'ju
小型线路机械,xiao'xing'xian'lu'ji'xie
小型压路机,xiao'xing'ya'lu'ji
小修保养,xiao'xiu'bao'yang
小学建筑,xiao'xue'jian'zhu
小宴会厅,xiao'yan'hui'ting
消烟前室,xiao'yan'qian'shi
小扬气,xiao'yang'qi
猇夜,xiao'ye
消音室,xiao'yin'shi
小游园,xiao'you'yuan
小于等于,xiao'yu'deng'yu
小雨谷,xiao'yu'gu
小榆树,xiao'yu'shu
小月旧,xiao'yue'jiu
小运转单机,xiao'yun'zhuan'dan'ji
小运转列车,xiao'yun'zhuan'lie'che
小寨坝,xiao'zhai'ba
小站,xiao'zhan
销子,xiao'zi
斜板,xie'ban
泄爆,xie'bao
谐波分析,xie'bo'fen'xi
鞋厂,xie'chang
斜撑,xie'cheng
斜道,xie'dao
斜度,xie'du
谐和感,xie'he'gan
斜河涧,xie'he'jian
卸货间,xie'huo'jian
卸货台,xie'huo'tai
谢家坡,xie'jia'po
斜交,xie'jiao
斜交叉,xie'jiao'cha
斜交桥,xie'jiao'qiao
斜交正做,xie'jiao'zheng'zuo
斜截面,xie'jie'mian
斜拉,xie'la
斜拉桥,xie'la'qiao
斜拉索,xie'la'suo
斜梁,xie'liang
泄漏事故,xie'lou'shi'gu
卸落,xie'luo
鞋帽店,xie'mao'dian
斜面梁,xie'mian'liang
斜坡道,xie'po'dao
斜坡上的球,xie'po'shang'de'qiu
泄瀑,xie'pu
斜桥,xie'qiao
斜桥斜做,xie'qiao'xie'zuo
斜桥正做,xie'qiao'zheng'zuo
歇山,xie'shan
泄水槽,xie'shui'cao
泻水槽,xie'shui'cao
泄水沟,xie'shui'gou
泄水管,xie'shui'guan
泄水孔,xie'shui'kong
泄水口,xie'shui'kou
斜四通,xie'si'tong
斜腿刚构桥,xie'tui'gang'gou'qiao
斜屋顶,xie'wu'ding
楔形内接,xie'xing'nei'jie
楔形塞尺,xie'xing'sai'chi
斜压,xie'ya
斜张桥,xie'zhang'qiao
斜照型照明器,xie'zhao'xing'zhao'ming'qi
斜转窗,xie'zhuan'chuang
斜桩,xie'zhuang
楔状绿地,xie'zhuang'lv'di
写字楼,xie'zi'lou
新艾里,xin'ai'li
锌板,xin'ban
新保安,xin'bao'an
新陈代谢主义,xin'chen'dai'xie'zhu'yi
新城川,xin'cheng'chuan
新绰源,xin'chuo'yuan
心电图,xin'dian'tu
新东孝,xin'dong'xiao
新风,xin'feng
新风机组,xin'feng'ji'zu
新高峰,xin'gao'feng
新工艺,xin'gong'yi
新古典主义,xin'gu'dian'zhu'yi
新固镇,xin'gu'zhen
心轨,xin'gui
新寒岭,xin'han'ling
信号表示器,xin'hao'biao'shi'qi
信号灯,xin'hao'deng
信号电缆,xin'hao'dian'lan
信号工区,xin'hao'gong'qu
信号机,xin'hao'ji
信号机房,xin'hao'ji'fang
信号控制台,xin'hao'kong'zhi'tai
信号楼,xin'hao'lou
信号施工,xin'hao'shi'gong
信号相位,xin'hao'xiang'wei
信号员,xin'hao'yuan
信号指示器,xin'hao'zhi'shi'qi
信号中央控制室,xin'hao'zhong'yang'kong'zhi'shi
信号周期,xin'hao'zhou'qi
忻河线,xin'he'xian
新华屯,xin'hua'tun
新机场高速路,xin'ji'chang'gao'su'lu
新建工程,xin'jian'gong'cheng
新建筑材料,xin'jian'zhu'cai'liao
新靖线新海段,xin'jing'xian'xin'hai'duan
新九站,xin'jiu'zhan
新空调,xin'kong'tiao
辛辣诡异,xin'la'gui'yi
新立屯,xin'li'tun
新理性主义,xin'li'xing'zhu'yi
新凉,xin'liang
新萝村,xin'luo'cun
新庙,xin'miao
芯模,xin'mo
新南沟,xin'nan'gou
新平坝,xin'ping'ba
新坪田,xin'ping'tian
新祺周,xin'qi'zhou
新桥铺,xin'qiao'pu
新区,xin'qu
新石线,xin'shi'xian
新曙光,xin'shu'guang
新松浦,xin'song'pu
心态浮躁,xin'tai'fu'zao
辛泰线,xin'tai'xian
新台子,xin'tai'zi
新塘边,xin'tang'bian
新铁村,xin'tie'cun
新屯川,xin'tun'chuan
新窝铺,xin'wo'pu
信息标志,xin'xi'biao'zhi
信息发布,xin'xi'fa'bu
信息犯罪,xin'xi'fan'zui
新贤城,xin'xian'cheng
新鲜空气入口,xin'xian'kong'qi'ru'kou
信箱,xin'xiang
新香坊,xin'xiang'fang
新兴场,xin'xing'chang
新兴隆,xin'xing'long
新墟,xin'xu
新彦,xin'yan
芯样,xin'yang
新阳镇,xin'yang'zhen
新艺术运动,xin'yi'shu'yun'dong
新沂西,xin'yi'xi
新义线,xin'yi'xian
新沂站,xin'yi'zhan
新泽西,xin'ze'xi
新泽西护栏,xin'ze'xi'hu'lan
新帐房,xin'zhang'fang
新杖子,xin'zhang'zi
新肇,xin'zhao
行包快运专列,xing'bao'kuai'yun'zhuan'lie
行包列车,xing'bao'lie'che
性别结构,xing'bie'jie'gou
型材,xing'cai
行车安全,xing'che'an'quan
行车闭塞法,xing'che'bi'se'fa
行车道,xing'che'dao
行车道板,xing'che'dao'ban
行车密度,xing'che'mi'du
行车日志,xing'che'ri'zhi
行车视距,xing'che'shi'ju
行车速度,xing'che'su'du
行车指挥,xing'che'zhi'hui
行车主任,xing'che'zhu'ren
行车组织规则,xing'che'zu'zhi'gui'ze
行程开关,xing'cheng'kai'guan
形除污器,xing'chu'wu'qi
行道树,xing'dao'shu
幸福滩,xing'fu'tan
型钢,xing'gang
型钢混凝土,xing'gang'hun'ning'tu
型号,xing'hao
行洪,xing'hong
行洪能力,xing'hong'neng'li
行洪影响,xing'hong'ying'xiang
行洪影响评价,xing'hong'ying'xiang'ping'jia
型架,xing'jia
形交叉,xing'jiao'cha
行近流速,xing'jin'liu'su
兴凯,xing'kai
星历,xing'li
行李标签,xing'li'biao'qian
行李存放处,xing'li'cun'fang'chu
行李票,xing'li'piao
行李室,xing'li'shi
行李提取站,xing'li'ti'qu'zhan
行李托运站,xing'li'tuo'yun'zhan
行李暂存处,xing'li'zan'cun'chu
兴莲,xing'lian
兴隆店,xing'long'dian
兴隆河,xing'long'he
兴隆山,xing'long'shan
形螺栓,xing'luo'shuan
性能检测,xing'neng'jian'ce
性能系数,xing'neng'xi'shu
兴泉堡,xing'quan'bao
型式,xing'shi
形式生成,xing'shi'sheng'cheng
行驶速度,xing'shi'su'du
杏树屯,xing'shu'tun
形体,xing'ti
形体规划,xing'ti'gui'hua
行为背景,xing'wei'bei'jing
行为性能,xing'wei'xing'neng
兴无,xing'wu
形象规划,xing'xiang'gui'hua
形象进度图,xing'xiang'jin'du'tu
形象图库,xing'xiang'tu'ku
星形拱,xing'xing'gong
行星轮架,xing'xing'lun'jia
星耀,xing'yao
行邮特快专列,xing'you'te'kuai'zhuan'lie
星源,xing'yuan
行政办公楼,xing'zheng'ban'gong'lou
形状,xing'zhuang
熊营,xiong'ying
熊岳城,xiong'yue'cheng
修补木枕,xiu'bu'mu'zhen
绣峰,xiu'feng
秀河,xiu'he
修建临时便桥,xiu'jian'lin'shi'bian'qiao
修建临时道路,xiu'jian'lin'shi'dao'lu
修建设计,xiu'jian'she'ji
修孔,xiu'kong
袖廊,xiu'lang
修理车间,xiu'li'che'jian
修理费用,xiu'li'fei'yong
休憩公园,xiu'qi'gong'yuan
锈蚀,xiu'shi
休息平台,xiu'xi'ping'tai
休息厅,xiu'xi'ting
休养城市,xiu'yang'cheng'shi
岫云,xiu'yun
修正图,xiu'zheng'tu
修枝剪,xiu'zhi'jian
徐变,xu'bian
徐变系数,xu'bian'xi'shu
虚方,xu'fang
蓿荄,xu'gai
徐工,xu'gong
虚工序,xu'gong'xu
徐华胜,xu'hua'sheng
徐家坪,xu'jia'ping
许家台,xu'jia'tai
虚交,xu'jiao
虚交点,xu'jiao'dian
序列,xu'lie
须弥座,xu'mi'zuo
需求分析,xu'qiu'fen'xi
需求预测,xu'qiu'yu'ce
蓄热法,xu're'fa
蓄热器,xu're'qi
蓄热墙,xu're'qiang
蓄热屋顶,xu're'wu'ding
蓄热系数,xu're'xi'shu
许三湾,xu'san'wan
虚声源,xu'sheng'yuan
蓄水池,xu'shui'chi
蓄水隔热,xu'shui'ge're
蓄水坑,xu'shui'keng
蓄水屋面,xu'shui'wu'mian
虚体,xu'ti
徐屯,xu'tun
徐伟伟,xu'wei'wei
虚线,xu'xian
需氧量,xu'yang'liang
徐州市高指,xu'zhou'shi'gao'zhi
徐州站,xu'zhou'zhan
玄奥晦涩,xuan'ao'hui'se
悬板活门,xuan'ban'huo'men
悬臂,xuan'bi
悬臂板,xuan'bi'ban
悬臂法,xuan'bi'fa
悬臂浇筑,xuan'bi'jiao'zhu
悬壁浇筑法,xuan'bi'jiao'zhu'fa
悬臂梁,xuan'bi'liang
悬壁梁,xuan'bi'liang
悬臂梁桥,xuan'bi'liang'qiao
悬臂拼装,xuan'bi'pin'zhuang
悬壁拼装法,xuan'bi'pin'zhuang'fa
悬臂式,xuan'bi'shi
悬臂式挡土墙,xuan'bi'shi'dang'tu'qiang
悬臂施工,xuan'bi'shi'gong
悬臂式铺轨机,xuan'bi'shi'pu'gui'ji
悬臂现象,xuan'bi'xian'xiang
选厂,xuan'chang
悬出路台,xuan'chu'lu'tai
旋床,xuan'chuang
悬垂式照明,xuan'chui'shi'zhao'ming
选点,xuan'dian
悬吊管,xuan'diao'guan
悬吊重物,xuan'diao'zhong'wu
悬浮澄清池,xuan'fu'cheng'qing'chi
悬浮固体,xuan'fu'gu'ti
轩岗,xuan'gang
悬高,xuan'gao
悬高测量,xuan'gao'ce'liang
悬挂楼梯,xuan'gua'lou'ti
悬挂式照明器,xuan'gua'shi'zhao'ming'qi
宣广,xuan'guang
眩光,xuan'guang
宣家沟,xuan'jia'gou
悬接接头,xuan'jie'jie'tou
悬空铁路,xuan'kong'tie'lu
悬空园,xuan'kong'yuan
悬篮,xuan'lan
宣礼塔,xuan'li'ta
悬梁,xuan'liang
旋钮开关,xuan'niu'kai'guan
旋喷桩,xuan'pen'zhuang
渲染,xuan'ran
悬山,xuan'shan
宣石,xuan'shi
悬索,xuan'suo
悬索桥,xuan'suo'qiao
悬索屋顶,xuan'suo'wu'ding
悬挑,xuan'tiao
悬挑板,xuan'tiao'ban
悬挑构件,xuan'tiao'gou'jian
悬挑梁,xuan'tiao'liang
悬挑楼梯,xuan'tiao'lou'ti
旋挖,xuan'wa
旋挖机,xuan'wa'ji
旋挖钻,xuan'wa'zuan
旋挖钻机,xuan'wa'zuan'ji
玄武岩,xuan'wu'yan
选线,xuan'xian
悬移质,xuan'yi'zhi
悬园,xuan'yuan
选择方案,xuan'ze'fang'an
选择开关,xuan'ze'kai'guan
选择器,xuan'ze'qi
选址意见书,xuan'zhi'yi'jian'shu
悬钟,xuan'zhong
选种室,xuan'zhong'shi
旋轴剪草机,xuan'zhou'jian'cao'ji
旋转锄,xuan'zhuan'chu
旋转开关,xuan'zhuan'kai'guan
旋转水龙头,xuan'zhuan'shui'long'tou
旋转舞台,xuan'zhuan'wu'tai
旋转压实机,xuan'zhuan'ya'shi'ji
旋子彩画,xuan'zi'cai'hua
薛斌,xue'bin
雪害,xue'hai
雪门寺,xue'men'si
削平木枕,xue'ping'mu'zhen
削坡,xue'po
学生食堂,xue'sheng'shi'tang
学生中心,xue'sheng'zhong'xin
学术讨论,xue'shu'tao'lun
学习司机,xue'xi'si'ji
学校园,xue'xiao'yuan
雪压,xue'ya
血涌如注,xue'yong'ru'zhu
学院建筑,xue'yuan'jian'zhu
学庄,xue'zhuang
旬报,xun'bao
巡查,xun'cha
循环泵,xun'huan'beng
循环给水管,xun'huan'gei'shui'guan
循环回水管,xun'huan'hui'shui'guan
循环水泵,xun'huan'shui'beng
循环水系统,xun'huan'shui'xi'tong
巡回检查,xun'hui'jian'cha
巡回养护,xun'hui'yang'hu
询价,xun'jia
询价单,xun'jia'dan
迅快如电,xun'kuai'ru'dian
训练塔,xun'lian'ta
讯问处,xun'wen'chu
旬阳北,xun'yang'bei
寻杖,xun'zhang
寻杖合角造,xun'zhang'he'jiao'zao
寻杖绞角造,xun'zhang'jiao'jiao'zao
亚布力南,ya'bu'li'nan
鸭大线,ya'da'xian
压道除锈,ya'dao'chu'xiu
亚的斯,ya'di'si
亚的斯公司,ya'di'si'gong'si
压顶,ya'ding
压顶板,ya'ding'ban
压顶石,ya'ding'shi
亚复,ya'fu
压杆失稳,ya'gan'shi'wen
压杆稳定,ya'gan'wen'ding
亚沟,ya'gou
压光,ya'guang
亚光漆,ya'guang'qi
亚河,ya'he
压花玻璃,ya'hua'bo'li
亚环线,ya'huan'xian
压降,ya'jiang
压浆,ya'jiang
压浆泵,ya'jiang'beng
压浆机,ya'jiang'ji
压浆孔,ya'jiang'kong
牙科诊室,ya'ke'zhen'shi
垭口,ya'kou
牙拉盖图,ya'la'gai'tu
压阑石,ya'lan'shi
压力安全装置,ya'li'an'quan'zhuang'zhi
压力泵,ya'li'beng
压力操纵开关,ya'li'cao'zong'kai'guan
压力废水管,ya'li'fei'shui'guan
压力罐,ya'li'guan
压力盒,ya'li'he
压力机,ya'li'ji
压力开关,ya'li'kai'guan
压力控制,ya'li'kong'zhi
压力控制器,ya'li'kong'zhi'qi
压力滤池,ya'li'lv'chi
压力容器,ya'li'rong'qi
压力式涵洞,ya'li'shi'han'dong
压力试验,ya'li'shi'yan
压力水箱,ya'li'shui'xiang
压力污水管,ya'li'wu'shui'guan
压力雨水管,ya'li'yu'shui'guan
牙林线,ya'lin'xian
压路机,ya'lu'ji
衙门庙,ya'men'miao
衙门营,ya'men'ying
压密,ya'mi
压密注浆,ya'mi'zhu'jiang
鸦雀岭,ya'que'ling
轧砂,ya'sha
轧石,ya'shi
压实,ya'shi
压实标准,ya'shi'biao'zhun
轧石场,ya'shi'chang
压实度,ya'shi'du
压实度试验,ya'shi'du'shi'yan
压实方,ya'shi'fang
压实赶光,ya'shi'gan'guang
压实厚度,ya'shi'hou'du
轧石机,ya'shi'ji
压实系数,ya'shi'xi'shu
压水,ya'shui
压碎,ya'sui
压碎率试模,ya'sui'lv'shi'mo
压碎值,ya'sui'zhi
压碎值仪,ya'sui'zhi'yi
压缩比,ya'suo'bi
压缩变形,ya'suo'bian'xing
压缩波波速,ya'suo'bo'bo'su
压缩参数,ya'suo'can'shu
压缩机,ya'suo'ji
压缩机房,ya'suo'ji'fang
压缩机组,ya'suo'ji'zu
压缩空气机,ya'suo'kong'qi'ji
压缩空气系统,ya'suo'kong'qi'xi'tong
压缩空气站,ya'suo'kong'qi'zhan
压缩模量,ya'suo'mo'liang
压缩指数,ya'suo'zhi'shu
压条,ya'tiao
牙屯堡,ya'tun'bao
压弯,ya'wan
压型钢板,ya'xing'gang'ban
压型制品,ya'xing'zhi'pin
鸦宜线,ya'yi'xian
鸭园,ya'yuan
亚洲建筑师协会,ya'zhou'jian'zhu'shi'xie'hui
压桩施工记录,ya'zhuang'shi'gong'ji'lu
雅子泉,ya'zi'quan
岩爆,yan'bao
檐壁,yan'bi
掩蔽效应,yan'bi'xiao'ying
验标,yan'biao
演播室,yan'bo'shi
演播中心,yan'bo'zhong'xin
檐部,yan'bu
验槽,yan'cao
岩层,yan'ceng
晏城,yan'cheng
晏城北,yan'cheng'bei
盐城市高指,yan'cheng'shi'gao'zhi
延迟时间,yan'chi'shi'jian
檐椽,yan'chuan
砚川,yan'chuan
烟囱,yan'cong
烟囱顶部,yan'cong'ding'bu
烟囱倾斜,yan'cong'qing'xie
盐岛,yan'dao
烟灯吐,yan'deng'tu
檐垫板,yan'dian'ban
延度,yan'du
延度仪,yan'du'yi
檐枋,yan'fang
炎方,yan'fang
烟感器,yan'gan'qi
烟感系统,yan'gan'xi'tong
堰高,yan'gao
檐沟,yan'gou
严关乡,yan'guan'xiang
沿海,yan'hai
烟害,yan'hai
沿海高速,yan'hai'gao'su
沿海高速公路,yan'hai'gao'su'gong'lu
盐淮,yan'huai
盐淮高速公路,yan'huai'gao'su'gong'lu
岩会,yan'hui
宴会厅,yan'hui'ting
阎家,yan'jia
晏家坝,yan'jia'ba
燕家庄,yan'jia'zhuang
沿江高速,yan'jiang'gao'su
沿江高速公路,yan'jiang'gao'su'gong'lu
沿江铁路,yan'jiang'tie'lu
岩脚寨,yan'jiao'zhai
验筋,yan'jin
盐津北,yan'jin'bei
盐靖,yan'jing
眼镜厂,yan'jing'chang
眼镜店,yan'jing'dian
研究工作,yan'jiu'gong'zuo
研究室,yan'jiu'shi
研究实验,yan'jiu'shi'yan
研究中心,yan'jiu'zhong'xin
眼科医院,yan'ke'yi'yuan
檐口,yan'kou
檐檩,yan'lin
眼螺栓,yan'luo'shuan
延米,yan'mi
岩棉,yan'mian
焉耆,yan'qi
檐墙,yan'qiang
岩溶,yan'rong
岩溶洞回填,yan'rong'dong'hui'tian
衍射,yan'she
岩生植物,yan'sheng'zhi'wu
延时,yan'shi
延时继电器,yan'shi'ji'dian'qi
延时开关,yan'shi'kai'guan
延时自闭冲洗阀,yan'shi'zi'bi'chong'xi'fa
验收,yan'shou
