阿奴是粒大真珠,a'nu'shi'li'da'zhen'zhu
杨四郎思归选自辽宋情缘林初发,yang'si'lang'si'gui'xuan'zi'liao'song'qing'yuan'lin'chu'fa
仰天长息泪涟涟,yang'tian'chang'xi'lei'lian'lian
仰天长息泪涟涟林初发,yang'tian'chang'xi'lei'lian'lian'lin'chu'fa
杨延昭思归选自辽宋情缘,yang'yan'zhao'si'gui'xuan'zi'liao'song'qing'yuan
佯装踏青出城关钱塘恩仇,yang'zhuang'ta'qing'chu'cheng'guan'qian'tang'en'chou
杨子郎讨亲阿妮,yang'zi'lang'tao'qin'a'ni
杨子良讨亲,yang'zi'liang'tao'qin
摇动纺车声依依美人泪选曲,yao'dong'fang'che'sheng'yi'yi'mei'ren'lei'xuan'qu
咬破指头血斑斑井边会选曲,yao'po'zhi'tou'xue'ban'ban'jing'bian'hui'xuan'qu
窑前诉初情,yao'qian'su'chu'qing
遥望慈航渺茫茫孝妇杀姑选曲,yao'wang'ci'hang'miao'mang'mang'xiao'fu'sha'gu'xuan'qu
遥望无锡思定明,yao'wang'wu'xi'si'ding'ming
要与梁兄双化蝶,yao'yu'liang'xiong'shuang'hua'die
要与梁兄双化蝶梁山伯与祝英台,yao'yu'liang'xiong'shuang'hua'die'liang'shan'bo'yu'zhu'ying'tai
要与梁兄舞长天梁祝情缘周丽璇,yao'yu'liang'xiong'wu'chang'tian'liang'zhu'qing'yuan'zhou'li'xuan
夜访选自彭湃,ye'fang'xuan'zi'peng'pai
夜来寒,ye'lai'han
也留浩气天地间,ye'liu'hao'qi'tian'di'jian
夜已三更鼓声朗,ye'yi'san'geng'gu'sheng'lang
夜已三更鼓声朗选自鸳鸯谱,ye'yi'san'geng'gu'sheng'lang'xuan'zi'yuan'yang'pu
也应当,ye'ying'dang
夜遇,ye'yu
夜遇小梅花潇湘秋雨选段,ye'yu'xiao'mei'hua'xiao'xiang'qiu'yu'xuan'duan
夜遇潇湘秋雨选段,ye'yu'xiao'xiang'qiu'yu'xuan'duan
野猪林逼上梁山,ye'zhu'lin'bi'shang'liang'shan
野猪林逼上梁山陈俊苞,ye'zhu'lin'bi'shang'liang'shan'chen'jun'bao
一案激起千层浪,yi'an'ji'qi'qian'ceng'lang
一案激起千层浪林初发,yi'an'ji'qi'qian'ceng'lang'lin'chu'fa
一案激起千重浪,yi'an'ji'qi'qian'chong'lang
一把悲泪向谁弹,yi'ba'bei'lei'xiang'shui'dan
一杯美酒似甘霖汤丽娟,yi'bei'mei'jiu'si'gan'lin'tang'li'juan
一杯美酒似甘霖汤丽娟林初发,yi'bei'mei'jiu'si'gan'lin'tang'li'juan'lin'chu'fa
一别郎君十六年磨房会,yi'bie'lang'jun'shi'liu'nian'mo'fang'hui
一步一泪到井边,yi'bu'yi'lei'dao'jing'bian
一步一泪到井边选自井边会,yi'bu'yi'lei'dao'jing'bian'xuan'zi'jing'bian'hui
一步一泪恨难消梅亭雪选曲,yi'bu'yi'lei'hen'nan'xiao'mei'ting'xue'xuan'qu
一步走错关存忘,yi'bu'zou'cuo'guan'cun'wang
一步走错关存亡葫芦庙选段,yi'bu'zou'cuo'guan'cun'wang'hu'lu'miao'xuan'duan
一草一木感情深,yi'cao'yi'mu'gan'qing'shen
忆长亭唱,yi'chang'ting'chang
忆长亭楼台会选段,yi'chang'ting'lou'tai'hui'xuan'duan
一次次提起他名字,yi'ci'ci'ti'qi'ta'ming'zi
一代帝王成囚犯,yi'dai'di'wang'cheng'qiu'fan
以德报德也应当,yi'de'bao'de'ye'ying'dang
一封朝奏九重天,yi'feng'chao'zou'jiu'chong'tian
一封书信眼前现,yi'feng'shu'xin'yan'qian'xian
一封书信眼前现林初发,yi'feng'shu'xin'yan'qian'xian'lin'chu'fa
一家骨肉情,yi'jia'gu'rou'qing
一家骨肉诉亲情,yi'jia'gu'rou'su'qin'qing
一家骨肉诉亲情四郎探母,yi'jia'gu'rou'su'qin'qing'si'lang'tan'mu
一路笙歌迎将来,yi'lu'sheng'ge'ying'jiang'lai
一路笙歌迎将来选自痴梦,yi'lu'sheng'ge'ying'jiang'lai'xuan'zi'chi'meng
一匹白绫遂我未了愿,yi'pi'bai'ling'sui'wo'wei'liao'yuan
一匹白绫遂我未了愿选自负心梦,yi'pi'bai'ling'sui'wo'wei'liao'yuan'xuan'zi'fu'xin'meng
一片春愁粘柳恕,yi'pian'chun'chou'zhan'liu'shu
一片春愁粘柳絮,yi'pian'chun'chou'zhan'liu'xu
一片春愁粘柳絮春草闯堂选段,yi'pian'chun'chou'zhan'liu'xu'chun'cao'chuang'tang'xuan'duan
一片丹心卫国邦,yi'pian'dan'xin'wei'guo'bang
一片丹心向阳开,yi'pian'dan'xin'xiang'yang'kai
一片恩情深似海春香传选曲,yi'pian'en'qing'shen'si'hai'chun'xiang'chuan'xuan'qu
一片心儿随君行,yi'pian'xin'er'sui'jun'xing
一片心思化云烟选自回书,yi'pian'xin'si'hua'yun'yan'xuan'zi'hui'shu
一片至诚祷告神明,yi'pian'zhi'cheng'dao'gao'shen'ming
一齐上楼么,yi'qi'shang'lou'me
一腔愁绪向谁谈,yi'qiang'chou'xu'xiang'shui'tan
一腔怨气恨难平,yi'qiang'yuan'qi'hen'nan'ping
一曲琵琶难尽弹秦香莲曲,yi'qu'pi'pa'nan'jin'dan'qin'xiang'lian'qu
一曲清歌表衷情,yi'qu'qing'ge'biao'zhong'qing
忆十八,yi'shi'ba
一石激起千层浪,yi'shi'ji'qi'qian'ceng'lang
一首民谣挑祸端包公侧侄,yi'shou'min'yao'tiao'huo'duan'bao'gong'ce'zhi
一听玉妃要进宫陈鸿飞黄盛典,yi'ting'yu'fei'yao'jin'gong'chen'hong'fei'huang'sheng'dian
忆绣阁告亲夫,yi'xiu'ge'gao'qin'fu
蚁穴能使长堤溃,yi'xue'neng'shi'chang'di'kui
蚁穴能使长堤溃汉文皇后黄盛典,yi'xue'neng'shi'chang'di'kui'han'wen'huang'hou'huang'sheng'dian
义正词严选自告亲夫,yi'zheng'ci'yan'xuan'zi'gao'qin'fu
一纸田契从天降彭湃选曲,yi'zhi'tian'qi'cong'tian'jiang'peng'pai'xuan'qu
银花公主辽宋情缘选曲,yin'hua'gong'zhu'liao'song'qing'yuan'xuan'qu
银花送郎辽宋情缘选曲,yin'hua'song'lang'liao'song'qing'yuan'xuan'qu
银花要把驸马,yin'hua'yao'ba'fu'ma
银花要把驸马招,yin'hua'yao'ba'fu'ma'zhao
阴魂不散在柴房柴房会陈树典,yin'hun'bu'san'zai'chai'fang'chai'fang'hui'chen'shu'dian
饮水思源,yin'shui'si'yuan
莺声渐老春色将阑,ying'sheng'jian'lao'chun'se'jiang'lan
迎曙光八一风暴,ying'shu'guang'ba'yi'feng'bao
迎新年,ying'xin'nian
英雄鲜血染,ying'xiong'xian'xue'ran
英雄总属执戈人,ying'xiong'zong'shu'zhi'ge'ren
英雄总属执戈人选自袁祟焕,ying'xiong'zong'shu'zhi'ge'ren'xuan'zi'yuan'sui'huan
英雄总属执戈人袁崇焕,ying'xiong'zong'shu'zhi'ge'ren'yuan'chong'huan
英雄总属执人袁崇焕,ying'xiong'zong'shu'zhi'ren'yuan'chong'huan
永镇南疆保太平,yong'zhen'nan'jiang'bao'tai'ping
游魂飘荡入京机,you'hun'piao'dang'ru'jing'ji
游魂飘荡入京畿,you'hun'piao'dang'ru'jing'ji
游魂飘荡入京畿负心梦,you'hun'piao'dang'ru'jing'ji'fu'xin'meng
有了他虽无眼睛也光明,you'le'ta'sui'wu'yan'jing'ye'guang'ming
犹如寒冬屋檐水,you'ru'han'dong'wu'yan'shui
犹如寒冬屋檐水金鸡玉免选曲,you'ru'han'dong'wu'yan'shui'jin'ji'yu'mian'xuan'qu
犹似寒冬屋檐水,you'si'han'dong'wu'yan'shui
犹似寒冬屋檐水金鸡玉兔李玉兰,you'si'han'dong'wu'yan'shui'jin'ji'yu'tu'li'yu'lan
佑我鸣冤负骨回,you'wo'ming'yuan'fu'gu'hui
佑我鸣冤负骨回刘明珠王丹,you'wo'ming'yuan'fu'gu'hui'liu'ming'zhu'wang'dan
有心翻天苦无计,you'xin'fan'tian'ku'wu'ji
有一颗为人心,you'yi'ke'wei'ren'xin
有姻有缘好商量,you'yin'you'yuan'hao'shang'liang
游御园,you'yu'yuan
游御园选自孟丽君,you'yu'yuan'xuan'zi'meng'li'jun
欲把幽思寄翠弦,yu'ba'you'si'ji'cui'xian
御辩梁婷刘小丽唱,yu'bian'liang'ting'liu'xiao'li'chang
喻古托物寄深情,yu'gu'tuo'wu'ji'shen'qing
玉虎传奇,yu'hu'chuan'qi
玉虎传奇白玉虎传奇陈联忠,yu'hu'chuan'qi'bai'yu'hu'chuan'qi'chen'lian'zhong
鱼家姑娘织网忙,yu'jia'gu'niang'zhi'wang'mang
欲教儿孙护江山关羽斩子,yu'jiao'er'sun'hu'jiang'shan'guan'yu'zhan'zi
欲拒无力肝胆碎王熙凤选曲,yu'ju'wu'li'gan'dan'sui'wang'xi'feng'xuan'qu
与君订约,yu'jun'ding'yue
鱼水情,yu'shui'qing
浴血啸歌御强虏,yu'xue'xiao'ge'yu'qiang'lu
浴血啸歌御强虏辞郎洲选段,yu'xue'xiao'ge'yu'qiang'lu'ci'lang'zhou'xuan'duan
语语如刀穿心过,yu'yu'ru'dao'chuan'xin'guo
狱中歌,yu'zhong'ge
狱中歌唱,yu'zhong'ge'chang
狱中歌春香传,yu'zhong'ge'chun'xiang'chuan
狱中歌春香传选段,yu'zhong'ge'chun'xiang'chuan'xuan'duan
冤仇宜解不宜结陈北科传奇,yuan'chou'yi'jie'bu'yi'jie'chen'bei'ke'chuan'qi
冤叠叠,yuan'die'die
愿儿绝处逢生路,yuan'er'jue'chu'feng'sheng'lu
愿儿孙绝处逢生路,yuan'er'sun'jue'chu'feng'sheng'lu
缘何无情不谅我,yuan'he'wu'qing'bu'liang'wo
愿花好月圆春常临,yuan'hua'hao'yue'yuan'chun'chang'lin
愿花好月圆春常临升,yuan'hua'hao'yue'yuan'chun'chang'lin'sheng
愿花好月圆春常临原调,yuan'hua'hao'yue'yuan'chun'chang'lin'yuan'tiao
愿将芳魂逐清流,yuan'jiang'fang'hun'zhu'qing'liu
愿将芳魂逐清流张怡凰,yuan'jiang'fang'hun'zhu'qing'liu'zhang'yi'huang
愿结连理慰凄凉假王真后,yuan'jie'lian'li'wei'qi'liang'jia'wang'zhen'hou
愿结连理慰凄凉假王真后许淑婉,yuan'jie'lian'li'wei'qi'liang'jia'wang'zhen'hou'xu'shu'wan
鸳谱错安排,yuan'pu'cuo'an'pai
鸳谱错安排苏六娘选段,yuan'pu'cuo'an'pai'su'liu'niang'xuan'duan
愿亲人长欢寿百年,yuan'qin'ren'chang'huan'shou'bai'nian
愿效妇娲补恨天羚羊锁,yuan'xiao'fu'wa'bu'hen'tian'ling'yang'suo
元宵佳境梦依稀,yuan'xiao'jia'jing'meng'yi'xi
元宵佳境梦依稀选自陈三五娘,yuan'xiao'jia'jing'meng'yi'xi'xuan'zi'chen'san'wu'niang
元宵佳境梦依稀益春藏书,yuan'xiao'jia'jing'meng'yi'xi'yi'chun'cang'shu
愿效女娲补恨天羚羊锁,yuan'xiao'nv'wa'bu'hen'tian'ling'yang'suo
愿与偕作白头吟,yuan'yu'xie'zuo'bai'tou'yin
愿与偕作白头吟金花女选曲,yuan'yu'xie'zuo'bai'tou'yin'jin'hua'nv'xuan'qu
愿做鸳鸯不羡仙,yuan'zuo'yuan'yang'bu'xian'xian
愿做鸳鸯不羡仙宝莲灯选曲,yuan'zuo'yuan'yang'bu'xian'xian'bao'lian'deng'xuan'qu
阅春秋血溅南梁宫,yue'chun'qiu'xue'jian'nan'liang'gong
岳飞心胆怀忠赤,yue'fei'xin'dan'huai'zhong'chi
岳家世代尽忠贞,yue'jia'shi'dai'jin'zhong'zhen
月明如水青梅求婚,yue'ming'ru'shui'qing'mei'qiu'hun
岳母刺字岳母刺字,yue'mu'ci'zi'yue'mu'ci'zi
岳母刺字岳母刺字林雄华林荣金,yue'mu'ci'zi'yue'mu'ci'zi'lin'xiong'hua'lin'rong'jin
月西沉,yue'xi'chen
岳秀英愁怀,yue'xiu'ying'chou'huai
岳秀英愁怀回书选段,yue'xiu'ying'chou'huai'hui'shu'xuan'duan
岳云请战岳云选曲,yue'yun'qing'zhan'yue'yun'xuan'qu
岳云请战紫榆泽霞楚曼泽敏,yue'yun'qing'zhan'zi'yu'ze'xia'chu'man'ze'min
云消雾散定有期,yun'xiao'wu'san'ding'you'qi
早脱樊笼冲云天,zao'tuo'fan'long'chong'yun'tian
早脱樊笼冲云天绣襦记选曲,zao'tuo'fan'long'chong'yun'tian'xiu'ru'ji'xuan'qu
早托月老把线牵,zao'tuo'yue'lao'ba'xian'qian
遭陷害怨恨倍增,zao'xian'hai'yuan'hen'bei'zeng
遭陷害怨恨倍增罗通扫北杨伟丹,zao'xian'hai'yuan'hen'bei'zeng'luo'tong'sao'bei'yang'wei'dan
责婢,ze'bi
贼子你为虎作伥,zei'zi'ni'wei'hu'zuo'chang
贼子你为虎作伥齐女情选曲,zei'zi'ni'wei'hu'zuo'chang'qi'nv'qing'xuan'qu
怎能春宵帐里欢乐,zen'neng'chun'xiao'zhang'li'huan'le
赠襦记绣襦记选场,zeng'ru'ji'xiu'ru'ji'xuan'chang
乍离苦海又堕深潭,zha'li'ku'hai'you'duo'shen'tan
乍离苦海又堕深潭汉文皇后选曲,zha'li'ku'hai'you'duo'shen'tan'han'wen'huang'hou'xuan'qu
斩娥,zhan'e
斩娥张怡凰,zhan'e'zhang'yi'huang
战士不忘家国恨,zhan'shi'bu'wang'jia'guo'hen
战士不忘家国恨选自金山战鼓,zhan'shi'bu'wang'jia'guo'hen'xuan'zi'jin'shan'zhan'gu
辗转愁思难入睡,zhan'zhuan'chou'si'nan'ru'shui
辗转愁思难入睡林初发,zhan'zhuan'chou'si'nan'ru'shui'lin'chu'fa
长老一语破禅关,zhang'lao'yi'yu'po'chan'guan
长老一语破禅关张春郎削发选段,zhang'lao'yi'yu'po'chan'guan'zhang'chun'lang'xue'fa'xuan'duan
赵家一门何不幸,zhao'jia'yi'men'he'bu'xing
赵家一门何不幸赵氏孤儿,zhao'jia'yi'men'he'bu'xing'zhao'shi'gu'er
赵家一门何不幸赵氏孤儿黄盛典,zhao'jia'yi'men'he'bu'xing'zhao'shi'gu'er'huang'sheng'dian
召见岳银瓶,zhao'jian'yue'yin'ping
昭君出塞,zhao'jun'chu'sai
昭君出塞唱,zhao'jun'chu'sai'chang
昭君出塞王昭君选段,zhao'jun'chu'sai'wang'zhao'jun'xuan'duan
朝霞映在阳澄湖,zhao'xia'ying'zai'yang'cheng'hu
朝霞映在阳澄湖上沙家浜,zhao'xia'ying'zai'yang'cheng'hu'shang'sha'jia'bang
这个罗汉,zhe'ge'luo'han
这个罗汉思凡,zhe'ge'luo'han'si'fan
这霹雳一声当头响,zhe'pi'li'yi'sheng'dang'tou'xiang
这霹雳一声当头响初发,zhe'pi'li'yi'sheng'dang'tou'xiang'chu'fa
这一言如地裂山崩,zhe'yi'yan'ru'di'lie'shan'beng
鸩母美人泪选曲,zhen'mu'mei'ren'lei'xuan'qu
真情反遭无情害,zhen'qing'fan'zao'wu'qing'hai
珍重此身卫山河辞郎州选曲,zhen'zhong'ci'shen'wei'shan'he'ci'lang'zhou'xuan'qu
珍重此身卫山河辞郎洲选曲,zhen'zhong'ci'shen'wei'shan'he'ci'lang'zhou'xuan'qu
正是清溪长流水,zheng'shi'qing'xi'chang'liu'shui
正月点灯笼,zheng'yue'dian'deng'long
正月点灯笼桃花过渡,zheng'yue'dian'deng'long'tao'hua'guo'du
质本洁来还洁去,zhi'ben'jie'lai'huan'jie'qu
智斗,zhi'dou
智斗沙家浜选段,zhi'dou'sha'jia'bang'xuan'duan
智斗沙家兵,zhi'dou'sha'jia'bing
智斗选自沙家浜,zhi'dou'xuan'zi'sha'jia'bang
执法如山,zhi'fa'ru'shan
执法如山不回头,zhi'fa'ru'shan'bu'hui'tou
执法如山不回头飞龙女选段,zhi'fa'ru'shan'bu'hui'tou'fei'long'nv'xuan'duan
执法如山飞龙女,zhi'fa'ru'shan'fei'long'nv
执法如山飞龙女黄盛典,zhi'fa'ru'shan'fei'long'nv'huang'sheng'dian
执笏慢步上金阶,zhi'hu'man'bu'shang'jin'jie
执笏慢步上金阶刘明珠审玉芝兰,zhi'hu'man'bu'shang'jin'jie'liu'ming'zhu'shen'yu'zhi'lan
只求夫妻心相同,zhi'qiu'fu'qi'xin'xiang'tong
只求夫妻心相同选自李唔直,zhi'qiu'fu'qi'xin'xiang'tong'xuan'zi'li'wu'zhi
至死不把气节移,zhi'si'bu'ba'qi'jie'yi
至死不把气节移辞郎洲选曲,zhi'si'bu'ba'qi'jie'yi'ci'lang'zhou'xuan'qu
只为君国把家抛,zhi'wei'jun'guo'ba'jia'pao
执芴迈步上金阶刘明珠审玉芝兰,zhi'wu'mai'bu'shang'jin'jie'liu'ming'zhu'shen'yu'zhi'lan
钟鼓为俺来庆贺,zhong'gu'wei'an'lai'qing'he
钟鼓为俺来庆贺选自陈太爷选婿,zhong'gu'wei'an'lai'qing'he'xuan'zi'chen'tai'ye'xuan'xu
终见春风桃李枝赵氏孤儿,zhong'jian'chun'feng'tao'li'zhi'zhao'shi'gu'er
终见春风桃李枝赵氏孤儿选曲,zhong'jian'chun'feng'tao'li'zhi'zhao'shi'gu'er'xuan'qu
忠良志金石可比,zhong'liang'zhi'jin'shi'ke'bi
钟楼钟声响叮咚春香传选曲,zhong'lou'zhong'sheng'xiang'ding'dong'chun'xiang'chuan'xuan'qu
中秋赏景悦良辰,zhong'qiu'shang'jing'yue'liang'chen
中秋赏景悦良晨御园辨亲,zhong'qiu'shang'jing'yue'liang'chen'yu'yuan'bian'qin
中秋赏景悦良辰御园辩亲许佳娜,zhong'qiu'shang'jing'yue'liang'chen'yu'yuan'bian'qin'xu'jia'na
终身误托负义郎活捉孙富谢蓉,zhong'shen'wu'tuo'fu'yi'lang'huo'zhuo'sun'fu'xie'rong
重台别,zhong'tai'bie
重台别二度梅,zhong'tai'bie'er'du'mei
重台别二度梅选段,zhong'tai'bie'er'du'mei'xuan'duan
中庭月白葫芦庙刘小丽,zhong'ting'yue'bai'hu'lu'miao'liu'xiao'li
中庭月白照庭阶葫芦庙郑健英,zhong'ting'yue'bai'zhao'ting'jie'hu'lu'miao'zheng'jian'ying
忠于人民忠于党,zhong'yu'ren'min'zhong'yu'dang
忠于人民忠于党海港谢蓉,zhong'yu'ren'min'zhong'yu'dang'hai'gang'xie'rong
周不错,zhou'bu'cuo
猪母也挂金耳钩,zhu'mu'ye'gua'jin'er'gou
祝愿亲人平安顺吴杭,zhu'yuan'qin'ren'ping'an'shun'wu'hang
竹韵松风伴鸣琴,zhu'yun'song'feng'ban'ming'qin
竹韵松声风伴鸣琴,zhu'yun'song'sheng'feng'ban'ming'qin
转送宝剑意深长,zhuan'song'bao'jian'yi'shen'chang
转送宝剑意深长包公侧侄,zhuan'song'bao'jian'yi'shen'chang'bao'gong'ce'zhi
妆罢宴毕待君返,zhuang'ba'yan'bi'dai'jun'fan
妆罢宴毕待君返刘明珠审玉芝兰,zhuang'ba'yan'bi'dai'jun'fan'liu'ming'zhu'shen'yu'zhi'lan
壮志冲云天,zhuang'zhi'chong'yun'tian
壮志未酬横祸生,zhuang'zhi'wei'chou'heng'huo'sheng
壮志未酬横祸生赵少卿许笑娜,zhuang'zhi'wei'chou'heng'huo'sheng'zhao'shao'qing'xu'xiao'na
壮志未酬心如椎千里送京娘,zhuang'zhi'wei'chou'xin'ru'zhui'qian'li'song'jing'niang
追思往事泪涟涟花烛泪,zhui'si'wang'shi'lei'lian'lian'hua'zhu'lei
捉王魁,zhuo'wang'kui
纵坠黄泉也相依,zong'zhui'huang'quan'ye'xiang'yi
纵坠黄泉也相依张怡凰,zong'zhui'huang'quan'ye'xiang'yi'zhang'yi'huang
祖国的好山河村土不让,zu'guo'de'hao'shan'he'cun'tu'bu'rang
祖国的好山河寸土不让沙家浜,zu'guo'de'hao'shan'he'cun'tu'bu'rang'sha'jia'bang
祖国的好山河村土不让沙家滨,zu'guo'de'hao'shan'he'cun'tu'bu'rang'sha'jia'bin
祖国的好山河寸土不让沙家兵,zu'guo'de'hao'shan'he'cun'tu'bu'rang'sha'jia'bing
醉曲,zui'qu
尊一声大老爷,zun'yi'sheng'da'lao'ye
尊一声大老爷十五贯杨舜平,zun'yi'sheng'da'lao'ye'shi'wu'guan'yang'shun'ping
做个田舍翁,zuo'ge'tian'she'weng
做个中华好儿女,zuo'ge'zhong'hua'hao'er'nv
