阿长与山海经,a'chang'yu'shan'hai'jing
杨士弘,yang'shi'hong
杨朔,yang'shuo
杨素,yang'su
杨太真外传,yang'tai'zhen'wai'zhuan
杨珽,yang'ting
杨万里,yang'wan'li
杨维桢,yang'wei'zhen
杨文奎,yang'wen'kui
杨无咎,yang'wu'jiu
杨显之,yang'xian'zhi
养性,yang'xing
扬雄,yang'xiong
杨秀清,yang'xiu'qing
杨衒之,yang'xuan'zhi
杨循吉,yang'xun'ji
杨炎正,yang'yan'zheng
杨亿,yang'yi
杨挹殿,yang'yi'dian
养一斋诗话,yang'yi'zhai'shi'hua
养一斋文集,yang'yi'zhai'wen'ji
杨玉如,yang'yu'ru
杨恽,yang'yun
杨云翼,yang'yun'yi
杨载,yang'zai
杨掌生,yang'zhang'sheng
杨仲弘诗,yang'zhong'hong'shi
杨州八怪,yang'zhou'ba'guai
扬州高邮人,yang'zhou'gao'you'ren
扬州画舫录,yang'zhou'hua'fang'lu
扬州慢,yang'zhou'man
扬州梦,yang'zhou'meng
扬州人,yang'zhou'ren
扬州芍药谱,yang'zhou'shao'yao'pu
杨梓,yang'zi
姚椿,yao'chun
咬定青山不放松,yao'ding'qing'shan'bu'fang'song
姚合,yao'he
姚衡,yao'heng
姚鹄,yao'hu
瑶华集,yao'hua'ji
姚际恒,yao'ji'heng
姚宽,yao'kuan
姚鼐,yao'nai
姚少监诗集,yao'shao'jian'shi'ji
姚思廉,yao'si'lian
姚燧,yao'sui
姚廷遴,yao'ting'lin
姚燮,yao'xie
姚铉,yao'xuan
姚雪垠,yao'xue'yin
姚莹,yao'ying
姚永概,yao'yong'gai
姚最,yao'zui
野草,ye'cao
夜愁,ye'chou
野处集,ye'chu'ji
夜歌,ye'ge
野谷诗集,ye'gu'shi'ji
野火,ye'huo
野火春风斗古城,ye'huo'chun'feng'dou'gu'cheng
野客丛书,ye'ke'cong'shu
叶良表,ye'liang'biao
耶律楚材,ye'lv'chu'cai
叶梦得,ye'meng'de
叶名沣,ye'ming'feng
夜上海,ye'shang'hai
夜上受降城闻笛,ye'shang'shou'xiang'cheng'wen'di
夜上西城,ye'shang'xi'cheng
叶绍翁,ye'shao'weng
叶盛,ye'sheng
叶圣陶,ye'sheng'tao
叶适,ye'shi
也是集,ye'shi'ji
野叟曝言,ye'sou'bao'yan
夜谭随录,ye'tan'sui'lu
野田黄雀行,ye'tian'huang'que'xing
叶廷琯,ye'ting'guan
叶廷珪,ye'ting'gui
野望,ye'wang
叶维斐,ye'wei'fei
叶燮,ye'xie
夜行,ye'xing
夜行船百岁光阴如梦蝶,ye'xing'chuan'bai'sui'guang'yin'ru'meng'die
夜夜曲,ye'ye'qu
夜游虎丘,ye'you'hu'qiu
夜雨寄北,ye'yu'ji'bei
夜雨秋灯录,ye'yu'qiu'deng'lu
野战诗集,ye'zhan'shi'ji
夜中不能寐,ye'zhong'bu'neng'mei
叶紫,ye'zi
医案,yi'an
易安居士文集,yi'an'ju'shi'wen'ji
贻安堂集,yi'an'tang'ji
揖翠轩赋,yi'cui'xuan'fu
一代风流,yi'dai'feng'liu
艺风堂文集,yi'feng'tang'wen'ji
义府,yi'fu
遗夫人书,yi'fu'ren'shu
艺概,yi'gai
一个人的烦恼,yi'ge'ren'de'fan'nao
艺海拾贝,yi'hai'shi'bei
乙亥杂诗,yi'hai'za'shi
一鹤庵诗钞,yi'he'an'shi'chao
义记,yi'ji
易简,yi'jian
夷坚志,yi'jian'zhi
忆江南,yi'jiang'nan
医经原旨,yi'jing'yuan'zhi
逸句,yi'ju
逸老堂诗话,yi'lao'tang'shi'hua
异林,yi'lin
意林,yi'lin
易林,yi'lin
遗令,yi'ling
遗令书,yi'ling'shu
异录,yi'lu
义门读书记,yi'men'du'shu'ji
异梦录,yi'meng'lu
一瓢诗话,yi'piao'shi'hua
圯桥进履,yi'qiao'jin'lv
忆秦娥,yi'qin'e
倚晴楼诗集,yi'qing'lou'shi'ji
义犬,yi'quan
一山国师语录,yi'shan'guo'shi'yu'lu
遗山集,yi'shan'ji
饴山堂集,yi'shan'tang'ji
遗山乐府,yi'shan'yue'fu
意苕山馆诗稿,yi'shao'shan'guan'shi'gao
医圣,yi'sheng
易释象,yi'shi'xiang
蛾术编,yi'shu'bian
蚁术词选,yi'shu'ci'xuan
易顺鼎,yi'shun'ding
奕说,yi'shuo
颐琐,yi'suo
一条战线,yi'tiao'zhan'xian
驿外断桥边,yi'wai'duan'qiao'bian
异闻记,yi'wen'ji
异闻集,yi'wen'ji
艺文类聚,yi'wen'lei'ju
一文钱,yi'wen'qian
艺文杂谈,yi'wen'za'tan
艺文志,yi'wen'zhi
义乌人,yi'wu'ren
噫嘻,yi'xi
义侠记,yi'xia'ji
宜兴人,yi'xing'ren
医学发蒙,yi'xue'fa'meng
医学家,yi'xue'jia
宜阳集,yi'yang'ji
益阳人,yi'yang'ren
疑耀,yi'yao
伊尹耕莘,yi'yin'geng'shen
义勇辞金,yi'yong'ci'jin
异苑,yi'yuan
艺苑卮言,yi'yuan'zhi'yan
一枝花,yi'zhi'hua
怡志堂诗文初编,yi'zhi'tang'shi'wen'chu'bian
意中缘,yi'zhong'yuan
益州名画录,yi'zhou'ming'hua'lu
逸周书序,yi'zhou'shu'xu
艺舟双楫,yi'zhou'shuang'ji
饮冰室全集,yin'bing'shi'quan'ji
饮冰室诗话,yin'bing'shi'shi'hua
阴符,yin'fu
银狐集,yin'hu'ji
饮湖上初晴后雨,yin'hu'shang'chu'qing'hou'yu
因话录,yin'hua'lu
尹会一,yin'hui'yi
因寄轩文集,yin'ji'xuan'wen'ji
吟剑歌,yin'jian'ge
饮酒,yin'jiu
隐居通议,yin'ju'tong'yi
阴铿,yin'keng
饮马长城窟行,yin'ma'chang'cheng'ku'xing
阴时夫,yin'shi'fu
隐秀轩集,yin'xiu'xuan'ji
阴影与曙光,yin'ying'yu'shu'guang
音韵学家,yin'yun'xue'jia
因灾异上疏,yin'zai'yi'shang'shu
尹湛纳希,yin'zhan'na'xi
饮中仙歌,yin'zhong'xian'ge
尹洙,yin'zhu
盈川集,ying'chuan'ji
颍川人,ying'chuan'ren
应德琏集,ying'de'lian'ji
鹰赋,ying'fu
樱海集,ying'hai'ji
英豪录序,ying'hao'lu'xu
英华集,ying'hua'ji
萤火赋,ying'huo'fu
英杰归真,ying'jie'gui'zhen
英烈传,ying'lie'zhuan
影梅庵忆语,ying'mei'an'yi'yu
瀛濡杂志,ying'ru'za'zhi
应劭,ying'shao
鹦鹉赋,ying'wu'fu
英雄,ying'xiong
英雄传奇,ying'xiong'chuan'qi
英雄之言,ying'xiong'zhi'yan
莺莺传,ying'ying'chuan
应斋词,ying'zhai'ci
应斋杂著,ying'zhai'za'zhu
嬴宗季女,ying'zong'ji'nv
庸庵笔记,yong'an'bi'ji
用笔论,yong'bi'lun
勇敢的人,yong'gan'de'ren
永和宫词,yong'he'gong'ci
咏怀,yong'huai
咏怀古迹首,yong'huai'gu'ji'shou
咏怀堂全集,yong'huai'tang'quan'ji
永嘉人,yong'jia'ren
咏荆轲,yong'jing'ke
咏喇叭,yong'la'ba
咏柳,yong'liu
咏史,yong'shi
咏史诗,yong'shi'shi
咏史首,yong'shi'shou
永思堂记,yong'si'tang'ji
咏田家,yong'tian'jia
咏秃,yong'tu
永团圆,yong'tuan'yuan
咏舞,yong'wu
雍熙乐府,yong'xi'yue'fu
庸闲斋笔记,yong'xian'zhai'bi'ji
咏雪,yong'xue
雍也,yong'ye
庸易通义,yong'yi'tong'yi
永遇乐,yong'yu'le
永远前进,yong'yuan'qian'jin
永州八记,yong'zhou'ba'ji
咏竹,yong'zhu
涌幢小品,yong'zhuang'xiao'pin
游褒禅山记,you'bao'chan'shan'ji
右编,you'bian
又呈吴郎,you'cheng'wu'lang
尤侗,you'dong
尤侗杂剧,you'dong'za'ju
游法华寺,you'fa'hua'si
忧愤诗,you'fen'shi
又改名弃疾,you'gai'ming'qi'ji
幽闺记,you'gui'ji
又号金风亭长秀水,you'hao'jin'feng'ting'zhang'xiu'shui
又号芹溪,you'hao'qin'xi
又号邵庵,you'hao'shao'an
又号天随子,you'hao'tian'sui'zi
又号渔洋山人,you'hao'yu'yang'shan'ren
又号仲阙,you'hao'zhong'que
游宦纪闻,you'huan'ji'wen
忧患余生,you'huan'yu'sheng
游黄檗山,you'huang'bo'shan
游金山寺,you'jin'shan'si
游居士录,you'ju'shi'lu
游梁琐记,you'liang'suo'ji
游梁新集,you'liang'xin'ji
尤袤,you'mao
幽梦影,you'meng'ying
幽明录,you'ming'lu
又名张国宝,you'ming'zhang'guo'bao
游南岳记,you'nan'yue'ji
游太平山,you'tai'ping'shan
右台仙馆笔记,you'tai'xian'guan'bi'ji
游天台山赋,you'tian'tai'shan'fu
游西池,you'xi'chi
游侠传,you'xia'chuan
游仙窟,you'xian'ku
游仙诗首,you'xian'shi'shou
有学集,you'xue'ji
幼学琼林,you'xue'qiong'lin
酉阳杂俎,you'yang'za'zu
游艺,you'yi
友谊之路,you'yi'zhi'lu
幽忧子集,you'you'zi'ji
游园不值,you'yuan'bu'zhi
有正味斋集,you'zheng'wei'zhai'ji
游钟山大爱敬寺,you'zhong'shan'da'ai'jing'si
幽州范阳人,you'zhou'fan'yang'ren
又字介子,you'zi'jie'zi
游子呤,you'zi'ling
又字梦谷,you'zi'meng'gu
喻巴蜀檄,yu'ba'shu'xi
玉抱肚,yu'bao'du
俞弁,yu'bian
庾阐,yu'chan
与陈伯之书,yu'chen'bo'zhi'shu
虞初新志,yu'chu'xin'zhi
虞初志,yu'chu'zhi
雨村曲话,yu'cun'qu'hua
俞达,yu'da
郁达夫,yu'da'fu
郁达夫文集,yu'da'fu'wen'ji
喻道论,yu'dao'lun
舆地纪胜,yu'di'ji'sheng
余冬序录,yu'dong'xu'lu
语法学家,yu'fa'xue'jia
于濆,yu'fen
于濆诗集,yu'fen'shi'ji
玉峰散人集,yu'feng'san'ren'ji
玉佛缘,yu'fo'yuan
渔夫,yu'fu
渔父,yu'fu
渔歌子,yu'ge'zi
玉钩洞天,yu'gou'dong'tian
郁孤台下清江水,yu'gu'tai'xia'qing'jiang'shui
玉海,yu'hai
玉海集,yu'hai'ji
余杭人,yu'hang'ren
玉合记,yu'he'ji
与胡邦衡书,yu'hu'bang'heng'shu
玉壶春,yu'hu'chun
于湖词,yu'hu'ci
于湖居士文集,yu'hu'ju'shi'wen'ji
玉壶清话,yu'hu'qing'hua
余怀,yu'huai
鱼豢,yu'huan
玉环记,yu'huan'ji
虞集,yu'ji
余继登,yu'ji'deng
渔家傲,yu'jia'ao
庾肩吾,yu'jian'wu
俞蛟,yu'jiao
玉阶怨,yu'jie'yuan
玉镜台,yu'jing'tai
玉镜台记,yu'jing'tai'ji
玉诀记,yu'jue'ji
于郡城送明卿之江西,yu'jun'cheng'song'ming'qing'zhi'jiang'xi
谕李昭寿书,yu'li'zhao'shou'shu
郁离子,yu'li'zi
庾亮,yu'liang
语林,yu'lin
羽林郎,yu'lin'lang
雨霖铃,yu'lin'ling
羽林行,yu'lin'xing
于伶,yu'ling
玉楼春,yu'lou'chun
郁轮袍,yu'lun'pao
虞美人,yu'mei'ren
禹庙,yu'miao
娱目醒心编,yu'mu'xing'xin'bian
俞平伯,yu'ping'bo
虞溥,yu'pu
余秋雨,yu'qiu'yu
豫让论,yu'rang'lun
豫让吞炭,yu'rang'tun'tan
与山巨源绝交书,yu'shan'ju'yuan'jue'jiao'shu
玉山璞稿,yu'shan'pu'gao
玉山樵人集,yu'shan'qiao'ren'ji
玉山堂诗文集,yu'shan'tang'shi'wen'ji
玉山逸稿,yu'shan'yi'gao
遇上皇,yu'shang'huang
余邵鱼,yu'shao'yu
喻世明言,yu'shi'ming'yan
虞世南,yu'shi'nan
御史台记,yu'shi'tai'ji
语丝,yu'si
与宋元思书,yu'song'yuan'si'shu
与苏武,yu'su'wu
玉台新咏,yu'tai'xin'yong
玉堂丛语,yu'tang'cong'yu
玉堂荟记,yu'tang'hui'ji
语堂文存,yu'tang'wen'cun
于逖,yu'ti
雨天的书,yu'tian'de'shu
俞万春,yu'wan'chun
与魏文帝笺,yu'wei'wen'di'jian
俞文豹,yu'wen'bao
宇文迥,yu'wen'jiong
宇文虚中,yu'wen'xu'zhong
渔翁,yu'weng
与吴质书,yu'wu'zhi'shu
愚溪诗序,yu'xi'shi'xu
玉萧化,yu'xiao'hua
庾信,yu'xin
庾信集序,yu'xin'ji'xu
与许靖书,yu'xu'jing'shu
愚轩集,yu'xuan'ji
预言,yu'yan
渔洋精华录,yu'yang'jing'hua'lu
渔阳三弄,yu'yang'san'nong
渔洋诗话,yu'yang'shi'hua
余姚人,yu'yao'ren
于易水送人绝,yu'yi'shui'song'ren'jue
与友人论学书,yu'you'ren'lun'xue'shu
与元九书,yu'yuan'jiu'shu
豫约,yu'yue
俞樾,yu'yue
俞赞,yu'zan
玉簪记,yu'zan'ji
豫章人,yu'zhang'ren
豫章文集,yu'zhang'wen'ji
豫章行,yu'zhang'xing
豫章醉月子,yu'zhang'zui'yue'zi
虞兆湰,yu'zhao'long
玉照堂词,yu'zhao'tang'ci
玉照新志,yu'zhao'xin'zhi
玉芝山房稿,yu'zhi'shan'fang'gao
狱中纪实,yu'zhong'ji'shi
狱中上母书,yu'zhong'shang'mu'shu
狱中上书自明,yu'zhong'shang'shu'zi'ming
狱中题壁,yu'zhong'ti'bi
狱中杂记,yu'zhong'za'ji
狱中赠邹容,yu'zhong'zeng'zou'rong
庾子山集,yu'zi'shan'ji
玉座珠帘,yu'zuo'zhu'lian
袁昂,yuan'ang
元步兵集,yuan'bu'bing'ji
元朝名臣事略,yuan'chao'ming'chen'shi'lue
元次山集,yuan'ci'shan'ji
元大都人,yuan'da'du'ren
原动力,yuan'dong'li
元丰类稿,yuan'feng'lei'gao
元好问,yuan'hao'wen
袁宏,yuan'hong
袁宏道,yuan'hong'dao
原化记,yuan'hua'ji
元怀,yuan'huai
原毁,yuan'hui
原籍吴郡人,yuan'ji'wu'jun'ren
袁家谒记,yuan'jia'ye'ji
元结,yuan'jie
袁静,yuan'jing
袁褧,yuan'jiong
袁桷,yuan'jue
原君,yuan'jun
袁凯,yuan'kai
袁康,yuan'kang
袁空渴记,yuan'kong'ke'ji
元里,yuan'li
袁枚,yuan'mei
原名鲍化普,yuan'ming'bao'hua'pu
原名曹京平,yuan'ming'cao'jing'ping
原名曹联亚,yuan'ming'cao'lian'ya
原名陈祎,yuan'ming'chen'yi
原名陈增鸿,yuan'ming'chen'zeng'hong
原名凤苞,yuan'ming'feng'bao
原名冯承植,yuan'ming'feng'cheng'zhi
原名冯骥,yuan'ming'feng'ji
原名复,yuan'ming'fu
原名高仕錤,yuan'ming'gao'shi'ji
原名郭安仁,yuan'ming'guo'an'ren
原名郭恩大,yuan'ming'guo'en'da
原名郭开贞,yuan'ming'guo'kai'zhen
原名郭希汾,yuan'ming'guo'xi'fen
原名何永芳,yuan'ming'he'yong'fang
原名黄日华,yuan'ming'huang'ri'hua
原名家骅,yuan'ming'jia'hua
原名姜德隐,yuan'ming'jiang'de'yin
原名蒋海澄,yuan'ming'jiang'hai'cheng
原名蒋伟,yuan'ming'jiang'wei
原名金龙燮,yuan'ming'jin'long'xie
原名李芾甘,yuan'ming'li'fei'gan
原名李家祥,yuan'ming'li'jia'xiang
原名梁维周,yuan'ming'liang'wei'zhou
原名林觉夫,yuan'ming'lin'jue'fu
原名刘鸿霖,yuan'ming'liu'hong'lin
原名刘蕴华,yuan'ming'liu'yun'hua
原名马书铭,yuan'ming'ma'shu'ming
原名毛季常,yuan'ming'mao'ji'chang
原名欧阳立袁,yuan'ming'ou'yang'li'yuan
原名蒲察李五,yuan'ming'pu'cha'li'wu
原名钱德富,yuan'ming'qian'de'fu
原名仁坤,yuan'ming'ren'kun
原名任禹成,yuan'ming'ren'yu'cheng
原名汝能,yuan'ming'ru'neng
原名邵骏运,yuan'ming'shao'jun'yun
原名沈德鸿,yuan'ming'shen'de'hong
原名沈乃熙,yuan'ming'shen'nai'xi
原名沈雁冰,yuan'ming'shen'yan'bing
原名沈岳焕,yuan'ming'shen'yue'huan
原名舒庆春,yuan'ming'shu'qing'chun
原名司马长卿,yuan'ming'si'ma'chang'qing
原名唐道耕,yuan'ming'tang'dao'geng
原名田复春,yuan'ming'tian'fu'chun
原名廷玉,yuan'ming'ting'yu
原名童天鉴,yuan'ming'tong'tian'jian
原名万家宝,yuan'ming'wan'jia'bao
原名王长简,yuan'ming'wang'chang'jian
原名慰高,yuan'ming'wei'gao
原名魏鸿杰,yuan'ming'wei'hong'jie
原名闻家骅,yuan'ming'wen'jia'hua
原名吴春晗,yuan'ming'wu'chun'han
原名吴祖襄,yuan'ming'wu'zu'xiang
原名遐寿,yuan'ming'xia'shou
原名萧子嶂,yuan'ming'xiao'zi'zhang
原名谢婉莹,yuan'ming'xie'wan'ying
原名徐嗣兴,yuan'ming'xu'si'xing
原名严文锦,yuan'ming'yan'wen'jin
原名杨朝熙,yuan'ming'yang'chao'xi
原名杨成业,yuan'ming'yang'cheng'ye
原名杨凤歧,yuan'ming'yang'feng'qi
原名杨毓瑨,yuan'ming'yang'yu'jin
原名姚冠三,yuan'ming'yao'guan'san
原名郁文,yuan'ming'yu'wen
原名余昭明,yuan'ming'yu'zhao'ming
原名张光人,yuan'ming'zhang'guang'ren
原名张挥,yuan'ming'zhang'hui
原名张乃莹,yuan'ming'zhang'nai'ying
原名张璞君,yuan'ming'zhang'pu'jun
原名张心远,yuan'ming'zhang'xin'yuan
原名张元定,yuan'ming'zhang'yuan'ding
原名赵平复,yuan'ming'zhao'ping'fu
原名赵平福,yuan'ming'zhao'ping'fu
原名赵文节,yuan'ming'zhao'wen'jie
原名周起应,yuan'ming'zhou'qi'ying
原名周绍仪,yuan'ming'zhou'shao'yi
原名周树人,yuan'ming'zhou'shu'ren
原名周樟寿,yuan'ming'zhou'zhang'shou
原名周祖式,yuan'ming'zhou'zu'shi
原名邹思润,yuan'ming'zou'si'run
原名祖治,yuan'ming'zu'zhi
元曲选,yuan'qu'xuan
原善,yuan'shan
圆扇赋,yuan'shan'fu
远山堂剧品,yuan'shan'tang'ju'pin
元史,yuan'shi
原诗,yuan'shi
元氏长庆集,yuan'shi'chang'qing'ji
怨诗行,yuan'shi'hang
元诗选,yuan'shi'xuan
袁枢,yuan'shu
袁水拍,yuan'shui'pai
袁文,yuan'wen
圆悟禅师,yuan'wu'chan'shi
圆悟佛果禅师语录,yuan'wu'fo'guo'chan'shi'yu'lu
原宪赞,yuan'xian'zan
元宵观灯,yuan'xiao'guan'deng
袁小修诗集,yuan'xiao'xiu'shi'ji
袁小修文集,yuan'xiao'xiu'wen'ji
袁燮,yuan'xie
鸳鸯棒,yuan'yang'bang
鸳鸯牒,yuan'yang'die
鸳鸯赋,yuan'yang'fu
鸳鸯记,yuan'yang'ji
原野,yuan'ye
袁易,yuan'yi
袁鹰,yuan'ying
远游,yuan'you
袁于令,yuan'yu'ling
圆圆曲,yuan'yuan'qu
缘缘堂随笔,yuan'yuan'tang'sui'bi
元稹,yuan'zhen
元之,yuan'zhi
袁中道,yuan'zhong'dao
袁中郎全集,yuan'zhong'lang'quan'ji
袁宗道,yuan'zong'dao
岳伯川,yue'bo'chuan
约春,yue'chun
月的乡村,yue'de'xiang'cun
岳飞,yue'fei
乐府,yue'fu
月赋,yue'fu
乐府古题要解,yue'fu'gu'ti'yao'jie
乐府诗,yue'fu'shi
乐府诗集,yue'fu'shi'ji
乐府新编阳春白雪,yue'fu'xin'bian'yang'chun'bai'xue
乐府雅词,yue'fu'ya'ci
乐府遗音,yue'fu'yi'yin
乐府杂录,yue'fu'za'lu
阅江楼记,yue'jiang'lou'ji
越绝书,yue'jue'shu
岳珂,yue'ke
月流火,yue'liu'huo
越缦堂文集,yue'man'tang'wen'ji
月日马上作,yue'ri'ma'shang'zuo
月日忆山东兄弟,yue'ri'yi'shan'dong'xiong'di
阅微草堂笔记,yue'wei'cao'tang'bi'ji
越溪新咏,yue'xi'xin'yong
月下独酌,yue'xia'du'zhuo
月下集,yue'xia'ji
月榭主人,yue'xie'zhu'ren
越谚,yue'yan
岳阳楼,yue'yang'lou
岳阳楼记,yue'yang'lou'ji
月夜,yue'ye
月夜赠张功曹,yue'ye'zeng'zhang'gong'cao
乐章词,yue'zhang'ci
岳忠武王文集,yue'zhong'wu'wang'wen'ji
越州山阴人,yue'zhou'shan'yin'ren
越州永兴人,yue'zhou'yong'xing'ren
云槎外史,yun'cha'wai'shi
云赋,yun'fu
韵府群玉,yun'fu'qun'yu
云谷杂记,yun'gu'za'ji
运河,yun'he
云笈七签,yun'ji'qi'qian
云间据目抄,yun'jian'ju'mu'chao
恽敬,yun'jing
云林稿,yun'lin'gao
云麓漫钞,yun'lu'man'chao
云门初集,yun'men'chu'ji
运命论,yun'ming'lun
云南广南县人,yun'nan'guang'nan'xian'ren
云南人,yun'nan'ren
运甓记,yun'pi'ji
云台编,yun'tai'bian
云溪友议,yun'xi'you'yi
云仙杂记,yun'xian'za'ji
云游,yun'you
云游集,yun'you'ji
韵语阳秋,yun'yu'yang'qiu
云中鹤等,yun'zhong'he'deng
云莊休居自适小乐府,yun'zhuang'xiu'ju'zi'shi'xiao'yue'fu
云左房诗钞,yun'zuo'fang'shi'chao
杂感,za'gan
杂记,za'ji
杂剧,za'ju
杂神鬼志怪,za'shen'gui'zhi'guai
杂诗,za'shi
杂说,za'shuo
在和平的日子里,zai'he'ping'de'ri'zi'li
在酒楼上,zai'jiu'lou'shang
载酒园诗话,zai'jiu'yuan'shi'hua
在其香居茶馆里,zai'qi'xiang'ju'cha'guan'li
再生缘,zai'sheng'yuan
在狱咏蝉,zai'yu'yong'chan
在元城与魏太子笺,zai'yuan'cheng'yu'wei'tai'zi'jian
簪花,zan'hua
赞宁,zan'ning
臧克家,zang'ke'jia
臧懋循,zang'mao'xun
早晨点钟,zao'chen'dian'zhong
早度蒲津关,zao'du'pu'jin'guan
早发白帝城,zao'fa'bai'di'cheng
枣林集,zao'lin'ji
早起,zao'qi
早生贵子,zao'sheng'gui'zi
造像题字,zao'xiang'ti'zi
早行遇雪,zao'xing'yu'xue
责子,ze'zi
贼退示官吏,zei'tui'shi'guan'li
赠白马王彪,zeng'bai'ma'wang'biao
赠从弟,zeng'cong'di
曾巩,zeng'gong
曾国藩,zeng'guo'fan
赠丘先生,zeng'qiu'xian'sheng
曾参,zeng'shen
赠苏昆生,zeng'su'kun'sheng
赠汪伦,zeng'wang'lun
赠秀才从军,zeng'xiu'cai'cong'jun
札朴,zha'pu
查慎行,zha'shen'xing
翟灏,zhai'hao
摘句图,zhai'ju'tu
战城南,zhan'cheng'nan
战国策,zhan'guo'ce
占花魁,zhan'hua'kui
战略,zhan'lue
湛然居士集,zhan'ran'ju'shi'ji
湛湛长空黑,zhan'zhan'chang'kong'hei
张邦基,zhang'bang'ji
章炳麟,zhang'bing'lin
张苍水集,zhang'cang'shui'ji
张潮,zhang'chao
张成,zhang'cheng
张春帆,zhang'chun'fan
张岱,zhang'dai
张德彝,zhang'de'yi
张端义,zhang'duan'yi
张方,zhang'fang
张风翼,zhang'feng'yi
杖赋,zhang'fu
长干行,zhang'gan'hang
张贵胜,zhang'gui'sheng
张国宾,zhang'guo'bin
张翰,zhang'han
张淏,zhang'hao
漳河水,zhang'he'shui
张恨水,zhang'hen'shui
张衡,zhang'heng
张亨甫全集,zhang'heng'fu'quan'ji
张鸿,zhang'hong
张祜,zhang'hu
张祜集,zhang'hu'ji
张华,zhang'hua
张怀瓘,zhang'huai'guan
张煌言,zhang'huang'yan
张惠言,zhang'hui'yan
张洎,zhang'ji
张籍,zhang'ji
张继,zhang'ji
张籍集,zhang'ji'ji
张际亮,zhang'ji'liang
张集磬,zhang'ji'qing
张戒,zhang'jie
张金吾,zhang'jin'wu
张景,zhang'jing
张景阳集,zhang'jing'yang'ji
张九龄,zhang'jiu'ling
张居正,zhang'ju'zheng
张君房,zhang'jun'fang
张抗抗,zhang'kang'kang
张可久,zhang'ke'jiu
张耒,zhang'lei
张禄,zhang'lu
张纶,zhang'lun
张鸣善,zhang'ming'shan
张南山全集,zhang'nan'shan'quan'ji
张南庄,zhang'nan'zhuang
张宁,zhang'ning
张溥,zhang'pu
张曲江词,zhang'qu'jiang'ci
张曲江集,zhang'qu'jiang'ji
张融,zhang'rong
张若虚,zhang'ruo'xu
张商英,zhang'shang'ying
掌生氏,zhang'sheng'shi
张生煮海,zhang'sheng'zhu'hai
张世南,zhang'shi'nan
张师正,zhang'shi'zheng
张氏卮言,zhang'shi'zhi'yan
张守,zhang'shou
张寿卿,zhang'shou'qing
张舜民,zhang'shun'min
张说,zhang'shuo
张四维,zhang'si'wei
张天师,zhang'tian'shi
张天翼,zhang'tian'yi
张廷玉,zhang'ting'yu
张谓,zhang'wei
张为,zhang'wei
张维屏,zhang'wei'ping
张问陶,zhang'wen'tao
张文襄公文集,zhang'wen'xiang'gong'wen'ji
张先,zhang'xian
张贤亮,zhang'xian'liang
张孝祥,zhang'xiao'xiang
张协,zhang'xie
张燮,zhang'xie
张旭,zhang'xu
张萱,zhang'xuan
章学诚,zhang'xue'cheng
张炎,zhang'yan
张燕公集,zhang'yan'gong'ji
张彦远,zhang'yan'yuan
张养浩,zhang'yang'hao
张揖,zhang'yi
张英,zhang'ying
张应昌,zhang'ying'chang
张詠,zhang'yong
张永铨,zhang'yong'quan
张雨,zhang'yu
张裕钊,zhang'yu'zhao
张元幹,zhang'yuan'gan
张元赓,zhang'yuan'geng
张元济,zhang'yuan'ji
张载,zhang'zai
张正见,zhang'zheng'jian
张之洞,zhang'zhi'dong
张之翰,zhang'zhi'han
张志和,zhang'zhi'he
张仲景,zhang'zhong'jing
张仲素,zhang'zhong'su
张翥,zhang'zhu
张鷟,zhang'zhuo
张鎡,zhang'zi
张子野词,zhang'zi'ye'ci
张宗肃,zhang'zong'su
招北客文,zhao'bei'ke'wen
赵弼,zhao'bi
赵秉文,zhao'bing'wen
赵鼎,zhao'ding
赵鼎臣,zhao'ding'chen
棹歌行,zhao'ge'xing
赵嘏,zhao'gu
招海贾文,zhao'hai'jia'wen
朝花夕拾,zhao'hua'xi'shi
招魂,zhao'hun
赵佶,zhao'ji
赵可,zhao'ke
赵葵,zhao'kui
赵礼让肥,zhao'li'rang'fei
昭槤,zhao'lian
赵璘,zhao'lin
赵令,zhao'ling
昭昧詹言,zhao'mei'zhan'yan
赵孟頫,zhao'meng'fu
赵南星,zhao'nan'xing
赵歧,zhao'qi
赵庆熺,zhao'qing'xi
赵汝鐩,zhao'ru'sui
赵善括,zhao'shan'kuo
照世杯,zhao'shi'bei
赵氏孤儿,zhao'shi'gu'er
赵师秀,zhao'shi'xiu
赵树理,zhao'shu'li
赵闻礼,zhao'wen'li
诏问山中何所赋诗以答,zhao'wen'shan'zhong'he'suo'fu'shi'yi'da
赵彦卫,zhao'yan'wei
昭阳梦史,zhao'yang'meng'shi
赵晔,zhao'ye
赵壹,zhao'yi
招隐,zhao'yin
赵元,zhao'yuan
朝朝琼树,zhao'zhao'qiong'shu
赵执信,zhao'zhi'xin
赵州人,zhao'zhou'ren
鹧鸪天,zhe'gu'tian
折桂令,zhe'gui'ling
鹧鹄天,zhe'hu'tian
浙江富阳人,zhe'jiang'fu'yang'ren
浙江海宁人,zhe'jiang'hai'ning'ren
浙江抗州人,zhe'jiang'kang'zhou'ren
浙江宁海人,zhe'jiang'ning'hai'ren
浙江钱塘人,zhe'jiang'qian'tang'ren
浙江人,zhe'jiang'ren
浙江仁和人,zhe'jiang'ren'he'ren
浙江山阴人,zhe'jiang'shan'yin'ren
浙江绍兴人,zhe'jiang'shao'xing'ren
浙江桐乡人,zhe'jiang'tong'xiang'ren
