阿斗昏庸事可哀,a'dou'hun'yong'shi'ke'ai
骗了无涯过客,pian'le'wu'ya'guo'ke
偏师借重黄公略,pian'shi'jie'zhong'huang'gong'lue
频呼救命望京华,pin'hu'jiu'ming'wang'jing'hua
频年苦斗,pin'nian'ku'dou
频移杯影泻忘醉,pin'yi'bei'ying'xie'wang'zui
平波突起伏,ping'bo'tu'qi'fu
凭割断愁丝恨缕,ping'ge'duan'chou'si'hen'lv
凭阑静听潇潇雨,ping'lan'jing'ting'xiao'xiao'yu
平浪宫前友谊多,ping'lang'gong'qian'you'yi'duo
平浪官前友谊多,ping'lang'guan'qian'you'yi'duo
评泉品酒看光杯,ping'quan'pin'jiu'kan'guang'bei
平田有份躬耕乐,ping'tian'you'fen'gong'geng'le
平心当可略宽舒,ping'xin'dang'ke'lue'kuan'shu
破腹任人钻,po'fu'ren'ren'zuan
破灭至惜恨无用,po'mie'zhi'xi'hen'wu'yong
颇为幽雅问华沟,po'wei'you'ya'wen'hua'gou
菩萨蛮,pu'sa'man
菩萨蛮黄鹤楼,pu'sa'man'huang'he'lou
七百里驱十五日,qi'bai'li'qu'shi'wu'ri
汽笛一声肠已断,qi'di'yi'sheng'chang'yi'duan
其二,qi'er
奇儿女,qi'er'nv
妻儿信未通,qi'er'xin'wei'tong
奇峰名五指,qi'feng'ming'wu'zhi
气感天地正,qi'gan'tian'di'zheng
七古,qi'gu
旗号镰刀斧头,qi'hao'lian'dao'fu'tou
起宏图,qi'hong'tu
绮怀镣绕白云中,qi'huai'liao'rao'bai'yun'zhong
七绝,qi'jue
七律,qi'lv
七律答友人,qi'lv'da'you'ren
七律冬云,qi'lv'dong'yun
七律二首,qi'lv'er'shou
七律二首送瘟神,qi'lv'er'shou'song'wen'shen
七律和郭沫若同志,qi'lv'he'guo'mo'ruo'tong'zhi
七年犹作抗倭谋,qi'nian'you'zuo'kang'wo'mou
岂其苗裔,qi'qi'miao'yi
七七权争大自由,qi'qi'quan'zheng'da'zi'you
凄清如许,qi'qing'ru'xu
崎岖陵之平,qi'qu'ling'zhi'ping
其三,qi'san
齐声唤,qi'sheng'huan
起视夜何其,qi'shi'ye'he'qi
其他不育,qi'ta'bu'yu
七星降人间,qi'xing'jiang'ren'jian
气压低过乌鞘岭,qi'ya'di'guo'wu'qiao'ling
七言诗,qi'yan'shi
其一,qi'yi
岂有不灭者乎,qi'you'bu'mie'zhe'hu
七子余三,qi'zi'yu'san
恰同学少年,qia'tong'xue'shao'nian
千百里,qian'bai'li
牵肠挂肚,qian'chang'gua'du
千愁万恨于胸涌,qian'chou'wan'hen'yu'xiong'yong
千村薜荔人遗矢,qian'cun'bi'li'ren'yi'shi
千刀万剐唐僧肉,qian'dao'wan'gua'tang'seng'rou
迁地为良信有之,qian'di'wei'liang'xin'you'zhi
千古同惜长沙傅,qian'gu'tong'xi'chang'sha'fu
浅黄深碧杂丛红,qian'huang'shen'bi'za'cong'hong
前进终为历史车,qian'jin'zhong'wei'li'shi'che
千里冰封,qian'li'bing'feng
千里波涛滚滚来,qian'li'bo'tao'gun'gun'lai
千里江船一日还,qian'li'jiang'chuan'yi'ri'hai
千里来寻故地,qian'li'lai'xun'gu'di
千门万户喜朝晖,qian'men'wan'hu'xi'zhao'hui
千年古刹千年债,qian'nian'gu'cha'qian'nian'zhai
千年浊浪排空起,qian'nian'zhuo'lang'pai'kong'qi
千秋功罪,qian'qiu'gong'zui
前世因缘后世果,qian'shi'yin'yuan'hou'shi'guo
浅水蓝鱼梭样去,qian'shui'lan'yu'suo'yang'qu
钱塘到龙井,qian'tang'dao'long'jing
钱塘在眼中,qian'tang'zai'yan'zhong
前头捉了张辉瓒,qian'tou'zhuo'le'zhang'hui'zan
前头捉住了张辉瓒,qian'tou'zhuo'zhu'le'zhang'hui'zan
前途尽有光明路,qian'tu'jin'you'guang'ming'lu
迁移出山林,qian'yi'chu'shan'lin
千载长天起大云,qian'zai'chang'tian'qi'da'yun
枪林逼,qiang'lin'bi
强邻蔑德,qiang'lin'mie'de
俏也不争春,qiao'ye'bu'zheng'chun
且问人间何为贵,qie'wen'ren'jian'he'wei'gui
秦皇岛外打鱼船,qin'huang'dao'wai'da'yu'chuan
琴绝最伤情,qin'jue'zui'shang'qing
勤劬独意深,qin'qu'du'yi'shen
沁园春,qin'yuan'chun
沁园春长沙,qin'yuan'chun'chang'sha
轻波垂钓叟,qing'bo'chui'diao'sou
清朝覆后来袁蒋,qing'chao'fu'hou'lai'yuan'jiang
轻车出延安,qing'che'chu'yan'an
清澄之空映山西,qing'cheng'zhi'kong'ying'shan'xi
晴川阁尚全,qing'chuan'ge'shang'quan
倾地一角,qing'di'yi'jiao
清风生林表,qing'feng'sheng'lin'biao
情高秋思落诗魂,qing'gao'qiu'si'luo'shi'hun
清光不令青山失,qing'guang'bu'ling'qing'shan'shi
轻鸿飞上最高搂,qing'hong'fei'shang'zui'gao'lou
请看塞上深秋月,qing'kan'sai'shang'shen'qiu'yue
清流,qing'liu
青流在怀抱,qing'liu'zai'huai'bao
清平乐,qing'ping'le
清平乐会昌,qing'ping'le'hui'chang
清平乐蒋桂战争,qing'ping'le'jiang'gui'zhan'zheng
清平乐六盘山,qing'ping'le'liu'pan'shan
清清见卵石,qing'qing'jian'luan'shi
青山渺渺,qing'shan'miao'miao
青山着意化为桥,qing'shan'zhuo'yi'hua'wei'qiao
青松怒向苍天发,qing'song'nu'xiang'cang'tian'fa
轻叹声岁月即誓,qing'tan'sheng'sui'yue'ji'shi
清溪却向青滩泄,qing'xi'que'xiang'qing'tan'xie
清幽境可咏,qing'you'jing'ke'yong
秋风度河上,qiu'feng'du'he'shang
秋风送雁归传语,qiu'feng'song'yan'gui'chuan'yu
秋高试马壮而肥,qiu'gao'shi'ma'zhuang'er'fei
秋空雁题字,qiu'kong'yan'ti'zi
求其友声,qiu'qi'you'sheng
秋收起义,qiu'shou'qi'yi
秋收时节暮云愁,qiu'shou'shi'jie'mu'yun'chou
秋水鱼群趁,qiu'shui'yu'qun'chen
秋月光如水,qiu'yue'guang'ru'shui
曲涧漾浮沤,qu'jian'yang'fu'ou
去兰造纸俏,qu'lan'zao'zhi'qiao
躯壳虽隳,qu'qiao'sui'hui
去去思君深,qu'qu'si'jun'shen
驱倭棠吉归,qu'wo'tang'ji'gui
区宇以宁,qu'yu'yi'ning
屈指行程二万,qu'zhi'xing'cheng'er'wan
驱逐倭儿共一棒,qu'zhu'wo'er'gong'yi'bang
屈子当年赋楚骚,qu'zi'dang'nian'fu'chu'sao
全军民,quan'jun'min
全无敌,quan'wu'di
雀儿答道,que'er'da'dao
群芳虽欲妒,qun'fang'sui'yu'du
群山万壑赴荆门,qun'shan'wan'he'fu'jing'men
群鸦恋晚树,qun'ya'lian'wan'shu
群众最怜英烈女,qun'zhong'zui'lian'ying'lie'nv
冉冉望君来,ran'ran'wang'jun'lai
髯翁长联语,ran'weng'chang'lian'yu
让其沦胥,rang'qi'lun'xu
让它滚滚东去,rang'ta'gun'gun'dong'qu
让吾放眼到平西,rang'wu'fang'yan'dao'ping'xi
绕石照人,rao'shi'zhao'ren
热风吹雨洒江天,re'feng'chui'yu'sa'jiang'tian
热来寻扇子,re'lai'xun'shan'zi
热泪欲零还往,re'lei'yu'ling'hai'wang
热泪欲零还住,re'lei'yu'ling'hai'zhu
热闹文明夸富丽,re'nao'wen'ming'kua'fu'li
人对一帆轻,ren'dui'yi'fan'qing
人工湖水与云平,ren'gong'hu'shui'yu'yun'ping
人或为鱼鳖,ren'huo'wei'yu'bie
人间变了,ren'jian'bian'le
人间的万象真理,ren'jian'de'wan'xiang'zhen'li
人间正道是沧桑,ren'jian'zheng'dao'shi'cang'sang
人类今闻上太空,ren'lei'jin'wen'shang'tai'kong
人类今娴上太空,ren'lei'jin'xian'shang'tai'kong
仁里安康永莫移,ren'li'an'kang'yong'mo'yi
人民解放成新主,ren'min'jie'fang'cheng'xin'zhu
人民解放军占领南京,ren'min'jie'fang'jun'zhan'ling'nan'jing
人民抗日红军,ren'min'kang'ri'hong'jun
人民日报,ren'min'ri'bao
人民五亿不团圆,ren'min'wu'yi'bu'tuan'yuan
人民咸庆大翻身,ren'min'xian'qing'da'fan'shen
人人来得花盈把,ren'ren'lai'de'hua'ying'ba
人山纷赞阵容阔,ren'shan'fen'zan'zhen'rong'kuo
人生贵有胸中竹,ren'sheng'gui'you'xiong'zhong'zhu
人生如似夏夜梦,ren'sheng'ru'si'xia'ye'meng
人生无处不青山,ren'sheng'wu'chu'bu'qing'shan
人生五十年,ren'sheng'wu'shi'nian
人生易老天难老,ren'sheng'yi'lao'tian'nan'lao
人世难逢开口笑,ren'shi'nan'feng'kai'kou'xiao
任我从容指顾,ren'wo'cong'rong'zhi'gu
人我暂时情,ren'wo'zan'shi'qing
人湮没,ren'yan'mo
人妖颠倒是非淆,ren'yao'dian'dao'shi'fei'xiao
人有病,ren'you'bing
人与货难迁,ren'yu'huo'nan'qian
人猿相揖别,ren'yuan'xiang'yi'bie
人云多虎豹,ren'yun'duo'hu'bao
人在云中路径迷,ren'zai'yun'zhong'lu'jing'mi
人执笞绳,ren'zhi'chi'sheng
仍是发冲冠,reng'shi'fa'chong'guan
日落衡云西,ri'luo'heng'yun'xi
日文小姐,ri'wen'xiao'jie
日逐寒流寻难去,ri'zhu'han'liu'xun'nan'qu
戎衣犹铁甲,rong'yi'you'tie'jia
容与中流意转痴,rong'yu'zhong'liu'yi'zhuan'chi
如果未熟,ru'guo'wei'shu
如旱望云,ru'han'wang'yun
如坚壁,ru'jian'bi
如梦令,ru'meng'ling
如梦令元旦,ru'meng'ling'yuan'dan
如梦又似幻,ru'meng'you'si'huan
如霹雳,ru'pi'li
如日方东,ru'ri'fang'dong
入世始知身泛泛,ru'shi'shi'zhi'shen'fan'fan
如松柏,ru'song'bai
如在上焉,ru'zai'shang'yan
如早望云,ru'zao'wang'yun
若问杭州何处好,ruo'wen'hang'zhou'he'chu'hao
卅年仍到赫曦台,sa'nian'reng'dao'he'xi'tai
飒飒东风扫暮霞,sa'sa'dong'feng'sao'mu'xia
飒飒秋风透树林,sa'sa'qiu'feng'tou'shu'lin
飒爽英姿五尺枪,sa'shuang'ying'zi'wu'chi'qiang
洒向人间都是怨,sa'xiang'ren'jian'dou'shi'yuan
塞上烽烟遍地阴,sai'shang'feng'yan'bian'di'yin
散步咏晚凉,san'bu'yong'wan'liang
三春眉月,san'chun'mei'yue
三纲之末,san'gang'zhi'mo
三韩为墟,san'han'wei'xu
三姐江干带笑来,san'jie'jiang'gan'dai'xiao'lai
三军过后尽开颜,san'jun'guo'hou'jin'kai'yan
三年苦斗献吾身,san'nian'ku'dou'xian'wu'shen
三千毛瑟精兵,san'qian'mao'se'jing'bing
三三政现新民主,san'san'zheng'xian'xin'min'zhu
三上北高峰,san'shang'bei'gao'feng
三十八年过去,san'shi'ba'nian'guo'qu
三十八年看过去,san'shi'ba'nian'kan'guo'qu
三十一年还旧国,san'shi'yi'nian'hai'jiu'guo
三朝暮,san'zhao'mu
扫除内外魔,sao'chu'nei'wai'mo
扫尽长空雾,sao'jin'chang'kong'wu
扫尽法西归马日,sao'jin'fa'xi'gui'ma'ri
搔头念故乡,sao'tou'nian'gu'xiang
僧是愚氓犹可训,seng'shi'yu'meng'you'ke'xun
沙场竟殒命,sha'chang'jing'yun'ming
霎时飞过荔枝湾,sha'shi'fei'guo'li'zhi'wan
陕北健儿真卓绝,shan'bei'jian'er'zhen'zhuo'jue
山川奇气曾钟此,shan'chuan'qi'qi'ceng'zhong'ci
山顶辣椒到处载,shan'ding'la'jiao'dao'chu'zai
山高路远坑深,shan'gao'lu'yuan'keng'shen
山寒海水清,shan'han'hai'shui'qing
山青深浅杂,shan'qing'shen'qian'za
山水永增光,shan'shui'yong'zeng'guang
山头鼓角相闻,shan'tou'gu'jiao'xiang'wen
山舞银蛇,shan'wu'yin'she
山下,shan'xia
山下旌旗在望,shan'xia'jing'qi'zai'wang
山下山下,shan'xia'shan'xia
山遥岛似熊,shan'yao'dao'si'xiong
山中雨过云愈暗,shan'zhong'yu'guo'yun'yu'an
上参天,shang'can'tian
上疆场彼此弯弓月,shang'jiang'chang'bi'ci'wan'gong'yue
尚飨,shang'xiang
赏心乐舞歌,shang'xin'yue'wu'ge
伤心最怕读新闻,shang'xin'zui'pa'du'xin'wen
稍候吾至莫心急,shao'hou'wu'zhi'mo'xin'ji
少年倜傥廊庙才,shao'nian'ti'tang'lang'miao'cai
稍逊风骚,shao'xun'feng'sao
射出那渺茫黑暗的城市,she'chu'na'miao'mang'hei'an'de'cheng'shi
谁人曾与评说,shei'ren'ceng'yu'ping'shuo
谁与共平生,shei'yu'gong'ping'sheng
神光离合彩云随,shen'guang'li'he'cai'yun'sui
深林归倦鸟,shen'lin'gui'juan'niao
神女应无恙,shen'nv'ying'wu'yang
神枪猎得七羊还,shen'qiang'lie'de'qi'yang'hai
深山建公路,shen'shan'jian'gong'lu
神山迢递片帆迟,shen'shan'tiao'di'pian'fan'chi
身心表里,shen'xin'biao'li
深隐绿丛中,shen'yin'lv'cong'zhong
神州岂止千重恶,shen'zhou'qi'zhi'qian'zhong'e
生别死离,sheng'bie'si'li
盛德所辉,sheng'de'suo'hui
胜境亦云多,sheng'jing'yi'yun'duo
声名不惜为吾道,sheng'ming'bu'xi'wei'wu'dao
生怕西风莲有苦,sheng'pa'xi'feng'lian'you'ku
胜似春光,sheng'si'chun'guang
胜似闲庭信步,sheng'si'xian'ting'xin'bu
胜算全操在掌中,sheng'suan'quan'cao'zai'zhang'zhong
生意盎然现,sheng'yi'ang'ran'xian
剩有残躯效李牧,sheng'you'can'qu'xiao'li'mu
剩有离人影,sheng'you'li'ren'ying
生有七子,sheng'you'qi'zi
剩有游人处,sheng'you'you'ren'chu
生于天地清净土,sheng'yu'tian'di'qing'jing'tu
生长林彪尚有村,sheng'zhang'lin'biao'shang'you'cun
盛装此湖山,sheng'zhuang'ci'hu'shan
世变沧桑,shi'bian'cang'sang
师称机械化,shi'cheng'ji'xie'hua
时代将人限,shi'dai'jiang'ren'xian
誓荡扶桑儿,shi'dang'fu'sang'er
是否亦凄苦,shi'fou'yi'qi'ku
实鉴临之,shi'jian'lin'zhi
试看天地翻覆,shi'kan'tian'di'fan'fu
试看天下谁能敌,shi'kan'tian'xia'shui'neng'di
十里莺花潋滟红,shi'li'ying'hua'lian'yan'hong
石林更幽静,shi'lin'geng'you'jing
十六字令三首,shi'liu'zi'ling'san'shou
石门封锁太行山,shi'men'feng'suo'tai'hang'shan
石门山上望韶关,shi'men'shan'shang'wang'shao'guan
十年前奋起,shi'nian'qian'fen'qi
十年勤培养,shi'nian'qin'pei'yang
十年修公路,shi'nian'xiu'gong'lu
十年植花木,shi'nian'zhi'hua'mu
士女乐游泳,shi'nv'le'you'yong
十七华亩授一夫,shi'qi'hua'mu'shou'yi'fu
是人寰,shi'ren'huan
诗人兴会更无前,shi'ren'xing'hui'geng'wu'qian
世上无难事,shi'shang'wu'nan'shi
世事纷纭从君理,shi'shi'fen'yun'cong'jun'li
世事纷纭何足理,shi'shi'fen'yun'he'zu'li
十数电光,shi'shu'dian'guang
十万工农下吉安,shi'wan'gong'nong'xia'ji'an
世无难事,shi'wu'nan'shi
事无遗算,shi'wu'yi'suan
十月雪飞白,shi'yue'xue'fei'bai
时则苦短,shi'ze'ku'duan
十丈红棉依样红,shi'zhang'hong'mian'yi'yang'hong
逝者如斯夫,shi'zhe'ru'si'fu
收拾金瓯一片,shou'shi'jin'ou'yi'pian
首推博爱,shou'tui'bo'ai
寿五十三,shou'wu'shi'san
手泽所经,shou'ze'suo'jing
手中握有杀人刀,shou'zhong'wo'you'sha'ren'dao
书丛藏醉叶,shu'cong'cang'zui'ye
数风流人物,shu'feng'liu'ren'wu
曙光初照练兵场,shu'guang'chu'zhao'lian'bing'chang
曙光初照演兵场,shu'guang'chu'zhao'yan'bing'chang
书生意气,shu'sheng'yi'qi
书信不可通,shu'xin'bu'ke'tong
疏枝立寒窗,shu'zhi'li'han'chuang
霜晨月,shuang'chen'yue
霜笼鸦不惊,shuang'long'ya'bu'jing
谁持彩练当空舞,shui'chi'cai'lian'dang'kong'wu
谁持彩练当空舞行动上,shui'chi'cai'lian'dang'kong'wu'xing'dong'shang
水调歌头,shui'diao'ge'tou
水调歌头重上井冈山,shui'diao'ge'tou'chong'shang'jing'gang'shan
水调歌头游泳,shui'diao'ge'tou'you'yong
谁敢横刀立马,shui'gan'heng'dao'li'ma
谁主沉浮,shui'zhu'chen'fu
顺逆境自归尘土,shun'ni'jing'zi'gui'chen'tu
顺逆无二门,shun'ni'wu'er'men
说项依刘我大难,shuo'xiang'yi'liu'wo'da'nan
四顾渺无际,si'gu'miao'wu'ji
四海翻腾云水怒,si'hai'fan'teng'yun'shui'nu
思君君不来,si'jun'jun'bu'lai
思量寄与谁家,si'liang'ji'yu'shui'jia
四面山相连,si'mian'shan'xiang'lian
四年囚系未离樊,si'nian'qiu'xi'wei'li'fan
四十八盘才走过,si'shi'ba'pan'cai'zou'guo
似天渊地覆,si'tian'yuan'di'fu
似天渊翻覆,si'tian'yuan'fan'fu
四万万人争解放,si'wan'wan'ren'zheng'jie'fang
四万万众,si'wan'wan'zhong
四夕至五夕,si'xi'zhi'wu'xi
四下纷飞矣,si'xia'fen'fei'yi
思想好,si'xiang'hao
四言诗,si'yan'shi
四月居延近夏初,si'yue'ju'yan'jin'xia'chu
送君延安,song'jun'yan'an
送蓬仙兄返里有感,song'peng'xian'xiong'fan'li'you'gan
送瘟神,song'wen'shen
送纵宇一郎东行,song'zong'yu'yi'lang'dong'xing
苏维埃政府主席毛泽东,su'wei'ai'zheng'fu'zhu'xi'mao'ze'dong
算人间知己吾和汝,suan'ren'jian'zhi'ji'wu'he'ru
算人间知已吾和汝,suan'ren'jian'zhi'yi'wu'he'ru
酸心结肠,suan'xin'jie'chang
碎步微吟韵小虫,sui'bu'wei'yin'yun'xiao'chong
随露珠凋零,sui'lu'zhu'diao'ling
随露珠消逝,sui'lu'zhu'xiao'shi
邃密群科济世穷,sui'mi'qun'ke'ji'shi'qiong
岁岁重阳,sui'sui'chong'yang
岁月如同梦一般,sui'yue'ru'tong'meng'yi'ban
孙陵碧血长青苔,sun'ling'bi'xue'chang'qing'tai
索句渝州叶正黄,suo'ju'yu'zhou'ye'zheng'huang
它把头低下,ta'ba'tou'di'xia
踏遍青山人未老,ta'bian'qing'shan'ren'wei'lao
他年预卜买邻钱,ta'nian'yu'bu'mai'lin'qian
她在丛中笑,ta'zai'cong'zhong'xiao
太行高耸气森森,tai'hang'gao'song'qi'sen'sen
太行浩气传千古,tai'hang'hao'qi'chuan'qian'gu
太平世界,tai'ping'shi'jie
太平希望付烟云,tai'ping'xi'wang'fu'yan'yun
太清云不滓,tai'qing'yun'bu'zi
泰山不算高,tai'shan'bu'suan'gao
谈兵虎帐,tan'bing'hu'zhang
滩波的往事,tan'bo'de'wang'shi
贪生怕死,tan'sheng'pa'si
谈笑凯歌还,tan'xiao'kai'ge'hai
弹指三十八年,tan'zhi'san'shi'ba'nian
弹指一挥间,tan'zhi'yi'hui'jian
唐宗宋祖,tang'zong'song'zu
桃花岭上风,tao'hua'ling'shang'feng
桃花源里可耕田,tao'hua'yuan'li'ke'geng'tian
陶令不知何处去,tao'ling'bu'zhi'he'chu'qu
陶晴贤,tao'qing'xian
滔滔流不尽,tao'tao'liu'bu'jin
桃苑常如春,tao'yuan'chang'ru'chun
题画竹,ti'hua'zhu
题中国妇女之出版,ti'zhong'guo'fu'nv'zhi'chu'ban
天安门上万红妍,tian'an'men'shang'wan'hong'yan
天兵怒气冲霄汉,tian'bing'nu'qi'chong'xiao'han
天地转,tian'di'zhuan
天翻地覆慨而慷,tian'fan'di'fu'kai'er'kang
天风吹我衣,tian'feng'chui'wo'yi
天高云淡,tian'gao'yun'dan
天公叹服,tian'gong'tan'fu
天乎人欤,tian'hu'ren'yu
天际悬明月,tian'ji'xuan'ming'yue
天井四四方,tian'jing'si'si'fang
天连五岭银锄落,tian'lian'wu'ling'yin'chu'luo
天马凤凰春树里,tian'ma'feng'huang'chun'shu'li
天堑变通途,tian'qian'bian'tong'tu
天若有情天亦老,tian'ruo'you'qing'tian'yi'lao
天生一个仙人洞,tian'sheng'yi'ge'xian'ren'dong
天堂逊人间,tian'tang'xun'ren'jian
天下传,tian'xia'chuan
天阴起朔风,tian'yin'qi'shuo'feng
天欲堕,tian'yu'duo
天知否,tian'zhi'fou
眺望神不疲,tiao'wang'shen'bu'pi
铁钵之袋破今时,tie'bo'zhi'dai'po'jin'shi
铁道西驰向国门,tie'dao'xi'chi'xiang'guo'men
铁马从容杀敌回,tie'ma'cong'rong'sha'di'hui
听得儿娃献花祝,ting'de'er'wa'xian'hua'zhu
艇入芳丛叶叶遮,ting'ru'fang'cong'ye'ye'zhe
听涛起雄心,ting'tao'qi'xiong'xin
挺作南天柱,ting'zuo'nan'tian'zhu
同侪争疾走,tong'chai'zheng'ji'zou
铜雀荒沦落夕阳,tong'que'huang'lun'luo'xi'yang
同赏竟无期,tong'shang'jing'wu'qi
铜铁炉中翻火焰,tong'tie'lu'zhong'fan'huo'yan
铜铁煤油遍走廊,tong'tie'mei'you'bian'zou'lang
同心干,tong'xin'gan
同志畅谈心,tong'zhi'chang'tan'xin
同作甘泉寓,tong'zuo'gan'quan'yu
头颅早悔平生贱,tou'lu'zao'hui'ping'sheng'jian
头脑精密,tou'nao'jing'mi
头破鳞伤竞不停,tou'po'lin'shang'jing'bu'ting
头上高山,tou'shang'gao'shan
头吴尾楚,tou'wu'wei'chu
土壁茅檐剑气冲,tu'bi'mao'yan'jian'qi'chong
土豆烧熟了,tu'dou'shao'shu'le
途见白云如晶海,tu'jian'bai'yun'ru'jing'hai
突起异军,tu'qi'yi'jun
徒为梁甫吟,tu'wei'liang'fu'yin
突兀处英雄埋骨,tu'wu'chu'ying'xiong'mai'gu
突兀铁颜峨,tu'wu'tie'yan'e
徒有城名垂青史,tu'you'cheng'ming'chui'qing'shi
团结坚固,tuan'jie'jian'gu
团结力,tuan'jie'li
推翻封建王朝后,tui'fan'feng'jian'wang'chao'hou
推翻原子更金圆,tui'fan'yuan'zi'geng'jin'yuan
外侮需人御,wai'wu'xu'ren'yu
晚霭峰间起,wan'ai'feng'jian'qi
挽戴安澜将军,wan'dai'an'lan'jiang'jun
万方乐奏有于阗,wan'fang'le'zou'you'yu'tian
晚风残角咽斜阳,wan'feng'can'jiao'yan'xie'yang
晚风凉抹粉墙东,wan'feng'liang'mo'fen'qiang'dong
万个金身万姓粮,wan'ge'jin'shen'wan'xing'liang
万怪烟消云落,wan'guai'yan'xiao'yun'luo
万户萧疏鬼唱歌,wan'hu'xiao'shu'gui'chang'ge
万花纷谢一时稀,wan'hua'fen'xie'yi'shi'xi
万家欢乐唱千回,wan'jia'huan'le'chang'qian'hui
万类霜天竞自由,wan'lei'shuang'tian'jing'zi'you
万里长江横渡,wan'li'chang'jiang'heng'du
万里长空且为忠魂舞,wan'li'chang'kong'qie'wei'zhong'hun'wu
万里烽烟接素秋,wan'li'feng'yan'jie'su'qiu
万里崎岖,wan'li'qi'qu
万里雪飘,wan'li'xue'piao
万绿中拥出一丛樱,wan'lv'zhong'yong'chu'yi'cong'ying
万马齐喑叫一声,wan'ma'qi'yin'jiao'yi'sheng
万马战犹酣,wan'ma'zhan'you'han
万民尽作主人翁,wan'min'jin'zuo'zhu'ren'weng
万木霜天红烂漫,wan'mu'shuang'tian'hong'lan'man
万千幽愤欲回天,wan'qian'you'fen'yu'hui'tian
宛如梦中之梦,wan'ru'meng'zhong'zhi'meng
万水千山只等闲,wan'shui'qian'shan'zhi'deng'xian
挽续范亭先生,wan'xu'fan'ting'xian'sheng
挽易昌陶,wan'yi'chang'tao
万丈长缨要把鲲鹏缚,wan'zhang'chang'ying'yao'ba'kun'peng'fu
望长城内外,wang'chang'cheng'nei'wai
望断南飞雁,wang'duan'nan'fei'yan
王家坪上杨家岭,wang'jia'ping'shang'yang'jia'ling
望灵荐杯酒,wang'ling'jian'bei'jiu
往事越千年,wang'shi'yue'qian'nian
未妨仇恨是清狂,wei'fang'chou'hen'shi'qing'kuang
微风拂晓,wei'feng'fu'xiao
微风拂煦,wei'feng'fu'xu
微风偶尔吹,wei'feng'ou'er'chui
微光轻洒薄云间,wei'guang'qing'sa'bo'yun'jian
为国效命,wei'guo'xiao'ming
围剿,wei'jiao
位看工厂林立日,wei'kan'gong'chang'lin'li'ri
为李进同志题所摄庐山仙人洞照,wei'li'jin'tong'zhi'ti'suo'she'lu'shan'xian'ren'dong'zhao
卫名保誉舍吾身,wei'ming'bao'yu'she'wu'shen
为女民兵题照,wei'nv'min'bing'ti'zhao
惟挈大端,wei'qie'da'duan
为卿长系阿侬思,wei'qing'chang'xi'a'nong'si
为人民,wei'ren'min
为数归鸿抬星眼,wei'shu'gui'hong'tai'xing'yan
为谁怜入鬓成丝,wei'shui'lian'ru'bin'cheng'si
唯叹沧海变桑田,wei'tan'cang'hai'bian'sang'tian
唯叹时至花舞空,wei'tan'shi'zhi'hua'wu'kong
唯叹已非昔颜矣,wei'tan'yi'fei'xi'yan'yi
为问何时猜得,wei'wen'he'shi'cai'de
卫我国权,wei'wo'guo'quan
唯我彭大将军,wei'wo'peng'da'jiang'jun
魏武挥鞭,wei'wu'hui'bian
胃衍祀锦,wei'yan'si'jin
为伊太息有婢娟,wei'yi'tai'xi'you'bi'juan
为营步步嗟何及,wei'ying'bu'bu'jie'he'ji
惟有交游旧,wei'you'jiao'you'jiu
唯有兰花香正好,wei'you'lan'hua'xiang'zheng'hao
唯有荔枝园更好,wei'you'li'zhi'yuan'geng'hao
为有牺牲多壮志,wei'you'xi'sheng'duo'zhuang'zhi
惟余此处一孤家,wei'yu'ci'chu'yi'gu'jia
惟余莽莽,wei'yu'mang'mang
为援保定三军灭,wei'yuan'bao'ding'san'jun'mie
慰祝苍生乐大同,wei'zhu'cang'sheng'le'da'tong
问苍茫大地,wen'cang'mang'da'di
问苍茫天地,wen'cang'mang'tian'di
闻长江大桥成喜赋,wen'chang'jiang'da'qiao'cheng'xi'fu
闻道太阳能量少,wen'dao'tai'yang'neng'liang'shao
文德现身能说法,wen'de'xian'shen'neng'shuo'fa
闻鸡久听南天雨,wen'ji'jiu'ting'nan'tian'yu
闻西北野战军收复蟠龙作,wen'xi'bei'ye'zhan'jun'shou'fu'pan'long'zuo
问讯吴刚何所有,wen'xun'wu'gang'he'suo'you
嗡嗡叫,weng'weng'jiao
卧病阅风霜,wo'bing'yue'feng'shuang
我党英雄真辈出,wo'dang'ying'xiong'zhen'bei'chu
我返自崖君去矣,wo'fan'zi'ya'jun'qu'yi
我怀郁如楚,wo'huai'yu'ru'chu
我来无限兴亡感,wo'lai'wu'xian'xing'wang'gan
我失骄杨君失柳,wo'shi'jiao'yang'jun'shi'liu
握手珠眶涨,wo'shou'zhu'kuang'zhang
我为奴辱,wo'wei'nu'ru
我已楼楼卿泛泛,wo'yi'lou'lou'qing'fan'fan
我欲因之梦寥廓,wo'yu'yin'zhi'meng'liao'kuo
我自岿然不动,wo'zi'kui'ran'bu'dong
武昌东湖九女墩,wu'chang'dong'hu'jiu'nv'dun
无车弹铗怨冯宣,wu'che'dan'jia'yuan'feng'xuan
五德荦荦,wu'de'luo'luo
五帝三皇神圣事,wu'di'san'huang'shen'sheng'shi
无端散出一天愁,wu'duan'san'chu'yi'tian'chou
无法无天是为民,wu'fa'wu'tian'shi'wei'min
无非一念救苍生,wu'fei'yi'nian'jiu'cang'sheng
吴刚捧出桂花酒,wu'gang'peng'chu'gui'hua'jiu
五古,wu'gu
吾归矣,wu'gui'yi
