阿坝师范高等专科学校,a'ba'shi'fan'gao'deng'zhuan'ke'xue'xiao
酒泉钢铁公司职工大学,jiu'quan'gang'tie'gong'si'zhi'gong'da'xue
酒泉职业技术学院,jiu'quan'zhi'ye'ji'shu'xue'yuan
九州大学,jiu'zhou'da'xue
九州职业技术学院,jiu'zhou'zhi'ye'ji'shu'xue'yuan
卡耐基梅隆大学,ka'nai'ji'mei'long'da'xue
喀什师范学院,ka'shi'shi'fan'xue'yuan
开放大学,kai'fang'da'xue
开封大学,kai'feng'da'xue
开封教育学院,kai'feng'jiao'yu'xue'yuan
凯里学院,kai'li'xue'yuan
开罗大学,kai'luo'da'xue
开普敦大学,kai'pu'dun'da'xue
坎皮纳斯天主教大学,kan'pi'na'si'tian'zhu'jiao'da'xue
康定民族师范高等专科学校,kang'ding'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
康乃尔大学,kang'nai'er'da'xue
科尔沁区,ke'er'qin'qu
科尔沁艺术职业学院,ke'er'qin'yi'shu'zhi'ye'xue'yuan
克拉玛依区,ke'la'ma'yi'qu
克拉玛依职业技术学院,ke'la'ma'yi'zhi'ye'ji'shu'xue'yuan
科英布拉大学,ke'ying'bu'la'da'xue
空军第二航空学院,kong'jun'di'er'hang'kong'xue'yuan
空军飞行学院,kong'jun'fei'xing'xue'yuan
空军后勤学院,kong'jun'hou'qin'xue'yuan
空军气象学院,kong'jun'qi'xiang'xue'yuan
空军政治学院,kong'jun'zheng'zhi'xue'yuan
昆明大学,kun'ming'da'xue
昆明工业职业技术学院,kun'ming'gong'ye'zhi'ye'ji'shu'xue'yuan
昆明理工大学,kun'ming'li'gong'da'xue
昆明理工大学津桥学院,kun'ming'li'gong'da'xue'jin'qiao'xue'yuan
昆明师范高等专科学校,kun'ming'shi'fan'gao'deng'zhuan'ke'xue'xiao
昆明扬帆职业技术学院,kun'ming'yang'fan'zhi'ye'ji'shu'xue'yuan
昆明冶金高等专科学校,kun'ming'ye'jin'gao'deng'zhuan'ke'xue'xiao
昆明艺术职业学院,kun'ming'yi'shu'zhi'ye'xue'yuan
昆明医学院,kun'ming'yi'xue'yuan
昆明医学院海源学院,kun'ming'yi'xue'yuan'hai'yuan'xue'yuan
昆山登云科技职业学院,kun'shan'deng'yun'ke'ji'zhi'ye'xue'yuan
拉萨师范高等专科学校,la'sa'shi'fan'gao'deng'zhuan'ke'xue'xiao
莱顿大学,lai'dun'da'xue
莱芜职业技术学院,lai'wu'zhi'ye'ji'shu'xue'yuan
莱阳农学院,lai'yang'nong'xue'yuan
莱阳农学院海都学院,lai'yang'nong'xue'yuan'hai'dou'xue'yuan
兰州城市学院,lan'zhou'cheng'shi'xue'yuan
兰州大学,lan'zhou'da'xue
兰州工业高等专科学校,lan'zhou'gong'ye'gao'deng'zhuan'ke'xue'xiao
兰州航空工业职工大学,lan'zhou'hang'kong'gong'ye'zhi'gong'da'xue
兰州交通大学,lan'zhou'jiao'tong'da'xue
兰州交通大学博文学院,lan'zhou'jiao'tong'da'xue'bo'wen'xue'yuan
兰州教育学院,lan'zhou'jiao'yu'xue'yuan
兰州理工大学,lan'zhou'li'gong'da'xue
兰州理工大学技术工程学院,lan'zhou'li'gong'da'xue'ji'shu'gong'cheng'xue'yuan
兰州商学院,lan'zhou'shang'xue'yuan
兰州商学院长青学院,lan'zhou'shang'xue'yuan'chang'qing'xue'yuan
兰州商学院陇桥学院,lan'zhou'shang'xue'yuan'long'qiao'xue'yuan
兰州师范高等专科学校,lan'zhou'shi'fan'gao'deng'zhuan'ke'xue'xiao
兰州石化职业技术学院,lan'zhou'shi'hua'zhi'ye'ji'shu'xue'yuan
兰州铁路工程职工大学,lan'zhou'tie'lu'gong'cheng'zhi'gong'da'xue
兰州外语职业学院,lan'zhou'wai'yu'zhi'ye'xue'yuan
兰州职业技术学院,lan'zhou'zhi'ye'ji'shu'xue'yuan
兰州资源环境职业技术学院,lan'zhou'zi'yuan'huan'jing'zhi'ye'ji'shu'xue'yuan
廊坊师范学院,lang'fang'shi'fan'xue'yuan
廊坊职业技术学院,lang'fang'zhi'ye'ji'shu'xue'yuan
乐山师范学院,le'shan'shi'fan'xue'yuan
乐山职业技术学院,le'shan'zhi'ye'ji'shu'xue'yuan
里昂第一大学,li'ang'di'yi'da'xue
丽江师范高等专科学校,li'jiang'shi'fan'gao'deng'zhuan'ke'xue'xiao
黎明职业大学,li'ming'zhi'ye'da'xue
丽水学院,li'shui'xue'yuan
丽水职业技术学院,li'shui'zhi'ye'ji'shu'xue'yuan
连云港师范高等专科学校,lian'yun'gang'shi'fan'gao'deng'zhuan'ke'xue'xiao
连云港职业技术学院,lian'yun'gang'zhi'ye'ji'shu'xue'yuan
梁子湖区,liang'zi'hu'qu
聊城大学,liao'cheng'da'xue
聊城大学东昌学院,liao'cheng'da'xue'dong'chang'xue'yuan
聊城教育学院,liao'cheng'jiao'yu'xue'yuan
聊城职业技术学院,liao'cheng'zhi'ye'ji'shu'xue'yuan
辽东学院,liao'dong'xue'yuan
辽宁大学,liao'ning'da'xue
辽宁对外经贸学院,liao'ning'dui'wai'jing'mao'xue'yuan
辽宁公安司法管理干部学院,liao'ning'gong'an'si'fa'guan'li'gan'bu'xue'yuan
辽宁工程技术大学,liao'ning'gong'cheng'ji'shu'da'xue
辽宁工学院,liao'ning'gong'xue'yuan
辽宁广告职业学院,liao'ning'guang'gao'zhi'ye'xue'yuan
辽宁机电职业技术学院,liao'ning'ji'dian'zhi'ye'ji'shu'xue'yuan
辽宁交通高等专科学校,liao'ning'jiao'tong'gao'deng'zhuan'ke'xue'xiao
辽宁金融职业学院,liao'ning'jin'rong'zhi'ye'xue'yuan
辽宁警官高等专科学校,liao'ning'jing'guan'gao'deng'zhuan'ke'xue'xiao
辽宁经济职业技术学院,liao'ning'jing'ji'zhi'ye'ji'shu'xue'yuan
辽宁科技学院,liao'ning'ke'ji'xue'yuan
辽宁林业职业技术学院,liao'ning'lin'ye'zhi'ye'ji'shu'xue'yuan
辽宁美术职业学院,liao'ning'mei'shu'zhi'ye'xue'yuan
辽宁农业职业技术学院,liao'ning'nong'ye'zhi'ye'ji'shu'xue'yuan
辽宁商贸职业学院,liao'ning'shang'mao'zhi'ye'xue'yuan
辽宁师范大学,liao'ning'shi'fan'da'xue
辽宁师范大学海华学院,liao'ning'shi'fan'da'xue'hai'hua'xue'yuan
辽宁石化职业技术学院,liao'ning'shi'hua'zhi'ye'ji'shu'xue'yuan
辽宁石油化工大学,liao'ning'shi'you'hua'gong'da'xue
辽宁石油化工大学顺华学院,liao'ning'shi'you'hua'gong'da'xue'shun'hua'xue'yuan
辽宁税务高等专科学校,liao'ning'shui'wu'gao'deng'zhuan'ke'xue'xiao
辽宁体育运动职业技术学院,liao'ning'ti'yu'yun'dong'zhi'ye'ji'shu'xue'yuan
辽宁文化艺术职工大学,liao'ning'wen'hua'yi'shu'zhi'gong'da'xue
辽宁信息职业技术学院,liao'ning'xin'xi'zhi'ye'ji'shu'xue'yuan
辽宁艺术职业学院,liao'ning'yi'shu'zhi'ye'xue'yuan
辽宁中医学院,liao'ning'zhong'yi'xue'yuan
辽宁中医学院杏林学院,liao'ning'zhong'yi'xue'yuan'xing'lin'xue'yuan
辽阳职业技术学院,liao'yang'zhi'ye'ji'shu'xue'yuan
辽源职业技术学院,liao'yuan'zhi'ye'ji'shu'xue'yuan
临沧教育学院,lin'cang'jiao'yu'xue'yuan
临汾职业技术学院,lin'fen'zhi'ye'ji'shu'xue'yuan
临沂师范学院,lin'yi'shi'fan'xue'yuan
岭南职业技术学院,ling'nan'zhi'ye'ji'shu'xue'yuan
六盘水师范高等专科学校,liu'pan'shui'shi'fan'gao'deng'zhuan'ke'xue'xiao
六盘水职业技术学院,liu'pan'shui'zhi'ye'ji'shu'xue'yuan
柳州师范高等专科学校,liu'zhou'shi'fan'gao'deng'zhuan'ke'xue'xiao
柳州医学高等专科学校,liu'zhou'yi'xue'gao'deng'zhuan'ke'xue'xiao
柳州运输职业技术学院,liu'zhou'yun'shu'zhi'ye'ji'shu'xue'yuan
柳州职业技术学院,liu'zhou'zhi'ye'ji'shu'xue'yuan
陇东学院,long'dong'xue'yuan
龙马潭区,long'ma'tan'qu
陇南师范高等专科学校,long'nan'shi'fan'gao'deng'zhuan'ke'xue'xiao
龙泉驿区,long'quan'yi'qu
龙岩学院,long'yan'xue'yuan
娄底职业技术学院,lou'di'zhi'ye'ji'shu'xue'yuan
六安职业技术学院,lu'an'zhi'ye'ji'shu'xue'yuan
潞安职业技术学院,lu'an'zhi'ye'ji'shu'xue'yuan
鲁东大学,lu'dong'da'xue
陆军参谋学院,lu'jun'can'mou'xue'yuan
鲁汶天主教大学,lu'wen'tian'zhu'jiao'da'xue
鲁迅美术学院,lu'xun'mei'shu'xue'yuan
泸州医学院,lu'zhou'yi'xue'yuan
泸州职业技术学院,lu'zhou'zhi'ye'ji'shu'xue'yuan
伦敦大学,lun'dun'da'xue
罗定职业技术学院,luo'ding'zhi'ye'ji'shu'xue'yuan
漯河医学高等专科学校,luo'he'yi'xue'gao'deng'zhuan'ke'xue'xiao
漯河职业技术学院,luo'he'zhi'ye'ji'shu'xue'yuan
罗切斯特大学,luo'qie'si'te'da'xue
洛桑联邦综合技术大学,luo'sang'lian'bang'zong'he'ji'shu'da'xue
洛阳大学,luo'yang'da'xue
洛阳工业高等专科学校,luo'yang'gong'ye'gao'deng'zhuan'ke'xue'xiao
洛阳师范学院,luo'yang'shi'fan'xue'yuan
吕梁高等专科学校,lv'liang'gao'deng'zhuan'ke'xue'xiao
旅顺口区,lv'shun'kou'qu
马鞍山师范高等专科学校,ma'an'shan'shi'fan'gao'deng'zhuan'ke'xue'xiao
马德里孔普卢顿大学,ma'de'li'kong'pu'lu'dun'da'xue
麻省理工学院,ma'sheng'li'gong'xue'yuan
马依多尔大学,ma'yi'duo'er'da'xue
麦吉尔大学,mai'ji'er'da'xue
麦克马斯特大学,mai'ke'ma'si'te'da'xue
曼彻斯特大学,man'che'si'te'da'xue
茂名学院,mao'ming'xue'yuan
茂名职业技术学院,mao'ming'zhi'ye'ji'shu'xue'yuan
梅里斯达斡尔族区,mei'li'si'da'wo'er'zu'qu
眉山职业技术学院,mei'shan'zhi'ye'ji'shu'xue'yuan
湄洲湾职业技术学院,mei'zhou'wan'zhi'ye'ji'shu'xue'yuan
门头沟区,men'tou'gou'qu
密歇根大学,mi'xie'gen'da'xue
绵阳师范学院,mian'yang'shi'fan'xue'yuan
绵阳职业技术学院,mian'yang'zhi'ye'ji'shu'xue'yuan
民办安徽明星科技职业学院,min'ban'an'hui'ming'xing'ke'ji'zhi'ye'xue'yuan
民办安徽外国语职业技术学院,min'ban'an'hui'wai'guo'yu'zhi'ye'ji'shu'xue'yuan
民办安徽文达信息技术职业学院,min'ban'an'hui'wen'da'xin'xi'ji'shu'zhi'ye'xue'yuan
民办合肥经济技术职业学院,min'ban'he'fei'jing'ji'ji'shu'zhi'ye'xue'yuan
民办三联职业技术学院,min'ban'san'lian'zhi'ye'ji'shu'xue'yuan
民办四川天一学院,min'ban'si'chuan'tian'yi'xue'yuan
民办天狮职业技术学院,min'ban'tian'shi'zhi'ye'ji'shu'xue'yuan
闵北职业技术学院,min'bei'zhi'ye'ji'shu'xue'yuan
闽江学院,min'jiang'xue'yuan
闵西职业技术学院,min'xi'zhi'ye'ji'shu'xue'yuan
明达职业技术学院,ming'da'zhi'ye'ji'shu'xue'yuan
墨尔本大学,mo'er'ben'da'xue
莫斯科大学,mo'si'ke'da'xue
墨西哥国立自治大学,mo'xi'ge'guo'li'zi'zhi'da'xue
牡丹江大学,mu'dan'jiang'da'xue
牡丹江师范学院,mu'dan'jiang'shi'fan'xue'yuan
牡丹江医学院,mu'dan'jiang'yi'xue'yuan
南昌大学,nan'chang'da'xue
南昌大学共青学院,nan'chang'da'xue'gong'qing'xue'yuan
南昌大学科学技术学院,nan'chang'da'xue'ke'xue'ji'shu'xue'yuan
南昌钢铁有限责任公司职工大学,nan'chang'gang'tie'you'xian'ze'ren'gong'si'zhi'gong'da'xue
南昌工程学院,nan'chang'gong'cheng'xue'yuan
南昌航空工业学院,nan'chang'hang'kong'gong'ye'xue'yuan
南昌航空工业学院科技学院,nan'chang'hang'kong'gong'ye'xue'yuan'ke'ji'xue'yuan
南昌教育学院,nan'chang'jiao'yu'xue'yuan
南昌理工学院,nan'chang'li'gong'xue'yuan
南昌陆军学院,nan'chang'lu'jun'xue'yuan
南昌师范高等专科学校,nan'chang'shi'fan'gao'deng'zhuan'ke'xue'xiao
南昌市职工科技大学,nan'chang'shi'zhi'gong'ke'ji'da'xue
南充职业技术学院,nan'chong'zhi'ye'ji'shu'xue'yuan
南方动力机械公司职工工学院,nan'fang'dong'li'ji'xie'gong'si'zhi'gong'gong'xue'yuan
南方医科大学,nan'fang'yi'ke'da'xue
南海东软信息技术职业学院,nan'hai'dong'ruan'xin'xi'ji'shu'zhi'ye'xue'yuan
南华大学,nan'hua'da'xue
南华大学船山学院,nan'hua'da'xue'chuan'shan'xue'yuan
南华工商学院,nan'hua'gong'shang'xue'yuan
南京财经大学,nan'jing'cai'jing'da'xue
南京财经大学红山学院,nan'jing'cai'jing'da'xue'hong'shan'xue'yuan
南京大学,nan'jing'da'xue
南京大学金陵学院,nan'jing'da'xue'jin'ling'xue'yuan
南京电子工业职工大学,nan'jing'dian'zi'gong'ye'zhi'gong'da'xue
南京动力高等专科学校,nan'jing'dong'li'gao'deng'zhuan'ke'xue'xiao
南京工程学院,nan'jing'gong'cheng'xue'yuan
南京工业大学,nan'jing'gong'ye'da'xue
南京工业大学浦江学院,nan'jing'gong'ye'da'xue'pu'jiang'xue'yuan
南京工业职业技术学院,nan'jing'gong'ye'zhi'ye'ji'shu'xue'yuan
南京航空航天大学,nan'jing'hang'kong'hang'tian'da'xue
南京航空航天大学金城学院,nan'jing'hang'kong'hang'tian'da'xue'jin'cheng'xue'yuan
南京化工职业技术学院,nan'jing'hua'gong'zhi'ye'ji'shu'xue'yuan
南京机电职业技术学院,nan'jing'ji'dian'zhi'ye'ji'shu'xue'yuan
南京交通职业技术学院,nan'jing'jiao'tong'zhi'ye'ji'shu'xue'yuan
南京金陵旅馆管理干部学院,nan'jing'jin'ling'lv'guan'guan'li'gan'bu'xue'yuan
南京理工大口学紫金学院,nan'jing'li'gong'da'kou'xue'zi'jin'xue'yuan
南京理工大学,nan'jing'li'gong'da'xue
南京理工大学泰州科技学院,nan'jing'li'gong'da'xue'tai'zhou'ke'ji'xue'yuan
南京林业大学,nan'jing'lin'ye'da'xue
南京陆军指挥学院,nan'jing'lu'jun'zhi'hui'xue'yuan
南京农业大学,nan'jing'nong'ye'da'xue
南京炮兵学院,nan'jing'pao'bing'xue'yuan
南京人口管理干部学院,nan'jing'ren'kou'guan'li'gan'bu'xue'yuan
南京森林公安高等专科学校,nan'jing'sen'lin'gong'an'gao'deng'zhuan'ke'xue'xiao
南京审计学院,nan'jing'shen'ji'xue'yuan
南京审计学院金审学院,nan'jing'shen'ji'xue'yuan'jin'shen'xue'yuan
南京师范大学,nan'jing'shi'fan'da'xue
南京师范大学中北学院,nan'jing'shi'fan'da'xue'zhong'bei'xue'yuan
南京师范口大学泰州学院,nan'jing'shi'fan'kou'da'xue'tai'zhou'xue'yuan
南京视觉艺术职业学院,nan'jing'shi'jue'yi'shu'zhi'ye'xue'yuan
南京特殊教育职业技术学院,nan'jing'te'shu'jiao'yu'zhi'ye'ji'shu'xue'yuan
南京体育学院,nan'jing'ti'yu'xue'yuan
南京铁道职业技术学院,nan'jing'tie'dao'zhi'ye'ji'shu'xue'yuan
南京晓庄学院,nan'jing'xiao'zhuang'xue'yuan
南京信息工程大学,nan'jing'xin'xi'gong'cheng'da'xue
南京信息工程大学滨江学院,nan'jing'xin'xi'gong'cheng'da'xue'bin'jiang'xue'yuan
南京信息职业技术学院,nan'jing'xin'xi'zhi'ye'ji'shu'xue'yuan
南京医科大学,nan'jing'yi'ke'da'xue
南京医科大学康达学院,nan'jing'yi'ke'da'xue'kang'da'xue'yuan
南京艺术学院,nan'jing'yi'shu'xue'yuan
南京邮电大学,nan'jing'you'dian'da'xue
南京邮电大学通达学院,nan'jing'you'dian'da'xue'tong'da'xue'yuan
南京政治学院,nan'jing'zheng'zhi'xue'yuan
南京中医药大学,nan'jing'zhong'yi'yao'da'xue
南京中医药大学翰林学院,nan'jing'zhong'yi'yao'da'xue'han'lin'xue'yuan
南开大学,nan'kai'da'xue
南开大学滨海学院,nan'kai'da'xue'bin'hai'xue'yuan
南宁地区教育学院,nan'ning'di'qu'jiao'yu'xue'yuan
南宁师范高等专科学校,nan'ning'shi'fan'gao'deng'zhuan'ke'xue'xiao
南宁职业技术学院,nan'ning'zhi'ye'ji'shu'xue'yuan
南平师范高等专科学校,nan'ping'shi'fan'gao'deng'zhuan'ke'xue'xiao
南通大学,nan'tong'da'xue
南通大学杏林学院,nan'tong'da'xue'xing'lin'xue'yuan
南通纺织职业技术学院,nan'tong'fang'zhi'zhi'ye'ji'shu'xue'yuan
南通航运职业技术学院,nan'tong'hang'yun'zhi'ye'ji'shu'xue'yuan
南通农业职业技术学院,nan'tong'nong'ye'zhi'ye'ji'shu'xue'yuan
南通职业大学,nan'tong'zhi'ye'da'xue
南阳理工学院,nan'yang'li'gong'xue'yuan
南阳师范学院,nan'yang'shi'fan'xue'yuan
南阳医学高等专科学校,nan'yang'yi'xue'gao'deng'zhuan'ke'xue'xiao
内江师范学院,nei'jiang'shi'fan'xue'yuan
内江职业技术学院,nei'jiang'zhi'ye'ji'shu'xue'yuan
内蒙古财经学院,nei'meng'gu'cai'jing'xue'yuan
内蒙古财税职业学院,nei'meng'gu'cai'shui'zhi'ye'xue'yuan
内蒙古大学,nei'meng'gu'da'xue
内蒙古电子信息职业技术学院,nei'meng'gu'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan
内蒙古丰州学院,nei'meng'gu'feng'zhou'xue'yuan
内蒙古工业大学,nei'meng'gu'gong'ye'da'xue
内蒙古化工职业学院,nei'meng'gu'hua'gong'zhi'ye'xue'yuan
内蒙古机电职业技术学院,nei'meng'gu'ji'dian'zhi'ye'ji'shu'xue'yuan
内蒙古建筑职业技术学院,nei'meng'gu'jian'zhu'zhi'ye'ji'shu'xue'yuan
内蒙古交通职业技术学院,nei'meng'gu'jiao'tong'zhi'ye'ji'shu'xue'yuan
内蒙古警察职业学院,nei'meng'gu'jing'cha'zhi'ye'xue'yuan
内蒙古科技大学,nei'meng'gu'ke'ji'da'xue
内蒙古民族大学,nei'meng'gu'min'zu'da'xue
内蒙古民族高等专科学校,nei'meng'gu'min'zu'gao'deng'zhuan'ke'xue'xiao
内蒙古农业大学,nei'meng'gu'nong'ye'da'xue
内蒙古商贸职业学院,nei'meng'gu'shang'mao'zhi'ye'xue'yuan
内蒙古师范大学,nei'meng'gu'shi'fan'da'xue
内蒙古体育职业学院,nei'meng'gu'ti'yu'zhi'ye'xue'yuan
内蒙古医学院,nei'meng'gu'yi'xue'yuan
碾子山区,nian'zi'shan'qu
宁波城市职业技术学院,ning'bo'cheng'shi'zhi'ye'ji'shu'xue'yuan
宁波大红鹰职业技术学院,ning'bo'da'hong'ying'zhi'ye'ji'shu'xue'yuan
宁波大学,ning'bo'da'xue
宁波大学科学技术学院,ning'bo'da'xue'ke'xue'ji'shu'xue'yuan
宁波工程学院,ning'bo'gong'cheng'xue'yuan
宁波教育学院,ning'bo'jiao'yu'xue'yuan
宁波天一职业技术学院,ning'bo'tian'yi'zhi'ye'ji'shu'xue'yuan
宁波职业技术学院,ning'bo'zhi'ye'ji'shu'xue'yuan
宁德师范高等专科学校,ning'de'shi'fan'gao'deng'zhuan'ke'xue'xiao
宁夏财经职业技术学院,ning'xia'cai'jing'zhi'ye'ji'shu'xue'yuan
宁夏大学,ning'xia'da'xue
宁夏大学新华学院,ning'xia'da'xue'xin'hua'xue'yuan
宁夏工业职业学院,ning'xia'gong'ye'zhi'ye'xue'yuan
宁夏广播电视大学,ning'xia'guang'bo'dian'shi'da'xue
宁夏建设职业技术学院,ning'xia'jian'she'zhi'ye'ji'shu'xue'yuan
宁夏经贸职业技术学院,ning'xia'jing'mao'zhi'ye'ji'shu'xue'yuan
宁夏理工学院,ning'xia'li'gong'xue'yuan
宁夏师范学院,ning'xia'shi'fan'xue'yuan
宁夏司法警官职业学院,ning'xia'si'fa'jing'guan'zhi'ye'xue'yuan
宁夏医学院,ning'xia'yi'xue'yuan
宁夏职业技术学院,ning'xia'zhi'ye'ji'shu'xue'yuan
牛津大学,niu'jin'da'xue
盘锦职业技术学院,pan'jin'zhi'ye'ji'shu'xue'yuan
番禺职业技术学院,pan'yu'zhi'ye'ji'shu'xue'yuan
攀枝花学院,pan'zhi'hua'xue'yuan
炮兵指挥学院,pao'bing'zhi'hui'xue'yuan
培尔职业技术学院,pei'er'zhi'ye'ji'shu'xue'yuan
匹兹堡大学,pi'zi'bao'da'xue
平顶山工学院,ping'ding'shan'gong'xue'yuan
平顶山工业职业技术学院,ping'ding'shan'gong'ye'zhi'ye'ji'shu'xue'yuan
平顶山教育学院,ping'ding'shan'jiao'yu'xue'yuan
平顶山学院,ping'ding'shan'xue'yuan
平凉医学高等专科学校,ping'liang'yi'xue'gao'deng'zhuan'ke'xue'xiao
萍乡高等专科学校,ping'xiang'gao'deng'zhuan'ke'xue'xiao
平原大学,ping'yuan'da'xue
浦东新区,pu'dong'xin'qu
普林斯顿大学,pu'lin'si'dun'da'xue
濮阳职业技术学院,pu'yang'zhi'ye'ji'shu'xue'yuan
汽车管理学院,qi'che'guan'li'xue'yuan
七里河区,qi'li'he'qu
齐齐哈尔大学,qi'qi'ha'er'da'xue
齐齐哈尔高等师范专科学校,qi'qi'ha'er'gao'deng'shi'fan'zhuan'ke'xue'xiao
齐齐哈尔医学院,qi'qi'ha'er'yi'xue'yuan
齐齐哈尔职业学院,qi'qi'ha'er'zhi'ye'xue'yuan
戚墅堰区,qi'shu'yan'qu
七台河职业学院,qi'tai'he'zhi'ye'xue'yuan
黔东南民族职业技术学院,qian'dong'nan'min'zu'zhi'ye'ji'shu'xue'yuan
黔南民族师范学院,qian'nan'min'zu'shi'fan'xue'yuan
黔南民族医学高等专科学校,qian'nan'min'zu'yi'xue'gao'deng'zhuan'ke'xue'xiao
黔南民族职业技术学院,qian'nan'min'zu'zhi'ye'ji'shu'xue'yuan
黔西南民族师范高等专科学校,qian'xi'nan'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
黔西南民族职业技术学院,qian'xi'nan'min'zu'zhi'ye'ji'shu'xue'yuan
秦皇岛教育学院,qin'huang'dao'jiao'yu'xue'yuan
秦皇岛外国语职业学院,qin'huang'dao'wai'guo'yu'zhi'ye'xue'yuan
秦皇岛职业技术学院,qin'huang'dao'zhi'ye'ji'shu'xue'yuan
钦州学院,qin'zhou'xue'yuan
青白江区,qing'bai'jiang'qu
青岛滨海学院,qing'dao'bin'hai'xue'yuan
青岛大学,qing'dao'da'xue
青岛飞洋职业技术学院,qing'dao'fei'yang'zhi'ye'ji'shu'xue'yuan
青岛港湾职业技术学院,qing'dao'gang'wan'zhi'ye'ji'shu'xue'yuan
青岛恒星职业技术学院,qing'dao'heng'xing'zhi'ye'ji'shu'xue'yuan
青岛黄海职业学院,qing'dao'huang'hai'zhi'ye'xue'yuan
青岛酒店管理职业技术学院,qing'dao'jiu'dian'guan'li'zhi'ye'ji'shu'xue'yuan
青岛科技大学,qing'dao'ke'ji'da'xue
青岛理工大学,qing'dao'li'gong'da'xue
青岛理工大学琴岛学院,qing'dao'li'gong'da'xue'qin'dao'xue'yuan
青岛求实职业技术学院,qing'dao'qiu'shi'zhi'ye'ji'shu'xue'yuan
青岛远洋船员学院,qing'dao'yuan'yang'chuan'yuan'xue'yuan
青岛职业技术学院,qing'dao'zhi'ye'ji'shu'xue'yuan
青海财经职业学院,qing'hai'cai'jing'zhi'ye'xue'yuan
青海大学,qing'hai'da'xue
青海大学昆仑学院,qing'hai'da'xue'kun'lun'xue'yuan
青海广播电视大学,qing'hai'guang'bo'dian'shi'da'xue
青海建筑职业技术学院,qing'hai'jian'zhu'zhi'ye'ji'shu'xue'yuan
青海交通职业技术学院,qing'hai'jiao'tong'zhi'ye'ji'shu'xue'yuan
青海警官职业学院,qing'hai'jing'guan'zhi'ye'xue'yuan
青海民族师范高等专科学校,qing'hai'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
青海民族学院,qing'hai'min'zu'xue'yuan
青海师范大学,qing'hai'shi'fan'da'xue
青海师范高等专科学校,qing'hai'shi'fan'gao'deng'zhuan'ke'xue'xiao
青海卫生职业技术学院,qing'hai'wei'sheng'zhi'ye'ji'shu'xue'yuan
青海畜牧兽医职业技术学院,qing'hai'xu'mu'shou'yi'zhi'ye'ji'shu'xue'yuan
清河门区,qing'he'men'qu
清华大学,qing'hua'da'xue
庆应义塾大学,qing'ying'yi'shu'da'xue
清远职业技术学院,qing'yuan'zhi'ye'ji'shu'xue'yuan
青云谱区,qing'yun'pu'qu
琼台师范高等专科学校,qiong'tai'shi'fan'gao'deng'zhuan'ke'xue'xiao
琼州大学,qiong'zhou'da'xue
曲阜师范大学,qu'fu'shi'fan'da'xue
曲阜师范大学杏坛学院,qu'fu'shi'fan'da'xue'xing'tan'xue'yuan
曲阜远东职业技术学院,qu'fu'yuan'dong'zhi'ye'ji'shu'xue'yuan
曲靖师范学院,qu'jing'shi'fan'xue'yuan
曲靖医学高等专科学校,qu'jing'yi'xue'gao'deng'zhuan'ke'xue'xiao
衢州职业技术学院,qu'zhou'zhi'ye'ji'shu'xue'yuan
泉州纺织服装职业学院,quan'zhou'fang'zhi'fu'zhuang'zhi'ye'xue'yuan
泉州光电信息职业学院,quan'zhou'guang'dian'xin'xi'zhi'ye'xue'yuan
泉州华光摄影艺术职业学院,quan'zhou'hua'guang'she'ying'yi'shu'zhi'ye'xue'yuan
泉州经贸职业技术学院,quan'zhou'jing'mao'zhi'ye'ji'shu'xue'yuan
泉州师范学院,quan'zhou'shi'fan'xue'yuan
泉州信息职业技术学院,quan'zhou'xin'xi'zhi'ye'ji'shu'xue'yuan
泉州医学高等专科学校,quan'zhou'yi'xue'gao'deng'zhuan'ke'xue'xiao
泉州中营职业学院,quan'zhou'zhong'ying'zhi'ye'xue'yuan
让胡路区,rang'hu'lu'qu
人文学院,ren'wen'xue'yuan
日内瓦大学,ri'nei'wa'da'xue
日照职业技术学院,ri'zhao'zhi'ye'ji'shu'xue'yuan
萨尔图区,sa'er'tu'qu
萨拉曼卡大学,sa'la'man'ka'da'xue
三门峡职业技术学院,san'men'xia'zhi'ye'ji'shu'xue'yuan
三明学院,san'ming'xue'yuan
三明职业技术学院,san'ming'zhi'ye'ji'shu'xue'yuan
三峡大学,san'xia'da'xue
三峡大学科技学院,san'xia'da'xue'ke'ji'xue'yuan
三亚航空旅游职业学院,san'ya'hang'kong'lv'you'zhi'ye'xue'yuan
三亚卓达旅游职业学院,san'ya'zhuo'da'lv'you'zhi'ye'xue'yuan
沙河口区,sha'he'kou'qu
沙市职业大学,sha'shi'zhi'ye'da'xue
沙洋师范高等专科学校,sha'yang'shi'fan'gao'deng'zhuan'ke'xue'xiao
沙洲职业工学院,sha'zhou'zhi'ye'gong'xue'yuan
山东财政学院,shan'dong'cai'zheng'xue'yuan
山东财政学院东方学院,shan'dong'cai'zheng'xue'yuan'dong'fang'xue'yuan
山东大王职业学院,shan'dong'da'wang'zhi'ye'xue'yuan
山东大学,shan'dong'da'xue
山东大学威海分校,shan'dong'da'xue'wei'hai'fen'xiao
山东电力高等专科学校,shan'dong'dian'li'gao'deng'zhuan'ke'xue'xiao
