安胎养血先为主,an'tai'yang'xue'xian'wei'zhu
夏陈知泽草姜俱,xia'chen'zhi'ze'cao'jiang'ju
夏曲白芷加姜枣,xia'qu'bai'zhi'jia'jiang'zao
夏曲远志兼桂味,xia'qu'yuan'zhi'jian'gui'wei
下行泻火大黄资,xia'xing'xie'huo'da'huang'zi
下虚上盛痰嗽喘,xia'xu'shang'sheng'tan'sou'chuan
鲜乌或入润肠通,xian'wu'huo'ru'run'chang'tong
香附陈甘乌药继,xiang'fu'chen'gan'wu'yao'ji
香附干姜苏叶陈,xiang'fu'gan'jiang'su'ye'chen
香姜草果参芪泽,xiang'jiang'cao'guo'shen'qi'ze
香连丸,xiang'lian'wan
香连治痢习为常,xiang'lian'zhi'li'xi'wei'chang
项强柔至病能休,xiang'qiang'rou'zhi'bing'neng'xiu
香苏饮仅陈皮草,xiang'su'yin'jin'chen'pi'cao
消斑青黛饮,xiao'ban'qing'dai'yin
消斑青黛栀连犀,xiao'ban'qing'dai'zhi'lian'xi
小半夏加茯苓汤,xiao'ban'xia'jia'fu'ling'tang
小便不利加苓泻,xiao'bian'bu'li'jia'ling'xie
消补兼行胃弱宜,xiao'bu'jian'xing'wei'ruo'yi
小柴胡汤,xiao'chai'hu'tang
小柴胡汤和解供,xiao'chai'hu'tang'he'jie'gong
小承气汤,xiao'cheng'qi'tang
小承气汤朴实黄,xiao'cheng'qi'tang'pu'shi'huang
硝磁寒水滑和膏,xiao'ci'han'shui'hua'he'gao
小儿急慢惊风发,xiao'er'ji'man'jing'feng'fa
消风散,xiao'feng'san
消风散内羌防荆,xiao'feng'san'nei'qiang'fang'jing
硝黄麦曲均堪着,xiao'huang'mai'qu'jun'kan'zhe
小活络丹,xiao'huo'luo'dan
小活络丹用二乌,xiao'huo'luo'dan'yong'er'wu
小蓟饮子,xiao'ji'yin'zi
小蓟饮子藕蒲黄,xiao'ji'yin'zi'ou'pu'huang
小建中汤,xiao'jian'zhong'tang
小建中汤芍药多,xiao'jian'zhong'tang'shao'yao'duo
小金丹,xiao'jin'dan
小金专主治阴疽,xiao'jin'zhuan'zhu'zhi'yin'ju
消渴方,xiao'ke'fang
消渴方中花粉连,xiao'ke'fang'zhong'hua'fen'lian
小龙青汤治水气,xiao'long'qing'tang'zhi'shui'qi
小青龙汤,xiao'qing'long'tang
硝石硫黄橘红着,xiao'shi'liu'huang'ju'hong'zhe
小陷胸汤,xiao'xian'xiong'tang
小陷胸汤连夏蒌,xiao'xian'xiong'tang'lian'xia'lou
小续命汤,xiao'xu'ming'tang
小续命汤桂附芎,xiao'xu'ming'tang'gui'fu'xiong
逍遥散,xiao'yao'san
逍遥散用当归芍,xiao'yao'san'yong'dang'gui'shao
消瘀下胎痛逆忘,xiao'yu'xia'tai'tong'ni'wang
消中兼补效堪夸,xiao'zhong'jian'bu'xiao'kan'kua
泻白散,xie'bai'san
泻白桑皮地骨皮,xie'bai'sang'pi'di'gu'pi
邪从上散不传中,xie'cong'shang'san'bu'chuan'zhong
泻黄甘草与防风,xie'huang'gan'cao'yu'fang'feng
泻黄散,xie'huang'san
泻火固表复滋阴,xie'huo'gu'biao'fu'zi'yin
泻火生津益血痊,xie'huo'sheng'jin'yi'xue'quan
泻痢食疟用咸宜,xie'li'shi'nue'yong'xian'yi
泻青丸,xie'qing'wan
泻青丸用龙胆栀,xie'qing'wan'yong'long'dan'zhi
邪深大陷胸汤结,xie'shen'da'xian'xiong'tang'jie
辛草荆防芎活俱,xin'cao'jing'fang'xiong'huo'ju
心胃诸痛效验赊,xin'wei'zhu'tong'xiao'yan'she
辛荑白芷四般和,xin'yi'bai'zhi'si'ban'he
辛夷散,xin'yi'san
辛夷散里藁防风,xin'yi'san'li'gao'fang'feng
辛芷薄荷甘草羌,xin'zhi'bo'he'gan'cao'qiang
杏草石膏姜枣藏,xing'cao'shi'gao'jiang'zao'cang
杏仁甘草薄荷饶,xing'ren'gan'cao'bo'he'rao
杏仁甘草四般施,xing'ren'gan'cao'si'ban'shi
杏仁栀豉蜜丸服,xing'ren'zhi'chi'mi'wan'fu
杏仁枳实瓜蒌实,xing'ren'zhi'shi'gua'lou'shi
醒消乳没麝雄黄,xing'xiao'ru'mei'she'xiong'huang
醒消丸,xing'xiao'wan
杏枣补脾兼润肺,xing'zao'bu'pi'jian'run'fei
雄槟丸内白矾入,xiong'bin'wan'nei'bai'fan'ru
芎苍香附兼栀曲,xiong'cang'xiang'fu'jian'zhi'qu
芎归地芍桂苓均,xiong'gui'di'shao'gui'ling'jun
芎归辛桂参夏菖,xiong'gui'xin'gui'can'xia'chang
雄黄犀角与牛黄,xiong'huang'xi'jiao'yu'niu'huang
芎朴参苓陈草并,xiong'pu'shen'ling'chen'cao'bing
芎芍当归熟地黄,xiong'shao'dang'gui'shu'di'huang
芎细甘草茶调服,xiong'xi'gan'cao'cha'diao'fu
芎芷辛芩二地黄,xiong'zhi'xin'qin'er'di'huang
虚寒阴水效堪夸,xu'han'yin'shui'xiao'kan'kua
虚寒胀满用皆灵,xu'han'zhang'man'yong'jie'ling
虚劳肺痿效如神,xu'lao'fei'wei'xiao'ru'shen
虚劳腹冷服之瘥,xu'lao'fu'leng'fu'zhi'chai
虚劳内伤功独擅,xu'lao'nei'shang'gong'du'shan
虚冷下元便秘尝,xu'leng'xia'yuan'bian'mi'chang
虚痞朴实颇相当,xu'pi'pu'shi'po'xiang'dang
虚人外感服之康,xu'ren'wai'gan'fu'zhi'kang
蓄血胞宫少腹痛,xu'xue'bao'gong'shao'fu'tong
虚阳归肾阴精足,xu'yang'gui'shen'yin'jing'zu
虚者参芦一味勾,xu'zhe'can'lu'yi'wei'gou
旋覆代赭汤,xuan'fu'dai'zhe'tang
旋覆代赭用人参,xuan'fu'dai'zhe'yong'ren'shen
玄参贝母桔甘藏,xuan'shen'bei'mu'ju'gan'cang
玄参甘桔板蓝根,xuan'shen'gan'ju'ban'lan'gen
血风劳作风虚治,xue'feng'lao'zuo'feng'xu'zhi
血府逐瘀归地桃,xue'fu'zhu'yu'gui'di'tao
血府逐瘀汤,xue'fu'zhu'yu'tang
雪羹定痰化痰热,xue'geng'ding'tan'hua'tan're
血化下行不作劳,xue'hua'xia'xing'bu'zuo'lao
血家百病此方通,xue'jia'bai'bing'ci'fang'tong
血淋热结服之良,xue'lin're'jie'fu'zhi'liang
血热妄行止衄惬,xue're'wang'xing'zhi'nv'qie
血升胃热火邪干,xue'sheng'wei're'huo'xie'gan
血脱脉微可返生,xue'tuo'mai'wei'ke'fan'sheng
血中瘀滞用桃红,xue'zhong'yu'zhi'yong'tao'hong
验方别用内金朴,yan'fang'bie'yong'nei'jin'pu
阳和汤,yang'he'tang
阳和汤法解寒凝,yang'he'tang'fa'jie'han'ning
阳黄大黄栀子入,yang'huang'da'huang'zhi'zi'ru
阳经火郁发之佳,yang'jing'huo'yu'fa'zhi'jia
阳经实疟服之妥,yang'jing'shi'nue'fu'zhi'tuo
阳明发热与头痛,yang'ming'fa're'yu'tou'tong
阳明寒呕少阴利,yang'ming'han'ou'shao'yin'li
阳明石膏知母藏,yang'ming'shi'gao'zhi'mu'cang
阳明无热勿轻攻,yang'ming'wu're'wu'qing'gong
阳邪里实此方稽,yang'xie'li'shi'ci'fang'ji
养心汤,yang'xin'tang
养心汤用草芪参,yang'xin'tang'yong'cao'qi'can
阳虚无汗法当谙,yang'xu'wu'han'fa'dang'an
阳虚自汗牡蛎散,yang'xu'zi'han'mu'li'san
养营散瘀润肠奇,yang'ying'san'yu'run'chang'qi
夜热早凉无汗者,ye're'zao'liang'wu'han'zhe
噎塞便秘此方需,ye'sai'bian'mi'ci'fang'xu
已独知连白术暨,yi'du'zhi'lian'bai'zhu'ji
亦可方中用麦芽,yi'ke'fang'zhong'yong'mai'ya
一粒珠,yi'li'zhu
一粒珠中犀甲冰,yi'li'zhu'zhong'xi'jia'bing
亦名干姜苓术汤,yi'ming'gan'jiang'ling'shu'tang
益气聪明汤,yi'qi'cong'ming'tang
益气聪明汤蔓荆,yi'qi'cong'ming'tang'man'jing
益气止血治血崩,yi'qi'zhi'xue'zhi'xue'beng
一钱酒下痛疝尝,yi'qian'jiu'xia'tong'shan'chang
一切肝火尽能攘,yi'qie'gan'huo'jin'neng'rang
一切积滞功能奏,yi'qie'ji'zhi'gong'neng'zou
一切实积能推荡,yi'qie'shi'ji'neng'tui'dang
一切痰饮此方珍,yi'qie'tan'yin'ci'fang'zhen
一切痈疽能溃散,yi'qie'yong'ju'neng'kui'san
益寿延年实可珍,yi'shou'yan'nian'shi'ke'zhen
一丸酒化此方良,yi'wan'jiu'hua'ci'fang'liang
一丸两服量病调,yi'wan'liang'fu'liang'bing'tiao
一味人参浓取汁,yi'wei'ren'shen'nong'qu'zhi
益以白酒温肺气,yi'yi'bai'jiu'wen'fei'qi
益以茯苓甘草成,yi'yi'fu'ling'gan'cao'cheng
益以羌活名三化,yi'yi'qiang'huo'ming'san'hua
益以夏陈名六君,yi'yi'xia'chen'ming'liu'jun
衣用朱砂中恶尝,yi'yong'zhu'sha'zhong'e'chang
亦有不用茵陈者,yi'you'bu'yong'yin'chen'zhe
亦有加参贵合机,yi'you'jia'can'gui'he'ji
亦有加入人参者,yi'you'jia'ru'ren'shen'zhe
亦有加入参芪者,yi'you'jia'ru'shen'qi'zhe
益元艾附与干姜,yi'yuan'ai'fu'yu'gan'jiang
益元碧玉与鸡苏,yi'yuan'bi'yu'yu'ji'su
益元汤,yi'yuan'tang
益智半夏同甘草,yi'zhi'ban'xia'tong'gan'cao
亦治强中及消渴,yi'zhi'qiang'zhong'ji'xiao'ke
亦治时疫与阳斑,yi'zhi'shi'yi'yu'yang'ban
亦治胃热及口疮,yi'zhi'wei're'ji'kou'chuang
亦治阳虚外感因,yi'zhi'yang'xu'wai'gan'yin
亦主脱肛便血者,yi'zhu'tuo'gang'bian'xie'zhe
阴斑劳损起沉疴,yin'ban'lao'sun'qi'chen'ke
茵陈川楝麦芽襄,yin'chen'chuan'lian'mai'ya'xiang
茵陈蒿汤,yin'chen'hao'tang
茵陈蒿汤治疸黄,yin'chen'hao'tang'zhi'dan'huang
茵陈滑石木通草,yin'chen'hua'shi'mu'tong'cao
茵陈丸,yin'chen'wan
茵陈丸用大黄硝,yin'chen'wan'yong'da'huang'xiao
阴疮流注乳癌除,yin'chuang'liu'zhu'ru'ai'chu
阴分伏热此方攀,yin'fen'fu're'ci'fang'pan
饮号芎苏治不差,yin'hao'xiong'su'zhi'bu'cha
阴黄附子与干姜,yin'huang'fu'zi'yu'gan'jiang
引火归原热下趋,yin'huo'gui'yuan're'xia'qu
阴疽鹤膝湿痹须,yin'ju'he'xi'shi'bi'xu
喑厥风痱能治之,yin'jue'feng'fei'neng'zhi'zhi
银翘散,yin'qiao'san
银翘散主上焦医,yin'qiao'san'zhu'shang'jiao'yi
引热同归小便中,yin're'tong'gui'xiao'bian'zhong
阴盛格阳厥无脉,yin'sheng'ge'yang'jue'wu'mai
阴虚盗汗枣丸吞,yin'xu'dao'han'zao'wan'tun
阴虚气弱人禁用,yin'xu'qi'ruo'ren'jin'yong
阴虚胃火牙疼效,yin'xu'wei'huo'ya'teng'xiao
阴阳寒热细推详,yin'yang'han're'xi'tui'xiang
应知专任力方宏,ying'zhi'zhuan'ren'li'fang'hong
痈疽发背无名毒,yong'ju'fa'bei'wu'ming'du
痈疡脉弱赖之充,yong'yang'mai'ruo'lai'zhi'chong
又不换金正气散,you'bu'huan'jin'zheng'qi'san
右归饮,you'gui'yin
右归饮治命门衰,you'gui'yin'zhi'ming'men'shuai
有汗加葛无麻黄,you'han'jia'ge'wu'ma'huang
有加麻仁大黄者,you'jia'ma'ren'da'huang'zhe
又六郁汤苍芎附,you'liu'yu'tang'cang'xiong'fu
有痰竹沥宜加入,you'tan'zhu'li'yi'jia'ru
又有建中十四味,you'you'jian'zhong'shi'si'wei
又有局方名四七,you'you'ju'fang'ming'si'qi
郁遏脾阳术附投,yu'e'pi'yang'shu'fu'tou
郁李麻仁山药增,yu'li'ma'ren'shan'yao'zeng
玉龙关下补元阳,yu'long'guan'xia'bu'yuan'yang
玉女煎,yu'nv'jian
玉女煎中地膝兼,yu'nv'jian'zhong'di'xi'jian
俞氏蒿芩清胆汤,yu'shi'hao'qin'qing'dan'tang
俞氏羚羊钩藤汤,yu'shi'ling'yang'gou'teng'tang
余因各症细参详,yu'yin'ge'zheng'xi'can'xiang
玉竹甘花共和方,yu'zhu'gan'hua'gong'he'fang
元胡灵脂芍茴香,yuan'hu'ling'zhi'shao'hui'xiang
元参菖蒲生地群,yuan'shen'chang'pu'sheng'di'qun
远志菖蒲味枣丸,yuan'zhi'chang'pu'wei'zao'wan
远志茯苓共养神,yuan'zhi'fu'ling'gong'yang'shen
越鞠丸,yue'ju'wan
越鞠丸治六般郁,yue'ju'wan'zhi'liu'ban'yu
孕妇咳逆此为最,yun'fu'ke'ni'ci'wei'zui
孕妇临盆先服之,yun'fu'lin'pen'xian'fu'zhi
晕平痛止积无停,yun'ping'tong'zhi'ji'wu'ting
再加半夏五味子,zai'jia'ban'xia'wu'wei'zi
再加葱叶黄杨脑,zai'jia'cong'ye'huang'yang'nao
再加大枣治阴厥,zai'jia'da'zao'zhi'yin'jue
再加甘草同半夏,zai'jia'gan'cao'tong'ban'xia
再加甘桔治肺伤,zai'jia'gan'ju'zhi'fei'shang
再加黄芪与肉桂,zai'jia'huang'qi'yu'rou'gui
再加麻黄及淡黄,zai'jia'ma'huang'ji'dan'huang
再加蜜炒罂粟壳,zai'jia'mi'chao'ying'su'ke
再加芍药甘草是,zai'jia'shao'yao'gan'cao'shi
再加芍药名戊已,zai'jia'shao'yao'ming'wu'yi
再加芍药炙甘草,zai'jia'shao'yao'zhi'gan'cao
再加参芪与陈术,zai'jia'shen'qi'yu'chen'shu
再加生姜与半夏,zai'jia'sheng'jiang'yu'ban'xia
再加熟地与归身,zai'jia'shu'di'yu'gui'shen
再加酸枣总宁心,zai'jia'suan'zao'zong'ning'xin
再加羊肉捣丸尝,zai'jia'yang'rou'dao'wan'chang
再入木瓜苏叶姜,zai'ru'mu'gua'su'ye'jiang
再入吴茱入厥阴,zai'ru'wu'zhu'ru'jue'yin
再益砂仁及糯米,zai'yi'sha'ren'ji'nuo'mi
再用青皮为细末,zai'yong'qing'pi'wei'xi'mo
再造散,zai'zao'san
再造散用参芪甘,zai'zao'san'yong'shen'qi'gan
躁烦热渴舌生苔,zao'fan're'ke'she'sheng'tai
躁烦消渴及崩淋,zao'fan'xiao'ke'ji'beng'lin
躁烦消渴血枯含,zao'fan'xiao'ke'xue'ku'han
早间咯血颊常红,zao'jian'ka'xie'jia'chang'hong
躁狂大热呕不眠,zao'kuang'da're'ou'bu'mian
燥实阳水却相当,zao'shi'yang'shui'que'xiang'dang
燥湿滋阴两擅长,zao'shi'zi'yin'liang'shan'chang
枣汤调服益脾神,zao'tang'diao'fu'yi'pi'shen
泽泻蒸饼糊丸服,ze'xie'zheng'bing'hu'wan'fu
泽泻枳实疏二腑,ze'xie'zhi'shi'shu'er'fu
增入黄芪名亦尔,zeng'ru'huang'qi'ming'yi'er
增液汤,zeng'ye'tang
增液汤中参地冬,zeng'ye'tang'zhong'can'di'dong
谵狂痞硬上焦强,zhan'kuang'pi'ying'shang'jiao'qiang
张氏镇肝熄风汤,zhang'shi'zhen'gan'xi'feng'tang
爪枯肤燥兼风秘,zhao'ku'fu'zao'jian'feng'mi
镇肝熄风汤,zhen'gan'xi'feng'tang
真人活命金银花,zhen'ren'huo'ming'jin'yin'hua
真人活命饮,zhen'ren'huo'ming'yin
真人养脏诃粟壳,zhen'ren'yang'zang'he'su'ke
真人养脏汤,zhen'ren'yang'zang'tang
真武汤,zhen'wu'tang
真武汤壮肾中阳,zhen'wu'tang'zhuang'shen'zhong'yang
真元虚弱此方宗,zhen'yuan'xu'ruo'ci'fang'zong
珍朱雄麝合之能,zhen'zhu'xiong'she'he'zhi'neng
蒸饼糊丸消积满,zheng'bing'hu'wan'xiao'ji'man
蒸饼为糊姜汁抟,zheng'bing'wei'hu'jiang'zhi'tuan
怔忡健忘俱可却,zheng'chong'jian'wang'ju'ke'que
正偏头痛悉能康,zheng'pian'tou'tong'xi'neng'kang
正偏头痛一时蠲,zheng'pian'tou'tong'yi'shi'juan
正气天香散,zheng'qi'tian'xiang'san
枳柏茱连棱术随,zhi'bai'zhu'lian'leng'shu'sui
至宝丹,zhi'bao'dan
至宝朱砂麝息香,zhi'bao'zhu'sha'she'xi'xiang
炙草陈皮兼半夏,zhi'cao'chen'pi'jian'ban'xia
治法稍殊名亦异,zhi'fa'shao'shu'ming'yi'yi
枳甘贝母姜蕲艾,zhi'gan'bei'mu'jiang'qi'ai
炙甘草汤,zhi'gan'cao'tang
炙甘草汤参姜桂,zhi'gan'cao'tang'can'jiang'gui
枳桔柴前羌独芎,zhi'ju'chai'qian'qiang'du'xiong
枳桔桂姜甘茯朴,zhi'ju'gui'jiang'gan'fu'pu
枳壳加之效若神,zhi'ke'jia'zhi'xiao'ruo'shen
枳壳前胡半夏宜,zhi'ke'qian'hu'ban'xia'yi
指迷茯苓丸,zhi'mi'fu'ling'wan
指迷茯苓丸最精,zhi'mi'fu'ling'wan'zui'jing
知母甘草粳米陪,zhi'mu'gan'cao'jing'mi'pei
知母玄参生地齐,zhi'mu'xuan'shen'sheng'di'qi
知芩葛草石膏因,zhi'qin'ge'cao'shi'gao'yin
枳实导滞首大黄,zhi'shi'dao'zhi'shou'da'huang
枳实导滞丸,zhi'shi'dao'zhi'wan
枳实厚朴大黄饶,zhi'shi'hou'pu'da'huang'rao
枳实芩夏白芍将,zhi'shi'qin'xia'bai'shao'jiang
枳实山楂麦薜随,zhi'shi'shan'zha'mai'bi'sui
枳实消痞四君全,zhi'shi'xiao'pi'si'jun'quan
枳实消痞丸,zhi'shi'xiao'pi'wan
枳术丸亦消兼补,zhi'shu'wan'yi'xiao'jian'bu
止嗽除蒸敛汗高,zhi'sou'chu'zheng'lian'han'gao
止嗽散,zhi'sou'san
止嗽散中用白前,zhi'sou'san'zhong'yong'bai'qian
治浊固本莲蕊须,zhi'zhuo'gu'ben'lian'rui'xu
治浊固本丸,zhi'zhuo'gu'ben'wan
栀子金花加大黄,zhi'zi'jin'hua'jia'da'huang
栀子麻黄豆豉全,zhi'zi'ma'huang'dou'chi'quan
栀子山楂枳壳益,zhi'zi'shan'zha'zhi'ke'yi
中风闭实可消详,zhong'feng'bi'shi'ke'xiao'xiang
中风风秘及气秘,zhong'feng'feng'mi'ji'qi'mi
中风手足皆麻木,zhong'feng'shou'zu'jie'ma'mu
肿浮脚气效彰彰,zhong'fu'jiao'qi'xiao'zhang'zhang
中焦燥实服之好,zhong'jiao'zao'shi'fu'zhi'hao
中焦燥实服之消,zhong'jiao'zao'shi'fu'zhi'xiao
仲景柏皮栀子汤,zhong'jing'bai'pi'zhi'zi'tang
中满分消泊朴乌,zhong'man'fen'xiao'bo'pu'wu
中满分消汤,zhong'man'fen'xiao'tang
中气厥逆此方详,zhong'qi'jue'ni'ci'fang'xiang
重以镇逆咸软痞,zhong'yi'zhen'ni'xian'ruan'pi
重用生姜温胃好,zhong'yong'sheng'jiang'wen'wei'hao
舟车牵牛及大黄,zhou'che'qian'niu'ji'da'huang
舟车丸,zhou'che'wan
肘后单煎葱白豉,zhou'hou'dan'jian'cong'bai'chi
朱贝竺黄天胆共,zhu'bei'zhu'huang'tian'dan'gong
珠粉腰黄冰片麝,zhu'fen'yao'huang'bing'pian'she
茱淮苓地杜牛餐,zhu'huai'ling'di'du'niu'can
竹茹草蒲兼枳实,zhu'ru'cao'pu'jian'zhi'shi
朱砂神曲胆星尝,zhu'sha'shen'qu'dan'xing'chang
猪肾荠尼参茯神,zhu'shen'ji'ni'can'fu'shen
猪肾荠尼汤,zhu'shen'ji'ni'tang
竹味柳蒂干葛知,zhu'wei'liu'di'gan'ge'zhi
助阳过剂阴反灼,zhu'yang'guo'ji'yin'fan'zhuo
竹叶荆牛薄荷豉,zhu'ye'jing'niu'bo'he'chi
竹叶柳蒂汤,zhu'ye'liu'di'tang
竹叶蜜煎疗膈上,zhu'ye'mi'jian'liao'ge'shang
竹叶石膏汤,zhu'ye'shi'gao'tang
竹叶石膏汤人参,zhu'ye'shi'gao'tang'ren'shen
竹叶汤,zhu'ye'tang
竹叶汤能台子烦,zhu'ye'tang'neng'tai'zi'fan
猪泽升麻五味曲,zhu'ze'sheng'ma'wu'wei'qu
猪泽茵陈芩葛朋,zhu'ze'yin'chen'qin'ge'peng
专除郁气不须夸,zhuan'chu'yu'qi'bu'xu'kua
专为大痈红肿尝,zhuan'wei'da'yong'hong'zhong'chang
专需竹沥佐生姜,zhuan'xu'zhu'li'zuo'sheng'jiang
专益肾肝精血虚,zhuan'yi'shen'gan'jing'xue'xu
专治阴虚火有余,zhuan'zhi'yin'xu'huo'you'yu
追疟青陈柴半归,zhui'nue'qing'chen'chai'ban'gui
紫金锭,zi'jin'ding
紫金锭用麝朱雄,zi'jin'ding'yong'she'zhu'xiong
滋肾通关桂柏知,zi'shen'tong'guan'gui'bai'zhi
滋肾通关丸,zi'shen'tong'guan'wan
资寿解语汤,zi'shou'jie'yu'tang
资寿解语汤用羌,zi'shou'jie'yu'tang'yong'qiang
紫苏饮子子悬宜,zi'su'yin'zi'zi'xuan'yi
紫菀百部同蒸用,zi'wan'bai'bu'tong'zheng'yong
紫菀汤,zi'wan'tang
紫菀汤方治子嗽,zi'wan'tang'fang'zhi'zi'sou
紫菀汤中知贝母,zi'wan'tang'zhong'zhi'bei'mu
子痫风中可回春,zi'xian'feng'zhong'ke'hui'chun
紫雪散,zi'xue'san
紫雪犀羚牛朴硝,zi'xue'xi'ling'niu'po'xiao
紫苑汤,zi'yuan'tang
滋燥养营两地黄,zi'zao'yang'ying'liang'di'huang
滋燥养营汤,zi'zao'yang'ying'tang
子肿病名此可医,zi'zhong'bing'ming'ci'ke'yi
足浮喘闷此方贵,zu'fu'chuan'men'ci'fang'gui
足无箴疮汗皆香,zu'wu'zhen'chuang'han'jie'xiang
醉眠取汗是良方,zui'mian'qu'han'shi'liang'fang
左归饮主真阴弱,zuo'gui'yin'zhu'zhen'yin'ruo
左金丸,zuo'jin'wan
左金茱连六一丸,zuo'jin'zhu'lian'liu'yi'wan
