阿达哈哈番,a'da'ha'ha'fan
养象所,yang'xiang'suo
养种园,yang'zhong'yuan
药蜜库,yao'mi'ku
遥辇九帐大常衮司,yao'nian'jiu'zhang'da'chang'gun'si
叶护,ye'hu
也可札鲁忽赤,ye'ke'zha'lu'hu'chi
叶令吴个,ye'ling'wu'ge
野庐氏,ye'lu'shi
掖庭令,ye'ting'ling
谒者,ye'zhe
夜者,ye'zhe
谒者仆射,ye'zhe'pu'ye
谒者台,ye'zhe'tai
掖直郎,ye'zhi'lang
乙榜,yi'bang
仪宾,yi'bin
议曹,yi'cao
仪曹,yi'cao
宜差,yi'cha
翼长,yi'chang
驿丞,yi'cheng
议处,yi'chu
亦都护,yi'dou'hu
貤封,yi'feng
仪凤司,yi'feng'si
倚阁,yi'ge
翊麾校尉,yi'hui'xiao'wei
译经润文使,yi'jing'run'wen'shi
翊军郎,yi'jun'lang
衣寇署,yi'kou'shu
议郎,yi'lang
夷离毕院,yi'li'bi'yuan
夷离堇,yi'li'jin
议礼局,yi'li'ju
仪鸾局,yi'luan'ju
仪鸾司,yi'luan'si
伊耆氏,yi'qi'shi
医全郎,yi'quan'lang
遗人,yi'ren
宜人,yi'ren
伊什罕伯克,yi'shen'han'bo'ke
译署,yi'shu
医帅,yi'shuai
仪同,yi'tong
仪同将军,yi'tong'jiang'jun
仪同三司,yi'tong'san'si
翊卫,yi'wei
翊卫大夫,yi'wei'dai'fu
翊卫郎,yi'wei'lang
艺文监,yi'wen'jian
议叙,yi'xu
异样局总管府,yi'yang'ju'zong'guan'fu
医愈郎,yi'yu'lang
议政处,yi'zheng'chu
议政大臣,yi'zheng'da'chen
医正郎,yi'zheng'lang
翊正司,yi'zheng'si
益政院,yi'zheng'yuan
仪制清吏司,yi'zhi'qing'li'si
乙字库,yi'zi'ku
一字王,yi'zi'wang
荫监,yin'jian
引见,yin'jian
印结,yin'jie
引进使,yin'jin'shi
印历所,yin'li'suo
银青,yin'qing
银青光禄大夫,yin'qing'guang'lu'dai'fu
荫生,yin'sheng
尹氏,yin'shi
印绶监,yin'shou'jian
印造盐茶等引局,yin'zao'yan'cha'deng'yin'ju
银作局,yin'zuo'ju
鹰坊,ying'fang
营缮监,ying'shan'jian
营缮清吏司,ying'shan'qing'li'si
营务处,ying'wu'chu
鹰扬府,ying'yang'fu
鹰扬郎将,ying'yang'lang'jiang
营造司,ying'zao'si
雍和宫,yong'he'gong
雍氏,yong'shi
永巷令,yong'xiang'ling
右阿速卫亲军都指挥使司,you'a'su'wei'qin'jun'du'zhi'hui'shi'si
右藏署,you'cang'shu
右曹,you'cao
右丞,you'cheng
右丞相,you'cheng'xiang
邮传部,you'chuan'bu
右都尉,you'du'wei
右都威卫使司,you'du'wei'wei'shi'si
右扶风,you'fu'feng
右更,you'geng
优贡,you'gong
游击,you'ji
游击将军,you'ji'jiang'jun
游击率,you'ji'lv
优监,you'jian
右将军,you'jiang'jun
游徼,you'jiao
右军,you'jun
右军校,you'jun'xiao
游骑将军,you'qi'jiang'jun
游骑尉,you'qi'wei
右三部,you'san'bu
右史,you'shi
右师,you'shi
右侍禁,you'shi'jin
右庶长,you'shu'chang
右司,you'si
右卫,you'wei
右文殿候撰,you'wen'dian'hou'zhuan
右武大夫,you'wu'da'fu
右武郎,you'wu'lang
右贤王,you'xian'wang
右相,you'xiang
右校署,you'xiao'shu
右翊蒙古侍卫亲军都指挥使司,you'yi'meng'gu'shi'wei'qin'jun'du'zhi'hui'shi'si
右尹,you'yin
有秩,you'zhi
右治狱,you'zhi'yu
右柱国,you'zhu'guo
御伯,yu'bo
虞部郎中,yu'bu'lang'zhong
御茶膳房,yu'cha'shan'fang
谕德,yu'de
玉牒所,yu'die'suo
玉府,yu'fu
御府令,yu'fu'ling
予告,yu'gao
虞衡清吏司,yu'heng'qing'li'si
虞候,yu'hou
薁鞬日逐王,yu'jian'ri'zhu'wang
御酒房,yu'jiu'fang
羽林军,yu'lin'jun
羽林率,yu'lin'lv
羽林骑,yu'lin'qi
羽林中郎将,yu'lin'zhong'lang'jiang
娱灵,yu'ling
御龙弓箭直,yu'long'gong'jian'zhi
御龙骨朵子直,yu'long'gu'duo'zi'zhi
御龙弩直,yu'long'nu'zhi
御龙直,yu'long'zhi
於陆王,yu'lu'wang
御马监,yu'ma'jian
裕民局,yu'min'ju
御辇院,yu'nian'yuan
御女,yu'nv
御仆,yu'pu
驭仆寺,yu'pu'si
御妻,yu'qi
羽骑尉,yu'qi'wei
御前弓马子弟所,yu'qian'gong'ma'zi'di'suo
御前忠佐军头引见司,yu'qian'zhong'zuo'jun'tou'yin'jian'si
御戎,yu'rong
御史,yu'shi
御史丞,yu'shi'cheng
御史大夫,yu'shi'da'fu
御史台,yu'shi'tai
御史长史,yu'shi'zhang'shi
御史中丞,yu'shi'zhong'cheng
御史中尉,yu'shi'zhong'wei
御史中执法,yu'shi'zhong'zhi'fa
御书处,yu'shu'chu
舆帅,yu'shuai
庾司,yu'si
舆司马,yu'si'ma
御婉,yu'wan
御围内六班直,yu'wei'nei'liu'ban'zhi
御侮副尉,yu'wu'fu'wei
御侮校尉,yu'wu'xiao'wei
御香局,yu'xiang'ju
御药房,yu'yao'fang
御药院,yu'yao'yuan
羽仪,yu'yi
御用监,yu'yong'jian
予虞,yu'yu
御媛,yu'yuan
于越,yu'yue
御正,yu'zheng
玉资伯克,yu'zi'bo'ke
元妃,yuan'fei
元丰改制,yuan'feng'gai'zhi
元侯,yuan'hou
元候,yuan'hou
怨军八营都详稳司,yuan'jun'ba'ying'dou'xiang'wen'si
苑马寺,yuan'ma'si
院试,yuan'shi
掾史,yuan'shi
掾史属,yuan'shi'shu
元帅,yuan'shuai
元随傔人衣粮,yuan'sui'jian'ren'yi'liang
员外郎,yuan'wai'lang
乐部,yue'bu
越骑校尉,yue'qi'xiao'wei
乐师,yue'shi
月选,yue'xuan
运副,yun'fu
运幹,yun'gan
云和大夫,yun'he'dai'fu
云和署,yun'he'shu
云麾将军,yun'hui'jiang'jun
云纪大夫,yun'ji'dai'fu
运判,yun'pan
云骑尉,yun'qi'wei
云韶大夫,yun'shao'dai'fu
云韶府,yun'shao'fu
运使,yun'shi
运司,yun'si
运同,yun'tong
云需总管府,yun'xu'zong'guan'fu
杂端,za'duan
杂号将军,za'hao'jiang'jun
杂监司,za'jian'si
杂卖场,za'mai'chang
杂学士,za'xue'shi
杂职官,za'zhi'guan
仔本,zai'ben
宰夫,zai'fu
宰衡,zai'heng
宰旅,zai'lv
宰桑,zai'sang
载师,zai'shi
宰相,zai'xiang
宰执,zai'zhi
赞德,zan'de
赞府,zan'fu
簪袅,zan'niao
赞普,zan'pu
赞善,zan'shan
赞善王,zan'shan'wang
赞务,zan'wu
赞仪署,zan'yi'shu
赞治少尹,zan'zhi'shao'yin
赞治尹,zan'zhi'yin
赃罚库,zang'fa'ku
造水使,zao'shui'shi
责授,ze'shou
贼曹,zei'cao
增广生员,zeng'guang'sheng'yuan
增生,zeng'sheng
札付,zha'fu
牐官,zha'guan
札兰额真,zha'lan'e'zhen
札鲁忽赤,zha'lu'hu'chi
札萨克,zha'sa'ke
斋长,zhai'chang
宅家,zhai'jia
斋郎,zhai'lang
斋帅局,zhai'shuai'ju
斋谕,zhai'yu
詹事,zhan'shi
掌朝下大夫,zhang'chao'xia'dai'fu
章德大夫,zhang'de'dai'fu
章服,zhang'fu
掌固,zhang'gu
掌故,zhang'gu
长官司,zhang'guan'si
掌醢署,zhang'hai'shu
掌交,zhang'jiao
章京,zhang'jing
掌客,zhang'ke
掌乐郎,zhang'le'lang
长吏,zhang'li
掌率,zhang'lv
章佩监,zhang'pei'jian
掌皮,zhang'pi
掌舍,zhang'she
长史,zhang'shi
掌书,zhang'shu
掌讶,zhang'ya
掌仪署,zhang'yi'shu
掌仪司,zhang'yi'si
掌印给事中,zhang'yin'ji'shi'zhong
掌治署,zhang'zhi'shu
掌馔,zhang'zhuan
诏敕,zhao'chi
招抚使,zhao'fu'shi
昭功万户都总使司,zhao'gong'wan'hu'dou'zong'shi'si
昭华,zhao'hua
照明阁,zhao'ming'ge
照磨,zhao'mo
照刷,zhao'shua
招讨使,zhao'tao'shi
招讨司,zhao'tao'si
昭文馆,zhao'wen'guan
昭武大将军,zhao'wu'da'jiang'jun
昭武都尉,zhao'wu'du'wei
昭武副尉,zhao'wu'fu'wei
昭武校尉,zhao'wu'xiao'wei
昭信校尉,zhao'xin'xiao'wei
昭宣使,zhao'xuan'shi
昭仪,zhao'yi
昭毅大将军,zhao'yi'da'jiang'jun
昭勇大将军,zhao'yong'da'jiang'jun
折冲都尉,zhe'chong'du'wei
折冲府,zhe'chong'fu
真二千石,zhen'er'qian'shi
镇抚使,zhen'fu'shi
镇抚司,zhen'fu'si
甄官署,zhen'guan'shu
镇国大将军,zhen'guo'da'jiang'jun
镇国公,zhen'guo'gong
镇国将军,zhen'guo'jiang'jun
镇国上将军,zhen'guo'shang'jiang'jun
镇国中尉,zhen'guo'zhong'wei
镇军大将军,zhen'jun'da'jiang'jun
镇军将军,zhen'jun'jiang'jun
贞人,zhen'ren
镇守使,zhen'shou'shi
镇守太监,zhen'shou'tai'jian
振肃,zhen'su
镇台,zhen'tai
振威副尉,zhen'wei'fu'wei
振威将军,zhen'wei'jiang'jun
振威校尉,zhen'wei'xiao'wei
珍羞署,zhen'xiu'shu
箴尹,zhen'yin
镇寨官,zhen'zhai'guan
正参领,zheng'can'ling
正长,zheng'chang
正都统,zheng'du'tong
正奉大夫,zheng'feng'dai'fu
正奉郎,zheng'feng'lang
正纪郎,zheng'ji'lang
正谏大夫,zheng'jian'da'fu
正军校,zheng'jun'xiao
正任,zheng'ren
正侍郎,zheng'shi'lang
政事省,zheng'shi'sheng
政事堂,zheng'shi'tang
政堂省,zheng'tang'sheng
正途,zheng'tu
正卫郎,zheng'wei'lang
政务处,zheng'wu'chu
正言,zheng'yan
正议大夫,zheng'yi'dai'fu
正仪大夫,zheng'yi'dai'fu
正印官,zheng'yin'guan
正治卿,zheng'zhi'qing
正治上卿,zheng'zhi'shang'qing
正字,zheng'zi
职币,zhi'bi
直长,zhi'chang
直殿监,zhi'dian'jian
支度使,zhi'du'shi
知顿使,zhi'dun'shi
执法,zhi'fa
职方郎中,zhi'fang'lang'zhong
职方清吏司,zhi'fang'qing'li'si
职方氏,zhi'fang'shi
知府,zhi'fu
直符史,zhi'fu'shi
直閤,zhi'ge
直阁,zhi'ge
知閤门事,zhi'ge'men'shi
执珪,zhi'gui
知匦使,zhi'gui'shi
致果副尉,zhi'guo'fu'wei
致果校尉,zhi'guo'xiao'wei
制国用使,zhi'guo'yong'shi
祗候殿头,zhi'hou'dian'tou
祗候高品,zhi'hou'gao'pin
知后官,zhi'hou'guan
祗候黄门,zhi'hou'huang'men
祗候库,zhi'hou'ku
祗候侍禁,zhi'hou'shi'jin
指挥,zhi'hui
执戟,zhi'ji
直集,zhi'ji
直讲,zhi'jiang
职揭,zhi'jie
执金吾,zhi'jin'wu
制举,zhi'ju
制军,zhi'jun
制勘司,zhi'kan'si
制科,zhi'ke
直隶,zhi'li
治礼郎,zhi'li'lang
直隶厅,zhi'li'ting
直隶州,zhi'li'zhou
直龙,zhi'long
直秘阁,zhi'mi'ge
职内,zhi'nei
值年河道沟渠处,zhi'nian'he'dao'gou'qu'chu
织染署,zhi'ran'shu
指射,zhi'she
指省,zhi'sheng
制使,zhi'shi
支使,zhi'shi
直史,zhi'shi
织室,zhi'shi
制授,zhi'shou
旨授,zhi'shou
执守侍,zhi'shou'shi
知枢密院事,zhi'shu'mi'yuan'shi
治书侍御史,zhi'shu'shi'yu'shi
治书执法,zhi'shu'zhi'fa
治粟都尉,zhi'su'du'wei
治粟内史,zhi'su'nei'shi
职岁,zhi'sui
知县,zhi'xian
直学士,zhi'xue'shi
制义,zhi'yi
支应局,zhi'ying'ju
支应所,zhi'ying'suo
制用司,zhi'yong'si
知院,zhi'yuan
致远务,zhi'yuan'wu
织造,zhi'zao
制造厂,zhi'zao'chang
制造库,zhi'zao'ku
执政,zhi'zheng
职志,zhi'zhi
知制诰,zhi'zhi'gao
制置三司条例司,zhi'zhi'san'si'tiao'li'si
制置使,zhi'zhi'shi
治中,zhi'zhong
治中从事史,zhi'zhong'cong'shi'shi
知州,zhi'zhou
秩宗,zhi'zong
中才人,zhong'cai'ren
中常大夫,zhong'chang'dai'fu
中常侍,zhong'chang'shi
中丞相,zhong'cheng'xiang
中从事,zhong'cong'shi
中大夫,zhong'da'fu
中都官,zhong'du'guan
中二千石,zhong'er'qian'shi
中奉大夫,zhong'feng'dai'fu
中更,zhong'geng
中宫,zhong'gong
中宫黄门冗从仆射,zhong'gong'huang'men'rong'cong'pu'she
中宫仆,zhong'gong'pu
中宫尚书,zhong'gong'shang'shu
中宫私府令,zhong'gong'si'fu'ling
中宫谒者令,zhong'gong'ye'zhe'ling
钟鼓司,zhong'gu'si
钟鼓院,zhong'gu'yuan
钟官,zhong'guan
中官正,zhong'guan'zheng
中贵人,zhong'gui'ren
中行,zhong'hang
中和殿大学士,zhong'he'dian'da'xue'shi
中候,zhong'hou
中护,zhong'hu
中护军,zhong'hu'jun
中黄门,zhong'huang'men
中极殿大学士,zhong'ji'dian'da'xue'shi
中将,zhong'jiang
中涓,zhong'juan
中涓大夫,zhong'juan'dai'fu
中军,zhong'jun
中军将军,zhong'jun'jiang'jun
中郎,zhong'lang
中郎将,zhong'lang'jiang
中垒校尉,zhong'lei'xiao'wei
中良大夫,zhong'liang'dai'fu
中亮大夫,zhong'liang'dai'fu
中亮郎,zhong'liang'lang
中列大夫,zhong'lie'dai'fu
中领军,zhong'ling'jun
中牧监,zhong'mu'jian
中卿,zhong'qing
冢人,zhong'ren
中瑞司,zhong'rui'si
中散大夫,zhong'san'da'fu
中尚,zhong'shang
中尚监,zhong'shang'jian
中舍人,zhong'she'ren
中士,zhong'shi
中式,zhong'shi
中侍大夫,zhong'shi'dai'fu
中侍郎,zhong'shi'lang
中使女生,zhong'shi'nv'sheng
中侍上士,zhong'shi'shang'shi
中侍中省,zhong'shi'zhong'sheng
中书监,zhong'shu'jian
中书科,zhong'shu'ke
中书郎,zhong'shu'lang
中书令,zhong'shu'ling
中书门下,zhong'shu'men'xia
中书舍人,zhong'shu'she'ren
中书省,zhong'shu'sheng
中书侍郎,zhong'shu'shi'lang
中书谒者令,zhong'shu'ye'zhe'ling
中庶子,zhong'shu'zi
中顺大夫,zhong'shun'dai'fu
中司,zhong'si
中台,zhong'tai
中台省,zhong'tai'sheng
中台左右丞,zhong'tai'zuo'you'cheng
中堂,zhong'tang
中卫,zhong'wei
中尉,zhong'wei
中卫大夫,zhong'wei'dai'fu
中卫郎,zhong'wei'lang
中卫率,zhong'wei'lv
忠武将军,zhong'wu'jiang'jun
忠武校尉,zhong'wu'xiao'wei
中宪大夫,zhong'xian'dai'fu
忠显校尉,zhong'xian'xiao'wei
中校,zhong'xiao
中校署,zhong'xiao'shu
忠训郎,zhong'xun'lang
中谒者令,zhong'ye'zhe'ling
中议大夫,zhong'yi'dai'fu
中仪大夫,zhong'yi'dai'fu
中益大夫,zhong'yi'dai'fu
忠翊郎,zhong'yi'lang
忠翊侍卫亲军都指挥使司,zhong'yi'shi'wei'qin'jun'du'zhi'hui'shi'si
忠翊校尉,zhong'yi'xiao'wei
中尹大夫,zhong'yin'dai'fu
中引大夫,zhong'yin'dai'fu
忠勇校尉,zhong'yong'xiao'wei
中御大监,zhong'yu'da'jian
中御大夫,zhong'yu'dai'fu
中御府,zhong'yu'fu
钟院,zhong'yuan
中允,zhong'yun
冢宰,zhong'zai
中正,zhong'zheng
中正大夫,zhong'zheng'dai'fu
中正台,zhong'zheng'tai
中政院,zhong'zheng'yuan
中旨,zhong'zhi
州都,zhou'dou
州牧,zhou'mu
州判,zhou'pan
州同,zhou'tong
州院,zhou'yuan
州长,zhou'zhang
胄子监,zhou'zi'jian
主簿,zhu'bu
驻防将军,zhu'fang'jiang'jun
主稿,zhu'gao
主管架阁库,zhu'guan'jia'ge'ku
主管书写机宜文字,zhu'guan'shu'xie'ji'yi'wen'zi
柱国,zhu'guo
主计,zhu'ji
主记,zhu'ji
主将,zhu'jiang
助教,zhu'jiao
朱卷,zhu'juan
主爵,zhu'jue
主爵都尉,zhu'jue'du'wei
主爵中尉,zhu'jue'zhong'wei
主考,zhu'kao
主客,zhu'ke
主客清吏司,zhu'ke'qing'li'si
主吏掾,zhu'li'yuan
诸路宝钞都提举司,zhu'lu'bao'chao'dou'ti'ju'si
诸路金玉人匠总管府,zhu'lu'jin'yu'ren'jiang'zong'guan'fu
朱批,zhu'pi
铸钱使,zhu'qian'shi
诸色人匠总管府,zhu'se'ren'jiang'zong'guan'fu
褚师,zhu'shi
主事,zhu'shi
主书,zhu'shu
诸司局人匠总管府,zhu'si'ju'ren'jiang'zong'guan'fu
诸司使,zhu'si'shi
柱下史,zhu'xia'shi
朱谕,zhu'yu
主章长,zhu'zhang'chang
著帐户司,zhu'zhang'hu'si
著帐局,zhu'zhang'ju
著帐郎君院,zhu'zhang'lang'jun'yuan
主政,zhu'zheng
著作郎,zhu'zuo'lang
拽刺,zhuai'ci
专达,zhuan'da
转对,zhuan'dui
转运使,zhuan'yun'shi
幢将,zhuang'jiang
壮武将军,zhuang'wu'jiang'jun
状元,zhuang'yuan
庄宅使,zhuang'zhai'shi
幢主,zhuang'zhu
追师,zhui'shi
准备差遣,zhun'bei'chai'qian
准备将领,zhun'bei'jiang'ling
准尉,zhun'wei
资德大夫,zi'de'dai'fu
资德院,zi'de'yuan
子都督,zi'du'du
子将,zi'jiang
紫金鱼袋,zi'jin'yu'dai
资善大夫,zi'shan'dai'fu
资善堂,zi'shan'tang
子司,zi'si
子统,zi'tong
紫微省,zi'wei'sheng
紫微侍郎,zi'wei'shi'lang
资武库,zi'wu'ku
赀选,zi'xuan
谘议局,zi'yi'ju
资政,zi'zheng
资政大夫,zi'zheng'dai'fu
资政殿大学士,zi'zheng'dian'da'xue'shi
资政院,zi'zheng'yuan
资治少尹,zi'zhi'shao'yin
资治尹,zi'zhi'yin
总办,zong'ban
宗本,zong'ben
总兵,zong'bing
宗伯,zong'bo
总长,zong'chang
总督,zong'du
总督仓场,zong'du'cang'chang
总督京营戎政,zong'du'jing'ying'rong'zheng
总管,zong'guan
总计使,zong'ji'shi
总检察厅,zong'jian'cha'ting
总理各国事务衙门,zong'li'ge'guo'shi'wu'ya'men
总理行营大臣,zong'li'xing'ying'da'chen
总理衙门,zong'li'ya'men
总领,zong'ling
总明观祭酒,zong'ming'guan'ji'jiu
宗人府,zong'ren'fu
宗仁蒙古侍卫亲军都指挥使司,zong'ren'meng'gu'shi'wei'qin'jun'du'zhi'hui'shi'si
宗室,zong'shi
宗师,zong'shi
宗侍下士,zong'shi'xia'shi
总署,zong'shu
总税务司,zong'shui'wu'si
总统,zong'tong
总宪,zong'xian
宗学,zong'xue
宗正,zong'zheng
总制,zong'zhi
总制司,zong'zhi'si
总制院,zong'zhi'yuan
奏曹,zou'cao
奏差,zou'cha
走马承受公事,zou'ma'cheng'shou'gong'shi
奏事处,zou'shi'chu
奏折,zou'zhe
奏折夹片,zou'zhe'jia'pian
卒长,zu'chang
祖儒,zu'ru
卒史,zu'shi
族师,zu'shi
租庸使,zu'yong'shi
尊号,zun'hao
左阿速卫亲军都指挥使司,zuo'a'su'wei'qin'jun'du'zhi'hui'shi'si
坐办,zuo'ban
左藏署,zuo'cang'shu
左曹,zuo'cao
作册,zuo'ce
左丞,zuo'cheng
左丞相,zuo'cheng'xiang
左都威卫使司,zuo'dou'wei'wei'shi'si
左都尉,zuo'du'wei
左断刑,zuo'duan'xing
佐贰,zuo'er
左冯翊,zuo'feng'yi
左更,zuo'geng
左将军,zuo'jiang'jun
左军校,zuo'jun'xiao
坐粮厅,zuo'liang'ting
佐领,zuo'ling
左三部,zuo'san'bu
左三部照磨所,zuo'san'bu'zhao'mo'suo
左省,zuo'sheng
作士,zuo'shi
左史,zuo'shi
左师,zuo'shi
左侍禁,zuo'shi'jin
左庶长,zuo'shu'chang
作司,zuo'si
左司,zuo'si
左徒,zuo'tu
左屠耆王,zuo'tu'qi'wang
左卫,zuo'wei
左武大夫,zuo'wu'da'fu
左武郎,zuo'wu'lang
左贤王,zuo'xian'wang
左相,zuo'xiang
左校署,zuo'xiao'shu
左翊蒙古侍卫亲军都指挥使司,zuo'yi'meng'gu'shi'wei'qin'jun'du'zhi'hui'shi'si
左尹,zuo'yin
左右豹韬卫,zuo'you'bao'tao'wei
左右备身府,zuo'you'bei'shen'fu
左右大当户,zuo'you'da'dang'hu
左右大都尉,zuo'you'da'dou'wei
左右大将,zuo'you'da'jiang
左右都御史,zuo'you'du'yu'shi
左右奉宸卫,zuo'you'feng'chen'wei
左右府,zuo'you'fu
左右骨都侯,zuo'you'gu'dou'hou
左右谷蠡王,zuo'you'gu'li'wang
左右光禄大夫,zuo'you'guang'lu'dai'fu
左右候卫,zuo'you'hou'wei
左右监门率,zuo'you'jian'men'lv
左右监门卫,zuo'you'jian'men'wei
左右街使,zuo'you'jie'shi
左右金吾卫,zuo'you'jin'wu'wei
左右匡政,zuo'you'kuang'zheng
左右领军卫,zuo'you'ling'jun'wei
左右领左右府,zuo'you'ling'zuo'you'fu
左右内率,zuo'you'nei'lv
左右千牛卫,zuo'you'qian'niu'wei
左右清道率,zuo'you'qing'dao'lv
左右侍,zuo'you'shi
左右司卫,zuo'you'si'wei
左右司议郎,zuo'you'si'yi'lang
左右司御率,zuo'you'si'yu'lv
左右寺正,zuo'you'si'zheng
左右肃机,zuo'you'su'ji
左右屯卫,zuo'you'tun'wei
左右卫,zuo'you'wei
左右卫率,zuo'you'wei'lv
左右威卫,zuo'you'wei'wei
左右武候,zuo'you'wu'hou
左右武侍率,zuo'you'wu'shi'lv
左右武卫,zuo'you'wu'wei
左右骁骑卫,zuo'you'xiao'qi'wei
左右骁卫,zuo'you'xiao'wei
左右巡使,zuo'you'xun'shi
左右翊卫,zuo'you'yi'wei
左右鹰扬卫,zuo'you'ying'yang'wei
左右虞候开府,zuo'you'yu'hou'kai'fu
左右玉钤卫,zuo'you'yu'qian'wei
左右御卫,zuo'you'yu'wei
左右宗卫,zuo'you'zong'wei
左藏东西库,zuo'zang'dong'xi'ku
座主,zuo'zhu
左柱国,zuo'zhu'guo
