阿法地区,a'fa'di'qu
马歇尔稳定度,ma'xie'er'wen'ding'du
马歇尔稳定度义,ma'xie'er'wen'ding'du'yi
麻絮,ma'xu
马牙槎,ma'ya'cha
埋管,mai'guan
埋弧焊,mai'hu'han
埋件,mai'jian
埋入式,mai'ru'shi
埋设,mai'she
埋设护筒,mai'she'hu'tong
埋深,mai'shen
埋石,mai'shi
埋置,mai'zhi
埋置式,mai'zhi'shi
埋置式桥台,mai'zhi'shi'qiao'tai
埋钻,mai'zuan
满布,man'bu
满布式,man'bu'shi
满布式支架,man'bu'shi'zhi'jia
满布支架,man'bu'zhi'jia
满铺,man'pu
满砌护坡,man'qi'hu'po
漫水坝,man'shui'ba
漫水桥,man'shui'qiao
慢速车道,man'su'che'dao
满堂红,man'tang'hong
满堂红支架,man'tang'hong'zhi'jia
满堂式,man'tang'shi
满堂支架,man'tang'zhi'jia
慢行,man'xing
盲沟,mang'gou
毛刺,mao'ci
猫道,mao'dao
锚垫板,mao'dian'ban
铆钉,mao'ding
锚定,mao'ding
锚碇,mao'ding
锚定板,mao'ding'ban
锚定板挡土墙,mao'ding'ban'dang'tu'qiang
锚锭板式挡土墙,mao'ding'ban'shi'dang'tu'qiang
锚碇板式桥台,mao'ding'ban'shi'qiao'tai
锚定墙,mao'ding'qiang
毛洞,mao'dong
锚墩,mao'dun
毛方石,mao'fang'shi
锚杆,mao'gan
锚杆挡土墙,mao'gan'dang'tu'qiang
锚杆式挡土墙,mao'gan'shi'dang'tu'qiang
锚固,mao'gu
锚固板,mao'gu'ban
锚固长度,mao'gu'chang'du
锚固钢筋,mao'gu'gang'jin
锚固胶,mao'gu'jiao
锚固筋,mao'gu'jin
锚固区,mao'gu'qu
锚环,mao'huan
冒浆,mao'jiang
锚具,mao'ju
锚孔,mao'kong
毛勒,mao'le
毛勒缝,mao'le'feng
毛勒伸缩缝,mao'le'shen'suo'feng
帽梁,mao'liang
铆枪,mao'qiang
锚入,mao'ru
锚塞,mao'sai
锚室,mao'shi
帽石,mao'shi
毛石,mao'shi
锚栓,mao'shuan
锚索,mao'suo
毛条石,mao'tiao'shi
锚头,mao'tou
毛细水,mao'xi'shui
冒险作业,mao'xian'zuo'ye
梅花孔,mei'hua'kong
煤沥青,mei'li'qing
门架,men'jia
门框墙,men'kuang'qiang
闷料,men'liao
门头跳动,men'tou'tiao'dong
锰钢,meng'gang
蒙脱石,meng'tuo'shi
密闭门,mi'bi'men
密闭式循环冷却水系统,mi'bi'shi'xun'huan'leng'que'shui'xi'tong
弥补成本,mi'bu'cheng'ben
米尺,mi'chi
密度,mi'du
密封胶,mi'feng'jiao
密封圈,mi'feng'quan
密封试验,mi'feng'shi'yan
密级配,mi'ji'pei
密级配沥青混合料,mi'ji'pei'li'qing'hun'he'liao
密实,mi'shi
密实度,mi'shi'du
泌水,mi'shui
泌水率,mi'shui'lv
泌水试验,mi'shui'shi'yan
密贴,mi'tie
面板,mian'ban
面层,mian'ceng
免除责任,mian'chu'ze'ren
免费通行,mian'fei'tong'xing
免缴证,mian'jiao'zheng
棉絮,mian'xu
描图,miao'tu
民房,min'fang
民工工资,min'gong'gong'zi
民用爆炸物品,min'yong'bao'zha'wu'pin
民用航空安全,min'yong'hang'kong'an'quan
明洞,ming'dong
明渠,ming'qu
明设,ming'she
明挖,ming'wa
明挖法,ming'wa'fa
明挖基础,ming'wa'ji'chu
明挖基坑,ming'wa'ji'keng
名义利率,ming'yi'li'lv
模板,mo'ban
模板安装,mo'ban'an'zhuang
模板拆除,mo'ban'chai'chu
摩擦力,mo'ca'li
摩擦系数,mo'ca'xi'shu
摩擦系数仪,mo'ca'xi'shu'yi
摩擦桩,mo'ca'zhuang
墨斗,mo'dou
磨粉机,mo'fen'ji
抹缝,mo'feng
蘑菇石,mo'gu'shi
磨光机,mo'guang'ji
磨光值,mo'guang'zhi
磨耗层,mo'hao'ceng
磨耗度,mo'hao'du
磨耗损失,mo'hao'sun'shi
磨耗性,mo'hao'xing
磨耗值,mo'hao'zhi
抹角,mo'jiao
模量,mo'liang
抹面,mo'mian
抹面机,mo'mian'ji
抹平,mo'ping
模数,mo'shu
模数式伸缩装置,mo'shu'shi'shen'suo'zhuang'zhi
磨损,mo'sun
摩托夯,mo'tuo'hang
抹压,mo'ya
抹子,mo'zi
摩阻力,mo'zu'li
目标管理,mu'biao'guan'li
目标管理理念,mu'biao'guan'li'li'nian
目标配比,mu'biao'pei'bi
目标配比设计,mu'biao'pei'bi'she'ji
目标配合比,mu'biao'pei'he'bi
目标配合比设计,mu'biao'pei'he'bi'she'ji
木橛,mu'jue
木模板,mu'mo'ban
木抹子,mu'mo'zi
木模,mu'mu
木排道,mu'pai'dao
木桥,mu'qiao
木丝板,mu'si'ban
木桶理论,mu'tong'li'lun
木楔,mu'xie
木楔子,mu'xie'zi
苜蓿叶,mu'xu'ye
苜蓿叶形立体交叉,mu'xu'ye'xing'li'ti'jiao'cha
墓穴,mu'xue
木质纤维素,mu'zhi'xian'wei'su
木桩,mu'zhuang
耐候性,nai'hou'xing
耐久性,nai'jiu'xing
耐压,nai'ya
南防,nan'fang
挠度,nao'du
挠度值,nao'du'zhi
挠曲,nao'qu
内侧车道,nei'ce'che'dao
内衬,nei'chen
内监,nei'jian
内角,nei'jiao
内角和,nei'jiao'he
内径,nei'jing
内力,nei'li
内力重分布,nei'li'zhong'fen'bu
内力重分配,nei'li'zhong'fen'pei
内模,nei'mo
内摩擦角,nei'mo'ca'jiao
内排水系统,nei'pai'shui'xi'tong
内审,nei'shen
内胎,nei'tai
内业,nei'ye
内业资料,nei'ye'zi'liao
内业资料整理,nei'ye'zi'liao'zheng'li
能量损失,neng'liang'sun'shi
泥灰结碎石,ni'hui'jie'sui'shi
泥夹层,ni'jia'ceng
拟建,ni'jian
拟建项目,ni'jian'xiang'mu
泥浆,ni'jiang
泥浆泵,ni'jiang'beng
泥浆比重,ni'jiang'bi'zhong
泥浆池,ni'jiang'chi
泥浆护壁,ni'jiang'hu'bi
泥结碎石,ni'jie'sui'shi
泥结碎石路面,ni'jie'sui'shi'lu'mian
泥砾岩,ni'li'yan
逆流再生,ni'liu'zai'sheng
尼龙棒,ni'long'bang
泥石流,ni'shi'liu
泥炭,ni'tan
泥炭质土,ni'tan'zhi'tu
逆向思维,ni'xiang'si'wei
泥岩,ni'yan
泥质岩,ni'zhi'yan
年第位最大小时交通量,nian'di'wei'zui'da'xiao'shi'jiao'tong'liang
粘度,nian'du
黏附性,nian'fu'xing
粘附性,nian'fu'xing
粘结,nian'jie
粘结层,nian'jie'ceng
粘结强度,nian'jie'qiang'du
粘聚力,nian'ju'li
年平均日交通量,nian'ping'jun'ri'jiao'tong'liang
粘土,nian'tu
粘性土,nian'xing'tu
碾压,nian'ya
碾压遍数,nian'ya'bian'shu
碾压混凝土,nian'ya'hun'ning'tu
碾压混凝土路面,nian'ya'hun'ning'tu'lu'mian
碾压式水泥混凝土,nian'ya'shi'shui'ni'hun'ning'tu
碾压速度,nian'ya'su'du
粘滞度,nian'zhi'du
黏滞性,nian'zhi'xing
年最大小时交通量,nian'zui'da'xiao'shi'jiao'tong'liang
鸟瞰透视图,niao'kan'tou'shi'tu
鸟瞰图,niao'kan'tu
凝灰岩,ning'hui'yan
凝结时间,ning'jie'shi'jian
扭矩,niu'ju
扭转,niu'zhuan
农村公路,nong'cun'gong'lu
农村公路建设,nong'cun'gong'lu'jian'she
农民工,nong'min'gong
暖棚法,nuan'peng'fa
疟疾,nue'ji
女儿墙,nv'er'qiang
偶偏,ou'pian
偶然荷载,ou'ran'he'zai
偶然偏心,ou'ran'pian'xin
偶然误差,ou'ran'wu'cha
爬坡车道,pa'po'che'dao
爬坡能力,pa'po'neng'li
排查,pai'cha
排出管,pai'chu'guan
排导沟,pai'dao'gou
排计划,pai'ji'hua
排架,pai'jia
排架桩,pai'jia'zhuang
排架桩墩,pai'jia'zhuang'dun
排架桩基础,pai'jia'zhuang'ji'chu
排泥,pai'ni
排泥管,pai'ni'guan
排砌法,pai'qi'fa
排砂孔,pai'sha'kong
排水,pai'shui
排水沟,pai'shui'gou
排水管,pai'shui'guan
排水孔,pai'shui'kong
排水口,pai'shui'kou
排水设施,pai'shui'she'shi
排水隧洞,pai'shui'sui'dong
排污设施,pai'wu'she'shi
排桩,pai'zhuang
盘条,pan'tiao
攀缘植物,pan'yuan'zhi'wu
旁压试验,pang'ya'shi'yan
旁站,pang'zhan
旁站记录,pang'zhan'ji'lu
旁站监理,pang'zhan'jian'li
跑尺,pao'chi
跑点,pao'dian
炮工,pao'gong
跑浆,pao'jiang
炮孔,pao'kong
跑模,pao'mo
抛石,pao'shi
抛石护坡,pao'shi'hu'po
抛石挤淤,pao'shi'ji'yu
炮眼,pao'yan
抛掷爆破,pao'zhi'bao'po
配比,pei'bi
配电盘,pei'dian'pan
配电室,pei'dian'shi
配电箱,pei'dian'xiang
配箍率,pei'gu'lv
配箍特征值,pei'gu'te'zheng'zhi
配合比,pei'he'bi
配合比应,pei'he'bi'ying
配筋,pei'jin
配筋率,pei'jin'lv
培土,pei'tu
培土路肩,pei'tu'lu'jian
配制,pei'zhi
配重,pei'zhong
配重铁,pei'zhong'tie
喷播,pen'bo
喷灯,pen'deng
喷护,pen'hu
喷混植生,pen'hun'zhi'sheng
喷浆,pen'jiang
喷浆防护,pen'jiang'fang'hu
喷锚支护,pen'mao'zhi'hu
喷漆,pen'qi
喷洒,pen'sa
喷砂,pen'sha
喷砂除锈,pen'sha'chu'xiu
喷射防护,pen'she'fang'hu
喷射混凝土,pen'she'hun'ning'tu
盆式,pen'shi
盆式橡胶支座,pen'shi'xiang'jiao'zhi'zuo
盆式支座,pen'shi'zhi'zuo
盆支,pen'zhi
喷嘴,pen'zui
棚洞,peng'dong
膨胀螺栓,peng'zhang'luo'shuan
膨胀螺丝,peng'zhang'luo'si
膨胀率,peng'zhang'lv
膨胀土,peng'zhang'tu
皮尺,pi'chi
疲劳破坏,pi'lao'po'huai
疲劳强度,pi'lao'qiang'du
疲劳试验,pi'lao'shi'yan
劈裂,pi'lie
劈裂强度,pi'lie'qiang'du
劈裂试验,pi'lie'shi'yan
劈裂注浆,pi'lie'zhu'jiang
偏薄,pian'bao
偏差系数,pian'cha'xi'shu
偏角,pian'jiao
偏角法,pian'jiao'fa
片麻岩,pian'ma'yan
片石,pian'shi
片石混凝土,pian'shi'hun'ning'tu
偏位,pian'wei
偏心,pian'xin
偏心距,pian'xin'ju
偏压,pian'ya
片岩,pian'yan
漂石,piao'shi
平板夯,ping'ban'hang
平板式,ping'ban'shi
平板仪,ping'ban'yi
平板振捣器,ping'ban'zhen'dao'qi
平板振动夯,ping'ban'zhen'dong'hang
平包纵,ping'bao'zong
平差,ping'cha
平地机,ping'di'ji
平法,ping'fa
平缝,ping'feng
评估成本,ping'gu'cheng'ben
评估体系,ping'gu'ti'xi
平焊,ping'han
平衡梁,ping'heng'liang
评价指标,ping'jia'zhi'biao
平键,ping'jian
平交,ping'jiao
平交路口,ping'jiao'lu'kou
平均断面法,ping'jun'duan'mian'fa
平均误差,ping'jun'wu'cha
平均值,ping'jun'zhi
平均纵坡,ping'jun'zong'po
平面,ping'mian
平面布置图,ping'mian'bu'zhi'tu
平面交叉,ping'mian'jiao'cha
平面交叉口,ping'mian'jiao'cha'kou
平面控制点,ping'mian'kong'zhi'dian
平面控制网,ping'mian'kong'zhi'wang
平面设计,ping'mian'she'ji
平面示意图,ping'mian'shi'yi'tu
平面图,ping'mian'tu
平面位移,ping'mian'wei'yi
平面线形,ping'mian'xian'xing
平面坐标,ping'mian'zuo'biao
平锹,ping'qiao
平曲线,ping'qu'xian
平曲线半径,ping'qu'xian'ban'jing
平曲线横净距,ping'qu'xian'heng'jing'ju
平曲线加宽,ping'qu'xian'jia'kuan
平曲线要素,ping'qu'xian'yao'su
平石,ping'shi
平台,ping'tai
平台板,ping'tai'ban
平台梁,ping'tai'liang
平行作业,ping'xing'zuo'ye
平行作业法,ping'xing'zuo'ye'fa
平原区,ping'yuan'qu
平缘石,ping'yuan'shi
平整场地,ping'zheng'chang'di
平整度,ping'zheng'du
平整度仪,ping'zheng'du'yi
平纵,ping'zong
平纵结合,ping'zong'jie'he
破冰棱,po'bing'leng
坡长,po'chang
坡长限制,po'chang'xian'zhi
坡顶,po'ding
坡度尺,po'du'chi
破坏锤,po'huai'chui
破坏试验,po'huai'shi'yan
坡积土,po'ji'tu
坡脚,po'jiao
破裂,po'lie
坡面,po'mian
坡面防护,po'mian'fang'hu
坡面排水,po'mian'pai'shui
坡面排水施工,po'mian'pai'shui'shi'gong
破碎带,po'sui'dai
破碎机,po'sui'ji
破桩头,po'zhuang'tou
剖面,pou'mian
剖面图,pou'mian'tu
铺草皮,pu'cao'pi
铺砌,pu'qi
铺砌法,pu'qi'fa
铺砌工程,pu'qi'gong'cheng
铺砂试验,pu'sha'shi'yan
蒲式耳,pu'shi'er
普通钢板,pu'tong'gang'ban
普通硅酸盐水泥,pu'tong'gui'suan'yan'shui'ni
普通混凝土路面,pu'tong'hun'ning'tu'lu'mian
普通螺栓,pu'tong'luo'shuan
铺油,pu'you
铺筑,pu'zhu
铺装,pu'zhuang
起爆电流,qi'bao'dian'liu
汽车客运站,qi'che'ke'yun'zhan
汽车最小转弯半径,qi'che'zui'xiao'zhuan'wan'ban'jing
起点,qi'dian
起吊,qi'diao
汽吊,qi'diao
启动液,qi'dong'ye
弃方,qi'fang
气割,qi'ge
气割枪,qi'ge'qiang
起拱,qi'gong
七股钢绞线,qi'gu'gang'jiao'xian
气焊,qi'han
气孔,qi'kong
企口,qi'kou
企口缝,qi'kou'feng
砌块,qi'kuai
漆料,qi'liao
棋盘式道路系统,qi'pan'shi'dao'lu'xi'tong
气泡,qi'pao
气瓶,qi'ping
起迄点调查,qi'qi'dian'diao'cha
起始,qi'shi
弃石,qi'shi
汽式,qi'shi
砌石,qi'shi
砌石工程,qi'shi'gong'cheng
气水冲洗,qi'shui'chong'xi
其他材料,qi'ta'cai'liao
其它可变荷载,qi'ta'ke'bian'he'zai
砌体,qi'ti
砌体工程,qi'ti'gong'cheng
砌体结构设计规范,qi'ti'jie'gou'she'ji'gui'fan
弃土,qi'tu
弃土场,qi'tu'chang
弃土堆,qi'tu'dui
弃土坑,qi'tu'keng
气象灾害,qi'xiang'zai'hai
气压焊,qi'ya'han
气压盒,qi'ya'he
企业安全文化,qi'ye'an'quan'wen'hua
企业文化概论,qi'ye'wen'hua'gai'lun
企业职工伤害事故,qi'ye'zhi'gong'shang'hai'shi'gu
企业职工伤亡事故分类,qi'ye'zhi'gong'shang'wang'shi'gu'fen'lei
企业资质,qi'ye'zi'zhi
气硬性,qi'ying'xing
起重,qi'zhong
起重调运指挥信号,qi'zhong'diao'yun'zhi'hui'xin'hao
起重机械安全规程,qi'zhong'ji'xie'an'quan'gui'cheng
起重设备,qi'zhong'she'bei
起重作业安全,qi'zhong'zuo'ye'an'quan
砌筑,qi'zhu
气钻,qi'zuan
前处理,qian'chu'li
嵌缝,qian'feng
前风挡,qian'feng'dang
嵌固,qian'gu
嵌固端,qian'gu'duan
浅基础,qian'ji'chu
嵌挤型,qian'ji'xing
前减震,qian'jian'zhen
千斤顶,qian'jin'ding
千斤顶标定,qian'jin'ding'biao'ding
前进方向,qian'jin'fang'xiang
前链轮轴,qian'lian'lun'zhou
前轮轮毂,qian'lun'lun'gu
千枚岩,qian'mei'yan
前期工作,qian'qi'gong'zuo
遣散费,qian'san'fei
前视,qian'shi
前室,qian'shi
潜蚀,qian'shi
前束,qian'shu
潜水,qian'shui
潜水操作,qian'shui'cao'zuo
潜水堰,qian'shui'yan
浅水作业,qian'shui'zuo'ye
潜水作业,qian'shui'zuo'ye
钎探,qian'tan
前推,qian'tui
嵌岩桩,qian'yan'zhuang
欠振,qian'zhen
前置钢筋支架法,qian'zhi'gang'jin'zhi'jia'fa
钳子,qian'zi
墙背,qiang'bei
强度,qiang'du
强度试件,qiang'du'shi'jian
强度仪,qiang'du'yi
墙高,qiang'gao
强夯,qiang'hang
强夯法,qiang'hang'fa
强令冒险作业,qiang'ling'mao'xian'zuo'ye
强迫命令,qiang'po'ming'ling
强屈比,qiang'qu'bi
墙身,qiang'shen
强酸性阳离子交换树脂,qiang'suan'xing'yang'li'zi'jiao'huan'shu'zhi
墙体,qiang'ti
强条,qiang'tiao
抢位争先,qiang'wei'zheng'xian
墙肢,qiang'zhi
强制标准,qiang'zhi'biao'zhun
强制式,qiang'zhi'shi
强制式拌和机,qiang'zhi'shi'ban'huo'ji
强制式搅拌机,qiang'zhi'shi'jiao'ban'ji
强制式搅拌楼,qiang'zhi'shi'jiao'ban'lou
强制条文,qiang'zhi'tiao'wen
强制性,qiang'zhi'xing
强制性条文,qiang'zhi'xing'tiao'wen
墙柱,qiang'zhu
桥墩,qiao'dun
桥墩及基础,qiao'dun'ji'ji'chu
撬棍,qiao'gun
桥涵,qiao'han
桥涵施工,qiao'han'shi'gong
桥涵施工技术规范,qiao'han'shi'gong'ji'shu'gui'fan
桥检车,qiao'jian'che
桥跨结构,qiao'kua'jie'gou
桥宽,qiao'kuan
桥栏杆,qiao'lan'gan
桥梁,qiao'liang
桥梁动静载试验,qiao'liang'dong'jing'zai'shi'yan
桥梁动载,qiao'liang'dong'zai
桥梁动载试验,qiao'liang'dong'zai'shi'yan
桥梁断裂,qiao'liang'duan'lie
桥梁高度,qiao'liang'gao'du
桥梁工程,qiao'liang'gong'cheng
桥梁工程师,qiao'liang'gong'cheng'shi
桥梁涵洞,qiao'liang'han'dong
桥梁涵洞工程,qiao'liang'han'dong'gong'cheng
桥梁荷载,qiao'liang'he'zai
桥梁荷载试验,qiao'liang'he'zai'shi'yan
桥梁护网,qiao'liang'hu'wang
桥梁检测,qiao'liang'jian'ce
桥梁检测车,qiao'liang'jian'ce'che
桥梁建筑高度,qiao'liang'jian'zhu'gao'du
桥梁静载,qiao'liang'jing'zai
桥梁静载试验,qiao'liang'jing'zai'shi'yan
桥梁设计,qiao'liang'she'ji
桥梁施工技术规范,qiao'liang'shi'gong'ji'shu'gui'fan
桥梁隧道,qiao'liang'sui'dao
桥梁下部构造,qiao'liang'xia'bu'gou'zao
桥梁支座,qiao'liang'zhi'zuo
桥面,qiao'mian
桥面净空,qiao'mian'jing'kong
桥面连续,qiao'mian'lian'xu
桥面铺装,qiao'mian'pu'zhuang
桥面伸缩装置,qiao'mian'shen'suo'zhuang'zhi
桥面系,qiao'mian'xi
桥面系统,qiao'mian'xi'tong
翘曲,qiao'qu
桥隧,qiao'sui
桥隧工程,qiao'sui'gong'cheng
桥塔,qiao'ta
桥台,qiao'tai
桥台及基础,qiao'tai'ji'ji'chu
桥头,qiao'tou
桥头搭板,qiao'tou'da'ban
桥头回填,qiao'tou'hui'tian
桥头跳车,qiao'tou'tiao'che
桥位,qiao'wei
桥下净空,qiao'xia'jing'kong
切断机,qie'duan'ji
切缝,qie'feng
切缝机,qie'feng'ji
切割机,qie'ge'ji
切曲差,qie'qu'cha
切线,qie'xian
切线长,qie'xian'chang
亲水,qin'shui
亲水系数,qin'shui'xi'shu
清表,qing'biao
清底,qing'di
清缝,qing'feng
倾覆,qing'fu
倾覆力矩,qing'fu'li'ju
倾覆弯矩,qing'fu'wan'ju
清关,qing'guan
清关费,qing'guan'fei
清关费用,qing'guan'fei'yong
轻轨,qing'gui
轻卡,qing'ka
清孔,qing'kong
清理场地,qing'li'chang'di
清理与挖除,qing'li'yu'wa'chu
清扫口,qing'sao'kou
青石,qing'shi
青石栏杆,qing'shi'lan'gan
清淤,qing'yu
晴雨表,qing'yu'biao
清淤回填,qing'yu'hui'tian
清淤回填量,qing'yu'hui'tian'liang
清淤量,qing'yu'liang
清淤数量,qing'yu'shu'liang
轻质混凝土,qing'zhi'hun'ning'tu
球阀,qiu'fa
球冠,qiu'guan
球冠支座,qiu'guan'zhi'zuo
球型支座,qiu'xing'zhi'zuo
球形支座,qiu'xing'zhi'zuo
球座,qiu'zuo
屈服强度,qu'fu'qiang'du
屈服台阶,qu'fu'tai'jie
渠化,qu'hua
渠化交通,qu'hua'jiao'tong
区间速度,qu'jian'su'du
曲梁,qu'liang
曲率,qu'lv
取土,qu'tu
取土坑,qu'tu'keng
取土坑排水,qu'tu'keng'pai'shui
曲线半径,qu'xian'ban'jing
曲线参数,qu'xian'can'shu
曲线参数计算,qu'xian'can'shu'ji'suan
曲线长,qu'xian'chang
曲线要素,qu'xian'yao'su
取芯,qu'xin
取芯机,qu'xin'ji
全超高,quan'chao'gao
全高,quan'gao
全高加密,quan'gao'jia'mi
全截面,quan'jie'mian
全面质量管理,quan'mian'zhi'liang'guan'li
全液压振动单钢轮压路机,quan'ye'ya'zhen'dong'dan'gang'lun'ya'lu'ji
全圆,quan'yuan
全圆法,quan'yuan'fa
全站仪,quan'zhan'yi
缺陷责任,que'xian'ze'ren
缺陷责任期,que'xian'ze'ren'qi
群锚,qun'mao
群桩,qun'zhuang
燃油滤油器,ran'you'lv'you'qi
让行线,rang'xing'xian
绕城,rao'cheng
绕城公路,rao'cheng'gong'lu
扰动,rao'dong
绕行,rao'xing
绕行公路,rao'xing'gong'lu
绕越,rao'yue
绕越高速公路,rao'yue'gao'su'gong'lu
热拌,re'ban
热拌法,re'ban'fa
热拌沥青,re'ban'li'qing
热拌沥青混合料,re'ban'li'qing'hun'he'liao
热拌沥青碎石混合料,re'ban'li'qing'sui'shi'hun'he'liao
热接缝,re'jie'feng
热料,re'liao
热料仓,re'liao'cang
热铺法,re'pu'fa
热期,re'qi
热期施工,re'qi'shi'gong
热熔,re'rong
热水循环流量,re'shui'xun'huan'liu'liang
热稳性,re'wen'xing
热轧,re'zha
人单合一,ren'dan'he'yi
人的不安全行为,ren'de'bu'an'quan'xing'wei
人防,ren'fang
人工费,ren'gong'fei
人工挖孔,ren'gong'wa'kong
人工挖孔桩,ren'gong'wa'kong'zhuang
人行,ren'hang
人行地道,ren'hang'di'dao
人行天桥,ren'hang'tian'qiao
人行通道,ren'hang'tong'dao
人机固定,ren'ji'gu'ding
人均道路面积,ren'jun'dao'lu'mian'ji
认可书,ren'ke'shu
人孔,ren'kong
人力资源规划,ren'li'zi'yuan'gui'hua
人身权,ren'shen'quan
人通,ren'tong
人为灾害,ren'wei'zai'hai
人行道,ren'xing'dao
人行道板,ren'xing'dao'ban
人行道宽度,ren'xing'dao'kuan'du
人行横道,ren'xing'heng'dao
人行桥,ren'xing'qiao
人中当量,ren'zhong'dang'liang
溶槽,rong'cao
融沉,rong'chen
溶沟,rong'gou
熔合,rong'he
容积负荷,rong'ji'fu'he
溶解度,rong'jie'du
容许承载力,rong'xu'cheng'zai'li
容许拉应力,rong'xu'la'ying'li
容许弯沉,rong'xu'wan'chen
容重,rong'zhong
柔度,rou'du
柔性,rou'xing
柔性墩,rou'xing'dun
柔性护栏,rou'xing'hu'lan
柔性基层,rou'xing'ji'ceng
柔性基础,rou'xing'ji'chu
柔性路基,rou'xing'lu'ji
柔性路面,rou'xing'lu'mian
柔性桥墩,rou'xing'qiao'dun
柔性支座,rou'xing'zhi'zuo
乳化,ru'hua
乳化沥青,ru'hua'li'qing
入境交通,ru'jing'jiao'tong
入口,ru'kou
入模温度,ru'mo'wen'du
软化点,ruan'hua'dian
软化点仪,ruan'hua'dian'yi
软化水,ruan'hua'shui
软基,ruan'ji
软基处理,ruan'ji'chu'li
软弱地基,ruan'ruo'di'ji
软弱下卧层,ruan'ruo'xia'wo'ceng
软石,ruan'shi
软塑,ruan'su
软土,ruan'tu
软土发育,ruan'tu'fa'yu
软土路基,ruan'tu'lu'ji
软岩,ruan'yan
瑞临,rui'lin
润滑油,run'hua'you
洒布,sa'bu
洒布车,sa'bu'che
洒布机,sa'bu'ji
洒水车,sa'shui'che
洒水养生,sa'shui'yang'sheng
洒油,sa'you
三比,san'bi
三杆,san'gan
三杆迁移,san'gan'qian'yi
三工序,san'gong'xu
三股钢绞线,san'gu'gang'jiao'xian
三滚轴机组铺筑,san'gun'zhou'ji'zu'pu'zhu
三合土,san'he'tu
三级钢,san'ji'gang
三级公路,san'ji'gong'lu
三检制,san'jian'zhi
三角测量,san'jiao'ce'liang
三角点,san'jiao'dian
三脚架,san'jiao'jia
三角锁,san'jiao'suo
三角网,san'jiao'wang
三棱镜,san'leng'jing
三轮压路机,san'lun'ya'lu'ji
三米直尺,san'mi'zhi'chi
三期恒载,san'qi'heng'zai
散水,san'shui
三通,san'tong
三同时,san'tong'shi
三通一平,san'tong'yi'ping
三西格玛,san'xi'ge'ma
三一重工,san'yi'zhong'gong
三肢箍,san'zhi'gu
三轴,san'zhou
三轴剪切,san'zhou'jian'qie
扫描件,sao'miao'jian
刹车分泵,sha'che'fen'beng
刹车片,sha'che'pian
刹车油,sha'che'you
沙袋,sha'dai
砂当量,sha'dang'liang
砂垫层,sha'dian'ceng
砂加热,sha'jia're
砂浆,sha'jiang
砂浆拌和机,sha'jiang'ban'huo'ji
砂浆垫层,sha'jiang'dian'ceng
砂浆勾缝,sha'jiang'gou'feng
砂浆机,sha'jiang'ji
砂浆搅拌机,sha'jiang'jiao'ban'ji
砂浆抗压强度,sha'jiang'kang'ya'qiang'du
砂浆试件,sha'jiang'shi'jian
砂浆试块,sha'jiang'shi'kuai
沙井,sha'jing
砂井,sha'jing
沙砾,sha'li
砂粒式,sha'li'shi
砂轮,sha'lun
砂轮机,sha'lun'ji
砂率,sha'lv
砂密度,sha'mi'du
砂石,sha'shi
砂石泵,sha'shi'beng
砂石材料,sha'shi'cai'liao
砂石加热,sha'shi'jia're
砂石桩,sha'shi'zhuang
砂筒,sha'tong
沙土,sha'tu
砂土,sha'tu
纱网,sha'wang
砂性土,sha'xing'tu
砂桩,sha'zhuang
砂子,sha'zi
筛分,shai'fen
筛分曲线,shai'fen'qu'xian
筛分试验,shai'fen'shi'yan
筛孔,shai'kong
筛子,shai'zi
闪点,shan'dian
闪光对焊,shan'guang'dui'han
闪光对焊接头,shan'guang'dui'han'jie'tou
闪光时间,shan'guang'shi'jian
山脊,shan'ji
山脊线,shan'ji'xian
山岭区,shan'ling'qu
山皮石,shan'pi'shi
山皮土,shan'pi'tu
山坡线,shan'po'xian
山墙,shan'qiang
山深,shan'shen
山推,shan'tui
扇形布置,shan'xing'bu'zhi
上拌下贯式路面,shang'ban'xia'guan'shi'lu'mian
上部,shang'bu
上部承重构件,shang'bu'cheng'zhong'gou'jian
上部构造,shang'bu'gou'zao
上部结构,shang'bu'jie'gou
上部一般承重构件,shang'bu'yi'ban'cheng'zhong'gou'jian
上部主要承重构件,shang'bu'zhu'yao'cheng'zhong'gou'jian
上承层,shang'cheng'ceng
上承式,shang'cheng'shi
上承式拱桥,shang'cheng'shi'gong'qiao
上承式桥,shang'cheng'shi'qiao
上挡,shang'dang
上挡墙,shang'dang'qiang
上浮,shang'fu
上岗证,shang'gang'zheng
上拱,shang'gong
上拱值,shang'gong'zhi
上节点高,shang'jie'dian'gao
上跨,shang'kua
上跨桥,shang'kua'qiao
上跨铁路立体交叉,shang'kua'tie'lu'li'ti'jiao'cha
上面层,shang'mian'ceng
商品混凝土,shang'pin'hun'ning'tu
上塔柱,shang'ta'zhu
上闸首,shang'zha'shou
上柱墩,shang'zhu'dun
烧穿,shao'chuan
少筋梁,shao'jin'liang
烧失量,shao'shi'liang
少支架,shao'zhi'jia
少支架施工,shao'zhi'jia'shi'gong
设备材料,she'bei'cai'liao
设备购置费,she'bei'gou'zhi'fei
设备性能,she'bei'xing'neng
设防,she'fang
设防烈度,she'fang'lie'du
社会治安,she'hui'zhi'an
设计变更,she'ji'bian'geng
设计表,she'ji'biao
设计标高,she'ji'biao'gao
设计标准,she'ji'biao'zhun
设计车辆,she'ji'che'liang
