阿道,a'dao
唐道绰,tang'dao'chuo
唐道光,tang'dao'guang
唐道杰,tang'dao'jie
唐德美,tang'de'mei
唐等观,tang'deng'guan
唐东嘉波,tang'dong'jia'bo
唐端甫,tang'duan'fu
唐法藏,tang'fa'cang
唐法持,tang'fa'chi
唐法善,tang'fa'shan
唐法祥,tang'fa'xiang
唐法照,tang'fa'zhao
唐飞锡,tang'fei'xi
唐功迥,tang'gong'jiong
唐灌顶,tang'guan'ding
唐怀感,tang'huai'gan
唐怀玉,tang'huai'yu
唐慧满,tang'hui'man
唐慧日,tang'hui'ri
唐慧璇,tang'hui'xuan
唐建安大珠慧海禅师,tang'jian'an'da'zhu'hui'hai'chan'shi
唐建阳佛迹岭道一禅师,tang'jian'yang'fo'ji'ling'dao'yi'chan'shi
唐建阳明觉禅师,tang'jian'yang'ming'jiao'chan'shi
唐建阳神暄禅师,tang'jian'yang'shen'xuan'chan'shi
唐建阳志贤禅师,tang'jian'yang'zhi'xian'chan'shi
唐径山一钦禅师,tang'jing'shan'yi'qin'chan'shi
唐净真,tang'jing'zhen
唐李知遥,tang'li'zhi'yao
唐马子云,tang'ma'zi'yun
唐明浚,tang'ming'jun
唐明瞻,tang'ming'zhan
唐鸟窠道林禅师,tang'niao'ke'dao'lin'chan'shi
唐浦城大同山萧袁二禅师,tang'pu'cheng'da'tong'shan'xiao'yuan'er'chan'shi
唐普明,tang'pu'ming
唐齐翰,tang'qi'han
唐僧藏,tang'seng'cang
唐僧炫,tang'seng'xuan
唐善道,tang'shan'dao
唐善导,tang'shan'dao
唐善胄,tang'shan'zhou
唐少康,tang'shao'kang
唐神皓,tang'shen'hao
唐神素,tang'shen'su
唐时从女,tang'shi'cong'nv
唐松溪中峰山行儒禅师,tang'song'xi'zhong'feng'shan'xing'ru'chan'shi
唐韬光禅师,tang'tao'guang'chan'shi
唐体如,tang'ti'ru
唐王氏,tang'wang'shi
唐惟岸,tang'wei'an
唐惟恭,tang'wei'gong
唐韦文晋,tang'wei'wen'jin
唐温静文妻,tang'wen'jing'wen'qi
唐无著文喜禅师,tang'wu'zhu'wen'xi'chan'shi
唐下竺道标法师,tang'xia'zhu'dao'biao'fa'shi
唐雄俊,tang'xiong'jun
唐姚婆,tang'yao'po
唐宜之,tang'yi'zhi
唐鹦鹉,tang'ying'wu
唐于昶,tang'yu'chang
唐元会,tang'yuan'hui
唐圆泽和尚,tang'yuan'ze'he'shang
唐张善和,tang'zhang'shan'he
唐张钟馗,tang'zhang'zhong'kui
唐招贤会通禅师,tang'zhao'xian'hui'tong'chan'shi
唐郑牧卿,tang'zheng'mu'qing
唐智钦,tang'zhi'qin
唐知玄,tang'zhi'xuan
唐智琰,tang'zhi'yan
唐自觉,tang'zi'jue
韬光禅师,tao'guang'chan'shi
陶靖节,tao'jing'jie
陶潜,tao'qian
陶潜居士,tao'qian'ju'shi
陶士行,tao'shi'xing
陶渊明,tao'yuan'ming
陶贞白,tao'zhen'bai
陶周望,tao'zhou'wang
藤萝尊者,teng'luo'zun'zhe
腾腾,teng'teng
腾腾和尚,teng'teng'he'shang
提多迦,ti'duo'jia
提洛巴,ti'luo'ba
提婆,ti'po
体谦,ti'qian
天岸法师弘济,tian'an'fa'shi'hong'ji
天岸慧广,tian'an'hui'guang
天长僧武林比丘,tian'chang'seng'wu'lin'bi'qiu
天桂传尊,tian'gui'chuan'zun
天海舜政,tian'hai'shun'zheng
天皇,tian'huang
天皇道悟禅师,tian'huang'dao'wu'chan'shi
天寂宗眼,tian'ji'zong'yan
天界成禅师,tian'jie'cheng'chan'shi
天界孚中信禅师,tian'jie'fu'zhong'xin'chan'shi
天界金禅师,tian'jie'jin'chan'shi
天镜净禅师,tian'jing'jing'chan'shi
天境灵致,tian'jing'ling'zhi
天龙,tian'long
天目断崖禅师,tian'mu'duan'ya'chan'shi
天目礼禅师,tian'mu'li'chan'shi
天目山中峰禅师,tian'mu'shan'zhong'feng'chan'shi
天目文礼禅师,tian'mu'wen'li'chan'shi
天宁楷禅师,tian'ning'kai'chan'shi
天宁明禅师,tian'ning'ming'chan'shi
天奇禅师,tian'qi'chan'shi
天琦瑞禅师,tian'qi'rui'chan'shi
天亲论师,tian'qin'lun'shi
天泉渊公,tian'quan'yuan'gong
天然,tian'ran
天然禅师,tian'ran'chan'shi
天如禅师惟则,tian'ru'chan'shi'wei'ze
天台高祖龙树菩萨,tian'tai'gao'zu'long'shu'pu'sa
天台国清静上座,tian'tai'guo'qing'jing'shang'zuo
天台教主智者灵慧大师,tian'tai'jiao'zhu'zhi'zhe'ling'hui'da'shi
天台景星岩德贯首座,tian'tai'jing'xing'yan'de'guan'shou'zuo
天台山德韶国师,tian'tai'shan'de'shao'guo'shi
天台韶国师,tian'tai'shao'guo'shi
天台始祖道邃,tian'tai'shi'zu'dao'sui
天台智者禅师,tian'tai'zhi'zhe'chan'shi
天台智者大师,tian'tai'zhi'zhe'da'shi
天台智者大师智顗,tian'tai'zhi'zhe'da'shi'zhi'yi
天台祖父北齐慧文,tian'tai'zu'fu'bei'qi'hui'wen
天台祖父南岳慧思,tian'tai'zu'fu'nan'yue'hui'si
天童觉禅师,tian'tong'jue'chan'shi
天童如净禅师,tian'tong'ru'jing'chan'shi
天童应庵禅师昙华,tian'tong'ying'an'chan'shi'tan'hua
天外志高,tian'wai'zhi'gao
天息灾,tian'xi'zai
天息灾译师,tian'xi'zai'yi'shi
天祥一麟日本,tian'xiang'yi'lin'ri'ben
天祥源庆日本,tian'xiang'yuan'qing'ri'ben
天衣怀禅师,tian'yi'huai'chan'shi
天衣如哲,tian'yi'ru'zhe
天衣义怀禅师,tian'yi'yi'huai'chan'shi
天隐禅师,tian'yin'chan'shi
天印持公,tian'yin'chi'gong
天游,tian'you
天渊浚季芳联二公,tian'yuan'jun'ji'fang'lian'er'gong
天渊湛,tian'yuan'zhan
天岳昼禅师,tian'yue'zhou'chan'shi
天真禅师惟则,tian'zhen'chan'shi'wei'ze
天智,tian'zhi
天竺北峰讲师,tian'zhu'bei'feng'jiang'shi
天竺波罗颇迦罗字多罗,tian'zhu'bo'luo'po'jia'luo'zi'duo'luo
天竺慈云法师遵式,tian'zhu'ci'yun'fa'shi'zun'shi
天竺第八祖佛陀难提尊者,tian'zhu'di'ba'zu'fo'tuo'nan'ti'zun'zhe
天竺第二十八祖菩提达磨尊者,tian'zhu'di'er'shi'ba'zu'pu'ti'da'mo'zun'zhe
天竺第二十二祖摩拏罗大士,tian'zhu'di'er'shi'er'zu'mo'na'luo'da'shi
天竺第二十六祖不如蜜多尊者,tian'zhu'di'er'shi'liu'zu'bu'ru'mi'duo'zun'zhe
天竺第二十七祖般若多罗尊者,tian'zhu'di'er'shi'qi'zu'bo're'duo'luo'zun'zhe
天竺第二十三祖鹤勒那大士,tian'zhu'di'er'shi'san'zu'he'le'na'da'shi
天竺第二十四祖师子尊者,tian'zhu'di'er'shi'si'zu'shi'zi'zun'zhe
天竺第二十五祖婆舍斯多尊者,tian'zhu'di'er'shi'wu'zu'po'she'si'duo'zun'zhe
天竺第二十一祖婆修盘头大士传,tian'zhu'di'er'shi'yi'zu'po'xiu'pan'tou'da'shi'chuan
天竺第二十祖阇夜多大士,tian'zhu'di'er'shi'zu'du'ye'duo'da'shi
天竺第二祖阿难尊者,tian'zhu'di'er'zu'a'nan'zun'zhe
天竺第九祖伏驮蜜多尊者,tian'zhu'di'jiu'zu'fu'tuo'mi'duo'zun'zhe
天竺第六祖弥遮迦尊者,tian'zhu'di'liu'zu'mi'zhe'jia'zun'zhe
天竺第七祖婆须蜜尊者,tian'zhu'di'qi'zu'po'xu'mi'zun'zhe
天竺第三祖商那和修尊者,tian'zhu'di'san'zu'shang'na'he'xiu'zun'zhe
天竺第十八祖伽耶舍多大士,tian'zhu'di'shi'ba'zu'ga'ye'she'duo'da'shi
天竺第十二祖马鸣大士传,tian'zhu'di'shi'er'zu'ma'ming'da'shi'chuan
天竺第十九祖鸠摩罗多大士,tian'zhu'di'shi'jiu'zu'jiu'mo'luo'duo'da'shi
天竺第十六祖罗睺罗多大士传,tian'zhu'di'shi'liu'zu'luo'hou'luo'duo'da'shi'chuan
天竺第十七祖僧伽难提大士,tian'zhu'di'shi'qi'zu'seng'ga'nan'ti'da'shi
天竺第十三祖迦毗摩罗大士传,tian'zhu'di'shi'san'zu'jia'pi'mo'luo'da'shi'chuan
天竺第十四祖龙树大士,tian'zhu'di'shi'si'zu'long'shu'da'shi
天竺第十五祖迦那提婆大士,tian'zhu'di'shi'wu'zu'jia'na'ti'po'da'shi
天竺第十一祖富那夜奢尊者,tian'zhu'di'shi'yi'zu'fu'na'ye'she'zun'zhe
天竺第十祖胁尊者,tian'zhu'di'shi'zu'xie'zun'zhe
天竺第四祖优波鞠多尊者,tian'zhu'di'si'zu'you'bo'ju'duo'zun'zhe
天竺第五祖提多迦尊者,tian'zhu'di'wu'zu'ti'duo'jia'zun'zhe
天竺第一祖摩诃迦叶尊者,tian'zhu'di'yi'zu'mo'he'jia'ye'zun'zhe
天竺阇那耶舍,tian'zhu'du'na'ye'she
天竺二十八祖菩提达磨,tian'zhu'er'shi'ba'zu'pu'ti'da'mo
天竺二十八祖菩提达磨大师,tian'zhu'er'shi'ba'zu'pu'ti'da'mo'da'shi
天竺二十五祖婆舍斯多尊者,tian'zhu'er'shi'wu'zu'po'she'si'duo'zun'zhe
天竺法师真净,tian'zhu'fa'shi'zhen'jing
天竺佛图澄,tian'zhu'fo'tu'cheng
天竺佛陀,tian'zhu'fo'tuo
天竺佛驮跋陀罗,tian'zhu'fo'tuo'ba'tuo'luo
天竺佛驮跋陀至关中,tian'zhu'fo'tuo'ba'tuo'zhi'guan'zhong
天竺佛陀禅师,tian'zhu'fo'tuo'chan'shi
天竺佛陀耶舍至关中,tian'zhu'fo'tuo'ye'she'zhi'guan'zhong
天竺佛驮耶舍尊者,tian'zhu'fo'tuo'ye'she'zun'zhe
天竺律师昙摩罗,tian'zhu'lv'shi'tan'mo'luo
天竺那罗提黎耶舍,tian'zhu'na'luo'ti'li'ye'she
天竺婆罗门,tian'zhu'po'luo'men
天竺耆域,tian'zhu'qi'yu
天竺求那跋摩,tian'zhu'qiu'na'ba'mo
天竺求那跋摩至金陵,tian'zhu'qiu'na'ba'mo'zhi'jin'ling
天竺仁二幻堂守仁禅师,tian'zhu'ren'er'huan'tang'shou'ren'chan'shi
天竺三藏跋日罗菩提,tian'zhu'san'zang'ba'ri'luo'pu'ti
天竺三藏法师无畏,tian'zhu'san'zang'fa'shi'wu'wei
天竺三藏吽哈啰悉利,tian'zhu'san'zang'hong'ha'luo'xi'li
天竺三藏那提,tian'zhu'san'zang'na'ti
天竺三藏求那跋摩,tian'zhu'san'zang'qiu'na'ba'mo
天竺三藏昙无德,tian'zhu'san'zang'tan'wu'de
天竺僧伽达多,tian'zhu'seng'ga'da'duo
天竺僧求那跋摩,tian'zhu'seng'qiu'na'ba'mo
天竹僧智药,tian'zhu'seng'zhi'yao
天竺沙门勒佉,tian'zhu'sha'men'le'qu
天竺沙门摄摩腾竺法兰至洛阳,tian'zhu'sha'men'she'mo'teng'zhu'fa'lan'zhi'luo'yang
天竺沙门昙柯迦罗,tian'zhu'sha'men'tan'ke'jia'luo
天竺沙门竺佛朔,tian'zhu'sha'men'zhu'fo'shuo
天柱山崇惠禅师,tian'zhu'shan'chong'hui'chan'shi
天竺尸梨密多罗,tian'zhu'shi'li'mi'duo'luo
天柱宗昊,tian'zhu'zong'hao
天竺尊者佛驮跋陀,tian'zhu'zun'zhe'fo'tuo'ba'tuo
铁山琼禅师,tie'shan'qiong'chan'shi
铁文道树,tie'wen'dao'shu
铁翁祖门,tie'weng'zu'men
铁眼禅师日本,tie'yan'chan'shi'ri'ben
铁眼道光,tie'yan'dao'guang
听巴南卡,ting'ba'nan'ka
亭住法师,ting'zhu'fa'shi
同安,tong'an
潼川府天宁则禅师,tong'chuan'fu'tian'ning'ze'chan'shi
通达,tong'da
通阇梨,tong'du'li
通公,tong'gong
通幻寂灵,tong'huan'ji'ling
通慧,tong'hui
通慧大师赞宁,tong'hui'da'shi'zan'ning
桐江大公,tong'jiang'da'gong
桐江法师,tong'jiang'fa'shi
童进,tong'jin
通晓,tong'xiao
同新,tong'xin
童行,tong'xing
通玄,tong'xuan
通玄机禅师,tong'xuan'ji'chan'shi
通幽,tong'you
通幽律师,tong'you'lv'shi
通愿尼师,tong'yuan'ni'shi
童真,tong'zhen
头陀,tou'tuo
投子,tou'zi
投子聪禅师与海会演和尚,tou'zi'cong'chan'shi'yu'hai'hui'yan'he'shang
投子青禅师,tou'zi'qing'chan'shi
投子山大同禅师,tou'zi'shan'da'tong'chan'shi
图旦嘉措,tu'dan'jia'cuo
图旦绛白益西丹巴坚赞,tu'dan'jiang'bai'yi'xi'dan'ba'jian'zan
土登曲彭仁波切,tu'deng'qu'peng'ren'bo'qie
土登协珠旦白尼玛活佛,tu'deng'xie'zhu'dan'bai'ni'ma'huo'fo
涂毒策,tu'du'ce
土观洛桑却吉尼玛,tu'guan'luo'sang'que'ji'ni'ma
屠女瑜伽女,tu'nv'yu'jia'nv
土璋,tu'zhang
退谷云,tui'gu'yun
陀梨迦波,tuo'li'jia'bo
万安英种,wan'an'ying'zhong
万峰禅师时蔚,wan'feng'chan'shi'shi'wei
皖峰法师,wan'feng'fa'shi
万峰蔚禅师,wan'feng'wei'chan'shi
万回,wan'hui
万回法云公,wan'hui'fa'yun'gong
顽极官庆,wan'ji'guan'qing
万敬儒,wan'jing'ru
万民望,wan'min'wang
万如禅师,wan'ru'chan'shi
卍山道白,wan'shan'dao'bai
万松,wan'song
万松法师,wan'song'fa'shi
万松老人,wan'song'lao'ren
王安石,wang'an'shi
王安石居士,wang'an'shi'ju'shi
王柏龄居士,wang'bai'ling'ju'shi
王道安,wang'dao'an
王德用妻陶氏,wang'de'yong'qi'tao'shi
王迪功妻,wang'di'gong'qi
王恩洋先生,wang'en'yang'xian'sheng
王苟子,wang'gou'zi
王古,wang'gu
王观文,wang'guan'wen
王龟龄,wang'gui'ling
王弘愿,wang'hong'yuan
王淮之,wang'huai'zhi
罔极寺,wang'ji'si
王简栖,wang'jian'qi
王介甫,wang'jie'fu
王敬初,wang'jing'chu
王龙舒,wang'long'shu
王罗汉,wang'luo'han
王茂弘,wang'mao'hong
王孟邻,wang'meng'lin
王孟夙,wang'meng'su
王敏仲,wang'min'zhong
亡名,wang'ming
王摩诘,wang'mo'jie
王弄书居士,wang'nong'shu'ju'shi
王普愿,wang'pu'yuan
王乔之,wang'qiao'zhi
王日休居士,wang'ri'xiu'ju'shi
王韶,wang'shao
王十朋,wang'shi'peng
王嗣,wang'si
王素娥,wang'su'e
王随,wang'sui
王随居士,wang'sui'ju'shi
王坦之,wang'tan'zhi
王维,wang'wei
王维居士,wang'wei'ju'shi
王文正,wang'wen'zheng
王武冈,wang'wu'gang
王无功,wang'wu'gong
王熙元居士,wang'xi'yuan'ju'shi
王先民,wang'xian'min
王骧陆居士,wang'xiang'lu'ju'shi
王箫,wang'xiao
王虚中,wang'xu'zhong
王延彬,wang'yan'bin
王彦德,wang'yan'de
王以宁,wang'yi'ning
王右丞,wang'you'cheng
王右军,wang'you'jun
王宇泰,wang'yu'tai
王玉霞居士,wang'yu'xia'ju'shi
王衷,wang'zhong
王中立,wang'zhong'li
王仲淹,wang'zhong'yan
王子安,wang'zi'an
王子彧,wang'zi'yu
王子正,wang'zi'zheng
惟岸,wei'an
惟庵祖权,wei'an'zu'quan
魏伯起,wei'bo'qi
韦城武,wei'cheng'wu
韦城武居士,wei'cheng'wu'ju'shi
唯慈法师,wei'ci'fa'shi
惟迪禅师,wei'di'chan'shi
惟恭,wei'gong
苇航道然,wei'hang'dao'ran
慰弘盛禅师,wei'hong'sheng'chan'shi
惟靖,wei'jing
惟净,wei'jing
惟劲,wei'jing
惟劲大师,wei'jing'da'shi
惟觉法师,wei'jue'fa'shi
惟宽,wei'kuan
惟宽禅师,wei'kuan'chan'shi
维利辛哈居士,wei'li'xin'ha'ju'shi
维琳,wei'lin
维摩诘,wei'mo'jie
韦那巴,wei'na'ba
韦南康,wei'nan'kang
惟清禅师,wei'qing'chan'shi
惟悫,wei'que
沩山,wei'shan
惟善禅师,wei'shan'chan'shi
沩山灵祐禅师,wei'shan'ling'you'chan'shi
沩山小秀禅师与法云大秀禅师,wei'shan'xiao'xiu'chan'shi'yu'fa'yun'da'xiu'chan'shi
惟胜禅师,wei'sheng'chan'shi
惟实,wei'shi
维室默仙,wei'shi'mo'xian
魏师赞,wei'shi'zan
魏世子,wei'shi'zi
惟巳,wei'si
韦苏州,wei'su'zhou
魏太子晃,wei'tai'zi'huang
魏昙鸾,wei'tan'luan
韦提希夫人,wei'ti'xi'fu'ren
惟渥,wei'wo
魏西域勒那摩提,wei'xi'yu'le'na'mo'ti
惟贤法师,wei'xian'fa'shi
威秀,wei'xiu
唯俨,wei'yan
惟俨禅师,wei'yan'chan'shi
惟俨法师,wei'yan'fa'shi
惟瑛,wei'ying
卫元嵩,wei'yuan'song
惟月,wei'yue
惟则,wei'ze
惟则禅师,wei'ze'chan'shi
惟湛,wei'zhan
魏赵郡沙门法果,wei'zhao'jun'sha'men'fa'guo
惟政禅师,wei'zheng'chan'shi
惟正禅师,wei'zheng'chan'shi
维只难,wei'zhi'nan
惟忠,wei'zhong
惟中文英,wei'zhong'wen'ying
苇宗和尚,wei'zong'he'shang
文备,wen'bei
文才,wen'cai
文璨论师,wen'can'lun'shi
文德法师,wen'de'fa'shi
文尔,wen'er
文纲四,wen'gang'si
文杲法师,wen'gao'fa'shi
温静文妻,wen'jing'wen'qi
文举,wen'ju
文宽夫,wen'kuan'fu
文莲斋姑,wen'lian'zhai'gu
文潞公,wen'lu'gong
文辇,wen'nian
温其,wen'qi
文述,wen'shu
文殊道,wen'shu'dao
文殊道禅师,wen'shu'dao'chan'shi
文殊师利菩萨,wen'shu'shi'li'pu'sa
文殊心道禅师,wen'shu'xin'dao'chan'shi
文爽,wen'shuang
文邃,wen'sui
文邃禅师,wen'sui'chan'shi
文通慧者,wen'tong'hui'zhe
文喜,wen'xi
文喜禅师,wen'xi'chan'shi
文彦博,wen'yan'bo
文彦博居士,wen'yan'bo'ju'shi
文偃禅师,wen'yan'chan'shi
文偃法师,wen'yan'fa'shi
文益禅师,wen'yi'chan'shi
文益法师,wen'yi'fa'shi
文益三,wen'yi'san
文与可,wen'yu'ke
文悦禅师,wen'yue'chan'shi
温月峰,wen'yue'feng
文瓒,wen'zan
文照,wen'zhao
闻真,wen'zhen
文质,wen'zhi
温州江心龙翔肱禅师,wen'zhou'jiang'xin'long'xiang'gong'chan'shi
文珠法师,wen'zhu'fa'shi
文准禅师,wen'zhun'chan'shi
闻子与,wen'zi'yu
我庵,wo'an
无碍,wu'ai
无碍禅师,wu'ai'chan'shi
无碍禅师普智,wu'ai'chan'shi'pu'zhi
乌巴庆,wu'ba'qing
五百侍女,wu'bai'shi'nv
无边,wu'bian
乌苌国王,wu'chang'guo'wang
吴大恩,wu'da'en
悟达知玄国师,wu'da'zhi'xuan'guo'shi
五代白云道翊禅师,wu'dai'bai'yun'dao'yi'chan'shi
五代长耳相行修和尚,wu'dai'chang'er'xiang'xing'xiu'he'shang
五代崇安瑞岩寺扣冰藻光禅师,wu'dai'chong'an'rui'yan'si'kou'bing'zao'guang'chan'shi
五代建安白云山令弇禅师,wu'dai'jian'an'bai'yun'shan'ling'yan'chan'shi
五代建安白云山智作禅师,wu'dai'jian'an'bai'yun'shan'zhi'zuo'chan'shi
五代建安白云寺约禅师,wu'dai'jian'an'bai'yun'si'yue'chan'shi
五代瓯宁南禅宝应寺无垢普随禅师,wu'dai'ou'ning'nan'chan'bao'ying'si'wu'gou'pu'sui'chan'shi
五代浦城梦笔山和尚,wu'dai'pu'cheng'meng'bi'shan'he'shang
五代五云逢禅师,wu'dai'wu'yun'feng'chan'shi
五代永明道潜禅师,wu'dai'yong'ming'dao'qian'chan'shi
五代智觉延寿禅师,wu'dai'zhi'jue'yan'shou'chan'shi
无德禅师,wu'de'chan'shi
吴德夫,wu'de'fu
无等,wu'deng
邬笛力巴,wu'di'li'ba
晤恩,wu'en
吴复之,wu'fu'zhi
无垢光尊者,wu'gou'guang'zun'zhe
无关普门,wu'guan'pu'men
无幻禅师,wu'huan'chan'shi
无迹,wu'ji
无际禅师,wu'ji'chan'shi
无极导师,wu'ji'dao'shi
无极高,wu'ji'gao
邬坚巴仁钦华,wu'jian'ba'ren'qin'hua
无见睹光菩萨,wu'jian'du'guang'pu'sa
无尽禅师,wu'jin'chan'shi
无尽禅师祖灯,wu'jin'chan'shi'zu'deng
邬金丹增诺吾,wu'jin'dan'zeng'nuo'wu
无尽灯禅师,wu'jin'deng'chan'shi
无尽居士,wu'jin'ju'shi
无尽居士张天觉,wu'jin'ju'shi'zhang'tian'jue
吴敬山,wu'jing'shan
吴居厚,wu'ju'hou
乌巨雪堂道行禅师,wu'ju'xue'tang'dao'hang'chan'shi
乌巨雪堂行禅师,wu'ju'xue'tang'xing'chan'shi
乌巨晏禅师,wu'ju'yan'chan'shi
乌巨仪宴禅师,wu'ju'yi'yan'chan'shi
吴君平,wu'jun'ping
悟空,wu'kong
无漏,wu'lou
吴履斋,wu'lv'zhai
无门开,wu'men'kai
无梦禅师昙噩,wu'meng'chan'shi'tan'e
无梦一清,wu'meng'yi'qing
悟敏悟铢二传戒大师,wu'min'wu'zhu'er'chuan'jie'da'shi
无名,wu'ming
无明禅师,wu'ming'chan'shi
无名和尚,wu'ming'he'shang
吴明可,wu'ming'ke
无名异僧,wu'ming'yi'seng
无念,wu'nian
武平一,wu'ping'yi
吴潜,wu'qian
无趣老人,wu'qu'lao'ren
悟诠,wu'quan
无染,wu'ran
五日头陀,wu'ri'tou'tuo
吴十三,wu'shi'san
乌斯法王,wu'si'fa'wang
五台秘魔岩,wu'tai'mi'mo'yan
五台普宁弘教大师,wu'tai'pu'ning'hong'jiao'da'shi
五台山诚慧,wu'tai'shan'cheng'hui
五台山大普宁寺弘教大师性讲主,wu'tai'shan'da'pu'ning'si'hong'jiao'da'shi'xing'jiang'zhu
武塘薛氏,wu'tang'xue'shi
物外,wu'wai
物外不迁,wu'wai'bu'qian
物外禅师,wu'wai'chan'shi
无畏,wu'wei
吴伟明,wu'wei'ming
无畏生密大师,wu'wei'sheng'mi'da'shi
无为昭元,wu'wei'zhao'yuan
无闻禅师,wu'wen'chan'shi
无闻聪禅师,wu'wen'cong'chan'shi
无文元选,wu'wen'yuan'xuan
无我省吾,wu'wo'sheng'wu
无锡闻氏女,wu'xi'wen'shi'nv
无相,wu'xiang
无象静照,wu'xiang'jing'zhao
五泄,wu'xie
悟新,wu'xin
悟新禅师,wu'xin'chan'shi
吴信叟,wu'xin'sou
悟性,wu'xing
无行,wu'xing
吴兴陈氏,wu'xing'chen'shi
无学,wu'xue
无学文奕,wu'xue'wen'yi
无学祖元,wu'xue'zu'yuan
吴恂,wu'xun
吴恂居士,wu'xun'ju'shi
乌岩,wu'yan
无业,wu'ye
无业禅师,wu'ye'chan'shi
无异禅师,wu'yi'chan'shi
吴毅夫,wu'yi'fu
无一全禅师,wu'yi'quan'chan'shi
无殷禅师,wu'yin'chan'shi
悟因法师,wu'yin'fa'shi
吴应宾妻方氏,wu'ying'bin'qi'fang'shi
无用贵师,wu'yong'gui'shi
无用宽禅师,wu'yong'kuan'chan'shi
吴用卿,wu'yong'qing
无用全禅师,wu'yong'quan'chan'shi
无语婆,wu'yu'po
吴元昭,wu'yuan'zhao
无愠,wu'yun
兀斋,wu'zhai
吴瞻楼,wu'zhan'lou
吴璋,wu'zhang
无肢金刚,wu'zhi'jin'gang
无旨授公,wu'zhi'shou'gong
无著,wu'zhu
无住,wu'zhu
无住禅师,wu'zhu'chan'shi
无住禅师为杜鸿渐说法,wu'zhu'chan'shi'wei'du'hong'jian'shuo'fa
无著大师,wu'zhu'da'shi
无著和尚入化般若寺,wu'zhu'he'shang'ru'hua'bo're'si
无著妙融,wu'zhu'miao'rong
无著菩萨,wu'zhu'pu'sa
无住一圆,wu'zhu'yi'yuan
无准禅师,wu'zhun'chan'shi
无准范禅师,wu'zhun'fan'chan'shi
无准师范禅师,wu'zhun'shi'fan'chan'shi
五祖法演禅师,wu'zu'fa'yan'chan'shi
五祖弘忍,wu'zu'hong'ren
五祖弘忍大师,wu'zu'hong'ren'da'shi
五祖山法演禅师,wu'zu'shan'fa'yan'chan'shi
五祖提多迦传法弥遮迦,wu'zu'ti'duo'jia'chuan'fa'mi'zhe'jia
五祖提多迦尊者,wu'zu'ti'duo'jia'zun'zhe
五祖提迦多尊者,wu'zu'ti'jia'duo'zun'zhe
五祖演禅师,wu'zu'yan'chan'shi
五祖演和尚,wu'zu'yan'he'shang
五祖章安禅师,wu'zu'zhang'an'chan'shi
五祖章安尊者灌顶,wu'zu'zhang'an'zun'zhe'guan'ding
五祖自老,wu'zu'zi'lao
无作,wu'zuo
息庵观公,xi'an'guan'gong
西白法师力金,xi'bai'fa'shi'li'jin
禧誧,xi'bu
息尘,xi'chen
洗尘法师,xi'chen'fa'shi
羲寂,xi'ji
羲寂法师,xi'ji'fa'shi
郗嘉宾,xi'jia'bin
郗嘉宾居士,xi'jia'bin'ju'shi
西涧子昙,xi'jian'zi'tan
希觉,xi'jue
希觉贡嘎崩巴教诫,xi'jue'gong'ga'beng'ba'jiao'jie
西林操,xi'lin'cao
西林觉寂大师,xi'lin'jue'ji'da'shi
西岭和尚,xi'ling'he'shang
西纳堪钦格桑达吉嘉措,xi'na'kan'qin'ge'sang'da'ji'jia'cuo
系南,xi'nan
嬉女金刚,xi'nv'jin'gang
希迁,xi'qian
希迁禅师,xi'qian'chan'shi
喜饶扎巴,xi'rao'zha'ba
喜饶札巴,xi'rao'zha'ba
西山真公,xi'shan'zhen'gong
西蜀表自禅师,xi'shu'biao'zi'chan'shi
西蜀广道,xi'shu'guang'dao
西蜀銮法师,xi'shu'luan'fa'shi
西蜀显禅师,xi'shu'xian'chan'shi
西堂,xi'tang
西堂藏禅师,xi'tang'cang'chan'shi
西堂智藏,xi'tang'zhi'cang
西天八祖佛陀难提尊者,xi'tian'ba'zu'fo'tuo'nan'ti'zun'zhe
西天初祖,xi'tian'chu'zu
西天二十八祖东土初祖菩提达磨尊者,xi'tian'er'shi'ba'zu'dong'tu'chu'zu'pu'ti'da'mo'zun'zhe
西天二十二祖摩拏罗尊者,xi'tian'er'shi'er'zu'mo'na'luo'zun'zhe
西天二十三祖鹤勒那尊者,xi'tian'er'shi'san'zu'he'le'na'zun'zhe
西天二十四祖师子尊者,xi'tian'er'shi'si'zu'shi'zi'zun'zhe
西天二十一祖婆修盘头尊者,xi'tian'er'shi'yi'zu'po'xiu'pan'tou'zun'zhe
西天二十祖奢夜多尊者,xi'tian'er'shi'zu'she'ye'duo'zun'zhe
西天国师,xi'tian'guo'shi
西天六祖弥遮迦尊者,xi'tian'liu'zu'mi'zhe'jia'zun'zhe
西天七祖婆须密多尊者,xi'tian'qi'zu'po'xu'mi'duo'zun'zhe
西天十八祖伽耶舍多尊者,xi'tian'shi'ba'zu'ga'ye'she'duo'zun'zhe
西天十二祖马鸣大士,xi'tian'shi'er'zu'ma'ming'da'shi
西天十九祖鸠摩多尊者,xi'tian'shi'jiu'zu'jiu'mo'duo'zun'zhe
西天十六祖罗睺罗多尊者,xi'tian'shi'liu'zu'luo'hou'luo'duo'zun'zhe
西天十五祖迦那提婆尊者,xi'tian'shi'wu'zu'jia'na'ti'po'zun'zhe
西天十一祖富那夜奢尊者,xi'tian'shi'yi'zu'fu'na'ye'she'zun'zhe
西天十祖胁尊者,xi'tian'shi'zu'xie'zun'zhe
