阿细跳月,a'xi'tiao'yue
野兽主义,ye'shou'zhu'yi
业余演员,ye'yu'yan'yuan
叶子,ye'zi
一般表象,yi'ban'biao'xiang
一步摄影,yi'bu'she'ying
一重第一人称,yi'chong'di'yi'ren'cheng
意存笔先,yi'cun'bi'xian
一石数鸟法,yi'dan'shu'niao'fa
一道汤,yi'dao'tang
移调,yi'diao
移调乐器及其记谱法,yi'diao'yue'qi'ji'qi'ji'pu'fa
遗憾的艺术,yi'han'de'yi'shu
意节,yi'jie
意境,yi'jing
一句诗,yi'ju'shi
医疗建筑,yi'liao'jian'zhu
议论,yi'lun
议论的抒情性,yi'lun'de'shu'qing'xing
议论的形象性,yi'lun'de'xing'xiang'xing
议论的哲理性,yi'lun'de'zhe'li'xing
议论的针对性,yi'lun'de'zhen'dui'xing
议论散文,yi'lun'san'wen
一片江南,yi'pian'jiang'nan
移情说,yi'qing'shuo
依曲填词,yi'qu'tian'ci
以人串书,yi'ren'chuan'shu
以人带事人以事显,yi'ren'dai'shi'ren'yi'shi'xian
一人多角,yi'ren'duo'jiao
以人为线构思方式,yi'ren'wei'xian'gou'si'fang'shi
以少总多,yi'shao'zong'duo
意识流,yi'shi'liu
意识流式结构,yi'shi'liu'shi'jie'gou
意识流小说,yi'shi'liu'xiao'shuo
以事为线构思方式,yi'shi'wei'xian'gou'si'fang'shi
艺术,yi'shu
艺术表现力,yi'shu'biao'xian'li
艺术才能,yi'shu'cai'neng
艺术传达,yi'shu'chuan'da
艺术的时空,yi'shu'de'shi'kong
艺术典型,yi'shu'dian'xing
艺术反映,yi'shu'fan'ying
艺术风格,yi'shu'feng'ge
艺术概括,yi'shu'gai'kuo
艺术功能,yi'shu'gong'neng
艺术构思,yi'shu'gou'si
艺术构思能力,yi'shu'gou'si'neng'li
艺术规律,yi'shu'gui'lv
艺术幻想,yi'shu'huan'xiang
艺术技巧,yi'shu'ji'qiao
艺术家,yi'shu'jia
艺术家的记忆,yi'shu'jia'de'ji'yi
艺术家的社会职责,yi'shu'jia'de'she'hui'zhi'ze
艺术家的世界观,yi'shu'jia'de'shi'jie'guan
艺术家的心理结构,yi'shu'jia'de'xin'li'jie'gou
艺术家的心理特征,yi'shu'jia'de'xin'li'te'zheng
艺术家的修养,yi'shu'jia'de'xiu'yang
艺术家的职业敏感,yi'shu'jia'de'zhi'ye'min'gan
艺术教条主义,yi'shu'jiao'tiao'zhu'yi
艺术联想,yi'shu'lian'xiang
艺术流派,yi'shu'liu'pai
艺术美,yi'shu'mei
艺术媒介,yi'shu'mei'jie
艺术魅力,yi'shu'mei'li
艺术目的论,yi'shu'mu'di'lun
艺术生产,yi'shu'sheng'chan
艺术手法,yi'shu'shou'fa
艺术思维,yi'shu'si'wei
艺术思维中的形象运动,yi'shu'si'wei'zhong'de'xing'xiang'yun'dong
艺术体裁,yi'shu'ti'cai
艺术天才,yi'shu'tian'cai
艺术通感,yi'shu'tong'gan
艺术文告,yi'shu'wen'gao
艺术想象,yi'shu'xiang'xiang
艺术欣赏,yi'shu'xin'shang
艺术性,yi'shu'xing
艺术形象,yi'shu'xing'xiang
艺术虚构,yi'shu'xu'gou
艺术研究中的系统观,yi'shu'yan'jiu'zhong'de'xi'tong'guan
艺术研究中的信息论观点,yi'shu'yan'jiu'zhong'de'xin'xi'lun'guan'dian
艺术语言,yi'shu'yu'yan
艺术之宫,yi'shu'zhi'gong
艺术直觉,yi'shu'zhi'jue
艺术中的变形,yi'shu'zhong'de'bian'xing
艺术中的内容与形式的统一,yi'shu'zhong'de'nei'rong'yu'xing'shi'de'tong'yi
艺术中的人性,yi'shu'zhong'de'ren'xing
艺术中的社会环境,yi'shu'zhong'de'she'hui'huan'jing
艺术中的渲染,yi'shu'zhong'de'xuan'ran
艺术中的再现和表现,yi'shu'zhong'de'zai'xian'he'biao'xian
艺术中的真善美,yi'shu'zhong'de'zhen'shan'mei
艺术种类,yi'shu'zhong'lei
艺术作品的符号方面的交际功用,yi'shu'zuo'pin'de'fu'hao'fang'mian'de'jiao'ji'gong'yong
艺术作品的评价功用,yi'shu'zuo'pin'de'ping'jia'gong'yong
艺术作品的娱乐和享乐功用,yi'shu'zuo'pin'de'yu'le'he'xiang'le'gong'yong
伊斯兰建筑,yi'si'lan'jian'zhu
伊索寓言,yi'suo'yu'yan
以调合情,yi'tiao'he'qing
一头沉,yi'tou'chen
以物为线构思方式,yi'wu'wei'xian'gou'si'fang'shi
意象,yi'xiang
以形写神,yi'xing'xie'shen
以意逆志,yi'yi'ni'zhi
意蕴,yi'yun
移植,yi'zhi
意志冲突,yi'zhi'chong'tu
意志冲突说,yi'zhi'chong'tu'shuo
译制影片,yi'zhi'ying'pian
以子之矛攻子之盾法,yi'zi'zhi'mao'gong'zi'zhi'dun'fa
引,yin
隐蔽的心理描写方法,yin'bi'de'xin'li'miao'xie'fang'fa
音程,yin'cheng
印度舞蹈,yin'du'wu'dao
音符,yin'fu
音高,yin'gao
音节,yin'jie
音阶,yin'jie
音名,yin'ming
银幕感,yin'mu'gan
银幕形象,yin'mu'xing'xiang
印钮,yin'niu
音品,yin'pin
音区,yin'qu
阴柔之美,yin'rou'zhi'mei
银色派,yin'se'pai
音色排列的基本手法,yin'se'pai'lie'de'ji'ben'shou'fa
因声求气,yin'sheng'qiu'qi
因事以造型,yin'shi'yi'zao'xing
印相,yin'xiang
音响式连接,yin'xiang'shi'lian'jie
音响效果,yin'xiang'xiao'guo
印象主义,yin'xiang'zhu'yi
印象主义绘画,yin'xiang'zhu'yi'hui'hua
印象主义音乐,yin'xiang'zhu'yi'yin'yue
阴影,yin'ying
音域,yin'yu
引喻,yin'yu
隐喻蒙太奇,yin'yu'meng'tai'qi
音乐,yin'yue
音乐片,yin'yue'pian
音乐设计,yin'yue'she'ji
音乐式连接,yin'yue'shi'lian'jie
引子,yin'zi
音组,yin'zu
硬边艺术,ying'bian'yi'shu
映衬式悬念,ying'chen'shi'xuan'nian
影调,ying'diao
影调对比,ying'diao'dui'bi
英歌舞,ying'ge'wu
鹦哥舞,ying'ge'wu
影片,ying'pian
影片节目,ying'pian'jie'mu
映象,ying'xiang
营造法式,ying'zao'fa'shi
应制诗,ying'zhi'shi
俑,yong
用笔,yong'bi
用典,yong'dian
永明体,yong'ming'ti
用墨,yong'mo
咏叹调,yong'tan'diao
咏物诗,yong'wu'shi
咏叙调,yong'xu'tiao
永字八法,yong'zi'ba'fa
有包孕的片刻,you'bao'yun'de'pian'ke
诱导效应,you'dao'xiao'ying
有动机音响,you'dong'ji'yin'xiang
油画,you'hua
油画技法,you'hua'ji'fa
游记,you'ji
有机建筑,you'ji'jian'zhu
游记体报告文学,you'ji'ti'bao'gao'wen'xue
优美,you'mei
幽默,you'mo
幽默性民间笑话,you'mo'xing'min'jian'xiao'hua
有色物体反射光的影响,you'se'wu'ti'fan'she'guang'de'ying'xiang
有声影片,you'sheng'ying'pian
有往必收无垂不缩,you'wang'bi'shou'wu'chui'bu'suo
游戏说,you'xi'shuo
游仙诗,you'xian'shi
有意味的形式,you'yi'wei'de'xing'shi
玉雕,yu'diao
语感,yu'gan
寓教于乐,yu'jiao'yu'le
娱乐性,yu'le'xing
喻联,yu'lian
欲擒故纵法,yu'qin'gu'zong'fa
语求肖似,yu'qiu'xiao'si
虞山派,yu'shan'pai
语言趣味型包袱,yu'yan'qu'wei'xing'bao'fu
寓言体小说,yu'yan'ti'xiao'shuo
鱼咬尾,yu'yao'wei
寓意,yu'yi
语义学派,yu'yi'xue'pai
圆雕,yuan'diao
元和体,yuan'he'ti
远景,yuan'jing
园林建筑,yuan'lin'jian'zhu
园林设计,yuan'lin'she'ji
院体画,yuan'ti'hua
原型的批评,yuan'xing'de'pi'ping
鸳鸯蝴蝶派小说,yuan'yang'hu'die'pai'xiao'shuo
苑囿,yuan'you
圆照,yuan'zhao
阅读,yue'du
乐队伴奏写作的基本原则,yue'dui'ban'zou'xie'zuo'de'ji'ben'yuan'ze
乐队的一般编制,yue'dui'de'yi'ban'bian'zhi
乐队排列原则,yue'dui'pai'lie'yuan'ze
乐队音响的均衡,yue'dui'yin'xiang'de'jun'heng
乐队总谱写法,yue'dui'zong'pu'xie'fa
乐府,yue'fu
乐感,yue'gan
乐句,yue'ju
乐器,yue'qi
乐器的呼应与对话,yue'qi'de'hu'ying'yu'dui'hua
乐器的音色结合,yue'qi'de'yin'se'jie'he
乐器的转接,yue'qi'de'zhuan'jie
乐器分组原则,yue'qi'fen'zu'yuan'ze
乐器声部的进入与退出,yue'qi'sheng'bu'de'jin'ru'yu'tui'chu
乐音,yue'yin
韵白,yun'bai
韵白表演,yun'bai'biao'yan
运笔,yun'bi
运动记忆,yun'dong'ji'yi
运动型,yun'dong'xing
韵脚,yun'jiao
韵律,yun'lv
韵文,yun'wen
杂剧,za'ju
杂曲,za'qu
杂取种种人,za'qu'zhong'zhong'ren
杂文,za'wen
杂文的反典,za'wen'de'fan'dian
杂文的反讽手法,za'wen'de'fan'feng'shou'fa
杂文的讽刺,za'wen'de'feng'ci
杂文的改典,za'wen'de'gai'dian
杂文的功能,za'wen'de'gong'neng
杂文的归缪法,za'wen'de'gui'miu'fa
杂文的化理入喻,za'wen'de'hua'li'ru'yu
杂文的借典,za'wen'de'jie'dian
杂文的逻辑思维,za'wen'de'luo'ji'si'wei
杂文的曲笔,za'wen'de'qu'bi
杂文的释典,za'wen'de'shi'dian
杂文的文气,za'wen'de'wen'qi
杂文的闲笔,za'wen'de'xian'bi
杂文的形象性,za'wen'de'xing'xiang'xing
杂文的幽默,za'wen'de'you'mo
杂文的语言,za'wen'de'yu'yan
杂文味,za'wen'wei
杂言诗,za'yan'shi
在特殊中显出一般,zai'te'shu'zhong'xian'chu'yi'ban
再现,zai'xian
再现部,zai'xian'bu
再造性艺术想象,zai'zao'xing'yi'shu'xiang'xiang
赞扬性民间笑话,zan'yang'xing'min'jian'xiao'hua
赞语,zan'yu
臧语相声,zang'yu'xiang'sheng
造型表现手段,zao'xing'biao'xian'shou'duan
造型艺术,zao'xing'yi'shu
增三和弦,zeng'san'he'xian
摘遍,zhai'bian
摘遍格,zhai'bian'ge
粘对,zhan'dui
粘合,zhan'he
展开部,zhan'kai'bu
章回小说,zhang'hui'xiao'shuo
障景,zhang'jing
照相现实主义,zhao'xiang'xian'shi'zhu'yi
照应,zhao'ying
折,zhe
折钗股,zhe'chai'gu
遮幅式宽银幕电影,zhe'fu'shi'kuan'yin'mu'dian'ying
折技花,zhe'ji'hua
这就是,zhe'jiu'shi
哲理诗,zhe'li'shi
哲理小说,zhe'li'xiao'shuo
哲理寓言,zhe'li'yu'yan
浙派,zhe'pai
浙派篆刻,zhe'pai'zhuan'ke
折纸片,zhe'zhi'pian
折子书,zhe'zi'shu
折子戏,zhe'zi'xi
震动中的拍摄,zhen'dong'zhong'de'pai'she
震惊效应,zhen'jing'xiao'ying
侦破小说,zhen'po'xiao'shuo
真实性,zhen'shi'xing
侦探小说,zhen'tan'xiao'shuo
正笔,zheng'bi
正标题,zheng'biao'ti
正光,zheng'guang
整旧,zheng'jiu
整理,zheng'li
整理的方法,zheng'li'de'fang'fa
整理的要求,zheng'li'de'yao'qiu
正面律,zheng'mian'lv
正面人物,zheng'mian'ren'wu
正三和弦,zheng'san'he'xian
正始体,zheng'shi'ti
正书,zheng'shu
整体式悬念,zheng'ti'shi'xuan'nian
证同效应,zheng'tong'xiao'ying
整一化,zheng'yi'hua
政治抒情诗,zheng'zhi'shu'qing'shi
正主题,zheng'zhu'ti
纸版画,zhi'ban'hua
直播,zhi'bo
质感,zhi'gan
质感对比,zhi'gan'dui'bi
志怪小说,zhi'guai'xiao'shuo
直观的欣赏,zhi'guan'de'xin'shang
芝加哥学派,zhi'jia'ge'xue'pai
直接触发,zhi'jie'chu'fa
直接画法,zhi'jie'hua'fa
直接披露心理活动的方法,zhi'jie'pi'lu'xin'li'huo'dong'de'fang'fa
直接抒情,zhi'jie'shu'qing
直接素材,zhi'jie'su'cai
直接议论,zhi'jie'yi'lun
织锦,zhi'jin
置景,zhi'jing
知人论世,zhi'ren'lun'shi
志人小说,zhi'ren'xiao'shuo
知识小品,zhi'shi'xiao'pin
指头画,zhi'tou'hua
植物故事,zhi'wu'gu'shi
直线,zhi'xian
直缀,zhi'zhui
中得心源,zhong'dei'xin'yuan
重复音,zhong'fu'yin
中国古典舞,zhong'guo'gu'dian'wu
中国古建筑,zhong'guo'gu'jian'zhu
中国画,zhong'guo'hua
中国民间舞蹈,zhong'guo'min'jian'wu'dao
中国戏曲表演体系,zhong'guo'xi'qu'biao'yan'ti'xi
中国戏曲舞蹈,zhong'guo'xi'qu'wu'dao
重技派,zhong'ji'pai
重机趣,zhong'ji'qu
中间人物,zhong'jian'ren'wu
中景,zhong'jing
中篇小说,zhong'pian'xiao'shuo
忠实记录,zhong'shi'ji'lu
中调,zhong'tiao
重头戏,zhong'tou'xi
钟王,zhong'wang
重音,zhong'yin
重音与重音和弦,zhong'yin'yu'zhong'yin'he'xian
终止,zhong'zhi
周德清作词十法,zhou'de'qing'zuo'ci'shi'fa
竹编,zhu'bian
主导动机,zhu'dao'dong'ji
竹雕,zhu'diao
主调音乐,zhu'diao'yin'yue
主调音乐手法,zhu'diao'yin'yue'shou'fa
主观镜头,zhu'guan'jing'tou
主观型,zhu'guan'xing
主光,zhu'guang
主和弦,zhu'he'xian
主景,zhu'jing
主角,zhu'jue
助理导演,zhu'li'dao'yan
主情主义,zhu'qing'zhu'yi
主人公,zhu'ren'gong
主题,zhu'ti
主题歌,zhu'ti'ge
蛛网伸展式,zhu'wang'shen'zhan'shi
蛛网型结构,zhu'wang'xing'jie'gou
朱文,zhu'wen
主线,zhu'xian
主要情节,zhu'yao'qing'jie
主音,zhu'yin
住宅,zhu'zhai
主奏乐器和伴奏乐器组的选择,zhu'zou'yue'qi'he'ban'zou'yue'qi'zu'de'xuan'ze
抓拍与组织拍摄,zhua'pai'yu'zu'zhi'pai'she
转调,zhuan'diao
砖雕,zhuan'diao
传记,zhuan'ji
传记报告文学,zhuan'ji'bao'gao'wen'xue
传记的记实性,zhuan'ji'de'ji'shi'xing
传记的文学性,zhuan'ji'de'wen'xue'xing
传记体小说,zhuan'ji'ti'xiao'shuo
篆刻,zhuan'ke
篆书,zhuan'shu
转述人物语言,zhuan'shu'ren'wu'yu'yan
专题节目,zhuan'ti'jie'mu
转移,zhuan'yi
转韵,zhuan'yun
装銮,zhuang'luan
装饰雕塑,zhuang'shi'diao'su
装饰风,zhuang'shi'feng
装饰句,zhuang'shi'ju
装饰艺术,zhuang'shi'yi'shu
追随法的运用,zhui'sui'fa'de'yun'yong
坠子,zhui'zi
拙十字句,zhuo'shi'zi'ju
自报家门,zi'bao'jia'men
字谜,zi'mi
子母哏,zi'mu'gen
自然风貌传说,zi'ran'feng'mao'chuan'shuo
自然光,zi'ran'guang
自然光和人工光的综合运用,zi'ran'guang'he'ren'gong'guang'de'zong'he'yun'yong
自然环境,zi'ran'huan'jing
自然主义,zi'ran'zhu'yi
自然主义戏剧,zi'ran'zhu'yi'xi'ju
滋味,zi'wei
自由诗,zi'you'shi
自娱性舞蹈,zi'yu'xing'wu'dao
字正腔圆,zi'zheng'qiang'yuan
自传体小说,zi'zhuan'ti'xiao'shuo
综合式结构,zong'he'shi'jie'gou
综合艺术,zong'he'yi'shu
综合运动镜头,zong'he'yun'dong'jing'tou
宗教建筑,zong'jiao'jian'zhu
宗教剧,zong'jiao'ju
总平面图,zong'ping'mian'tu
纵式结构,zong'shi'jie'gou
纵向采访,zong'xiang'cai'fang
纵向联想,zong'xiang'lian'xiang
纵向组象,zong'xiang'zu'xiang
走唱,zou'chang
奏鸣回旋曲,zou'ming'hui'xuan'qu
奏鸣曲,zou'ming'qu
奏鸣曲式,zou'ming'qu'shi
奏鸣套曲,zou'ming'tao'qu
组画,zu'hua
组诗,zu'shi
组舞,zu'wu
最佳观赏位置,zui'jia'guan'shang'wei'zhi
做功戏,zuo'gong'xi
作家,zuo'jia
作品的情调,zuo'pin'de'qing'diao
作品的时代感,zuo'pin'de'shi'dai'gan
作品的修改,zuo'pin'de'xiu'gai
作品风格,zuo'pin'feng'ge
作曲,zuo'qu
