阿焕鸭面,a'huan'ya'mian
笼仔饭,long'zai'fan
龙脂猪血,long'zhi'zhu'xue
龙舟鱼卷,long'zhou'yu'juan
楼外楼,lou'wai'lou
六安酱鸭,lu'an'jiang'ya
卤豆腐,lu'dou'fu
卤肝辣子,lu'gan'la'zi
芦蒿炒香干,lu'hao'chao'xiang'gan
六合牛脯,lu'he'niu'pu
卤鸡蛋,lu'ji'dan
陆记烫面炸糕,lu'ji'tang'mian'zha'gao
庐江小红头,lu'jiang'xiao'hong'tou
路南乳饼,lu'nan'ru'bing
路南乳扇,lu'nan'ru'shan
卤肉锅魁,lu'rou'guo'kui
卤肉锅盔,lu'rou'guo'kui
庐山石耳,lu'shan'shi'er
庐山石鸡,lu'shan'shi'ji
庐山石鱼,lu'shan'shi'yu
庐山云雾茶,lu'shan'yun'wu'cha
卤水鹅掌,lu'shui'e'zhang
芦台饽饽熬小鱼,lu'tai'bo'bo'ao'xiao'yu
卤味,lu'wei
鹿邑狗肉,lu'yi'gou'rou
鹿邑孔集卤鸡,lu'yi'kong'ji'lu'ji
卤汁凉粉,lu'zhi'liang'fen
庐洲,lu'zhou
庐洲饭店,lu'zhou'fan'dian
卵石鲜鱼汤,luan'shi'xian'yu'tang
伦教糕,lun'jiao'gao
萝卜板,luo'bo'ban
萝卜饼,luo'bo'bing
萝卜糕,luo'bo'gao
萝卜饺子,luo'bo'jiao'zi
萝卜牛腩,luo'bo'niu'nan
萝卜丝饼,luo'bo'si'bing
萝卜丝菠菠稞,luo'bo'si'bo'bo'ke
萝卜丝油墩子,luo'bo'si'you'dun'zi
罗村竹笋,luo'cun'zhu'sun
箩粉鱼头豆腐汤,luo'fen'yu'tou'dou'fu'tang
罗汉肚,luo'han'du
罗汉果,luo'han'guo
洛碛豆花饭,luo'qi'dou'hua'fan
螺蛳,luo'si
螺蛳粉,luo'si'fen
螺丝鸡,luo'si'ji
落汤糍,luo'tang'ci
洛阳水席,luo'yang'shui'xi
绿波廊,lv'bo'lang
绿波廊船点,lv'bo'lang'chuan'dian
绿豆兜,lv'dou'dou
绿豆粉皮,lv'dou'fen'pi
绿豆汤,lv'dou'tang
绿豆丸子,lv'dou'wan'zi
绿豆小煎饼,lv'dou'xiao'jian'bing
绿柳居,lv'liu'ju
绿柳居菜馆,lv'liu'ju'cai'guan
驴肉火烧,lv'rou'huo'shao
绿杨村,lv'yang'cun
绿茵白兔饺,lv'yin'bai'tu'jiao
马鞍桥油糕,ma'an'qiao'you'gao
马昌恒牛肉,ma'chang'heng'niu'rou
麻城肉糕,ma'cheng'rou'gao
马打滚,ma'da'gun
麻烘糕,ma'hong'gao
马虎面,ma'hu'mian
马记茶汤,ma'ji'cha'tang
马家烧麦,ma'jia'shao'mai
马口发面包子,ma'kou'fa'mian'bao'zi
麻辣冬笋,ma'la'dong'sun
麻辣凤爪,ma'la'feng'zhao
麻辣黄鳝,ma'la'huang'shan
麻辣烫,ma'la'tang
麻辣小龙虾,ma'la'xiao'long'xia
麻辣鸭脖子,ma'la'ya'bo'zi
麻辣鸭头,ma'la'ya'tou
麻辣猪肉干,ma'la'zhu'rou'gan
麻辣子鸡,ma'la'zi'ji
麻麻豆豆,ma'ma'dou'dou
麻婆豆腐,ma'po'dou'fu
麻婆豆腐餐厅,ma'po'dou'fu'can'ting
麻巧,ma'qiao
麻仁酥鸭,ma'ren'su'ya
马肉,ma'rou
马肉米粉,ma'rou'mi'fen
马烧麦,ma'shao'mai
麻酥糖,ma'su'tang
马蹄糕,ma'ti'gao
马蹄松,ma'ti'song
马蹄酥,ma'ti'su
麻香酥鸭,ma'xiang'su'ya
马祥兴,ma'xiang'xing
马祥兴菜馆,ma'xiang'xing'cai'guan
麻心元宵,ma'xin'yuan'xiao
马义兴,ma'yi'xing
马义兴菜馆,ma'yi'xing'cai'guan
麻油干丝,ma'you'gan'si
麻油鸡,ma'you'ji
马豫兴,ma'yu'xing
麻圆,ma'yuan
马仔,ma'zai
麻滋粿,ma'zi'hua
麦打滚,mai'da'gun
麦饭,mai'fan
麦精酥,mai'jing'su
麦片粥,mai'pian'zhou
麦芽糖夹饼,mai'ya'tang'jia'bing
满天香贯香寸,man'tian'xiang'guan'xiang'cun
满族饽饽,man'zu'bo'bo
芒果班戟,mang'guo'ban'ji
冒菜,mao'cai
毛豆子炒酱瓜,mao'dou'zi'chao'jiang'gua
猫耳朵,mao'er'duo
毛峰石斑鱼,mao'feng'shi'ban'yu
毛家红烧肉,mao'jia'hong'shao'rou
冒节子肥肠粉,mao'jie'zi'fei'chang'fen
牦牛火锅,mao'niu'huo'guo
牦牛肉,mao'niu'rou
茅山粥家庄,mao'shan'zhou'jia'zhuang
毛血旺,mao'xue'wang
毛嘴卤鸡,mao'zui'lu'ji
梅菜扣肉,mei'cai'kou'rou
霉干菜烧肉,mei'gan'cai'shao'rou
梅干月饼,mei'gan'yue'bing
玫瑰大头菜,mei'gui'da'tou'cai
玫瑰果,mei'gui'guo
玫瑰镜糕,mei'gui'jing'gao
玫瑰凉糍粑,mei'gui'liang'ci'ba
玫瑰蜜饯,mei'gui'mi'jian
玫瑰米凉虾,mei'gui'mi'liang'xia
玫瑰肉糕,mei'gui'rou'gao
玫瑰酥饼,mei'gui'su'bing
玫瑰糖炸糕,mei'gui'tang'zha'gao
玫瑰杨梅,mei'gui'yang'mei
玫瑰猪油大方糕,mei'gui'zhu'you'da'fang'gao
玫瑰子瓜,mei'gui'zi'gua
玫瑰子姜,mei'gui'zi'jiang
梅花糕,mei'hua'gao
梅花青豆糁,mei'hua'qing'dou'shen
美人肝,mei'ren'gan
美食之旅,mei'shi'zhi'lv
美味葱油饼,mei'wei'cong'you'bing
糜子粉,mei'zi'fen
梅子排骨,mei'zi'pai'gu
焖饼,men'bing
焖狗肉,men'gou'rou
焖子,men'zi
蒙古包子,meng'gu'bao'zi
蒙古馃子,meng'gu'guo'zi
蒙古烤肉,meng'gu'kao'rou
孟门熬,meng'men'ao
蒙自年糕,meng'zi'nian'gao
米茶,mi'cha
米肠子,mi'chang'zi
蜜橙皮,mi'cheng'pi
米冻,mi'dong
米冻蜂,mi'dong'feng
米冻糕,mi'dong'gao
米豆腐,mi'dou'fu
蜜豆鱼片,mi'dou'yu'pian
弥渡卷蹄,mi'du'juan'ti
蜜番茄,mi'fan'qie
米粉蒸肉,mi'fen'zheng'rou
蜜佛手,mi'fo'shou
米灌肠,mi'guan'chang
蜜桂芳米花糖,mi'gui'fang'mi'hua'tang
蜜桂花生糖,mi'gui'hua'sheng'tang
米果,mi'guo
米果食,mi'guo'shi
米果汁,mi'guo'zhi
蜜饯无花果,mi'jian'wu'hua'guo
蜜饯张口酥饺,mi'jian'zhang'kou'su'jiao
蜜桔皮,mi'ju'pi
蜜辣椒,mi'la'jiao
米凉粉,mi'liang'fen
蜜麻花,mi'ma'hua
米面,mi'mian
米面皮子,mi'mian'pi'zi
蜜青梅,mi'qing'mei
蜜仁糕,mi'ren'gao
米汤油馓,mi'tang'you'san
蜜桃片,mi'tao'pian
蜜枣桂鱼,mi'zao'gui'yu
蜜汁叉烧,mi'zhi'cha'shao
蜜汁红芋,mi'zhi'hong'yu
蜜汁江米藕,mi'zhi'jiang'mi'ou
蜜汁山药,mi'zhi'shan'yao
米粥,mi'zhou
迷宗大包,mi'zong'da'bao
面薄汤,mian'bao'tang
棉城鲎,mian'cheng'hou
沔城莲藕,mian'cheng'lian'ou
面肺子,mian'fei'zi
面枫糕,mian'feng'gao
棉花糖,mian'hua'tang
面筋皮子,mian'jin'pi'zi
面筋萨其马,mian'jin'sa'qi'ma
面片汤,mian'pian'tang
面条像裤带,mian'tiao'xiang'ku'dai
面窝,mian'wo
面馅包子,mian'xian'bao'zi
面线糊,mian'xian'hu
沔阳粉蒸肉,mian'yang'fen'zheng'rou
沔阳三蒸,mian'yang'san'zheng
沔阳蒸豆腐圆,mian'yang'zheng'dou'fu'yuan
沔阳蒸珍珠圆,mian'yang'zheng'zhen'zhu'yuan
面鱼子,mian'yu'zi
绵竹松花蛋,mian'zhu'song'hua'dan
苗家粉蒸肉,miao'jia'fen'zheng'rou
苗家金球糯粑,miao'jia'jin'qiu'nuo'ba
苗乡酸汤水饺,miao'xiang'suan'tang'shui'jiao
闽南糍团,min'nan'ci'tuan
民生,min'sheng
闽生果,min'sheng'guo
明顺斋烧饼,ming'shun'zhai'shao'bing
明顺斋什锦烧饼,ming'shun'zhai'shi'jin'shao'bing
明溪肉脯干,ming'xi'rou'pu'gan
蘑菇窝窝面,mo'gu'wo'wo'mian
磨浆果,mo'jiang'guo
馍馍,mo'mo
魔芋锅巴炒肉丝,mo'yu'guo'ba'chao'rou'si
魔芋烧鱼,mo'yu'shao'yu
木洞晒枣,mu'dong'shai'zao
木耳圪贝,mu'er'ge'bei
木瓜凉粉,mu'gua'liang'fen
木瓜酥,mu'gua'su
木金肉丸,mu'jin'rou'wan
木磨丝,mu'mo'si
木赛来斯,mu'sai'lai'si
纳仁,na'ren
奶茶,nai'cha
奶干,nai'gan
奶酪魏,nai'lao'wei
奶皮,nai'pi
奶皮子,nai'pi'zi
奶汤鸡脯,nai'tang'ji'pu
奶汤面,nai'tang'mian
奶油花生糖,nai'you'hua'sheng'tang
奶油回饼,nai'you'hui'bing
奶油烤菠萝什锦,nai'you'kao'bo'luo'shi'jin
奶油五香豆,nai'you'wu'xiang'dou
奶油燕窝酥,nai'you'yan'wo'su
奶渣,nai'zha
奶渣点心,nai'zha'dian'xin
南昌米粉,nan'chang'mi'fen
南风鸡鸭,nan'feng'ji'ya
南瓜包,nan'gua'bao
南湖蟹肉包子,nan'hu'xie'rou'bao'zi
南涧锅巴豆粉,nan'jian'guo'ba'dou'fen
南疆水晶无花果,nan'jiang'shui'jing'wu'hua'guo
南京板鸭,nan'jing'ban'ya
南京琵琶鸭,nan'jing'pi'pa'ya
南京香肚,nan'jing'xiang'du
南京盐水鸭,nan'jing'yan'shui'ya
南泌,nan'mi
南普陀,nan'pu'tuo
南乳肉,nan'ru'rou
南乳小排,nan'ru'xiao'pai
南沙饼,nan'sha'bing
南式细点,nan'shi'xi'dian
南宋定胜糕,nan'song'ding'sheng'gao
南通缸片,nan'tong'gang'pian
南通甜包瓜,nan'tong'tian'bao'gua
南通跳面,nan'tong'tiao'mian
南通文蛤,nan'tong'wen'ge
南通油饼,nan'tong'you'bing
楠溪麦饼,nan'xi'mai'bing
楠溪糯米糖,nan'xi'nuo'mi'tang
南霞泥鳅粉干,nan'xia'ni'qiu'fen'gan
南翔,nan'xiang
南翔小笼包,nan'xiang'xiao'long'bao
南翔小笼馒头,nan'xiang'xiao'long'man'tou
南浔香大头菜,nan'xun'xiang'da'tou'cai
馕坑肉,nang'keng'rou
脑髓卷子,nao'sui'juan'zi
泥钉冻,ni'ding'dong
泥风鸡,ni'feng'ji
尼姑素面,ni'gu'su'mian
泥鳅炖豆腐渣,ni'qiu'dun'dou'fu'zha
泥鳅煮酸菜,ni'qiu'zhu'suan'cai
泥鳅钻豆腐,ni'qiu'zuan'dou'fu
捻捻转,nian'nian'zhuan
辇止坡腊羊肉,nian'zhi'po'la'yang'rou
酿白兰瓜,niang'bai'lan'gua
酿冬瓜圈,niang'dong'gua'quan
酿豆腐,niang'dou'fu
酿皮,niang'pi
酿皮子,niang'pi'zi
酿青椒,niang'qing'jiao
酿雪梨,niang'xue'li
宁波腊鸭,ning'bo'la'ya
宁波咸鸡,ning'bo'xian'ji
宁波粽子,ning'bo'zong'zi
宁化老鼠干,ning'hua'lao'shu'gan
柠檬糖,ning'meng'tang
宁式百果糕,ning'shi'bai'guo'gao
宁式吉饼,ning'shi'ji'bing
宁式苔菜月饼,ning'shi'tai'cai'yue'bing
宁式苔生片,ning'shi'tai'sheng'pian
宁夏酿皮子,ning'xia'niang'pi'zi
牛肚火锅,niu'du'huo'guo
牛佛烘肘,niu'fo'hong'zhou
牛肝菌,niu'gan'jun
牛筋煲,niu'jin'bao
牛腩莲藕煲,niu'nan'lian'ou'bao
牛皮糖,niu'pi'tang
牛肉炒粉,niu'rou'chao'fen
牛肉焦饼,niu'rou'jiao'bing
牛肉面,niu'rou'mian
牛肉烧麦,niu'rou'shao'mai
牛肉丸,niu'rou'wan
牛舌头饼,niu'she'tou'bing
牛丸粉,niu'wan'fen
牛王庙怪味面,niu'wang'miao'guai'wei'mian
牛鲜子,niu'xian'zi
牛羊肉煮馍,niu'yang'rou'zhu'mo
牛油面,niu'you'mian
牛杂,niu'za
牛杂萝卜汤,niu'za'luo'bo'tang
浓汁鹌鹑蛋,nong'zhi'an'chun'dan
努力餐,nu'li'can
糯米饭,nuo'mi'fan
糯米鸡,nuo'mi'ji
糯米塞藕,nuo'mi'sai'ou
糯米甜糟,nuo'mi'tian'zao
糯米粥,nuo'mi'zhou
藕粉圆子,ou'fen'yuan'zi
瓯江凤尾鱼,ou'jiang'feng'wei'yu
帕尔木丁,pa'er'mu'ding
帕扎玛果,pa'zha'ma'guo
排冬菜,pai'dong'cai
牌坊面,pai'fang'mian
排骨年糕,pai'gu'nian'gao
盘飧市,pan'sun'shi
泮溪,pan'xi
泮溪酒家,pan'xi'jiu'jia
泡菜牛肚丝,pao'cai'niu'du'si
泡儿油糕,pao'er'you'gao
泡椒墨鱼仔,pao'jiao'mo'yu'zai
泡椒牛蛙,pao'jiao'niu'wa
泡椒响螺片,pao'jiao'xiang'luo'pian
泡油糕,pao'you'gao
沛县狗肉,pei'xian'gou'rou
膨化鳗片,peng'hua'man'pian
烹煎大虾,peng'jian'da'xia
蓬莱小面,peng'lai'xiao'mian
皮蛋烩排骨,pi'dan'hui'pai'gu
皮蛋瘦肉粥,pi'dan'shou'rou'zhou
皮蛋酥,pi'dan'su
啤酒鸭,pi'jiu'ya
啤酒鱼,pi'jiu'yu
枇杷肝,pi'pa'gan
片儿川,pian'er'chuan
片鸡粉,pian'ji'fen
片烤方肉,pian'kao'fang'rou
平都牛肉松,ping'dou'niu'rou'song
苹果脯,ping'guo'pu
苹果酥,ping'guo'su
平锅羊肉,ping'guo'yang'rou
平湖虾米套饼,ping'hu'xia'mi'tao'bing
平湖糟蛋,ping'hu'zao'dan
乒乓干馍,ping'pang'gan'mo
乒乓馃,ping'pang'guo
平遥牛肉,ping'yao'niu'rou
平遥熟牛肉,ping'yao'shu'niu'rou
平遥碗脱则,ping'yao'wan'tuo'ze
破酥包子,po'su'bao'zi
鄱阳湖狮子头,po'yang'hu'shi'zi'tou
铺层馍馍,pu'ceng'mo'mo
蒲城椽头蒸馍,pu'cheng'chuan'tou'zheng'mo
浦东鸡,pu'dong'ji
普洱茶,pu'er'cha
铺盖面,pu'gai'mian
普集烧鸡,pu'ji'shao'ji
普米饭肠,pu'mi'fan'chang
普宁豆干,pu'ning'dou'gan
普宁面线,pu'ning'mian'xian
葡萄仿,pu'tao'fang
葡萄雪鸡,pu'tao'xue'ji
葡萄鱼,pu'tao'yu
朴枳果,pu'zhi'guo
朴枳粿,pu'zhi'hua
蒲州清柿,pu'zhou'qing'shi
奇峰阁,qi'feng'ge
奇峰阁酒家,qi'feng'ge'jiu'jia
汽锅鸡,qi'guo'ji
麒麟鲈鱼,qi'lin'lu'yu
岐山面,qi'shan'mian
岐山哨子面,qi'shan'shao'zi'mian
岐山哨子面夹馍,qi'shan'shao'zi'mian'jia'mo
起士林,qi'shi'lin
汽水肉,qi'shui'rou
棋子饶饼,qi'zi'rao'bing
棋子烧饼,qi'zi'shao'bing
千层牛肉饼,qian'ceng'niu'rou'bing
千层油糕,qian'ceng'you'gao
钱儿肉腊驴腿,qian'er'rou'la'lv'tui
钱钱饭,qian'qian'fan
嵌桃麻糕,qian'tao'ma'gao
犍为酥芙蓉,qian'wei'su'fu'rong
乾县豆腐脑,qian'xian'dou'fu'nao
乾县挂面,qian'xian'gua'mian
千页糕,qian'ye'gao
千张包子,qian'zhang'bao'zi
乾州豆腐脑,qian'zhou'dou'fu'nao
乾州鸡面,qian'zhou'ji'mian
强果,qiang'guo
强力宝肉脯,qiang'li'bao'rou'pu
炝糟五花肉,qiang'zao'wu'hua'rou
荞粑粑,qiao'ba'ba
荞串,qiao'chuan
荞剁面,qiao'duo'mian
巧果,qiao'guo
乔家栅,qiao'jia'shan
乔家栅粽子,qiao'jia'shan'zong'zi
荞蕨象生梨,qiao'jue'xiang'sheng'li
荞凉粉,qiao'liang'fen
荞面,qiao'mian
荞面饸饹,qiao'mian'he'le
荞面合络,qiao'mian'he'luo
巧酥,qiao'su
桥头,qiao'tou
桥头火锅店,qiao'tou'huo'guo'dian
荞坨,qiao'tuo
茄团,qie'tuan
茄汁明虾,qie'zhi'ming'xia
茄子煮花甲,qie'zi'zhu'hua'jia
秦安肚丝汤,qin'an'du'si'tang
秦安火烧,qin'an'huo'shao
秦安辣子面,qin'an'la'zi'mian
秦安麻腐馍,qin'an'ma'fu'mo
秦安米黄,qin'an'mi'huang
芹黄烧鱼条,qin'huang'shao'yu'tiao
秦椒,qin'jiao
秦邮全鸭宴,qin'you'quan'ya'yan
秦镇皮子,qin'zhen'pi'zi
青菠面,qing'bo'mian
清炒河虾仁,qing'chao'he'xia'ren
清炒三丁,qing'chao'san'ding
清炒鳝糊,qing'chao'shan'hu
清炒虾仁,qing'chao'xia'ren
清炒小花菇,qing'chao'xiao'hua'gu
清炖开凌梭,qing'dun'kai'ling'suo
清炖狼山鸡,qing'dun'lang'shan'ji
清炖兔子,qing'dun'tu'zi
清炖蟹粉狮子头,qing'dun'xie'fen'shi'zi'tou
青粉,qing'fen
庆丰包子铺,qing'feng'bao'zi'pu
清宫御膳银丝杂面,qing'gong'yu'shan'yin'si'za'mian
青海名菜,qing'hai'ming'cai
青海月饼,qing'hai'yue'bing
青精饭,qing'jing'fan
清流笋干,qing'liu'sun'gan
清梅居,qing'mei'ju
清明艾饺,qing'ming'ai'jiao
清平鸡,qing'ping'ji
清水鲩圆,qing'shui'huan'yuan
青苔童鸭豆糁,qing'tai'tong'ya'dou'shen
青苔童鸭糁,qing'tai'tong'ya'shen
清汤,qing'tang
清汤鲍鱼,qing'tang'bao'yu
清汤柴把鸭,qing'tang'chai'ba'ya
清汤抄手,qing'tang'chao'shou
清汤海参,qing'tang'hai'shen
清汤柳叶燕菜,qing'tang'liu'ye'yan'cai
清汤牛肉面,qing'tang'niu'rou'mian
清汤泡糕,qing'tang'pao'gao
轻糖杏脯,qing'tang'xing'fu
清香砂焐鸡,qing'xiang'sha'wu'ji
清油盘丝饼,qing'you'pan'si'bing
清炸黄河刀鱼,qing'zha'huang'he'dao'yu
清真全羊席,qing'zhen'quan'yang'xi
清蒸白鱼,qing'zheng'bai'yu
清蒸刀鱼,qing'zheng'dao'yu
清蒸桂鱼,qing'zheng'gui'yu
清蒸海鲜,qing'zheng'hai'xian
清蒸鲩鱼,qing'zheng'huan'yu
清蒸牛蹄筋,qing'zheng'niu'ti'jin
清蒸青鳝,qing'zheng'qing'shan
琼酱,qiong'jiang
琼姐濑粉,qiong'jie'lai'fen
曲阜熏豆腐,qu'fu'xun'dou'fu
去皮酥,qu'pi'su
曲曲,qu'qu
曲氏花生酥,qu'shi'hua'sheng'su
曲沃腊牛肉,qu'wo'la'niu'rou
曲园,qu'yuan
曲园酒家,qu'yuan'jiu'jia
全家富,quan'jia'fu
全聚德,quan'ju'de
泉水鸡,quan'shui'ji
泉水土鸡,quan'shui'tu'ji
全虾三做,quan'xia'san'zuo
雀巢黑椒牛柳,que'chao'hei'jiao'niu'liu
雀巢鸟窝,que'chao'niao'wo
燃面,ran'mian
热冬果,re'dong'guo
热干面,re'gan'mian
热粟米,re'su'mi
热蔗汁,re'zhe'zhi
任丘茄子饼,ren'qiu'qie'zi'bing
人参果奶渣糕,ren'shen'guo'nai'zha'gao
仁寿芝麻糕,ren'shou'zhi'ma'gao
仁用杏,ren'yong'xing
日式照烧鸡腿,ri'shi'zhao'shao'ji'tui
荣华麻香酥,rong'hua'ma'xiang'su
荣乐园,rong'le'yuan
肉干,rou'gan
肉骨头,rou'gu'tou
肉罐肉,rou'guan'rou
肉火烧,rou'huo'shao
肉夹饼,rou'jia'bing
肉夹馍,rou'jia'mo
肉脯蛋卷,rou'pu'dan'juan
揉糖馒头,rou'tang'man'tou
肉燕,rou'yan
肉燕皮,rou'yan'pi
肉粥,rou'zhou
肉棕,rou'zong
汝城板鸭,ru'cheng'ban'ya
如皋萝卜粒,ru'gao'luo'bo'li
如皋肉松,ru'gao'rou'song
乳扇饺,ru'shan'jiao
乳膳萨其马,ru'shan'sa'qi'ma
乳扇萨其马,ru'shan'sa'qi'ma
如意回卤干,ru'yi'hui'lu'gan
软儿梨,ruan'er'li
软哨面,ruan'shao'mian
芮城麻片,rui'cheng'ma'pian
箬叶芝麻糖细卷,ruo'ye'zhi'ma'tang'xi'juan
萨其马,sa'qi'ma
萨其马桃,sa'qi'ma'tao
塞上香哪,sai'shang'xiang'na
三杯鸡,san'bei'ji
三杯脚鱼,san'bei'jiao'yu
三不沾,san'bu'zhan
三成炳稃油,san'cheng'bing'fu'you
三大炮,san'da'pao
三道茶,san'dao'cha
三丁包,san'ding'bao
三丁包子,san'ding'bao'zi
三河米饺,san'he'mi'jiao
三合泥,san'he'ni
三合汤,san'he'tang
三花酒,san'hua'jiu
三七,san'qi
三驱李甜粑,san'qu'li'tian'ba
三驱田凉粉,san'qu'tian'liang'fen
三色蛋卷,san'se'dan'juan
三色拉花干点,san'se'la'hua'gan'dian
三色芦荟,san'se'lu'hui
三套鸭,san'tao'ya
三虾豆腐,san'xia'dou'fu
三鲜豆皮,san'xian'dou'pi
三鲜馄饨,san'xian'hun'tun
三鲜水饺,san'xian'shui'jiao
三鲜小馄饨,san'xian'xiao'hun'tun
三鲜紫米蛋糕,san'xian'zi'mi'dan'gao
三鲜紫米蛋卷,san'xian'zi'mi'dan'juan
三香包子,san'xiang'bao'zi
三星麻团,san'xing'ma'tuan
三原蓼花糖,san'yuan'liao'hua'tang
臊子面,sao'zi'mian
砂钵狗肉,sha'bo'gou'rou
砂钵黄陂三合,sha'bo'huang'pi'san'he
沙茶粿,sha'cha'hua
沙茶烤肉串,sha'cha'kao'rou'chuan
沙茶面,sha'cha'mian
砂炒冻豆,sha'chao'dong'dou
砂锅炖驴肉,sha'guo'dun'lv'rou
砂锅饭,sha'guo'fan
砂锅三味,sha'guo'san'wei
沙河粉,sha'he'fen
沙湖盐蛋,sha'hu'yan'dan
沙黄蛋角酥,sha'huang'dan'jiao'su
沙米粉,sha'mi'fen
沙市甜独蒜头,sha'shi'tian'du'suan'tou
歃汤,sha'tang
砂糖夹饼,sha'tang'jia'bing
沙田柚,sha'tian'you
沙湾白饼,sha'wan'bai'bing
沙湾姜撞奶,sha'wan'jiang'zhuang'nai
沙翁,sha'weng
砂窝文昌鸡,sha'wo'wen'chang'ji
沙县豆腐丸,sha'xian'dou'fu'wan
沙县馄饨,sha'xian'hun'tun
砂子饼,sha'zi'bing
陕北红小豆,shan'bei'hong'xiao'dou
山城小汤圆,shan'cheng'xiao'tang'yuan
山东糖煎藕,shan'dong'tang'jian'ou
珊瑚花枝片,shan'hu'hua'zhi'pian
珊瑚金钩,shan'hu'jin'gou
山外山,shan'wai'shan
陕西党参,shan'xi'dang'shen
山西腐乳,shan'xi'fu'ru
单县羊肉汤,shan'xian'yang'rou'tang
鳝鱼辣汤,shan'yu'la'tang
鳝鱼凉米线,shan'yu'liang'mi'xian
山楂饼,shan'zha'bing
山楂糕,shan'zha'gao
上党糊肘子,shang'dang'hu'zhou'zi
上党自酥饼,shang'dang'zi'su'bing
上岗子面茶,shang'gang'zi'mian'cha
上海白肚,shang'hai'bai'du
上海菜肉大馄饨,shang'hai'cai'rou'da'hun'tun
上海茶叶蛋,shang'hai'cha'ye'dan
上海炒饭,shang'hai'chao'fan
上海炒酱,shang'hai'chao'jiang
上海炒年糕,shang'hai'chao'nian'gao
上海炒鳝糊,shang'hai'chao'shan'hu
上海春卷,shang'hai'chun'juan
上海蛋塔地图,shang'hai'dan'ta'di'tu
上海锅贴,shang'hai'guo'tie
上海红烧狮子头,shang'hai'hong'shao'shi'zi'tou
上海馄饨汤,shang'hai'hun'tun'tang
上海鸡饭煲,shang'hai'ji'fan'bao
上海老,shang'hai'lao
上海老饭店,shang'hai'lao'fan'dian
上海冷面,shang'hai'leng'mian
上海卤鸭,shang'hai'lu'ya
上海蜜汁糖蹄,shang'hai'mi'zhi'tang'ti
上海蜜汁小肉,shang'hai'mi'zhi'xiao'rou
上海清蒸螃蟹,shang'hai'qing'zheng'pang'xie
上海十大名点心,shang'hai'shi'da'ming'dian'xin
上海熟白肉,shang'hai'shu'bai'rou
上海水蜜桃,shang'hai'shui'mi'tao
上海素火腿,shang'hai'su'huo'tui
上海汤圆,shang'hai'tang'yuan
上海咸水鸭,shang'hai'xian'shui'ya
上海小吃大集合,shang'hai'xiao'chi'da'ji'he
上海小吃个个数,shang'hai'xiao'chi'ge'ge'shu
上海小吃推荐,shang'hai'xiao'chi'tui'jian
上海油鸡,shang'hai'you'ji
上海炸猪排,shang'hai'zha'zhu'pai
上海蒸鱼,shang'hai'zheng'yu
上海猪肉干,shang'hai'zhu'rou'gan
上海猪肉灌肠,shang'hai'zhu'rou'guan'chang
上杭萝卜干,shang'hang'luo'bo'gan
伤心凉粉,shang'xin'liang'fen
商芝肉,shang'zhi'rou
商州糍粑,shang'zhou'ci'ba
烧大葱,shao'da'cong
烧豆腐,shao'dou'fu
烧鹅,shao'e
烧饵块,shao'er'kuai
烧腊卤水鹅掌,shao'la'lu'shui'e'zhang
少林八宝酥,shao'lin'ba'bao'su
烧麦,shao'mai
稍美,shao'mei
烧肉粽,shao'rou'zong
烧三味,shao'san'wei
烧三鲜,shao'san'xian
绍式八珍糕,shao'shi'ba'zhen'gao
绍式大夹沙,shao'shi'da'jia'sha
苕酥糖,shao'su'tang
绍兴,shao'xing
绍兴腐乳,shao'xing'fu'ru
绍兴麻鸭,shao'xing'ma'ya
绍兴霉干菜烧肉,shao'xing'mei'gan'cai'shao'rou
绍兴香糕,shao'xing'xiang'gao
烧鱿鱼,shao'you'yu
烧肘子,shao'zhou'zi
烧猪肝,shao'zhu'gan
蛇餐馆,she'can'guan
社饭,she'fan
歙县豆腐脑髓,she'xian'dou'fu'nao'sui
神池麻花,shen'chi'ma'hua
什大酥烧饼,shen'da'su'shao'bing
神仙钵,shen'xian'bo
神仙鸭子,shen'xian'ya'zi
深州蜜桃,shen'zhou'mi'tao
生煸蝴蝶片,sheng'bian'hu'die'pian
生菜包,sheng'cai'bao
生炒海蚌,sheng'chao'hai'bang
生煎馒头,sheng'jian'man'tou
生牛肉酱,sheng'niu'rou'jiang
生呛梭子蟹,sheng'qiang'suo'zi'xie
生敲膳丝,sheng'qiao'shan'si
生熏大黄鱼,sheng'xun'da'huang'yu
生鱼面,sheng'yu'mian
生榨米粉,sheng'zha'mi'fen
十八街麻花,shi'ba'jie'ma'hua
施秉狗肉汤锅,shi'bing'gou'rou'tang'guo
施秉绿豆粉,shi'bing'lv'dou'fen
时辰包子,shi'chen'bao'zi
石蛤蟆,shi'ha'ma
石斛花生米,shi'hu'hua'sheng'mi
石家饭店,shi'jia'fan'dian
什锦冬瓜帽,shi'jin'dong'gua'mao
什锦豆腐脑,shi'jin'dou'fu'nao
什锦烩面,shi'jin'hui'mian
什锦凉米线,shi'jin'liang'mi'xian
什锦麻花,shi'jin'ma'hua
什锦人参果,shi'jin'ren'shen'guo
什锦素菜包,shi'jin'su'cai'bao
什锦田鸡油,shi'jin'tian'ji'you
石榴,shi'liu
石马番豆,shi'ma'fan'dou
柿面糊蹋,shi'mian'hu'ta
石屏烧豆腐,shi'ping'shao'dou'fu
石头饼,shi'tou'bing
