阿富汗,a'fu'han
满脸倦容,man'lian'juan'rong
满脸杀气,man'lian'sha'qi
满脸兴奋的男人,man'lian'xing'fen'de'nan'ren
谩骂,man'ma
满满当当,man'man'dang'dang
漫山遍野,man'shan'bian'ye
蔓藤,man'teng
慢条斯理,man'tiao'si'li
漫无目的,man'wu'mu'di
茫茫的夜色,mang'mang'de'ye'se
茅草屋,mao'cao'wu
矛盾重重,mao'dun'chong'chong
猫耳洞,mao'er'dong
毛骨悚然,mao'gu'song'ran
猫和老鼠,mao'he'lao'shu
帽徽,mao'hui
猫叫的老鼠,mao'jiao'de'lao'shu
茂密的芭蕉林,mao'mi'de'ba'jiao'lin
茂密的藤蔓,mao'mi'de'teng'wan
茅台,mao'tai
冒险硬闯监区,mao'xian'ying'chuang'jian'qu
猫眼,mao'yan
毛泽东选集,mao'ze'dong'xuan'ji
冒这么大风险,mao'zhe'me'da'feng'xian
冒着热气的茶杯,mao'zhe're'qi'de'cha'bei
没打着,mei'da'zhe
没法混了,mei'fa'hun'le
每个人的档案,mei'ge'ren'de'dang'an
美国,mei'guo
美国梦,mei'guo'meng
美国人,mei'guo'ren
美好的记忆,mei'hao'de'ji'yi
没好气,mei'hao'qi
没话找话,mei'hua'zhao'hua
没家教,mei'jia'jiao
没劲,mei'jin
美金,mei'jin
美酒佳肴,mei'jiu'jia'yao
没吭声,mei'keng'sheng
没脑子,mei'nao'zi
煤气炉,mei'qi'lu
没人性,mei'ren'xing
美塞河,mei'sai'he
美塞镇,mei'sai'zhen
美式军礼,mei'shi'jun'li
煤炭,mei'tan
没头没脑,mei'tou'mei'nao
没王法,mei'wang'fa
没戏,mei'xi
眉心,mei'xin
媚眼,mei'yan
每一道疤痕,mei'yi'dao'ba'hen
没有根,mei'you'gen
没有如果,mei'you'ru'guo
没有应该,mei'you'ying'gai
眉宇,mei'yu
美洲,mei'zhou
门窗齐全,men'chuang'qi'quan
闷棍,men'gun
门框,men'kuang
门帘,men'lian
门路,men'lu
门内的大娘,men'nei'de'da'niang
闷气,men'qi
闷声闷气,men'sheng'men'qi
猛地一扭,meng'de'yi'niu
猛地站了起来,meng'de'zhan'le'qi'lai
蒙古,meng'gu
蒙古戈壁滩,meng'gu'ge'bi'tan
蒙古国,meng'gu'guo
猛击一拳,meng'ji'yi'quan
猛烈密集的枪声,meng'lie'mi'ji'de'qiang'sheng
蒙眬,meng'long
朦胧的玻璃,meng'long'de'bo'li
梦寐以求的配方,meng'mei'yi'qiu'de'pei'fang
蒙蒙亮,meng'meng'liang
蒙面人,meng'mian'ren
梦魇,meng'yan
密闭空间,mi'bi'kong'jian
密不透风,mi'bu'tou'feng
迷彩布,mi'cai'bu
迷彩服,mi'cai'fu
迷彩妆,mi'cai'zhuang
眯缝,mi'feng
迷魂汤,mi'hun'tang
密林,mi'lin
密码,mi'ma
密码锁,mi'ma'suo
密码信,mi'ma'xin
秘密部门特案组,mi'mi'bu'men'te'an'zu
秘密任务,mi'mi'ren'wu
秘密武器,mi'mi'wu'qi
迷你手枪,mi'ni'shou'qiang
觅食的野兽,mi'shi'de'ye'shou
密信,mi'xin
迷信大牌,mi'xin'da'pai
密云,mi'yun
棉大衣,mian'da'yi
缅甸,mian'dian
面目狰狞,mian'mu'zheng'ning
棉绒帽子,mian'rong'mao'zi
面色憔悴的驼背男人,mian'se'qiao'cui'de'tuo'bei'nan'ren
面色黝黑,mian'se'you'hei
面生的男人,mian'sheng'de'nan'ren
面子,mian'zi
秒针,miao'zhen
瞄准镜,miao'zhun'jing
灭火器,mie'huo'qi
灭口,mie'kou
灭了门,mie'le'men
敏感又倔强的心,min'gan'you'jue'jiang'de'xin
民国初年,min'guo'chu'nian
民警,min'jing
民营工厂,min'ying'gong'chang
民用版,min'yong'ban
民族主义,min'zu'zhu'yi
明白人,ming'bai'ren
命根子,ming'gen'zi
名号,ming'hao
明路,ming'lu
名片,ming'pian
鸣枪警示,ming'qiang'jing'shi
命数,ming'shu
命数如此,ming'shu'ru'ci
名头,ming'tou
明信片,ming'xin'pian
明星,ming'xing
明知错误的记忆,ming'zhi'cuo'wu'de'ji'yi
命只有一条,ming'zhi'you'yi'tiao
默哀,mo'ai
抹脖子,mo'bo'zi
摩擦力,mo'ca'li
莫尔斯密码,mo'er'si'mi'ma
磨还没卸利索你就急着要杀驴,mo'hai'mei'xie'li'suo'ni'jiu'ji'zhe'yao'sha'lv
磨合,mo'he
墨镜,mo'jing
魔窟,mo'ku
抹了,mo'le
模棱两可,mo'leng'liang'ke
莫名,mo'ming
默契,mo'qi
莫斯科可卡因高峰论坛,mo'si'ke'ke'ka'yin'gao'feng'lun'tan
模特儿,mo'te'er
摸透,mo'tou
摩托车,mo'tuo'che
摩托车修理铺,mo'tuo'che'xiu'li'pu
木板隔断的里屋,mu'ban'ge'duan'de'li'wu
墓碑上的照片,mu'bei'shang'de'zhao'pian
目标人物,mu'biao'ren'wu
目标位置,mu'biao'wei'zhi
目瞪口呆,mu'deng'kou'dai
墓地,mu'di
目光呆滞,mu'guang'dai'zhi
目光恬静,mu'guang'tian'jing
幕后老板,mu'hou'lao'ban
木偶一样,mu'ou'yi'yang
母亲,mu'qin
木屋,mu'wu
木制的栏杆,mu'zhi'de'lan'gan
木制房屋,mu'zhi'fang'wu
那对夫妻,na'dui'fu'qi
哪儿来的狗胆,na'er'lai'de'gou'dan
那卷钱,na'juan'qian
那么个死法,na'me'ge'si'fa
那批货,na'pi'huo
拿人钱财替人消灾,na'ren'qian'cai'ti'ren'xiao'zai
拿手好戏,na'shou'hao'xi
哪一边,na'yi'bian
奶奶,nai'nai
南海九段线,nan'hai'jiu'duan'xian
男人的血,nan'ren'de'xue
难以估量的生命,nan'yi'gu'liang'de'sheng'ming
难以想象的胆量,nan'yi'xiang'xiang'de'dan'liang
南苑机场,nan'yuan'ji'chang
脑袋别裤腰带上,nao'dai'bie'ku'yao'dai'shang
脑袋别在裤腰带上,nao'dai'bie'zai'ku'yao'dai'shang
脑袋鸡啄米,nao'dai'ji'zhuo'mi
脑门,nao'men
脑门儿,nao'men'er
脑门一拍,nao'men'yi'pai
脑子木,nao'zi'mu
脑子有问题,nao'zi'you'wen'ti
内部的头号通缉犯,nei'bu'de'tou'hao'tong'ji'fan
内部电话号码,nei'bu'dian'hua'hao'ma
内部定性,nei'bu'ding'xing
内部人员,nei'bu'ren'yuan
内部通缉犯,nei'bu'tong'ji'fan
内部系统,nei'bu'xi'tong
内袋,nei'dai
内地,nei'di
内地的公安,nei'di'de'gong'an
内地的兄弟们,nei'di'de'xiong'di'men
内地毒品销售情报,nei'di'du'pin'xiao'shou'qing'bao
内地环境,nei'di'huan'jing
内地人,nei'di'ren
内斗,nei'dou
内蒙,nei'meng
内蒙古锡林郭勒盟,nei'meng'gu'xi'lin'guo'le'meng
内蒙古伊克昭盟,nei'meng'gu'yi'ke'zhao'meng
内心的烦躁,nei'xin'de'fan'zao
内心的愧疚,nei'xin'de'kui'jiu
内心沸腾,nei'xin'fei'teng
内心强烈的不安,nei'xin'qiang'lie'de'bu'an
内心世界,nei'xin'shi'jie
能量,neng'liang
能耐,neng'nai
你不要命了,ni'bu'yao'ming'le
你个驴日的,ni'ge'lv'ri'de
霓虹灯,ni'hong'deng
霓虹灯招牌,ni'hong'deng'zhao'pai
泥浆,ni'jiang
你觉得呢,ni'jue'de'ne
泥泞,ni'ning
泥泞的村道,ni'ning'de'cun'dao
泥菩萨,ni'pu'sa
你嫂子,ni'sao'zi
你死我活的关系,ni'si'wo'huo'de'guan'xi
你死我活的血战,ni'si'wo'huo'de'xue'zhan
你他妈的要造反,ni'ta'ma'de'yao'zao'fan
你他妈给我等着,ni'ta'ma'gei'wo'deng'zhe
你太客气了,ni'tai'ke'qi'le
你我兄弟齐心合力,ni'wo'xiong'di'qi'xin'he'li
你以为这是钱能解决的事吗,ni'yi'wei'zhe'shi'qian'neng'jie'jue'de'shi'ma
你这个叛徒,ni'zhe'ge'pan'tu
你这样的人配有什么兄弟,ni'zhe'yang'de'ren'pei'you'shen'me'xiong'di
逆转,ni'zhuan
撵出去,nian'chu'qu
年初夏的一个深夜,nian'chu'xia'de'yi'ge'shen'ye
年度金牌员工,nian'du'jin'pai'yuan'gong
碾个粉碎,nian'ge'fen'sui
年近七旬,nian'jin'qi'xun
年龄,nian'ling
年轻不懂事,nian'qing'bu'dong'shi
年轻人,nian'qing'ren
年轻战士,nian'qing'zhan'shi
碾轧过的植物,nian'ya'guo'de'zhi'wu
年终奖,nian'zhong'jiang
蹑手蹑脚,nie'shou'nie'jiao
捏碎的动作,nie'sui'de'dong'zuo
孽子,nie'zi
您这是给我脸了,nin'zhe'shi'gei'wo'lian'le
宁哥,ning'ge
宁静的宁志向的志,ning'jing'de'ning'zhi'xiang'de'zhi
宁夏,ning'xia
宁夏公安厅,ning'xia'gong'an'ting
宁志,ning'zhi
宁志的档案,ning'zhi'de'dang'an
宁志的眼睛,ning'zhi'de'yan'jing
宁志的照片,ning'zhi'de'zhao'pian
宁志牌白粉,ning'zhi'pai'bai'fen
宁志兄弟,ning'zhi'xiong'di
牛逼,niu'bi
牛逼闪闪放光芒,niu'bi'shan'shan'fang'guang'mang
牛排,niu'pai
牛皮纸袋,niu'pi'zhi'dai
扭曲情感纠葛,niu'qu'qing'gan'jiu'ge
牛肉面,niu'rou'mian
牛仔服,niu'zai'fu
农村包围城市,nong'cun'bao'wei'cheng'shi
农村畜圈,nong'cun'chu'juan
农民,nong'min
农民工,nong'min'gong
农田,nong'tian
农业现代化,nong'ye'xian'dai'hua
怒放的红玫瑰,nu'fang'de'hong'mei'gui
怒气,nu'qi
怒气冲心,nu'qi'chong'xin
努嘴,nu'zui
暖风出风口,nuan'feng'chu'feng'kou
暖暖的慰藉,nuan'nuan'de'wei'jie
暖气片,nuan'qi'pian
女毒贩,nv'du'fan
女警,nv'jing
女警的头颅,nv'jing'de'tou'lu
女佣,nv'yong
女助理,nv'zhu'li
欧式餐桌,ou'shi'can'zhuo
欧式建筑,ou'shi'jian'zhu
呕吐,ou'tu
偶像,ou'xiang
欧阳刚,ou'yang'gang
欧洲,ou'zhou
欧洲标准,ou'zhou'biao'zhun
欧洲大牌户外装备,ou'zhou'da'pai'hu'wai'zhuang'bei
派出所,pai'chu'suo
排风扇,pai'feng'shan
排挤,pai'ji
排挤出局,pai'ji'chu'ju
排水口,pai'shui'kou
牌位,pai'wei
派驻,pai'zhu
牌子,pai'zi
盘查乘客,pan'cha'cheng'ke
潘家园,pan'jia'yuan
盘踞的罪恶地方,pan'ju'de'zui'e'di'fang
判决书,pan'jue'shu
盘山路,pan'shan'lu
胖女人,pang'nv'ren
旁人的目光,pang'ren'de'mu'guang
跑步机,pao'bu'ji
泡茶,pao'cha
跑道,pao'dao
炮灰,pao'hui
跑路,pao'lu
抛锚,pao'mao
抛尸,pao'shi
抛头露面,pao'tou'lu'mian
跑脱,pao'tuo
赔不是,pei'bu'shi
配方,pei'fang
佩服,pei'fu
赔个不是,pei'ge'bu'shi
配合默契,pei'he'mo'qi
陪你玩,pei'ni'wan
配枪的资格,pei'qiang'de'zi'ge
赔笑脸,pei'xiao'lian
陪罪,pei'zui
喷嚏,pen'ti
蓬荜增辉,peng'bi'zeng'hui
澎湃的热血,peng'pai'de're'xue
膨胀,peng'zhang
疲惫不堪,pi'bei'bu'kan
披肩,pi'jian
批量生产,pi'liang'sheng'chan
纰漏,pi'lou
披头散发,pi'tou'san'fa
皮箱,pi'xiang
皮鞋,pi'xie
皮靴,pi'xue
偏得在地图上都找不到的地方,pian'de'zai'di'tu'shang'dou'zhao'bu'dao'de'di'fang
片段,pian'duan
飘浮的渣子,piao'fu'de'zha'zi
瓢泼大雨,piao'po'da'yu
漂上,piao'shang
漂着,piao'zhe
拼凑,pin'cou
频繁,pin'fan
拼了个大概,pin'le'ge'da'gai
频率,pin'lv
频频出新,pin'pin'chu'xin
品质,pin'zhi
平安无事,ping'an'wu'shi
平安越境,ping'an'yue'jing
屏蔽干扰,ping'bi'gan'rao
屏蔽网,ping'bi'wang
屏蔽信号,ping'bi'xin'hao
平地起风,ping'di'qi'feng
平反,ping'fan
平房,ping'fang
平房小院,ping'fang'xiao'yuan
苹果,ping'guo
苹果贩子,ping'guo'fan'zi
平和,ping'he
平衡格局,ping'heng'ge'ju
平缓,ping'huan
平静,ping'jing
凭经验判断,ping'jing'yan'pan'duan
平举,ping'ju
平凉,ping'liang
平凉一战,ping'liang'yi'zhan
平起平坐,ping'qi'ping'zuo
平台边缘,ping'tai'bian'yuan
平头老百姓,ping'tou'lao'bai'xing
平稳,ping'wen
凭证,ping'zheng
破败的茅草屋,po'bai'de'mao'cao'wu
迫不及待,po'bu'ji'dai
破大衣,po'da'yi
破风箱,po'feng'xiang
破个戒,po'ge'jie
破吉他,po'ji'ta
破金杯,po'jin'bei
破旧的房屋,po'jiu'de'fang'wu
破旧的摩托车,po'jiu'de'mo'tuo'che
破旧的椅子,po'jiu'de'yi'zi
破旧的院子,po'jiu'de'yuan'zi
破旧沙发垫子,po'jiu'sha'fa'dian'zi
破书桌,po'shu'zhuo
破塑料袋,po'su'liao'dai
破损的桌角,po'sun'de'zhuo'jiao
破藤椅,po'teng'yi
瀑布似的长发,pu'bu'shi'de'chang'fa
匍匐,pu'fu
葡萄,pu'tao
普通的打手,pu'tong'de'da'shou
普通电话,pu'tong'dian'hua
普通房客,pu'tong'fang'ke
普通老百姓,pu'tong'lao'bai'xing
普通猫九条命,pu'tong'mao'jiu'tiao'ming
普通农民,pu'tong'nong'min
普通少妇,pu'tong'shao'fu
普通战士,pu'tong'zhan'shi
七八岁的男孩,qi'ba'sui'de'nan'hai
泣不成声,qi'bu'cheng'sheng
汽车喇叭声,qi'che'la'ba'sheng
汽车配件,qi'che'pei'jian
汽车站,qi'che'zhan
七大项目,qi'da'xiang'mu
妻儿老小,qi'er'lao'xiao
妻儿老小无依无靠,qi'er'lao'xiao'wu'yi'wu'kao
漆黑的胡同,qi'hei'de'hu'tong
漆黑翻滚,qi'hei'fan'gun
漆黑崎岖的小路,qi'hei'qi'qu'de'xiao'lu
齐林,qi'lin
起锚,qi'mao
棋盘,qi'pan
七情六欲,qi'qing'liu'yu
崎岖不平的山路上,qi'qu'bu'ping'de'shan'lu'shang
气势汹汹,qi'shi'xiong'xiong
旗手,qi'shou
气头上的女人别惹,qi'tou'shang'de'nv'ren'bie're
齐心,qi'xin
骑行者,qi'xing'zhe
起用,qi'yong
汽油,qi'you
汽油灯,qi'you'deng
汽油味,qi'you'wei
齐整,qi'zheng
棋子,qi'zi
七座商务车,qi'zuo'shang'wu'che
铅笔头,qian'bi'tou
千方百计,qian'fang'bai'ji
潜伏,qian'fu
前功尽弃,qian'gong'jin'qi
前后吻合,qian'hou'wen'he
前机器盖子,qian'ji'qi'gai'zi
前进挡,qian'jin'dang
千金裘,qian'jin'qiu
浅坑,qian'keng
千年狐狸精,qian'nian'hu'li'jing
千丝万缕,qian'si'wan'lv
前所未有,qian'suo'wei'you
前台人物,qian'tai'ren'wu
潜艇,qian'ting
千头万绪乱作一团,qian'tou'wan'xu'luan'zuo'yi'tuan
前途渺茫,qian'tu'miao'mang
前行,qian'xing
潜意识,qian'yi'shi
钱赚不完,qian'zhuan'bu'wan
浅酌,qian'zhuo
枪毙死刑犯,qiang'bi'si'xing'fan
枪柄,qiang'bing
强撑,qiang'cheng
抢船,qiang'chuan
枪的击锤,qiang'de'ji'chui
墙缝,qiang'feng
枪杆子里出政权,qiang'gan'zi'li'chu'zheng'quan
枪管,qiang'guan
强光,qiang'guang
抢话,qiang'hua
枪架,qiang'jia
强健,qiang'jian
墙角,qiang'jiao
墙角的一个花瓶,qiang'jiao'de'yi'ge'hua'ping
墙角的竹床,qiang'jiao'de'zhu'chuang
抢劫,qiang'jie
将进酒,qiang'jin'jiu
枪口,qiang'kou
强龙不压地头蛇,qiang'long'bu'ya'di'tou'she
强买强卖,qiang'mai'qiang'mai
强人没朋友,qiang'ren'mei'peng'you
枪伤,qiang'shang
墙上的灯绳,qiang'shang'de'deng'sheng
枪身,qiang'shen
枪声的来源,qiang'sheng'de'lai'yuan
抢生意,qiang'sheng'yi
抢手,qiang'shou
枪手,qiang'shou
枪栓,qiang'shuan
枪栓声,qiang'shuan'sheng
枪太沉,qiang'tai'chen
枪膛,qiang'tang
枪托,qiang'tuo
枪下鬼,qiang'xia'gui
枪械库,qiang'xie'ku
强心剂,qiang'xin'ji
强行登船,qiang'xing'deng'chuan
枪眼,qiang'yan
枪油味儿,qiang'you'wei'er
枪战,qiang'zhan
强者,qiang'zhe
强征草场,qiang'zheng'cao'chang
枪支弹药,qiang'zhi'dan'yao
枪支买卖案,qiang'zhi'mai'mai'an
枪支制售,qiang'zhi'zhi'shou
枪支制售团伙,qiang'zhi'zhi'shou'tuan'huo
枪支走私,qiang'zhi'zou'si
敲打,qiao'da
敲个警钟,qiao'ge'jing'zhong
巧克力,qiao'ke'li
切入点,qie'ru'dian
怯生生,qie'sheng'sheng
切水果,qie'shui'guo
窃听器,qie'ting'qi
秦川,qin'chuan
秦川的杰作,qin'chuan'de'jie'zuo
秦川的身影,qin'chuan'de'shen'ying
秦川号,qin'chuan'hao
秦川牺牲,qin'chuan'xi'sheng
秦大哥,qin'da'ge
亲弟弟,qin'di'di
秦哥,qin'ge
寝具,qin'ju
秦老弟,qin'lao'di
秦岭,qin'ling
亲戚,qin'qi
寝食难安,qin'shi'nan'an
亲手杀人,qin'shou'sha'ren
亲手制出的毒品,qin'shou'zhi'chu'de'du'pin
亲叔叔,qin'shu'shu
亲兄弟,qin'xiong'di
亲自出山,qin'zi'chu'shan
情报,qing'bao
情报部门,qing'bao'bu'men
情报共享,qing'bao'gong'xiang
情报网,qing'bao'wang
情报泄露,qing'bao'xie'lou
情报支持,qing'bao'zhi'chi
情报组,qing'bao'zu
请便,qing'bian
轻车熟路,qing'che'shu'lu
清晨的第一缕阳光,qing'chen'de'di'yi'lv'yang'guang
轻敌,qing'di
庆典,qing'dian
氢二硫氧四,qing'er'liu'yang'si
轻而易举,qing'er'yi'ju
清风拂面,qing'feng'fu'mian
清个场,qing'ge'chang
轻机枪,qing'ji'qiang
倾家荡产,qing'jia'dang'chan
倾尽财力收购军火,qing'jin'cai'li'shou'gou'jun'huo
轻举妄动,qing'ju'wang'dong
请客没问题,qing'ke'mei'wen'ti
清理门户,qing'li'men'hu
清凉的山风,qing'liang'de'shan'feng
清冽的河水,qing'lie'de'he'shui
请求处分,qing'qiu'chu'fen
请求组建行动组,qing'qiu'zu'jian'xing'dong'zu
青松翠柏,qing'song'cui'bai
轻松自在,qing'song'zi'zai
情形,qing'xing
轻重缓急,qing'zhong'huan'ji
穷尽,qiong'jin
穷尽我的所有,qiong'jin'wo'de'suo'you
穷尽想象,qiong'jin'xiang'xiang
穷凶极恶,qiong'xiong'ji'e
囚车,qiu'che
曲别针,qu'bie'zhen
渠道,qu'dao
屈辱,qu'ru
屈辱的阴影,qu'ru'de'yin'ying
屈辱感,qu'ru'gan
渠水,qu'shui
取消定位,qu'xiao'ding'wei
取消行动资格,qu'xiao'xing'dong'zi'ge
全部注意力,quan'bu'zhu'yi'li
全城搜索,quan'cheng'sou'suo
全副武装,quan'fu'wu'zhuang
全幅中国地图,quan'fu'zhong'guo'di'tu
全家的罪过,quan'jia'de'zui'guo
拳脚相加,quan'jiao'xiang'jia
全军覆没,quan'jun'fu'mo
全灭,quan'mie
圈内人,quan'nei'ren
全能型,quan'neng'xing
蜷起来,quan'qi'lai
全神贯注,quan'shen'guan'zhu
全神戒备,quan'shen'jie'bei
全世界,quan'shi'jie
全套西装,quan'tao'xi'zhuang
全套银制餐具,quan'tao'yin'zhi'can'ju
全体车上待命,quan'ti'che'shang'dai'ming
全体都得受处分,quan'ti'dou'dei'shou'chu'fen
全体列队,quan'ti'lie'dui
缺口,que'kou
确切消息,que'qie'xiao'xi
群山,qun'shan
燃料,ran'liao
燃起的青烟,ran'qi'de'qing'yan
冉冉升起的朝阳,ran'ran'sheng'qi'de'zhao'yang
燃烧弹,ran'shao'dan
嚷嚷什么呢,rang'rang'shen'me'ne
让文物开口说话,rang'wen'wu'kai'kou'shuo'hua
让这帮垃圾长点儿记性,rang'zhe'bang'la'ji'chang'dian'er'ji'xing
让座,rang'zuo
饶过,rao'guo
热茶,re'cha
热感应仪器,re'gan'ying'yi'qi
热脸贴着他们的冷屁股,re'lian'tie'zhe'ta'men'de'leng'pi'gu
热气腾腾的粽子,re'qi'teng'teng'de'zong'zi
热切的目光,re'qie'de'mu'guang
热血坚忍,re'xue'jian'ren
人不靠谱,ren'bu'kao'pu
人财两空,ren'cai'liang'kong
人凑不齐,ren'cou'bu'qi
人的性命,ren'de'xing'ming
人都没了,ren'dou'mei'le
人多目标大,ren'duo'mu'biao'da
人犯,ren'fan
人格魅力,ren'ge'mei'li
人工山,ren'gong'shan
人工水渠,ren'gong'shui'qu
人工修整,ren'gong'xiu'zheng
人货都接到了,ren'huo'dou'jie'dao'le
人货两空,ren'huo'liang'kong
人家的笑料,ren'jia'de'xiao'liao
人间罪恶,ren'jian'zui'e
人靠衣裳马靠鞍,ren'kao'yi'shang'ma'kao'an
人流熙攘的商场,ren'liu'xi'rang'de'shang'chang
人脉,ren'mai
人脉够广,ren'mai'gou'guang
人脉关系,ren'mai'guan'xi
人们的唾弃声,ren'men'de'tuo'qi'sheng
人民,ren'min
人民安全,ren'min'an'quan
人民内部矛盾,ren'min'nei'bu'mao'dun
忍气吞声,ren'qi'tun'sheng
人生地不熟,ren'sheng'di'bu'shu
人是活的,ren'shi'huo'de
人手不够,ren'shou'bu'gou
人手一支,ren'shou'yi'zhi
人为财死鸟为食亡,ren'wei'cai'si'niao'wei'shi'wang
人文风光,ren'wen'feng'guang
任务,ren'wu
任务范围,ren'wu'fan'wei
人物资料库,ren'wu'zi'liao'ku
人心惶惶,ren'xin'huang'huang
人妖,ren'yao
认栽,ren'zai
人在江湖身不由己,ren'zai'jiang'hu'shen'bu'you'ji
人证,ren'zheng
人质,ren'zhi
认知,ren'zhi
仁至义尽,ren'zhi'yi'jin
日本,ri'ben
日本鬼子,ri'ben'gui'zi
日本警方,ri'ben'jing'fang
日本人,ri'ben'ren
日本以南的公海区域,ri'ben'yi'nan'de'gong'hai'qu'yu
日进斗金,ri'jin'dou'jin
日了怪了,ri'le'guai'le
日头,ri'tou
日夜思念的战友,ri'ye'si'nian'de'zhan'you
容不下,rong'bu'xia
荣幸,rong'xing
肉菜,rou'cai
肉体和灵魂,rou'ti'he'ling'hun
如此田地,ru'ci'tian'di
如虎添翼,ru'hu'tian'yi
入伙,ru'huo
如火如荼,ru'huo'ru'tu
入局,ru'ju
入口即化,ru'kou'ji'hua
如履薄冰,ru'lv'bo'bing
辱没,ru'mo
如释重负,ru'shi'zhong'fu
入伍,ru'wu
如影随形,ru'ying'sui'xing
软肋,ruan'lei
软盘,ruan'pan
软破解,ruan'po'jie
软纸团,ruan'zhi'tuan
软中华,ruan'zhong'hua
弱国无外交,ruo'guo'wu'wai'jiao
若无其事,ruo'wu'qi'shi
弱小女子,ruo'xiao'nv'zi
撒欢的野狗,sa'huan'de'ye'gou
撒气,sa'qi
塞班岛,sai'ban'dao
腮帮子,sai'bang'zi
三败俱伤,san'bai'ju'shang
三百万美金,san'bai'wan'mei'jin
三步并作两步,san'bu'bing'zuo'liang'bu
三步列队,san'bu'lie'dui
三岔洞口,san'cha'dong'kou
三长两短,san'chang'liang'duan
三成,san'cheng
三根香,san'gen'xiang
三教九流,san'jiao'jiu'liu
三棱刀,san'leng'dao
三六九等,san'liu'jiu'deng
三轮车,san'lun'che
三枪,san'qiang
三四成,san'si'cheng
三头六臂,san'tou'liu'bi
三下五除二,san'xia'wu'chu'er
三支八一式自动步枪,san'zhi'ba'yi'shi'zi'dong'bu'qiang
骚情,sao'qing
嫂子,sao'zi
嫂子的饺子,sao'zi'de'jiao'zi
嫂子生日,sao'zi'sheng'ri
色彩斑斓的群山,se'cai'ban'lan'de'qun'shan
森森的白骨,sen'sen'de'bai'gu
刹车,sha'che
杀出一条血路,sha'chu'yi'tiao'xue'lu
傻大头兵,sha'da'tou'bing
沙地,sha'di
杀法,sha'fa
沙发靠背,sha'fa'kao'bei
杀父之仇,sha'fu'zhi'chou
杀个回马枪,sha'ge'hui'ma'qiang
纱巾,sha'jin
沙坑,sha'keng
杀了你烧给他,sha'le'ni'shao'gei'ta
沙漠之鹰,sha'mo'zhi'ying
杀气,sha'qi
杀人偿命,sha'ren'chang'ming
杀人放火,sha'ren'fang'huo
杀人家全家抢占人家地盘,sha'ren'jia'quan'jia'qiang'zhan'ren'jia'di'pan
杀人灭口,sha'ren'mie'kou
杀人如麻,sha'ren'ru'ma
杀人越货,sha'ren'yue'huo
杀杀他的威风,sha'sha'ta'de'wei'feng
杀身之祸,sha'shen'zhi'huo
杀手,sha'shou
沙滩椅,sha'tan'yi
杀头猪,sha'tou'zhu
煞有介事,sha'you'jie'shi
杀猪,sha'zhu
杀猪般的号叫声,sha'zhu'ban'de'hao'jiao'sheng
杀猪似的嘶喊,sha'zhu'shi'de'si'han
陕北,shan'bei
善茬儿,shan'cha'er
闪电,shan'dian
闪电般的刀痕,shan'dian'ban'de'dao'hen
山东,shan'dong
闪躲,shan'duo
山谷,shan'gu
闪光弹,shan'guang'dan
闪光的利剑,shan'guang'de'li'jian
闪光利剑忠诚卫士,shan'guang'li'jian'zhong'cheng'wei'shi
善良,shan'liang
闪亮登场,shan'liang'deng'chang
善良仗义,shan'liang'zhang'yi
山路,shan'lu
山猫,shan'mao
陕南小城,shan'nan'xiao'cheng
闪烁,shan'shuo
闪烁的警灯光,shan'shuo'de'jing'deng'guang
陕西,shan'xi
山下的湖泊,shan'xia'de'hu'po
山下的小路上,shan'xia'de'xiao'lu'shang
山响,shan'xiang
扇形的包围圈,shan'xing'de'bao'wei'quan
山野,shan'ye
上岸,shang'an
商标,shang'biao
上不得台面,shang'bu'de'tai'mian
上厕所,shang'ce'suo
商船,shang'chuan
上传成功,shang'chuan'cheng'gong
上船酒,shang'chuan'jiu
上得了台面,shang'de'liao'tai'mian
上等的货,shang'deng'de'huo
上等货,shang'deng'huo
上海,shang'hai
伤痕,shang'hen
上级,shang'ji
上级部门,shang'ji'bu'men
上级的意见,shang'ji'de'yi'jian
上级决定,shang'ji'jue'ding
上级指示严查严办,shang'ji'zhi'shi'yan'cha'yan'ban
上了我的贼船,shang'le'wo'de'zei'chuan
伤了元气,shang'le'yuan'qi
商量计划,shang'liang'ji'hua
上马酒,shang'ma'jiu
商铺,shang'pu
上气不接下气,shang'qi'bu'jie'xia'qi
上千万,shang'qian'wan
上尉,shang'wei
商务车,shang'wu'che
伤心欲绝,shang'xin'yu'jue
商业规矩,shang'ye'gui'ju
上衣口袋,shang'yi'kou'dai
烧杯,shao'bei
哨兵,shao'bing
哨兵保持一百米,shao'bing'bao'chi'yi'bai'mi
捎带手,shao'dai'shou
少废话,shao'fei'hua
烧火棍,shao'huo'gun
烧蒙了心,shao'meng'le'xin
哨卡,shao'qia
哨声,shao'sheng
烧水,shao'shui
烧水壶,shao'shui'hu
少说点儿没用的,shao'shuo'dian'er'mei'yong'de
哨所,shao'suo
稍息,shao'xi
少校,shao'xiao
少言寡语,shao'yan'gua'yu
少一条胳膊,shao'yi'tiao'ge'bo
射程,she'cheng
射击,she'ji
射击场,she'ji'chang
射击死角,she'ji'si'jiao
设卡,she'qia
设身处地,she'shen'chu'di
涉世不深,she'shi'bu'shen
蛇头,she'tou
深不见底的山沟,shen'bu'jian'di'de'shan'gou
身材魁梧,shen'cai'kui'wu
神采奕奕,shen'cai'yi'yi
深藏不露,shen'cang'bu'lu
渗出,shen'chu
