矮扁莎,ai'bian'sha
尖瓣榄,jian'ban'lan
尖苞冬叶,jian'bao'dong'ye
尖齿臭茉莉,jian'chi'chou'mo'li
尖萼山黄皮,jian'e'shan'huang'pi
尖萼山猪菜,jian'e'shan'zhu'cai
尖萼紫珠,jian'e'zi'zhu
尖峰粗叶木,jian'feng'cu'ye'mu
尖峰蒲桃,jian'feng'pu'tao
尖峰润楠,jian'feng'run'nan
尖峰猪屎豆,jian'feng'zhu'shi'dou
尖稃草,jian'fu'cao
尖果母草,jian'guo'mu'cao
尖花藤,jian'hua'teng
尖喙隔距兰,jian'hui'ge'ju'lan
建兰,jian'lan
尖脉木姜子,jian'mai'mu'jiang'zi
柬埔寨子楝树,jian'pu'zhai'zi'lian'shu
见霜黄,jian'shuang'huang
尖头吊钟花,jian'tou'diao'zhong'hua
尖尾枫,jian'wei'feng
尖尾芋,jian'wei'yu
间型沿阶草,jian'xing'yan'jie'cao
见血封喉,jian'xue'feng'hou
尖叶槌果藤,jian'ye'chui'guo'teng
剑叶冬青,jian'ye'dong'qing
尖叶豆腐柴,jian'ye'dou'fu'chai
尖叶杜茎山,jian'ye'du'jing'shan
尖叶弓果黍,jian'ye'gong'guo'shu
箭叶海芋,jian'ye'hai'yu
尖叶幌伞枫,jian'ye'huang'san'feng
剑叶木姜子,jian'ye'mu'jiang'zi
尖叶木蓝,jian'ye'mu'lan
尖叶清风藤,jian'ye'qing'feng'teng
剑叶三宝木,jian'ye'san'bao'mu
剑叶山芝麻,jian'ye'shan'zhi'ma
剑叶石斛,jian'ye'shi'hu
剑叶梭罗,jian'ye'suo'luo
尖叶铁仔,jian'ye'tie'zai
箭叶雨久花,jian'ye'yu'jiu'hua
尖子藤,jian'zi'teng
茳芏,jiang'du
浆果苋,jiang'guo'xian
江西堇菜,jiang'xi'jin'cai
降香檀,jiang'xiang'tan
绞股蓝,jiao'gu'lan
胶果木,jiao'guo'mu
角果木,jiao'guo'mu
角花胡颓子,jiao'hua'hu'tui'zi
角花乌蔹莓,jiao'hua'wu'lian'mei
蕉木,jiao'mu
节苞藨草,jie'bao'biao'cao
接骨草,jie'gu'cao
节节菜,jie'jie'cai
节节红,jie'jie'hong
节茎藤草,jie'jing'teng'cao
节藜,jie'li
睫毛齿果草,jie'mao'chi'guo'cao
节毛乌蔹莓,jie'mao'wu'lian'mei
金草,jin'cao
锦带花,jin'dai'hua
锦地罗,jin'di'luo
金风花,jin'feng'hua
金柑,jin'gan
金刚钻,jin'gang'zuan
金瓜,jin'gua
金合欢,jin'he'huan
金花远志,jin'hua'yuan'zhi
金锦香,jin'jin'xiang
金莲木,jin'lian'mu
金茅,jin'mao
金猫尾,jin'mao'wei
金纽扣,jin'niu'kou
金钱豹,jin'qian'bao
金钱草,jin'qian'cao
金色狗尾草,jin'se'gou'wei'cao
金丝草,jin'si'cao
金粟兰,jin'su'lan
紧穗野古草,jin'sui'ye'gu'cao
金须茅,jin'xu'mao
金腰箭,jin'yao'jian
金叶树,jin'ye'shu
金银莲花,jin'yin'lian'hua
金缘萼,jin'yuan'e
金盏银盘,jin'zhan'yin'pan
茎根红丝线,jing'gen'hong'si'xian
茎花崖爬藤,jing'hua'ya'pa'teng
茎花苎,jing'hua'zhu
茎花锥花,jing'hua'zhui'hua
景烈樟,jing'lie'zhang
镜子苔草,jing'zi'tai'cao
酒饼筋,jiu'bing'jin
九翅豆蔻,jiu'chi'dou'kou
九丁树,jiu'ding'shu
九节,jiu'jie
九节龙,jiu'jie'long
距瓣豆,ju'ban'dou
聚花白鹤藤,ju'hua'bai'he'teng
聚花草,ju'hua'cao
聚花海桐,ju'hua'hai'tong
距花山姜,ju'hua'shan'jiang
距花黍,ju'hua'shu
巨花悬钩子,ju'hua'xuan'gou'zi
巨黎豆,ju'li'dou
趄南葛藤,ju'nan'ge'teng
菊芹,ju'qin
聚石斛,ju'shi'hu
蒟薯,ju'shu
卷边冬青,juan'bian'dong'qing
卷花丹,juan'hua'dan
绢毛杜英,juan'mao'du'ying
绢毛木兰,juan'mao'mu'lan
绢毛飘拂草,juan'mao'piao'fu'cao
爵床,jue'chuang
蕨叶人字果,jue'ye'ren'zi'guo
蕨叶苔草,jue'ye'tai'cao
咖啡黄葵,ka'fei'huang'kui
糠稷,kang'ji
可爱花,ke'ai'hua
刻节润楠,ke'jie'run'nan
榼藤,ke'teng
孔雀稗,kong'que'bai
空心莲子草,kong'xin'lian'zi'cao
扣树,kou'shu
苦苣菜,ku'ju'cai
苦槛蓝,ku'kan'lan
苦郎树,ku'lang'shu
苦楝,ku'lian
苦树,ku'shu
苦玄参,ku'xuan'shen
苦梓,ku'zi
宽瓣大理素馨,kuan'ban'da'li'su'xin
宽苞茅膏莱,kuan'bao'mao'gao'lai
宽萼毛稔,kuan'e'mao'ren
宽穗扁莎,kuan'sui'bian'sha
宽穗红鳞扁莎,kuan'sui'hong'lin'bian'sha
宽药青藤,kuan'yao'qing'teng
宽叶雀稗,kuan'ye'que'bai
宽叶沿阶草,kuan'ye'yan'jie'cao
昆明榆,kun'ming'yu
阔瓣天料木,kuo'ban'tian'liao'mu
阔苞菊,kuo'bao'ju
阔穗莎草,kuo'sui'suo'cao
阔叶八角枫,kuo'ye'ba'jiao'feng
阔叶带唇兰,kuo'ye'dai'chun'lan
阔叶丰花草,kuo'ye'feng'hua'cao
阔叶猕猴桃,kuo'ye'mi'hou'tao
阔叶拟杜茎山,kuo'ye'ni'du'jing'shan
阔叶蒲桃,kuo'ye'pu'tao
阔叶省藤,kuo'ye'sheng'teng
阔叶五层龙,kuo'ye'wu'ceng'long
阔叶肖榄,kuo'ye'xiao'lan
阔叶沼兰,kuo'ye'zhao'lan
阔叶竹茎兰,kuo'ye'zhu'jing'lan
辣椒,la'jiao
剌篱木,la'li'mu
癞痢藤,la'li'teng
辣蓼,la'liao
辣汁樟,la'zhi'zhang
蜡烛果,la'zhu'guo
莱州崖角藤,lai'zhou'ya'jiao'teng
蓝耳草,lan'er'cao
蓝果越橘,lan'guo'yue'ju
蓝花黄芩,lan'hua'huang'qin
兰花蕉,lan'hua'jiao
蓝花参,lan'hua'shen
榄李,lan'li
蓝蓼,lan'liao
榄绿巴豆,lan'lv'ba'dou
烂目竹,lan'mu'zhu
榄仁树,lan'ren'shu
蓝树,lan'shu
榄形风车子,lan'xing'feng'che'zi
蓝叶藤,lan'ye'teng
郎伞木,lang'san'mu
榔色木,lang'se'mu
狼尾草,lang'wei'cao
锒叶树,lang'ye'shu
老鼠簕,lao'shu'le
簕檔花椒,le'dang'hua'jiao
乐东黄芩,le'dong'huang'qin
乐东链珠藤,le'dong'lian'zhu'teng
乐东拟单性木兰,le'dong'ni'dan'xing'mu'lan
乐东青冈,le'dong'qing'gang
乐东石豆兰,le'dong'shi'dou'lan
乐东藤,le'dong'teng
乐东卫矛,le'dong'wei'mao
乐东西番莲,le'dong'xi'fan'lian
乐东油果樟,le'dong'you'guo'zhang
乐东玉叶金花,le'dong'yu'ye'jin'hua
了哥王,le'ge'wang
簕古子,le'gu'zi
乐会润楠,le'hui'run'nan
雷公青冈,lei'gong'qing'gang
类缘刺子莞,lei'yuan'ci'zi'guan
棱萼母草,leng'e'mu'cao
冷饭团,leng'fan'tuan
棱果谷木,leng'guo'gu'mu
棱枝冬青,leng'zhi'dong'qing
棱枝槲寄生,leng'zhi'hu'ji'sheng
黎庵高竹,li'an'gao'zhu
犁耙柯,li'ba'ke
离瓣寄生,li'ban'ji'sheng
鳢肠,li'chang
栗豆藤,li'dou'teng
离根香,li'gen'xiang
梨果柯,li'guo'ke
梨果仙人掌,li'guo'xian'ren'zhang
离基脉冷水花,li'ji'mai'leng'shui'hua
栗寄生,li'ji'sheng
篱栏网,li'lan'wang
黎婆花,li'po'hua
梨润楠,li'run'nan
黧蒴,li'shuo
犁头尖,li'tou'jian
狸尾草,li'wei'cao
梨叶悬钩子,li'ye'xuan'gou'zi
荔枝叶红豆,li'zhi'ye'hong'dou
粒状马唐,li'zhuang'ma'tang
栎子青冈,li'zi'qing'gang
镰扁豆,lian'bian'dou
镰翅羊耳蒜,lian'chi'yang'er'suan
莲桂,lian'gui
链荚豆,lian'jia'dou
楝叶吴萸,lian'ye'wu'yu
莲子草,lian'zi'cao
帘子藤,lian'zi'teng
莲座紫金牛,lian'zuo'zi'jin'niu
两耳草,liang'er'cao
凉粉草,liang'fen'cao
两广栝楼,liang'guang'gua'lou
两广梭罗,liang'guang'suo'luo
两广檀,liang'guang'tan
两广锡兰藤,liang'guang'xi'lan'teng
两广紫,liang'guang'zi
两列虾脊兰,liang'lie'xia'ji'lan
两面针,liang'mian'zhen
两歧飘拂草,liang'qi'piao'fu'cao
两色三七草,liang'se'san'qi'cao
亮叶含笑,liang'ye'han'xiao
亮叶猴耳环,liang'ye'hou'er'huan
亮叶青冈,liang'ye'qing'gang
亮叶山香圆,liang'ye'shan'xiang'yuan
亮叶索馨,liang'ye'suo'xin
亮叶崖豆藤,liang'ye'ya'dou'teng
裂苞省藤,lie'bao'sheng'teng
裂唇羊耳蒜,lie'chun'yang'er'suan
裂萼水玉簪,lie'e'shui'yu'zan
裂萼紫珠,lie'e'zi'zhu
鬣剌,lie'la
裂叶鳞蕊藤,lie'ye'lin'rui'teng
裂叶秋海棠,lie'ye'qiu'hai'tang
裂叶悬钩子,lie'ye'xuan'gou'zi
裂颖茅,lie'ying'mao
裂掌榕,lie'zhang'rong
林地苋,lin'di'xian
鳞隔堇,lin'ge'jin
鳞果草,lin'guo'cao
鳞花草,lin'hua'cao
鳞花木,lin'hua'mu
鳞茎砖子苗,lin'jing'zhuan'zi'miao
鳞片水麻,lin'pian'shui'ma
鳞蕊藤,lin'rui'teng
林生粗叶木,lin'sheng'cu'ye'mu
林仔竹,lin'zai'zhu
鳞籽莎,lin'zi'sha
菱唇毛兰,ling'chun'mao'lan
菱果羊蹄甲,ling'guo'yang'ti'jia
岭罗麦,ling'luo'mai
岭南槭,ling'nan'qi
岭南青冈,ling'nan'qing'gang
岭南山竹子,ling'nan'shan'zhu'zi
岭南思劳竹,ling'nan'si'lao'zhu
陵水暗罗,ling'shui'an'luo
陵水胡椒,ling'shui'hu'jiao
灵香假卫矛,ling'xiang'jia'wei'mao
柃叶山矾,ling'ye'shan'fan
留萼木,liu'e'mu
瘤果粗叶木,liu'guo'cu'ye'mu
瘤果槲寄生,liu'guo'hu'ji'sheng
瘤果柯,liu'guo'ke
六角杜鹃,liu'jiao'du'juan
六棱菊,liu'leng'ju
琉璃繁缕,liu'li'fan'lv
瘤皮酸藤子,liu'pi'suan'teng'zi
流苏贝母兰,liu'su'bei'mu'lan
流苏金石斛,liu'su'jin'shi'hu
流苏石斛,liu'su'shi'hu
流苏卫矛,liu'su'wei'mao
流苏蜘蛛抱蛋,liu'su'zhi'zhu'bao'dan
瘤穗弓果黍,liu'sui'gong'guo'shu
柳叶密花树,liu'ye'mi'hua'shu
柳叶润楠,liu'ye'run'nan
柳叶山黄皮,liu'ye'shan'huang'pi
柳叶石楠,liu'ye'shi'nan
柳叶薯,liu'ye'shu
柳叶水丝梨,liu'ye'shui'si'li
柳枝五层龙,liu'zhi'wu'ceng'long
龙胆木,long'dan'mu
龙师草,long'shi'cao
龙须藤,long'xu'teng
龙眼,long'yan
龙眼睛,long'yan'jing
龙珠果,long'zhu'guo
龙爪茅,long'zhua'mao
娄芦,lou'lu
卤地菊,lu'di'ju
露兜草,lu'dou'cao
露兜簕,lu'dou'le
鹿藿,lu'huo
鹿角草,lu'jiao'cao
陆均松,lu'jun'song
鹿茸木,lu'rong'mu
鹿蹄草,lu'ti'cao
芦竹,lu'zhu
露籽草,lu'zi'cao
卵萼毛麝香,luan'e'mao'she'xiang
孪花蟛蜞菊,luan'hua'peng'qi'ju
卵穗苔草,luan'sui'tai'cao
卵叶耳草,luan'ye'er'cao
卵叶海桑,luan'ye'hai'sang
卵叶柯,luan'ye'ke
卵叶梨果寄生,luan'ye'li'guo'ji'sheng
卵叶柃,luan'ye'ling
卵叶石笔木,luan'ye'shi'bi'mu
卵叶喜盐草,luan'ye'xi'yan'cao
卵叶樟,luan'ye'zhang
轮环娃儿藤,lun'huan'wa'er'teng
轮叶戟,lun'ye'ji
轮叶木姜子,lun'ye'mu'jiang'zi
轮叶紫金牛,lun'ye'zi'jin'niu
落瓣短柱茶,luo'ban'duan'zhu'cha
萝卜裉黄葵花,luo'bo'ken'huang'kui'hua
落地生根,luo'di'sheng'gen
罗浮栲,luo'fu'kao
萝芙木,luo'fu'mu
罗浮柿,luo'fu'shi
罗汉果,luo'han'guo
罗汉松,luo'han'song
裸花水竹草,luo'hua'shui'zhu'cao
裸花紫珠,luo'hua'zi'zhu
裸茎粟米草,luo'jing'su'mi'cao
罗勒,luo'le
罗伞树,luo'san'shu
络石,luo'shi
螺旋鳞荸荠,luo'xuan'lin'bi'qi
落檐,luo'yan
罗志藤,luo'zhi'teng
裸柱菊,luo'zhu'ju
绿背桂花,lv'bei'gui'hua
绿花安兰,lv'hua'an'lan
绿花羊耳蒜,lv'hua'yang'er'suan
绿蛇根草,lv'she'gen'cao
绿穗莎草,lv'sui'suo'cao
绿玉树,lv'yu'shu
绿枝山矾,lv'zhi'shan'fan
马鞭草,ma'bian'cao
马齿苋,ma'chi'xian
马瓞儿,ma'die'er
马蜂橙,ma'feng'cheng
麻风树,ma'feng'shu
马甲子,ma'jia'zi
马兰,ma'lan
马兰藤,ma'lan'teng
麻栎,ma'li
麻楝,ma'lian
马岭竹,ma'ling'zhu
马宁玉凤花,ma'ning'yu'feng'hua
马松子,ma'song'zi
马蹄金,ma'ti'jin
麻叶铁苋菜,ma'ye'tie'xian'cai
马缨丹,ma'ying'dan
脉耳草,mai'er'cao
麦花草,mai'hua'cao
买麻藤,mai'ma'teng
麦穗茅根,mai'sui'mao'gen
脉羊耳蒜,mai'yang'er'suan
麦珠子,mai'zhu'zi
蔓草虫豆,man'cao'chong'dou
蔓赤车,man'chi'che
蔓荆,man'jing
蔓茎栓果菊,man'jing'shuan'guo'ju
蔓茎沿阶草,man'jing'yan'jie'cao
蔓三七草,man'san'qi'cao
蔓性干斤拔,man'xing'gan'jin'ba
杧果,mang'guo
芒尖狭穗草,mang'jian'xia'sui'cao
芒穗鸭嘴草,mang'sui'ya'zui'cao
毛巴戟天,mao'ba'ji'tian
毛八角枫,mao'ba'jiao'feng
毛边卷瓣兰,mao'bian'juan'ban'lan
毛草龙,mao'cao'long
毛茶,mao'cha
毛橙广花,mao'cheng'guang'hua
毛唇芋兰,mao'chun'yu'lan
毛刺蒴麻,mao'ci'shuo'ma
毛大丁草,mao'da'ding'cao
毛冬青,mao'dong'qing
毛杜仲藤,mao'du'zhong'teng
毛萼厚壳树,mao'e'hou'ke'shu
毛萼李榄,mao'e'li'lan
毛萼清风藤,mao'e'qing'feng'teng
毛萼素罂,mao'e'su'ying
毛萼乌口树,mao'e'wu'kou'shu
毛萼紫薇,mao'e'zi'wei
帽儿瓜,mao'er'gua
毛蜂斗草,mao'feng'dou'cao
茅根,mao'gen
毛谷精草,mao'gu'jing'cao
茅瓜,mao'gua
毛瓜腹木,mao'gua'fu'mu
毛冠乌口树,mao'guan'wu'kou'shu
毛果扁担杆,mao'guo'bian'dan'gan
毛果柯,mao'guo'ke
毛果柃,mao'guo'ling
毛果算盘子,mao'guo'suan'pan'zi
毛果网籽草,mao'guo'wang'zi'cao
帽花,mao'hua
毛花马铃苣苔,mao'hua'ma'ling'ju'tai
毛黄肉楠,mao'huang'rou'nan
毛鸡骨草,mao'ji'gu'cao
毛鸡屎藤,mao'ji'shi'teng
毛荚决明,mao'jia'jue'ming
毛俭草,mao'jian'cao
毛姜花,mao'jiang'hua
毛锦杜鹃,mao'jin'du'juan
毛锦香草,mao'jin'xiang'cao
毛蒟,mao'ju
毛咀签,mao'ju'qian
毛两面针,mao'liang'mian'zhen
毛蓼,mao'liao
毛鳞球柱草,mao'lin'qiu'zhu'cao
毛马唐,mao'ma'tang
毛脉青冈,mao'mai'qing'gang
毛脉水团花,mao'mai'shui'tuan'hua
毛脉崖爬藤,mao'mai'ya'pa'teng
毛脉紫金牛,mao'mai'zi'jin'niu
茅莓,mao'mei
毛木蓝,mao'mu'lan
毛囊苔草,mao'nang'tai'cao
毛排钱草,mao'pai'qian'cao
毛破布叶,mao'po'bu'ye
毛葡萄,mao'pu'tao
毛鞘青篱竹,mao'qiao'qing'li'zhu
毛茄,mao'qie
毛稔,mao'ren
毛乳豆,mao'ru'dou
毛蕊鸡血藤,mao'rui'ji'xue'teng
毛山黄皮,mao'shan'huang'pi
毛山猪莱,mao'shan'zhu'lai
毛麝香,mao'she'xiang
毛柿,mao'shi
毛水竹,mao'shui'zhu
毛宿苞豆,mao'su'bao'dou
毛穗鸭嘴草,mao'sui'ya'zui'cao
毛藤竹,mao'teng'zhu
毛天料木,mao'tian'liao'mu
猫尾草,mao'wei'cao
猫尾木,mao'wei'mu
毛腺萼木,mao'xian'e'mu
毛序肉实,mao'xu'rou'shi
毛叶白粉藤,mao'ye'bai'fen'teng
毛叶丁公藤,mao'ye'ding'gong'teng
毛叶冬青,mao'ye'dong'qing
毛叶狗牙花,mao'ye'gou'ya'hua
毛叶蝴蝶草,mao'ye'hu'die'cao
毛叶嘉赐树,mao'ye'jia'ci'shu
毛叶轮环藤,mao'ye'lun'huan'teng
毛叶毛兰,mao'ye'mao'lan
毛叶青冈,mao'ye'qing'gang
毛叶黍,mao'ye'shu
毛叶桐,mao'ye'tong
毛叶异木患,mao'ye'yi'mu'huan
毛叶鹰爪花,mao'ye'ying'zhao'hua
毛异花草,mao'yi'hua'cao
毛银柴,mao'yin'chai
毛颖草,mao'ying'cao
毛毡藨草,mao'zhan'biao'cao
毛毡草,mao'zhan'cao
毛枝粗叶木,mao'zhi'cu'ye'mu
毛枝黄杨,mao'zhi'huang'yang
毛轴山莴苣,mao'zhou'shan'wo'ju
毛轴莎草,mao'zhou'suo'cao
霉草,mei'cao
美丁花,mei'ding'hua
美冠兰,mei'guan'lan
玫瑰毛兰,mei'gui'mao'lan
玫瑰木,mei'gui'mu
美花兰,mei'hua'lan
美丽画眉草,mei'li'hua'mei'cao
美丽猕猴桃,mei'li'mi'hou'tao
美丽梧桐,mei'li'wu'tong
美丽新木姜,mei'li'xin'mu'jiang
美丽樟牙菜,mei'li'zhang'ya'cai
美脉粗叶木,mei'mai'cu'ye'mu
美叶菜豆树,mei'ye'cai'dou'shu
梅叶冬青,mei'ye'dong'qing
美叶沼兰,mei'ye'zhao'lan
蒙高子,meng'gao'zi
孟加拉砖子苗,meng'jia'la'zhuan'zi'miao
虻眼,meng'yan
密苞鸢尾兰,mi'bao'yuan'wei'lan
密果鹿藿,mi'guo'lu'huo
密花地宝兰,mi'hua'di'bao'lan
密花冬青,mi'hua'dong'qing
密花杜若,mi'hua'du'ruo
密花核果木,mi'hua'he'guo'mu
密花节节菜,mi'hua'jie'jie'cai
密花轮环藤,mi'hua'lun'huan'teng
密花马钱,mi'hua'ma'qian
密花石斛,mi'hua'shi'hu
密花树,mi'hua'shu
密花藤,mi'hua'teng
密花虾脊兰,mi'hua'xia'ji'lan
密花玉层龙,mi'hua'yu'ceng'long
密花鱼藤,mi'hua'yu'teng
米椒,mi'jiao
密鳞紫金牛,mi'lin'zi'jin'niu
密脉蒲桃,mi'mai'pu'tao
密毛红丝线,mi'mao'hong'si'xian
密毛乌口树,mi'mao'wu'kou'shu
密穗砖子苗,mi'sui'zhuan'zi'miao
密叶万带兰,mi'ye'wan'dai'lan
米仔兰,mi'zai'lan
蜜茱萸,mi'zhu'yu
密子豆,mi'zi'dou
绵毛葡萄,mian'mao'pu'tao
闽粤石楠,min'yue'shi'nan
膜萼藤,mo'e'teng
膜稃草,mo'fu'cao
墨兰,mo'lan
墨苜蓿,mo'mu'xu
磨盘草,mo'pan'cao
陌上菜,mo'shang'cai
膜叶刺蕊草,mo'ye'ci'rui'cao
膜叶嘉赐树,mo'ye'jia'ci'shu
膜叶乌桕,mo'ye'wu'jiu
膜叶玉叶金花,mo'ye'yu'ye'jin'hua
木鳖子,mu'bie'zi
母草,mu'cao
牧地狼尾草,mu'di'lang'wei'cao
木豆,mu'dou
木防己,mu'fang'ji
木果樟,mu'guo'zhang
牡蒿,mu'hao
木蝴蝶,mu'hu'die
木荚红豆,mu'jia'hong'dou
牡荆,mu'jing
木蓝,mu'lan
木榄,mu'lan
木兰寄生,mu'lan'ji'sheng
木龙葵,mu'long'kui
木棉,mu'mian
木田菁,mu'tian'jing
木油桐,mu'you'tong
木贼状荸荠,mu'zei'zhuang'bi'qi
那大紫玉盘,na'da'zi'yu'pan
纳槁润楠,na'gao'run'nan
拿花马钱,na'hua'ma'qian
楠草,nan'cao
南岛青冈,nan'dao'qing'gang
南方碱蓬,nan'fang'jian'peng
南方菟丝子,nan'fang'tu'si'zi
南方虾脊兰,nan'fang'xia'ji'lan
南华杜鹃,nan'hua'du'juan
南岭檀,nan'ling'tan
南岭柞木,nan'ling'zuo'mu
南山藤,nan'shan'teng
南蛇捧,nan'she'peng
南酸枣,nan'suan'zao
楠藤,nan'teng
南投谷精草,nan'tou'gu'jing'cao
南亚柏拉木,nan'ya'bai'la'mu
南亚稷,nan'ya'ji
南亚松,nan'ya'song
南眼子菜,nan'yan'zi'cai
南烛,nan'zhu
囊瓣木,nang'ban'mu
囊萼柿,nang'e'shi
囊舌兰,nang'she'lan
囊颖草,nang'ying'cao
拟艾纳香,ni'ai'na'xiang
尼泊尔鼠李,ni'bo'er'shu'li
拟杜茎山,ni'du'jing'shan
泥胡莱,ni'hu'lai
泥花草,ni'hua'cao
拟兰,ni'lan
匿芒荩草,ni'mang'jin'cao
拟毛毡草,ni'mao'zhan'cao
拟密花树,ni'mi'hua'shu
拟榕叶冬青,ni'rong'ye'dong'qing
泥藤,ni'teng
拟虾须莪白兰,ni'xia'xu'e'bai'lan
拟蚬壳花椒,ni'xian'ke'hua'jiao
坭竹,ni'zhu
念珠藤,nian'zhu'teng
鸟喙斑叶兰,niao'hui'ban'ye'lan
鸟柿,niao'shi
牛齿兰,niu'chi'lan
牛大力,niu'da'li
扭肚藤,niu'du'teng
牛轭草,niu'e'cao
牛耳枫,niu'er'feng
牛繁缕,niu'fan'lv
牛角瓜,niu'jiao'gua
牛筋草,niu'jin'cao
牛筋果,niu'jin'guo
牛筋藤,niu'jin'teng
牛纠吴萸,niu'jiu'wu'yu
纽马果,niu'ma'guo
牛茄子颠茄,niu'qie'zi'dian'qie
纽榕,niu'rong
牛虱草,niu'shi'cao
牛矢果,niu'shi'guo
牛栓藤,niu'shuan'teng
牛蹄麻,niu'ti'ma
牛尾菜,niu'wei'cai
牛膝,niu'xi
牛眼马钱,niu'yan'ma'qian
钮子瓜,niu'zi'gua
纽子花,niu'zi'hua
浓子屎莉,nong'zi'shi'li
糯米团,nuo'mi'tuan
排钱草,pai'qian'cao
盘苞牵牛,pan'bao'qian'niu
攀茎钩藤,pan'jing'gou'teng
攀援臭黄荆,pan'yuan'chou'huang'jing
泡果苘,pao'guo'qing
泡叶龙船花,pao'ye'long'chuan'hua
佩兰,pei'lan
盆架树,pen'jia'shu
蓬莱竹,peng'lai'zhu
蟛蜞菊,peng'qi'ju
霹雳苔草,pi'li'tai'cao
枇杷叶山龙眼,pi'pa'ye'shan'long'yan
披针穗飘拂草,pi'zhen'sui'piao'fu'cao
披针叶山矾,pi'zhen'ye'shan'fan
披针叶小牵牛,pi'zhen'ye'xiao'qian'niu
披针叶紫珠,pi'zhen'ye'zi'zhu
偏花斑叶兰,pian'hua'ban'ye'lan
偏花黄芩,pian'hua'huang'qin
偏脉耳草,pian'mai'er'cao
偏穗姜,pian'sui'jiang
偏斜囊舌兰,pian'xie'nang'she'lan
平滑弓果藤,ping'hua'gong'guo'teng
瓶花木,ping'hua'mu
瓶头菊,ping'tou'ju
平叶密花树,ping'ye'mi'hua'shu
破布木,po'bu'mu
破布叶,po'bu'ye
坡垒,po'lei
坡柳,po'liu
坡油甘,po'you'gan
蒲草,pu'cao
铺地蝙蝠草,pu'di'bian'fu'cao
铺地草,pu'di'cao
匍匐滨藜,pu'fu'bin'li
匍匐九节,pu'fu'jiu'jie
匍匐苦荬菜,pu'fu'ku'mai'cai
匍匐柳叶籍,pu'fu'liu'ye'ji
匍匐石龙尾,pu'fu'shi'long'wei
葡蟠,pu'pan
匍生石豆兰,pu'sheng'shi'dou'lan
朴树,pu'shu
蒲桃,pu'tao
起缄飘拂草,qi'jian'piao'fu'cao
七里明,qi'li'ming
麒麟叶,qi'lin'ye
畦畔莎草,qi'pan'suo'cao
歧伞花,qi'san'hua
齐头绒,qi'tou'rong
七星莲,qi'xing'lian
桤叶黄花稔,qi'ye'huang'hua'ren
七爪龙,qi'zhao'long
茜草,qian'cao
嵌果胡椒,qian'guo'hu'jiao
千解草,qian'jie'cao
千金子,qian'jin'zi
千里光,qian'li'guang
千里香,qian'li'xiang
浅裂锈毛莓,qian'lie'xiu'mao'mei
千年健,qian'nian'jian
牵牛,qian'niu
千头艾纳香,qian'tou'ai'na'xiang
枪刀药,qiang'dao'yao
鞘苞花,qiao'bao'hua
鞘花,qiao'hua
荞麦,qiao'mai
乔木卫矛,qiao'mu'wei'mao
伽蓝菜,qie'lan'cai
茄叶斑鸠菊,qie'ye'ban'jiu'ju
琴叶榕,qin'ye'rong
亲种线柱兰,qin'zhong'xian'zhu'lan
青茶柿,qing'cha'shi
青果榕,qing'guo'rong
青花苋,qing'hua'xian
清江腾,qing'jiang'teng
青绿苔草,qing'lv'tai'cao
苘麻叶扁担杆,qing'ma'ye'bian'dan'gan
青梅,qing'mei
青藤公,qing'teng'gong
青葙,qing'xiang
青香茅,qing'xiang'mao
清香藤,qing'xiang'teng
青杨梅,qing'yang'mei
青叶苎麻,qing'ye'zhu'ma
青枣垓果木,qing'zao'gai'guo'mu
琼刺榄,qiong'ci'lan
琼岛染木树,qiong'dao'ran'mu'shu
琼岛柿,qiong'dao'shi
琼岛岩黄树,qiong'dao'yan'huang'shu
琼岛杨,qiong'dao'yang
琼岛羊蹄甲,qiong'dao'yang'ti'jia
琼岛沼兰,qiong'dao'zhao'lan
琼豆,qiong'dou
琼桂润楠,qiong'gui'run'nan
琼海叉柱花,qiong'hai'cha'zhu'hua
琼海苎,qiong'hai'zhu
琼榄,qiong'lan
琼梅,qiong'mei
琼楠,qiong'nan
琼南地锦,qiong'nan'di'jin
琼南木姜子,qiong'nan'mu'jiang'zi
琼南柿,qiong'nan'shi
琼崖粗叶木,qiong'ya'cu'ye'mu
琼崖柯,qiong'ya'ke
琼崖蛇根草,qiong'ya'she'gen'cao
琼中柯,qiong'zhong'ke
琼中山矾,qiong'zhong'shan'fan
琼中杨桐,qiong'zhong'yang'tong
琼子楝树,qiong'zi'lian'shu
琼紫叶,qiong'zi'ye
球花毛麝香,qiu'hua'mao'she'xiang
球花牛奶菜,qiu'hua'niu'nai'cai
秋花洼皮冬青,qiu'hua'wa'pi'dong'qing
球兰,qiu'lan
求米草,qiu'mi'cao
秋茄树,qiu'qie'shu
秋鼠趜草,qiu'shu'ju'cao
球穗扁莎,qiu'sui'bian'sha
球穗干斤拨,qiu'sui'gan'jin'bo
球穗飘拂草,qiu'sui'piao'fu'cao
球枣,qiu'zao
球柱草,qiu'zhu'cao
曲江远志,qu'jiang'yuan'zhi
苣荬菜,qu'mai'cai
曲毛母草,qu'mao'mu'cao
曲枝槌果藤,qu'zhi'chui'guo'teng
曲枝假蓝,qu'zhi'jia'lan
曲柱胡颓子,qu'zhu'hu'tui'zi
曲籽芋,qu'zi'yu
全叶猴欢喜,quan'ye'hou'huan'xi
全叶树火麻,quan'ye'shu'huo'ma
全缘冷水花,quan'yuan'leng'shui'hua
