爱的升华,ai'de'sheng'hua
全家光荣,quan'jia'guang'rong
劝郎别耍钱,quan'lang'bie'shua'qian
劝婆打碗,quan'po'da'wan
全省第三届龙江剧,quan'sheng'di'san'jie'long'jiang'ju
全省二人转调演活动评比,quan'sheng'er'ren'zhuan'diao'yan'huo'dong'ping'bi
群唱,qun'chang
群舞,qun'wu
然国廉,ran'guo'lian
冉红艺术团,ran'hong'yi'shu'tuan
染黄泉,ran'huang'quan
让爱重来,rang'ai'chong'lai
让大庆的天空更灿烂,rang'da'qing'de'tian'kong'geng'can'lan
让二人转艺术健康发展,rang'er'ren'zhuan'yi'shu'jian'kang'fa'zhan
让炕头,rang'kang'tou
让区,rang'qu
让区红星剧场,rang'qu'hong'xing'ju'chang
绕腕,rao'wan
惹祸端,re'huo'duan
热客回头,re'ke'hui'tou
热气腾腾,re'qi'teng'teng
热心肠,re'xin'chang
任长友,ren'chang'you
人老心红,ren'lao'xin'hong
人类的朋友,ren'lei'de'peng'you
人民大桥,ren'min'da'qiao
人民的好车站,ren'min'de'hao'che'zhan
认牛,ren'niu
人生悲欢离与合,ren'sheng'bei'huan'li'yu'he
人头告状,ren'tou'gao'zhuang
任我行,ren'wo'xing
人物戏,ren'wu'xi
任艳双,ren'yan'shuang
人一个,ren'yi'ge
人缘配,ren'yuan'pei
日落山,ri'luo'shan
日落西山,ri'luo'xi'shan
荣获编剧一等奖,rong'huo'bian'ju'yi'deng'jiang
荣获表演一等奖,rong'huo'biao'yan'yi'deng'jiang
荣获过,rong'huo'guo
荣获黑龙江省文化厅,rong'huo'hei'long'jiang'sheng'wen'hua'ting
入梦乡,ru'meng'xiang
如墨染,ru'mo'ran
如山倒,ru'shan'dao
入围奖,ru'wei'jiang
乳汁喂婆,ru'zhi'wei'po
软又酸,ruan'you'suan
软又暄,ruan'you'xuan
萨大路青年演员,sa'da'lu'qing'nian'yan'yuan
洒金扇,sa'jin'shan
塞挂,sai'gua
赛天仙,sai'tian'xian
散板,san'ban
三辈人,san'bei'ren
三不格,san'bu'ge
三场舞,san'chang'wu
三尺柜台,san'chi'gui'tai
三打白骨精,san'da'bai'gu'jing
三打赌,san'da'du
三打苏二姐,san'da'su'er'jie
三到刘家,san'dao'liu'jia
三等奖,san'deng'jiang
三调芭蕉扇,san'diao'ba'jiao'shan
三对梨花枪,san'dui'li'hua'qiang
三顾茅芦,san'gu'mao'lu
三关认夫,san'guan'ren'fu
三国曲子,san'guo'qu'zi
三国五更,san'guo'wu'geng
散花乐,san'hua'le
散花乐,san'hua'yue
三击掌,san'ji'zhang
三家喜,san'jia'xi
三加一,san'jia'yi
三荐曹参,san'jian'cao'can
三件废品,san'jian'fei'pin
三节板,san'jie'ban
三节烈,san'jie'lie
三看光荣榜,san'kan'guang'rong'bang
三品官,san'pin'guan
三品卿,san'pin'qing
三请樊梨花,san'qing'fan'li'hua
三让红旗,san'rang'hong'qi
三三见九,san'san'jian'jiu
三送鸡,san'song'ji
三太子,san'tai'zi
三贤,san'xian
三小戏,san'xiao'xi
三星归天,san'xing'gui'tian
三遇文化岗,san'yu'wen'hua'gang
三张彩礼单,san'zhang'cai'li'dan
三只鸡,san'zhi'ji
丧残生,sang'can'sheng
丧天良,sang'tian'liang
僧尼会,seng'ni'hui
杀不的,sha'bu'de
纱窗外,sha'chuang'wai
傻大哥,sha'da'ge
傻大嫂放牛,sha'da'sao'fang'niu
杀狗,sha'gou
杀家,sha'jia
杀江,sha'jiang
沙金扇,sha'jin'shan
杀楼,sha'lou
傻妹,sha'mei
杀庙,sha'miao
杀庙打杠子,sha'miao'da'gang'zi
傻相公,sha'xiang'gong
啥原因,sha'yuan'yin
傻柱子接媳妇,sha'zhu'zi'jie'xi'fu
杀子报,sha'zi'bao
傻子上学,sha'zi'shang'xue
傻子相亲,sha'zi'xiang'qin
闪板,shan'ban
山东快书,shan'dong'kuai'shu
单戈,shan'ge
扇抛绢,shan'pao'juan
单奇,shan'qi
扇托绢,shan'tuo'juan
山杏,shan'xing
单学民,shan'xue'min
单学民二人转选,shan'xue'min'er'ren'zhuan'xuan
单学民曲艺选,shan'xue'min'qu'yi'xuan
扇子相,shan'zi'xiang
上保险,shang'bao'xian
上北楼,shang'bei'lou
上场,shang'chang
上公堂,shang'gong'tang
尚广田,shang'guang'tian
上金銮,shang'jin'luan
上口,shang'kou
上了路,shang'le'lu
商丽娟,shang'li'juan
上梁那天,shang'liang'na'tian
上梁山,shang'liang'shan
上楼房,shang'lou'fang
上抛绢,shang'pao'juan
上腿相,shang'tui'xiang
上无,shang'wu
上下句曲体结构,shang'xia'ju'qu'ti'jie'gou
上下片花,shang'xia'pian'hua
上下绕花,shang'xia'rao'hua
上写,shang'xie
上一联,shang'yi'lian
上有,shang'you
尚玉凯,shang'yu'kai
上装,shang'zhuang
烧个光,shao'ge'guang
邵贵良,shao'gui'liang
少金银,shao'jin'yin
邵军,shao'jun
捎书,shao'shu
佘太君,she'tai'jun
佘太君辞朝,she'tai'jun'ci'chao
摄协,she'xie
舌战群儒,she'zhan'qun'ru
佘致迪,she'zhi'di
身穿孝,shen'chuan'xiao
身段,shen'duan
身发抖,shen'fa'dou
沈冠军,shen'guan'jun
沈洪波,shen'hong'bo
审猫,shen'mao
身贫贱,shen'pin'jian
深山红花,shen'shan'hong'hua
身上穿,shen'shang'chuan
审问青羊,shen'wen'qing'yang
沈阳春花剧场,shen'yang'chun'hua'ju'chang
沈阳大舞台,shen'yang'da'wu'tai
沈阳二人转,shen'yang'er'ren'zhuan
沈阳曲艺厅,shen'yang'qu'yi'ting
沈阳曲艺团地方戏队,shen'yang'qu'yi'tuan'di'fang'xi'dui
沈阳市二人转研究组,shen'yang'shi'er'ren'zhuan'yan'jiu'zu
沈阳市刘老根大剧场,shen'yang'shi'liu'lao'gen'da'ju'chang
沈阳市群众地方戏剧团,shen'yang'shi'qun'zhong'di'fang'xi'ju'tuan
沈阳市四海升平茶社,shen'yang'shi'si'hai'sheng'ping'cha'she
沈阳市四台子,shen'yang'shi'si'tai'zi
沈阳市新新地方戏剧团,shen'yang'shi'xin'xin'di'fang'xi'ju'tuan
沈阳市艺新地方戏剧团,shen'yang'shi'yi'xin'di'fang'xi'ju'tuan
审一番,shen'yi'fan
生财有道,sheng'cai'you'dao
省地方戏学会理事,sheng'di'fang'xi'xue'hui'li'shi
昇华,sheng'hua
省剧协理事,sheng'ju'xie'li'shi
生来具有表演天赋,sheng'lai'ju'you'biao'yan'tian'fu
升了天,sheng'le'tian
省龙江剧院,sheng'long'jiang'ju'yuan
省龙江剧院艺校,sheng'long'jiang'ju'yuan'yi'xiao
省龙江剧院肇源分院副院长,sheng'long'jiang'ju'yuan'zhao'yuan'fen'yuan'fu'yuan'zhang
生巧计,sheng'qiao'ji
省曲协换届选举,sheng'qu'xie'huan'jie'xuan'ju
省曲协会会员,sheng'qu'xie'hui'hui'yuan
省曲协会员,sheng'qu'xie'hui'yuan
省曲协理事,sheng'qu'xie'li'shi
声声长,sheng'sheng'chang
生死板,sheng'si'ban
生死药,sheng'si'yao
省戏剧创作中心签约作家,sheng'xi'ju'chuang'zuo'zhong'xin'qian'yue'zuo'jia
生一计,sheng'yi'ji
省以上一等奖,sheng'yi'shang'yi'deng'jiang
省艺校,sheng'yi'xiao
省艺校招生办,sheng'yi'xiao'zhao'sheng'ban
声乐教授,sheng'yue'jiao'shou
省作协办公室,sheng'zuo'xie'ban'gong'shi
十爱调,shi'ai'diao
十八里相送,shi'ba'li'xiang'song
十八摸,shi'ba'mo
事不好,shi'bu'hao
十补母重恩,shi'bu'mu'chong'en
十不闲,shi'bu'xian
史春德,shi'chun'de
十大名妓,shi'da'ming'ji
十大想,shi'da'xiang
是当代大师,shi'dang'dai'da'shi
市地方戏艺术家协会理事,shi'di'fang'xi'yi'shu'jia'xie'hui'li'shi
市地方戏艺术家协会主席,shi'di'fang'xi'yi'shu'jia'xie'hui'zhu'xi
十对花,shi'dui'hua
十二月打官司,shi'er'yue'da'guan'si
十二月倒花,shi'er'yue'dao'hua
市歌舞话剧院艺术室副主任,shi'ge'wu'hua'ju'yuan'yi'shu'shi'fu'zhu'ren
市歌舞剧院办公室,shi'ge'wu'ju'yuan'ban'gong'shi
市歌舞剧院曲艺演员,shi'ge'wu'ju'yuan'qu'yi'yan'yuan
市歌舞剧院演员,shi'ge'wu'ju'yuan'yan'yuan
石桂琴,shi'gui'qin
史国华,shi'guo'hua
史家庄,shi'jia'zhuang
世间俗事,shi'jian'su'shi
石匠做碑,shi'jiang'zuo'bei
世界名人录,shi'jie'ming'ren'lu
史连元,shi'lian'yuan
十两银,shi'liang'yin
十六愁,shi'liu'chou
试论戏曲音乐发展的特征,shi'lun'xi'qu'yin'yue'fa'zhan'de'te'zheng
十美图放风筝,shi'mei'tu'fang'feng'zheng
实难言,shi'nan'yan
十娘,shi'niang
十女夸夫,shi'nv'kua'fu
时佩远,shi'pei'yuan
矢齐庙,shi'qi'miao
实情话,shi'qing'hua
市曲协,shi'qu'xie
市曲协换届选举,shi'qu'xie'huan'jie'xuan'ju
市曲协驻会文档,shi'qu'xie'zhu'hui'wen'dang
十三道大辙,shi'san'dao'da'zhe
十三咳,shi'san'ke
市文化局文化产业科,shi'wen'hua'ju'wen'hua'chan'ye'ke
市文联,shi'wen'lian
十问十答,shi'wen'shi'da
市戏协,shi'xi'xie
是贤良,shi'xian'liang
施一礼,shi'yi'li
是一名不可多得人才,shi'yi'ming'bu'ke'duo'de'ren'cai
湿衣衫,shi'yi'shan
湿衣裳,shi'yi'shang
事一宗,shi'yi'zong
市迎春杯共赞助人民币,shi'ying'chun'bei'gong'zan'zhu'ren'min'bi
拾婴记,shi'ying'ji
石玉玺,shi'yu'xi
拾玉镯,shi'yu'zhuo
十月春风传喜讯,shi'yue'chun'feng'chuan'xi'xun
十字板,shi'zi'ban
十字步,shi'zi'bu
十字坡,shi'zi'po
十字绕花,shi'zi'rao'hua
市作协,shi'zuo'xie
受孤单,shou'gu'dan
收获时节,shou'huo'shi'jie
首届二人转,shou'jie'er'ren'zhuan
首届会员代表大会上,shou'jie'hui'yuan'dai'biao'da'hui'shang
手绢,shou'juan
手绢相,shou'juan'xiang
守了寡,shou'le'gua
受贫寒,shou'pin'han
受贫穷,shou'pin'qiong
收税,shou'shui
手眼身法步,shou'yan'shen'fa'bu
手玉子,shou'yu'zi
手玉子演奏技巧,shou'yu'zi'yan'zou'ji'qiao
兽中王,shou'zhong'wang
书记搬家,shu'ji'ban'jia
书记盖房,shu'ji'gai'fang
书记嫁女,shu'ji'jia'nv
数来宝,shu'lai'bao
舒兰县地方戏队,shu'lan'xian'di'fang'xi'dui
书帽,shu'mao
属猫的耗子,shu'mao'de'hao'zi
书囊计,shu'nang'ji
叔嫂情,shu'sao'qing
鼠头鼠脑,shu'tou'shu'nao
鼠眼睛,shu'yan'jing
耍大钱,shua'da'qian
耍滑腔,shua'hua'qiang
耍花腔,shua'hua'qiang
耍钱五更,shua'qian'wu'geng
刷刷点点,shua'shua'dian'dian
刷桶孝母,shua'tong'xiao'mu
摔斗,shuai'dou
摔盆,shuai'pen
甩腔,shuai'qiang
摔三弦,shuai'san'xian
甩腕,shuai'wan
摔鱼缸,shuai'yu'gang
甩子,shuai'zi
摔子劝夫,shuai'zi'quan'fu
拴娃娃,shuan'wa'wa
双拜年,shuang'bai'nian
双背凳,shuang'bei'deng
双比武,shuang'bi'wu
双插花,shuang'cha'hua
双拆庙,shuang'chai'miao
双城市志,shuang'cheng'shi'zhi
双城县民间艺术团,shuang'cheng'xian'min'jian'yi'shu'tuan
双城县文艺汇演,shuang'cheng'xian'wen'yi'hui'yan
双戴花,shuang'dai'hua
双调,shuang'diao
双顶灯,shuang'ding'deng
双顶扭,shuang'ding'niu
双拐,shuang'guai
双官诰,shuang'guan'gao
双过顶,shuang'guo'ding
双簧,shuang'huang
双回头,shuang'hui'tou
双交换,shuang'jiao'huan
双进城,shuang'jin'cheng
双看戏,shuang'kan'xi
双叩门,shuang'kou'men
双挎耳,shuang'kua'er
双立志,shuang'li'zhi
双卖画,shuang'mai'hua
双怕妻,shuang'pa'qi
双抛板,shuang'pao'ban
双配合,shuang'pei'he
双赔鸡,shuang'pei'ji
双人登高板,shuang'ren'deng'gao'ban
双人高低板,shuang'ren'gao'di'ban
双人交叉板,shuang'ren'jiao'cha'ban
双人交换板,shuang'ren'jiao'huan'ban
双人前后板,shuang'ren'qian'hou'ban
双人望远板,shuang'ren'wang'yuan'ban
双人戏,shuang'ren'xi
双人转身板,shuang'ren'zhuan'shen'ban
双十比,shuang'shi'bi
双手交递板,shuang'shou'jiao'di'ban
双思五更,shuang'si'wu'geng
双送礼,shuang'song'li
双锁山,shuang'suo'shan
双秃闹房,shuang'tu'nao'fang
双玩艺儿,shuang'wan'yi'er
双下山,shuang'xia'shan
双贤图,shuang'xian'tu
双鸭山市戏工室,shuang'ya'shan'shi'xi'gong'shi
谁不知,shui'bu'zhi
谁当,shui'dang
水浒曲子,shui'hu'qu'zi
水牢记,shui'lao'ji
水灵灵,shui'ling'ling
水漫蓝桥,shui'man'lan'qiao
水淹金山,shui'yan'jin'shan
顺摆柳,shun'bai'liu
顺拉扇,shun'la'shan
顺抛玉子,shun'pao'yu'zi
说罢,shuo'ba
说大户,shuo'da'hu
说爹,shuo'die
说分明,shuo'fen'ming
说个清,shuo'ge'qing
说口,shuo'kou
说石油,shuo'shi'you
说戏论艺,shuo'xi'lun'yi
说肇源,shuo'zhao'yuan
四大劝,si'da'quan
死得惨,si'de'can
四季花鸟虫子名,si'ji'hua'niao'chong'zi'ming
四梁八柱,si'liang'ba'zhu
四梁四柱的唱,si'liang'si'zhu'de'chang
似流水,si'liu'shui
四楼四游,si'lou'si'you
四路,si'lu
丝露花雨,si'lu'hua'yu
丝露花雨大戏院,si'lu'hua'yu'da'xi'yuan
四品官,si'pin'guan
四品卿,si'pin'qing
四平市民间艺术团,si'ping'shi'min'jian'yi'shu'tuan
四平市演员,si'ping'shi'yan'yuan
丝绒记,si'rong'ji
四十开外,si'shi'kai'wai
思五更,si'wu'geng
四喜,si'xi
四喜临门,si'xi'lin'men
送别,song'bie
宋长贵,song'chang'gui
宋长青,song'chang'qing
宋朝忠臣,song'chao'zhong'chen
宋丹丹,song'dan'dan
宋恩珍,song'en'zhen
送二目,song'er'mu
送饭,song'fan
宋富,song'fu
送孩子,song'hai'zi
宋宏伟,song'hong'wei
送鸡还鸡,song'ji'huan'ji
宋江发配,song'jiang'fa'pei
送金秋,song'jin'qiu
宋奎伟,song'kui'wei
送郎参军,song'lang'can'jun
松了绑,song'le'bang
送礼,song'li
宋连贵,song'lian'gui
松辽艺话,song'liao'yi'hua
送女归校,song'nv'gui'xiao
送情郎,song'qing'lang
送情书,song'qing'shu
宋室,song'shi
宋铁君,song'tie'jun
宋秃子,song'tu'zi
宋万山,song'wan'shan
宋小凤,song'xiao'feng
宋晓凤,song'xiao'feng
送鞋,song'xie
送一程,song'yi'cheng
宋友,song'you
宋治国,song'zhi'guo
送子劝夫,song'zi'quan'fu
苏代赔妹,su'dai'pei'mei
苏凤林,su'feng'lin
苏家滨,su'jia'bin
苏景春,su'jing'chun
素秦背剑,su'qin'bei'jian
诉情肠,su'qing'chang
苏廷元搬家,su'ting'yuan'ban'jia
苏文芳,su'wen'fang
苏武牧羊,su'wu'mu'yang
苏晓燕,su'xiao'yan
苏彦云,su'yan'yun
诉冤枉,su'yuan'wang
算白扔,suan'bai'reng
酸甜泪,suan'tian'lei
碎步,sui'bu
随成雁,sui'cheng'yan
隋国钧,sui'guo'jun
隋书今,sui'shu'jin
隋玉涛,sui'yu'tao
岁月礼赞,sui'yue'li'zan
碎嘴子,sui'zui'zi
孙宝琛,sun'bao'chen
孙膑思家,sun'bin'si'jia
孙朝成,sun'chao'cheng
孙二娘开店,sun'er'niang'kai'dian
孙芳,sun'fang
孙凤仪,sun'feng'yi
孙富,sun'fu
孙戈,sun'ge
孙国华,sun'guo'hua
孙继昂,sun'ji'ang
孙纪皋卖水,sun'ji'gao'mai'shui
孙晶,sun'jing
孙静波,sun'jing'bo
孙军,sun'jun
孙丽蓉,sun'li'rong
孙秘君,sun'mi'jun
孙敏,sun'min
孙庆林,sun'qing'lin
孙荣欣,sun'rong'xin
孙世杰,sun'shi'jie
孙士学,sun'shi'xue
孙淑梅,sun'shu'mei
孙天彪,sun'tian'biao
孙天喜,sun'tian'xi
孙铁石,sun'tie'shi
孙维中,sun'wei'zhong
孙文学,sun'wen'xue
孙武子演兵,sun'wu'zi'yan'bing
孙小宝,sun'xiao'bao
孙晓东,sun'xiao'dong
孙晓丽,sun'xiao'li
孙小明,sun'xiao'ming
孙晓燕,sun'xiao'yan
孙艳芳,sun'yan'fang
孙占山,sun'zhan'shan
孙振海,sun'zhen'hai
孙中文,sun'zhong'wen
锁板,suo'ban
梭罗彦查关,suo'luo'yan'cha'guan
他不晓,ta'bu'xiao
她不晓,ta'bu'xiao
他几次在,ta'ji'ci'zai
她几次在,ta'ji'ci'zai
她天生丽质,ta'tian'sheng'li'zhi
她在全县各选派学戏,ta'zai'quan'xian'ge'xuan'pai'xue'xi
她在鲜花与掌声中,ta'zai'xian'hua'yu'zhang'sheng'zhong
太公钓鱼,tai'gong'diao'yu
太公卖面,tai'gong'mai'mian
太绝情,tai'jue'qing
太平鼓,tai'ping'gu
太阳红,tai'yang'hong
台缘,tai'yuan
太子藏舟,tai'zi'cang'zhou
谭博,tan'bo
贪财丧命,tan'cai'sang'ming
谈东北二人转的艺术特点,tan'dong'bei'er'ren'zhuan'de'yi'shu'te'dian
谭吉龙,tan'ji'long
探妹,tan'mei
探情郎,tan'qing'lang
叹青楼,tan'qing'lou
探清水河,tan'qing'shui'he
探晴雯,tan'qing'wen
探书房,tan'shu'fang
谭香哭瓜,tan'xiang'ku'gua
谭香哭瓜调,tan'xiang'ku'gua'diao
谭香女哭瓜,tan'xiang'nv'ku'gua
叹烟花,tan'yan'hua
探窑,tan'yao
唐朝忠臣,tang'chao'zhong'chen
唐二主探病,tang'er'zhu'tan'bing
淌哈喇子,tang'ha'la'zi
唐鉴军,tang'jian'jun
唐鉴君,tang'jian'jun
唐金蕊,tang'jin'rui
唐维,tang'wei
唐亚厚,tang'ya'hou
唐营送枕,tang'ying'song'zhen
唐元峰,tang'yuan'feng
唐昭,tang'zhao
洮安县民间艺术团,tao'an'xian'min'jian'yi'shu'tuan
掏板,tao'ban
掏灯花,tao'deng'hua
讨封,tao'feng
逃荒歌,tao'huang'ge
掏灰耙耙,tao'hui'ba'ba
讨荆州,tao'jing'zhou
逃了跑,tao'le'pao
陶然,tao'ran
桃源大戏院,tao'yuan'da'xi'yuan
桃园结义,tao'yuan'jie'yi
套子口,tao'zi'kou
特木热,te'mu're
特殊的生日,te'shu'de'sheng'ri
特殊订婚礼,te'shu'ding'hun'li
腾堃,teng'kun
疼死个人,teng'si'ge'ren
提袄领,ti'ao'ling
体格强,ti'ge'qiang
提肩,ti'jian
踢绢,ti'juan
提鞋,ti'xie
天波府,tian'bo'fu
天地拜,tian'di'bai
田福香,tian'fu'xiang
天阁楼,tian'ge'lou
天公报,tian'gong'bao
天河配,tian'he'pei
天降馅饼,tian'jiang'xian'bing
田军,tian'jun
天门阵,tian'men'zhen
天平,tian'ping
天平会,tian'ping'hui
天齐庙,tian'qi'miao
天台山封神,tian'tai'shan'feng'shen
田娃,tian'wa
天缘配,tian'yuan'pei
天注定,tian'zhu'ding
田子复,tian'zi'fu
跳步,tiao'bu
跳出跳入,tiao'chu'tiao'ru
跳出跳入分包赶角,tiao'chu'tiao'ru'fen'bao'gan'jiao
挑对象,tiao'dui'xiang
挑女婿,tiao'nv'xu
跳猪圈,tiao'zhu'quan
铁佛寺,tie'fo'si
铁弓缘,tie'gong'yuan
铁冠图,tie'guan'tu
铁岭市民间艺术团,tie'ling'shi'min'jian'yi'shu'tuan
铁岭县剧团,tie'ling'xian'ju'tuan
铁西庆海剧场,tie'xi'qing'hai'ju'chang
铁西正大剧场,tie'xi'zheng'da'ju'chang
贴写,tie'xie
听其详,ting'qi'xiang
听琴,ting'qin
听我讲,ting'wo'jiang
听衷肠,ting'zhong'chang
听周全,ting'zhou'quan
佟长江,tong'chang'jiang
同船渡,tong'chuan'du
佟德峰,tong'de'feng
同行,tong'hang
痛心肝,tong'xin'gan
偷梁换柱,tou'liang'huan'zhu
头码,tou'ma
头脑匣子,tou'nao'xia'zi
头前走,tou'qian'zou
头雁高飞,tou'yan'gao'fei
头一名,tou'yi'ming
土埃尘,tu'ai'chen
徒儿叫,tu'er'jiao
吐狂言,tu'kuang'yan
土山被困,tu'shan'bei'kun
团县委委员,tuan'xian'wei'wei'yuan
团圆记,tuan'yuan'ji
推车,tui'che
推扭抽,tui'niu'chou
推腕,tui'wan
托绢,tuo'juan
托腔,tuo'qiang
托手心,tuo'shou'xin
托腕,tuo'wan
瓦窑,wa'yao
外掰鸡,wai'bai'ji
外翻花,wai'fan'hua
外挎虎,wai'kua'hu
外抛扇,wai'pao'shan
外片花,wai'pian'hua
外绕花,wai'rao'hua
外上甩花,wai'shang'shuai'hua
外下甩花,wai'xia'shuai'hua
万般出在无计奈,wan'ban'chu'zai'wu'ji'nai
万宝,wan'bao
万不能,wan'bu'neng
万古留,wan'gu'liu
万红梅,wan'hong'mei
万两银,wan'liang'yin
万人体育场,wan'ren'ti'yu'chang
万兴,wan'xing
玩艺儿,wan'yi'er
王宝斌,wang'bao'bin
王宝钏,wang'bao'chuan
王宾奎,wang'bin'kui
王宾生,wang'bin'sheng
王波,wang'bo
王彻,wang'che
王彻曲艺选,wang'che'qu'yi'xuan
王城林,wang'cheng'lin
王崇堂,wang'chong'tang
王崇胤,wang'chong'yin
王春,wang'chun
王春华,wang'chun'hua
王春伟,wang'chun'wei
王存良,wang'cun'liang
王登云休妻,wang'deng'yun'xiu'qi
王殿卿,wang'dian'qing
王定保借当,wang'ding'bao'jie'dang
王冬,wang'dong
王二姐思夫,wang'er'jie'si'fu
望儿楼,wang'er'lou
王二嫂出工,wang'er'sao'chu'gong
王二嫂的难处,wang'er'sao'de'nan'chu
王二嫂拥军,wang'er'sao'yong'jun
王发,wang'fa
王凤贤,wang'feng'xian
王福贵,wang'fu'gui
王福库,wang'fu'ku
王冠友,wang'guan'you
王贵明,wang'gui'ming
王桂荣,wang'gui'rong
王浩洁,wang'hao'jie
王鸿达,wang'hong'da
王洪恩,wang'hong'en
王洪军,wang'hong'jun
往后退,wang'hou'tui
王华买父,wang'hua'mai'fu
王辉,wang'hui
王会金,wang'hui'jin
王会义,wang'hui'yi
王吉凤,wang'ji'feng
王家庄,wang'jia'zhuang
王建民,wang'jian'min
王建仁,wang'jian'ren
王建新,wang'jian'xin
王建芸,wang'jian'yun
王姣鸾百年长恨,wang'jiao'luan'bai'nian'chang'hen
王金秋,wang'jin'qiu
王金堂,wang'jin'tang
王劲,wang'jing
王觉民,wang'jue'min
王克豪,wang'ke'hao
王肯,wang'ken
王魁元,wang'kui'yuan
王奎元逃学,wang'kui'yuan'tao'xue
王奎珍,wang'kui'zhen
王乐群,wang'le'qun
王立,wang'li
王笠,wang'li
王立纯,wang'li'chun
王立民,wang'li'min
王立民改编,wang'li'min'gai'bian
汪连军,wang'lian'jun
王连生,wang'lian'sheng
王良君,wang'liang'jun
王美蓉观花,wang'mei'rong'guan'hua
网迷约会,wang'mi'yue'hui
王敏,wang'min
王明富,wang'ming'fu
汪明华,wang'ming'hua
王明山,wang'ming'shan
王鹏程,wang'peng'cheng
王萍,wang'ping
王婆骂鸡,wang'po'ma'ji
王启华,wang'qi'hua
王庆斌,wang'qing'bin
王庆春,wang'qing'chun
王青茹,wang'qing'ru
王清学,wang'qing'xue
王庆义,wang'qing'yi
往上蹿,wang'shang'cuan
王尚仁,wang'shang'ren
王尚生,wang'shang'sheng
王少安赶船,wang'shao'an'gan'chuan
王世光,wang'shi'guang
王世民,wang'shi'min
王淑艳,wang'shu'yan
王淑珍,wang'shu'zhen
王素琴,wang'su'qin
王天保讨饭,wang'tian'bao'tao'fan
王天君,wang'tian'jun
王铁夫,wang'tie'fu
王铁昆,wang'tie'kun
王文成,wang'wen'cheng
王文明,wang'wen'ming
王文山,wang'wen'shan
王五丫,wang'wu'ya
王希安,wang'xi'an
王喜华,wang'xi'hua
往西行,wang'xi'xing
往下看,wang'xia'kan
王显波,wang'xian'bo
王祥卧鱼,wang'xiang'wo'yu
王小宝,wang'xiao'bao
王晓东,wang'xiao'dong
王肖刚,wang'xiao'gang
王晓海,wang'xiao'hai
王晓红,wang'xiao'hong
王小华,wang'xiao'hua
王小力,wang'xiao'li
王笑梅,wang'xiao'mei
王晓明,wang'xiao'ming
王昕迪,wang'xin'di
王秀芬,wang'xiu'fen
王秀林,wang'xiu'lin
王秀清,wang'xiu'qing
王岩,wang'yan
王艳春,wang'yan'chun
王艳辉,wang'yan'hui
王延忠,wang'yan'zhong
王尧,wang'yao
王义,wang'yi
王英南,wang'ying'nan
王友,wang'you
王友惠,wang'you'hui
王育才,wang'yu'cai
王玉臣,wang'yu'chen
王玉兰,wang'yu'lan
王玉青,wang'yu'qing
王媛平,wang'yuan'ping
王员外休妻,wang'yuan'wai'xiu'qi
王悦恒,wang'yue'heng
王云鹏,wang'yun'peng
王允治,wang'yun'zhi
汪宅,wang'zhai
王兆一,wang'zhao'yi
王哲,wang'zhe
王正阳,wang'zheng'yang
王志,wang'zhi
王志军,wang'zhi'jun
王智君,wang'zhi'jun
王智生,wang'zhi'sheng
王忠海,wang'zhong'hai
王忠环,wang'zhong'huan
王忠清,wang'zhong'qing
王忠堂,wang'zhong'tang
王忠兴,wang'zhong'xing
王忠瑜,wang'zhong'yu
王子,wang'zi
王作龙,wang'zuo'long
为何故,wei'he'gu
为何情,wei'he'qing
魏家茶馆,wei'jia'cha'guan
伪君子,wei'jun'zi
为了难,wei'le'nan
为民物业,wei'min'wu'ye
为哪般,wei'na'ban
魏三,wei'san
魏希达,wei'xi'da
魏兴国,wei'xing'guo
魏艳丽,wei'yan'li
为一段,wei'yi'duan
威震石门寨,wei'zhen'shi'men'zhai
问安宁,wen'an'ning
问苍天,wen'cang'tian
文档驻会,wen'dang'zhu'hui
文嗨嗨,wen'hai'hai
文化导刊,wen'hua'dao'kan
文化宫大剧院,wen'hua'gong'da'ju'yuan
文君夜奔,wen'jun'ye'ben
闻雷守孝,wen'lei'shou'xiao
温美玲,wen'mei'ling
文明口,wen'ming'kou
文明落套,wen'ming'luo'tao
问我,wen'wo
文武兵,wen'wu'bing
文武场,wen'wu'chang
文武臣,wen'wu'chen
温远,wen'yuan
温占林,wen'zhan'lin
问斩刑,wen'zhan'xing
翁景贵,weng'jing'gui
我不帮,wo'bu'bang
我不容,wo'bu'rong
我不受,wo'bu'shou
我不贪,wo'bu'tan
我不忘,wo'bu'wang
我父亲,wo'fu'qin
我何不,wo'he'bu
我家门,wo'jia'men
我想起播种的人,wo'xiang'qi'bo'zhong'de'ren
我有气,wo'you'qi
五百冬,wu'bai'dong
吴兵兵,wu'bing'bing
五层殿,wu'ceng'dian
五常,wu'chang
五常市龙滨剧团,wu'chang'shi'long'bin'ju'tuan
武大郎上坟,wu'da'lang'shang'fen
无底洞,wu'di'dong
武殿阁,wu'dian'ge
无爹娘,wu'die'niang
武二郎,wu'er'lang
五分钱,wu'fen'qian
五峰山,wu'feng'shan
五更十三咳,wu'geng'shi'san'ke
舞功,wu'gong
蜈蚣岭,wu'gong'ling
吴光第,wu'guang'di
武嗨嗨,wu'hai'hai
武海军,wu'hai'jun
吴洪星,wu'hong'xing
吴华彪,wu'hua'biao
吴华芹,wu'hua'qin
五花扇,wu'hua'shan
五花腕,wu'hua'wan
吴华喜,wu'hua'xi
