阿基米德巧计,a'ji'mi'de'qiao'ji
无线电通信,wu'xian'dian'tong'xin
无线电通信网,wu'xian'dian'tong'xin'wang
无线电网路,wu'xian'dian'wang'lu
无线电信标,wu'xian'dian'xin'biao
无线电信号,wu'xian'dian'xin'hao
无线电仰动,wu'xian'dian'yang'dong
无线电佯动,wu'xian'dian'yang'dong
无线电员,wu'xian'dian'yuan
无线电侦收,wu'xian'dian'zhen'shou
无线电侦听,wu'xian'dian'zhen'ting
无线电制导,wu'xian'dian'zhi'dao
无线电专向,wu'xian'dian'zhuan'xiang
无线起爆法,wu'xian'qi'bao'fa
无线制导,wu'xian'zhi'dao
无线指挥,wu'xian'zhi'hui
无需再担心,wu'xu'zai'dan'xin
无烟火药,wu'yan'huo'yao
吾以此观之,wu'yi'ci'guan'zhi
无勇功,wu'yong'gong
物用伞,wu'yong'san
伍员,wu'yuan
无源,wu'yuan
无源定位,wu'yuan'ding'wei
无源干扰,wu'yuan'gan'rao
五曰法,wu'yue'fa
误越国境,wu'yue'guo'jing
武藏号,wu'zang'hao
五则攻之,wu'ze'gong'zhi
伍长,wu'zhang
无智名,wu'zhi'ming
五中队,wu'zhong'dui
勿众而轻,wu'zhong'er'qing
武装部队,wu'zhuang'bu'dui
武装斗争,wu'zhuang'dou'zheng
武装警察,wu'zhuang'jing'cha
武装警察部队,wu'zhuang'jing'cha'bu'dui
武装力量,wu'zhuang'li'liang
武装力量动员,wu'zhuang'li'liang'dong'yuan
武装人员,wu'zhuang'ren'yuan
武装侦察,wu'zhuang'zhen'cha
武装直升机,wu'zhuang'zhi'sheng'ji
吴子,wu'zi
物资补给,wu'zi'bu'gei
物资储备,wu'zi'chu'bei
物资供应,wu'zi'gong'ying
物资准备,wu'zi'zhun'bei
五纵,wu'zong
无坐力炮,wu'zuo'li'pao
西阿尔,xi'a'er
西埃斯,xi'ai'si
西安事变,xi'an'shi'bian
西北军区,xi'bei'jun'qu
西北野战军,xi'bei'ye'zhan'jun
希波战争,xi'bo'zhan'zheng
洗车台,xi'che'tai
系船,xi'chuan
系船浮筒,xi'chuan'fu'tong
惜当时虽为,xi'dang'shi'sui'wei
西点军校,xi'dian'jun'xiao
吸毒成瘾人员,xi'du'cheng'yin'ren'yuan
西方盟国,xi'fang'meng'guo
西方面军,xi'fang'mian'jun
西方有,xi'fang'you
西方最早,xi'fang'zui'zao
熄火,xi'huo
袭击捕俘,xi'ji'bu'fu
细菌,xi'jun
细菌战,xi'jun'zhan
昔兰尼加,xi'lan'ni'jia
系列卡宾枪,xi'lie'ka'bin'qiang
系列枪械,xi'lie'qiang'xie
系列手枪套,xi'lie'shou'qiang'tao
系列自动步枪,xi'lie'zi'dong'bu'qiang
系留,xi'liu
系留索,xi'liu'suo
系留桩,xi'liu'zhuang
细麻绳,xi'ma'sheng
西南方面军,xi'nan'fang'mian'jun
西南军区,xi'nan'jun'qu
吸入,xi'ru
西山桥头,xi'shan'qiao'tou
牺牲,xi'sheng
细式,xi'shi
吸食注射毒品,xi'shi'zhu'she'du'pin
吸收材料,xi'shou'cai'liao
吸收剂量,xi'shou'ji'liang
系统,xi'tong
希土战争,xi'tu'zhan'zheng
西西里岛,xi'xi'li'dao
洗消,xi'xiao
洗消分队,xi'xiao'fen'dui
洗消器材,xi'xiao'qi'cai
洗消设备,xi'xiao'she'bei
洗消通过,xi'xiao'tong'guo
洗消站,xi'xiao'zhan
西行漫记,xi'xing'man'ji
洗衣粉,xi'yi'fen
溪源,xi'yuan
西藏平叛,xi'zang'ping'pan
昔之善战者,xi'zhi'shan'zhan'zhe
习子都,xi'zi'du
吸阻毒剂,xi'zu'du'ji
夏常服,xia'chang'fu
夏常服肩章,xia'chang'fu'jian'zhang
下车战斗,xia'che'zhan'dou
下车战斗地点,xia'che'zhan'dou'di'dian
下府,xia'fu
下护手,xia'hu'shou
下滑,xia'hua
下滑灯,xia'hua'deng
下滑轰炸,xia'hua'hong'zha
下滑天线,xia'hua'tian'xian
下级,xia'ji
夏季攻势,xia'ji'gong'shi
下架,xia'jia
下令起飞线,xia'ling'qi'fei'xian
下面,xia'mian
下渺洋,xia'miao'yang
下平,xia'ping
下坡度,xia'po'du
下潜,xia'qian
下潜点,xia'qian'dian
下情上报,xia'qing'shang'bao
下士,xia'shi
下戍,xia'shu
下属部队,xia'shu'bu'dui
狭水道,xia'shui'dao
夏用驻锄,xia'yong'zhu'chu
下尤溪,xia'you'xi
狭窄目标,xia'zhai'mu'biao
侠战,xia'zhan
舷侧式,xian'ce'shi
现场勘查计划,xian'chang'kan'cha'ji'hua
现场指挥所,xian'chang'zhi'hui'suo
县赤卫总队,xian'chi'wei'zong'dui
先从后图,xian'cong'hou'tu
现代化程度,xian'dai'hua'cheng'du
现代化战争,xian'dai'hua'zhan'zheng
现代军用手枪,xian'dai'jun'yong'shou'qiang
现代手枪,xian'dai'shou'qiang
现代坦克,xian'dai'tan'ke
现代战争,xian'dai'zhan'zheng
线导,xian'dao
线导鱼雷,xian'dao'yu'lei
先敌,xian'di
现地备课,xian'di'bei'ke
先敌发现,xian'di'fa'xian
先敌开火,xian'di'kai'huo
现地勘察,xian'di'kan'cha
先敌探测,xian'di'tan'ce
先敌展开,xian'di'zhan'kai
现地作业,xian'di'zuo'ye
显而易见,xian'er'yi'jian
先发,xian'fa
先发制人,xian'fa'zhi'ren
弦高犒敌,xian'gao'kao'di
舷号,xian'hao
仙后星座,xian'hou'xing'zuo
先后研制成,xian'hou'yan'zhi'cheng
先机制敌,xian'ji'zhi'di
舷角,xian'jiao
先进战斗机,xian'jin'zhan'dou'ji
先进战术折刀,xian'jin'zhan'shu'zhe'dao
陷阱,xian'jing
陷阱战,xian'jing'zhan
限量,xian'liang
线路封锁,xian'lu'feng'suo
线路开通,xian'lu'kai'tong
线路图,xian'lu'tu
线路土方机械,xian'lu'tu'fang'ji'xie
舷内式,xian'nei'shi
舷炮战术,xian'pao'zhan'shu
限期出境,xian'qi'chu'jing
先遣,xian'qian
先遣侦察,xian'qian'zhen'cha
先遣支队,xian'qian'zhi'dui
线式战术,xian'shi'zhan'shu
线锁,xian'suo
线膛炮,xian'tang'pao
先头,xian'tou
先头部队,xian'tou'bu'dui
先头梯队,xian'tou'ti'dui
县尉,xian'wei
仙霞关,xian'xia'guan
现象发生,xian'xiang'fa'sheng
先训连,xian'xun'lian
险易,xian'yi
现役,xian'yi
现役军官,xian'yi'jun'guan
现役美国军机,xian'yi'mei'guo'jun'ji
嫌疑人,xian'yi'ren
现有装备,xian'you'zhuang'bei
现在世界上,xian'zai'shi'jie'shang
先战,xian'zhan
限制人员外出,xian'zhi'ren'yuan'wai'chu
线状干扰遮障,xian'zhuang'gan'rao'zhe'zhang
镶白旗,xiang'bai'qi
向北发展,xiang'bei'fa'zhan
乡兵,xiang'bing
乡赤卫队,xiang'chi'wei'dui
相传枪,xiang'chuan'qiang
向敌前进,xiang'di'qian'jin
想定作业,xiang'ding'zuo'ye
相对高程,xiang'dui'gao'cheng
相对高度,xiang'dui'gao'du
湘鄂川黔军区,xiang'e'chuan'qian'jun'qu
湘鄂赣军区,xiang'e'gan'jun'qu
祥凤型,xiang'feng'xing
想干事,xiang'gan'shi
向公众展示,xiang'gong'zhong'zhan'shi
翔鹤型,xiang'he'xing
镶红旗,xiang'hong'qi
向后转,xiang'hou'zhuan
相互识别,xiang'hu'shi'bie
镶黄旗,xiang'huang'qi
橡胶棍,xiang'jiao'gun
镶蓝旗,xiang'lan'qi
项目办公室,xiang'mu'ban'gong'shi
橡木光线斗士,xiang'mu'guang'xian'dou'shi
项目合同,xiang'mu'he'tong
项目执行官,xiang'mu'zhi'xing'guan
项目主管,xiang'mu'zhu'guan
向南防御,xiang'nan'fang'yu
橡皮浮筒舟,xiang'pi'fu'tong'zhou
橡皮人,xiang'pi'ren
橡皮舟,xiang'pi'zhou
橡皮舟桥,xiang'pi'zhou'qiao
像片判读,xiang'pian'pan'du
象棋报知通信,xiang'qi'bao'zhi'tong'xin
向前看,xiang'qian'kan
向心突击,xiang'xin'tu'ji
向右看齐,xiang'you'kan'qi
向右转,xiang'you'zhuan
巷战,xiang'zhan
乡镇人民政府,xiang'zhen'ren'min'zheng'fu
向左转,xiang'zuo'zhuan
硝铵炸药,xiao'an'zha'yao
消除剂,xiao'chu'ji
消除空袭后果,xiao'chu'kong'xi'hou'guo
消除率,xiao'chu'lv
消除液,xiao'chu'ye
消除沾染,xiao'chu'zhan'ran
消磁,xiao'ci
小当量核武器,xiao'dang'liang'he'wu'qi
消毒,xiao'du
消毒剂,xiao'du'ji
消毒剂消毒,xiao'du'ji'xiao'du
消毒液,xiao'du'ye
小儿五六岁,xiao'er'wu'liu'sui
消防官专用,xiao'fang'guan'zhuan'yong
消防警察,xiao'fang'jing'cha
小高炮,xiao'gao'pao
校官,xiao'guan
消耗,xiao'hao
消耗量,xiao'hao'liang
消耗限额,xiao'hao'xian'e
消耗预计,xiao'hao'yu'ji
消耗战,xiao'hao'zhan
小后掠角,xiao'hou'lue'jiao
消极防空,xiao'ji'fang'kong
消极防御,xiao'ji'fang'yu
消极干扰弹,xiao'ji'gan'rao'dan
小肩章,xiao'jian'zhang
小口径,xiao'kou'jing
小口径步枪,xiao'kou'jing'bu'qiang
小口径机枪,xiao'kou'jing'ji'qiang
小口径炸弹,xiao'kou'jing'zha'dan
效力,xiao'li
效力射,xiao'li'she
小猎刀,xiao'lie'dao
校射机,xiao'she'ji
校射雷达,xiao'she'lei'da
硝酸钾,xiao'suan'jia
校尉,xiao'wei
小型发烟罐,xiao'xing'fa'yan'guan
小型枪械,xiao'xing'qiang'xie
小型运输机,xiao'xing'yun'shu'ji
小熊星座,xiao'xiong'xing'zuo
小修,xiao'xiu
小休息,xiao'xiu'xi
消音,xiao'yin
消音器材,xiao'yin'qi'cai
效应,xiao'ying
效应试验,xiao'ying'shi'yan
效应物,xiao'ying'wu
小直,xiao'zhi
校之以计,xiao'zhi'yi'ji
谐波辐射,xie'bo'fu'she
斜撑桥,xie'cheng'qiao
携带物品,xie'dai'wu'pin
械斗事件,xie'dou'shi'jian
楔队,xie'dui
斜风,xie'feng
斜距,xie'ju
斜面,xie'mian
携枪行进,xie'qiang'xing'jin
斜切阵地,xie'qie'zhen'di
楔入,xie'ru
斜射,xie'she
斜射火力,xie'she'huo'li
协同动作,xie'tong'dong'zuo
协同动作计划,xie'tong'dong'zuo'ji'hua
协同动作原则,xie'tong'dong'zuo'yuan'ze
协同动作指示,xie'tong'dong'zuo'zhi'shi
协同通信,xie'tong'tong'xin
协同通信网,xie'tong'tong'xin'wang
协同学,xie'tong'xue
协同作战方式,xie'tong'zuo'zhan'fang'shi
协同作战训练,xie'tong'zuo'zhan'xun'lian
携行量,xie'xing'liang
协约国,xie'yue'guo
卸载地域,xie'zai'di'yu
卸载点,xie'zai'dian
卸载计划,xie'zai'ji'hua
卸载顺序,xie'zai'shun'xu
卸载指挥所,xie'zai'zhi'hui'suo
蝎子近身格斗,xie'zi'jin'shen'ge'dou
新兵,xin'bing
新兵训练,xin'bing'xun'lian
新步枪,xin'bu'qiang
心不妄动,xin'bu'wang'dong
信道化接收机,xin'dao'hua'jie'shou'ji
信号表,xin'hao'biao
信号弹,xin'hao'dan
信号地雷,xin'hao'di'lei
信号观察,xin'hao'guan'cha
信号观察哨,xin'hao'guan'cha'shao
信号内容,xin'hao'nei'rong
信号枪,xin'hao'qiang
信号塔架,xin'hao'ta'jia
信号台,xin'hao'tai
信号特征,xin'hao'te'zheng
信号通信,xin'hao'tong'xin
信号烟幕,xin'hao'yan'mu
新款便携手刺,xin'kuan'bian'xie'shou'ci
心能忘手,xin'neng'wang'shou
信浓号,xin'nong'hao
辛勤,xin'qin
信区,xin'qu
新式武器,xin'shi'wu'qi
新式线膛枪,xin'shi'xian'tang'qiang
新式整军运动,xin'shi'zheng'jun'yun'dong
新四军,xin'si'jun
信息化,xin'xi'hua
信息化建设,xin'xi'hua'jian'she
信息化条件下,xin'xi'hua'tiao'jian'xia
信息化战争,xin'xi'hua'zhan'zheng
信息资源共享,xin'xi'zi'yuan'gong'xiang
新型步枪,xin'xing'bu'qiang
新型狙击步枪,xin'xing'ju'ji'bu'qiang
信则不欺,xin'ze'bu'qi
新泽西号,xin'ze'xi'hao
信战,xin'zhan
行百步,xing'bai'bu
行车密度,xing'che'mi'du
行程,xing'cheng
型导弹,xing'dao'dan
兴登堡,xing'deng'bao
行动部分,xing'dong'bu'fen
行动意图,xing'dong'yi'tu
幸福滩,xing'fu'tan
星光斗士,xing'guang'dou'shi
型海麻雀,xing'hai'ma'que
行进间,xing'jin'jian
行进间射击,xing'jin'jian'she'ji
行进路线,xing'jin'lu'xian
行进路线图,xing'jin'lu'xian'tu
行军,xing'jun
行军报告,xing'jun'bao'gao
行军部署,xing'jun'bu'shu
行军长径,xing'jun'chang'jing
行军出发地区,xing'jun'chu'fa'di'qu
行军出发点,xing'jun'chu'fa'dian
行军地带,xing'jun'di'dai
行军固定器,xing'jun'gu'ding'qi
行军计划,xing'jun'ji'hua
行军角,xing'jun'jiao
行军警戒,xing'jun'jing'jie
行军路线,xing'jun'lu'xian
行军路线图,xing'jun'lu'xian'tu
行军命令,xing'jun'ming'ling
行军速度,xing'jun'su'du
行军梯队,xing'jun'ti'dui
行军调整地点,xing'jun'tiao'zheng'di'dian
行军调整地区,xing'jun'tiao'zheng'di'qu
行军序列,xing'jun'xu'lie
行军侦察,xing'jun'zhen'cha
行军纵队,xing'jun'zong'dui
姓名牌,xing'ming'pai
性能先进,xing'neng'xian'jin
行人通行,xing'ren'tong'xing
行驶卡片,xing'shi'ka'pian
行驶前检查,xing'shi'qian'jian'cha
行驶速度,xing'shi'su'du
形体信号,xing'ti'xin'hao
形体信号通信,xing'ti'xin'hao'tong'xin
星下点,xing'xia'dian
形象化教学,xing'xiang'hua'jiao'xue
行星,xing'xing
行星星座,xing'xing'xing'zuo
行营都指挥使,xing'ying'du'zhi'hui'shi
形战,xing'zhan
行政管理教育,xing'zheng'guan'li'jiao'yu
行政军官,xing'zheng'jun'guan
行政责任事故,xing'zheng'ze'ren'shi'gu
行政主管部门,xing'zheng'zhu'guan'bu'men
型主炮,xing'zhu'pao
星座号,xing'zuo'hao
胸靶,xiong'ba
兄弟部队,xiong'di'bu'dui
熊记格斗刀,xiong'ji'ge'dou'dao
雄猫战机,xiong'mao'zhan'ji
胸章,xiong'zhang
熊爪子,xiong'zhao'zi
秀霸,xiu'ba
袖蛋,xiu'dan
修道而保法,xiu'dao'er'bao'fa
修理舰,xiu'li'jian
修理间,xiu'li'jian
修橹具器械,xiu'lu'ju'qi'xie
袖弩,xiu'nu
袖圈,xiu'quan
秀水诃子战斗,xiu'shui'he'zi'zhan'dou
休息日,xiu'xi'ri
修械所,xiu'xie'suo
袖珍无线电台,xiu'zhen'wu'xian'dian'tai
袖珍型,xiu'zhen'xing
休整,xiu'zheng
修正航向,xiu'zheng'hang'xiang
修正口令,xiu'zheng'kou'ling
修筑道路,xiu'zhu'dao'lu
续备军,xu'bei'jun
许多欧洲,xu'duo'ou'zhou
虚而示实,xu'er'shi'shi
虚而示虚,xu'er'shi'xu
许光达,xu'guang'da
续航,xu'hang
续航力,xu'hang'li
续航能力,xu'hang'neng'li
续航时间,xu'hang'shi'jian
虚实相乱,xu'shi'xiang'luan
许世友,xu'shi'you
续行行车,xu'xing'xing'che
虚疑必败,xu'yi'bi'bai
蓄盈待竭,xu'ying'dai'jie
虚战,xu'zhan
宣传部,xuan'chuan'bu
宣传单,xuan'chuan'dan
悬挂装置,xuan'gua'zhuang'zhi
悬翦,xuan'jian
选举秩序,xuan'ju'zhi'xu
悬停,xuan'ting
悬崖,xuan'ya
悬羊击鼓,xuan'yang'ji'gu
旋翼,xuan'yi
旋翼机,xuan'yi'ji
轩辕剑,xuan'yuan'jian
选战,xuan'zhan
宣战,xuan'zhan
旋转炮塔,xuan'zhuan'pao'ta
削壁,xue'bi
学兵,xue'bing
雪地紫外照相,xue'di'zi'wai'zhao'xiang
雪垒,xue'lei
学生军训,xue'sheng'jun'xun
学术报告会,xue'shu'bao'gao'hui
学术讲座,xue'shu'jiang'zuo
学术研究会,xue'shu'yan'jiu'hui
学用鱼雷,xue'yong'yu'lei
雪战,xue'zhan
学制,xue'zhi
巡查制度,xun'cha'zhi'du
巡抚,xun'fu
巡航导弹,xun'hang'dao'dan
巡航高度,xun'hang'gao'du
巡航速度,xun'hang'su'du
循环浴马,xun'huan'yu'ma
巡回保障,xun'hui'bao'zhang
巡回修理,xun'hui'xiu'li
寻机布饵,xun'ji'bu'er
训练保障,xun'lian'bao'zhang
训练编制,xun'lian'bian'zhi
训练标兵,xun'lian'biao'bing
训练标准,xun'lian'biao'zhun
训练场,xun'lian'chang
训练场地,xun'lian'chang'di
训练成果,xun'lian'cheng'guo
训练大纲,xun'lian'da'gang
训练弹,xun'lian'dan
训练弹药,xun'lian'dan'yao
训练地图,xun'lian'di'tu
训练点,xun'lian'dian
训练发射,xun'lian'fa'she
训练方法,xun'lian'fang'fa
训练方针,xun'lian'fang'zhen
训练改革,xun'lian'gai'ge
训练规划,xun'lian'gui'hua
训练海区,xun'lian'hai'qu
训练基地,xun'lian'ji'di
训练计划,xun'lian'ji'hua
训练进度,xun'lian'jin'du
训练科目,xun'lian'ke'mu
训练空域,xun'lian'kong'yu
训练模拟器材,xun'lian'mo'ni'qi'cai
训练摩托小时,xun'lian'mo'tuo'xiao'shi
训练内容,xun'lian'nei'rong
训练器材,xun'lian'qi'cai
训练日,xun'lian'ri
训练试点,xun'lian'shi'dian
训练时间比例,xun'lian'shi'jian'bi'li
训练跳伞,xun'lian'tiao'san
训练演习,xun'lian'yan'xi
训练指标,xun'lian'zhi'biao
训练指导思想,xun'lian'zhi'dao'si'xiang
训练制度,xun'lian'zhi'du
训练指示,xun'lian'zhi'shi
训练重点,xun'lian'zhong'dian
训练中心,xun'lian'zhong'xin
训练准备会,xun'lian'zhun'bei'hui
巡逻线,xun'luo'xian
迅速更换,xun'su'geng'huan
询问机,xun'wen'ji
询问器,xun'wen'qi
寻衅滋事,xun'xin'zi'shi
巡洋舰,xun'yang'jian
巡游杀将,xun'you'sha'jiang
勋章,xun'zhang
压板,ya'ban
崖壁,ya'bi
押带,ya'dai
押带俘虏,ya'dai'fu'lu
亚当氏气,ya'dang'shi'qi
压发,ya'fa
压发引信,ya'fa'yin'xin
牙军,ya'jun
崖孔,ya'kong
亚利桑纳号,ya'li'sang'na'hao
亚历山大,ya'li'shan'da
压缩爆破,ya'suo'bao'po
压缩饼干,ya'suo'bing'gan
压缩开火距离,ya'suo'kai'huo'ju'li
压缩空气,ya'suo'kong'qi
亚特兰大刀展,ya'te'lan'da'dao'zhan
亚音速,ya'yin'su
亚音速飞机,ya'yin'su'fei'ji
压制,ya'zhi
压制岸上目标,ya'zhi'an'shang'mu'biao
压制火炮,ya'zhi'huo'pao
压制射击,ya'zhi'she'ji
压制武器,ya'zhi'wu'qi
压制性,ya'zhi'xing
压制性干扰,ya'zhi'xing'gan'rao
压子弹,ya'zi'dan
延安保卫战,yan'an'bao'wei'zhan
延安精神,yan'an'jing'shen
掩蔽,yan'bi
掩蔽部,yan'bi'bu
掩蔽工事,yan'bi'gong'shi
掩蔽库,yan'bi'ku
掩蔽所,yan'bi'suo
演变而来,yan'bian'er'lai
延迟履行,yan'chi'lv'xing
掩盖工事,yan'gai'gong'shi
掩盖遮障,yan'gai'zhe'zhang
沿海国防要地,yan'hai'guo'fang'yao'di
沿海战区,yan'hai'zhan'qu
严寒地区,yan'han'di'qu
严寒地区战斗,yan'han'di'qu'zhan'dou
掩壕,yan'hao
掩护,yan'hu
掩护部队,yan'hu'bu'dui
掩护队,yan'hu'dui
掩护面积,yan'hu'mian'ji
烟火器材,yan'huo'qi'cai
烟火信号,yan'huo'xin'hao
严加管教,yan'jia'guan'jiao
严禁刑讯逼供,yan'jin'xing'xun'bi'gong
燕窠,yan'ke
烟幕,yan'mu
烟幕保障计划,yan'mu'bao'zhang'ji'hua
烟幕弹,yan'mu'dan
烟幕伪装,yan'mu'wei'zhuang
烟幕伪装器材,yan'mu'wei'zhuang'qi'cai
烟幕掩护,yan'mu'yan'hu
延期,yan'qi
延期爆炸,yan'qi'bao'zha
延期地雷,yan'qi'di'lei
延期电雷管,yan'qi'dian'lei'guan
延期时间,yan'qi'shi'jian
延期时间误差,yan'qi'shi'jian'wu'cha
延期引信,yan'qi'yin'xin
验枪,yan'qiang
掩日,yan'ri
岩溶地貌,yan'rong'di'mao
颜色差别,yan'shai'cha'bie
延时,yan'shi
延时子母弹,yan'shi'zi'mu'dan
掩体,yan'ti
沿途兵站,yan'tu'bing'zhan
燕尾槽,yan'wei'cao
烟雾,yan'wu
延误敌时,yan'wu'di'shi
演习场,yan'xi'chang
演习导演部,yan'xi'dao'yan'bu
演习计划,yan'xi'ji'hua
演习时间,yan'xi'shi'jian
演习实施计划,yan'xi'shi'shi'ji'hua
演习文书,yan'xi'wen'shu
彦章为人,yan'zhang'wei'ren
验证试验,yan'zheng'shi'yan
研制和,yan'zhi'he
研制火器,yan'zhi'huo'qi
研制开销,yan'zhi'kai'xiao
研制试验,yan'zhi'shi'yan
研制坦克,yan'zhi'tan'ke
研制战斗机,yan'zhi'zhan'dou'ji
严重毁伤,yan'zhong'hui'shang
严重破坏,yan'zhong'po'huai
严重损失,yan'zhong'sun'shi
严重违反,yan'zhong'wei'fan
严重沾染区,yan'zhong'zhan'ran'qu
佯败勿从,yang'bai'wu'cong
佯败诱敌,yang'bai'you'di
扬尘惑敌,yang'chen'huo'di
养成教育,yang'cheng'jiao'yu
仰动,yang'dong
佯动,yang'dong
佯动欺敌,yang'dong'qi'di
佯渡,yang'du
扬短抑长,yang'duan'yi'chang
仰攻,yang'gong
佯攻,yang'gong
佯攻行动,yang'gong'xing'dong
洋狗,yang'gou
阳关,yang'guan
杨虎城,yang'hu'cheng
氧化罐,yang'hua'guan
阳极电镀处理,yang'ji'dian'du'chu'li
杨家枪,yang'jia'qiang
杨家枪法,yang'jia'qiang'fa
养马河战役,yang'ma'he'zhan'yi
氧气再生装置,yang'qi'zai'sheng'zhuang'zhi
佯为互市,yang'wei'hu'shi
养战,yang'zhan
摇摆航空摄影,yao'bai'hang'kong'she'ying
摇摆航空照相,yao'bai'hang'kong'zhao'xiang
药包,yao'bao
遥测弹,yao'ce'dan
遥测设备,yao'ce'she'bei
要地防空,yao'di'fang'kong
要地防空作战,yao'di'fang'kong'zuo'zhan
要点掩护,yao'dian'yan'hu
遥感,yao'gan
要害部位,yao'hai'bu'wei
药壶,yao'hu
摇架,yao'jia
药孔,yao'kong
遥控,yao'kong
遥控距离,yao'kong'ju'li
药孔配置,yao'kong'pei'zhi
遥控起爆器,yao'kong'qi'bao'qi
遥控水雷,yao'kong'shui'lei
遥控制导,yao'kong'zhi'dao
药块,yao'kuai
药量计算,yao'liang'ji'suan
要平正迅速,yao'ping'zheng'xun'su
要轻灵,yao'qing'ling
要求缠绕圆转,yao'qiu'chan'rao'yuan'zhuan
要塞区,yao'sai'qu
药室,yao'shi
鹞式反潜机,yao'shi'fan'qian'ji
要图,yao'tu
要图注记,yao'tu'zhu'ji
遥相击刺而已,yao'xiang'ji'ci'er'yi
药形罩,yao'xing'zhao
药用原植物,yao'yong'yuan'zhi'wu
夜暗,ye'an
夜班,ye'ban
也便于,ye'bian'yu
野炊,ye'chui
叶飞,ye'fei
夜岗,ye'gang
曳光弹,ye'guang'dan
曳光管,ye'guang'guan
夜光限量版,ye'guang'xian'liang'ban
夜航,ye'hang
夜航机,ye'hang'ji
夜航设备,ye'hang'she'bei
夜航图,ye'hang'tu
夜壶阵,ye'hu'zhen
夜间登陆场,ye'jian'deng'lu'chang
夜间观察,ye'jian'guan'cha
夜间进攻,ye'jian'jin'gong
夜间射击,ye'jian'she'ji
夜间行进,ye'jian'xing'jin
夜间训练,ye'jian'xun'lian
叶剑英,ye'jian'ying
夜间照相,ye'jian'zhao'xiang
夜间侦察,ye'jian'zhen'cha
夜间追击,ye'jian'zhui'ji
夜间着陆,ye'jian'zhuo'lu
也具有,ye'ju'you
也柳干,ye'liu'gan
夜瞄具,ye'miao'ju
夜瞄准镜,ye'miao'zhun'jing
夜魔,ye'mo
野炮,ye'pao
夜哨,ye'shao
夜视,ye'shi
夜视监视系统,ye'shi'jian'shi'xi'tong
夜视距离,ye'shi'ju'li
夜视设备,ye'shi'she'bei
夜视系统,ye'shi'xi'tong
夜视仪,ye'shi'yi
夜视仪器,ye'shi'yi'qi
夜视装置,ye'shi'zhuang'zhi
也速,ye'su
也速答儿,ye'su'da'er
也速儿,ye'su'er
液体导弹,ye'ti'dao'dan
液体发射药,ye'ti'fa'she'yao
液体发射药炮,ye'ti'fa'she'yao'pao
液体推进剂,ye'ti'tui'jin'ji
液体炸药,ye'ti'zha'yao
叶挺,ye'ting
业务部门,ye'wu'bu'men
业务技能,ye'wu'ji'neng
夜袭,ye'xi
夜行军,ye'xing'jun
夜训,ye'xun
夜训器材,ye'xun'qi'cai
液压系统,ye'ya'xi'tong
野营训练,ye'ying'xun'lian
野战,ye'zhan
夜战,ye'zhan
野战被覆线路,ye'zhan'bei'fu'xian'lu
野战兵团,ye'zhan'bing'tuan
野战兵站,ye'zhan'bing'zhan
野战仓库,ye'zhan'cang'ku
野战车场,ye'zhan'che'chang
野战导航,ye'zhan'dao'hang
野战导航点,ye'zhan'dao'hang'dian
野战电话,ye'zhan'dian'hua
野战电话站,ye'zhan'dian'hua'zhan
野战电缆线路,ye'zhan'dian'lan'xian'lu
野战防空,ye'zhan'fang'kong
野战防御,ye'zhan'fang'yu
野战给水,ye'zhan'gei'shui
野战给水名词,ye'zhan'gei'shui'ming'ci
野战工程给水,ye'zhan'gong'cheng'gei'shui
野战工程机械,ye'zhan'gong'cheng'ji'xie
野战工事,ye'zhan'gong'shi
野战机场,ye'zhan'ji'chang
野战军,ye'zhan'jun
野战军邮,ye'zhan'jun'you
野战口粮,ye'zhan'kou'liang
野战炮兵,ye'zhan'pao'bing
野战输油管线,ye'zhan'shu'you'guan'xian
野战通信线路,ye'zhan'tong'xin'xian'lu
野战外科学,ye'zhan'wai'ke'xue
野战医院,ye'zhan'yi'yuan
野战油料,ye'zhan'you'liao
野战运行,ye'zhan'yun'xing
野战阵地,ye'zhan'zhen'di
野战阵地防御,ye'zhan'zhen'di'fang'yu
野战制印,ye'zhan'zhi'yin
野战制印车,ye'zhan'zhi'yin'che
野战制印作业,ye'zhan'zhi'yin'zuo'ye
野战筑城,ye'zhan'zhu'cheng
野战装备,ye'zhan'zhuang'bei
翼板,yi'ban
一般保障线,yi'ban'bao'zhang'xian
一班岗,yi'ban'gang
以饱待饥,yi'bao'dai'ji
颐北,yi'bei
以便对,yi'bian'dui
仪表飞行,yi'biao'fei'xing
疑兵,yi'bing
一兵多用,yi'bing'duo'yong
疑兵退敌,yi'bing'tui'di
亦不必深究,yi'bu'bi'shen'jiu
一不怕死,yi'bu'pa'si
役不再籍,yi'bu'zai'ji
翼侧,yi'ce
翼侧进攻,yi'ce'jin'gong
一次转移,yi'ci'zhuan'yi
意大利战斗刀,yi'da'li'zhan'dou'dao
以待敌之可胜,yi'dai'di'zhi'ke'sheng
一等兵,yi'deng'bing
一等功,yi'deng'gong
一等战备,yi'deng'zhan'bei
一等作战准备,yi'deng'zuo'zhan'zhun'bei
易地建设费,yi'di'jian'she'fei
以敌借敌,yi'di'jie'di
译电员,yi'dian'yuan
以点制面,yi'dian'zhi'mian
移动储备,yi'dong'chu'bei
移动覆盖物,yi'dong'fu'gai'wu
移动式,yi'dong'shi
移动性障碍物,yi'dong'xing'zhang'ai'wu
伊尔,yi'er
