阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
唯有幽光通隙尘,wei'you'you'guang'tong'xi'chen
唯于此心了,wei'yu'ci'xin'le
唯于方寸内,wei'yu'fang'cun'nei
为鱼歌德后,wei'yu'ge'de'hou
唯馀江畔草,wei'yu'jiang'pan'cao
唯馀近山色,wei'yu'jin'shan'se
唯馀旧台柏,wei'yu'jiu'tai'bai
唯与老相亲,wei'yu'lao'xiang'qin
惟馀两乡思,wei'yu'liang'xiang'si
为余前谢鲍将军,wei'yu'qian'xie'bao'jiang'jun
唯馀蚯蚓吟,wei'yu'qiu'yin'yin
唯与汤师结净因,wei'yu'tang'shi'jie'jing'yin
未远金门籍,wei'yuan'jin'men'ji
唯愿展所钦,wei'yuan'zhan'suo'qin
为臧为获,wei'zang'wei'huo
未知朔方道,wei'zhi'shuo'fang'dao
为之弹剑作哀吟,wei'zhi'tan'jian'zuo'ai'yin
未知携手定何时,wei'zhi'xie'shou'ding'he'shi
未至亦沾裳,wei'zhi'yi'zhan'shang
维舟更相忆,wei'zhou'geng'xiang'yi
文案日成堆,wen'an'ri'cheng'dui
问安双树晓,wen'an'shuang'shu'xiao
文变骚人体,wen'bian'sao'ren'ti
闻别共沾巾,wen'bie'gong'zhan'jin
问程愁乱山,wen'cheng'chou'luan'shan
闻此哀情皆断肠,wen'ci'ai'qing'jie'duan'chang
闻道汉家偏尚少,wen'dao'han'jia'pian'shang'shao
闻道建溪肠欲断,wen'dao'jian'xi'chang'yu'duan
闻道銮舆归魏阙,wen'dao'luan'yu'gui'wei'que
闻道禽鱼亦感恩,wen'dao'qin'yu'yi'gan'en
闻道山花如火红,wen'dao'shan'hua'ru'huo'hong
闻道桃源去,wen'dao'tao'yuan'qu
闻道昭阳宴,wen'dao'zhao'yang'yan
闻道忠臣入乱流,wen'dao'zhong'chen'ru'luan'liu
闻笛怨江风,wen'di'yuan'jiang'feng
文房开圣藻,wen'fang'kai'sheng'zao
文房已得地,wen'fang'yi'de'di
文府重门奥,wen'fu'zhong'men'ao
问孤恳茕茕,wen'gu'ken'qiong'qiong
温谷泉长涌,wen'gu'quan'chang'yong
问古松桂老,wen'gu'song'gui'lao
问卦独无征,wen'gua'du'wu'zheng
问疾敢行无,wen'ji'gan'xing'wu
文教通夷俗,wen'jiao'tong'yi'su
问经翻贝叶,wen'jing'fan'bei'ye
闻君甚周旋,wen'jun'shen'zhou'xuan
文明雅量全,wen'ming'ya'liang'quan
文墨悲无位,wen'mo'bei'wu'wei
问渠何旨意,wen'qu'he'zhi'yi
问人初雇峡中船,wen'ren'chu'gu'xia'zhong'chuan
温润资天质,wen'run'zi'tian'zhi
文殊并普贤,wen'shu'bing'pu'xian
文衰不继骚,wen'shuai'bu'ji'sao
闻说花开亦闭门,wen'shuo'hua'kai'yi'bi'men
闻说江楼长卷幔,wen'shuo'jiang'lou'chang'juan'man
闻说仙家在此城,wen'shuo'xian'jia'zai'ci'cheng
闻说莺啼却惆怅,wen'shuo'ying'ti'que'chou'chang
闻说元规偏爱月,wen'shuo'yuan'gui'pian'ai'yue
闻说征南没,wen'shuo'zheng'nan'mei
闻说中方高树林,wen'shuo'zhong'fang'gao'shu'lin
闻似不闻山月晓,wen'si'bu'wen'shan'yue'xiao
文卫瞻如在,wen'wei'zhan'ru'zai
问我此何适,wen'wo'ci'he'shi
问我此何为,wen'wo'ci'he'wei
问我从军苦,wen'wo'cong'jun'ku
问我将致辞,wen'wo'jiang'zhi'ci
文武轻车少,wen'wu'qing'che'shao
文雅世难逢,wen'ya'shi'nan'feng
文雅一何盛,wen'ya'yi'he'sheng
温液逗官渠,wen'ye'dou'guan'qu
闻幽即共寻,wen'you'ji'gong'xun
文鱼翻乱叶,wen'yu'fan'luan'ye
文与行空高,wen'yu'xing'kong'gao
文章遍墨卿,wen'zhang'bian'mo'qing
文章实国风,wen'zhang'shi'guo'feng
闻逐樵夫闲看棋,wen'zhu'qiao'fu'xian'kan'qi
文字类鸟足,wen'zi'lei'niao'zu
文字欲三缄,wen'zi'yu'san'jian
瓮头开绿蚁,weng'tou'kai'lv'yi
卧多唯觉鸟声喧,wo'duo'wei'jue'niao'sheng'xuan
我弓不再张,wo'gong'bu'zai'zhang
我姑自思,wo'gu'zi'si
沃盥石泉分,wo'guan'shi'quan'fen
我行感徂节,wo'hang'gan'cu'jie
我行虽云蹇,wo'hang'sui'yun'jian
我行自北,wo'hang'zi'bei
我行自东,wo'hang'zi'dong
我行自南,wo'hang'zi'nan
我行自西,wo'hang'zi'xi
我怀亦自怡,wo'huai'yi'zi'yi
我家有翦刀,wo'jia'you'jian'dao
我今抽刀勒剑石,wo'jin'chou'dao'le'jian'shi
我居阗兮,wo'ju'tian'xi
我来虽为法,wo'lai'sui'wei'fa
我来宣城郡,wo'lai'xuan'cheng'jun
我罹其毒,wo'li'qi'du
斡流倒景不可窥,wo'liu'dao'jing'bu'ke'kui
我美长安政,wo'mei'chang'an'zheng
卧驱鸟雀惜禾黍,wo'qu'niao'que'xi'he'shu
蜗舍喜时春梦去,wo'she'xi'shi'chun'meng'qu
我身本似远行客,wo'shen'ben'si'yuan'xing'ke
卧石绿阴中,wo'shi'lv'yin'zhong
我筮我龟,wo'shi'wo'gui
握手泪先流,wo'shou'lei'xian'liu
握手重相勉,wo'shou'zhong'xiang'mian
我衰君少年,wo'shuai'jun'shao'nian
卧听双海鹤,wo'ting'shuang'hai'he
卧听未央曲,wo'ting'wei'yang'qu
我土旷兮,wo'tu'kuang'xi
渥洼龙种散云时,wo'wa'long'zhong'san'yun'shi
卧向白云晴未尽,wo'xiang'bai'yun'qing'wei'jin
我心寄青霞,wo'xin'ji'qing'xia
我心皎洁君不知,wo'xin'jiao'jie'jun'bu'zhi
我心忧嗟,wo'xin'you'jie
我行过汉畤,wo'xing'guo'han'chou
我衣不白兮,wo'yi'bu'bai'xi
我因扣石问以言,wo'yin'kou'shi'wen'yi'yan
我因赞时理,wo'yin'zan'shi'li
我忧京京,wo'you'jing'jing
我欲渡水水无桥,wo'yu'du'shui'shui'wu'qiao
我欲汲井井泉遥,wo'yu'ji'jing'jing'quan'yao
我欲上山山路险,wo'yu'shang'shan'shan'lu'xian
我欲升天天隔霄,wo'yu'sheng'tian'tian'ge'xiao
我欲送君觞,wo'yu'song'jun'shang
渥泽千年圣,wo'ze'qian'nian'sheng
沃州初望海,wo'zhou'chu'wang'hai
无边广弘愿,wu'bian'guang'hong'yuan
无边尽未来,wu'bian'jin'wei'lai
五城鸣斥堠,wu'cheng'ming'chi'hou
芜城西眺极苍流,wu'cheng'xi'tiao'ji'cang'liu
无愁倚少年,wu'chou'yi'shao'nian
无处避螳螂,wu'chu'bi'tang'lang
吴楚万家皆在掌,wu'chu'wan'jia'jie'zai'zhang
无辞折腰久,wu'ci'zhe'yao'jiu
吾从落潮去,wu'cong'luo'chao'qu
吾从数君子,wu'cong'shu'jun'zi
悟道契玄关,wu'dao'qi'xuan'guan
吾弟当平昔,wu'di'dang'ping'xi
无地可容尘,wu'di'ke'rong'chen
武帝祈灵太乙坛,wu'di'qi'ling'tai'yi'tan
武帝升天留法曲,wu'di'sheng'tian'liu'fa'qu
无定河边数株柳,wu'ding'he'bian'shu'zhu'liu
五都来往无旧业,wu'dou'lai'wang'wu'jiu'ye
无端更唱关山曲,wu'duan'geng'chang'guan'shan'qu
无烦轻议边,wu'fan'qing'yi'bian
五方行有配,wu'fang'xing'you'pei
毋废尔事,wu'fei'er'shi
无风沙自惊,wu'feng'sha'zi'jing
五逢晬日今方见,wu'feng'zui'ri'jin'fang'jian
武夫爱我生雄光,wu'fu'ai'wo'sheng'xiong'guang
无复贫交恃颜色,wu'fu'pin'jiao'shi'yan'se
无复少年意,wu'fu'shao'nian'yi
屋古布苔茵,wu'gu'bu'tai'yin
五关烽火昼仍传,wu'guan'feng'huo'zhou'reng'chuan
吴官欲向秦,wu'guan'yu'xiang'qin
误过子猷溪,wu'guo'zi'you'xi
吾恨死不早,wu'hen'si'bu'zao
五侯轩盖行何疾,wu'hou'xuan'gai'xing'he'ji
五湖长路少,wu'hu'chang'lu'shao
五湖乘兴转迷津,wu'hu'cheng'xing'zhuan'mi'jin
五湖秋叶满行船,wu'hu'qiu'ye'man'xing'chuan
物华不能妍,wu'hua'bu'neng'yan
武皇弓剑埋何处,wu'huang'gong'jian'mai'he'chu
吾悔生汝,wu'hui'sheng'ru
无或夭枝,wu'huo'yao'zhi
雾积川原暗,wu'ji'chuan'yuan'an
无机狎鸥惯,wu'ji'xia'ou'guan
五稼何时获,wu'jia'he'shi'huo
无家集弟兄,wu'jia'ji'di'xiong
务简人同醉,wu'jian'ren'tong'zui
无剪我松柏兮,wu'jian'wo'song'bai'xi
误将瑕指玉,wu'jiang'xia'zhi'yu
无阶承明庭,wu'jie'cheng'ming'ting
无阶问皇天,wu'jie'wen'huang'tian
吾今细观竞渡儿,wu'jin'xi'guan'jing'du'er
无惊池上鸥,wu'jing'chi'shang'ou
五老峰前九江溢,wu'lao'feng'qian'jiu'jiang'yi
无劳问是非,wu'lao'wen'shi'fei
五老正相寻,wu'lao'zheng'xiang'xun
五里仙雾隔,wu'li'xian'wu'ge
五两贴樯低,wu'liang'tie'qiang'di
五两头平北风急,wu'liang'tou'ping'bei'feng'ji
无聊懒整冠,wu'liao'lan'zheng'guan
五陵风雨频,wu'ling'feng'yu'pin
勿令毫发累,wu'ling'hao'fa'lei
武陵何处在,wu'ling'he'chu'zai
武陵原上又征师,wu'ling'yuan'shang'you'zheng'shi
武陵缘源不可到,wu'ling'yuan'yuan'bu'ke'dao
无路托高车,wu'lu'tuo'gao'che
无论善长对,wu'lun'shan'zhang'dui
误落边尘中,wu'luo'bian'chen'zhong
五马临流待幕宾,wu'ma'lin'liu'dai'mu'bin
乌帽据梧偏,wu'mao'ju'wu'pian
无媒既不达,wu'mei'ji'bu'da
无梦盍朋簪,wu'meng'he'peng'zan
无面到江东,wu'mian'dao'jiang'dong
无乃褊其衷,wu'nai'bian'qi'zhong
无乃塞源,wu'nai'sai'yuan
无奈值空槎,wu'nai'zhi'kong'cha
无奈醉中闻,wu'nai'zui'zhong'wen
无能裨圣代,wu'neng'bi'sheng'dai
五年不见西山色,wu'nian'bu'jian'xi'shan'se
五年待罪湘江源,wu'nian'dai'zui'xiang'jiang'yuan
无年皆有获,wu'nian'jie'you'huo
五年游客送人归,wu'nian'you'ke'song'ren'gui
务农因燎原,wu'nong'yin'liao'yuan
无情理管弦,wu'qing'li'guan'xian
物情弃衰歇,wu'qing'qi'shuai'xie
无轻吾未用,wu'qing'wu'wei'yong
无穷不醉人,wu'qiong'bu'zui'ren
无穷王事系戎师,wu'qiong'wang'shi'xi'rong'shi
无秋不共悲,wu'qiu'bu'gong'bei
乌裘先醉客,wu'qiu'xian'zui'ke
误却生涯是一经,wu'que'sheng'ya'shi'yi'jing
乌鹊争飞井上桐,wu'que'zheng'fei'jing'shang'tong
怃然饯离阻,wu'ran'jian'li'zu
无然列御寇,wu'ran'lie'yu'kou
无然坐衰老,wu'ran'zuo'shuai'lao
无人更问看,wu'ren'geng'wen'kan
无人更献椒花颂,wu'ren'geng'xian'jiao'hua'song
无人见惆怅,wu'ren'jian'chou'chang
无人见此时,wu'ren'jian'ci'shi
无人起就月中看,wu'ren'qi'jiu'yue'zhong'kan
吾人岂易同,wu'ren'qi'yi'tong
无人问所思,wu'ren'wen'suo'si
无人无牛不及犁,wu'ren'wu'niu'bu'ji'li
无人有夜钟,wu'ren'you'ye'zhong
无人知古今,wu'ren'zhi'gu'jin
无日不沾襟,wu'ri'bu'zhan'jin
五日一朝天,wu'ri'yi'zhao'tian
五日有还期,wu'ri'you'hai'qi
无容私此身,wu'rong'si'ci'shen
无如漂母何,wu'ru'piao'mu'he
五色惊彩凤,wu'se'jing'cai'feng
五色片云中,wu'se'pian'yun'zhong
五色香幢重复重,wu'se'xiang'zhuang'chong'fu'zhong
五色诏中宣九德,wu'se'zhao'zhong'xuan'jiu'de
无僧寒殿开,wu'seng'han'dian'kai
吴山本佳丽,wu'shan'ben'jia'li
无山不孤绝,wu'shan'bu'gu'jue
巫山峨峨高插天,wu'shan'e'e'gao'cha'tian
吴山中路断,wu'shan'zhong'lu'duan
无生久已学,wu'sheng'jiu'yi'xue
无生因忍全,wu'sheng'yin'ren'quan
吾师宝之寿中国,wu'shi'bao'zhi'shou'zhong'guo
无事辞家两度秋,wu'shi'ci'jia'liang'du'qiu
雾失烽烟道易迷,wu'shi'feng'yan'dao'yi'mi
五十将半百,wu'shi'jiang'ban'bai
无事可酬恩,wu'shi'ke'chou'en
无事可抽簪,wu'shi'ke'chou'zan
勿使虏尘惊,wu'shi'lu'chen'jing
无事乾坤内,wu'shi'qian'kun'nei
无事日悠悠,wu'shi'ri'you'you
无事五湖游,wu'shi'wu'hu'you
五十馀年别,wu'shi'yu'nian'bie
吴蜀何年别,wu'shu'he'nian'bie
无数沙门昏梦醒,wu'shu'sha'men'hun'meng'xing
无私日月临,wu'si'ri'yue'lin
无私照岂偏,wu'si'zhao'qi'pian
舞态兼些醉,wu'tai'jian'xie'zui
舞态疑回紫阳女,wu'tai'yi'hui'zi'yang'nv
毋听劳者讥,wu'ting'lao'zhe'ji
梧桐叶上偏萧索,wu'tong'ye'shang'pian'xiao'suo
务退门多掩,wu'tui'men'duo'yan
吴王扶头酒初醒,wu'wang'fu'tou'jiu'chu'xing
吴王歌管沈,wu'wang'ge'guan'shen
吾惟抱贞素,wu'wei'bao'zhen'su
武卫宿天营,wu'wei'su'tian'ying
勿谓相去远,wu'wei'xiang'qu'yuan
吾翁致身殊得计,wu'weng'zhi'shen'shu'de'ji
膴膴盈千亩,wu'wu'ying'qian'mu
巫峡朝云暮不归,wu'xia'chao'yun'mu'bu'gui
巫峡千秋空白云,wu'xia'qian'qiu'kong'bai'yun
无瑕胜玉美,wu'xia'sheng'yu'mei
无嫌卜肆贫,wu'xian'bo'si'pin
无限堪惆怅,wu'xian'kan'chou'chang
无限神仙在上头,wu'xian'shen'xian'zai'shang'tou
无限烟霄路,wu'xian'yan'xiao'lu
五星含土德,wu'xing'han'tu'de
五星如珠,wu'xing'ru'zhu
勿学西流水,wu'xue'xi'liu'shui
无涯忧国泪,wu'ya'you'guo'lei
无言堪自喻,wu'yan'kan'zi'yu
无言泪如雨,wu'yan'lei'ru'yu
无言是与非,wu'yan'shi'yu'fei
无言似一身,wu'yan'si'yi'shen
无言向春日,wu'yan'xiang'chun'ri
无言月下迟,wu'yan'yue'xia'chi
五夜候晨扃,wu'ye'hou'chen'jiong
无叶无枝不见空,wu'ye'wu'zhi'bu'jian'kong
五夜钟初动,wu'ye'zhong'chu'dong
无义还他人,wu'yi'hai'ta'ren
吾亦乐吾贫,wu'yi'le'wu'pin
舞衣无意彩云收,wu'yi'wu'yi'cai'yun'shou
误以音声祈远公,wu'yi'yin'sheng'qi'yuan'gong
无因报所思,wu'yin'bao'suo'si
无因重来此,wu'yin'chong'lai'ci
无因得相见,wu'yin'de'xiang'jian
无因奈别何,wu'yin'nai'bie'he
五营承庙略,wu'ying'cheng'miao'lue
五营飞将拥霜戈,wu'ying'fei'jiang'yong'shuang'ge
五营俱益灶,wu'ying'ju'yi'zao
五营无事万家闲,wu'ying'wu'shi'wan'jia'xian
无营长在四时间,wu'ying'zhang'zai'si'shi'jian
无由访钓翁,wu'you'fang'diao'weng
无由更昼眠,wu'you'geng'zhou'mian
无有功不彻,wu'you'gong'bu'che
吾友见尝少,wu'you'jian'chang'shao
无忧树枝边,wu'you'shu'zhi'bian
舞羽降神时,wu'yu'jiang'shen'shi
雾雨淫淫,wu'yu'yin'yin
乌鸢巢僵尸,wu'yuan'chao'jiang'shi
五岳拜旌幢,wu'yue'bai'jing'zhuang
五月冰凛筵,wu'yue'bing'lin'yan
五月不曾芳草生,wu'yue'bu'ceng'fang'cao'sheng
五月渡淮水,wu'yue'du'huai'shui
五月时,wu'yue'shi
五月五日天晴明,wu'yue'wu'ri'tian'qing'ming
五岳真君之秘箓,wu'yue'zhen'jun'zhi'mi'lu
五云如拳轻复浓,wu'yun'ru'quan'qing'fu'nong
物中有声,wu'zhong'you'sheng
吴洲复白云,wu'zhou'fu'bai'yun
误著青袍将十载,wu'zhu'qing'pao'jiang'shi'zai
误逐群公倒载还,wu'zhu'qun'gong'dao'zai'hai
吴渚香莼漫吐春,wu'zhu'xiang'chun'man'tu'chun
悟主一言那可学,wu'zhu'yi'yan'na'ke'xue
无子吊人稀,wu'zi'diao'ren'xi
五字每将称玉友,wu'zi'mei'jiang'cheng'yu'you
兀坐独参禅,wu'zuo'du'can'chan
夕霭湿葱茏,xi'ai'shi'cong'long
西北长安远,xi'bei'chang'an'yuan
西北护三边,xi'bei'hu'san'bian
溪边莎草雨无泥,xi'bian'suo'cao'yu'wu'ni
溪边杏树红,xi'bian'xing'shu'hong
惜别故山空,xi'bie'gu'shan'kong
昔别吴堤雨,xi'bie'wu'di'yu
洗兵救卫郡,xi'bing'jiu'wei'jun
细草承雕辇,xi'cao'cheng'diao'nian
细草谁开径,xi'cao'shui'kai'jing
细草萦斜岸,xi'cao'ying'xie'an
昔曾噀酒今藏龙,xi'ceng'xun'jiu'jin'cang'long
郗超未有髯,xi'chao'wei'you'ran
戏处常闻佩紫囊,xi'chu'chang'wen'pei'zi'nang
希垂拂拭惠,xi'chui'fu'shi'hui
昔从李都尉,xi'cong'li'du'wei
喜从异郡识高僧,xi'cong'yi'jun'shi'gao'seng
淅尔凉风非为秋,xi'er'liang'feng'fei'wei'qiu
西风吹荻花,xi'feng'chui'di'hua
夕风高送远城砧,xi'feng'gao'song'yuan'cheng'zhen
细风和雨气,xi'feng'he'yu'qi
西风客荐蘋,xi'feng'ke'jian'pin
喜逢邻舍伴,xi'feng'lin'she'ban
西风垄水寒,xi'feng'long'shui'han
西府军城暮,xi'fu'jun'cheng'mu
郄公怜戆亦怜愚,xi'gong'lian'zhuang'yi'lian'yu
锡珪仍拜下,xi'gui'reng'bai'xia
昔还悲素扇,xi'hai'bei'su'shan
昔还赋馀资,xi'hai'fu'yu'zi
西海饮文鳐,xi'hai'yin'wen'yao
细汗迎衣集,xi'han'ying'yi'ji
戏鹤唳且闲,xi'he'li'qie'xian
西河遇亦深,xi'he'yu'yi'shen
惜花风起频,xi'hua'feng'qi'pin
惜花将爱寺,xi'hua'jiang'ai'si
喜极成悲伤,xi'ji'cheng'bei'shang
夕霁凉飙至,xi'ji'liang'biao'zhi
西江风浪何时尽,xi'jiang'feng'lang'he'shi'jin
西江上,xi'jiang'shang
西江之水上天流,xi'jiang'zhi'shui'shang'tian'liu
细节疏茎任长吹,xi'jie'shu'jing'ren'chang'chui
夕景动栖禽,xi'jing'dong'qi'qin
蹊径旧谙山,xi'jing'jiu'an'shan
习静通仙事,xi'jing'tong'xian'shi
希君抽玉琴,xi'jun'chou'yu'qin
希君剖腹取,xi'jun'pou'fu'qu
希君一比邻,xi'jun'yi'bi'lin
西看叠嶂几千重,xi'kan'die'zhang'ji'qian'zhong
西临复旧疆,xi'lin'fu'jiu'jiang
溪临修竹烟色,xi'lin'xiu'zhu'yan'se
西林易故居,xi'lin'yi'gu'ju
西陵树色入秋窗,xi'ling'shu'se'ru'qiu'chuang
溪流潺潺雨习习,xi'liu'chan'chan'yu'xi'xi
溪留闰月花,xi'liu'run'yue'hua
溪柳薰晴浅,xi'liu'xun'qing'qian
西楼待客初,xi'lou'dai'ke'chu
西楼见月似江城,xi'lou'jian'yue'si'jiang'cheng
西楼盛袭文,xi'lou'sheng'xi'wen
溪乱火田稀,xi'luan'huo'tian'xi
系马河边树,xi'ma'he'bian'shu
析木带津遥,xi'mu'dai'jin'yao
西南城上高高处,xi'nan'cheng'shang'gao'gao'chu
西南积水远,xi'nan'ji'shui'yuan
西南距要津,xi'nan'ju'yao'jin
西南一望云和水,xi'nan'yi'wang'yun'he'shui
昔年居汉水,xi'nian'ju'han'shui
昔年买奴仆,xi'nian'mai'nu'pu
昔年亲友半凋零,xi'nian'qin'you'ban'diao'ling
昔年为客处,xi'nian'wei'ke'chu
奚奴跨马不搭鞍,xi'nu'kua'ma'bu'da'an
昔去城南陌,xi'qu'cheng'nan'mo
洗却铅粉妆,xi'que'qian'fen'zhuang
昔人从逝水,xi'ren'cong'shi'shui
昔人何处为此曲,xi'ren'he'chu'wei'ci'qu
西人利百,xi'ren'li'bai
昔人未为泉下客,xi'ren'wei'wei'quan'xia'ke
昔日江水今人家,xi'ri'jiang'shui'jin'ren'jia
西塞波涛阔,xi'sai'bo'tao'kuo
西塞云山远,xi'sai'yun'shan'yuan
西山鸾鹤群,xi'shan'luan'he'qun
西山为水水为尘,xi'shan'wei'shui'shui'wei'chen
溪上谁家掩竹扉,xi'shang'shui'jia'yan'zhu'fei
溪上掩柴扉,xi'shang'yan'chai'fei
席上招贤急,xi'shang'zhao'xian'ji
昔少年,xi'shao'nian
溪深日复长,xi'shen'ri'fu'chang
郤诜为胄子,xi'shen'wei'zhou'zi
溪声雨声听不辨,xi'sheng'yu'sheng'ting'bu'bian
蟋蟀催寒砧,xi'shuai'cui'han'zhen
蟋蟀何自知人愁,xi'shuai'he'zi'zhi'ren'chou
溪水浸山影,xi'shui'jin'shan'ying
隙驷不我待,xi'si'bu'wo'dai
夕宿楚水阴,xi'su'chu'shui'yin
夕宿吴洲东,xi'su'wu'zhou'dong
昔随刘越石,xi'sui'liu'yue'shi
希为荐沈沦,xi'wei'jian'chen'lun
昔为烈士雄,xi'wei'lie'shi'xiong
细舞清风亦何有,xi'wu'qing'feng'yi'he'you
析析谐宫徵,xi'xi'xie'gong'zheng
熙熙阳春,xi'xi'yang'chun
熙熙造化功,xi'xi'zao'hua'gong
溪闲鸟自群,xi'xian'niao'zi'qun
昔贤徒病诸,xi'xian'tu'bing'zhu
西向胡天望乡久,xi'xiang'hu'tian'wang'xiang'jiu
犀象舞成行,xi'xiang'wu'cheng'xing
徙薪避火火更燔,xi'xin'bi'huo'huo'geng'fan
西行咏陟冈,xi'xing'yong'zhi'gang
细眼黄头总何在,xi'yan'huang'tou'zong'he'zai
西崦水泠泠,xi'yan'shui'ling'ling
夕阳东渡头,xi'yang'dong'du'tou
夕阳分素臆,xi'yang'fen'su'yi
夕阳迷陇隧,xi'yang'mi'long'sui
夕阳陪醉止,xi'yang'pei'zui'zhi
夕阳清露湿寒条,xi'yang'qing'lu'shi'han'tiao
夕阳秋草上,xi'yang'qiu'cao'shang
夕阳移梦土,xi'yang'yi'meng'tu
洗药每临新瀑水,xi'yao'mei'lin'xin'pu'shui
西掖今宵咏,xi'ye'jin'xiao'yong
息阴倦飞鸟,xi'yin'juan'fei'niao
细雨柴门生远愁,xi'yu'chai'men'sheng'yuan'chou
细雨东风春草长,xi'yu'dong'feng'chun'cao'chang
细语人不闻,xi'yu'ren'bu'wen
溪雨微微洗客尘,xi'yu'wei'wei'xi'ke'chen
细雨夜钟疏,xi'yu'ye'zhong'shu
细与知音说,xi'yu'zhi'yin'shuo
西垣有客思悠然,xi'yuan'you'ke'si'you'ran
溪云随暮淡,xi'yun'sui'mu'dan
昔在羲和,xi'zai'xi'he
惜在谢家稀,xi'zai'xie'jia'xi
西斋何其高,xi'zhai'he'qi'gao
夕照临窗起暗尘,xi'zhao'lin'chuang'qi'an'chen
夕照新茔近,xi'zhao'xin'ying'jin
昔者匈奴战,xi'zhe'xiong'nu'zhan
溪中鸟鸣春景旦,xi'zhong'niao'ming'chun'jing'dan
系舟仙宅下,xi'zhou'xian'zhai'xia
洗竹浇花兴有馀,xi'zhu'jiao'hua'xing'you'yu
霞鞍金口骝,xia'an'jin'kou'liu
下坂车辚辚,xia'ban'che'lin'lin
下鞭走马城西原,xia'bian'zou'ma'cheng'xi'yuan
下泊降茅仙,xia'bo'jiang'mao'xian
狭道通陵口,xia'dao'tong'ling'kou
下方一回首,xia'fang'yi'hui'shou
下拂波纹破,xia'fu'bo'wen'po
下淮风自急,xia'huai'feng'zi'ji
下结九秋霰,xia'jie'jiu'qiu'xian
下界水长急,xia'jie'shui'chang'ji
下阶遥想雪霜寒,xia'jie'yao'xiang'xue'shuang'han
下界正沈眠,xia'jie'zheng'shen'mian
夏腊比应难,xia'la'bi'ying'nan
黠虏初南下,xia'lu'chu'nan'xia
峡路花应发,xia'lu'hua'ying'fa
下路林疏见客行,xia'lu'lin'shu'jian'ke'xing
霞帔初朝五帝坛,xia'pei'chu'chao'wu'di'tan
侠气五都少,xia'qi'wu'dou'shao
峡泉声咽,xia'quan'sheng'yan
暇日独游衍,xia'ri'du'you'yan
夏日郁蒸,xia'ri'yu'zheng
下生白蚁子,xia'sheng'bai'yi'zi
下榻贵同徐,xia'ta'gui'tong'xu
霞梯赤城遥可分,xia'ti'chi'cheng'yao'ke'fen
下望见春城,xia'wang'jian'chun'cheng
遐想三五,xia'xiang'san'wu
下咽陇头泉,xia'yan'long'tou'quan
霞衣满鹤身,xia'yi'man'he'shen
下有碧草洲,xia'you'bi'cao'zhou
下有寒泉流,xia'you'han'quan'liu
夏月似秋天,xia'yue'si'qiu'tian
遐哉上古,xia'zai'shang'gu
匣中三尺剑,xia'zhong'san'chi'jian
衔杯吹急管,xian'bei'chui'ji'guan
岘北山低草木愁,xian'bei'shan'di'cao'mu'chou
仙槎江口槎溪寺,xian'cha'jiang'kou'cha'xi'si
仙成不可期,xian'cheng'bu'ke'qi
县城寒寂寞,xian'cheng'han'ji'mo
闲从石上眠,xian'cong'shi'shang'mian
县当仙洞口,xian'dang'xian'dong'kou
仙道多因迷路得,xian'dao'duo'yin'mi'lu'de
先得东流到渚宫,xian'de'dong'liu'dao'zhu'gong
闲灯忘夜永,xian'deng'wang'ye'yong
献尔将随犀象舞,xian'er'jiang'sui'xi'xiang'wu
先发信陵门,xian'fa'xin'ling'men
先访高人积雪中,xian'fang'gao'ren'ji'xue'zhong
衔飞亦上楼,xian'fei'yi'shang'lou
闲风往往弄江声,xian'feng'wang'wang'nong'jiang'sheng
宪府既乘骢,xian'fu'ji'cheng'cong
献赋空十年,xian'fu'kong'shi'nian
献赋掩长杨,xian'fu'yan'chang'yang
仙宫长命缕,xian'gong'chang'ming'lv
仙果迥呈红,xian'guo'jiong'cheng'hong
纤毫任几重,xian'hao'ren'ji'zhong
纤毫指舳舻,xian'hao'zhi'zhu'lu
鲜红未许佳人见,xian'hong'wei'xu'jia'ren'jian
闲花开满地,xian'hua'kai'man'di
先皇歌舞地,xian'huang'ge'wu'di
显晦澹无迹,xian'hui'dan'wu'ji
先进洞房上奔日,xian'jin'dong'fang'shang'ben'ri
仙禁祥云合,xian'jin'xiang'yun'he
衔酒发中悲,xian'jiu'fa'zhong'bei
闲就平场学使马,xian'jiu'ping'chang'xue'shi'ma
闲居耳目清,xian'ju'er'mu'qing
闲居倦时燠,xian'ju'juan'shi'yu
羡君乘竹杖,xian'jun'cheng'zhu'zhang
羡君谈笑出风尘,xian'jun'tan'xiao'chu'feng'chen
羡君寻句曲,xian'jun'xun'ju'qu
先开捧日心,xian'kai'peng'ri'xin
先开上苑花,xian'kai'shang'yuan'hua
先开智慧芽,xian'kai'zhi'hui'ya
闲看入竹路,xian'kan'ru'zhu'lu
仙客诚难访,xian'ke'cheng'nan'fang
闲客自相逢,xian'ke'zi'xiang'feng
仙郎此夕过,xian'lang'ci'xi'guo
衔泪亦衔枚,xian'lei'yi'xian'mei
献礼两承欢,xian'li'liang'cheng'huan
先令扫弊庐,xian'ling'sao'bi'lu
仙路往来赊,xian'lu'wang'lai'she
先论按剑无,xian'lun'an'jian'wu
仙貌玉棱棱,xian'mao'yu'leng'leng
闲门当古林,xian'men'dang'gu'lin
闲门响叶声,xian'men'xiang'ye'sheng
闲门早春至,xian'men'zao'chun'zhi
