暧暧澄湖光,ai'ai'cheng'hu'guang
岘首羊公爱,xian'shou'yang'gong'ai
献书嗟弃置,xian'shu'jie'qi'zhi
衔书且虚归,xian'shu'qie'xu'gui
仙书倘相示,xian'shu'tang'xiang'shi
先死有常伦,xian'si'you'chang'lun
仙俗途殊两情遽,xian'su'tu'shu'liang'qing'ju
献岁受朝时,xian'sui'shou'chao'shi
宪台贵公举,xian'tai'gui'gong'ju
闲堂闭空阴,xian'tang'bi'kong'yin
仙桃正落花,xian'tao'zheng'luo'hua
献替常焚藁,xian'ti'chang'fen'gao
闲田北川下,xian'tian'bei'chuan'xia
闲庭百草阑,xian'ting'bai'cao'lan
闲庭竹扫净,xian'ting'zhu'sao'jing
贤王邸第开,xian'wang'di'di'kai
仙尉其何如,xian'wei'qi'he'ru
仙卫逶迤去不还,xian'wei'wei'yi'qu'bu'huan
先贤盛说桃花源,xian'xian'sheng'shuo'tao'hua'yuan
仙穴逢羽人,xian'xue'feng'yu'ren
闲艳绝世姿,xian'yan'jue'shi'zi
咸阳二三月,xian'yang'er'san'yue
咸阳古城下,xian'yang'gu'cheng'xia
纤腰不复汉宫宠,xian'yao'bu'fu'han'gong'chong
贤友此为邑,xian'you'ci'wei'yi
贤愚迷至精,xian'yu'mi'zhi'jing
贤愚去几何,xian'yu'qu'ji'he
贤愚与蚁虱,xian'yu'yu'yi'shi
衔冤谁见知,xian'yuan'shui'jian'zhi
闲云随锡杖,xian'yun'sui'xi'zhang
贤哉常晏如,xian'zai'chang'yan'ru
贤哉数夫子,xian'zai'shu'fu'zi
宪章亦已沦,xian'zhang'yi'yi'lun
先照床前暖,xian'zhao'chuang'qian'nuan
闲棹晚来过,xian'zhao'wan'lai'guo
仙舟复与俱,xian'zhou'fu'yu'ju
相伴赖沙鸥,xiang'ban'lai'sha'ou
香杯浮玛瑙,xiang'bei'fu'ma'nao
向别伊水南,xiang'bie'yi'shui'nan
乡春连楚越,xiang'chun'lian'chu'yue
乡春又独归,xiang'chun'you'du'gui
想到耶溪日,xiang'dao'ye'xi'ri
想到邮亭愁驻马,xiang'dao'you'ting'chou'zhu'ma
相得半酣时,xiang'de'ban'han'shi
相对亦忘言,xiang'dui'yi'wang'yan
响发调尚苦,xiang'fa'tiao'shang'ku
相访竹林东,xiang'fang'zhu'lin'dong
相逢不乏杖头钱,xiang'feng'bu'fa'zhang'tou'qian
向风长啸戴纱巾,xiang'feng'chang'xiao'dai'sha'jin
相逢楚水秋,xiang'feng'chu'shui'qiu
香风吹入殿后来,xiang'feng'chui'ru'dian'hou'lai
相逢红尘内,xiang'feng'hong'chen'nei
相逢即是下山时,xiang'feng'ji'shi'xia'shan'shi
相逢梦中路,xiang'feng'meng'zhong'lu
相逢平原里,xiang'feng'ping'yuan'li
相逢武陵客,xiang'feng'wu'ling'ke
香风引赵舞,xiang'feng'yin'zhao'wu
相府待闻天,xiang'fu'dai'wen'tian
相顾无死节,xiang'gu'wu'si'jie
乡关谁念雪园东,xiang'guan'shui'nian'xue'yuan'dong
乡关在伐柯,xiang'guan'zai'fa'ke
相国旧池台,xiang'guo'jiu'chi'tai
向郭青山送,xiang'guo'qing'shan'song
乡国云霄外,xiang'guo'yun'xiao'wai
相呼归去来,xiang'hu'gui'qu'lai
祥花间色栽,xiang'hua'jian'se'zai
相见白云中,xiang'jian'bai'yun'zhong
想见孤舟去,xiang'jian'gu'zhou'qu
想见函关路,xiang'jian'han'guan'lu
想见秦城路,xiang'jian'qin'cheng'lu
想见下车时,xiang'jian'xia'che'shi
想见仙山众峰小,xiang'jian'xian'shan'zhong'feng'xiao
想见新安江,xiang'jian'xin'an'jiang
相见耶溪路,xiang'jian'ye'xi'lu
相将济巨川,xiang'jiang'ji'ju'chuan
相将游戏绕池台,xiang'jiang'you'xi'rao'chi'tai
响尽惟幽林,xiang'jin'wei'you'lin
想君畴昔高步时,xiang'jun'chou'xi'gao'bu'shi
想君发扬子,xiang'jun'fa'yang'zi
向君投此曲,xiang'jun'tou'ci'qu
相看成四皓,xiang'kan'cheng'si'hao
相看愁自深,xiang'kan'chou'zi'shen
乡看秋草归无路,xiang'kan'qiu'cao'gui'wu'lu
相看似相识,xiang'kan'si'xiang'shi
相看惜解携,xiang'kan'xi'jie'xie
向来共欢娱,xiang'lai'gong'huan'yu
向老三年谪,xiang'lao'san'nian'zhe
乡泪客中尽,xiang'lei'ke'zhong'jin
相连数州内,xiang'lian'shu'zhou'nei
湘流澹澹空愁予,xiang'liu'dan'dan'kong'chou'yu
乡路白云重,xiang'lu'bai'yun'zhong
香炉初上日,xiang'lu'chu'shang'ri
乡路独归人,xiang'lu'du'gui'ren
湘路来过回雁处,xiang'lu'lai'guo'hui'yan'chu
翔鸾狎野鸥,xiang'luan'xia'ye'ou
乡梦寒更频,xiang'meng'han'geng'pin
香名冠二陆,xiang'ming'guan'er'lu
向暮期下来,xiang'mu'qi'xia'lai
向南空见白云多,xiang'nan'kong'jian'bai'yun'duo
香黏翠羽簪,xiang'nian'cui'yu'zan
香飘诸天外,xiang'piao'zhu'tian'wai
湘浦何年变,xiang'pu'he'nian'bian
相期丹霄路,xiang'qi'dan'xiao'lu
相期共斗管弦来,xiang'qi'gong'dou'guan'xian'lai
相期汗漫游,xiang'qi'han'man'you
香气空翠中,xiang'qi'kong'cui'zhong
香气满幽林,xiang'qi'man'you'lin
香气为谁发,xiang'qi'wei'shui'fa
相去千里馀,xiang'qu'qian'li'yu
相去日千里,xiang'qu'ri'qian'li
相去水茫茫,xiang'qu'shui'mang'mang
相去万馀里,xiang'qu'wan'yu'li
乡曲无知己,xiang'qu'wu'zhi'ji
向人寒烛静,xiang'ren'han'zhu'jing
向日三千里,xiang'ri'san'qian'li
相如作赋得黄金,xiang'ru'zuo'fu'de'huang'jin
湘山独往深,xiang'shan'du'wang'shen
湘山独种畬,xiang'shan'du'zhong'she
香扇斜开九华照,xiang'shan'xie'kai'jiu'hua'zhao
香山倚铁围,xiang'shan'yi'tie'wei
乡山在何处,xiang'shan'zai'he'chu
乡山指白蘋,xiang'shan'zhi'bai'pin
向是沧洲人,xiang'shi'cang'zhou'ren
相示感同心,xiang'shi'gan'tong'xin
骧首北风夕,xiang'shou'bei'feng'xi
向水残花映客衣,xiang'shui'can'hua'ying'ke'yi
湘水但空流,xiang'shui'dan'kong'liu
湘水流入海,xiang'shui'liu'ru'hai
湘水清见底,xiang'shui'qing'jian'di
向水弹琴静,xiang'shui'tan'qin'jing
湘水无情吊岂知,xiang'shui'wu'qing'diao'qi'zhi
湘水向君深,xiang'shui'xiang'jun'shen
湘水向人闲,xiang'shui'xiang'ren'xian
相思沧海边,xiang'si'cang'hai'bian
相思愁白蘋,xiang'si'chou'bai'pin
相思楚天阔,xiang'si'chu'tian'kuo
相思楚天外,xiang'si'chu'tian'wai
相思纷以盈,xiang'si'fen'yi'ying
相思复相保,xiang'si'fu'xiang'bao
相思减衣带,xiang'si'jian'yi'dai
相思劳梦寐,xiang'si'lao'meng'mei
相思劳寝兴,xiang'si'lao'qin'xing
相思岭上相思泪,xiang'si'ling'shang'xiang'si'lei
相思那得梦魂来,xiang'si'na'dei'meng'hun'lai
相思南渡头,xiang'si'nan'du'tou
相思晚望西林寺,xiang'si'wan'wang'xi'lin'si
相思望斗牛,xiang'si'wang'dou'niu
相思心断续,xiang'si'xin'duan'xu
相思烟水外,xiang'si'yan'shui'wai
相思拥膝坐长吟,xiang'si'yong'xi'zuo'chang'yin
相思渔者歌,xiang'si'yu'zhe'ge
乡思远凄凄,xiang'si'yuan'qi'qi
相思怨瑶瑟,xiang'si'yuan'yao'se
乡思重相催,xiang'si'zhong'xiang'cui
乡思逐秦人,xiang'si'zhu'qin'ren
相送东郊外,xiang'song'dong'jiao'wai
相送苦易散,xiang'song'ku'yi'san
相送天涯里,xiang'song'tian'ya'li
相送掩柴扉,xiang'song'yan'chai'fei
香随青霭散,xiang'sui'qing'ai'san
相随入禁闺,xiang'sui'ru'jin'gui
相随夜到门,xiang'sui'ye'dao'men
湘潭几日到,xiang'tan'ji'ri'dao
香炭金炉暖,xiang'tan'jin'lu'nuan
襄土岁频旱,xiang'tu'sui'pin'han
象外更生意,xiang'wai'geng'sheng'yi
向晚茫茫发旅愁,xiang'wan'mang'mang'fa'lv'chou
襄王安在哉,xiang'wang'an'zai'zai
相望隔淮长,xiang'wang'ge'huai'chang
相望空脉脉,xiang'wang'kong'mo'mo
襄王梦行雨,xiang'wang'meng'xing'yu
相望试登高,xiang'wang'shi'deng'gao
香帏风动花入楼,xiang'wei'feng'dong'hua'ru'lou
乡味有槎头,xiang'wei'you'cha'tou
想闻羌笛处,xiang'wen'qiang'di'chu
向夕遍空山,xiang'xi'bian'kong'shan
向夕波摇明月动,xiang'xi'bo'yao'ming'yue'dong
向夕灯稍进,xiang'xi'deng'shao'jin
向夕槐烟起,xiang'xi'huai'yan'qi
向夕开帘坐,xiang'xi'kai'lian'zuo
向夕敛微雨,xiang'xi'lian'wei'yu
向夕问舟子,xiang'xi'wen'zhou'zi
想像若在眼,xiang'xiang'ruo'zai'yan
想像西方内,xiang'xiang'xi'fang'nei
相携竹林下,xiang'xie'zhu'lin'xia
乡心共渡河,xiang'xin'gong'du'he
乡心新岁切,xiang'xin'xin'sui'qie
乡心遥渡海,xiang'xin'yao'du'hai
乡心遇物悲,xiang'xin'yu'wu'bei
乡心正欲绝,xiang'xin'zheng'yu'jue
相旋如疾风,xiang'xuan'ru'ji'feng
向烟帆杳杳,xiang'yan'fan'yao'yao
襄阳美会稽,xiang'yang'mei'kuai'ji
相邀百战场,xiang'yao'bai'zhan'chang
向夜一猿深,xiang'ye'yi'yuan'shen
相迎不道远,xiang'ying'bu'dao'yuan
相与爱后时,xiang'yu'ai'hou'shi
相与致雍熙,xiang'yu'zhi'yong'xi
乡园碧云外,xiang'yuan'bi'yun'wai
乡园老一丘,xiang'yuan'lao'yi'qiu
乡园万馀里,xiang'yuan'wan'yu'li
乡园欲懒归,xiang'yuan'yu'lan'gui
乡园欲有赠,xiang'yuan'yu'you'zeng
向月楼中吹落梅,xiang'yue'lou'zhong'chui'luo'mei
祥云覆紫微,xiang'yun'fu'zi'wei
相知无间然,xiang'zhi'wu'jian'ran
湘竹旧斑思帝子,xiang'zhu'jiu'ban'si'di'zi
相逐去还归,xiang'zhu'qu'hai'gui
香醉往来人,xiang'zui'wang'lai'ren
啸傲转无欲,xiao'ao'zhuan'wu'yu
小白鸿翼于夷吾,xiao'bai'hong'yi'yu'yi'wu
晓唱辨鸡人,xiao'chang'bian'ji'ren
宵长曲未终,xiao'chang'qu'wei'zhong
小臣拜献南山寿,xiao'chen'bai'xian'nan'shan'shou
孝成皇帝本娇奢,xiao'cheng'huang'di'ben'jiao'she
笑春风舞罗衣,xiao'chun'feng'wu'luo'yi
小大各有依,xiao'da'ge'you'yi
小弟邻庄尚渔猎,xiao'di'lin'zhuang'shang'yu'lie
笑拂两只箭,xiao'fu'liang'zhi'jian
小妇秦家女,xiao'fu'qin'jia'nv
小妇十年啼夜织,xiao'fu'shi'nian'ti'ye'zhi
笑隔荷花共人语,xiao'ge'he'hua'gong'ren'yu
笑歌无时闲,xiao'ge'wu'shi'xian
箫鼓出天中,xiao'gu'chu'tian'zhong
箫管凤初来,xiao'guan'feng'chu'lai
箫管莫相催,xiao'guan'mo'xiang'cui
萧何共尔忧,xiao'he'gong'er'you
萧何识故侯,xiao'he'shi'gu'hou
晓霁长风里,xiao'ji'chang'feng'li
晓霁南轩开,xiao'ji'nan'xuan'kai
晓甲带胡霜,xiao'jia'dai'hu'shuang
小江潮易满,xiao'jiang'chao'yi'man
笑尽一杯酒,xiao'jin'yi'bei'jiu
孝廉因岁贡,xiao'lian'yin'sui'gong
啸起青蘋末,xiao'qi'qing'pin'mo
小人为沙虫,xiao'ren'wei'sha'chong
晓日西风转,xiao'ri'xi'feng'zhuan
萧飒古仙人,xiao'sa'gu'xian'ren
萧散浮云往不还,xiao'san'fu'yun'wang'bu'hai
晓色明西林,xiao'se'ming'xi'lin
笑杀邯郸人,xiao'sha'han'dan'ren
晓上青楼十二重,xiao'shang'qing'lou'shi'er'zhong
箫韶下太清,xiao'shao'xia'tai'qing
箫声沸珠箔,xiao'sheng'fei'zhu'bo
箫声将薤曲,xiao'sheng'jiang'xie'qu
箫声生左右,xiao'sheng'sheng'zuo'you
小时不识月,xiao'shi'bu'shi'yue
孝思侍老亲,xiao'si'shi'lao'qin
萧索竟终古,xiao'suo'jing'zhong'gu
萧索九秋残,xiao'suo'jiu'qiu'can
萧索庭槐空闭閤,xiao'suo'ting'huai'kong'bi'ge
萧条长洲外,xiao'tiao'chang'zhou'wai
萧条愁杀人,xiao'tiao'chou'sha'ren
萧条独向汝南行,xiao'tiao'du'xiang'ru'nan'xing
萧条对掩扉,xiao'tiao'dui'yan'fei
萧条方岁晏,xiao'tiao'fang'sui'yan
萧条环堵绝风尘,xiao'tiao'huan'du'jue'feng'chen
萧条金陵郭,xiao'tiao'jin'ling'guo
萧条绝人烟,xiao'tiao'jue'ren'yan
萧条郡城闭,xiao'tiao'jun'cheng'bi
萧条两翅蓬蒿下,xiao'tiao'liang'chi'peng'hao'xia
萧条西北风,xiao'tiao'xi'bei'feng
萧条远回首,xiao'tiao'yuan'hui'shou
萧条主人静,xiao'tiao'zhu'ren'jing
小溪劣容舟,xiao'xi'lie'rong'zhou
晓夕双帆归鄂渚,xiao'xi'shuang'fan'gui'e'zhu
潇湘春草生,xiao'xiang'chun'cao'sheng
潇湘复秋色,xiao'xiang'fu'qiu'se
萧萧北风厉,xiao'xiao'bei'feng'li
萧萧北风至,xiao'xiao'bei'feng'zhi
萧萧长门宫,xiao'xiao'chang'men'gong
萧萧出塞吟,xiao'xiao'chu'sai'yin
萧萧顾乐鸣,xiao'xiao'gu'le'ming
萧萧过颍上,xiao'xiao'guo'ying'shang
萧萧江雨暮,xiao'xiao'jiang'yu'mu
萧萧郡宇宽,xiao'xiao'jun'yu'kuan
萧萧林木虚,xiao'xiao'lin'mu'xu
萧萧羌笛声相和,xiao'xiao'qiang'di'sheng'xiang'he
潇潇清秋暮,xiao'xiao'qing'qiu'mu
萧萧若凌虚,xiao'xiao'ruo'ling'xu
萧萧闻雁飞,xiao'xiao'wen'yan'fei
萧萧五马动,xiao'xiao'wu'ma'dong
逍遥白云外,xiao'yao'bai'yun'wai
小邑沧洲吏,xiao'yi'cang'zhou'li
小邑务常闲,xiao'yi'wu'chang'xian
小隐湖中花,xiao'yin'hu'zhong'hua
笑语和风骚,xiao'yu'he'feng'sao
笑语同今夕,xiao'yu'tong'jin'xi
小苑春犹在,xiao'yuan'chun'you'zai
小园足生事,xiao'yuan'zu'sheng'shi
晓月下江濆,xiao'yue'xia'jiang'fen
萧朱亦星离,xiao'zhu'yi'xing'li
晓妆脂粉薄,xiao'zhuang'zhi'fen'bao
效拙从一官,xiao'zhuo'cong'yi'guan
晓奏趋双阙,xiao'zou'qu'shuang'que
斜抱云和深见月,xie'bao'yun'he'shen'jian'yue
挟此生雄风,xie'ci'sheng'xiong'feng
躞蹀长嘶鸣,xie'die'chang'si'ming
躞蹀指南荆,xie'die'zhi'nan'jing
谢尔申及甫,xie'er'shen'ji'fu
斜分远岸近枯杨,xie'fen'yuan'an'jin'ku'yang
谢公耽远游,xie'gong'dan'yuan'you
谢公还欲卧,xie'gong'hai'yu'wo
谢公何足比,xie'gong'he'zu'bi
谢公积愤懑,xie'gong'ji'fen'men
斜光入罗幕,xie'guang'ru'luo'mu
斜光照疏雨,xie'guang'zhao'shu'yu
谢归今即已,xie'gui'jin'ji'yi
邂逅欢觏止,xie'hou'huan'gou'zhi
斜径横秋陂,xie'jing'heng'qiu'bei
谢客爱清辉,xie'ke'ai'qing'hui
谢客枉帆过,xie'ke'wang'fan'guo
薤露歌若斯,xie'lu'ge'ruo'si
歇马凭云宿,xie'ma'ping'yun'su
邪气悖正声,xie'qi'bei'zheng'sheng
斜日催乌鸟,xie'ri'cui'wu'niao
斜日片帆孤,xie'ri'pian'fan'gu
邪胜体充盈,xie'sheng'ti'chong'ying
携手今莫同,xie'shou'jin'mo'tong
携手恋清芬,xie'shou'lian'qing'fen
携手莫同欢,xie'shou'mo'tong'huan
携手同所适,xie'shou'tong'suo'shi
携手一来窥,xie'shou'yi'lai'kui
挟弹玉舆傍,xie'tan'yu'yu'bang
斜影半风薰,xie'ying'ban'feng'xun
廨宇邻蛟室,xie'yu'lin'jiao'shi
廨宇宜新霁,xie'yu'yi'xin'ji
新安从此始,xin'an'cong'ci'shi
新安江上孤帆远,xin'an'jiang'shang'gu'fan'yuan
新安江水远相随,xin'an'jiang'shui'yuan'xiang'sui
新安君莫问,xin'an'jun'mo'wen
心超诸境外,xin'chao'zhu'jing'wai
心驰茅山洞,xin'chi'mao'shan'dong
信此天地内,xin'ci'tian'di'nei
心摧两无声,xin'cui'liang'wu'sheng
新堤柳欲阴,xin'di'liu'yu'yin
心断鶺鴒原,xin'duan'ji'ling'yuan
心飞逐鸟灭,xin'fei'zhu'niao'mie
欣逢柏梁故,xin'feng'bai'liang'gu
欣逢柏台友,xin'feng'bai'tai'you
新歌一曲令人艳,xin'ge'yi'qu'ling'ren'yan
新河柳色千株暗,xin'he'liu'se'qian'zhu'an
心化便无影,xin'hua'bian'wu'ying
新花水对窗,xin'hua'shui'dui'chuang
心魂畏虚室,xin'hun'wei'xu'shi
心魂逐旌旃,xin'hun'zhu'jing'zhan
心迹罕兼遂,xin'ji'han'jian'sui
心寂历似千古,xin'ji'li'si'qian'gu
心计欲何施,xin'ji'yu'he'shi
新家彭泽县,xin'jia'peng'ze'xian
新家去未安,xin'jia'qu'wei'an
新家浙江上,xin'jia'zhe'jiang'shang
心将生灭是浮云,xin'jiang'sheng'mie'shi'fu'yun
心镜常虚明,xin'jing'chang'xu'ming
心净水亭开,xin'jing'shui'ting'kai
心镜万象生,xin'jing'wan'xiang'sheng
辛苦羽林儿,xin'ku'yu'lin'er
心怜稚齿鸣环去,xin'lian'zhi'chi'ming'huan'qu
新令布中和,xin'ling'bu'zhong'he
信陵门下三千客,xin'ling'men'xia'san'qian'ke
心迷玉红草,xin'mi'yu'hong'cao
心目徒自亲,xin'mu'tu'zi'qin
新年白首翁,xin'nian'bai'shou'weng
新年草色远萋萋,xin'nian'cao'se'yuan'qi'qi
新年独到乡,xin'nian'du'dao'xiang
新年芳草遍,xin'nian'fang'cao'bian
新年改故年,xin'nian'gai'gu'nian
新年人独远,xin'nian'ren'du'yuan
新年向国泪,xin'nian'xiang'guo'lei
新年欲变柳,xin'nian'yu'bian'liu
新年子北征,xin'nian'zi'bei'zheng
心期万里游,xin'qi'wan'li'you
心惬赏未足,xin'qie'shang'wei'zu
辛勤历江岛,xin'qin'li'jiang'dao
辛勤难具论,xin'qin'nan'ju'lun
辛勤万里道,xin'qin'wan'li'dao
辛勤羞薄禄,xin'qin'xiu'bao'lu
欣然忘所疲,xin'ran'wang'suo'pi
欣然愿相从,xin'ran'yuan'xiang'cong
新人非旧人,xin'ren'fei'jiu'ren
心伤故径微,xin'shang'gu'jing'wei
新声满棹歌,xin'sheng'man'zhao'ge
新声一段高楼月,xin'sheng'yi'duan'gao'lou'yue
新声子夜歌,xin'sheng'zi'ye'ge
信是帝王宅,xin'shi'di'wang'zhai
新诗他日伫开缄,xin'shi'ta'ri'zhu'kai'jian
信是天人居,xin'shi'tian'ren'ju
心事则如此,xin'shi'ze'ru'ci
信宿百馀里,xin'su'bai'yu'li
信宿见维桑,xin'su'jian'wei'sang
信宿千里馀,xin'su'qian'li'yu
心随还鸟泯,xin'sui'hai'niao'min
心随明月到胡天,xin'sui'ming'yue'dao'hu'tian
心通可亲脑,xin'tong'ke'qin'nao
新文怨楚辞,xin'wen'yuan'chu'ci
馨香竟谁传,xin'xiang'jing'shui'chuan
辛夷花尽杏花飞,xin'yi'hua'jin'xing'hua'fei
心影无磷缁,xin'ying'wu'lin'zi
心与浮云闲,xin'yu'fu'yun'xian
新月愁婵娟,xin'yue'chou'chan'juan
新月始临秋,xin'yue'shi'lin'qiu
新章已在腰,xin'zhang'yi'zai'yao
新正柏酒传,xin'zheng'bai'jiu'chuan
新正度腊开,xin'zheng'du'la'kai
心知楚天远,xin'zhi'chu'tian'yuan
心知独夜禅,xin'zhi'du'ye'chan
心知汉水濆,xin'zhi'han'shui'fen
新知偶相访,xin'zhi'ou'xiang'fang
新知行宋远,xin'zhi'xing'song'yuan
心中片愧何可论,xin'zhong'pian'kui'he'ke'lun
新妆浣纱女,xin'zhuang'huan'sha'nv
新妆能唱美人车,xin'zhuang'neng'chang'mei'ren'che
行藏互推迁,xing'cang'hu'tui'qian
行襜稍已隔,xing'chan'shao'yi'ge
星辰归正位,xing'chen'gui'zheng'wei
星辰上森列,xing'chen'shang'sen'lie
行吹羌笛远归营,xing'chui'qiang'di'yuan'gui'ying
行春五马急,xing'chun'wu'ma'ji
幸此论畴昔,xing'ci'lun'chou'xi
行次入松筱,xing'ci'ru'song'xiao
行到荆门上三峡,xing'dao'jing'men'shang'san'xia
幸得风吹去,xing'de'feng'chui'qu
幸得君王怜巧笑,xing'de'jun'wang'lian'qiao'xiao
幸得厌征讨,xing'de'yan'zheng'tao
行乏憩予驾,xing'fa'qi'yu'jia
兴发子猷船,xing'fa'zi'you'chuan
幸逢东道主,xing'feng'dong'dao'zhu
行复草萋萋,xing'fu'cao'qi'qi
行观八阵形,xing'guan'ba'zhen'xing
形骸如弃捐,xing'hai'ru'qi'juan
杏花谁是主,xing'hua'shui'shi'zhu
行即裙裾扫落梅,xing'ji'qun'ju'sao'luo'mei
兴尽回舟去,xing'jin'hui'zhou'qu
行尽清溪日已蹉,xing'jin'qing'xi'ri'yi'cuo
星居海岛寒,xing'ju'hai'dao'han
幸君夙姻亲,xing'jun'su'yin'qin
行看楚云隔,xing'kan'chu'yun'ge
行看武昌柳,xing'kan'wu'chang'liu
星看婺女临,xing'kan'wu'nv'lin
行客念寒衣,xing'ke'nian'han'yi
行客千万里,xing'ke'qian'wan'li
兴来林是竹,xing'lai'lin'shi'zhu
行乐爱联镳,xing'le'ai'lian'biao
行乐恨无邻,xing'le'hen'wu'lin
行乐羡朋从,xing'le'xian'peng'cong
行乐争昼夜,xing'le'zheng'zhou'ye
行吏到西华,xing'li'dao'xi'hua
行路难,xing'lu'nan
行路难归去来,xing'lu'nan'gui'qu'lai
行路难行路难,xing'lu'nan'xing'lu'nan
幸论开济力,xing'lun'kai'ji'li
星罗牛渚夕,xing'luo'niu'zhu'xi
行侣时相问,xing'lv'shi'xiang'wen
騂马黄金勒,xing'ma'huang'jin'le
幸陪谢客题诗句,xing'pei'xie'ke'ti'shi'ju
幸亲方便力,xing'qin'fang'bian'li
行人东复西,xing'ren'dong'fu'xi
行人独惆怅,xing'ren'du'chou'chang
行人独向五陵归,xing'ren'du'xiang'wu'ling'gui
行人皆辟易,xing'ren'jie'bi'yi
行人皆怵惕,xing'ren'jie'chu'ti
行人九月忆寒衣,xing'ren'jiu'yue'yi'han'yi
行人看暮云,xing'ren'kan'mu'yun
行人看夕阳,xing'ren'kan'xi'yang
行人念前程,xing'ren'nian'qian'cheng
行人去亦稀,xing'ren'qu'yi'xi
行人挑短书,xing'ren'tiao'duan'shu
行人望落日,xing'ren'wang'luo'ri
行人杳杳看西月,xing'ren'yao'yao'kan'xi'yue
行人已何在,xing'ren'yi'he'zai
行人遗鲤鱼,xing'ren'yi'li'yu
行人一骑发金陵,xing'ren'yi'qi'fa'jin'ling
行人在何处,xing'ren'zai'he'chu
幸容栖托分,xing'rong'qi'tuo'fen
行拾落花比容色,xing'shi'luo'hua'bi'rong'se
兴是清秋发,xing'shi'qing'qiu'fa
星使三江上,xing'shi'san'jiang'shang
星霜劳夜吟,xing'shuang'lao'ye'yin
星霜岁欲穷,xing'shuang'sui'yu'qiong
刑徒七十万,xing'tu'qi'shi'wan
行县及新苗,xing'xian'ji'xin'miao
行县拥诸侯,xing'xian'yong'zhu'hou
星象列三台,xing'xiang'lie'san'tai
星象南宫远,xing'xiang'nan'gong'yuan
星象衔新宠,xing'xiang'xian'xin'chong
星象移何处,xing'xiang'yi'he'chu
行幸平阳公主家,xing'xing'ping'yang'gong'zhu'jia
猩猩啼烟兮鬼啸雨,xing'xing'ti'yan'xi'gui'xiao'yu
星悬上将坛,xing'xuan'shang'jiang'tan
行药至石壁,xing'yao'zhi'shi'bi
行役至萧关,xing'yi'zhi'xiao'guan
行吟无处寄相思,xing'yin'wu'chu'ji'xiang'si
幸因弦歌末,xing'yin'xian'ge'mo
幸遇王子晋,xing'yu'wang'zi'jin
行至菊花潭,xing'zhi'ju'hua'tan
行至上留田,xing'zhi'shang'liu'tian
幸值西风吹,xing'zhi'xi'feng'chui
行舟来去传,xing'zhou'lai'qu'chuan
行舟四海来,xing'zhou'si'hai'lai
兴逐孤云外,xing'zhu'gu'yun'wai
醒醉任松华,xing'zui'ren'song'hua
雄巢汉宫树,xiong'chao'han'gong'shu
凶丑将除蔓,xiong'chou'jiang'chu'man
雄辞变文名,xiong'ci'bian'wen'ming
雄词变云雾,xiong'ci'bian'yun'wu
兄弟渌江头,xiong'di'lu'jiang'tou
兄弟尚路人,xiong'di'shang'lu'ren
兄弟先我没,xiong'di'xian'wo'mei
兄弟游吴国,xiong'di'you'wu'guo
雄飞雌从绕林间,xiong'fei'ci'cong'rao'lin'jian
雄观压川泽,xiong'guan'ya'chuan'ze
雄豪安足论,xiong'hao'an'zu'lun
雄剑委尘匣,xiong'jian'wei'chen'xia
雄谋吞大荒,xiong'mou'tun'da'huang
匈奴不敢敌,xiong'nu'bu'gan'di
匈奴以杀戮为耕作,xiong'nu'yi'sha'lu'wei'geng'zuo
熊轼分朝寄,xiong'shi'fen'chao'ji
雄图安在哉,xiong'tu'an'zai'zai
雄图争割据,xiong'tu'zheng'ge'ju
雄义每特立,xiong'yi'mei'te'li
羞彼鹤上人,xiu'bi'he'shang'ren
秀出倚前楹,xiu'chu'yi'qian'ying
羞道易水寒,xiu'dao'yi'shui'han
修短竟谁分,xiu'duan'jing'shui'fen
绣服棠花映,xiu'fu'tang'hua'ying
休官醉菊花,xiu'guan'zui'ju'hua
绣户南开向明月,xiu'hu'nan'kai'xiang'ming'yue
羞看骢马回,xiu'kan'cong'ma'hui
秀眉霜雪颜桃花,xiu'mei'shuang'xue'yan'tao'hua
秀色空绝世,xiu'se'kong'jue'shi
宿雾蒙琼树,xiu'wu'meng'qiong'shu
羞向鬓毛看,xiu'xiang'bin'mao'kan
羞颜未尝开,xiu'yan'wei'chang'kai
绣衣从此来,xiu'yi'cong'ci'lai
羞逐长安社中儿,xiu'zhu'chang'an'she'zhong'er
羞逐府僚趋,xiu'zhu'fu'liao'qu
虚薄滥先登,xu'bao'lan'xian'deng
虚步蹑太清,xu'bu'nie'tai'qing
绪风初减热,xu'feng'chu'jian're
徐巿载秦女,xu'fu'zai'qin'nv
欻构三癸亭,xu'gou'san'gui'ting
虚寂养身和,xu'ji'yang'shen'he
勖君青松心,xu'jun'qing'song'xin
须令荒徼外,xu'ling'huang'jiao'wai
虚令看杀玉车人,xu'ling'kan'sha'yu'che'ren
须令友道存,xu'ling'you'dao'cun
虚没秦帝宫,xu'mei'qin'di'gong
续明催画烛,xu'ming'cui'hua'zhu
溆浦潭阳隔楚山,xu'pu'tan'yang'ge'chu'shan
欻起佐太子,xu'qi'zuo'tai'zi
许氏道犹崇,xu'shi'dao'you'chong
徐闻传凤诏,xu'wen'chuan'feng'zhao
虚心谁能见,xu'xin'shui'neng'jian
虚牖闲生白,xu'you'xian'sheng'bai
须臾还复生,xu'yu'hai'fu'sheng
虚掷此芳晨,xu'zhi'ci'fang'chen
