阿底村,a'di'cun
曲江池,qu'jiang'chi
曲江池调度站,qu'jiang'chi'diao'du'zhan
曲江池东路南口,qu'jiang'chi'dong'lu'nan'kou
曲江池南路西口,qu'jiang'chi'nan'lu'xi'kou
曲江池西路南口,qu'jiang'chi'xi'lu'nan'kou
曲江池西路中段,qu'jiang'chi'xi'lu'zhong'duan
曲江池遗址公园,qu'jiang'chi'yi'zhi'gong'yuan
曲江管委会,qu'jiang'guan'wei'hui
曲江国际会议中心,qu'jiang'guo'ji'hui'yi'zhong'xin
曲江海洋公园,qu'jiang'hai'yang'gong'yuan
曲江海洋世界,qu'jiang'hai'yang'shi'jie
曲江街办,qu'jiang'jie'ban
曲江乐园,qu'jiang'le'yuan
曲江立交,qu'jiang'li'jiao
曲江民政小区,qu'jiang'min'zheng'xiao'qu
曲江生态花园,qu'jiang'sheng'tai'hua'yuan
曲江水厂,qu'jiang'shui'chang
曲江文化产业聚集区,qu'jiang'wen'hua'chan'ye'ju'ji'qu
曲江一中,qu'jiang'yi'zhong
曲江真境小区,qu'jiang'zhen'jing'xiao'qu
取消,qu'xiao
区医院,qu'yi'yuan
区政府,qu'zheng'fu
泉子头,quan'zi'tou
群星学校,qun'xing'xue'xiao
热电厂,re'dian'chang
人才市场,ren'cai'shi'chang
仁村南口,ren'cun'nan'kou
仁村小学,ren'cun'xiao'xue
任家口,ren'jia'kou
任家坡,ren'jia'po
任家寨,ren'jia'zhai
任家寨村,ren'jia'zhai'cun
人民大厦公寓,ren'min'da'sha'gong'yu
人民路南转盘,ren'min'lu'nan'zhuan'pan
人民路西口,ren'min'lu'xi'kou
人人乐超市,ren'ren'le'chao'shi
人寿保险,ren'shou'bao'xian
绒店,rong'dian
融发心园,rong'fa'xin'yuan
荣家沟,rong'jia'gou
乳品厂,ru'pin'chang
洒金桥,sa'jin'qiao
赛格电脑城,sai'ge'dian'nao'cheng
三厂,san'chang
三殿村,san'dian'cun
三二三医院,san'er'san'yi'yuan
三府井,san'fu'jing
三府桥,san'fu'qiao
三府湾,san'fu'wan
三府湾客运站,san'fu'wan'ke'yun'zhan
三府湾西口,san'fu'wan'xi'kou
三府衙村,san'fu'ya'cun
三府衙村东,san'fu'ya'cun'dong
三府衙村西,san'fu'ya'cun'xi
三府衙村中,san'fu'ya'cun'zhong
三公司,san'gong'si
三官庙,san'guan'miao
三官堂,san'guan'tang
三合村,san'he'cun
三家庄,san'jia'zhuang
三民村,san'min'cun
三桥,san'qiao
三桥东,san'qiao'dong
三桥公交,san'qiao'gong'jiao
三桥交易市场,san'qiao'jiao'yi'shi'chang
三桥立交,san'qiao'li'jiao
三桥立交北,san'qiao'li'jiao'bei
三桥农贸市场,san'qiao'nong'mao'shi'chang
三球仪,san'qiu'yi
三森国际家居,san'sen'guo'ji'jia'ju
三十四中,san'shi'si'zhong
三十四中北门,san'shi'si'zhong'bei'men
三水厂,san'shui'chang
伞塔路,san'ta'lu
三五一一厂,san'wu'yi'yi'chang
三益村,san'yi'cun
三印,san'yin
三印厂,san'yin'chang
三兆村,san'zhao'cun
三资学院,san'zi'xue'yuan
沙河村,sha'he'cun
沙河十字,sha'he'shi'zi
沙河滩,sha'he'tan
沙河子,sha'he'zi
沙井村,sha'jing'cun
沙井村北,sha'jing'cun'bei
沙井村南,sha'jing'cun'nan
沙坡,sha'po
沙坡村,sha'po'cun
陕报社,shan'bao'she
陕缝厂,shan'feng'chang
陕鼓厂,shan'gu'chang
陕鼓动力,shan'gu'dong'li
陕鼓集团,shan'gu'ji'tuan
陕鼓科技园,shan'gu'ke'ji'yuan
陕棉十厂中学,shan'mian'shi'chang'zhong'xue
陕汽福利区,shan'qi'fu'li'qu
陕汽技校,shan'qi'ji'xiao
陕汽路东段,shan'qi'lu'dong'duan
陕汽欧舒特客车,shan'qi'ou'shu'te'ke'che
陕汽小区,shan'qi'xiao'qu
陕汽总厂,shan'qi'zong'chang
陕师大长安校区,shan'shi'da'chang'an'xiao'qu
陕西大会堂,shan'xi'da'hui'tang
陕西电子科技学院,shan'xi'dian'zi'ke'ji'xue'yuan
陕西国防学院新区,shan'xi'guo'fang'xue'yuan'xin'qu
陕西技术学院,shan'xi'ji'shu'xue'yuan
陕西交通职业技术学院,shan'xi'jiao'tong'zhi'ye'ji'shu'xue'yuan
陕西交通职业技术学院校本部,shan'xi'jiao'tong'zhi'ye'ji'shu'xue'yuan'xiao'ben'bu
陕西教育学院,shan'xi'jiao'yu'xue'yuan
陕西科技大学,shan'xi'ke'ji'da'xue
陕西科技技术学院,shan'xi'ke'ji'ji'shu'xue'yuan
陕西盐业包装,shan'xi'yan'ye'bao'zhuang
陕西职业技术学院,shan'xi'zhi'ye'ji'shu'xue'yuan
陕重汽,shan'zhong'qi
陕重汽北门,shan'zhong'qi'bei'men
陕重汽南门,shan'zhong'qi'nan'men
尚爱路,shang'ai'lu
上北良村,shang'bei'liang'cun
上伯坊村,shang'bo'fang'cun
商储公司,shang'chu'gong'si
尚村东口,shang'cun'dong'kou
尚德路,shang'de'lu
上河滩,shang'he'tan
上南丰,shang'nan'feng
上南丰村,shang'nan'feng'cun
上南丰南,shang'nan'feng'nan
上南丰窑,shang'nan'feng'yao
上桥梓口村,shang'qiao'zi'kou'cun
尚勤路,shang'qin'lu
上泉村,shang'quan'cun
上王村,shang'wang'cun
尚新路西口,shang'xin'lu'xi'kou
尚苑草滩八路,shang'yuan'cao'tan'ba'lu
尚苑草滩九路,shang'yuan'cao'tan'jiu'lu
尚苑草滩六路,shang'yuan'cao'tan'liu'lu
尚苑草滩七路,shang'yuan'cao'tan'qi'lu
尚苑草滩四路,shang'yuan'cao'tan'si'lu
尚苑草滩一路口,shang'yuan'cao'tan'yi'lu'kou
尚苑长安大学,shang'yuan'chang'an'da'xue
尚苑大普产业园,shang'yuan'da'pu'chan'ye'yuan
尚苑路东段,shang'yuan'lu'dong'duan
尚苑路西段,shang'yuan'lu'xi'duan
尚苑尚宏路,shang'yuan'shang'hong'lu
尚苑尚宏路口,shang'yuan'shang'hong'lu'kou
尚苑松速物流,shang'yuan'song'su'wu'liu
尚苑迅达电缆,shang'yuan'xun'da'dian'lan
上寨村,shang'zhai'cun
上庄村,shang'zhuang'cun
少年宫,shao'nian'gong
邵平店,shao'ping'dian
邵寨村,shao'zhai'cun
射击场,she'ji'chang
佘湾,she'wan
什村,shen'cun
深渡村,shen'du'cun
申家村,shen'jia'cun
神鹿坊,shen'lu'fang
神鹿坊北,shen'lu'fang'bei
神鹿坊南,shen'lu'fang'nan
什王村,shen'wang'cun
神峪寺沟,shen'yu'si'gou
神舟二路北口,shen'zhou'er'lu'bei'kou
神舟四路北口,shen'zhou'si'lu'bei'kou
神舟一路,shen'zhou'yi'lu
神舟一路北口,shen'zhou'yi'lu'bei'kou
省博爱医院,sheng'bo'ai'yi'yuan
生产路,sheng'chan'lu
省电缆桥架厂,sheng'dian'lan'qiao'jia'chang
省二院,sheng'er'yuan
圣合家园,sheng'he'jia'yuan
生活区,sheng'huo'qu
省教育学院,sheng'jiao'yu'xue'yuan
省教院,sheng'jiao'yuan
省结核病院,sheng'jie'he'bing'yuan
省经贸学校,sheng'jing'mao'xue'xiao
省军干中心,sheng'jun'gan'zhong'xin
绳刘村,sheng'liu'cun
省路桥公司,sheng'lu'qiao'gong'si
省人武学校,sheng'ren'wu'xue'xiao
省射击场,sheng'she'ji'chang
省体育场,sheng'ti'yu'chang
省体育场东门,sheng'ti'yu'chang'dong'men
省体育场西门,sheng'ti'yu'chang'xi'men
省委招待所,sheng'wei'zhao'dai'suo
省药材公司,sheng'yao'cai'gong'si
省游泳中心,sheng'you'yong'zhong'xin
省政务大厅,sheng'zheng'wu'da'ting
省肿瘤医院,sheng'zhong'liu'yi'yuan
石砭峪,shi'bian'yu
石砭峪水库坝面,shi'bian'yu'shui'ku'ba'mian
石砭峪指挥部,shi'bian'yu'zhi'hui'bu
师村,shi'cun
石村,shi'cun
时代,shi'dai
市第六医院,shi'di'liu'yi'yuan
市第一中学,shi'di'yi'zhong'xue
石佛庄,shi'fo'zhuang
石化大道,shi'hua'da'dao
世纪大道,shi'ji'da'dao
师家村,shi'jia'cun
师家村南街,shi'jia'cun'nan'jie
石家街,shi'jia'jie
史家湾村,shi'jia'wan'cun
世家星城,shi'jia'xing'cheng
师家营,shi'jia'ying
史家寨,shi'jia'zhai
施家寨,shi'jia'zhai
市建四公司,shi'jian'si'gong'si
石井上庄村,shi'jing'shang'zhuang'cun
十里铺,shi'li'pu
十里铺村,shi'li'pu'cun
十里铺公交枢纽站,shi'li'pu'gong'jiao'shu'niu'zhan
十六街坊,shi'liu'jie'fang
拾旗寨,shi'qi'zhai
石桥,shi'qiao
石桥村,shi'qiao'cun
石桥立交,shi'qiao'li'jiao
石桥立交东,shi'qiao'li'jiao'dong
师三村,shi'san'cun
市十七中,shi'shi'qi'zhong
市十中,shi'shi'zhong
市图书馆,shi'tu'shu'guan
市委党校,shi'wei'dang'xiao
石匣口,shi'xia'kou
市信访接待中心,shi'xin'fang'jie'dai'zhong'xin
石羊,shi'yang
石羊村,shi'yang'cun
石羊农庄,shi'yang'nong'zhuang
师一村,shi'yi'cun
石油城,shi'you'cheng
石油大学,shi'you'da'xue
石油大学户县校区,shi'you'da'xue'hu'xian'xiao'qu
石油大学南区,shi'you'da'xue'nan'qu
石油大学学生公寓,shi'you'da'xue'xue'sheng'gong'yu
石油学院学生公寓,shi'you'xue'yuan'xue'sheng'gong'yu
史喻村,shi'yu'cun
世园村,shi'yuan'cun
世园花卉交易中心,shi'yuan'hua'hui'jiao'yi'zhong'xin
世园会次入口,shi'yuan'hui'ci'ru'kou
世园会团队入口,shi'yuan'hui'tuan'dui'ru'kou
世园会主入口,shi'yuan'hui'zhu'ru'kou
市政府,shi'zheng'fu
市政府小区,shi'zheng'fu'xiao'qu
市中心医院,shi'zhong'xin'yi'yuan
十字街村,shi'zi'jie'cun
首帕张村,shou'pa'zhang'cun
首阳山,shou'yang'shan
寿阳山墓园,shou'yang'shan'mu'yuan
书香路南口,shu'xiang'lu'nan'kou
数字大厦,shu'zi'da'sha
双河湾小区,shuang'he'wan'xiao'qu
双虎家私,shuang'hu'jia'si
双旗寨,shuang'qi'zhai
双桥头,shuang'qiao'tou
双水村,shuang'shui'cun
双水磨,shuang'shui'mo
双竹村,shuang'zhu'cun
水岸东方,shui'an'dong'fang
水厂路,shui'chang'lu
水景公园,shui'jing'gong'yuan
水流,shui'liu
水流村,shui'liu'cun
水磨村,shui'mo'cun
水泥厂,shui'ni'chang
水司,shui'si
水寨村,shui'zhai'cun
硕士路,shuo'shi'lu
硕士路北口,shuo'shi'lu'bei'kou
四岔,si'cha
四厂,si'chang
丝绸群雕,si'chou'qun'diao
四府村,si'fu'cun
四府井,si'fu'jing
四号路口,si'hao'lu'kou
四季东巷,si'ji'dong'xiang
司马村,si'ma'cun
寺坡村,si'po'cun
四十八中,si'shi'ba'zhong
四所,si'suo
四一七,si'yi'qi
思源学院,si'yuan'xue'yuan
宋村,song'cun
宋村东堡,song'cun'dong'bao
宋村南转盘,song'cun'nan'zhuan'pan
宋村转盘,song'cun'zhuan'pan
宋东村,song'dong'cun
宋南村,song'nan'cun
宋围墙村,song'wei'qiang'cun
宋中村,song'zhong'cun
苏王村,su'wang'cun
孙姑村,sun'gu'cun
孙家坡,sun'jia'po
索道,suo'dao
塔坡村,ta'po'cun
塔坡工业园,ta'po'gong'ye'yuan
太白路立交,tai'bai'lu'li'jiao
太白南路建材市场,tai'bai'nan'lu'jian'cai'shi'chang
太白小区,tai'bai'xiao'qu
泰和医院,tai'he'yi'yuan
太华路,tai'hua'lu
太平河村,tai'ping'he'cun
太平森林公园,tai'ping'sen'lin'gong'yuan
太平峪口,tai'ping'yu'kou
太兴山,tai'xing'shan
太阳集团,tai'yang'ji'tuan
太阳水岸新城,tai'yang'shui'an'xin'cheng
太阳新城,tai'yang'xin'cheng
太乙村,tai'yi'cun
太乙宫,tai'yi'gong
太乙林场,tai'yi'lin'chang
太乙路,tai'yi'lu
太元路,tai'yuan'lu
太原庄村,tai'yuan'zhuang'cun
檀香园小区,tan'xiang'yuan'xiao'qu
唐城宾馆,tang'cheng'bin'guan
唐城墙遗址公园,tang'cheng'qiang'yi'zhi'gong'yuan
唐都医院,tang'du'yi'yuan
唐家村,tang'jia'cun
唐兴路,tang'xing'lu
汤峪,tang'yu
唐苑,tang'yuan
陶官寨,tao'guan'zhai
桃花潭公园,tao'hua'tan'gong'yuan
陶家村,tao'jia'cun
桃溪堡,tao'xi'bao
桃园,tao'yuan
桃园北路,tao'yuan'bei'lu
桃园路,tao'yuan'lu
桃园小区,tao'yuan'xiao'qu
特警支队,te'jing'zhi'dui
滕家寨,teng'jia'zhai
体育场,ti'yu'chang
体育动运中心,ti'yu'dong'yun'zhong'xin
体育馆,ti'yu'guan
体育训练中心,ti'yu'xun'lian'zhong'xin
体院沣峪口校区,ti'yuan'feng'yu'kou'xiao'qu
田家湾,tian'jia'wan
田马路,tian'ma'lu
甜水井,tian'shui'jing
天台八路东口,tian'tai'ba'lu'dong'kou
天台八路中段,tian'tai'ba'lu'zhong'duan
天坛东路,tian'tan'dong'lu
天坛西路,tian'tan'xi'lu
田王,tian'wang
田王村,tian'wang'cun
铁二十局,tie'er'shi'ju
铁路技校,tie'lu'ji'xiao
铁炉庙,tie'lu'miao
铁设院,tie'she'yuan
铁锁村,tie'suo'cun
铁塔寺路,tie'ta'si'lu
铁塔寺路中段,tie'ta'si'lu'zhong'duan
铁一处,tie'yi'chu
铁一村,tie'yi'cun
铁一局医院,tie'yi'ju'yi'yuan
铁一中东校区,tie'yi'zhong'dong'xiao'qu
童家巷,tong'jia'xiang
童家寨,tong'jia'zhai
同泰家具城,tong'tai'jia'ju'cheng
通信学院福利区,tong'xin'xue'yuan'fu'li'qu
通远十字,tong'yuan'shi'zi
土门,tu'men
土门商厦,tu'men'shang'sha
土门新市场,tu'men'xin'shi'chang
图书馆,tu'shu'guan
团结,tuan'jie
团结村,tuan'jie'cun
团结东路,tuan'jie'dong'lu
团结路东口,tuan'jie'lu'dong'kou
团结南路,tuan'jie'nan'lu
团结南路南段,tuan'jie'nan'lu'nan'duan
团结南路南口,tuan'jie'nan'lu'nan'kou
团结四路,tuan'jie'si'lu
团结四社,tuan'jie'si'she
团结西路,tuan'jie'xi'lu
团结小学,tuan'jie'xiao'xue
团结中路,tuan'jie'zhong'lu
团结中路南,tuan'jie'zhong'lu'nan
屯铺,tun'pu
屯铺村,tun'pu'cun
鸵鸟王大厦,tuo'niao'wang'da'sha
瓦胡同村,wa'hu'tong'cun
瓦胡同小学,wa'hu'tong'xiao'xue
瓦窑小区,wa'yao'xiao'qu
外贸物流,wai'mao'wu'liu
外事学院,wai'shi'xue'yuan
外事学院北区,wai'shi'xue'yuan'bei'qu
外事学院北校区,wai'shi'xue'yuan'bei'xiao'qu
外语大学南校区,wai'yu'da'xue'nan'xiao'qu
外运驾校,wai'yun'jia'xiao
万达广场,wan'da'guang'chang
万国金色家园,wan'guo'jin'se'jia'yuan
万年路,wan'nian'lu
万盛家具,wan'sheng'jia'ju
万寿路,wan'shou'lu
万寿路北口,wan'shou'lu'bei'kou
万寿中路,wan'shou'zhong'lu
万寿中路北段,wan'shou'zhong'lu'bei'duan
湾赵路口,wan'zhao'lu'kou
湾子村,wan'zi'cun
王府,wang'fu
王沟,wang'gou
王家堡,wang'jia'bao
王家坟,wang'jia'fen
王乐村,wang'le'cun
王莽路口,wang'mang'lu'kou
王莽乡政府,wang'mang'xiang'zheng'fu
王莽园艺场,wang'mang'yuan'yi'chang
王曲城隍庙,wang'qu'cheng'huang'miao
王曲村,wang'qu'cun
王曲街办,wang'qu'jie'ban
王守村,wang'shou'cun
王寺,wang'si
王寺金三角,wang'si'jin'san'jiao
王卫村,wang'wei'cun
王渭村,wang'wei'cun
望仙坪,wang'xian'ping
旺座现代城,wang'zuo'xian'dai'cheng
纬二街,wei'er'jie
纬二十九街,wei'er'shi'jiu'jie
渭河桥头,wei'he'qiao'tou
渭华路,wei'hua'lu
渭华路南口,wei'hua'lu'nan'kou
魏家村,wei'jia'cun
尉家坡,wei'jia'po
围墙村,wei'qiang'cun
围墙巷西口,wei'qiang'xiang'xi'kou
韦曲北,wei'qu'bei
韦曲北站,wei'qu'bei'zhan
韦曲南,wei'qu'nan
韦曲南站,wei'qu'nan'zhan
韦曲西街,wei'qu'xi'jie
韦三村,wei'san'cun
纬什街,wei'shen'jie
渭水园度假村,wei'shui'yuan'du'jia'cun
韦四村,wei'si'cun
未央宫街办,wei'yang'gong'jie'ban
未央湖,wei'yang'hu
未央湖开发区,wei'yang'hu'kai'fa'qu
未央区交通局,wei'yang'qu'jiao'tong'ju
魏寨,wei'zhai
魏寨白庙村,wei'zhai'bai'miao'cun
魏寨中学,wei'zhai'zhong'xue
韦兆,wei'zhao
韦兆机械厂,wei'zhao'ji'xie'chang
韦兆中学,wei'zhao'zhong'xue
文昌门,wen'chang'men
温国堡,wen'guo'bao
文化宫,wen'hua'gong
文化街,wen'hua'jie
文化街西口,wen'hua'jie'xi'kou
文景东区,wen'jing'dong'qu
文景公园,wen'jing'gong'yuan
文景立交北,wen'jing'li'jiao'bei
文景立交西,wen'jing'li'jiao'xi
文景路,wen'jing'lu
文景西区北门,wen'jing'xi'qu'bei'men
文景西区东门,wen'jing'xi'qu'dong'men
文景西区西门,wen'jing'xi'qu'xi'men
文理学院,wen'li'xue'yuan
文卫路东口,wen'wei'lu'dong'kou
文卫路西口,wen'wei'lu'xi'kou
文艺北路,wen'yi'bei'lu
文艺路,wen'yi'lu
文艺路南口,wen'yi'lu'nan'kou
文艺路批发市场,wen'yi'lu'pi'fa'shi'chang
文苑中路,wen'yuan'zhong'lu
翁家庄,weng'jia'zhuang
梧村,wu'cun
梧村加油站,wu'cun'jia'you'zhan
吴村庙,wu'cun'miao
五典坡,wu'dian'po
五二四厂,wu'er'si'chang
五二一医院,wu'er'yi'yi'yuan
伍府井,wu'fu'jing
吴高墙,wu'gao'qiang
五公司家属院,wu'gong'si'jia'shu'yuan
吴家村,wu'jia'cun
吴家坟,wu'jia'fen
吴家庄,wu'jia'zhuang
武警二支队,wu'jing'er'zhi'dui
武警学院,wu'jing'xue'yuan
武警医院,wu'jing'yi'yuan
五龙国际车城,wu'long'guo'ji'che'cheng
五楼村,wu'lou'cun
五楼中学,wu'lou'zhong'xue
五路口,wu'lu'kou
五桥村,wu'qiao'cun
五桥新村,wu'qiao'xin'cun
五十九中,wu'shi'jiu'zhong
五十六中,wu'shi'liu'zhong
五所,wu'suo
五台加油站,wu'tai'jia'you'zhan
五台街办,wu'tai'jie'ban
五台景区门口,wu'tai'jing'qu'men'kou
五台十字,wu'tai'shi'zi
五台小学,wu'tai'xiao'xue
五味什字,wu'wei'shen'zi
五星村,wu'xing'cun
五星路口,wu'xing'lu'kou
五星乡,wu'xing'xiang
五星乡政府,wu'xing'xiang'zheng'fu
五星中学,wu'xing'zhong'xue
五一村,wu'yi'cun
雾庄,wu'zhuang
物资局,wu'zi'ju
西安财经学院,xi'an'cai'jing'xue'yuan
西安车辆厂,xi'an'che'liang'chang
西岸城市花园,xi'an'cheng'shi'hua'yuan
西安地勘院,xi'an'di'kan'yuan
西安翻译学院,xi'an'fan'yi'xue'yuan
西安工程大学,xi'an'gong'cheng'da'xue
西安工程大学临潼校区,xi'an'gong'cheng'da'xue'lin'tong'xiao'qu
西安工程技术学院,xi'an'gong'cheng'ji'shu'xue'yuan
西安工业大学,xi'an'gong'ye'da'xue
西岸国际花园,xi'an'guo'ji'hua'yuan
西安航空旅游学院,xi'an'hang'kong'lv'you'xue'yuan
西安火车南站,xi'an'huo'che'nan'zhan
西安火车站,xi'an'huo'che'zhan
西安建设大厦,xi'an'jian'she'da'sha
西安建筑工程技术学院,xi'an'jian'zhu'gong'cheng'ji'shu'xue'yuan
西安建筑学院,xi'an'jian'zhu'xue'yuan
西安锦都,xi'an'jin'du
西安酒厂,xi'an'jiu'chang
西安科技大学,xi'an'ke'ji'da'xue
西安科技大学临潼校区,xi'an'ke'ji'da'xue'lin'tong'xiao'qu
西安联合学院,xi'an'lian'he'xue'yuan
西安旅游集散中心,xi'an'lv'you'ji'san'zhong'xin
西安汽车科技学院,xi'an'qi'che'ke'ji'xue'yuan
西安秦岭野生动物园,xi'an'qin'ling'ye'sheng'dong'wu'yuan
西安软件园,xi'an'ruan'jian'yuan
西安生物学院,xi'an'sheng'wu'xue'yuan
西安市第一中学,xi'an'shi'di'yi'zhong'xue
西安市汽车站,xi'an'shi'qi'che'zhan
西安市体育场,xi'an'shi'ti'yu'chang
西安数字技术学院,xi'an'shu'zi'ji'shu'xue'yuan
西安通信学院,xi'an'tong'xin'xue'yuan
西安医学院未央校区,xi'an'yi'xue'yuan'wei'yang'xiao'qu
西安职业技术学院,xi'an'zhi'ye'ji'shu'xue'yuan
西安中学,xi'an'zhong'xue
西垇村,xi'ao'cun
西八里村,xi'ba'li'cun
西八路,xi'ba'lu
西梆子市街,xi'bang'zi'shi'jie
西宝立交,xi'bao'li'jiao
西宝立交西,xi'bao'li'jiao'xi
西北村,xi'bei'cun
西北大学,xi'bei'da'xue
西北大学南校区,xi'bei'da'xue'nan'xiao'qu
西北大学南校区北门,xi'bei'da'xue'nan'xiao'qu'bei'men
西北饭店,xi'bei'fan'dian
西北服装城,xi'bei'fu'zhuang'cheng
西北化工城,xi'bei'hua'gong'cheng
西北一路,xi'bei'yi'lu
西部车城,xi'bu'che'cheng
西部大道,xi'bu'da'dao
西部大道东仪路口,xi'bu'da'dao'dong'yi'lu'kou
西部大道西段,xi'bu'da'dao'xi'duan
西部大道中段,xi'bu'da'dao'zhong'duan
西部大道子午大道口,xi'bu'da'dao'zi'wu'da'dao'kou
西部家具城,xi'bu'jia'ju'cheng
西部建材城,xi'bu'jian'cai'cheng
西部渔港,xi'bu'yu'gang
西堡子,xi'bu'zi
西堡子北,xi'bu'zi'bei
西堡子南,xi'bu'zi'nan
西财行知学院,xi'cai'xing'zhi'xue'yuan
西曹村,xi'cao'cun
西查寨,xi'cha'zhai
西长安街东口,xi'chang'an'jie'dong'kou
西晁村,xi'chao'cun
西钞广场,xi'chao'guang'chang
西城坊,xi'cheng'fang
西大新区,xi'da'xin'qu
西等驾坡,xi'deng'jia'po
西电技校,xi'dian'ji'xiao
西电科大长安校区,xi'dian'ke'da'chang'an'xiao'qu
西电科大南区北门,xi'dian'ke'da'nan'qu'bei'men
西电西开公司,xi'dian'xi'kai'gong'si
西电医院,xi'dian'yi'yuan
西段,xi'duan
西樊村,xi'fan'cun
西樊村东,xi'fan'cun'dong
西冯村,xi'feng'cun
西沣路环山路转盘,xi'feng'lu'huan'shan'lu'zhuan'pan
西甘,xi'gan
西甘村,xi'gan'cun
西甘河村,xi'gan'he'cun
西工大,xi'gong'da
西工大长安校区,xi'gong'da'chang'an'xiao'qu
西工大软件园,xi'gong'da'ruan'jian'yuan
西工大西门,xi'gong'da'xi'men
西故京,xi'gu'jing
西关,xi'guan
西光福利区,xi'guang'fu'li'qu
西郭村,xi'guo'cun
西航福利区,xi'hang'fu'li'qu
西航花园,xi'hang'hua'yuan
西航三校,xi'hang'san'xiao
西河村,xi'he'cun
戏河桥,xi'he'qiao
西核所,xi'he'suo
西河滩,xi'he'tan
西侯村,xi'hou'cun
西后地,xi'hou'di
西湖村,xi'hu'cun
西户十字,xi'hu'shi'zi
西化厂,xi'hua'chang
西华门,xi'hua'men
西花园,xi'hua'yuan
席家河,xi'jia'he
郗家街,xi'jia'jie
西姜村,xi'jiang'cun
西江坡,xi'jiang'po
西郊热电厂,xi'jiao're'dian'chang
西金路西段,xi'jin'lu'xi'duan
西金路西口,xi'jin'lu'xi'kou
西金路中段,xi'jin'lu'zhong'duan
西京大学,xi'jing'da'xue
西京公司,xi'jing'gong'si
西京医院,xi'jing'yi'yuan
西开公司,xi'kai'gong'si
西科测控,xi'ke'ce'kong
西科大高新学院,xi'ke'da'gao'xin'xue'yuan
西寇村,xi'kou'cun
西蓝高速路口,xi'lan'gao'su'lu'kou
西李,xi'li
西里,xi'li
细柳,xi'liu
细柳市场,xi'liu'shi'chang
细柳十字,xi'liu'shi'zi
细柳医院,xi'liu'yi'yuan
西马厂,xi'ma'chang
西玛电机,xi'ma'dian'ji
西马营,xi'ma'ying
西马寨,xi'ma'zhai
西门,xi'men
西门外,xi'men'wai
西南城角,xi'nan'cheng'jiao
西南村,xi'nan'cun
西坡村,xi'po'cun
西七路,xi'qi'lu
西渠村,xi'qu'cun
西渠路口,xi'qu'lu'kou
西泉,xi'quan
西泉乡,xi'quan'xiang
西瑞集团,xi'rui'ji'tuan
西三爻,xi'san'yao
西梢门,xi'shao'men
西稍门,xi'shao'men
西苏村,xi'su'cun
西苏路口,xi'su'lu'kou
西太路公交枢纽站,xi'tai'lu'gong'jiao'shu'niu'zhan
西唐寨,xi'tang'zhai
西桃园,xi'tao'yuan
西铁局,xi'tie'ju
西铁看守所,xi'tie'kan'shou'suo
西铁小区,xi'tie'xiao'qu
西铁职校,xi'tie'zhi'xiao
西铁职院,xi'tie'zhi'yuan
西外附校,xi'wai'fu'xiao
西万路加气站,xi'wan'lu'jia'qi'zhan
西万路口,xi'wan'lu'kou
席王,xi'wang
席王村,xi'wang'cun
西王村,xi'wang'cun
席王路西口,xi'wang'lu'xi'kou
西王莽,xi'wang'mang
席王派出所,xi'wang'pai'chu'suo
西韦村,xi'wei'cun
西韦新村,xi'wei'xin'cun
西五桥新村,xi'wu'qiao'xin'cun
习武园,xi'wu'yuan
习武园社区,xi'wu'yuan'she'qu
西斜六路,xi'xie'liu'lu
西斜路,xi'xie'lu
西斜七路,xi'xie'qi'lu
西新村,xi'xin'cun
西辛庄,xi'xin'zhuang
西洋村,xi'yang'cun
西杨万,xi'yang'wan
西窑村,xi'yao'cun
西窑头,xi'yao'tou
西一村,xi'yi'cun
西一村西口,xi'yi'cun'xi'kou
西影厂,xi'ying'chang
西营村,xi'ying'cun
西影路,xi'ying'lu
西闸口,xi'zha'kou
西闸口南口,xi'zha'kou'nan'kou
西寨,xi'zhai
西寨教师小区,xi'zhai'jiao'shi'xiao'qu
西寨青年南街,xi'zhai'qing'nian'nan'jie
西站,xi'zhan
西祝村,xi'zhu'cun
西庄,xi'zhuang
西庄村,xi'zhuang'cun
下北良村,xia'bei'liang'cun
下伯坊村,xia'bo'fang'cun
下伯坊村西,xia'bo'fang'cun'xi
下店村,xia'dian'cun
夏殿村,xia'dian'cun
下店村东口,xia'dian'cun'dong'kou
下和村,xia'he'cun
下河滩,xia'he'tan
下红庙村,xia'hong'miao'cun
夏侯村,xia'hou'cun
夏侯东,xia'hou'dong
夏家庄,xia'jia'zhuang
下滦村,xia'luan'cun
下南丰,xia'nan'feng
下南丰村,xia'nan'feng'cun
下桥梓口村,xia'qiao'zi'kou'cun
下水腰村,xia'shui'yao'cun
下塔坡,xia'ta'po
下团庄,xia'tuan'zhuang
下湾村,xia'wan'cun
现代农业开发区,xian'dai'nong'ye'kai'fa'qu
香村,xiang'cun
祥和居,xiang'he'ju
祥和居小区,xiang'he'ju'xiao'qu
香湖湾,xiang'hu'wan
香积寺村,xiang'ji'si'cun
香积寺村中,xiang'ji'si'cun'zhong
香积寺中学,xiang'ji'si'zhong'xue
相家巷,xiang'jia'xiang
相家巷村,xiang'jia'xiang'cun
橡胶厂,xiang'jiao'chang
祥龙服装城,xiang'long'fu'zhuang'cheng
翔龙驾校,xiang'long'jia'xiao
向荣小区,xiang'rong'xiao'qu
香山寺,xiang'shan'si
响塘寨,xiang'tang'zhai
香王,xiang'wang
祥峪口,xiang'yu'kou
祥峪森林公园,xiang'yu'sen'lin'gong'yuan
