阿斗当皇帝软弱无能,a'dou'dang'huang'di'ruan'ruo'wu'neng
司马迁,si'ma'qian
司马师,si'ma'shi
司马望,si'ma'wang
司马炎,si'ma'yan
司马炎废魏主袭用老谱,si'ma'yan'fei'wei'zhu'xi'yong'lao'pu
司马仰,si'ma'yang
司马懿,si'ma'yi
司马懿克日擒孟达,si'ma'yi'ke'ri'qin'meng'da
司马懿破八卦阵不懂装懂,si'ma'yi'po'ba'gua'zhen'bu'dong'zhuang'dong
司马懿入寇西蜀,si'ma'yi'ru'kou'xi'shu
司马懿诈病赚曹爽,si'ma'yi'zha'bing'zhuan'cao'shuang
司马懿占北原渭桥,si'ma'yi'zhan'bei'yuan'wei'qiao
司马攸,si'ma'you
司马昭,si'ma'zhao
司马专政,si'ma'zhuan'zheng
思然,si'ran
思善,si'shan
四十余年之久,si'shi'yu'nian'zhi'jiu
汜水关,si'shui'guan
司徒,si'tu
司吾,si'wu
司盐校尉,si'yan'xiao'wei
思远,si'yuan
司州,si'zhou
四州之地,si'zhou'zhi'di
死诸葛吓退活司马,si'zhu'ge'xia'tui'huo'si'ma
宋白,song'bai
宋国,song'guo
宋果,song'guo
宋谦,song'qian
宋宪,song'xian
宋忠,song'zhong
叟兵,sou'bing
搜罗,sou'luo
苏飞,su'fei
苏双,su'shuang
粟邑,su'yi
苏由,su'you
苏顒,su'yu
苏越,su'yue
僳越部部族,su'yue'bu'bu'zu
酸枣,suan'zao
遂城,sui'cheng
遂高,sui'gao
虽合天理,sui'he'tian'li
睢陵,sui'ling
绥南中郎将,sui'nan'zhong'lang'jiang
虽能用兵,sui'neng'yong'bing
虽然还,sui'ran'hai
虽提卒十万,sui'ti'zu'shi'wan
随县,sui'xian
睢阳,sui'yang
岁在甲子,sui'zai'jia'zi
孙伯符大战严白虎,sun'bo'fu'da'zhan'yan'bai'hu
孙策,sun'ce
孙德,sun'de
孙登,sun'deng
孙端,sun'duan
孙恩,sun'en
孙干,sun'gan
孙高,sun'gao
孙恭,sun'gong
孙观,sun'guan
孙皓,sun'hao
孙和,sun'he
孙河,sun'he
孙桓,sun'huan
孙冀,sun'ji
孙坚,sun'jian
孙坚跨江击刘表,sun'jian'kua'jiang'ji'liu'biao
孙坚之子,sun'jian'zhi'zi
孙皎,sun'jiao
孙静,sun'jing
孙据,sun'ju
孙峻,sun'jun
孙峻席间施密计,sun'jun'xi'jian'shi'mi'ji
孙楷,sun'kai
孙闿,sun'kai
孙匡,sun'kuang
孙朗,sun'lang
孙礼,sun'li
孙亮,sun'liang
孙刘联军,sun'liu'lian'jun
孙破虏讨逆传,sun'po'lu'tao'ni'chuan
孙乾,sun'qian
孙谦,sun'qian
孙权,sun'quan
孙权降魏受九锡,sun'quan'jiang'wei'shou'jiu'xi
孙权决计破曹操,sun'quan'jue'ji'po'cao'cao
孙权遗书退老瞒,sun'quan'yi'shu'tui'lao'man
孙权长兄,sun'quan'zhang'xiong
孙仁,sun'ren
孙尚香,sun'shang'xiang
孙韶,sun'shao
孙綝,sun'shen
孙吴,sun'wu
孙歆,sun'xin
孙休,sun'xiu
孙秀,sun'xiu
孙异,sun'yi
孙翊,sun'yi
孙瑜,sun'yu
孙仲,sun'zhong
孙仲谋大战张文远,sun'zhong'mou'da'zhan'zhang'wen'yuan
孙资,sun'zi
所降下者因以予之,suo'jiang'xia'zhe'yin'yi'yu'zhi
所以致弊,suo'yi'zhi'bi
锁战船北军用武,suo'zhan'chuan'bei'jun'yong'wu
蹋顿,ta'dun
他日必死于小人之手,ta'ri'bi'si'yu'xiao'ren'zhi'shou
沓氏,ta'shi
太常,tai'chang
太阿锻造书,tai'e'duan'zao'shu
太傅,tai'fu
太和,tai'he
太康,tai'kang
太康元年,tai'kang'yuan'nian
太平,tai'ping
太仆,tai'pu
太丘,tai'qiu
泰山府君杖,tai'shan'fu'jun'zhang
泰山郡,tai'shan'jun
泰始,tai'shi
太史慈,tai'shi'ci
太史慈酣斗小霸王,tai'shi'ci'han'dou'xiao'ba'wang
太史亨,tai'shi'heng
太守,tai'shou
太尉,tai'wei
太熙,tai'xi
台县,tai'xian
泰雍,tai'yong
太元,tai'yuan
太原郡,tai'yuan'jun
太中大夫,tai'zhong'da'fu
太子,tai'zi
檀敷,tan'fu
贪狼天将,tan'lang'tian'jiang
郯县,tan'xian
谭雄,tan'xiong
谈指,tan'zhi
潭中,tan'zhong
唐彬,tang'bin
唐妃,tang'fei
堂狼,tang'lang
唐旄,tang'mao
唐县,tang'xian
堂阳,tang'yang
堂邑,tang'yi
唐周,tang'zhou
唐咨,tang'zi
讨曹檄文,tao'cao'xi'wen
讨伐董卓,tao'fa'dong'zhuo
陶恭祖三让徐州,tao'gong'zu'san'rang'xu'zhou
讨汉贼五臣死节,tao'han'zei'wu'chen'si'jie
陶濬,tao'jun
讨寇将军,tao'kou'jiang'jun
讨虏将军,tao'lu'jiang'jun
讨逆将军,tao'ni'jiang'jun
陶谦,tao'qian
陶谦三让徐州,tao'qian'san'rang'xu'zhou
陶商,tao'shang
饕餮凶颅,tao'tie'xiong'lu
讨魏国武侯再上表,tao'wei'guo'wu'hou'zai'shang'biao
洮阳,tao'yang
陶应,tao'ying
桃园,tao'yuan
桃园结义,tao'yuan'jie'yi
桃园三结义,tao'yuan'san'jie'yi
逃至,tao'zhi
滕循,teng'xun
滕胤,teng'yin
提督,ti'du
提奚,ti'xi
天册,tian'ce
田畴,tian'chou
田丰,tian'feng
天公将军,tian'gong'jiang'jun
天纪,tian'ji
田楷,tian'kai
天马,tian'ma
田氏,tian'shi
天文,tian'wen
天玺,tian'xi
天下大吉,tian'xia'da'ji
天下大势,tian'xia'da'shi
天下分裂,tian'xia'fen'lie
田续,tian'xu
田豫,tian'yu
天羽凤凰枪锻造书,tian'yu'feng'huang'qiang'duan'zao'shu
田章,tian'zhang
挑拨,tiao'bo
挑灯夜战,tiao'deng'ye'zhan
挑斩,tiao'zhan
亭侯,ting'hou
廷尉,ting'wei
挺县,ting'xian
同并,tong'bing
铜鞮,tong'di
僮国,tong'guo
桐过,tong'guo
通侯,tong'hou
同濑,tong'lai
同劳,tong'lao
统领,tong'ling
通谋,tong'mou
痛失荆州,tong'shi'jing'zhou
同讨,tong'tao
通天战马,tong'tian'zhan'ma
鲖阳,tong'yang
统一范围,tong'yi'fan'wei
统一了,tong'yi'le
偷渡阴平,tou'du'yin'ping
土安,tu'an
土地所有者,tu'di'suo'you'zhe
土鼓,tu'gu
徒河,tu'he
突击,tu'ji
徒县,tu'xian
土垠,tu'yin
土元,tu'yuan
土载,tu'zai
土治,tu'zhi
土宗,tu'zong
退回蜀中,tui'hui'shu'zhong
退回中原,tui'hui'zhong'yuan
屯留,tun'liu
屯骑校尉,tun'qi'xiao'wei
屯田兵,tun'tian'bing
屯田积谷,tun'tian'ji'gu
屯田续资,tun'tian'xu'zi
屯土山关公约三事,tun'tu'shan'guan'gong'yue'san'shi
吞吐天地之志者也,tun'tu'tian'di'zhi'zhi'zhe'ye
屯有,tun'you
拖刀,tuo'dao
拖刀计斩蔡阳,tuo'dao'ji'zhan'cai'yang
托屯田姜维避祸,tuo'tun'tian'jiang'wei'bi'huo
外黄,wai'huang
外军,wai'jun
外宽而内忌,wai'kuan'er'nei'ji
外托君臣之义,wai'tuo'jun'chen'zhi'yi
玩具槌,wan'ju'chui
万里起云烟,wan'li'qi'yun'yan
宛陵,wan'ling
万民皆怨,wan'min'jie'yuan
万年,wan'nian
毌丘俭,wan'qiu'jian
万胜丈八矛锻造书,wan'sheng'zhang'ba'mao'duan'zao'shu
万石弓,wan'shi'gong
宛温,wan'wen
皖县,wan'xian
万彧,wan'yu
万政,wan'zheng
王必,wang'bi
王粲,wang'can
王昌,wang'chang
王昶,wang'chang
望都,wang'du
王敦,wang'dun
王方,wang'fang
王甫,wang'fu
王夫人,wang'fu'ren
王瓘,wang'guan
王观,wang'guan
王含,wang'han
王浑,wang'hun
王基,wang'ji
王建,wang'jian
王经,wang'jing
王濬,wang'jun
王楷,wang'kai
王伉,wang'kang
王匡,wang'kuang
王朗,wang'lang
王累,wang'lei
王立,wang'li
王连,wang'lian
王凌,wang'ling
王楼贺韦华传,wang'lou'he'wei'hua'chuan
网罗,wang'luo
王买,wang'mai
王美人,wang'mei'ren
望梅止渴,wang'mei'zhi'ke
王谋,wang'mou
望平,wang'ping
王平,wang'ping
王颀,wang'qi
王戎,wang'rong
王沈,wang'shen
王氏,wang'shi
王双,wang'shuang
王司徒巧使连环计,wang'si'tu'qiao'shi'lian'huan'ji
王肃,wang'su
汪陶,wang'tao
王韬,wang'tao
王威,wang'wei
王卫二刘傅传,wang'wei'er'liu'fu'chuan
王毋丘诸葛邓钟传,wang'wu'qiu'zhu'ge'deng'zhong'chuan
王祥,wang'xiang
王修,wang'xiu
王琰,wang'yan
王业,wang'ye
王邑,wang'yi
王允,wang'yun
王则,wang'ze
汪昭,wang'zhao
王者之风,wang'zhe'zhi'feng
王真,wang'zhen
王植,wang'zhi
王忠,wang'zhong
王子服,wang'zi'fu
唯才是举,wei'cai'shi'ju
为曹操,wei'cao'cao
维持,wei'chi
维持了,wei'chi'le
为代表的,wei'dai'biao'de
魏代汉,wei'dai'han
魏得北方,wei'de'bei'fang
为帝,wei'di
魏帝曹髦,wei'di'cao'mao
伟度,wei'du
威公,wei'gong
卫瓘,wei'guan
卫国,wei'guo
魏国丞相,wei'guo'cheng'xiang
魏国的,wei'guo'de
卫弘,wei'hong
威侯,wei'hou
韦晃,wei'huang
位极则残,wei'ji'ze'can
卫将军,wei'jiang'jun
魏晋,wei'jin
魏郡,wei'jun
卫凯,wei'kai
韦康,wei'kang
尉黎,wei'li
位列,wei'lie
魏邈,wei'miao
魏灭蜀汉,wei'mie'shu'han
魏明帝,wei'ming'di
魏平,wei'ping
为人者,wei'ren'zhe
尉氏,wei'shi
魏书,wei'shu
魏蜀吴,wei'shu'wu
威硕,wei'shuo
伟台,wei'tai
魏太祖,wei'tai'zu
魏王,wei'wang
卫尉,wei'wei
为文帝,wei'wen'di
魏文帝,wei'wen'di
帷幄,wei'wo
魏武帝,wei'wu'di
味县,wei'xian
魏县,wei'xian
威刑不肃,wei'xing'bu'su
危须,wei'xu
魏续,wei'xu
威压,wei'ya
卫演,wei'yan
魏延,wei'yan
为援,wei'yuan
伟章,wei'zhang
威振疆场,wei'zhen'jiang'chang
为正统,wei'zheng'tong
未知其二,wei'zhi'qi'er
为治之道,wei'zhi'zhi'dao
卫仲道,wei'zhong'dao
魏主拆取承露盘,wei'zhu'chai'qu'cheng'lu'pan
魏主归政司马氏,wei'zhu'gui'zheng'si'ma'shi
文安,wen'an
文臣,wen'chen
文丑,wen'chou
文达,wen'da
文德,wen'de
文帝纪第二,wen'di'ji'di'er
稳定局势,wen'ding'ju'shi
文和,wen'he
文衡,wen'heng
温侯,wen'hou
文虎,wen'hu
文惠,wen'hui
文姬,wen'ji
汶江道,wen'jiang'dao
文节,wen'jie
文进,wen'jin
温酒斩华雄,wen'jiu'zhan'hua'xiong
文举,wen'ju
文礼,wen'li
文明,wen'ming
文聘,wen'pin
文谦,wen'qian
文钦,wen'qin
文然,wen'ran
文若,wen'ruo
文淑,wen'shu
文舒,wen'shu
温宿,wen'su
文台,wen'tai
文伟,wen'wei
文蔚,wen'wei
文武官员,wen'wu'guan'yuan
闻喜,wen'xi
文先,wen'xian
汶县,wen'xian
温县,wen'xian
文向,wen'xiang
文休,wen'xiu
文选,wen'xuan
文学方面,wen'xue'fang'mian
文学巨著,wen'xue'ju'zhu
文学史,wen'xue'shi
汶阳,wen'yang
文鸯单骑退雄兵,wen'yang'dan'qi'tui'xiong'bing
文仪,wen'yi
文约,wen'yue
文则,wen'ze
翁叔,weng'shu
沃沮,wo'ju
卧龙,wo'long
卧龙先生,wo'long'xian'sheng
沃野,wo'ye
吾爱吾庐,wu'ai'wu'lu
武安,wu'an
武安国,wu'an'guo
吴班,wu'ban
无编,wu'bian
戊部侯城,wu'bu'hou'cheng
吾不望生矣,wu'bu'wang'sheng'yi
吾粲,wu'can
武昌,wu'chang
吴臣,wu'chen
乌程,wu'cheng
武成,wu'cheng
乌程侯,wu'cheng'hou
吴大帝,wu'da'di
毋单,wu'dan
武当,wu'dang
武德,wu'de
吴得东南地区,wu'de'dong'nan'di'qu
五等爵制,wu'deng'jue'zhi
武帝纪第一,wu'di'ji'di'yi
武都道,wu'du'dao
武都郡,wu'du'jun
吴敦,wu'dun
吴范刘敦赵达传,wu'fan'liu'dun'zhao'da'chuan
吴房,wu'fang
五凤,wu'feng
伍孚,wu'fu
吴夫人,wu'fu'ren
吴纲,wu'gang
乌戈国,wu'ge'guo
无功,wu'gong
武功,wu'gong
五官掾,wu'guan'yuan
五光宝扇,wu'guang'bao'shan
吴国,wu'guo
吴国太,wu'guo'tai
吴国太佛寺看新郎,wu'guo'tai'fo'si'kan'xin'lang
乌合之众,wu'he'zhi'zhong
武侯斗阵辱仲达,wu'hou'dou'zhen'ru'zhong'da
武侯弹琴退仲达,wu'hou'tan'qin'tui'zhong'da
武侯显圣定军山,wu'hou'xian'sheng'ding'jun'shan
武侯预伏锦囊计,wu'hou'yu'fu'jin'nang'ji
芜湖,wu'hu
五虎上将,wu'hu'shang'jiang
乌桓,wu'huan
乌桓触,wu'huan'chu
毋极,wu'ji
戊己校尉,wu'ji'xiao'wei
戊己校尉城,wu'ji'xiao'wei'cheng
吴将,wu'jiang
武将,wu'jiang
武进,wu'jin
吾今威之以法,wu'jin'wei'zhi'yi'fa
吴景,wu'jing
吴景帝,wu'jing'di
吴军,wu'jun
吴郡,wu'jun
吴郡富春,wu'jun'fu'chun
吴匡,wu'kuang
吴兰,wu'lan
屋兰,wu'lan
毋敛,wu'lian
武陵郡,wu'ling'jun
无虑,wu'lv
武曼,wu'man
无难右部督,wu'nan'you'bu'du
吾能用之,wu'neng'yong'zhi
武平,wu'ping
吴妻,wu'qi
伍琼,wu'qiong
毋丘甸,wu'qiu'dian
毋丘俭,wu'qiu'jian
武泉,wu'quan
吾任天下之智力,wu'ren'tian'xia'zhi'zhi'li
乌伤,wu'shang
乌氏,wu'shi
吴氏,wu'shi
吴书,wu'shu
吴硕,wu'shuo
武遂,wu'sui
乌孙族,wu'sun'zu
无所不可,wu'suo'bu'ke
吾所以有天下者何,wu'suo'yi'you'tian'xia'zhe'he
兀突骨,wu'tu'gu
务涂谷,wu'tu'gu
乌丸鲜卑东夷传,wu'wan'xian'bei'dong'yi'chuan
吴王,wu'wang
武卫,wu'wei
武威,wu'wei
武卫都尉,wu'wei'du'wei
武卫将军,wu'wei'jiang'jun
武威郡,wu'wei'jun
武文世王公传,wu'wen'shi'wang'gong'chuan
伍习,wu'xi
无锡,wu'xi
吴县,wu'xian
巫县,wu'xian
梧县,wu'xian
邬县,wu'xian
武乡侯骂死王朗,wu'xiang'hou'ma'si'wang'lang
武乡侯四番用计,wu'xiang'hou'si'fan'yong'ji
吴押狱,wu'ya'yu
伍延,wu'yan
吾彦,wu'yan
无盐,wu'yan
武阳,wu'yang
舞阳,wu'yang
舞阳君,wu'yang'jun
吴懿,wu'yi
武邑,wu'yi
舞阴,wu'yin
五原,wu'yuan
武原,wu'yuan
武垣,wu'yuan
五原郡,wu'yuan'jun
五原郡九原县,wu'yuan'jun'jiu'yuan'xian
五丈原,wu'zhang'yuan
五丈原诸葛禳星,wu'zhang'yuan'zhu'ge'rang'xing
吴质,wu'zhi
无终,wu'zhong
武州,wu'zhou
吴主传,wu'zhu'chuan
吴主五子传,wu'zhu'wu'zi'chuan
武装,wu'zhuang
毋畷,wu'zhui
吴子兰,wu'zi'lan
五子良将,wu'zi'liang'jiang
西安,xi'an
西安平,xi'an'ping
西安阳,xi'an'yang
西部都尉,xi'bu'du'wei
西曹掾,xi'cao'yuan
袭陈仓武侯取胜,xi'chen'cang'wu'hou'qu'sheng
西城,xi'cheng
西鄂,xi'e
西盖马,xi'gai'ma
昔高祖约法三章,xi'gao'zu'yue'fa'san'zhang
西河郡,xi'he'jun
西华,xi'hua
西晋初年,xi'jin'chu'nian
西晋王朝,xi'jin'wang'chao
西晋武帝,xi'jin'wu'di
西卷,xi'juan
西陵,xi'ling
郗虑,xi'lv
洗马,xi'ma
奚泥,xi'ni
西平,xi'ping
西平昌,xi'ping'chang
西迁长安,xi'qian'chang'an
西曲阳,xi'qu'yang
袭杀,xi'sha
西随,xi'sui
巂唐,xi'tang
析县,xi'xian
西县,xi'xian
锡县,xi'xian
西乡侯,xi'xiang'hou
细阳,xi'yang
西阳,xi'yang
西于,xi'yu
西域,xi'yu
西域都护,xi'yu'du'hu
西域都护府,xi'yu'du'hu'fu
西园八校尉,xi'yuan'ba'xiao'wei
戏志才,xi'zhi'cai
下辨,xia'bian
下博,xia'bo
下蔡,xia'cai
夏官,xia'guan
夏侯霸,xia'hou'ba
夏侯存,xia'hou'cun
夏侯德,xia'hou'de
夏侯惇,xia'hou'dun
夏侯敦,xia'hou'dun
夏侯惇拔矢啖睛,xia'hou'dun'ba'shi'dan'jing
夏侯恩,xia'hou'en
夏侯和,xia'hou'he
夏侯惠,xia'hou'hui
夏侯杰,xia'hou'jie
夏侯兰,xia'hou'lan
夏侯楙,xia'hou'mao
夏侯尚,xia'hou'shang
夏侯威,xia'hou'wei
夏侯咸,xia'hou'xian
夏侯玄,xia'hou'xuan
夏侯渊,xia'hou'yuan
下隽,xia'juan
下洛,xia'luo
下密,xia'mi
下邳,xia'pi
下邳城曹操鏖兵,xia'pi'cheng'cao'cao'ao'bing
下邳国,xia'pi'guo
夏丘,xia'qiu
瑕丘,xia'qiu
下曲阳,xia'qu'yang
下相,xia'xiang
夏恂,xia'xun
夏阳,xia'yang
下邑,xia'yi
夏恽,xia'yun
下雉,xia'zhi
鲜卑,xian'bei
先登校尉,xian'deng'xiao'wei
献帝,xian'di
险渎,xian'du
显甫,xian'fu
宪和,xian'he
县侯,xian'hou
咸欢,xian'huan
献连环计,xian'lian'huan'ji
县令长,xian'ling'chang
显美,xian'mei
献密计黄盖受刑,xian'mi'ji'huang'gai'shou'xing
咸宁,xian'ning
显亲,xian'qin
仙人,xian'ren
狝氏,xian'shi
显思,xian'si
县尉,xian'wei
咸熙,xian'xi
咸熙二年,xian'xi'er'nian
咸阳,xian'yang
显奕,xian'yi
贤者疑之,xian'zhe'yi'zhi
限之以爵,xian'zhi'yi'jue
先主传,xian'zhu'chuan
先主征吴赏六军,xian'zhu'zheng'wu'shang'liu'jun
襄安,xiang'an
襄贲,xiang'ben
向曹军,xiang'cao'jun
襄城,xiang'cheng
相持,xiang'chi
相持于,xiang'chi'yu
向宠,xiang'chong
相国,xiang'guo
襄国,xiang'guo
相国参军,xiang'guo'can'jun
乡侯,xiang'hou
相机进攻,xiang'ji'jin'gong
相接,xiang'jie
向举,xiang'ju
向朗,xiang'lang
襄陵,xiang'ling
湘南,xiang'nan
襄平,xiang'ping
项氏之所以失天下者何,xiang'shi'zhi'suo'yi'shi'tian'xia'zhe'he
襄武,xiang'wu
向县,xiang'xian
相县,xiang'xian
项县,xiang'xian
湘乡,xiang'xiang
襄乡,xiang'xiang
襄阳,xiang'yang
襄阳隆中,xiang'yang'long'zhong
襄邑,xiang'yi
项羽妒贤嫉能,xiang'yu'du'xian'ji'neng
项羽仁而爱人,xiang'yu'ren'er'ai'ren
项羽有一范增而不能用,xiang'yu'you'yi'fan'zeng'er'bu'neng'yong
襄垣,xiang'yuan
相职,xiang'zhi
小霸王,xiao'ba'wang
小霸王怒斩于吉,xiao'ba'wang'nu'zhan'yu'ji
效谷,xiao'gu
孝侯,xiao'hou
小黄,xiao'huang
消灭了,xiao'mie'le
小名阿瞒,xiao'ming'a'man
小沛,xiao'pei
孝起,xiao'qi
小乔,xiao'qiao
校事,xiao'shi
猇亭,xiao'ting
猇亭一战,xiao'ting'yi'zhan
猇亭之战,xiao'ting'zhi'zhan
校尉,xiao'wei
孝先,xiao'xian
洨县,xiao'xian
肖县,xiao'xian
孝裕,xiao'yu
孝直,xiao'zhi
挟持汉献帝,xie'chi'han'xian'di
挟持献帝,xie'chi'xian'di
谢旌,xie'jing
写了本纪,xie'le'ben'ji
邪龙,xie'long
邪马台女王,xie'ma'tai'nv'wang
谢沐,xie'mu
挟天子以令不臣,xie'tian'zi'yi'ling'bu'chen
挟天子以令诸侯,xie'tian'zi'yi'ling'zhu'hou
谢雄,xie'xiong
薤叶芸香,xie'ye'yun'xiang
邪月锻造书,xie'yue'duan'zao'shu
新安,xin'an
新蔡,xin'cai
新昌,xin'chang
辛敞,xin'chang
新城,xin'cheng
新城乡侯,xin'cheng'xiang'hou
信都,xin'du
新都,xin'du
新丰,xin'feng
新淦,xin'gan
新汲,xin'ji
辛明,xin'ming
辛毗,xin'pi
辛毗杨阜高堂隆传,xin'pi'yang'fu'gao'tang'long'chuan
新平,xin'ping
辛评,xin'ping
新市,xin'shi
新息,xin'xi
辛宪英,xin'xian'ying
新阳,xin'yang
新野,xin'ye
新野城,xin'ye'cheng
新郑,xin'zheng
兴霸,xing'ba
形成雏型,xing'cheng'chu'xing
形成了,xing'cheng'le
刑道荣,xing'dao'rong
性急少谋,xing'ji'shao'mou
兴平,xing'ping
陉县,xing'xian
荥阳,xing'yang
刑贞,xing'zhen
兄逼弟曹植赋诗,xiong'bi'di'cao'zhi'fu'shi
胸怀大志,xiong'huai'da'zhi
匈奴,xiong'nu
绣花大锤,xiu'hua'da'chui
休教天下人负我,xiu'jiao'tian'xia'ren'fu'wo
休屠,xiu'tu
修武,xiu'wu
休先,xiu'xian
修县,xiu'xian
休元,xiu'yuan
休渊,xiu'yuan
休昭,xiu'zhao
休徵,xiu'zheng
许昌,xu'chang
须昌,xu'chang
许褚,xu'chu
许褚斗马超赤膊上阵,xu'chu'dou'ma'chao'chi'bo'shang'zhen
许褚裸衣斗马超,xu'chu'luo'yi'dou'ma'chao
揟次,xu'ci
许慈,xu'ci
徐夫人,xu'fu'ren
许贡,xu'gong
许贡家客,xu'gong'jia'ke
徐公明大战沔水,xu'gong'ming'da'zhan'mian'shui
徐胡二王传,xu'hu'er'wang'chuan
徐晃,xu'huang
许靖,xu'jing
徐康,xu'kang
许麋孙简伊秦传,xu'mi'sun'jian'yi'qin'chuan
徐母,xu'mu
胥浦,xu'pu
徐璆,xu'qiu
徐荣,xu'rong
徐商,xu'shang
许劭,xu'shao
许韶,xu'shao
徐盛,xu'sheng
徐氏,xu'shi
徐庶,xu'shu
徐庶进曹营言不发,xu'shu'jin'cao'ying'yan'bu'fa
徐庶进曹营一言不发,xu'shu'jin'cao'ying'yi'yan'bu'fa
许汜,xu'si
徐闻,xu'wen
徐无,xu'wu
徐县,xu'xian
许县,xu'xian
许晏,xu'yan
盱眙,xu'yi
许仪,xu'yi
许攸,xu'you
许允,xu'yun
徐质,xu'zhi
许芝,xu'zhi
徐州,xu'zhou
徐州刺史部,xu'zhou'ci'shi'bu
玄冰扇锻造书,xuan'bing'shan'duan'zao'shu
玄伯,xuan'bo
选曹尚书,xuan'cao'shang'shu
玄冲,xuan'chong
玄德,xuan'de
玄德进位汉中王,xuan'de'jin'wei'han'zhong'wang
玄德荆州依刘表,xuan'de'jing'zhou'yi'liu'biao
玄德南漳逢隐沦,xuan'de'nan'zhang'feng'yin'lun
玄德用计袭樊城,xuan'de'yong'ji'xi'fan'cheng
玄德智激孙夫人,xuan'de'zhi'ji'sun'fu'ren
宣帝纪,xuan'di'ji
宣高,xuan'gao
选官,xuan'guan
宣汉,xuan'han
玄茂,xuan'mao
玄冥法扇,xuan'ming'fa'shan
泫氏,xuan'shi
玄菟郡,xuan'tu'jun
宣威,xuan'wei
玄威,xuan'wei
玄武,xuan'wu
玄武灵壳,xuan'wu'ling'ke
旋樱,xuan'ying
雪弟恨先主兴兵,xue'di'hen'xian'zhu'xing'bing
薛兰,xue'lan
薛礼,xue'li
薛乔,xue'qiao
血刃锻造书,xue'ren'duan'zao'shu
雪山灵芝,xue'shan'ling'zhi
薛悌,xue'ti
薛县,xue'xian
血翼,xue'yi
薛莹,xue'ying
薛则,xue'ze
薛综,xue'zong
迅风振秋叶,xun'feng'zhen'qiu'ye
荀绲,xun'gun
荀恺,xun'kai
训练,xun'lian
荀谌,xun'shen
荀爽,xun'shuang
荀勖,xun'xu
寻阳,xun'yang
旬邑,xun'yi
荀攸,xun'you
荀彧,xun'yu
荀彧攸贾诩传,xun'yu'you'jia'xu'chuan
荀恽,xun'yun
荀正,xun'zheng
雅丹,ya'dan
牙门将军,ya'men'jiang'jun
衙县,ya'xian
严白虎,yan'bai'hu
言必行,yan'bi'xing
彦材,yan'cai
演长,yan'chang
宴长江曹操赋诗,yan'chang'jiang'cao'cao'fu'shi
延城,yan'cheng
厌次,yan'ci
严道,yan'dao
盐渎,yan'du
严纲,yan'gang
彦靖,yan'jing
严畯,yan'jun
延康,yan'kang
延康元年,yan'kang'yuan'nian
颜良,yan'liang
彦林,yan'lin
鄢陵,yan'ling
彦龙,yan'long
雁门郡,yan'men'jun
晏明,yan'ming
阎圃,yan'pu
严氏,yan'shi
偃师,yan'shi
彦士,yan'shi
延寿,yan'shou
宴桃园豪杰三结义,yan'tao'yuan'hao'jie'san'jie'yi
延熙,yan'xi
燕县,yan'xian
郾县,yan'xian
鄢县,yan'xian
阎象,yan'xiang
炎兴,yan'xing
严颜,yan'yan
阎晏,yan'yan
燕阳,yan'yang
彦英,yan'ying
严舆,yan'yu
阎宇,yan'yu
兖豫二州,yan'yu'er'zhou
严政,yan'zheng
阎芝,yan'zhi
兖州,yan'zhou
兖州刺史部,yan'zhou'ci'shi'bu
阳阿,yang'a
阳安,yang'an
杨昂,yang'ang
杨柏,yang'bai
杨彪,yang'biao
阳城,yang'cheng
杨丑,yang'chou
阳翟,yang'di
阳都,yang'dou
杨奉,yang'feng
杨锋,yang'feng
杨奉董承双救驾,yang'feng'dong'cheng'shuang'jiu'jia
杨阜,yang'fu
杨阜借兵破马超,yang'fu'jie'bing'po'ma'chao
杨洪,yang'hong
羊祜,yang'hu
杨怀,yang'huai
杨暨,yang'ji
杨济,yang'ji
阳乐,yang'le
杨陵,yang'ling
杨龄,yang'ling
杨密,yang'mi
阳平,yang'ping
阳平侯,yang'ping'hou
杨琦,yang'qi
杨秋,yang'qiu
阳曲,yang'qu
阳泉,yang'quan
阳群,yang'qun
杨任,yang'ren
杨氏,yang'shi
杨松,yang'song
阳唆,yang'suo
阳土,yang'tu
阳武,yang'wu
扬武将军,yang'wu'jiang'jun
阳夏,yang'xia
杨县,yang'xian
阳羡,yang'xian
杨欣,yang'xin
阳信,yang'xin
杨修,yang'xiu
杨修剑,yang'xiu'jian
杨仪,yang'yi
阳邑,yang'yi
杨顒,yang'yu
扬州,yang'zhou
扬州刺史部,yang'zhou'ci'shi'bu
扬州的,yang'zhou'de
杨综,yang'zong
扬足,yang'zu
杨祚,yang'zuo
妖狐裘,yao'hu'qiu
邺城,ye'cheng
掖国,ye'guo
夜郎,ye'lang
野王,ye'wang
叶县,ye'xian
邺县,ye'xian
夷安,yi'an
夷兵,yi'bing
义博,yi'bo
议曹从事,yi'cao'cong'shi
义成,yi'cheng
宜城,yi'cheng
宜春,yi'chun
以待天时,yi'dai'tian'shi
衣带诏,yi'dai'zhao
夷道,yi'dao
以道御之,yi'dao'yu'zhi
翼德,yi'de
异度,yi'du
已堕吾画中,yi'duo'wu'hua'zhong
义封,yi'feng
一个愿打一个原挨,yi'ge'yuan'da'yi'ge'yuan'ai
义公,yi'gong
宜禾都尉城,yi'he'du'wei'cheng
以后不久,yi'hou'bu'jiu
一击,yi'ji
伊籍,yi'ji
亦即应变之术,yi'ji'ying'bian'zhi'shu
已经崩溃,yi'jing'beng'kui
义举,yi'ju
弋居,yi'ju
议郎,yi'lang
