阿尔必阶,a'er'bi'jie
岩关阶,yan'guan'jie
岩关期,yan'guan'qi
盐湖,yan'hu
演化线,yan'hua'xian
岩基,yan'ji
岩浆,yan'jiang
岩浆房,yan'jiang'fang
岩浆矿床,yan'jiang'kuang'chuang
岩浆通道,yan'jiang'tong'dao
岩浆作用,yan'jiang'zuo'yong
岩颈,yan'jing
盐类矿床,yan'lei'kuang'chuang
雁列,yan'lie
岩脉,yan'mai
烟煤,yan'mei
研磨材料,yan'mo'cai'liao
岩盆,yan'pen
盐坪,yan'ping
岩墙,yan'qiang
岩墙群,yan'qiang'qun
盐丘,yan'qiu
盐丘圈闭,yan'qiu'quan'bi
岩群,yan'qun
岩溶,yan'rong
岩溶泉,yan'rong'quan
岩溶水,yan'rong'shui
岩溶相,yan'rong'xiang
岩溶柱,yan'rong'zhu
岩塞,yan'sai
颜色指数,yan'se'zhi'shu
燕山阶段,yan'shan'jie'duan
燕山期,yan'shan'qi
衍射,yan'she
衍射晶格,yan'she'jing'ge
岩省,yan'sheng
岩时差,yan'shi'cha
岩石化学,yan'shi'hua'xue
雁石坪组,yan'shi'ping'zu
岩石圈,yan'shi'quan
岩石异常,yan'shi'yi'chang
岩石组构,yan'shi'zu'gou
盐水,yan'shui
盐滩,yan'tan
岩体力学,yan'ti'li'xue
岩土工程,yan'tu'gong'cheng
岩土锚杆,yan'tu'mao'gan
延限带,yan'xian'dai
岩相,yan'xiang
岩屑,yan'xie
岩屑砂岩,yan'xie'sha'yan
岩性圈闭,yan'xing'quan'bi
岩渣锥,yan'zha'zhui
岩枝,yan'zhi
岩株,yan'zhu
岩组,yan'zu
岩组学,yan'zu'xue
羊背石,yang'bei'shi
仰冲,yang'chong
氧化环境,yang'hua'huan'jing
氧化物,yang'hua'wu
洋壳,yang'ke
阳起片岩,yang'qi'pian'yan
阳起石,yang'qi'shi
氧体系,yang'ti'xi
氧逸度,yang'yi'du
洋中脊,yang'zhong'ji
洋中隆,yang'zhong'long
杨庄组,yang'zhuang'zu
姚家组,yao'jia'zu
要素,yao'su
叶蜡石,ye'la'shi
叶蜡石化,ye'la'shi'hua
叶理,ye'li
冶里组,ye'li'zu
叶绿泥石,ye'lv'ni'shi
叶绿素体,ye'lv'su'ti
叶内褶皱,ye'nei'zhe'zhou
叶蛇纹石,ye'she'wen'shi
液限,ye'xian
液相线,ye'xiang'xian
页岩,ye'yan
一般将,yi'ban'jiang
易变辉石,yi'bian'hui'shi
异常衬度,yi'chang'chen'du
异常规模,yi'chang'gui'mo
异常铅,yi'chang'qian
异常强度,yi'chang'qiang'du
异常下限,yi'chang'xia'xian
遗迹化石,yi'ji'hua'shi
异极矿,yi'ji'kuang
异极象,yi'ji'xiang
伊利石,yi'li'shi
沂蒙矿,yi'meng'kuang
夷平,yi'ping
一平浪组,yi'ping'lang'zu
夷平面,yi'ping'mian
伊普尔阶,yi'pu'er'jie
伊普尔期,yi'pu'er'qi
一维流,yi'wei'liu
义县组,yi'xian'zu
异型,yi'xing
铱异常,yi'yi'chang
一致年龄,yi'zhi'nian'ling
一轴晶,yi'zhou'jing
隐蔽圈闭,yin'bi'quan'bi
印度阶,yin'du'jie
印度期,yin'du'qi
隐伏矿,yin'fu'kuang
银金矿,yin'jin'kuang
隐晶质,yin'jing'zhi
隐生宙,yin'sheng'zhou
饮用水,yin'yong'shui
印支阶段,yin'zhi'jie'duan
印支期,yin'zhi'qi
英安岩,ying'an'yan
应变,ying'bian
应变场,ying'bian'chang
应变速率,ying'bian'su'lv
应变轴比,ying'bian'zhou'bi
硬底,ying'di
硬度,ying'du
硬腐泥,ying'fu'ni
荧光,ying'guang
应力,ying'li
应力场,ying'li'chang
应力迹线,ying'li'ji'xian
应力矿物,ying'li'kuang'wu
硬绿泥石,ying'lv'ni'shi
硬锰矿,ying'meng'kuang
硬砂岩,ying'sha'yan
萤石,ying'shi
硬石膏,ying'shi'gao
萤石矿床,ying'shi'kuang'chuang
硬水,ying'shui
硬水铝石,ying'shui'lv'shi
应堂阶,ying'tang'jie
应堂期,ying'tang'qi
影响半径,ying'xiang'ban'jing
硬玉,ying'yu
硬柱石,ying'zhu'shi
永久冻土,yong'jiu'dong'tu
永久硬度,yong'jiu'ying'du
涌水量,yong'shui'liang
右步,you'bu
油藏,you'cang
优地槽,you'di'cao
诱发地震,you'fa'di'zhen
黝方石,you'fang'shi
铀黑,you'hei
铀还原带,you'huan'yuan'dai
铀活化,you'huo'hua
右阶,you'jie
油浸法,you'jin'fa
铀矿床,you'kuang'chuang
尤里反应,you'li'fan'ying
黝帘石,you'lian'shi
油苗,you'miao
油气界面,you'qi'jie'mian
油砂,you'sha
铀石,you'shi
油水界面,you'shui'jie'mian
油田,you'tian
油田水,you'tian'shui
黝铜矿,you'tong'kuang
铀系定年,you'xi'ding'nian
铀系计时,you'xi'ji'shi
有限应变,you'xian'ying'bian
有效厚度,you'xiao'hou'du
有效载荷,you'xiao'zai'he
有序,you'xu
右旋晶体,you'xuan'jing'ti
右旋走滑,you'xuan'zou'hua
铀氧化,you'yang'hua
铀氧化带,you'yang'hua'dai
油页岩,you'ye'yan
铕异常,you'yi'chang
油脂光泽,you'zhi'guang'ze
油柱高度,you'zhu'gao'du
雨痕,yu'hen
羽痕构造,yu'hen'gou'zao
郁江阶,yu'jiang'jie
郁江期,yu'jiang'qi
郁江组,yu'jiang'zu
玉龙寺组,yu'long'si'zu
玉石,yu'shi
羽饰构造,yu'shi'gou'zao
玉髓,yu'sui
预探井,yu'tan'jing
鱼眼石,yu'yan'shi
预应力,yu'ying'li
宇宙,yu'zhou
宇宙尘,yu'zhou'chen
宇宙丰度,yu'zhou'feng'du
宇宙化学,yu'zhou'hua'xue
宇宙颗粒,yu'zhou'ke'li
宇宙年龄,yu'zhou'nian'ling
原地岩体,yuan'di'yan'ti
圆度,yuan'du
元古宇,yuan'gu'yu
元古宙,yuan'gu'zhou
远景区,yuan'jing'qu
原生环境,yuan'sheng'huan'jing
原生矿物,yuan'sheng'kuang'wu
原生铅,yuan'sheng'qian
原生水,yuan'sheng'shui
原生异常,yuan'sheng'yi'chang
原生晕,yuan'sheng'yun
元素,yuan'su
元素比值,yuan'su'bi'zhi
元素对,yuan'su'dui
元素分布,yuan'su'fen'bu
元素分散,yuan'su'fen'san
元素丰度,yuan'su'feng'du
元素富集,yuan'su'fu'ji
元素亏损,yuan'su'kui'sun
元素年龄,yuan'su'nian'ling
元素凝聚,yuan'su'ning'ju
元素浓度,yuan'su'nong'du
元素起源,yuan'su'qi'yuan
元素迁移,yuan'su'qian'yi
元素置换,yuan'su'zhi'huan
元素组合,yuan'su'zu'he
原油,yuan'you
原有断层,yuan'you'duan'ceng
原子体积,yuan'zi'ti'ji
月核,yue'he
月壳,yue'ke
月壳构造,yue'ke'gou'zao
月幔,yue'man
月球,yue'qiu
月球陨石,yue'qiu'yun'shi
月壤,yue'rang
月岩,yue'yan
跃移,yue'yi
月震,yue'zhen
云煌岩,yun'huang'yan
陨硫铁,yun'liu'tie
韵律层理,yun'lv'ceng'li
陨氯铁,yun'lv'tie
云母,yun'mu
云母矿床,yun'mu'kuang'chuang
云母片岩,yun'mu'pian'yan
云母试板,yun'mu'shi'ban
陨石,yun'shi
陨石学,yun'shi'xue
陨石雨,yun'shi'yu
云台观组,yun'tai'guan'zu
云斜煌岩,yun'xie'huang'yan
允许剂量,yun'xu'ji'liang
允许浓度,yun'xu'nong'du
云英岩,yun'ying'yan
杂基,za'ji
杂砂岩,za'sha'yan
灾变论,zai'bian'lun
载荷,zai'he
再生矿床,zai'sheng'kuang'chuang
再生水,zai'sheng'shui
再造,zai'zao
赞克尔阶,zan'ke'er'jie
赞克尔期,zan'ke'er'qi
暂时硬度,zan'shi'ying'du
藻类体,zao'lei'ti
造陆运动,zao'lu'yun'dong
造陆作用,zao'lu'zuo'yong
藻煤,zao'mei
造山带,zao'shan'dai
造山幕,zao'shan'mu
造山期后,zao'shan'qi'hou
造山旋回,zao'shan'xuan'hui
造山运动,zao'shan'yun'dong
造山作用,zao'shan'zuo'yong
造岩矿物,zao'yan'kuang'wu
造岩元素,zao'yan'yuan'su
藻烛煤,zao'zhu'mei
增量应变,zeng'liang'ying'bian
增生,zeng'sheng
增生棱柱,zeng'sheng'leng'zhu
增生楔,zeng'sheng'xie
增田,zeng'tian
扎布耶石,zha'bu'ye'shi
沾污,zhan'wu
障壁岛,zhang'bi'dao
张衡矿,zhang'heng'kuang
障积灰岩,zhang'ji'hui'yan
张剪,zhang'jian
张夏阶,zhang'xia'jie
张夏期,zhang'xia'qi
张夏组,zhang'xia'zu
沼泽,zhao'ze
沼泽相,zhao'ze'xiang
折光率,zhe'guang'lv
褶劈,zhe'pi
折射,zhe'she
折射计,zhe'she'ji
折射率,zhe'she'lv
哲斯组,zhe'si'zu
褶皱,zhe'zhou
褶皱带,zhe'zhou'dai
褶皱基底,zhe'zhou'ji'di
褶皱山,zhe'zhou'shan
褶皱枢纽,zhe'zhou'shu'niu
褶皱翼,zhe'zhou'yi
褶皱轴,zhe'zhou'zhou
褶皱轴迹,zhe'zhou'zhou'ji
褶皱轴面,zhe'zhou'zhou'mian
震旦纪,zhen'dan'ji
震旦系,zhen'dan'xi
针沸石,zhen'fei'shi
针钠钙石,zhen'na'gai'shi
针铁矿,zhen'tie'kuang
珍珠岩,zhen'zhu'yan
珍珠云母,zhen'zhu'yun'mu
枕状构造,zhen'zhuang'gou'zao
枕状熔岩,zhen'zhuang'rong'yan
正长石,zheng'chang'shi
正长岩,zheng'chang'yan
正地槽,zheng'di'cao
正断层,zheng'duan'ceng
蒸发岩,zheng'fa'yan
整合,zheng'he
正交晶系,zheng'jiao'jing'xi
正片麻岩,zheng'pian'ma'yan
正延长,zheng'yan'chang
正异常,zheng'yi'chang
志丹群,zhi'dan'qun
置换,zhi'huan
智利硝石,zhi'li'xiao'shi
直立褶皱,zhi'li'zhe'zhou
质量监控,zhi'liang'jian'kong
志留纪,zhi'liu'ji
滞流盆地,zhi'liu'pen'di
滞留时间,zhi'liu'shi'jian
志留系,zhi'liu'xi
直闪石,zhi'shan'shi
蛭石,zhi'shi
指示矿物,zhi'shi'kuang'wu
指示元素,zhi'shi'yuan'su
指示植物,zhi'shi'zhi'wu
植物群,zhi'wu'qun
中长石,zhong'chang'shi
中键结构,zhong'jian'jie'gou
重晶石,zhong'jing'shi
重矿物,zhong'kuang'wu
中砾,zhong'li
重力,zhong'li
重力滑动,zhong'li'hua'dong
重力水,zhong'li'shui
中色岩,zhong'se'yan
重砂矿床,zhong'sha'kuang'chuang
中深,zhong'shen
中生代,zhong'sheng'dai
中生界,zhong'sheng'jie
中铁陨石,zhong'tie'yun'shi
中新世,zhong'xin'shi
中新统,zhong'xin'tong
中性岩,zhong'xing'yan
中压相系,zhong'ya'xiang'xi
中元古代,zhong'yuan'gu'dai
中元古界,zhong'yuan'gu'jie
重褶褶皱,zhong'zhe'zhe'zhou
重褶作用,zhong'zhe'zuo'yong
重质油,zhong'zhi'you
中柱石,zhong'zhu'shi
中子衍射,zhong'zi'yan'she
轴角,zhou'jiao
周口店组,zhou'kou'dian'zu
轴率,zhou'lv
轴面,zhou'mian
轴面劈理,zhou'mian'pi'li
皱纹构造,zhou'wen'gou'zao
轴向分带,zhou'xiang'fen'dai
帚状构造,zhou'zhuang'gou'zao
侏罗纪,zhu'luo'ji
侏罗系,zhu'luo'xi
烛煤,zhu'mei
注水,zhu'shui
注水试验,zhu'shui'shi'yan
贮水系数,zhu'shui'xi'shu
铸型,zhu'xing
主应变,zhu'ying'bian
主应变轴,zhu'ying'bian'zhou
主应力,zhu'ying'li
主应力轴,zhu'ying'li'zhou
主元素,zhu'yuan'su
铸造材料,zhu'zao'cai'liao
主折射率,zhu'zhe'she'lv
柱状节理,zhu'zhuang'jie'li
转换边界,zhuan'huan'bian'jie
转换断层,zhuan'huan'duan'ceng
撞击构造,zhuang'ji'gou'zao
撞击坑,zhuang'ji'keng
撞裂锥,zhuang'lie'zhui
状图,zhuang'tu
椎模,zhui'mo
椎铸型,zhui'zhu'xing
锥状褶皱,zhui'zhuang'zhe'zhou
准地槽,zhun'di'cao
准地台,zhun'di'tai
准平原,zhun'ping'yuan
浊沸石,zhuo'fei'shi
浊沸石相,zhuo'fei'shi'xiang
浊积岩,zhuo'ji'yan
自发分裂,zi'fa'fen'lie
自封闭,zi'feng'bi
自流井,zi'liu'jing
自流井组,zi'liu'jing'zu
自流水,zi'liu'shui
自然铬,zi'ran'ge
自然金,zi'ran'jin
自然硫,zi'ran'liu
自然坡角,zi'ran'po'jiao
自然释放,zi'ran'shi'fang
自然铜,zi'ran'tong
自然银,zi'ran'yin
自生矿物,zi'sheng'kuang'wu
紫苏辉石,zi'su'hui'shi
自形,zi'xing
资源,zi'yuan
资源评价,zi'yuan'ping'jia
总变形,zong'bian'xing
总滑距,zong'hua'ju
宗山组,zong'shan'zu
纵向分带,zong'xiang'fen'dai
总硬度,zong'ying'du
走滑断层,zou'hua'duan'ceng
走滑分量,zou'hua'fen'liang
走向,zou'xiang
组构,zu'gou
组合带,zu'he'dai
左步,zuo'bu
左阶,zuo'jie
左旋晶体,zuo'xuan'jing'ti
左旋走滑,zuo'xuan'zou'hua
作用,zuo'yong
