阿斗当皇帝,a'dou'dang'huang'di
肢皮人烤火,zhi'pi'ren'kao'huo
只说不练的把式,zhi'shuo'bu'lian'de'ba'shi
只图表面好看,zhi'tu'biao'mian'hao'kan
只图眼前快活,zhi'tu'yan'qian'kuai'huo
指望不上,zhi'wang'bu'shang
直性子对直性子,zhi'xing'zi'dui'zhi'xing'zi
只有三年,zhi'you'san'nian
只有一个心眼,zhi'you'yi'ge'xin'yan
指着秃子骂和尚,zhi'zhe'tu'zi'ma'he'shang
置之不理,zhi'zhi'bu'li
周瑜打黄盖,zhou'yu'da'huang'gai
皱皱巴巴的,zhou'zhou'ba'ba'de
主次不分,zhu'ci'bu'fen
诸葛亮吊孝,zhu'ge'liang'diao'xiao
诸葛亮三气周瑜,zhu'ge'liang'san'qi'zhou'yu
诸葛亮用空城计,zhu'ge'liang'yong'kong'cheng'ji
煮熟的鸭子飞上天,zhu'shu'de'ya'zi'fei'shang'tian
抓小辫子,zhua'xiao'bian'zi
抓住了关键,zhua'zhu'le'guan'jian
拽着树叶打滴溜,zhuai'zhe'shu'ye'da'di'liu
装百子,zhuang'bai'zi
装疯,zhuang'feng
装滑头,zhuang'hua'tou
装模作样,zhuang'mo'zuo'yang
装什么蒜,zhuang'shen'me'suan
装相,zhuang'xiang
装样,zhuang'yang
追查到底,zhui'cha'dao'di
桌子缝里舔芝麻,zhuo'zi'feng'li'tian'zhi'ma
桌子上唱大戏,zhuo'zi'shang'chang'da'xi
自暴自弃,zi'bao'zi'qi
自吹,zi'chui
自大,zi'da
自焚,zi'fen
自顾不暇,zi'gu'bu'xia
自己跟自己过不去,zi'ji'gen'zi'ji'guo'bu'qu
自己吓唬自己,zi'ji'xia'hu'zi'ji
自来红,zi'lai'hong
自鸣得意,zi'ming'de'yi
自骑自夸,zi'qi'zi'kua
自身难保,zi'shen'nan'bao
自讨苦吃,zi'tao'ku'chi
自我膨胀,zi'wo'peng'zhang
自我推销,zi'wo'tui'xiao
自找苦吃,zi'zhao'ku'chi
自找麻烦,zi'zhao'ma'fan
自找难看,zi'zhao'nan'kan
总有一别,zong'you'yi'bie
走不动,zou'bu'dong
走不通,zou'bu'tong
走错了门,zou'cuo'le'men
走到哪儿于到哪儿,zou'dao'na'er'yu'dao'na'er
走的是一个方向,zou'de'shi'yi'ge'fang'xiang
走对了路子,zou'dui'le'lu'zi
走路算账,zou'lu'suan'zhang
走投无路,zou'tou'wu'lu
钻不进,zuan'bu'jin
钻进鸟笼里的猫,zuan'jin'niao'long'li'de'mao
钻子头上加钢针,zuan'zi'tou'shang'jia'gang'zhen
嘴馋上了当,zui'chan'shang'le'dang
醉汉过铁索桥,zui'han'guo'tie'suo'qiao
醉翁之意不在酒,zui'weng'zhi'yi'bu'zai'jiu
坐不稳,zuo'bu'wen
坐不住,zuo'bu'zhu
坐等,zuo'deng
作用不全,zuo'yong'bu'quan
左右为难,zuo'you'wei'nan
