阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
散手,san'shou
散收收,san'shou'shou
三衰六旺,san'shuai'liu'wang
三索线,san'suo'xian
三心二意,san'xin'er'yi
散仔,san'zai
三朝回门,san'zhao'hui'men
散纸,san'zhi
扫把,sao'ba
臊亨亨,sao'heng'heng
扫灰水,sao'hui'shui
骚扰,sao'rao
臊臊都系羊肉,sao'sao'dou'xi'yang'rou
扫鼠,sao'shu
骚鼠,sao'shu
色狼,se'lang
色水,se'shui
森树,sen'shu
沙煲,sha'bao
沙煲罂罉,sha'bao'ying'cheng
沙蝉,sha'chan
沙尘,sha'chen
沙尘白霍,sha'chen'bai'huo
沙虫,sha'chong
沙胆,sha'dan
沙爹,sha'die
沙丁鱼,sha'ding'yu
沙发床,sha'fa'chuang
霎戆,sha'gang
傻戆戆,sha'gang'gang
沙葛,sha'ge
傻嗨,sha'hai
沙河粉,sha'he'fen
傻乎乎,sha'hu'hu
沙井,sha'jing
沙冚,sha'kan
傻捞捞,sha'lao'lao
沙哩弄冲,sha'li'nong'chong
沙律,sha'lv
砂盆,sha'pen
杀起,sha'qi
霎气,sha'qi
砂枪,sha'qiang
沙沙滚,sha'sha'gun
杀食,sha'shi
沙虱,sha'shi
杀摊,sha'tan
沙田柚,sha'tian'you
霎眼娇,sha'yan'jiao
傻仔水,sha'zai'shui
煞制,sha'zhi
纱纸,sha'zhi
傻猪,sha'zhu
筛波,shai'bo
晒命,shai'ming
晒棚,shai'peng
晒佢,shai'qu
筛身筛势,shai'shen'shai'shi
晒月光,shai'yue'guang
山大斩埋有柴,shan'da'zhan'mai'you'chai
櫼队,shan'dui
山坟,shan'fen
骟鸡,shan'ji
山坑,shan'keng
善款,shan'kuan
闪靓,shan'liang
山窿,shan'long
山窿山罅,shan'long'shan'xia
山稔,shan'ren
山瑞,shan'rui
闪闪靓,shan'shan'liang
闪闪呤,shan'shan'ling
櫼头倒脚,shan'tou'dao'jiao
櫼头对脚,shan'tou'dui'jiao
衫尾,shan'wei
山寨厂,shan'zhai'chang
上得山多终遇虎,shang'de'shan'duo'zhong'yu'hu
商家佬,shang'jia'lao
上嚟,shang'li
上年,shang'nian
上排,shang'pai
上契,shang'qi
上山,shang'shan
上碎,shang'sui
上堂,shang'tang
上汤,shang'tang
上味,shang'wei
上屋搬下屋唔见一箩谷,shang'wu'ban'xia'wu'wu'jian'yi'luo'gu
上心,shang'xin
上昼,shang'zhou
绍菜,shao'cai
烧鹅,shao'e
烧烤,shao'kao
少块膶,shao'kuai'run
烧腊,shao'la
少食支烟啦,shao'shi'zhi'yan'la
少数民族,shao'shu'min'zu
潲水,shao'shui
稍为,shao'wei
哨牙,shao'ya
烧鸭,shao'ya
蛇都死,she'dou'si
蛇果,she'guo
猞猁眼,she'li'yan
摄青鬼,she'qing'gui
摄铁,she'tie
蛇脱,she'tuo
蛇王,she'wang
深笔字,shen'bi'zi
糁啲胡椒粉,shen'di'hu'jiao'fen
谂法,shen'fa
谂翻,shen'fan
谂翻转头,shen'fan'zhuan'tou
神高神大,shen'gao'shen'da
神阁,shen'ge
神阁猫屎神憎鬼厌,shen'ge'mao'shi'shen'zeng'gui'yan
身光颈靓,shen'guang'jing'liang
神乎其技,shen'hu'qi'ji
谂计,shen'ji
身家,shen'jia
神经,shen'jing
谂嚟度去,shen'li'du'qu
谂落,shen'luo
谂怕,shen'pa
谂缩数,shen'suo'shu
渗田,shen'tian
谂头,shen'tou
深蚊仔,shen'wen'zai
谂唔到,shen'wu'dao
神仙肚,shen'xian'du
神仙脚,shen'xian'jiao
神心,shen'xin
身焮,shen'xin
抌心口,shen'xin'kou
抌印,shen'yin
神又系佢鬼又系佢,shen'you'xi'qu'gui'you'xi'qu
糁芝麻,shen'zhi'ma
甚至无,shen'zhi'wu
谂住,shen'zhu
神主牌,shen'zhu'pai
生埃,sheng'ai
生葆人,sheng'bao'ren
生虫,sheng'chong
生抽,sheng'chou
生螆,sheng'ci
生螆猫,sheng'ci'mao
生螆猫入眼,sheng'ci'mao'ru'yan
声大大冇野卖,sheng'da'da'mao'ye'mai
圣诞花,sheng'dan'hua
省到蜡蜡呤,sheng'dao'la'la'ling
生飞螆,sheng'fei'ci
生粉,sheng'fen
胜噶,sheng'ga
生勾勾,sheng'gou'gou
胜瓜,sheng'gua
生鬼,sheng'gui
盛惠,sheng'hui
生积,sheng'ji
生鸡,sheng'ji
生胶,sheng'jiao
生癞,sheng'lai
生痨仔,sheng'lao'zai
生累街坊死累朋友,sheng'lei'jie'fang'si'lei'peng'you
生猛,sheng'meng
生米骨,sheng'mi'gu
声气,sheng'qi
升气球,sheng'qi'qiu
生人勿近,sheng'ren'wu'jin
生人唔生胆,sheng'ren'wu'sheng'dan
生肉包,sheng'rou'bao
声沙,sheng'sha
生沙淋,sheng'sha'lin
生晒,sheng'shai
生蛇,sheng'she
生鉎,sheng'sheng
生水,sheng'shui
生虾距跳,sheng'xia'ju'tiao
生性,sheng'xing
生雪,sheng'xue
生盐,sheng'yan
生意人,sheng'yi'ren
生油,sheng'you
生鱼,sheng'yu
生仔,sheng'zai
湿凹凹,shi'ao'ao
屎粑,shi'ba
士巴拿,shi'ba'na
湿包,shi'bao
是必,shi'bi
世伯,shi'bo
士钵裇,shi'bo'xu
事不关己,shi'bu'guan'ji
时不时,shi'bu'shi
湿柴,shi'chai
时辰钟,shi'chen'zhong
石春,shi'chun
失打,shi'da
噬啖,shi'dan
士担,shi'dan
是但,shi'dan
识弹唔识唱,shi'dan'wu'shi'chang
市道,shi'dao
使得,shi'de
士的,shi'de
蚀底,shi'di
食冻柑,shi'dong'gan
柿嘟,shi'du
士多,shi'duo
食饭,shi'fan
食福,shi'fu
事干,shi'gan
实篙糍,shi'gao'ci
石蛤,shi'ge
实古实凿,shi'gu'shi'zao
事关,shi'guan
饰柜,shi'gui
试过,shi'guo
食过翻寻味,shi'guo'fan'xun'wei
使横手,shi'heng'shou
食糊,shi'hu
屎黄,shi'huang
失魂,shi'hun
石级,shi'ji
食鸡,shi'ji
事急马行田,shi'ji'ma'xing'tian
时价,shi'jia
食夹棍,shi'jia'gun
世界仔,shi'jie'zai
事紧马行田,shi'jin'ma'xing'tian
时近先,shi'jin'xian
使颈,shi'jing
实净,shi'jing
识精,shi'jing
失惊无神,shi'jing'wu'shen
屎坑,shi'keng
屎坑关刀文不得武不得,shi'keng'guan'dao'wen'bu'de'wu'bu'de
屎坑计,shi'keng'ji
屎窟,shi'ku
时款,shi'kuan
市况,shi'kuang
失礼,shi'li
失礼人,shi'li'ren
时哩沙啦,shi'li'sha'la
食莲子羹,shi'lian'zi'geng
石螺,shi'luo
识貌面,shi'mao'mian
食猫面,shi'mao'mian
石米,shi'mi
湿面,shi'mian
使乜,shi'mie
使乜值,shi'mie'zhi
虱乸,shi'na
时年,shi'nian
驶牛,shi'niu
实情,shi'qing
湿热,shi're
食惹,shi're
湿热菜,shi're'cai
食塞米,shi'sai'mi
食三两,shi'san'liang
势色,shi'se
食筛,shi'shai
食神,shi'shen
事实,shi'shi
石屎,shi'shi
石屎楼,shi'shi'lou
实食冇粚牙,shi'shi'mao'chi'ya
食屎食着豆,shi'shi'shi'zhe'dou
食水,shi'shui
湿水棉花冇得弹,shi'shui'mian'hua'mao'de'dan
食肆,shi'si
湿碎,shi'sui
屎塔,shi'ta
士挞胆,shi'ta'dan
石坣,shi'tang
驶田,shi'tian
食碗面反碗底,shi'wan'mian'fan'wan'di
食枉米,shi'wang'mi
实稳,shi'wen
时闻,shi'wen
食咸水,shi'xian'shui
实行,shi'xing
势凶夹狼,shi'xiong'jia'lang
实牙实齿,shi'ya'shi'chi
屎眼,shi'yan
食晏,shi'yan
食药,shi'yao
食夜粥,shi'ye'zhou
世艺,shi'yi
事因,shi'yin
使用,shi'yong
誓愿,shi'yuan
誓愿当食生菜,shi'yuan'dang'shi'sheng'cai
十冤九仇,shi'yuan'jiu'chou
十月火归天,shi'yue'huo'gui'tian
失运,shi'yun
湿滞,shi'zhi
十只手指孖埋,shi'zhi'shou'zhi'ma'mai
始终,shi'zhong
始终系,shi'zhong'xi
食猪红屙黑屎即刻见功,shi'zhu'hong'e'hei'shi'ji'ke'jian'gong
十足十,shi'zu'shi
手板,shou'ban
手板心,shou'ban'xin
手背,shou'bei
首本,shou'ben
首本戏,shou'ben'xi
手车,shou'che
手抽,shou'chou
收檔,shou'dang
受得,shou'de
手多多,shou'duo'duo
手鈪,shou'e
收干水,shou'gan'shui
手公,shou'gong
手工,shou'gong
收工,shou'gong
手骨,shou'gu
瘦骨赖柴,shou'gu'lai'chai
瘦骨如柴煲碌竹,shou'gu'ru'chai'bao'lu'zhu
瘦骨仙,shou'gu'xian
手瓜,shou'gua
手痕,shou'hen
手甲,shou'jia
收科,shou'ke
手扣,shou'kou
收口,shou'kou
手力,shou'li
收粮,shou'liang
瘦马,shou'ma
瘦蜢蜢,shou'meng'meng
手面,shou'mian
收山,shou'shan
手神,shou'shen
收声,shou'sheng
手势,shou'shi
收水,shou'shui
手尾,shou'wei
收尾,shou'wei
手信,shou'xin
寿星公,shou'xing'gong
手袖,shou'xiu
手揗脚震,shou'xun'jiao'zhen
手眼,shou'yan
手硬,shou'ying
手震,shou'zhen
手踭,shou'zheng
手制,shou'zhi
手指拗出唔拗入,shou'zhi'niu'chu'wu'niu'ru
手作,shou'zuo
手作仔,shou'zuo'zai
数白榄,shu'bai'lan
书虫,shu'chong
输赌,shu'du
梳扶,shu'fu
梳化,shu'hua
梳化椅,shu'hua'yi
鼠灰,shu'hui
叔记,shu'ji
熟胶,shu'jiao
熟口面,shu'kou'mian
疏寥寥,shu'liao'liao
熟络,shu'luo
梳起,shu'qi
赎散纸,shu'san'zhi
熟食檔,shu'shi'dang
疏爽,shu'shuang
疏堂,shu'tang
树头,shu'tou
薯头,shu'tou
疏罅,shu'xia
竖心旁,shu'xin'pang
熟行,shu'xing
熟行熟路,shu'xing'shu'lu
熟盐,shu'yan
熟油,shu'you
叔仔,shu'zai
薯仔,shu'zai
树仔头,shu'zai'tou
耍手,shua'shou
衰到冇人有距衰,shuai'dao'mao'ren'you'ju'shuai
甩底,shuai'di
衰公,shuai'gong
衰开嚟有头有路,shuai'kai'li'you'tou'you'lu
衰女,shuai'nv
甩皮甩骨,shuai'pi'shuai'gu
衰婆,shuai'po
衰人,shuai'ren
甩色,shuai'se
甩身,shuai'shen
衰神,shuai'shen
衰收尾,shuai'shou'wei
甩甩离,shuai'shuai'li
甩头甩骨,shuai'tou'shuai'gu
甩拖,shuai'tuo
甩须,shuai'xu
衰样,shuai'yang
双倍,shuang'bei
爽脆,shuang'cui
爽口,shuang'kou
双人旁,shuang'ren'pang
爽手,shuang'shou
爽死距爽,shuang'si'ju'shuang
爽甜,shuang'tian
双牏墙,shuang'yu'qiang
双蒸,shuang'zheng
水煲,shui'bao
水煲距大只胆,shui'bao'ju'da'zhi'dan
谁不知,shui'bu'zhi
水草,shui'cao
水车,shui'che
水沉波啰,shui'chen'bo'luo
水螆,shui'ci
水大,shui'da
水凼,shui'dang
水斗,shui'dou
睡房,shui'fang
水粉,shui'fen
水浮莲,shui'fu'lian
水干,shui'gan
水瓜打狗唔见距橛,shui'gua'da'gou'wu'jian'ju'jue
水横枝,shui'heng'zhi
水喉,shui'hou
水喉水,shui'hou'shui
水喉通,shui'hou'tong
水喉制,shui'hou'zhi
水壶,shui'hu
水货,shui'huo
水蛱蚱,shui'jia'zha
水脚,shui'jiao
水铰剪,shui'jiao'jian
水浸眼眉,shui'jin'yan'mei
水客,shui'ke
水抠油,shui'kou'you
水榄,shui'lan
水律,shui'lv
水黾,shui'min
水泥匠开门口过得自己过得人,shui'ni'jiang'kai'men'kou'guo'de'zi'ji'guo'de'ren
水炮,shui'pao
水皮,shui'pi
水柿,shui'shi
水塘,shui'tang
水桶袋,shui'tong'dai
水汪,shui'wang
水汪汪,shui'wang'wang
水围基,shui'wei'ji
水线,shui'xian
水蟹,shui'xie
水鸭仔,shui'ya'zai
水有脚,shui'you'jiao
水鱼,shui'yu
水曱甴,shui'yue'you
水仔溦溦,shui'zai'mei'mei
水圳,shui'zhen
顺挡,shun'dang
顺风顺水,shun'feng'shun'shui
顺景,shun'jing
顺摊,shun'tan
说话,shuo'hua
思嗌,si'ai
死铲,si'chan
死缠烂打,si'chan'lan'da
死得距齐全,si'de'ju'qi'quan
死得眼闭,si'de'yan'bi
四方,si'fang
四方木,si'fang'mu
四方形,si'fang'xing
四方竹,si'fang'zhu
死鲠,si'geng
死咕咕,si'gu'gu
死火,si'huo
私伙局,si'huo'ju
死鸡撑饭盖,si'ji'cheng'fan'gai
死鸡撑硬脚,si'ji'cheng'ying'jiao
死鸡仔讲返生,si'ji'zai'jiang'fan'sheng
私家,si'jia
四脚爬爬,si'jiao'pa'pa
四脚蛇,si'jiao'she
死距,si'ju
四块半,si'kuai'ban
死迈死擘大阿肶,si'mai'si'bo'da'a'pi
丝母,si'mu
死牛一便颈,si'niu'yi'bian'jing
死女包,si'nv'bao
死悭死抵,si'qian'si'di
死佢唔错,si'qu'wu'cuo
死人兼冧屋,si'ren'jian'lin'wu
四人头,si'ren'tou
死人头,si'ren'tou
死蛇烂鳝,si'she'lan'shan
死剩把口,si'sheng'ba'kou
四四方方,si'si'fang'fang
丝丝湿湿,si'si'shi'shi
四围贡,si'wei'gong
死唔眼闭,si'wu'yan'bi
四眼妹,si'yan'mei
四眼田鸡,si'yan'tian'ji
思疑,si'yi
私隐,si'yin
四正,si'zheng
似足,si'zu
松佊佊,song'bi'bi
松柴,song'chai
送饭,song'fan
松骨,song'gu
松蒿菜,song'hao'cai
松化,song'hua
松鸡仔,song'ji'zai
送口果,song'kou'guo
松毛,song'mao
松毛松翼,song'mao'song'yi
松人,song'ren
餸尾,song'wei
嗖晒佢,sou'shai'qu
馊味,sou'wei
宿到死,su'dao'si
宿亨亨,su'heng'heng
塑料,su'liao
粟米,su'mi
苏州过后冇艇搭,su'zhou'guo'hou'mao'ting'da
苏州屎,su'zhou'shi
酸吖酸,suan'a'suan
蒜蓉,suan'rong
酸宿,suan'su
酸宿烂臭,suan'su'lan'chou
酸甜,suan'tian
酸味草,suan'wei'cao
酸味仔,suan'wei'zai
蒜心,suan'xin
蒜子,suan'zi
随得,sui'de
随身带,sui'shen'dai
碎湿湿,sui'shi'shi
随由,sui'you
碎纸,sui'zhi
损手烂脚,sun'shou'lan'jiao
唆摆,suo'bai
嗍啖空气,suo'dan'kong'qi
缩骨,suo'gu
缩骨油纸,suo'gu'you'zhi
锁镣,suo'liao
缩埋一二角,suo'mai'yi'er'jiao
缩埋一字角,suo'mai'yi'zi'jiao
缩沙,suo'sha
索深蚊仔心气,suo'shen'wen'zai'xin'qi
锁匙,suo'shi
缩水,suo'shui
缩头乌龟,suo'tou'wu'gui
沓界,ta'jie
踏烂个茶杯,ta'lan'ge'cha'bei
沓埋心水,ta'mai'xin'shui
挞沙鱼,ta'sha'yu
塔实度门,ta'shi'du'men
他条,ta'tiao
挞着,ta'zhe
沓正,ta'zheng
台波,tai'bo
台布,tai'bu
太公分猪肉人人有份,tai'gong'fen'zhu'rou'ren'ren'you'fen
太过,tai'guo
台脚,tai'jiao
太空穿梭机,tai'kong'chuan'suo'ji
太空褛,tai'kong'lv
台台凳凳,tai'tai'deng'deng
台头,tai'tou
太子爷,tai'zi'ye
贪得意,tan'de'yi
摊冻,tan'dong
痰罐,tan'guan
探家,tan'jia
探热,tan're
叹世界,tan'shi'jie
摊直,tan'zhi
碳纸,tan'zhi
燂猪毛,tan'zhu'mao
糖包丸,tang'bao'wan
唐餐,tang'can
糖粚豆,tang'chi'dou
糖冬瓜,tang'dong'gua
烫斗,tang'dou
糖瓜饼鬼,tang'gua'bing'gui
劏光猪,tang'guang'zhu
唐蒿,tang'hao
搪环,tang'huan
糖环,tang'huan
劏鸡,tang'ji
趟栊,tang'long
唐楼,tang'lou
螗蝞,tang'mei
塘虱,tang'shi
汤水,tang'shui
糖水,tang'shui
劏死牛,tang'si'niu
汤丸,tang'wan
汤药,tang'yao
汤药费,tang'yao'fei
塘鱼,tang'yu
劏猪,tang'zhu
唐装衫,tang'zhuang'shan
讨你命,tao'ni'ming
讨野,tao'ye
特登,te'deng
特意,te'yi
藤喼,teng'jie
藤条,teng'tiao
藤条红烧猪肉,teng'tiao'hong'shao'zhu'rou
剔吖个方框,ti'a'ge'fang'kuang
锑煲,ti'bao
体边,ti'bian
体边址,ti'bian'zhi
体度,ti'du
踢脚,ti'jiao
体距址,ti'ju'zhi
剃面,ti'mian
体乃址,ti'nai'zhi
提手旁,ti'shou'pang
体恕,ti'shu
提水,ti'shui
提土旁,ti'tu'pang
剃须,ti'xu
天光戏,tian'guang'xi
天烘,tian'hong
天后,tian'hou
田基,tian'ji
田鸡,tian'ji
天冷,tian'leng
填命,tian'ming
甜尿,tian'niao
天棚,tian'peng
天然白虎汤,tian'ran'bai'hu'tang
天时水烘,tian'shi'shui'hong
填数,tian'shu
天揳,tian'xie
甜耶耶,tian'ye'ye
甜竹,tian'zhu
跳楼价,tiao'lou'jia
条路好扽,tiao'lu'hao'den
挑那星,tiao'na'xing
跳皮,tiao'pi
条气唔顺,tiao'qi'wu'shun
条友,tiao'you
铁笔,tie'bi
贴错门神,tie'cuo'men'shen
铁马,tie'ma
贴埋眼,tie'mai'yan
贴钱买难受,tie'qian'mai'nan'shou
贴士,tie'shi
贴堂,tie'tang
贴体边,tie'ti'bian
铁线,tie'xian
铁闸,tie'zha
厅底,ting'di
听讲,ting'jiang
听尼士,ting'ni'shi
听扑街啦你,ting'pu'jie'la'ni
听日,ting'ri
听晚,ting'wan
听闻,ting'wen
艇屋,ting'wu
听下,ting'xia
艇仔粥,ting'zai'zhou
听朝,ting'zhao
同煲同捞,tong'bao'tong'lao
痛脚,tong'jiao
通窿,tong'long
通笼,tong'long
同埋,tong'mai
同人唔同命同遮唔同柄,tong'ren'wu'tong'ming'tong'zhe'wu'tong'bing
通胜,tong'sheng
通水,tong'shui
痛锡,tong'xi
通心,tong'xin
通心菜,tong'xin'cai
桐油灰,tong'you'hui
童子鸡,tong'zi'ji
童子口,tong'zi'kou
偷步,tou'bu
头赤,tou'chi
偷吃唔挢口,tou'chi'wu'jiao'kou
头锤,tou'chui
头大,tou'da
头耷耷眼湿湿,tou'da'da'yan'shi'shi
头啖汤,tou'dan'tang
偷呃拐骗,tou'e'guai'pian
透火,tou'huo
偷鸡,tou'ji
头壳,tou'ke
头壳顶,tou'ke'ding
透凉,tou'liang
透炉,tou'lu
头毛,tou'mao
头泥,tou'ni
头皮,tou'pi
偷甩,tou'shuai
头头点着黑,tou'tou'dian'zhe'hei
头尾,tou'wei
透息,tou'xi
头先,tou'xian
偷眼屎,tou'yan'shi
土狗,tu'gou
土鲮鱼,tu'ling'yu
土炮,tu'pao
突然之间,tu'ran'zhi'jian
土鱿,tu'you
褪肠头,tui'chang'tou
吞那鱼,tun'na'yu
吞枪,tun'qiang
吞軚,tun'tai
拖板,tuo'ban
佗表,tuo'biao
拖艔,tuo'dao
拖肥,tuo'fei
拖后,tuo'hou
拖卡,tuo'ka
托赖,tuo'lai
佗累,tuo'lei
托上托,tuo'shang'tuo
佗手楞脚,tuo'shou'leng'jiao
拖手仔,tuo'shou'zai
托手踭,tuo'shou'zheng
佗衰,tuo'shuai
托水龙,tuo'shui'long
佗铁,tuo'tie
拖头,tuo'tou
陀陀拧,tuo'tuo'ning
拖线,tuo'xian
脱牙,tuo'ya
瓦煲,wa'bao
瓦背,wa'bei
瓦背顶,wa'bei'ding
瓦罉,wa'cheng
哇鬼,wa'gui
瓦坑,wa'keng
瓦面,wa'mian
瓦檐,wa'yan
瓦渣,wa'zha
搲子,wa'zi
外家,wai'jia
外甥女,wai'sheng'nv
腕表,wan'biao
碗布,wan'bu
万不得已,wan'bu'de'yi
丸糍,wan'ci
碗碟碰埋都有声,wan'die'peng'mai'dou'you'sheng
晚黑,wan'hei
挽手,wan'shou
碗头饭,wan'tou'fan
晚头黑,wan'tou'hei
碗碗碟碟,wan'wan'die'die
玩新人,wan'xin'ren
丸仔,wan'zai
丸仔糍,wan'zai'ci
王饱旗,wang'bao'qi
旺菜,wang'cai
往年时,wang'nian'shi
往时,wang'shi
旺市,wang'shi
望天打卦,wang'tian'da'gua
往阵,wang'zhen
往阵时,wang'zhen'shi
为吖,wei'a
尾背黑,wei'bei'hei
喂波,wei'bo
未曾,wei'ceng
未大透,wei'da'tou
味道零舍唔同经,wei'dao'ling'she'wu'tong'jing
为得过,wei'de'guo
为得人,wei'de'ren
未哋,wei'di
尾房,wei'fang
尾后,wei'hou
威化,wei'hua
未见过大蛇屙屎,wei'jian'guo'da'she'e'shi
微菌,wei'jun
尾龙骨,wei'long'gu
为乜野,wei'mie'ye
为皮,wei'pi
为食,wei'shi
威士,wei'shi
未算,wei'suan
尾尾,wei'wei
尾尾笃,wei'wei'du
危危乎,wei'wei'hu
尾尾屎,wei'wei'shi
微微嘴笑,wei'wei'zui'xiao
为唔过,wei'wu'guo
威吔,wei'ye
唯有,wei'you
未有耐,wei'you'nai
尾指,wei'zhi
尾膇,wei'zhui
揾笨,wen'ben
揾餐食,wen'can'shi
蚊螆,wen'ci
蚊螆距声,wen'ci'ju'sheng
蚊都昏,wen'dou'hun
蚊饭,wen'fan
揾工,wen'gong
温功课,wen'gong'ke
文化,wen'hua
文化衫,wen'hua'shan
揾老婆,wen'lao'po
揾老亲,wen'lao'qin
揾嚟辛苦,wen'li'xin'ku
揾两餐,wen'liang'can
揾路,wen'lu
纹路,wen'lu
抆码,wen'ma
揾钱,wen'qian
揾食,wen'shi
抆水,wen'shui
蚊尾,wen'wei
蚊咬起赧,wen'yao'qi'nan
揾野做,wen'ye'zuo
稳阵,wen'zhen
揾周公,wen'zhou'gong
瓮缸,weng'gang
窝钉,wo'ding
窝篮,wo'lan
我迈好蚀,wo'mai'hao'shi
唔安乐,wu'an'le
唔臭米气,wu'chou'mi'qi
唔打得埋,wu'da'de'mai
唔单止,wu'dan'zhi
唔得,wu'de
唔得闲,wu'de'xian
乌灯黑火,wu'deng'hei'huo
唔等使,wu'deng'shi
唔抵,wu'di
唔抵得,wu'di'de
唔抵得颈,wu'di'de'jing
唔哋醒,wu'di'xing
唔嗲唔吊,wu'dia'wu'diao
唔定,wu'ding
无端白事,wu'duan'bai'shi
无端端,wu'duan'duan
唔忿,wu'fen
唔忿巢,wu'fen'chao
唔忿气,wu'fen'qi
唔该,wu'gai
唔够喉,wu'gou'hou
唔够精神,wu'gou'jing'shen
唔怪之得,wu'guai'zhi'de
乌龟,wu'gui
唔好,wu'hao
唔好话,wu'hao'hua
唔好颈脑,wu'hao'jing'nao
唔好抰开,wu'hao'yang'kai
唔好意思,wu'hao'yi'si
唔化,wu'hua
唔话得,wu'hua'de
唔教人,wu'jiao'ren
唔紧要,wu'jin'yao
唔惊唔觉,wu'jing'wu'jue
唔净止,wu'jing'zhi
唔觉眼,wu'jue'yan
唔觉意,wu'jue'yi
唔捞,wu'lao
唔理,wu'li
乌哩单刀,wu'li'dan'dao
乌里单刀,wu'li'dan'dao
乌哩马查,wu'li'ma'cha
无聊赖,wu'liao'lai
五柳鱼,wu'liu'yu
乌龙,wu'long
乌龙王,wu'long'wang
屋漏兼逢连夜雨,wu'lou'jian'feng'lian'ye'yu
乌眉瞌睡,wu'mei'ke'shui
屋企,wu'qi
屋契,wu'qi
唔切,wu'qie
无情白事,wu'qing'bai'shi
乌黢黢,wu'qu'qu
唔认巢,wu'ren'chao
扤入去,wu'ru'qu
五蛇羹,wu'she'geng
唔谂野,wu'shen'ye
唔声,wu'sheng
唔声唔气,wu'sheng'wu'qi
唔使,wu'shi
唔使比钱,wu'shi'bi'qian
午时花六时变,wu'shi'hua'liu'shi'bian
唔使送,wu'shi'song
唔使唔该,wu'shi'wu'gai
唔衰摞嚟衰,wu'shuai'luo'li'shuai
唔衰揾嚟衰,wu'shuai'wen'li'shuai
恶死,wu'si
恶死能登,wu'si'neng'deng
乌瀡瀡,wu'sui'sui
唔汤唔水,wu'tang'wu'shui
乌天黑地,wu'tian'hei'di
唔通,wu'tong
五筒柜,wu'tong'gui
乌头,wu'tou
兀突,wu'tu
乌搲,wu'wa
无闻无味,wu'wen'wu'wei
唔系,wu'xi
唔系几,wu'xi'ji
唔系路,wu'xi'lu
唔系猛龙唔过江,wu'xi'meng'long'wu'guo'jiang
扤下度,wu'xia'du
勿歇,wu'xie
无心装载,wu'xin'zhuang'zai
唔啱,wu'yan
唔啱牙,wu'yan'ya
物业,wu'ye
舞一下,wu'yi'xia
乌蝇,wu'ying
五月节,wu'yue'jie
污糟,wu'zao
五爪金龙,wu'zhao'jin'long
唔着,wu'zhe
唔止,wu'zhi
唔知埞,wu'zhi'di
乌啄啄,wu'zhuo'zhuo
洗白白,xi'bai'bai
西饼,xi'bing
细胆,xi'dan
噏得就噏,xi'de'jiu'xi
细豆芽菜,xi'dou'ya'cai
洗发精,xi'fa'jing
戏飞,xi'fei
犀飞利,xi'fei'li
扱盖,xi'gai
细个,xi'ge
细个拧史,xi'ge'ning'shi
西瓜皮,xi'gua'pi
细鬼,xi'gui
细汗,xi'han
熄火,xi'huo
熄监盏灯,xi'jian'zhan'deng
细姐,xi'jie
细旧,xi'jiu
徙鸠气,xi'jiu'qi
系距先,xi'ju'xian
系啦,xi'la
西兰花,xi'lan'hua
细佬,xi'lao
隙叻,xi'le
犀利,xi'li
细粒,xi'li
稀寥寥,xi'liao'liao
细辘,xi'lu
细妹,xi'mei
洗米,xi'mi
洗面,xi'mian
戏桥,xi'qiao
西芹,xi'qin
戏肉,xi'rou
噏三噏四,xi'san'xi'si
洗衫枧,xi'shan'jian
洗身,xi'shen
噏神噏鬼,xi'shen'xi'gui
细声,xi'sheng
细时,xi'shi
细食,xi'shi
洗湿个头,xi'shi'ge'tou
翕手,xi'shou
细餸,xi'song
翕头,xi'tou
膝头哥,xi'tou'ge
西文,xi'wen
噏噏耷耷,xi'xi'da'da
细细个,xi'xi'ge
西斜月,xi'xie'yue
西洋菜,xi'yang'cai
系要,xi'yao
噏药膏,xi'yao'gao
细只,xi'zhi
西纸,xi'zhi
戏子佬,xi'zi'lao
吓吖糍糍软,xia'a'ci'ci'ruan
虾霸,xia'ba
虾春,xia'chun
呷醋,xia'cu
虾公,xia'gong
吓鬼,xia'gui
吓坏老百姓,xia'huai'lao'bai'xing
吓鸡,xia'ji
下贱猫,xia'jian'mao
虾瘌,xia'la
下栏,xia'lan
虾碌,xia'lu
虾毛,xia'mao
虾妹妹,xia'mei'mei
下年,xia'nian
下爬,xia'pa
下爬轻轻,xia'pa'qing'qing
虾球,xia'qiu
虾人,xia'ren
烚熟狗头,xia'shu'gou'tou
下碎,xia'sui
下午茶,xia'wu'cha
霞霞雾雾,xia'xia'wu'wu
虾须距掂,xia'xu'ju'dian
下晏,xia'yan
下眼,xia'yan
虾眼水,xia'yan'shui
下昼,xia'zhou
咸吖咸,xian'a'xian
咸臭,xian'chou
咸脆花生,xian'cui'hua'sheng
咸丰拧年,xian'feng'ning'nian
先该,xian'gai
咸柑,xian'gan
咸柑距大,xian'gan'ju'da
咸煎饼,xian'jian'bing
咸姜,xian'jiang
现今,xian'jin
蚬壳,xian'ke
现况,xian'kuang
咸粒,xian'li
线路板,xian'lu'ban
线络,xian'luo
咸唛唛,xian'mai'mai
先排,xian'pai
闲惹,xian're
闲日,xian'ri
咸湿,xian'shi
现时,xian'shi
闲事,xian'shi
咸湿佬,xian'shi'lao
先始声明,xian'shi'sheng'ming
咸水草,xian'shui'cao
咸水歌,xian'shui'ge
咸水话,xian'shui'hua
咸水鱼,xian'shui'yu
咸酸,xian'suan
先头,xian'tou
