阿勃,a'bo
土壤容积,tu'rang'rong'ji
土壤溶液,tu'rang'rong'ye
土壤三相,tu'rang'san'xiang
土壤深度,tu'rang'shen'du
土壤渗透浓度,tu'rang'shen'tou'nong'du
土壤渗透性,tu'rang'shen'tou'xing
土壤生产力,tu'rang'sheng'chan'li
土壤生态型,tu'rang'sheng'tai'xing
土壤生态学,tu'rang'sheng'tai'xue
土壤生物,tu'rang'sheng'wu
土壤生物化学,tu'rang'sheng'wu'hua'xue
土壤生物学,tu'rang'sheng'wu'xue
土壤湿度,tu'rang'shi'du
土壤示意图,tu'rang'shi'yi'tu
土壤收附,tu'rang'shou'fu
土壤属,tu'rang'shu
土壤衰竭,tu'rang'shuai'jie
土壤水,tu'rang'shui
土壤水动态,tu'rang'shui'dong'tai
土壤水分保持,tu'rang'shui'fen'bao'chi
土壤水分常数,tu'rang'shui'fen'chang'shu
土壤水分含量,tu'rang'shui'fen'han'liang
土壤水分均衡,tu'rang'shui'fen'jun'heng
土壤水分缺失,tu'rang'shui'fen'que'shi
土壤水分状况,tu'rang'shui'fen'zhuang'kuang
土壤水质,tu'rang'shui'zhi
土壤松散,tu'rang'song'san
土壤酸度,tu'rang'suan'du
土壤特性,tu'rang'te'xing
土壤特性表,tu'rang'te'xing'biao
土壤特异腐殖物质,tu'rang'te'yi'fu'zhi'wu'zhi
土壤体,tu'rang'ti
土壤条件,tu'rang'tiao'jian
土壤通气,tu'rang'tong'qi
土壤图,tu'rang'tu
土壤图表示单位,tu'rang'tu'biao'shi'dan'wei
土壤图学,tu'rang'tu'xue
土壤团聚体,tu'rang'tuan'ju'ti
土壤微生物,tu'rang'wei'sheng'wu
土壤微生物区系,tu'rang'wei'sheng'wu'qu'xi
土壤微生物学,tu'rang'wei'sheng'wu'xue
土壤微形特征,tu'rang'wei'xing'te'zheng
土壤温度,tu'rang'wen'du
土壤温度第,tu'rang'wen'du'di
土壤温度计,tu'rang'wen'du'ji
土壤物理化学,tu'rang'wu'li'hua'xue
土壤物理学,tu'rang'wu'li'xue
土壤污染,tu'rang'wu'ran
土壤污染度,tu'rang'wu'ran'du
土壤污染物质,tu'rang'wu'ran'wu'zhi
土壤物质,tu'rang'wu'zhi
土壤物质循环,tu'rang'wu'zhi'xun'huan
土壤细菌,tu'rang'xi'jun
土壤系列,tu'rang'xi'lie
土壤吸着热,tu'rang'xi'zhe're
土壤消毒,tu'rang'xiao'du
土壤消毒剂,tu'rang'xiao'du'ji
土壤消毒器,tu'rang'xiao'du'qi
土壤小气候,tu'rang'xiao'qi'hou
土壤小区,tu'rang'xiao'qu
土壤小型动物,tu'rang'xiao'xing'dong'wu
土壤信息,tu'rang'xin'xi
土壤形成因素,tu'rang'xing'cheng'yin'su
土壤形态学,tu'rang'xing'tai'xue
土壤性质,tu'rang'xing'zhi
土壤学,tu'rang'xue
土壤亚目,tu'rang'ya'mu
土壤压实,tu'rang'ya'shi
土壤亚型,tu'rang'ya'xing
土壤颜色,tu'rang'yan'se
土壤烟熏剂,tu'rang'yan'xun'ji
土壤养分缺乏,tu'rang'yang'fen'que'fa
土壤样品,tu'rang'yang'pin
土壤氧气,tu'rang'yang'qi
土壤液相,tu'rang'ye'xiang
土壤因豦,tu'rang'yin'ju
土壤硬度,tu'rang'ying'du
土壤硬度计,tu'rang'ying'du'ji
土壤营养钵,tu'rang'ying'yang'bo
土壤用除草剂,tu'rang'yong'chu'cao'ji
土壤诱电率,tu'rang'you'dian'lv
土壤有机酸,tu'rang'you'ji'suan
土壤有机物质,tu'rang'you'ji'wu'zhi
土壤运动,tu'rang'yun'dong
土壤藻类,tu'rang'zao'lei
土壤诊断,tu'rang'zhen'duan
土壤诊断学,tu'rang'zhen'duan'xue
土壤真菌,tu'rang'zhen'jun
土壤蒸发,tu'rang'zheng'fa
土壤蒸发量,tu'rang'zheng'fa'liang
土壤蒸发热,tu'rang'zheng'fa're
土壤质地,tu'rang'zhi'di
土壤植物区系,tu'rang'zhi'wu'qu'xi
土壤脂质,tu'rang'zhi'zhi
土壤种,tu'rang'zhong
土壤中型动物,tu'rang'zhong'xing'dong'wu
土壤组织,tu'rang'zu'zhi
兔肉,tu'rou
吐水,tu'shui
吐丝,tu'si
吐丝管,tu'si'guan
吐丝孔,tu'si'kong
吐丝速度,tu'si'su'du
菟丝子,tu'si'zi
菟丝子传染,tu'si'zi'chuan'ran
屠体,tu'ti
土压,tu'ya
土压力系数,tu'ya'li'xi'shu
土堰,tu'yan
屠宰,tu'zai
屠宰场,tu'zai'chang
屠宰场副产物,tu'zai'chang'fu'chan'wu
屠宰家畜,tu'zai'jia'chu
屠宰率,tu'zai'lv
屠宰体重,tu'zai'ti'zhong
徒长,tu'zhang
徒长枝,tu'zhang'zhi
土质力学,tu'zhi'li'xue
土种,tu'zhong
土著的,tu'zhu'de
团聚度,tuan'ju'du
团聚体结构,tuan'ju'ti'jie'gou
团粒结构,tuan'li'jie'gou
湍流,tuan'liu
团伞花序,tuan'san'hua'xu
退潮水位,tui'chao'shui'wei
推崇,tui'chong
推定种畜价值,tui'ding'zhong'chu'jia'zhi
推广品种,tui'guang'pin'zhong
退化,tui'hua
退化雄蕊,tui'hua'xiong'rui
蜕皮素,tui'pi'su
退色,tui'shai
腿衰弱,tui'shuai'ruo
推土机,tui'tu'ji
推土机刮土铲,tui'tu'ji'gua'tu'chan
退行发育,tui'xing'fa'yu
退行卵胞,tui'xing'luan'bao
吞噬体,tun'shi'ti
豚鼠,tun'shu
脱氨基,tuo'an'ji
脱氨基反应,tuo'an'ji'fan'ying
托布津,tuo'bu'jin
拖车,tuo'che
脱氮,tuo'dan
脱氟磷肥,tuo'fu'lin'fei
脱腐殖化过程,tuo'fu'zhi'hua'guo'cheng
脱钙,tuo'gai
脱肛蚕,tuo'gang'can
脱谷,tuo'gu
托花的,tuo'hua'de
脱碱化粘磐土,tuo'jian'hua'zhan'pan'tu
脱碱土,tuo'jian'tu
脱胶,tuo'jiao
脱臼,tuo'jiu
脱矿质,tuo'kuang'zhi
拖拉机技术保养,tuo'la'ji'ji'shu'bao'yang
拖拉机牵引中耕锄,tuo'la'ji'qian'yin'zhong'geng'chu
拖拉机拖车,tuo'la'ji'tuo'che
拖拉机悬挂式喷粉机,tuo'la'ji'xuan'gua'shi'pen'fen'ji
拖拉机悬挂型机具,tuo'la'ji'xuan'gua'xing'ji'ju
脱粒滚筒,tuo'li'gun'tong
脱粒机,tuo'li'ji
脱落素,tuo'luo'su
脱氯化过程,tuo'lv'hua'guo'cheng
托马斯炉黷,tuo'ma'si'lu'du
托马斯炉渣,tuo'ma'si'lu'zha
脱皮次数,tuo'pi'ci'shu
脱皮激素,tuo'pi'ji'su
脱皮期,tuo'pi'qi
脱皮腺,tuo'pi'xian
脱气,tuo'qi
脱氢酶,tuo'qing'mei
脱水,tuo'shui
脱酸,tuo'suan
脱羧酶,tuo'suo'mei
脱屑,tuo'xie
脱盐化,tuo'yan'hua
脱氧核苷,tuo'yang'he'gan
脱氧核糖核酸,tuo'yang'he'tang'he'suan
脱氧核糖核酸酶,tuo'yang'he'tang'he'suan'mei
脱氧乌苷酸,tuo'yang'wu'gan'suan
唾液,tuo'ye
托叶,tuo'ye
唾液淀粉酶,tuo'ye'dian'fen'mei
托叶鞘,tuo'ye'qiao
唾液腺,tuo'ye'xian
脱颖而出,tuo'ying'er'chu
椭圆形茧,tuo'yuan'xing'jian
脱脂,tuo'zhi
脱脂奶,tuo'zhi'nai
脱脂奶粉,tuo'zhi'nai'fen
洼地土壤,wa'di'tu'rang
挖根锄,wa'gen'chu
挖根机,wa'gen'ji
挖沟,wa'gou
挖沟机,wa'gou'ji
挖沟犁,wa'gou'li
瓦管暗渠,wa'guan'an'qu
挖坑机,wa'keng'ji
挖泥船,wa'ni'chuan
挖排水沟,wa'pai'shui'gou
挖渠道,wa'qu'dao
瓦氏盆,wa'shi'pen
挖土铲斗,wa'tu'chan'dou
外部形态,wai'bu'xing'tai
外毒素,wai'du'su
外分泌,wai'fen'mi
外分泌腺,wai'fen'mi'xian
外观品质,wai'guan'pin'zhi
外果皮,wai'guo'pi
外寄生,wai'ji'sheng
外寄生物,wai'ji'sheng'wu
外激素,wai'ji'su
外激素陷井,wai'ji'su'xian'jing
外壳,wai'ke
外来植物,wai'lai'zhi'wu
外貌,wai'mao
外膜,wai'mo
外胚层,wai'pei'ceng
外胚乳,wai'pei'ru
外皮,wai'pi
外皮层,wai'pi'ceng
外勤蜂,wai'qin'feng
外伤性皮肤炎,wai'shang'xing'pi'fu'yan
外生孢子,wai'sheng'bao'zi
外生出芽,wai'sheng'chu'ya
外生的,wai'sheng'de
外生菌根,wai'sheng'jun'gen
外生殖器,wai'sheng'zhi'qi
外显率,wai'xian'lv
外显子,wai'xian'zi
外延,wai'yan
外因地质酌,wai'yin'di'zhi'zhuo
外因潜育酌,wai'yin'qian'yu'zhuo
外颖,wai'ying
外源,wai'yuan
外展,wai'zhan
外展神经,wai'zhan'shen'jing
外质,wai'zhi
外珠孔,wai'zhu'kong
晚播,wan'bo
晚材,wan'cai
晚稻,wan'dao
豌豆,wan'dou
豌豆白粉病,wan'dou'bai'fen'bing
豌豆灰霉病,wan'dou'hui'mei'bing
豌豆脱粒机,wan'dou'tuo'li'ji
豌豆象虫,wan'dou'xiang'chong
弯杆菌性龙,wan'gan'jun'xing'long
晚间,wan'jian
弯茎的,wan'jing'de
挽具,wan'ju
完模标本,wan'mo'biao'ben
万能干燥机,wan'neng'gan'zao'ji
万能拖拉机,wan'neng'tuo'la'ji
晚期肥育,wan'qi'fei'yu
晚秋蚕饲育,wan'qiu'can'si'yu
完全肥料,wan'quan'fei'liao
完全分析,wan'quan'fen'xi
完全骨折,wan'quan'gu'zhe
完全花,wan'quan'hua
完全化学组成,wan'quan'hua'xue'zu'cheng
完全抗原,wan'quan'kang'yuan
完全培养基,wan'quan'pei'yang'ji
完全水跃,wan'quan'shui'yue
完全随机试验,wan'quan'sui'ji'shi'yan
完全萎凋湿度,wan'quan'wei'diao'shi'du
完全堰,wan'quan'yan
完全营养,wan'quan'ying'yang
完全致死,wan'quan'zhi'si
完全转导,wan'quan'zhuan'dao
弯梢压条法,wan'shao'ya'tiao'fa
弯生的,wan'sheng'de
完熟,wan'shu
晚熟,wan'shu
晚熟葡萄,wan'shu'pu'tao
完熟期,wan'shu'qi
晚熟种,wan'shu'zhong
晚熟种玉米,wan'shu'zhong'yu'mi
晚霜,wan'shuang
弯叶的,wan'ye'de
完整粒,wan'zheng'li
完整米,wan'zheng'mi
弯种子的,wan'zhong'zi'de
王长发,wang'chang'fa
王浆,wang'jiang
网收法,wang'shou'fa
网纹淋溶土,wang'wen'lin'rong'tu
网纹潜育土,wang'wen'qian'yu'tu
网纹强淋溶土,wang'wen'qiang'lin'rong'tu
网纹铁铝土,wang'wen'tie'lv'tu
网状耙,wang'zhuang'ba
网状的,wang'zhuang'de
网状脉,wang'zhuang'mai
网状内皮组织增殖,wang'zhuang'nei'pi'zu'zhi'zeng'zhi
网组织,wang'zu'zhi
渭北,wei'bei
渭北旱塬,wei'bei'han'yuan
胃病,wei'bing
微波处理,wei'bo'chu'li
微不足道,wei'bu'zu'dao
胃肠道激素,wei'chang'dao'ji'su
胃肠蠕动,wei'chang'ru'dong
胃肠炎,wei'chang'yan
维持日粮,wei'chi'ri'liang
胃蛋白酶,wei'dan'bai'mei
胃蛋白酶原,wei'dan'bai'mei'yuan
味道,wei'dao
微电极,wei'dian'ji
萎凋系数,wei'diao'xi'shu
微动关节,wei'dong'guan'jie
纬度,wei'du
胃毒剂,wei'du'ji
微肥,wei'fei
微分化,wei'fen'hua
尾根,wei'gen
微管,wei'guan
维管的,wei'guan'de
维管束,wei'guan'shu
维管系,wei'guan'xi
维管组织,wei'guan'zu'zhi
渭河,wei'he
微核细胞,wei'he'xi'bao
萎黄病,wei'huang'bing
尾脚,wei'jiao
尾角,wei'jiao
微结构,wei'jie'gou
未经,wei'jing
味觉,wei'jue
味觉瀑,wei'jue'pu
微孔滤器,wei'kong'lv'qi
尾矿,wei'kuang
胃溃疡,wei'kui'yang
围栏放牧,wei'lan'fang'mu
为例,wei'li
微粒体,wei'li'ti
微粒子病,wei'li'zi'bing
微粒子病原虫,wei'li'zi'bing'yuan'chong
喂量第,wei'liang'di
微量滴定,wei'liang'di'ding
微量肥料,wei'liang'fei'liao
微量化学,wei'liang'hua'xue
微量添加剂,wei'liang'tian'jia'ji
微量天平,wei'liang'tian'ping
微量营养肥料,wei'liang'ying'yang'fei'liao
微量元素,wei'liang'yuan'su
微量元素肥料,wei'liang'yuan'su'fei'liao
微量元素固定,wei'liang'yuan'su'gu'ding
微量元素混合肥料,wei'liang'yuan'su'hun'he'fei'liao
微量元素可动化,wei'liang'yuan'su'ke'dong'hua
微量元素磷肥,wei'liang'yuan'su'lin'fei
微量元素缺乏症,wei'liang'yuan'su'que'fa'zheng
微量元素添加剂,wei'liang'yuan'su'tian'jia'ji
卫矛醇,wei'mao'chun
萎蔫点,wei'nian'dian
微气象学,wei'qi'xiang'xue
喂入器饲料分送器,wei'ru'qi'si'liao'fen'song'qi
卫生,wei'sheng
卫生的,wei'sheng'de
卫生害虫,wei'sheng'hai'chong
卫生检验,wei'sheng'jian'yan
维生素,wei'sheng'su
维生素干草,wei'sheng'su'gan'cao
维生素含量,wei'sheng'su'han'liang
维生素剂,wei'sheng'su'ji
维生素缺乏病,wei'sheng'su'que'fa'bing
维生素饲料,wei'sheng'su'si'liao
维生素添加剂,wei'sheng'su'tian'jia'ji
维生素需要,wei'sheng'su'xu'yao
卫生土壤学,wei'sheng'tu'rang'xue
微生物,wei'sheng'wu
微生物蛋白饲料,wei'sheng'wu'dan'bai'si'liao
微生物分析,wei'sheng'wu'fen'xi
微生物农药,wei'sheng'wu'nong'yao
微生物区系,wei'sheng'wu'qu'xi
微生物杀虫剂,wei'sheng'wu'sha'chong'ji
微生物生态学,wei'sheng'wu'sheng'tai'xue
微生物学,wei'sheng'wu'xue
微生物学过程,wei'sheng'wu'xue'guo'cheng
围食膜,wei'shi'mo
未受精蛋,wei'shou'jing'dan
未受精卵,wei'shou'jing'luan
未熟,wei'shu
未熟蚕,wei'shu'can
未熟的,wei'shu'de
未熟开花,wei'shu'kai'hua
喂水处,wei'shui'chu
喂送装置,wei'song'zhuang'zhi
胃酸,wei'suan
萎缩,wei'suo
微体,wei'ti
微土壤学,wei'tu'rang'xue
微细胞,wei'xi'bao
微细过滤,wei'xi'guo'lv
微细增殖,wei'xi'zeng'zhi
微咸水环境,wei'xian'shui'huan'jing
纬向指数,wei'xiang'zhi'shu
微效基因,wei'xiao'ji'yin
微效基因抗性,wei'xiao'ji'yin'kang'xing
微小染色体,wei'xiao'ran'se'ti
围心腺,wei'xin'xian
卫星气象学,wei'xing'qi'xiang'xue
围堰,wei'yan
胃炎,wei'yan
尾叶的,wei'ye'de
维因,wei'yin
委员会,wei'yuan'hui
微诊断,wei'zhen'duan
未知生长因素,wei'zhi'sheng'zhang'yin'su
未知数,wei'zhi'shu
稳产,wen'chan
温床,wen'chuang
温床苗床,wen'chuang'miao'chuang
温床栽培,wen'chuang'zai'pei
温带气候,wen'dai'qi'hou
温带罪,wen'dai'zui
稳定度,wen'ding'du
稳定腐殖质,wen'ding'fu'zhi'zhi
稳定剂,wen'ding'ji
稳定流,wen'ding'liu
稳定同位素,wen'ding'tong'wei'su
温度,wen'du
温度冲击,wen'du'chong'ji
温度传导率,wen'du'chuan'dao'lv
温度第,wen'du'di
温度计,wen'du'ji
温度敏感突变体,wen'du'min'gan'tu'bian'ti
温度群体,wen'du'qun'ti
温度条件,wen'du'tiao'jian
温度系数,wen'du'xi'shu
温度型,wen'du'xing
温度自动记录器,wen'du'zi'dong'ji'lu'qi
文冠树,wen'guan'shu
温光,wen'guang
吻合,wen'he
温和噬菌体,wen'he'shi'jun'ti
纹孔,wen'kong
温凉,wen'liang
温泉废水,wen'quan'fei'shui
温室,wen'shi
温室白蝇,wen'shi'bai'ying
温室番茄,wen'shi'fan'qie
温室果实,wen'shi'guo'shi
温室黄瓜,wen'shi'huang'gua
温室气候,wen'shi'qi'hou
温室蔬菜,wen'shi'shu'cai
温室甜瓜,wen'shi'tian'gua
温室土壤,wen'shi'tu'rang
温室效应,wen'shi'xiao'ying
温室栽培,wen'shi'zai'pei
温室罪,wen'shi'zui
温水育雏器,wen'shui'yu'chu'qi
温汤处理,wen'tang'chu'li
温汤去雄,wen'tang'qu'xiong
温汤消毒,wen'tang'xiao'du
温型,wen'xing
温性,wen'xing
温性腐殖质,wen'xing'fu'zhi'zhi
温血的,wen'xue'de
温血动物,wen'xue'dong'wu
稳椰子,wen'ye'zi
温周期,wen'zhou'qi
温周期阶段,wen'zhou'qi'jie'duan
温周期现象,wen'zhou'qi'xian'xiang
蚊子,wen'zi
莴苣,wo'ju
莴苣灰霉病,wo'ju'hui'mei'bing
涡轮泵,wo'lun'beng
蜗牛,wo'niu
我省,wo'sheng
我校,wo'xiao
无瓣的,wu'ban'de
无孢子的,wu'bao'zi'de
无孢子生殖,wu'bao'zi'sheng'zhi
无被的,wu'bei'de
五倍体,wu'bei'ti
五倍子,wu'bei'zi
无变态,wu'bian'tai
无边缘的,wu'bian'yuan'de
无柄的,wu'bing'de
无病毒植物,wu'bing'du'zhi'wu
无柄叶,wu'bing'ye
无草休闲地,wu'cao'xiu'xian'di
误差,wu'cha
误差变异,wu'cha'bian'yi
误差度,wu'cha'du
误差范围,wu'cha'fan'wei
误差方差,wu'cha'fang'cha
误差方程,wu'cha'fang'cheng
误差函数,wu'cha'han'shu
误差理论,wu'cha'li'lun
误差平方和,wu'cha'ping'fang'he
误差曲线,wu'cha'qu'xian
误差系数,wu'cha'xi'shu
误差限度,wu'cha'xian'du
无齿耙,wu'chi'pa
戊醇,wu'chun
午带,wu'dai
无氮浸出物,wu'dan'jin'chu'wu
无氮素化合物,wu'dan'su'hua'he'wu
无定形,wu'ding'xing
无定形的,wu'ding'xing'de
无反射,wu'fan'she
无沟漫灌,wu'gou'man'guan
雾灌水,wu'guan'shui
无光鸡舍,wu'guang'ji'she
五果的,wu'guo'de
无害,wu'hai
雾害,wu'hai
无核细胞,wu'he'xi'bao
物候观测,wu'hou'guan'ce
物候季节,wu'hou'ji'jie
物候历,wu'hou'li
物候学,wu'hou'xue
五花瓣的,wu'hua'ban'de
无花的,wu'hua'de
无花萼的,wu'hua'e'de
无花果,wu'hua'guo
无花果树,wu'hua'guo'shu
无花果锈病,wu'hua'guo'xiu'bing
无花药的,wu'hua'yao'de
无黄的,wu'huang'de
无黄卵,wu'huang'luan
无机肥料,wu'ji'fei'liao
无机改良剂,wu'ji'gai'liang'ji
无机化合物,wu'ji'hua'he'wu
无机胶体,wu'ji'jiao'ti
五基数的,wu'ji'shu'de
无机酸,wu'ji'suan
无机酸盐,wu'ji'suan'yan
无机物,wu'ji'wu
无机污染,wu'ji'wu'ran
无机盐,wu'ji'yan
无机营养生物,wu'ji'ying'yang'sheng'wu
无脊椎动物,wu'ji'zhui'dong'wu
无脊椎动物病毒,wu'ji'zhui'dong'wu'bing'du
无睑,wu'jian
无角牛,wu'jiao'niu
无结构,wu'jie'gou
侮津,wu'jin
屋净,wu'jing
芜菁,wu'jing
无精蛋,wu'jing'dan
无茎的,wu'jing'de
芜菁甘蓝,wu'jing'gan'lan
芜菁叶蜂,wu'jing'ye'feng
戊聚糖,wu'ju'tang
无菌,wu'jun
无菌包装,wu'jun'bao'zhuang
无菌畜舍,wu'jun'chu'she
无菌培养,wu'jun'pei'yang
无菌水,wu'jun'shui
无菌条件,wu'jun'tiao'jian
无菌畜牧,wu'jun'xu'mu
无力,wu'li
物力,wu'li
无粒白血球,wu'li'bai'xue'qiu
物理防治,wu'li'fang'zhi
物理风化,wu'li'feng'hua
物理化学,wu'li'hua'xue
物理化学防治,wu'li'hua'xue'fang'zhi
物理化学风化,wu'li'hua'xue'feng'hua
物理化学吸附,wu'li'hua'xue'xi'fu
物理化学吸收能力,wu'li'hua'xue'xi'shou'neng'li
物理化学性质,wu'li'hua'xue'xing'zhi
物理化学诊断,wu'li'hua'xue'zhen'duan
物理机械防治,wu'li'ji'xie'fang'zhi
物理机械吸收能力,wu'li'ji'xie'xi'shou'neng'li
物理机械性质,wu'li'ji'xie'xing'zhi
物理突变体,wu'li'tu'bian'ti
物理吸附,wu'li'xi'fu
物理吸收能力,wu'li'xi'shou'neng'li
物理性体温第,wu'li'xing'ti'wen'di
物理性质,wu'li'xing'zhi
无论,wu'lun
无论是,wu'lun'shi
五氯酚,wu'lv'fen
五氯硝基苯,wu'lv'xiao'ji'ben
无脉,wu'mai
无脉的,wu'mai'de
无毛的,wu'mao'de
五眠蚕,wu'mian'can
乌敏,wu'min
乌敏酸,wu'min'suan
污泥肥料,wu'ni'fei'liao
污泥利用,wu'ni'li'yong
无尿,wu'niao
无胚乳的,wu'pei'ru'de
无配子生殖,wu'pei'zi'sheng'zhi
无偏,wu'pian
戊醛糖,wu'quan'tang
污染,wu'ran
污染地区,wu'ran'di'qu
污染防治,wu'ran'fang'zhi
污染水,wu'ran'shui
污染物质,wu'ran'wu'zhi
污染指数,wu'ran'zhi'shu
无人,wu'ren
无融合生殖,wu'rong'he'sheng'zhi
无色红血球,wu'se'hong'xue'qiu
五深裂的,wu'shen'lie'de
无生殖力的,wu'sheng'zhi'li'de
无霜期,wu'shuang'qi
污水,wu'shui
无水氨,wu'shui'an
污水池,wu'shui'chi
污水抽水站,wu'shui'chou'shui'zhan
污水处理,wu'shui'chu'li
无水的,wu'shui'de
污水的生物分解,wu'shui'de'sheng'wu'fen'jie
污水管,wu'shui'guan
污水灌溉,wu'shui'guan'gai
污水净化,wu'shui'jing'hua
污水菌,wu'shui'jun
污水利用,wu'shui'li'yong
污水污泥,wu'shui'wu'ni
污水污染,wu'shui'wu'ran
无丝分裂,wu'si'fen'lie
无丝分裂的,wu'si'fen'lie'de
雾凇,wu'song
无穗玉米,wu'sui'yu'mi
无所谓,wu'suo'wei
戊糖,wu'tang
戊糖磷酸循环,wu'tang'lin'suan'xun'huan
戊糖循环,wu'tang'xun'huan
无题,wu'ti
五体雄蕊的,wu'ti'xiong'rui'de
无条件反射,wu'tiao'jian'fan'she
乌头,wu'tou
无头的,wu'tou'de
乌头碱,wu'tou'jian
乌头酸,wu'tou'suan
乌头酸酶,wu'tou'suan'mei
无头幼虫,wu'tou'you'chong
无土壤种植蔬菜,wu'tu'rang'zhong'zhi'shu'cai
无土栽培,wu'tu'zai'pei
勿忘草,wu'wang'cao
五味子,wu'wei'zi
无细胞抽出液,wu'xi'bao'chou'chu'ye
无细胞系统,wu'xi'bao'xi'tong
无限花序,wu'xian'hua'xu
无效分蘖,wu'xiao'fen'nie
无效假设,wu'xiao'jia'she
无效茎,wu'xiao'jing
无心,wu'xin
无性孢子,wu'xing'bao'zi
无性的,wu'xing'de
无性繁殖,wu'xing'fan'zhi
无性花,wu'xing'hua
无性阶段,wu'xing'jie'duan
无性胚,wu'xing'pei
无性胚形成,wu'xing'pei'xing'cheng
无性生殖,wu'xing'sheng'zhi
无性生殖周期,wu'xing'sheng'zhi'zhou'qi
无性世代,wu'xing'shi'dai
无形体病,wu'xing'ti'bing
无性系,wu'xing'xi
无性系选择,wu'xing'xi'xuan'ze
无性种,wu'xing'zhong
五雄蕊的,wu'xiong'rui'de
无雄蕊的,wu'xiong'rui'de
无须,wu'xu
无芽孢杆菌,wu'ya'bao'gan'jun
五叶的,wu'ye'de
无叶的,wu'ye'de
无叶舌基因,wu'ye'she'ji'yin
无疑,wu'yi
五翼的,wu'yi'de
误义密码子,wu'yi'mi'ma'zi
无意义抑制基因,wu'yi'yi'yi'zhi'ji'yin
雾雨,wu'yu
物质代谢,wu'zhi'dai'xie
物质代谢第,wu'zhi'dai'xie'di
物质流,wu'zhi'liu
物质渗透,wu'zhi'shen'tou
物质生产,wu'zhi'sheng'chan
物质透过,wu'zhi'tou'guo
物种,wu'zhong
乌啄豆,wu'zhuo'dou
无籽蜗,wu'zi'wo
无子叶的,wu'zi'ye'de
无子叶植物,wu'zi'ye'zhi'wu
细胞,xi'bao
细胞板,xi'bao'ban
细胞壁,xi'bao'bi
细胞层,xi'bao'ceng
细胞动素,xi'bao'dong'su
细胞分化,xi'bao'fen'hua
细胞分级分离,xi'bao'fen'ji'fen'li
细胞分类学,xi'bao'fen'lei'xue
细胞分裂,xi'bao'fen'lie
细胞工程,xi'bao'gong'cheng
细胞核,xi'bao'he
细胞呼吸,xi'bao'hu'xi
细胞集落,xi'bao'ji'luo
细胞寄生虫,xi'bao'ji'sheng'chong
细胞计数,xi'bao'ji'shu
细胞结构,xi'bao'jie'gou
细胞媒介性免疫,xi'bao'mei'jie'xing'mian'yi
细胞膜,xi'bao'mo
细胞培养,xi'bao'pei'yang
细胞融合,xi'bao'rong'he
细胞色素,xi'bao'se'su
细胞体,xi'bao'ti
细胞图,xi'bao'tu
细胞性状转化,xi'bao'xing'zhuang'zhuan'hua
细胞学,xi'bao'xue
细胞液,xi'bao'ye
细胞遗传学,xi'bao'yi'chuan'xue
细胞育种,xi'bao'yu'zhong
细胞杂种化,xi'bao'za'zhong'hua
细胞增殖,xi'bao'zeng'zhi
细胞质,xi'bao'zhi
细胞质保护反应,xi'bao'zhi'bao'hu'fan'ying
细胞质基因,xi'bao'zhi'ji'yin
细胞质抗性,xi'bao'zhi'kang'xing
细胞质突变,xi'bao'zhi'tu'bian
细胞质雄性不育,xi'bao'zhi'xiong'xing'bu'yu
细胞质遗传,xi'bao'zhi'yi'chuan
细胞滋养层,xi'bao'zi'yang'ceng
细胞组织,xi'bao'zu'zhi
西北农林科技大学,xi'bei'nong'lin'ke'ji'da'xue
稀播,xi'bo
吸虫,xi'chong
吸虫病,xi'chong'bing
吸虫类,xi'chong'lei
洗蛋机,xi'dan'ji
吸氮速度,xi'dan'su'du
洗涤,xi'di
洗涤桶,xi'di'tong
细度,xi'du
吸附,xi'fu
吸附复合体,xi'fu'fu'he'ti
吸附剂,xi'fu'ji
吸附量,xi'fu'liang
吸附率,xi'fu'lv
吸附酶,xi'fu'mei
吸附能力,xi'fu'neng'li
吸附热,xi'fu're
吸附悬着水,xi'fu'xuan'zhe'shui
吸附盐基量,xi'fu'yan'ji'liang
细腐殖质,xi'fu'zhi'zhi
喜钙植物,xi'gai'zhi'wu
吸根,xi'gen
细根,xi'gen
洗根机,xi'gen'ji
吸管纲,xi'guan'gang
习惯性龙,xi'guan'xing'long
吸光度,xi'guang'du
吸光系数,xi'guang'xi'shu
系枷牛舍,xi'jia'niu'she
细尖的,xi'jian'de
细菌,xi'jun
细菌病,xi'jun'bing
细菌毒素,xi'jun'du'su
细菌肥料,xi'jun'fei'liao
细菌感染,xi'jun'gan'ran
细菌培养,xi'jun'pei'yang
细菌噬菌体,xi'jun'shi'jun'ti
细菌素,xi'jun'su
细菌性秆腐病,xi'jun'xing'gan'fu'bing
细菌性黑斑病,xi'jun'xing'hei'ban'bing
细菌性软腐病,xi'jun'xing'ruan'fu'bing
细菌性软化病,xi'jun'xing'ruan'hua'bing
细菌性生物毒素,xi'jun'xing'sheng'wu'du'su
细菌性条斑病,xi'jun'xing'tiao'ban'bing
细菌学,xi'jun'xue
细菌叶绿素,xi'jun'ye'lv'su
细菌疫苗,xi'jun'yi'miao
系列化,xi'lie'hua
系列土壤分类,xi'lie'tu'rang'fen'lei
喜马多美朗酸,xi'ma'duo'mei'lang'suan
细脉,xi'mai
细毛,xi'mao
细毛羊,xi'mao'yang
细苗,xi'miao
西农,xi'nong
吸盘,xi'pan
系谱,xi'pu
吸气,xi'qi
吸气器气吸管道,xi'qi'qi'qi'xi'guan'dao
吸入管,xi'ru'guan
