暗虎精,an'hu'jing
夜魔人,ye'mo'ren
夜魔扇,ye'mo'shan
夜魔使者魔,ye'mo'shi'zhe'mo
夜魔项链,ye'mo'xiang'lian
夜魔项链魔,ye'mo'xiang'lian'mo
夜魔项链物,ye'mo'xiang'lian'wu
夜魔靴,ye'mo'xue
夜魔靴魔,ye'mo'xue'mo
夜魔靴物,ye'mo'xue'wu
夜魔寻守,ye'mo'xun'shou
夜魔腰带,ye'mo'yao'dai
夜魔腰带魔,ye'mo'yao'dai'mo
夜魔腰带物,ye'mo'yao'dai'wu
夜魔衣,ye'mo'yi
夜魔衣男,ye'mo'yi'nan
夜魔衣女,ye'mo'yi'nv
夜魔杖,ye'mo'zhang
野山参,ye'shan'can
野兽,ye'shou
野性,ye'xing
野猪,ye'zhu
乙镖头,yi'biao'tou
一等,yi'deng
一级为,yi'ji'wei
易筋宝珠,yi'jin'bao'zhu
易筋经,yi'jin'jing
异军步兵,yi'jun'bu'bing
异军操兽师,yi'jun'cao'shou'shi
异军队长,yi'jun'dui'zhang
异军法师,yi'jun'fa'shi
异军法师魔,yi'jun'fa'shi'mo
异军高手,yi'jun'gao'shou
异军弓兵,yi'jun'gong'bing
异军蛊师,yi'jun'gu'shi
异军国师,yi'jun'guo'shi
异军护卫,yi'jun'hu'wei
异军枪兵,yi'jun'qiang'bing
异军萨满,yi'jun'sa'man
异军撒满,yi'jun'sa'man
异军哨探,yi'jun'shao'tan
异军巫医,yi'jun'wu'yi
异军驯兽长,yi'jun'xun'shou'chang
异军驯兽师,yi'jun'xun'shou'shi
异军咒师,yi'jun'zhou'shi
翼鸟魔,yi'niao'mo
易容师,yi'rong'shi
易容术,yi'rong'shu
移形换位,yi'xing'huan'wei
异域叛兵,yi'yu'pan'bing
异域商人,yi'yu'shang'ren
异域逃兵,yi'yu'tao'bing
异域偷猎者,yi'yu'tou'lie'zhe
异域巫师,yi'yu'wu'shi
异域巫师魔,yi'yu'wu'shi'mo
一转,yi'zhuan
异族狂兵,yi'zu'kuang'bing
异族男巫,yi'zu'nan'wu
异族男巫魔,yi'zu'nan'wu'mo
异族哨兵,yi'zu'shao'bing
异族偷猎者,yi'zu'tou'lie'zhe
异族头目,yi'zu'tou'mu
银符,yin'fu
银矿,yin'kuang
隐雷,yin'lei
隐匿行踪,yin'ni'xing'zong
隐匿训练,yin'ni'xun'lian
隐身,yin'shen
隐身卡,yin'shen'ka
饮血剑,yin'xue'jian
阴阳逆转,yin'yang'ni'zhuan
银月扇,yin'yue'shan
硬皮,ying'pi
硬皮甲,ying'pi'jia
硬皮甲男,ying'pi'jia'nan
硬皮甲女,ying'pi'jia'nv
硬皮料,ying'pi'liao
英雄令,ying'xiong'ling
影之舞,ying'zhi'wu
勇士,yong'shi
用头盔,yong'tou'kui
有等级,you'deng'ji
幼狐,you'hu
幽魂合,you'hun'he
诱惑,you'huo
幽冥刀,you'ming'dao
幽冥盾,you'ming'dun
幽冥斧,you'ming'fu
幽冥弓,you'ming'gong
幽冥棍,you'ming'gun
幽冥护腕,you'ming'hu'wan
幽冥护腕魔,you'ming'hu'wan'mo
幽冥护腕物,you'ming'hu'wan'wu
幽冥戒指,you'ming'jie'zhi
幽冥戒指魔,you'ming'jie'zhi'mo
幽冥戒指物,you'ming'jie'zhi'wu
幽冥盔,you'ming'kui
幽冥盔魔,you'ming'kui'mo
幽冥盔物,you'ming'kui'wu
幽冥扇,you'ming'shan
幽冥圣虎,you'ming'sheng'hu
幽冥圣甲男,you'ming'sheng'jia'nan
幽冥圣甲女,you'ming'sheng'jia'nv
幽冥圣铠男,you'ming'sheng'kai'nan
幽冥圣铠女,you'ming'sheng'kai'nv
幽冥圣衣男,you'ming'sheng'yi'nan
幽冥圣衣女,you'ming'sheng'yi'nv
幽冥项链,you'ming'xiang'lian
幽冥项链魔,you'ming'xiang'lian'mo
幽冥项链物,you'ming'xiang'lian'wu
幽冥靴,you'ming'xue
幽冥靴魔,you'ming'xue'mo
幽冥靴物,you'ming'xue'wu
幽冥腰带,you'ming'yao'dai
幽冥腰带魔,you'ming'yao'dai'mo
幽冥腰带物,you'ming'yao'dai'wu
幽冥杖,you'ming'zhang
鱼肠剑,yu'chang'jian
鱼翅,yu'chi
御赐金符,yu'ci'jin'fu
玉符,yu'fu
雨花石,yu'hua'shi
愚化土巫,yu'hua'tu'wu
鱼精,yu'jing
玉鳞护腕,yu'lin'hu'wan
玉鳞戒指,yu'lin'jie'zhi
玉鳞项链,yu'lin'xiang'lian
玉鳞腰带,yu'lin'yao'dai
玉鳞杖,yu'lin'zhang
羽毛,yu'mao
玉菩提,yu'pu'ti
玉如意,yu'ru'yi
御神箭,yu'shen'jian
玉石,yu'shi
愚兽土巫,yu'shou'tu'wu
浴血剑,yu'xue'jian
玉竹简,yu'zhu'jian
原材料,yuan'cai'liao
冤气,yuan'qi
元神增强,yuan'shen'zeng'qiang
元素之门,yuan'su'zhi'men
圆月弯刀,yuan'yue'wan'dao
月光宝盒,yue'guang'bao'he
月魔刀,yue'mo'dao
月魔盾,yue'mo'dun
月魔法师魔,yue'mo'fa'shi'mo
月魔斧,yue'mo'fu
月魔弓,yue'mo'gong
月魔弓手,yue'mo'gong'shou
月魔棍,yue'mo'gun
月魔护腕,yue'mo'hu'wan
月魔戒指,yue'mo'jie'zhi
月魔盔,yue'mo'kui
月魔人,yue'mo'ren
月魔扇,yue'mo'shan
月魔统领,yue'mo'tong'ling
月魔项链,yue'mo'xiang'lian
月魔靴,yue'mo'xue
月魔腰带,yue'mo'yao'dai
月魔战士,yue'mo'zhan'shi
月魔杖,yue'mo'zhang
运镖,yun'biao
运肥料,yun'fei'liao
云体风身,yun'ti'feng'shen
杂货店,za'huo'dian
杂货店伙计,za'huo'dian'huo'ji
杂货店老板,za'huo'dian'lao'ban
杂货商,za'huo'shang
在好友,zai'hao'you
在你来,zai'ni'lai
在区域,zai'qu'yu
再生,zai'sheng
在王城,zai'wang'cheng
再找,zai'zhao
战场中,zhan'chang'zhong
战斧白骨,zhan'fu'bai'gu
战斧白骨魔,zhan'fu'bai'gu'mo
湛卢剑,zhan'lu'jian
斩马刀,zhan'ma'dao
战神护体,zhan'shen'hu'ti
战神祝福,zhan'shen'zhu'fu
战士,zhan'shi
长老说,zhang'lao'shuo
张犀皮,zhang'xi'pi
张真人,zhang'zhen'ren
找锄头,zhao'chu'tou
召唤风灵,zhao'huan'feng'ling
召唤骸骨守卫,zhao'huan'hai'gu'shou'wei
召唤技能系,zhao'huan'ji'neng'xi
召唤骷髅弓手,zhao'huan'ku'lou'gong'shou
召唤骷髅战士,zhao'huan'ku'lou'zhan'shi
召唤六道鬼王,zhao'huan'liu'dao'gui'wang
召唤三界天王,zhao'huan'san'jie'tian'wang
召唤神兵,zhao'huan'shen'bing
召唤石灵,zhao'huan'shi'ling
召唤兽,zhao'huan'shou
召唤天兵,zhao'huan'tian'bing
召唤天将,zhao'huan'tian'jiang
召唤天仙,zhao'huan'tian'xian
召唤铁灵,zhao'huan'tie'ling
召唤土灵,zhao'huan'tu'ling
召唤系,zhao'huan'xi
召唤焰魔君主,zhao'huan'yan'mo'jun'zhu
召唤幽魂,zhao'huan'you'hun
找朋友,zhao'peng'you
沼泽鳄,zhao'ze'e
沼泽湿地,zhao'ze'shi'di
找种子,zhao'zhong'zi
这一次,zhe'yi'ci
真冰球术,zhen'bing'qiu'shu
侦察,zhen'cha
震荡射击,zhen'dang'she'ji
阵法书,zhen'fa'shu
真雷神,zhen'lei'shen
争夺战,zheng'duo'zhan
征途,zheng'tu
只骸骨,zhi'hai'gu
只狐狸,zhi'hu'li
只狂熊,zhi'kuang'xiong
智力竞赛,zhi'li'jing'sai
治疗宠物,zhi'liao'chong'wu
治疗术,zhi'liao'shu
之旅了,zhi'lv'le
纸扇,zhi'shan
炙天刀,zhi'tian'dao
炙天帝甲男,zhi'tian'di'jia'nan
炙天帝甲女,zhi'tian'di'jia'nv
炙天帝铠男,zhi'tian'di'kai'nan
炙天帝铠女,zhi'tian'di'kai'nv
炙天帝衣男,zhi'tian'di'yi'nan
炙天帝衣女,zhi'tian'di'yi'nv
炙天盾,zhi'tian'dun
炙天斧,zhi'tian'fu
炙天弓,zhi'tian'gong
炙天棍,zhi'tian'gun
炙天护腕魔,zhi'tian'hu'wan'mo
炙天护腕物,zhi'tian'hu'wan'wu
炙天戒指魔,zhi'tian'jie'zhi'mo
炙天戒指物,zhi'tian'jie'zhi'wu
炙天盔,zhi'tian'kui
炙天盔魔,zhi'tian'kui'mo
炙天盔物,zhi'tian'kui'wu
炙天扇,zhi'tian'shan
炙天项链魔,zhi'tian'xiang'lian'mo
炙天项链物,zhi'tian'xiang'lian'wu
炙天靴,zhi'tian'xue
炙天靴魔,zhi'tian'xue'mo
炙天靴物,zhi'tian'xue'wu
炙天腰带魔,zhi'tian'yao'dai'mo
炙天腰带物,zhi'tian'yao'dai'wu
炙天杖,zhi'tian'zhang
只野猪,zhi'ye'zhu
只幼狐,zhi'you'hu
蜘蛛,zhi'zhu
蜘蛛精,zhi'zhu'jing
蜘蛛丝,zhi'zhu'si
至尊蚌魔,zhi'zun'bang'mo
至尊蚌魔魔,zhi'zun'bang'mo'mo
至尊刀,zhi'zun'dao
至尊盾,zhi'zun'dun
至尊斧,zhi'zun'fu
至尊弓,zhi'zun'gong
至尊棍,zhi'zun'gun
至尊护腕魔,zhi'zun'hu'wan'mo
至尊护腕物,zhi'zun'hu'wan'wu
至尊戒指魔,zhi'zun'jie'zhi'mo
至尊戒指物,zhi'zun'jie'zhi'wu
至尊盔,zhi'zun'kui
至尊盔魔,zhi'zun'kui'mo
至尊盔物,zhi'zun'kui'wu
至尊扇,zhi'zun'shan
至尊仙甲男,zhi'zun'xian'jia'nan
至尊仙甲女,zhi'zun'xian'jia'nv
至尊仙铠男,zhi'zun'xian'kai'nan
至尊仙铠女,zhi'zun'xian'kai'nv
至尊仙衣男,zhi'zun'xian'yi'nan
至尊仙衣女,zhi'zun'xian'yi'nv
至尊项链魔,zhi'zun'xiang'lian'mo
至尊项链物,zhi'zun'xiang'lian'wu
至尊靴,zhi'zun'xue
至尊靴魔,zhi'zun'xue'mo
至尊靴物,zhi'zun'xue'wu
至尊腰带,zhi'zun'yao'dai
至尊腰带魔,zhi'zun'yao'dai'mo
至尊腰带物,zhi'zun'yao'dai'wu
至尊杖,zhi'zun'zhang
重创,zhong'chuang
重刺,zhong'ci
中毒状态,zhong'du'zhuang'tai
重击率,zhong'ji'lv
中间为,zhong'jian'wei
中立区,zhong'li'qu
重铁铠,zhong'tie'kai
重铁铠男,zhong'tie'kai'nan
重铁铠女,zhong'tie'kai'nv
种植任务,zhong'zhi'ren'wu
周围放,zhou'wei'fang
主动施放,zhu'dong'shi'fang
主动释放技能,zhu'dong'shi'fang'ji'neng
祝福石,zhu'fu'shi
猪精,zhu'jing
竹蜻蜓,zhu'qing'ting
朱雀刀,zhu'que'dao
朱雀帝甲男,zhu'que'di'jia'nan
朱雀帝甲女,zhu'que'di'jia'nv
朱雀帝铠男,zhu'que'di'kai'nan
朱雀帝铠女,zhu'que'di'kai'nv
朱雀帝衣男,zhu'que'di'yi'nan
朱雀帝衣女,zhu'que'di'yi'nv
朱雀盾,zhu'que'dun
朱雀斧,zhu'que'fu
朱雀弓,zhu'que'gong
朱雀棍,zhu'que'gun
朱雀护腕,zhu'que'hu'wan
朱雀护腕魔,zhu'que'hu'wan'mo
朱雀护腕物,zhu'que'hu'wan'wu
朱雀戒指,zhu'que'jie'zhi
朱雀戒指魔,zhu'que'jie'zhi'mo
朱雀戒指物,zhu'que'jie'zhi'wu
朱雀盔,zhu'que'kui
朱雀盔魔,zhu'que'kui'mo
朱雀盔物,zhu'que'kui'wu
朱雀扇,zhu'que'shan
朱雀项链,zhu'que'xiang'lian
朱雀项链魔,zhu'que'xiang'lian'mo
朱雀项链物,zhu'que'xiang'lian'wu
朱雀靴,zhu'que'xue
朱雀靴魔,zhu'que'xue'mo
朱雀靴物,zhu'que'xue'wu
朱雀腰带,zhu'que'yao'dai
朱雀腰带魔,zhu'que'yao'dai'mo
朱雀腰带物,zhu'que'yao'dai'wu
朱雀杖,zhu'que'zhang
侏儒暗哨,zhu'ru'an'shao
侏儒斗士,zhu'ru'dou'shi
侏儒法师,zhu'ru'fa'shi
侏儒法师魔,zhu'ru'fa'shi'mo
侏儒力士,zhu'ru'li'shi
侏儒强盗,zhu'ru'qiang'dao
侏儒投手,zhu'ru'tou'shou
侏儒战士,zhu'ru'zhan'shi
猪腿,zhu'tui
诛仙,zhu'xian
蛛涎丹,zhu'xian'dan
诛仙陷阱,zhu'xian'xian'jing
诛仙状态,zhu'xian'zhuang'tai
抓虫等,zhua'chong'deng
抓虫手套,zhua'chong'shou'tao
转攻为守,zhuan'gong'wei'shou
转守为攻,zhuan'shou'wei'gong
状态技能,zhuang'tai'ji'neng
追风步,zhui'feng'bu
追风箭,zhui'feng'jian
追星箭,zhui'xing'jian
啄木鸟,zhuo'mu'niao
灼热之剑,zhuo're'zhi'jian
灼伤状态,zhuo'shang'zhuang'tai
浊水之舞,zhuo'shui'zhi'wu
紫金麒麟,zi'jin'qi'lin
紫金游龙,zi'jin'you'long
自然,zi'ran
自然肥,zi'ran'fei
自然召唤,zi'ran'zhao'huan
自然之力,zi'ran'zhi'li
紫色,zi'se
自身施放,zi'shen'shi'fang
紫薇刀,zi'wei'dao
紫薇盾,zi'wei'dun
紫薇斧,zi'wei'fu
紫薇弓,zi'wei'gong
紫薇棍,zi'wei'gun
紫薇护腕魔,zi'wei'hu'wan'mo
紫薇护腕物,zi'wei'hu'wan'wu
紫薇戒指魔,zi'wei'jie'zhi'mo
紫薇戒指物,zi'wei'jie'zhi'wu
紫薇盔,zi'wei'kui
紫薇盔魔,zi'wei'kui'mo
紫薇盔物,zi'wei'kui'wu
紫薇扇,zi'wei'shan
紫薇仙甲男,zi'wei'xian'jia'nan
紫薇仙甲女,zi'wei'xian'jia'nv
紫薇仙铠男,zi'wei'xian'kai'nan
紫薇仙铠女,zi'wei'xian'kai'nv
紫薇仙衣男,zi'wei'xian'yi'nan
紫薇仙衣女,zi'wei'xian'yi'nv
紫薇项链魔,zi'wei'xiang'lian'mo
紫薇项链物,zi'wei'xiang'lian'wu
紫薇靴,zi'wei'xue
紫薇靴魔,zi'wei'xue'mo
紫薇靴物,zi'wei'xue'wu
紫薇腰带,zi'wei'yao'dai
紫薇腰带魔,zi'wei'yao'dai'mo
紫薇腰带物,zi'wei'yao'dai'wu
紫薇杖,zi'wei'zhang
紫焰,zi'yan
紫竹护腕,zi'zhu'hu'wan
紫竹护腕物,zi'zhu'hu'wan'wu
紫竹戒指,zi'zhu'jie'zhi
紫竹戒指物,zi'zhu'jie'zhi'wu
紫竹项链,zi'zhu'xiang'lian
紫竹项链物,zi'zhu'xiang'lian'wu
紫竹腰带,zi'zhu'yao'dai
紫竹腰带物,zi'zhu'yao'dai'wu
纵刺,zong'ci
总舵,zong'duo
棕狼,zong'lang
走私者,zou'si'zhe
诅咒,zu'zhou
诅咒炸弹,zu'zhou'zha'dan
最大法力,zui'da'fa'li
最大生命值,zui'da'sheng'ming'zhi
最大血量,zui'da'xue'liang
做任务,zuo'ren'wu
