哀情吉语本难双,ai'qing'ji'yu'ben'nan'shuang
吕奉先射戟辕门,lv'feng'xian'she'ji'yuan'men
履和,lv'he
旅寄,lv'ji
绿纱今又糊在蓬窗上,lv'sha'jin'you'hu'zai'peng'chuang'shang
率生徒数十人转战而来,lv'sheng'tu'shu'shi'ren'zhuan'zhan'er'lai
吕温侯濮阳破曹操,lv'wen'hou'pu'yang'po'cao'cao
律协静条鸣,lv'xie'jing'tiao'ming
吕巡检贪赃闹乌镇,lv'xun'jian'tan'zang'nao'wu'zhen
绿杨夹道护灵旗,lv'yang'jia'dao'hu'ling'qi
吕子明白衣渡江,lv'zi'ming'bai'yi'du'jiang
马超大战葭萌关,ma'chao'da'zhan'jia'meng'guan
马服君单解韩国,ma'fu'jun'dan'jie'han'guo
马革归来成烈死,ma'ge'gui'lai'cheng'lie'si
马积高,ma'ji'gao
马陵道万弩射庞涓,ma'ling'dao'wan'nu'she'pang'juan
麻履鹑衣,ma'lv'chun'yi
马孟起兴兵雪恨,ma'meng'qi'xing'bing'xue'hen
马赛飞独擒咬金,ma'sai'fei'du'qin'yao'jin
马赛飞勘破迷途,ma'sai'fei'kan'po'mi'tu
麻叔谋开河扰百姓,ma'shu'mou'kai'he'rao'bai'xing
马谡拒谏失街亭,ma'su'ju'jian'shi'jie'ting
麻屣鹑衣,ma'xi'chun'yi
卖富贵吴月攀亲,mai'fu'gui'wu'yue'pan'qin
卖文撰字,mai'wen'zhuan'zi
埋香冢飞燕泣残红,mai'xiang'zhong'fei'yan'qi'can'hong
满把椒浆奠楚祠,man'ba'jiao'jiang'dian'chu'ci
满把晴光护玉栏,man'ba'qing'guang'hu'yu'lan
满腔血洒向空林,man'qiang'xue'sa'xiang'kong'lin
漫贪嬉戏思鸿鹄,man'tan'xi'xi'si'hong'hu
瞒消息凤姐设奇谋,man'xiao'xi'feng'jie'she'qi'mou
蔓种无遗,man'zhong'wu'yi
莽赴会楚怀王陷秦,mang'fu'hui'chu'huai'wang'xian'qin
茫茫大士,mang'mang'da'shi
毛蔡,mao'cai
茆椽蓬牖,mao'chuan'peng'you
茂公智退两路兵,mao'gong'zhi'tui'liang'lu'bing
茅焦解衣谏秦王,mao'jiao'jie'yi'jian'qin'wang
毛泽东,mao'ze'dong
没而俎豆,mei'er'zu'dou
玫瑰露引出茯苓霜,mei'gui'lu'yin'chu'fu'ling'shuang
美浓重治,mei'nong'zhong'zhi
眉批,mei'pi
美髯公千里走单骑,mei'ran'gong'qian'li'zou'dan'qi
美髯公误失小衙内,mei'ran'gong'wu'shi'xiao'ya'nei
美髯公智稳插翅虎,mei'ran'gong'zhi'wen'cha'chi'hu
美人计吴宫宠西施,mei'ren'ji'wu'gong'chong'xi'shi
美香菱屈受贪夫棒,mei'xiang'ling'qu'shou'tan'fu'bang
美优伶斩情归水月,mei'you'ling'zhan'qing'gui'shui'yue
没羽箭飞石打英雄,mei'yu'jian'fei'shi'da'ying'xiong
没遮拦追赶及时雨,mei'zhe'lan'zhui'gan'ji'shi'yu
昧真禅雨村家遇旧,mei'zhen'chan'yu'cun'jia'yu'jiu
美中不足好事多魔,mei'zhong'bu'zu'hao'shi'duo'mo
门槛,men'kan
闷来时敛额,men'lai'shi'lian'e
孟邦杰逃灾遇友,meng'bang'jie'tao'zai'yu'you
蒙侧,meng'ce
孟尝君偷过函谷关,meng'chang'jun'tou'guo'han'gu'guan
梦飞虎徐仁荐贤,meng'fei'hu'xu'ren'jian'xian
梦稿本,meng'gao'ben
梦魂多个帐儿纱,meng'hun'duo'ge'zhang'er'sha
梦觉主人,meng'jiao'zhu'ren
蒙戚双,meng'qi'shuang
孟玉楼爱嫁李衙内,meng'yu'lou'ai'jia'li'ya'nei
孟玉楼周贫磨镜,meng'yu'lou'zhou'pin'mo'jing
猛张飞智取瓦口隘,meng'zhang'fei'zhi'qu'wa'kou'ai
盟召陵礼款楚大夫,meng'zhao'ling'li'kuan'chu'dai'fu
孟侏儒托优悟主,meng'zhu'ru'tuo'you'wu'zhu
弥勒缚妖魔,mi'le'fu'yao'mo
蜜青果,mi'qing'guo
秘苑争看旧养花,mi'yuan'zheng'kan'jiu'yang'hua
祢正平裸衣骂贼,mi'zheng'ping'luo'yi'ma'zei
面禀,mian'bing
面辞,mian'ci
面阔口方,mian'kuo'kou'fang
勉为苍生留十稔,mian'wei'cang'sheng'liu'shi'ren
苗傅衔怨杀王渊,miao'fu'xian'yuan'sha'wang'yuan
渺渺真人,miao'miao'zhen'ren
苗青贪财害主,miao'qing'tan'cai'hai'zhu
妙算如神,miao'suan'ru'shen
庙堂倚之为长城,miao'tang'yi'zhi'wei'chang'cheng
苗王洞岳霖入赘,miao'wang'dong'yue'lin'ru'zhui
苗员外一诺送歌童,miao'yuan'wai'yi'nuo'song'ge'tong
灭夫差越王称霸,mie'fu'chai'yue'wang'cheng'ba
闽而起,min'er'qi
敏探春兴利除宿弊,min'tan'chun'xing'li'chu'su'bi
民物命何以立,min'wu'ming'he'yi'li
闽浙楼船,min'zhe'lou'chuan
明道先生书像赞,ming'dao'xian'sheng'shu'xiang'zan
名节事极大,ming'jie'shi'ji'da
铭刻天山石,ming'ke'tian'shan'shi
明日相看笑不休,ming'ri'xiang'kan'xiao'bu'xiu
名山,ming'shan
名山汲古,ming'shan'ji'gu
名山坛席,ming'shan'tan'xi
明通鉴,ming'tong'jian
明邪正曹宁弑父,ming'xie'zheng'cao'ning'shi'fu
明修栈道暗渡陈仓,ming'xiu'zhan'dao'an'du'chen'cang
明漪绝底,ming'yi'jue'di
名由,ming'you
命运,ming'yun
名注齐天意未宁,ming'zhu'qi'tian'yi'wei'ning
缪爱,miu'ai
莫把聪明付蠹虫,mo'ba'cong'ming'fu'du'chong
莫副初衷,mo'fu'chu'zhong
莫苦悔已往愆尤,mo'ku'hui'yi'wang'qian'you
茉莉粉替去蔷薇硝,mo'li'fen'ti'qu'qiang'wei'xiao
莫漫观四海潮流千秋讲院,mo'man'guan'si'hai'chao'liu'qian'qiu'jiang'yuan
魔弄寒风飘大雪,mo'nong'han'feng'piao'da'xue
魔王还归大道真,mo'wang'hai'gui'da'dao'zhen
魔王巧算困心猿,mo'wang'qiao'suan'kun'xin'yuan
莫问金姻与玉缘,mo'wen'jin'yin'yu'yu'yuan
莫问收获,mo'wen'shou'huo
殁犹思破敌,mo'you'si'po'di
莫喻圣人,mo'yu'sheng'ren
魔主计吞禅,mo'zhu'ji'tun'chan
谋东宫晋王纳贿,mou'dong'gong'jin'wang'na'hui
谋董贼孟德献刀,mou'dong'zei'meng'de'xian'dao
谋坟地阴险产逆,mou'fen'di'yin'xian'chan'ni
谋国之忠,mou'guo'zhi'zhong
牟驼冈宗泽踹营,mou'tuo'gang'zong'ze'chuai'ying
谋虚逐妄,mou'xu'zhu'wang
木叉奉法收悟净,mu'cha'feng'fa'shou'wu'jing
牡丹亭艳曲警芳心,mu'dan'ting'yan'qu'jing'fang'xin
幕府封疆,mu'fu'feng'jiang
穆公一平晋乱,mu'gong'yi'ping'jin'luan
沐皇恩贾家延世泽,mu'huang'en'jia'jia'yan'shi'ze
穆姬登台要大赦,mu'ji'deng'tai'yao'da'she
目极天高海月深,mu'ji'tian'gao'hai'yue'shen
木母被魔擒,mu'mu'bei'mo'qin
木母同降怪体真,mu'mu'tong'jiang'guai'ti'zhen
木母助威征怪物,mu'mu'zhu'wei'zheng'guai'wu
木仙庵三藏谈诗,mu'xian'an'san'zang'tan'shi
慕雅女雅集苦吟诗,mu'ya'nv'ya'ji'ku'yin'shi
母夜叉孟州道卖人肉,mu'ye'cha'meng'zhou'dao'mai'ren'rou
睦州城箭射邓元觉,mu'zhou'cheng'jian'she'deng'yuan'jue
那堪万里长征,na'kan'wan'li'chang'zheng
纳蒯瞆子路结缨,na'kuai'wei'zi'lu'jie'ying
纳卫衎宁喜擅政,na'wei'kan'ning'xi'shan'zheng
纳于大麓,na'yu'da'lu
那知自己归来丧,na'zhi'zi'ji'gui'lai'sang
奈谗间阴行,nai'chan'jian'yin'xing
南北宋,nan'bei'song
南极寿星,nan'ji'shou'xing
南陵母养,nan'ling'mu'yang
南蛮王五次遭擒,nan'man'wang'wu'ci'zao'qin
难灭伽持圆大觉,nan'mie'jia'chi'yuan'da'jiao
南阳城英雄却敌,nan'yang'cheng'ying'xiong'que'di
难张温秦宓逞天辩,nan'zhang'wen'qin'mi'cheng'tian'bian
囊瓦惧谤诛无极,nang'wa'ju'bang'zhu'wu'ji
闹茶坊郓哥义愤,nao'cha'fang'yun'ge'yi'fen
闹闺阃薛宝钗吞声,nao'gui'kun'xue'bao'chai'tun'sheng
内攘外安,nei'rang'wai'an
霓裳夜色团瑶殿,ni'chang'ye'se'tuan'yao'dian
逆流而上,ni'liu'er'shang
匿玉玺孙坚背约,ni'yu'xi'sun'jian'bei'yue
廿年交固,nian'nian'jiao'gu
廿年遗爱岘山青,nian'nian'yi'ai'xian'shan'qing
廿四史,nian'si'shi
廿余年将相兼资,nian'yu'nian'jiang'xiang'jian'zi
廿载家山印心石在,nian'zai'jia'shan'yin'xin'shi'zai
廿载山林传旧学,nian'zai'shan'lin'chuan'jiu'xue
念咒书符,nian'zhou'shu'fu
宁国府除夕祭宗祠,ning'guo'fu'chu'xi'ji'zong'ci
宁国府骨肉病灾祲,ning'guo'fu'gu'rou'bing'zai'jin
宁海军宋江吊孝,ning'hai'jun'song'jiang'diao'xiao
牛皋酒醉破番兵,niu'gao'jiu'zui'po'fan'bing
牛皋气死完颜兀术,niu'gao'qi'si'wan'yan'wu'shu
牛公子直言触父,niu'gong'zi'zhi'yan'chu'fu
牛魔王罢战赴华筵,niu'mo'wang'ba'zhan'fu'hua'yan
牛通智取尽南关,niu'tong'zhi'qu'jin'nan'guan
牛统制巡湖被擒,niu'tong'zhi'xun'hu'bei'qin
牛头山张宪救主,niu'tou'shan'zhang'xian'jiu'zhu
农九家,nong'jiu'jia
弄私情戏赠一枝桃,nong'si'qing'xi'zeng'yi'zhi'tao
弄小巧用借剑杀人,nong'xiao'qiao'yong'jie'jian'sha'ren
浓荫公所茇,nong'yin'gong'suo'ba
弄玉吹箫双跨凤,nong'yu'chui'xiao'shuang'kua'feng
暖香坞雅制春灯谜,nuan'xiang'wu'ya'zhi'chun'deng'mi
懦小姐不问累金凤,nuo'xiao'jie'bu'wen'lei'jin'feng
欧阳狱中施巧计,ou'yang'yu'zhong'shi'qiao'ji
瓯浙越梅循,ou'zhe'yue'mei'xun
帕首靴刀,pa'shou'xue'dao
怕听琅琅临绝之言,pa'ting'lang'lang'lin'jue'zhi'yan
牌楼,pai'lou
潘道士法遣黄巾士,pan'dao'shi'fa'qian'huang'jin'shi
潘金莲不愤忆吹箫,pan'jin'lian'bu'fen'yi'chui'xiao
潘金莲打狗伤人,pan'jin'lian'da'gou'shang'ren
潘金莲花园调爱婿,pan'jin'lian'hua'yuan'tiao'ai'xu
潘金莲怀妒惊儿,pan'jin'lian'huai'du'jing'er
潘金莲激打孙雪娥,pan'jin'lian'ji'da'sun'xue'e
潘金莲惊散幽欢,pan'jin'lian'jing'san'you'huan
潘金莲抠打如意儿,pan'jin'lian'kou'da'ru'yi'er
潘金莲兰汤邀午战,pan'jin'lian'lan'tang'yao'wu'zhan
潘金莲热心冷面,pan'jin'lian're'xin'leng'mian
潘金莲售色赴东床,pan'jin'lian'shou'se'fu'dong'chuang
潘金莲私仆受辱,pan'jin'lian'si'pu'shou'ru
潘金莲香腮偎玉,pan'jin'lian'xiang'sai'wei'yu
潘金莲雪夜弄琵琶,pan'jin'lian'xue'ye'nong'pi'pa
潘金莲醉闹葡萄架,pan'jin'lian'zui'nao'pu'tao'jia
潘力生,pan'li'sheng
盼情郎佳人占鬼卦,pan'qing'lang'jia'ren'zhan'gui'gua
盘丝洞七情迷本,pan'si'dong'qi'qing'mi'ben
判冤决狱平儿行权,pan'yuan'jue'yu'ping'er'xing'quan
庞大姐埋尸托张胜,pang'da'jie'mai'shi'tuo'zhang'sheng
庞涓兵败桂陵,pang'juan'bing'bai'gui'ling
庞令明抬榇决死战,pang'ling'ming'tai'chen'jue'si'zhan
庞士元议取西蜀,pang'shi'yuan'yi'qu'xi'shu
庞统巧授连环计,pang'tong'qiao'shou'lian'huan'ji
抛彩球雄信成婚,pao'cai'qiu'xiong'xin'cheng'hun
裴元庆怒投瓦岗寨,pei'yuan'qing'nu'tou'wa'gang'zhai
喷饭供酒,pen'fan'gong'jiu
蓬莱鸟,peng'lai'niao
霹雳火夜走瓦砾场,pi'li'huo'ye'zou'wa'li'chang
劈破旁门见月明,pi'po'pang'men'jian'yue'ming
辟土有德谓之襄,pi'tu'you'de'wei'zhi'xiang
丕显,pi'xian
丕显真儒之教化,pi'xian'zhen'ru'zhi'jiao'hua
貔貅十万夜观书,pi'xiu'shi'wan'ye'guan'shu
偏是栖奏甘泉逢永诀,pian'shi'qi'zou'gan'quan'feng'yong'jue
贫病交攻,pin'bing'jiao'gong
频触悲怀,pin'chu'bei'huai
频叨九重芝诰,pin'dao'jiu'chong'zhi'gao
拼命三火烧祝家店,pin'ming'san'huo'shao'zhu'jia'dian
频年笳鼓入新诗,pin'nian'jia'gu'ru'xin'shi
频添一段愁,pin'tian'yi'duan'chou
评点派,ping'dian'pai
评点者,ping'dian'zhe
凭吊松楸魂魄,ping'diao'song'qiu'hun'po
平顶山功曹传信,ping'ding'shan'gong'cao'chuan'xin
评女传巧姐慕贤良,ping'nv'chuan'qiao'jie'mu'xian'liang
平生自许武乡侯,ping'sheng'zi'xu'wu'xiang'hou
平粤寇,ping'yue'kou
破兵船岳飞定计,po'bing'chuan'yue'fei'ding'ji
破曹兵姜维诈献书,po'cao'bing'jiang'wei'zha'xian'shu
破曹丕徐盛用火攻,po'cao'pi'xu'sheng'yong'huo'gong
破陈国李渊杀美,po'chen'guo'li'yuan'sha'mei
破关兵三英战吕布,po'guan'bing'san'ying'zhan'lv'bu
破好事香菱结深恨,po'hao'shi'xiang'ling'jie'shen'hen
破潞安陆节度尽忠,po'lu'an'lu'jie'du'jin'zhong
鄱阳湖入江之口,po'yang'hu'ru'jiang'zhi'kou
破阵图杨林丧师,po'zhen'tu'yang'lin'sang'shi
普风师宝珠打宋将,pu'feng'shi'bao'zhu'da'song'jiang
普静师幻度孝哥儿,pu'jing'shi'huan'du'xiao'ge'er
扑天雕双修生死书,pu'tian'diao'shuang'xiu'sheng'si'shu
普天皆有春秋,pu'tian'jie'you'chun'qiu
七宝镇牛通闹酒坊,qi'bao'zhen'niu'tong'nao'jiu'fang
气备四时,qi'bei'si'shi
七尺从天乞活埋,qi'chi'cong'tian'qi'huo'mai
七尺躯委残荒草,qi'chi'qu'wei'can'huang'cao
其出山非有荐牍,qi'chu'shan'fei'you'jian'du
启发,qi'fa
启发世人诱导百姓,qi'fa'shi'ren'you'dao'bai'xing
气骨不凡,qi'gu'bu'fan
齐侯送文姜婚鲁,qi'hou'song'wen'jiang'hun'lu
齐桓公兵定孤竹,qi'huan'gong'bing'ding'gu'zhu
齐桓公兴兵伐楚,qi'huan'gong'xing'bing'fa'chu
齐皇子独对委蛇,qi'huang'zi'du'dui'wei'yi
戚回前,qi'hui'qian
齐姜氏乘醉遣夫,qi'jiang'shi'cheng'zui'qian'fu
齐哭三山,qi'ku'san'shan
栖会稽文种通宰嚭,qi'kuai'ji'wen'zhong'tong'zai'pi
戚蓼生,qi'liao'sheng
麒麟村小英雄结义,qi'lin'cun'xiao'ying'xiong'jie'yi
麒麟关莽将捐躯,qi'lin'guan'mang'jiang'juan'qu
麒麟冢畔与招魂,qi'lin'zhong'pan'yu'zhao'hun
其命维新,qi'ming'wei'xin
其乞身仍许封侯,qi'qi'shen'reng'xu'feng'hou
妻妾玩赏芙蓉亭,qi'qie'wan'shang'fu'rong'ting
妻妾戏笑卜龟儿,qi'qie'xi'xiao'bu'gui'er
泣秦庭申包胥借兵,qi'qin'ting'shen'bao'xu'jie'bing
起卿沉疴续红丝,qi'qing'chen'ke'xu'hong'si
其入阁不由甲科,qi'ru'ge'bu'you'jia'ke
气慑邻封,qi'she'lin'feng
戚氏凄凉一曲终,qi'shi'qi'liang'yi'qu'zhong
岂数中兴有召虎,qi'shu'zhong'xing'you'zhao'hu
戚统制暗箭报仇,qi'tong'zhi'an'jian'bao'chou
齐王纠兵伐桀宋,qi'wang'jiu'bing'fa'jie'song
齐襄公出猎遇鬼,qi'xiang'gong'chu'lie'yu'gui
七星坛诸葛祭风,qi'xing'tan'zhu'ge'ji'feng
其秀气必钟英哲,qi'xiu'qi'bi'zhong'ying'zhe
戚序本,qi'xu'ben
气压元龙百尺楼,qi'ya'yuan'long'bai'chi'lou
齐懿公竹池遇变,qi'yi'gong'zhu'chi'yu'bian
欺幼主刁奴蓄险心,qi'you'zhu'diao'nu'xu'xian'xin
奇忠钟塞外,qi'zhong'zhong'sai'wai
杞梓千程贡上都,qi'zi'qian'cheng'gong'shang'dou
气作祝融峰上云,qi'zuo'zhu'rong'feng'shang'yun
恰好修文偃武,qia'hao'xiu'wen'yan'wu
恰同潞国勋名,qia'tong'lu'guo'xun'ming
千百年楚材导源于此,qian'bai'nian'chu'cai'dao'yuan'yu'ci
前出师表,qian'chu'shi'biao
千皴万染,qian'cun'wan'ran
迁都临安郡岳飞归里,qian'du'lin'an'jun'yue'fei'gui'li
千古元精耿耿,qian'gu'yuan'jing'geng'geng
千古证心期,qian'gu'zheng'xin'qi
千金难报德,qian'jin'nan'bao'de
千年复见黄河清,qian'nian'fu'jian'huang'he'qing
千年学府传于古,qian'nian'xue'fu'chuan'yu'gu
虔婆醉打唐牛儿,qian'po'zui'da'tang'niu'er
千秋拜丞相祠堂,qian'qiu'bai'cheng'xiang'ci'tang
千秋怀义烈,qian'qiu'huai'yi'lie
千秋俎豆,qian'qiu'zu'dou
茜纱窗真情揆痴理,qian'sha'chuang'zhen'qing'kui'chi'li
牵五挂四,qian'wu'gua'si
前有朱张讲坛,qian'you'zhu'zhang'jiang'tan
千载此楼,qian'zai'ci'lou
强采灯下一回嬉,qiang'cai'deng'xia'yi'hui'xi
羌笛休怨,qiang'di'xiu'yuan
强欢笑蘅芜庆生辰,qiang'huan'xiao'heng'wu'qing'sheng'chen
羌塞之低,qiang'sai'zhi'di
乔道清回风烧贼寇,qiao'dao'qing'hui'feng'shao'zei'kou
乔道清术败宋兵,qiao'dao'qing'shu'bai'song'bing
乔道清兴雾取城,qiao'dao'qing'xing'wu'qu'cheng
乔公山奉命招降,qiao'gong'shan'feng'ming'zhao'xiang
悄来阶下慢逡巡,qiao'lai'jie'xia'man'qun'xun
俏潘娘帘下勾情,qiao'pan'niang'lian'xia'gou'qing
俏平儿情掩虾须镯,qiao'ping'er'qing'yan'xia'xu'zhuo
俏平儿软语救贾琏,qiao'ping'er'ruan'yu'jiu'jia'lian
悄向花阴寻侍女,qiao'xiang'hua'yin'xun'shi'nv
俏丫鬟抱屈夭风流,qiao'ya'huan'bao'qu'yao'feng'liu
且于门杞梁死战,qie'yu'men'qi'liang'si'zhan
秦丞相嚼舌归阴府,qin'cheng'xiang'jiao'she'gui'yin'fu
勤传教化,qin'chuan'jiao'hua
亲睹亲闻,qin'du'qin'wen
擒傅瑕厉公复国,qin'fu'xia'li'gong'fu'guo
勤耕读,qin'geng'du
秦怀嬴重婚公子,qin'huai'ying'chong'hun'gong'zi
秦淮月暗,qin'huai'yue'an
秦晋大战龙门山,qin'jin'da'zhan'long'men'shan
秦鲸卿得趣馒头庵,qin'jing'qing'de'qu'man'tou'an
秦鲸卿夭逝黄泉路,qin'jing'qing'yao'shi'huang'quan'lu
秦可卿死封龙禁尉,qin'ke'qing'si'feng'long'jin'wei
秦穆公殽谷封尸,qin'mu'gong'yao'gu'feng'shi
秦穆公再平晋乱,qin'mu'gong'zai'ping'jin'luan
擒叛臣虎将勤王,qin'pan'chen'hu'jiang'qin'wang
秦琼建祠报雄信,qin'qiong'jian'ci'bao'xiong'xin
秦叔宝劈板烧批,qin'shu'bao'pi'ban'shao'pi
秦叔宝穷途卖骏马,qin'shu'bao'qiong'tu'mai'jun'ma
秦叔宝走马取金,qin'shu'bao'zou'ma'qu'jin
琴童儿藏壶构衅,qin'tong'er'cang'hu'gou'xin
琴童潜听燕莺欢,qin'tong'qian'ting'yan'ying'huan
秦王灭周迁九鼎,qin'wang'mie'zhou'qian'jiu'ding
勤王室马腾举义,qin'wang'shi'ma'teng'ju'yi
秦王夜探白璧关,qin'wang'ye'tan'bai'bi'guan
秦王遇赦访将士,qin'wang'yu'she'fang'jiang'shi
秦文公郊天应梦,qin'wen'gong'jiao'tian'ying'meng
勤学好问谓之文,qin'xue'hao'wen'wei'zhi'wen
芹意,qin'yi
芹脂,qin'zhi
情榜,qing'bang
清抄过录,qing'chao'guo'lu
青蛾红粉归何处,qing'e'hong'fen'gui'he'chu
情哥哥偏寻根究底,qing'ge'ge'pian'xun'gen'jiu'di
情根,qing'gen
青埂峰,qing'geng'feng
情乱性从因爱欲,qing'luan'xing'cong'yin'ai'yu
青面兽北京斗武,qing'mian'shou'bei'jing'dou'wu
青面兽双夺宝珠寺,qing'mian'shou'shuang'duo'bao'zhu'si
清明节寡妇上新坟,qing'ming'jie'gua'fu'shang'xin'fen
情切切良宵花解语,qing'qie'qie'liang'xiao'hua'jie'yu
情僧录,qing'seng'lu
清十二帝疑案,qing'shi'er'di'yi'an
庆寿辰罗单相争,qing'shou'chen'luo'dan'xiang'zheng
庆寿辰宁府摆家宴,qing'shou'chen'ning'fu'bai'jia'yan
擎天一柱,qing'tian'yi'zhu
情小妹耻情归地府,qing'xiao'mei'chi'qing'gui'di'fu
请巡按屈体求荣,qing'xun'an'qu'ti'qiu'rong
青眼高歌,qing'yan'gao'ge
情因旧恨生灾毒,qing'yin'jiu'hen'sheng'zai'du
情中情因情感妹妹,qing'zhong'qing'yin'qing'gan'mei'mei
穷百里饲牛拜相,qiong'bai'li'si'niu'bai'xiang
琼英处女做先锋,qiong'ying'chu'nv'zuo'xian'feng
穷原太极示后来人,qiong'yuan'tai'ji'shi'hou'lai'ren
秋菊含恨泄幽情,qiu'ju'han'hen'xie'you'qing
秋色冷潇湘烟雨,qiu'se'leng'xiao'xiang'yan'yu
秋爽斋偶结海棠社,qiu'shuang'zhai'ou'jie'hai'tang'she
觑藏春潘氏潜踪,qu'cang'chun'pan'shi'qian'zong
取长城伯约鏖兵,qu'chang'cheng'bo'yue'ao'bing
去浮华,qu'fu'hua
去何果,qu'he'guo
驱火牛田单破燕,qu'huo'niu'tian'dan'po'yan
取金元庆扬威,qu'jin'yuan'qing'yang'wei
驱巨兽六破蛮兵,qu'ju'shou'liu'po'man'bing
曲裾素纱褝衣,qu'ju'su'sha'dan'yi
取人为善,qu'ren'wei'shan
取日出光明炎盛之意,qu'ri'chu'guang'ming'yan'sheng'zhi'yi
曲沃城栾盈灭族,qu'wo'cheng'luan'ying'mie'zu
娶夏姬巫臣逃晋,qu'xia'ji'wu'chen'tao'jin
取醉翁之意,qu'zui'weng'zhi'yi
犬戎主大闹镐京,quan'rong'zhu'da'nao'hao'jing
泉似文澜汩汩来,quan'si'wen'lan'gu'gu'lai
泉自源头冷起,quan'zi'yuan'tou'leng'qi
却也不难,que'ye'bu'nan
裙钗,qun'chai
群恩母养,qun'en'mu'yang
群公子大闹朝堂,qun'gong'zi'da'nao'chao'tang
群魔欺本性,qun'mo'qi'ben'xing
群圣除邪获宝贝,qun'sheng'chu'xie'huo'bao'bei
群彦所归,qun'yan'suo'gui
群英会蒋干中计,qun'ying'hui'jiang'gan'zhong'ji
然实地考察未见,ran'shi'di'kao'cha'wei'jian
热血化红磷,re'xue'hua'hong'lin
人间哪有空闲的光阴,ren'jian'na'you'kong'xian'de'guang'yin
人间随处有乘除,ren'jian'sui'chu'you'cheng'chu
人间万姓仰头看,ren'jian'wan'xing'yang'tou'kan
忍见武侯遗垒,ren'jian'wu'hou'yi'lei
忍看箕尾吐光芒,ren'kan'ji'wei'tu'guang'mang
认灵旗仿佛,ren'ling'qi'fang'fu
人面纹方鼎,ren'mian'wen'fang'ding
仁清巷,ren'qing'xiang
人生如寄耳,ren'sheng'ru'ji'er
人似澧兰沅芷,ren'si'li'lan'yuan'zhi
人亡物在公子填词,ren'wang'wu'zai'gong'zi'tian'ci
人文叠超后先,ren'wen'die'chao'hou'xian
人物御龙帛画,ren'wu'yu'long'bo'hua
认兄弟张用献关,ren'xiong'di'zhang'yong'xian'guan
任医官垂帐诊瓶儿,ren'yi'guan'chui'zhang'zhen'ping'er
人因道立,ren'yin'dao'li
任浊浪纵横,ren'zhuo'lang'zong'heng
日暮乡关何处是,ri'mu'xiang'guan'he'chu'shi
荣国府归省庆元宵,rong'guo'fu'gui'xing'qing'yuan'xiao
荣国府元宵开夜宴,rong'guo'fu'yuan'xiao'kai'ye'yan
榕垣还作故乡看,rong'yuan'hai'zuo'gu'xiang'kan
如不可得,ru'bu'ke'de
如夫人,ru'fu'ren
如公皆不朽,ru'gong'jie'bu'xiu
如公有几,ru'gong'you'ji
如何两鬓又成霜,ru'he'liang'bin'you'cheng'shuang
入户愁惊座上人,ru'hu'chou'jing'zuo'shang'ren
儒林道学,ru'lin'dao'xue
辱亲女愚妾争闲气,ru'qin'nv'yu'qie'zheng'xian'qi
儒生怀伟略,ru'sheng'huai'wei'lue
入世皆幻,ru'shi'jie'huan
入天牢敬德施威,ru'tian'lao'jing'de'shi'wei
入西川二士争功,ru'xi'chuan'er'shi'zheng'gong
如意儿茎露独尝,ru'yi'er'jing'lu'du'chang
入云龙兵围百谷岭,ru'yun'long'bing'wei'bai'gu'ling
入云龙关法破高廉,ru'yun'long'guan'fa'po'gao'lian
阮良水底擒兀术,ruan'liang'shui'di'qin'wu'shu
瑞日祥云,rui'ri'xiang'yun
弱楚材一个,ruo'chu'cai'yi'ge
若其夭放,ruo'qi'yao'fang
若有一个臣,ruo'you'yi'ge'chen
洒家店雪娥为娼,sa'jia'dian'xue'e'wei'chang
卅年作客,sa'nian'zuo'ke
赛举鼎秦武王绝蒍,sai'ju'ding'qin'wu'wang'jue'hua
塞霜边月,sai'shuang'bian'yue
塞云边月,sai'yun'bian'yue
三趁黄槐,san'chen'huang'huai
三尺玉罗为手帕,san'chi'yu'luo'wei'shou'pa
散花寺神签惊异兆,san'hua'si'shen'qian'jing'yi'zhao
散家财陈氏买齐国,san'jia'cai'chen'shi'mai'qi'guo
三将军祠,san'jiang'jun'ci
三江口曹操折兵,san'jiang'kou'cao'cao'zhe'bing
三江口周瑜纵火,san'jiang'kou'zhou'yu'zong'huo
三杰围攻无敌将,san'jie'wei'gong'wu'di'jiang
三年故主世间生,san'nian'gu'zhu'shi'jian'sheng
三清观大圣留名,san'qing'guan'da'sheng'liu'ming
三三行满道归根,san'san'xing'man'dao'gui'gen
三僧大战青龙山,san'seng'da'zhan'qing'long'shan
三山聚义打青州,san'shan'ju'yi'da'qing'zhou
散生日敬济拜冤家,san'sheng'ri'jing'ji'bai'yuan'jia
三生石,san'sheng'shi
三吴颂遗爱,san'wu'song'yi'ai
三湘弟子遍天下,san'xiang'di'zi'bian'tian'xia
三湘隽士讲研地,san'xiang'juan'shi'jiang'yan'di
散余资贾母明大义,san'yu'zi'jia'mu'ming'da'yi
三藏不忘本,san'zang'bu'wang'ben
三藏有灾沉水宅,san'zang'you'zai'chen'shui'zhai
扫群凶以复恢一统,sao'qun'xiong'yi'fu'hui'yi'tong
色空空色两无干,se'kong'kong'se'liang'wu'gan
色邪淫戏唐三藏,se'xie'yin'xi'tang'san'zang
僧去曾留,seng'qu'ceng'liu
僧思拜佛履层冰,seng'si'bai'fo'lv'ceng'bing
傻帮闲趋奉闹华筵,sha'bang'xian'qu'feng'nao'hua'yan
