愛心信心決心,ai'xin'xin'xin'jue'xin
庫存管理組,ku'cun'guan'li'qu
跨產品處設備開發,kua'chan'pin'chu'she'bei'kai'bo
快遞作業組,kuai'di'zuo'ye'qu
快速爬坡大量生產,kuai'su'pa'po'da'liang'sheng'chan
框架全檢,kuang'jia'quan'jian
拉絲,la'si
拉絲課,la'si'ke
拉絲組,la'si'qu
拉丝线,la'si'xian
拉絲線,la'si'xian
來料檢驗組,lai'liao'jian'yan'qu
來料全檢,lai'liao'quan'jian
藍圖尺寸規格,lan'tu'chi'cun'gui'ge
廊坊,lang'fang
廊坊採購課,lang'fang'cai'gou'ke
廊坊廠區,lang'fang'chang'ou
廊坊廠區管理中心,lang'fang'chang'ou'guan'li'zhong'xin
廊坊機構產品處,lang'fang'ji'gou'chan'pin'chu
廊坊檢測處,lang'fang'jian'ce'chu
廊坊金屬產品經營管理課,lang'fang'jin'shu'chan'pin'jing'ying'guan'li'ke
廊坊經營審計部,lang'fang'jing'ying'shen'ji'bu
廊坊商務辦,lang'fang'shang'wu'ban
廊坊塑涂化採購部,lang'fang'su'tu'hua'cai'gou'bu
廊坊物流運輸作業組,lang'fang'wu'liu'yun'shu'zuo'ye'qu
廊坊新干班,lang'fang'xin'gan'ban
廊坊員工福利中心,lang'fang'yuan'gong'fu'li'zhong'xin
廊坊周邊經管部,lang'fang'zhou'bian'jing'guan'bu
勞務工,lao'wu'gong
鐳雕,lei'diao
鐳雕課,lei'diao'ke
鐳雕組,lei'diao'qu
鐳雕全檢組,lei'diao'quan'jian'qu
鐳雕生產,lei'diao'sheng'chan
鐳雕生產課,lei'diao'sheng'chan'ke
鐳雕生技組,lei'diao'sheng'ji'qu
鐳雕線,lei'diao'xian
鐳焊,lei'han
鐳焊課,lei'han'ke
鐳加課,lei'jia'ke
鐳射,lei'she
鐳射焊接品管組,lei'she'han'jie'pin'guan'qu
鐳射品管組,lei'she'pin'guan'qu
鐳射生產課,lei'she'sheng'chan'ke
鐳射生技,lei'she'sheng'ji
鐳鑽雕,lei'zuan'diao
镭钻雕二线,lei'zuan'diao'er'xian
鐳鑽雕品管組,lei'zuan'diao'pin'guan'qu
鐳鑽雕組,lei'zuan'diao'qu
镭钻雕一线,lei'zuan'diao'yi'xian
冷暖通組,leng'nuan'tong'qu
禮賓課,li'bin'ke
利潤中心,li'run'zhong'xin
理新產品開發品質工程課,li'xin'chan'pin'kai'bo'pin'zhi'gong'cheng'ke
离异,li'yi
離職,li'zhi
离職類型,li'zhi'lei'xing
离職原因,li'zhi'yuan'yin
聯合生管部,lian'he'sheng'guan'bu
連線,lian'xian
連線制造廠,lian'xian'zhi'zao'chang
連續曠工三天,lian'xu'kuang'gong'san'tian
量測,liang'ce
量測技朮組,liang'ce'ji'shu'qu
量測組,liang'ce'qu
量產採購組,liang'chan'cai'gou'qu
量試,liang'shi
量试,liang'shi
量試管制組,liang'shi'guan'zhi'qu
量試課,liang'shi'ke
量試企劃課,liang'shi'qi'hua'ke
量試組,liang'shi'qu
量試生產課,liang'shi'sheng'chan'ke
量試生管組,liang'shi'sheng'guan'qu
量試物控採購組,liang'shi'wu'kong'cai'gou'qu
量試物流組,liang'shi'wu'liu'qu
量試線,liang'shi'xian
量試制程,liang'shi'zhi'cheng
量試執行組,liang'shi'zhi'xing'qu
量試作業課組裝作業,liang'shi'zuo'ye'ke'qu'zhuang'zuo'ye
量試作業課生技組,liang'shi'zuo'ye'ke'sheng'ji'qu
量制程組,liang'zhi'cheng'qu
量治具管理課,liang'zhi'ju'guan'li'ke
量治具管理組,liang'zhi'ju'guan'li'qu
料號數量時間地點單價,liao'hao'shu'liang'shi'jian'di'dian'chan'jia
獵龍,lie'long
临时居民身份证,lin'shi'ju'min'shen'fen'zheng
領班,ling'ban
領帶班,ling'dai'ban
零件工程,ling'jian'gong'cheng
零件工程部,ling'jian'gong'cheng'bu
零件工程課,ling'jian'gong'cheng'ke
零件工程組,ling'jian'gong'cheng'qu
零件加工,ling'jian'jia'gong
零件加工管理服務組,ling'jian'jia'gong'guan'li'fu'wu'qu
零件加工課,ling'jian'jia'gong'ke
零件開發,ling'jian'kai'bo
零件開發管理服務組,ling'jian'kai'bo'guan'li'fu'wu'qu
零件開發課,ling'jian'kai'bo'ke
零件開發品質工程課,ling'jian'kai'bo'pin'zhi'gong'cheng'ke
零組件支援組,ling'qu'jian'zhi'yuan'qu
零星工程管控組,ling'xing'gong'cheng'guan'kong'qu
零星工程組,ling'xing'gong'cheng'qu
流產假,liu'chan'jia
流程標準化,liu'cheng'biao'zhun'hua
流程管理與稽核課,liu'cheng'guan'li'yu'ji'he'ke
流程合理化,liu'cheng'he'li'hua
流程加表單,liu'cheng'jia'biao'chan
流程簡單化,liu'cheng'jian'chan'hua
流程與績效管理部,liu'cheng'yu'ji'xiao'guan'li'bu
流程咨詢課,liu'cheng'zi'xun'ke
陸干,liu'gan
流轉稅組,liu'zhuai'shui'qu
六组,liu'zu
龍華,long'hua
龍華廠區,long'hua'chang'ou
龍華工程部,long'hua'gong'cheng'bu
龍華工務部,long'hua'gong'wu'bu
龍華供應鏈,long'hua'gong'ying'lian
龍華街道辦,long'hua'jie'dao'ban
龍華金屬產品經營管理部,long'hua'jin'shu'chan'pin'jing'ying'guan'li'bu
龍華軟體測試部,long'hua'ruan'ti'ce'shi'bu
龍華新干班,long'hua'xin'gan'ban
龍華周邊經管部,long'hua'zhou'bian'jing'guan'bu
龍華專案,long'hua'zhuan'an
龍華專案組,long'hua'zhuan'an'qu
龍華總部,long'hua'zong'bu
綠化循環部,lu'hua'xun'huan'bu
裸機包裝班,luo'ji'bao'zhuang'ban
毛邊挑修作業員,mao'bian'tiao'xiu'zuo'ye'yuan
毛邊修整作業員,mao'bian'xiu'zheng'zuo'ye'yuan
鉚合生產,mao'he'sheng'chan
貿易作業,mao'yi'zuo'ye
美干,mei'gan
美國行銷開發課,mei'guo'xing'xiao'kai'bo'ke
鎂合金電鍍課,mei'he'jin'dian'du'ke
美洲行銷市場部,mei'zhou'xing'xiao'shi'chang'bu
美洲業務管理處,mei'zhou'ye'wu'guan'li'chu
門禁管制組,men'jin'guan'zhi'qu
門衛安管課,men'wei'an'guan'ke
門衛安管組,men'wei'an'guan'qu
秘書行政,mi'shu'xing'zheng
無發展機會,mo'bo'zhan'ji'hui
模廠改善組,mo'chang'gai'shan'qu
無塵點膠線,mo'chen'dian'jiao'xian
無塵室,mo'chen'shi
磨床組,mo'chuang'qu
模二,mo'er
模工,mo'gong
模工課,mo'gong'ke
模工組,mo'gong'qu
模工設備課,mo'gong'she'bei'ke
模工專案組,mo'gong'zhuan'an'qu
無機測試組,mo'ji'ce'shi'qu
無機分析組,mo'ji'fen'xi'qu
模加,mo'jia
模流分析工程,mo'liu'fen'xi'gong'cheng
模流分析組,mo'liu'fen'xi'qu
模切工程,mo'qie'gong'cheng
模切加工,mo'qie'jia'gong
模切生產課,mo'qie'sheng'chan'ke
模切生技組,mo'qie'sheng'ji'qu
模組組裝技術開發部,mo'qu'qu'zhuang'ji'shu'kai'bo'bu
模三,mo'san
模師八,mo'shi'ba
模師二,mo'shi'er
模師九,mo'shi'jiu
模師六,mo'shi'liu
模師七,mo'shi'qi
模師三,mo'shi'san
模師十,mo'shi'shi
模師十二,mo'shi'shi'er
模師十六,mo'shi'shi'liu
模師十七,mo'shi'shi'qi
模師十三,mo'shi'shi'san
模師十四,mo'shi'shi'si
模師十五,mo'shi'shi'wu
模師十一,mo'shi'shi'yi
模師四,mo'shi'si
模師五,mo'shi'wu
模師一,mo'shi'yi
無線電設計處,mo'xian'dian'she'ji'chu
無線電通訊協定部,mo'xian'dian'tong'xun'xie'ding'bu
模修,mo'xiu
模修部,mo'xiu'bu
模修課,mo'xiu'ke
模修組,mo'xiu'qu
模修生技課,mo'xiu'sheng'ji'ke
模修一期生技組,mo'xiu'yi'qi'sheng'ji'qu
模一,mo'yi
模制工課,mo'zhi'gong'ke
模治具開發,mo'zhi'ju'kai'bo
模治具專案采購組,mo'zhi'ju'zhuan'an'cai'gou'qu
模座開發部,mo'zuo'kai'bo'bu
目標成本組,mu'biao'cheng'ben'qu
木工房,mu'gong'fang
模具,mu'ju
模具保養組,mu'ju'bao'yang'qu
模具備品管理組,mu'ju'bei'pin'guan'li'qu
模具部,mu'ju'bu
模具單位,mu'ju'chan'wei
模具調試及維護,mu'ju'diao'shi'ji'wei'hu
模具放電加工,mu'ju'fang'dian'jia'gong
模具改善,mu'ju'gai'shan
模具工程服務課,mu'ju'gong'cheng'fu'wu'ke
模具工程課,mu'ju'gong'cheng'ke
模具工程評估組,mu'ju'gong'cheng'ping'gu'qu
模具工程組,mu'ju'gong'cheng'qu
模具管理課,mu'ju'guan'li'ke
模具管理組,mu'ju'guan'li'qu
模具加工工程,mu'ju'jia'gong'gong'cheng
模具加工課,mu'ju'jia'gong'ke
模具開發,mu'ju'kai'bo
模具開發部,mu'ju'kai'bo'bu
模具開發管理,mu'ju'kai'bo'guan'li
模具開發課,mu'ju'kai'bo'ke
模具類,mu'ju'lei
模具零件技術研發中心,mu'ju'ling'jian'ji'shu'yan'bo'zhong'xin
模具零件加工,mu'ju'ling'jian'jia'gong
模具零件加工標注尺寸班,mu'ju'ling'jian'jia'gong'biao'zhu'chi'cun'ban
模具零件加工部,mu'ju'ling'jian'jia'gong'bu
模具零件加工採購組,mu'ju'ling'jian'jia'gong'cai'gou'qu
模具零件加工產品處,mu'ju'ling'jian'jia'gong'chan'pin'chu
模具零件加工廠,mu'ju'ling'jian'jia'gong'chang
模具零件加工處,mu'ju'ling'jian'jia'gong'chu
模具零件加工二廠,mu'ju'ling'jian'jia'gong'er'chang
模具零件加工鋼材備料管理組,mu'ju'ling'jian'jia'gong'gang'cai'bei'liao'guan'li'qu
模具零件加工課,mu'ju'ling'jian'jia'gong'ke
模具零件加工生產企劃,mu'ju'ling'jian'jia'gong'sheng'chan'qi'hua
模具零件加工生產企劃組,mu'ju'ling'jian'jia'gong'sheng'chan'qi'hua'qu
模具零件加工一廠,mu'ju'ling'jian'jia'gong'yi'chang
模具零件加工營運組,mu'ju'ling'jian'jia'gong'ying'yun'qu
模具零件加工運營,mu'ju'ling'jian'jia'gong'yun'ying
模具零件品質檢驗服務組,mu'ju'ling'jian'pin'zhi'jian'yan'fu'wu'qu
模具零件品質檢驗組,mu'ju'ling'jian'pin'zhi'jian'yan'qu
模具品管部,mu'ju'pin'guan'bu
模具組,mu'ju'qu
模具組立量試組,mu'ju'qu'li'liang'shi'qu
模具熱處理加工,mu'ju're'chu'li'jia'gong
模具設計,mu'ju'she'ji
模具設計組,mu'ju'she'ji'qu
模具試模課,mu'ju'shi'mo'ke
模具維護,mu'ju'wei'hu
模具維修,mu'ju'wei'xiu
模具維修部,mu'ju'wei'xiu'bu
模具維修及管理,mu'ju'wei'xiu'ji'guan'li
模具維修課,mu'ju'wei'xiu'ke
模具維修組,mu'ju'wei'xiu'qu
模具系統課,mu'ju'xi'tong'ke
模具銑削加工,mu'ju'xi'xue'jia'gong
模具線割加工,mu'ju'xian'ge'jia'gong
模具研磨加工,mu'ju'yan'mo'jia'gong
模具製造,mu'ju'zhi'zao
模具制造,mu'ju'zhi'zao
模具制造工程部,mu'ju'zhi'zao'gong'cheng'bu
模具制造組,mu'ju'zhi'zao'qu
模具製作,mu'ju'zhi'zuo
模具資訊課,mu'ju'zi'xun'ke
內部關系組,na'bu'guan'xi'qu
內部審計處,na'bu'shen'ji'chu
內服組,na'fu'qu
內構件沖模廠,na'gou'jian'chong'mo'chang
內構件沖壓廠,na'gou'jian'chong'ya'chang
內構件品管,na'gou'jian'pin'guan
內構件生產線,na'gou'jian'sheng'chan'xian
內交組,na'jiao'qu
內控管理部,na'kong'guan'li'bu
耐久測試組,nai'jiu'ce'shi'qu
難產假,nan'chan'jia
南京,nan'jing
南京廠區,nan'jing'chang'ou
南京軟體測試部,nan'jing'ruan'ti'ce'shi'bu
南京軟體設計部,nan'jing'ruan'ti'she'ji'bu
南京設計中心,nan'jing'she'ji'zhong'xin
内部審計,nei'bu'shen'ji
内部審計處,nei'bu'shen'ji'chu
能源管理組,neng'yuan'guan'li'qu
年休假,nian'xiu'jia
歐洲行銷市場部,ou'zhou'xing'xiao'shi'chang'bu
派駐干部,pai'zhu'gan'bu
拋光,pao'guang
拋光課,pao'guang'ke
拋光組,pao'guang'qu
拋光全檢,pao'guang'quan'jian
拋光線,pao'guang'xian
抛清噴品管組,pao'qing'pen'pin'guan'qu
拋清噴品管組,pao'qing'pen'pin'guan'qu
配送班,pei'song'ban
培訓中心,pei'xun'zhong'xin
噴吵,pen'chao
噴房,pen'fang
噴房組,pen'fang'qu
噴房線,pen'fang'xian
噴砂,pen'sha
噴砂廠,pen'sha'chang
噴砂課,pen'sha'ke
噴砂拉絲課,pen'sha'la'si'ke
噴砂拉絲遮蔽課,pen'sha'la'si'zhe'bi'ke
噴砂拉絲遮蔽組,pen'sha'la'si'zhe'bi'qu
噴沙品管組,pen'sha'pin'guan'qu
噴砂品管線,pen'sha'pin'guan'xian
噴沙組,pen'sha'qu
噴砂組,pen'sha'qu
噴砂全檢組,pen'sha'quan'jian'qu
噴砂生產組,pen'sha'sheng'chan'qu
噴砂生產全檢線,pen'sha'sheng'chan'quan'jian'xian
喷砂线,pen'sha'xian
噴砂線,pen'sha'xian
噴塗,pen'tu
噴涂,pen'tu
噴塗技術組,pen'tu'ji'shu'qu
噴塗課,pen'tu'ke
噴塗組,pen'tu'qu
噴涂生技組,pen'tu'sheng'ji'qu
噴塗蝕刻生產組,pen'tu'shi'ke'sheng'chan'qu
噴塗線,pen'tu'xian
噴涂線,pen'tu'xian
噴印線,pen'yin'xian
批次,pi'ci
批文組,pi'wen'qu
品保,pin'bao
品保部,pin'bao'bu
品保處,pin'bao'chu
品保工程部,pin'bao'gong'cheng'bu
品保課,pin'bao'ke
品保中心,pin'bao'zhong'xin
品測組,pin'ce'qu
品測與品質工程組,pin'ce'yu'pin'zhi'gong'cheng'qu
品工,pin'gong
品工二部,pin'gong'er'bu
品工課,pin'gong'ke
品工組,pin'gong'qu
品工一部,pin'gong'yi'bu
品管,pin'guan
品管部,pin'guan'bu
品管課,pin'guan'ke
品管組,pin'guan'qu
品管系統,pin'guan'xi'tong
品規課,pin'gui'ke
品規客服課,pin'gui'ke'fu'ke
品規客服行政課,pin'gui'ke'fu'xing'zheng'ke
品規組,pin'gui'qu
品規文控課,pin'gui'wen'kong'ke
品質,pin'zhi
品質保証,pin'zhi'bao'zheng
品質保證,pin'zhi'bao'zheng
品質保証部,pin'zhi'bao'zheng'bu
品質保證部,pin'zhi'bao'zheng'bu
品質保証處,pin'zhi'bao'zheng'chu
品質保証課,pin'zhi'bao'zheng'ke
品質保證課,pin'zhi'bao'zheng'ke
品質發展處,pin'zhi'bo'zhan'chu
品質部,pin'zhi'bu
品質服務課,pin'zhi'fu'wu'ke
品質革新組,pin'zhi'ge'xin'qu
品質工程,pin'zhi'gong'cheng
品質工程部,pin'zhi'gong'cheng'bu
品質工程管理服務課,pin'zhi'gong'cheng'guan'li'fu'wu'ke
品質工程管理服務組,pin'zhi'gong'cheng'guan'li'fu'wu'qu
品質工程及檢測組,pin'zhi'gong'cheng'ji'jian'ce'qu
品質工程課,pin'zhi'gong'cheng'ke
品質工程組,pin'zhi'gong'cheng'qu
品質工程支援組,pin'zhi'gong'cheng'zhi'yuan'qu
品質管理課,pin'zhi'guan'li'ke
品質管制課,pin'zhi'guan'zhi'ke
品質規劃,pin'zhi'gui'hua
品質規劃部,pin'zhi'gui'hua'bu
品質規劃管理組,pin'zhi'gui'hua'guan'li'qu
品質規劃及業務部,pin'zhi'gui'hua'ji'ye'wu'bu
品質規劃課,pin'zhi'gui'hua'ke
品質規划組,pin'zhi'gui'hua'qu
品質規劃組,pin'zhi'gui'hua'qu
品質規劃與管理,pin'zhi'gui'hua'yu'guan'li
品質檢測,pin'zhi'jian'ce
品質檢驗,pin'zhi'jian'yan
品質檢驗組,pin'zhi'jian'yan'qu
品質課,pin'zhi'ke
品質客服,pin'zhi'ke'fu
品質零缺點,pin'zhi'ling'que'dian
品質認証組,pin'zhi'ren'zheng'qu
品質生技組,pin'zhi'sheng'ji'qu
品質時間成本,pin'zhi'shi'jian'cheng'ben
品質時間成本技術效率,pin'zhi'shi'jian'cheng'ben'ji'shu'xiao'lv
品質系統管理部,pin'zhi'xi'tong'guan'li'bu
品質系統規劃組,pin'zhi'xi'tong'gui'hua'qu
品質系統課,pin'zhi'xi'tong'ke
品質系統組,pin'zhi'xi'tong'qu
品質驗證,pin'zhi'yan'zheng
品質驗証課,pin'zhi'yan'zheng'ke
品質驗証組,pin'zhi'yan'zheng'qu
品質驗證組,pin'zhi'yan'zheng'qu
品質異常處理線,pin'zhi'yi'chang'chu'li'xian
品質與工程系統部,pin'zhi'yu'gong'cheng'xi'tong'bu
品質與工程系統處,pin'zhi'yu'gong'cheng'xi'tong'chu
品質專案組,pin'zhi'zhuan'an'qu
平板拉絲,ping'ban'la'si
平板拉絲線,ping'ban'la'si'xian
平板全檢線,ping'ban'quan'jian'xian
平面研削加工服務組,ping'mian'yan'xue'jia'gong'fu'wu'qu
平面研削加工組,ping'mian'yan'xue'jia'gong'qu
普通會計課,pu'tong'hui'ji'ke
七大手法,qi'da'shou'fa
企管部,qi'guan'bu
企劃,qi'hua
企划部,qi'hua'bu
企劃部,qi'hua'bu
企劃倉儲管理課,qi'hua'cang'chu'guan'li'ke
企劃倉儲組,qi'hua'cang'chu'qu
企劃二部,qi'hua'er'bu
企劃費用性採購組,qi'hua'fei'yong'xing'cai'gou'qu
企劃工程部,qi'hua'gong'cheng'bu
企劃及物料,qi'hua'ji'wu'liao
企劃交管組,qi'hua'jiao'guan'qu
企划課,qi'hua'ke
企劃課,qi'hua'ke
企划組,qi'hua'qu
企劃組,qi'hua'qu
企化組,qi'hua'qu
企划生管部,qi'hua'sheng'guan'bu
企劃生管組,qi'hua'sheng'guan'qu
企劃推廣處,qi'hua'tui'an'chu
企劃外包管制課,qi'hua'wai'bao'guan'zhi'ke
企劃物控,qi'hua'wu'kong
企劃物控課,qi'hua'wu'kong'ke
企划行政課,qi'hua'xing'zheng'ke
企劃行政課,qi'hua'xing'zheng'ke
企劃行政組,qi'hua'xing'zheng'qu
企劃一部,qi'hua'yi'bu
企劃賬務組,qi'hua'zhang'wu'qu
企劃支援部,qi'hua'zhi'yuan'bu
七階,qi'jie
其他,qi'ta
其它,qi'ta
七组,qi'zu
前處理線,qian'chu'li'xian
前段組,qian'duan'qu
鉗工,qian'gong
鉗工部,qian'gong'bu
鉗工組,qian'gong'qu
鉗工生管組,qian'gong'sheng'guan'qu
前后加工處理課,qian'hou'jia'gong'chu'li'ke
前加工,qian'jia'gong
切結書,qie'ji'shu
切片測試組,qie'pian'ce'shi'qu
切削放電加工組,qie'xiao'fang'dian'jia'gong'qu
切削中心加工服務組,qie'xiao'zhong'xin'jia'gong'fu'wu'qu
勤務,qin'wu
勤務課,qin'wu'ke
勤務組,qin'wu'qu
清洗,qing'xi
清洗電拋線,qing'xi'dian'pao'xian
清洗改善組,qing'xi'gai'shan'qu
清洗管制組,qing'xi'guan'zhi'qu
清洗加工廠,qing'xi'jia'gong'chang
清洗檢包,qing'xi'jian'bao
清洗檢包課,qing'xi'jian'bao'ke
清洗課,qing'xi'ke
清洗品管課,qing'xi'pin'guan'ke
清洗組,qing'xi'qu
清洗全檢,qing'xi'quan'jian
清洗生管組,qing'xi'sheng'guan'qu
清洗線,qing'xi'xian
組包,qu'bao
組包課,qu'bao'ke
組包生產部,qu'bao'sheng'chan'bu
組包生技部,qu'bao'sheng'ji'bu
組包制造部,qu'bao'zhi'zao'bu
組長,qu'chang
取出治具組,qu'chu'zhi'ju'qu
取得資源,qu'de'zi'yuan
組構管理部,qu'gou'guan'li'bu
組件機能組,qu'jian'ji'neng'qu
組立,qu'li
組立加工,qu'li'jia'gong
組立課,qu'li'ke
組織管理組,qu'zhi'guan'li'qu
組織加系統,qu'zhi'jia'xi'tong
組織切割,qu'zhi'qie'ge
組織訓練組,qu'zhi'xun'lian'qu
組裝,qu'zhuang
組裝部,qu'zhuang'bu
組裝廠,qu'zhuang'chang
組裝廠品管組,qu'zhuang'chang'pin'guan'qu
組裝出貨檢查組,qu'zhuang'chu'huo'jian'cha'qu
組裝改善組,qu'zhuang'gai'shan'qu
組裝工程,qu'zhuang'gong'cheng
組裝工程部,qu'zhuang'gong'cheng'bu
組裝技朮開發課,qu'zhuang'ji'shu'kai'bo'ke
組裝開發,qu'zhuang'kai'bo
組裝開發部,qu'zhuang'kai'bo'bu
組裝開發品質工程課,qu'zhuang'kai'bo'pin'zhi'gong'cheng'ke
組裝開發支援課,qu'zhuang'kai'bo'zhi'yuan'ke
組裝課,qu'zhuang'ke
組裝品保,qu'zhuang'pin'bao
組裝品工課,qu'zhuang'pin'gong'ke
組裝品工組,qu'zhuang'pin'gong'qu
組裝品管,qu'zhuang'pin'guan
組裝品管課,qu'zhuang'pin'guan'ke
組裝品管組,qu'zhuang'pin'guan'qu
組裝品管组,qu'zhuang'pin'guan'zu
組裝企划課,qu'zhuang'qi'hua'ke
組裝企劃組,qu'zhuang'qi'hua'qu
組裝組,qu'zhuang'qu
組裝生產部,qu'zhuang'sheng'chan'bu
組裝生產二部,qu'zhuang'sheng'chan'er'bu
組裝生產課,qu'zhuang'sheng'chan'ke
組裝生產排配整合班,qu'zhuang'sheng'chan'pai'pei'zheng'he'ban
組裝生產一部,qu'zhuang'sheng'chan'yi'bu
組裝生管,qu'zhuang'sheng'guan
組裝生管課,qu'zhuang'sheng'guan'ke
組裝生技課,qu'zhuang'sheng'ji'ke
組裝生技組,qu'zhuang'sheng'ji'qu
組裝維護課,qu'zhuang'wei'hu'ke
組裝線,qu'zhuang'xian
組裝線體系統維護組,qu'zhuang'xian'ti'xi'tong'wei'hu'qu
組裝制程開發課,qu'zhuang'zhi'cheng'kai'bo'ke
組裝制程開發組,qu'zhuang'zhi'cheng'kai'bo'qu
組裝制程課,qu'zhuang'zhi'cheng'ke
組裝製程品質,qu'zhuang'zhi'cheng'pin'zhi
組裝制工組,qu'zhuang'zhi'gong'qu
組裝治具組,qu'zhuang'zhi'ju'qu
組裝制造部,qu'zhuang'zhi'zao'bu
組裝制造處,qu'zhuang'zhi'zao'chu
組装组,qu'zhuang'zu
組裝作業,qu'zhuang'zuo'ye
全技員,quan'ji'yuan
全檢,quan'jian
全檢補墨,quan'jian'bu'mo
全檢課,quan'jian'ke
全檢組,quan'jian'qu
全檢線,quan'jian'xian
全球案件支援課,quan'qiu'an'jian'zhi'yuan'ke
全球發貨,quan'qiu'bo'huo
全球佈局,quan'qiu'bu'ju
全球採購支援管理處,quan'qiu'cai'gou'zhi'yuan'guan'li'chu
全球測試工程,quan'qiu'ce'shi'gong'cheng
全球測試技術中心,quan'qiu'ce'shi'ji'shu'zhong'xin
全球產能規划組,quan'qiu'chan'neng'gui'hua'qu
全球供應鏈管理處,quan'qiu'gong'ying'lian'guan'li'chu
全球供應鏈管理支援,quan'qiu'gong'ying'lian'guan'li'zhi'yuan
全球化思考邏輯,quan'qiu'hua'si'kao'luo'ji
全球機構測試技術處,quan'qiu'ji'gou'ce'shi'ji'shu'chu
全球技術支援組,quan'qiu'ji'shu'zhi'yuan'qu
全球經管支援,quan'qiu'jing'guan'zhi'yuan
全球客服及支援中心,quan'qiu'ke'fu'ji'zhi'yuan'zhong'xin
全球客服中心課,quan'qiu'ke'fu'zhong'xin'ke
全球品保總處,quan'qiu'pin'bao'zong'chu
全球品管支援,quan'qiu'pin'guan'zhi'yuan
全球品質系統管理,quan'qiu'pin'zhi'xi'tong'guan'li
全球品質訊息管理,quan'qiu'pin'zhi'xun'xi'guan'li
全球生管系統規劃部,quan'qiu'sheng'guan'xi'tong'gui'hua'bu
全球市場營運事業處,quan'qiu'shi'chang'ying'yun'shi'ye'chu
全球損益經營分析專案,quan'qiu'sun'yi'jing'ying'fen'xi'zhuan'an
全球物流發展處,quan'qiu'wu'liu'bo'zhan'chu
全球物流運籌規劃部,quan'qiu'wu'liu'yun'chou'gui'hua'bu
全球先進供應鏈規划處,quan'qiu'xian'jin'gong'ying'lian'gui'hua'chu
全球銷服中心課,quan'qiu'xiao'fu'zhong'xin'ke
全球業務開發與行銷處,quan'qiu'ye'wu'kai'bo'yu'xing'xiao'chu
全球營運規划處,quan'qiu'ying'yun'gui'hua'chu
全球制造技術中心,quan'qiu'zhi'zao'ji'shu'zhong'xin
全球資訊系統支援,quan'qiu'zi'xun'xi'tong'zhi'yuan
全球總經辦,quan'qiu'zong'jing'ban
銓敘人力招募組,quan'xu'ren'li'zhao'mu'qu
缺陷,que'xian
群創光電,qun'chuang'guang'dian
群創光電龍華,qun'chuang'guang'dian'long'hua
群經管總部,qun'jing'guan'zong'bu
群周邊,qun'zhou'bian
熱澆道鉗工組,re'jiao'dao'qian'gong'qu
熱噴塗專案組,re'pen'tu'zhuan'an'qu
熱熔線,re'rong'xian
人材人才人財,ren'cai'ren'cai'ren'cai
人才市場,ren'cai'shi'chang
人力教育組,ren'li'jiao'yu'qu
人力開發課,ren'li'kai'bo'ke
人力訓育組,ren'li'xun'yu'qu
人力招募課,ren'li'zhao'mu'ke
人力招募組,ren'li'zhao'mu'qu
人力資源,ren'li'zi'yuan
人力資源部,ren'li'zi'yuan'bu
人力資源處,ren'li'zi'yuan'chu
人力資源管理,ren'li'zi'yuan'guan'li
人力資源課,ren'li'zi'yuan'ke
人力資源總處,ren'li'zi'yuan'zong'chu
人事工安組,ren'shi'gong'an'qu
人事管理課,ren'shi'guan'li'ke
人事管理組,ren'shi'guan'li'qu
人事組,ren'shi'qu
人事行政,ren'shi'xing'zheng
人事行政備品帳務課,ren'shi'xing'zheng'bei'pin'zhang'wu'ke
人事行政部,ren'shi'xing'zheng'bu
人事行政管理組,ren'shi'xing'zheng'guan'li'qu
人事行政課,ren'shi'xing'zheng'ke
人事行政课,ren'shi'xing'zheng'ke
人事行政組,ren'shi'xing'zheng'qu
人事行政總務組,ren'shi'xing'zheng'zong'wu'qu
人事訓練組,ren'shi'xun'lian'qu
人事訓育組,ren'shi'xun'yu'qu
人事總務課,ren'shi'zong'wu'ke
人事作業組,ren'shi'zuo'ye'qu
人資,ren'zi
人資處,ren'zi'chu
人資窗口,ren'zi'chuang'kou
人資規劃,ren'zi'gui'hua
人資規划整合課,ren'zi'gui'hua'zheng'he'ke
人資總處,ren'zi'zong'chu
日本國內行銷開發專案課,ri'ben'guo'na'xing'xiao'kai'bo'zhuan'an'ke
日本國內行銷專案,ri'ben'guo'na'xing'xiao'zhuan'an
日本課,ri'ben'ke
日本行銷市場部,ri'ben'xing'xiao'shi'chang'bu
日常通關監管組,ri'chang'tong'guan'jian'guan'qu
融合責任進步,rong'he'ze'ren'jin'bu
入網測試部,ru'wang'ce'shi'bu
入網測試課,ru'wang'ce'shi'ke
入網驗證課,ru'wang'yan'zheng'ke
入職來源,ru'zhi'lai'yuan
軟件工程開發與維護組,ruan'jian'gong'cheng'kai'bo'yu'wei'hu'qu
軟件開發課,ruan'jian'kai'bo'ke
軟件開發組,ruan'jian'kai'bo'qu
軟件專案管理課,ruan'jian'zhuan'an'guan'li'ke
軟體測試,ruan'ti'ce'shi
軟體測試工程課,ruan'ti'ce'shi'gong'cheng'ke
軟體測試管理部,ruan'ti'ce'shi'guan'li'bu
軟體二部,ruan'ti'er'bu
軟體管理部,ruan'ti'guan'li'bu
軟體開發組,ruan'ti'kai'bo'qu
軟體品保二部,ruan'ti'pin'bao'er'bu
軟體品保三部,ruan'ti'pin'bao'san'bu
軟體品保一部,ruan'ti'pin'bao'yi'bu
