镭,a
托座轴承,tuo'zuo'zhou'cheng
挖土机手,wa'tu'ji'shou
外半径,wai'ban'jing
外保角半径,wai'bao'jiao'ban'jing
外边界,wai'bian'jie
外表特征,wai'biao'te'zheng
外部操作,wai'bu'cao'zuo
外部处理机,wai'bu'chu'li'ji
外部的,wai'bu'de
外部堆栈,wai'bu'dui'zhan
外部焊缝,wai'bu'han'feng
外部混合喷嘴,wai'bu'hun'he'pen'zui
外部料场,wai'bu'liao'chang
外部排料压滤机,wai'bu'pai'liao'ya'lv'ji
外部设备,wai'bu'she'bei
外部贮矿场,wai'bu'zhu'kuang'chang
外层,wai'ceng
外层电子,wai'ceng'dian'zi
外层电子排列,wai'ceng'dian'zi'pai'lie
外层电子组态,wai'ceng'dian'zi'zu'tai
外层钢板壁,wai'ceng'gang'ban'bi
外层火焰,wai'ceng'huo'yan
外衬,wai'chen
外齿式联轴节,wai'chi'shi'lian'zhou'jie
外镀层,wai'du'ceng
外购废钢,wai'gou'fei'gang
外观检查,wai'guan'jian'cha
外观检验,wai'guan'jian'yan
外观图,wai'guan'tu
外国的,wai'guo'de
外焊,wai'han
外焊缝,wai'han'feng
外环油封,wai'huan'you'feng
外极发电机,wai'ji'fa'dian'ji
外加燃料的纯氧炼钢法,wai'jia'ran'liao'de'chun'yang'lian'gang'fa
外浇口,wai'jiao'kou
外角墁刀,wai'jiao'man'dao
外界还原剂,wai'jie'huan'yuan'ji
外界面,wai'jie'mian
外径,wai'jing
外径测微计,wai'jing'ce'wei'ji
外径千分尺,wai'jing'qian'fen'chi
外卡尺,wai'ka'chi
外卡规,wai'ka'gui
外壳,wai'ke
外壳可抽出式混凝土桩,wai'ke'ke'chou'chu'shi'hun'ning'tu'zhuang
外来电子,wai'lai'dian'zi
外流气流,wai'liu'qi'liu
外流阻力,wai'liu'zu'li
外螺纹梳刀,wai'luo'wen'shu'dao
外能级,wai'neng'ji
外排,wai'pai
外排油孔,wai'pai'you'kong
外配流径向柱塞泵,wai'pei'liu'jing'xiang'zhu'sai'beng
外皮,wai'pi
外墙,wai'qiang
外伸臂,wai'shen'bi
外伸轮,wai'shen'lun
外伸曲柄,wai'shen'qu'bing
外伸式蒸气锤,wai'shen'shi'zheng'qi'chui
外伸轴承,wai'shen'zhou'cheng
外手柄,wai'shou'bing
外水口,wai'shui'kou
外涂层,wai'tu'ceng
外围电子,wai'wei'dian'zi
外围控制器,wai'wei'kong'zhi'qi
外纤维层,wai'xian'wei'ceng
歪斜度,wai'xie'du
外斜斜度,wai'xie'xie'du
外形草图,wai'xing'cao'tu
外形尺寸,wai'xing'chi'cun
外逸电子,wai'yi'dian'zi
外圆角光子,wai'yuan'jiao'guang'zi
外圆锥,wai'yuan'zhui
外闸,wai'zha
外债,wai'zhai
外罩,wai'zhao
外旨示剂,wai'zhi'shi'ji
外置轴承,wai'zhi'zhou'cheng
外座圈,wai'zuo'quan
丸,wan
完备,wan'bei
万测仪,wan'ce'yi
豌豆粒烧结矿,wan'dou'li'shao'jie'kuang
弯管,wan'guan
弯管机,wan'guan'ji
弯轨机,wan'gui'ji
弯轨压力机,wan'gui'ya'li'ji
完美晶体,wan'mei'jing'ti
万能装卸机,wan'neng'zhuang'xie'ji
弯曲过度,wan'qu'guo'du
弯曲性试验,wan'qu'xing'shi'yan
弯曲用锤,wan'qu'yong'chui
完全,wan'quan
完全长程有序,wan'quan'chang'cheng'you'xu
完全单色的,wan'quan'dan'se'de
完全混合,wan'quan'hun'he
完全配合,wan'quan'pei'he
完全燃烧,wan'quan'ran'shao
完全塑性,wan'quan'su'xing
完全塑性体,wan'quan'su'xing'ti
完全弹性,wan'quan'tan'xing
完全弹性的,wan'quan'tan'xing'de
完全有序结构,wan'quan'you'xu'jie'gou
完全真空,wan'quan'zhen'kong
烷属烃,wan'shu'ting
烷烃,wan'ting
完整,wan'zheng
完整材料,wan'zheng'cai'liao
完整昌格,wan'zheng'chang'ge
完整点阵,wan'zheng'dian'zhen
完整位错,wan'zheng'wei'cuo
往复式脱模起重机,wang'fu'shi'tuo'mo'qi'zhong'ji
往来帐,wang'lai'zhang
网眼钢皮,wang'yan'gang'pi
王子锡锑合金,wang'zi'xi'ti'he'jin
位,wei
伪操作,wei'cao'zuo
位差,wei'cha
位场,wei'chang
伪沉淀,wei'chen'dian
位错的传播,wei'cuo'de'chuan'bo
位错的扩展,wei'cuo'de'kuo'zhan
位错的振荡,wei'cuo'de'zhen'dang
位错堆积,wei'cuo'dui'ji
位错固定,wei'cuo'gu'ding
位错通路,wei'cuo'tong'lu
位错图样,wei'cuo'tu'yang
维蒂克科公司,wei'di'ke'ke'gong'si
伪电位法,wei'dian'wei'fa
喂垛装置,wei'duo'zhuang'zhi
伪二元合金,wei'er'yuan'he'jin
伪二元系,wei'er'yuan'xi
伪二元系状态图,wei'er'yuan'xi'zhuang'tai'tu
微分电路,wei'fen'dian'lu
伪复型法,wei'fu'xing'fa
伪各向同性,wei'ge'xiang'tong'xing
伪各向同性的,wei'ge'xiang'tong'xing'de
伪共晶,wei'gong'jing
伪共晶的,wei'gong'jing'de
伪共晶合金,wei'gong'jing'he'jin
伪共晶体,wei'gong'jing'ti
伪共析的,wei'gong'xi'de
伪共析合金,wei'gong'xi'he'jin
伪共析体,wei'gong'xi'ti
未焊合,wei'han'he
围护沟,wei'hu'gou
微计算机,wei'ji'suan'ji
维近似法,wei'jin'si'fa
位阱,wei'jing
伪晶的,wei'jing'de
未精整锻件,wei'jing'zheng'duan'jian
微孔团,wei'kong'tuan
尾矿,wei'kuang
微粒,wei'li
微粒辐射,wei'li'fu'she
微粒污染,wei'li'wu'ran
微量,wei'liang
位能,wei'neng
围盘开顶槽,wei'pan'kai'ding'cao
伪片状石墨,wei'pian'zhuang'shi'mo
微扰动敏感特性,wei'rao'dong'min'gan'te'xing
微扰能级,wei'rao'neng'ji
伪三元系,wei'san'yuan'xi
卫生管道装置,wei'sheng'guan'dao'zhuang'zhi
伪随机数发生器,wei'sui'ji'shu'fa'sheng'qi
伪同晶生长,wei'tong'jing'sheng'zhang
微微,wei'wei
伪析出,wei'xi'chu
位向变化,wei'xiang'bian'hua
位向差,wei'xiang'cha
位向关系,wei'xiang'guan'xi
位向无序,wei'xiang'wu'xu
位向效应,wei'xiang'xiao'ying
位向作用,wei'xiang'zuo'yong
伪形,wei'xing
微型高温计,wei'xing'gao'wen'ji
伪旋轮线,wei'xuan'lun'xian
尾液,wei'ye
围栅,wei'zha
未占位置,wei'zhan'wei'zhi
位置,wei'zhi
位置报警器,wei'zhi'bao'jing'qi
位置测定器,wei'zhi'ce'ding'qi
位置电压控制,wei'zhi'dian'ya'kong'zhi
位置度公差带,wei'zhi'du'gong'cha'dai
位置发送器,wei'zhi'fa'song'qi
位置跟踪系统,wei'zhi'gen'zong'xi'tong
位置控制信号,wei'zhi'kong'zhi'xin'hao
伪指令,wei'zhi'ling
位置调整,wei'zhi'tiao'zheng
位置调制扫描,wei'zhi'tiao'zhi'sao'miao
位置无序,wei'zhi'wu'xu
位置选择阀,wei'zhi'xuan'ze'fa
位置指示器,wei'zhi'zhi'shi'qi
未注满,wei'zhu'man
稳定板,wen'ding'ban
稳定滑移带,wen'ding'hua'yi'dai
稳定流,wen'ding'liu
稳定燃烧,wen'ding'ran'shao
温度生长,wen'du'sheng'zhang
文件,wen'jian
汶图拉冶金制造公司,wen'tu'la'ye'jin'zhi'zao'gong'si
瘟疫,wen'yi
肟,wo
硪,wo
涡流泵,wo'liu'beng
涡流式探伤仪,wo'liu'shi'tan'shang'yi
窝眼筒,wo'yan'tong
五氨络物,wu'an'luo'wu
五倍的,wu'bei'de
误差百分率,wu'cha'bai'fen'lv
无衬垫,wu'chen'dian
无沉淀带区,wu'chen'dian'dai'qu
无沉淀物带,wu'chen'dian'wu'dai
五次曲线,wu'ci'qu'xian
无底钢锭模,wu'di'gang'ding'mu
无底结晶器,wu'di'jie'jing'qi
无定位向,wu'ding'wei'xiang
无定向的,wu'ding'xiang'de
五氟化物,wu'fu'hua'wu
无盖地面铸造,wu'gai'di'mian'zhu'zao
无铬镀层,wu'ge'du'ceng
无功能量,wu'gong'neng'liang
无管的,wu'guan'de
无光火焰,wu'guang'huo'yan
无光泽的,wu'guang'ze'de
无规混合,wu'gui'hun'he
无规混匀,wu'gui'hun'yun
无规力,wu'gui'li
无规律分布,wu'gui'lv'fen'bu
无规取向,wu'gui'qu'xiang
无规试样,wu'gui'shi'yang
无规填充层,wu'gui'tian'chong'ceng
无规运动,wu'gui'yun'dong
无规则的,wu'gui'ze'de
无规则碰撞,wu'gui'ze'peng'zhuang
无焊缝料斗,wu'han'feng'liao'dou
无焊缝料钟,wu'han'feng'liao'zhong
雾化器,wu'hua'qi
无活塞气压式蓄力器,wu'huo'sai'qi'ya'shi'xu'li'qi
无级变速调整器,wu'ji'bian'su'tiao'zheng'qi
无极的,wu'ji'de
五极管,wu'ji'guan
无机酸净化,wu'ji'suan'jing'hua
五价,wu'jia
五价的,wu'jia'de
五角的,wu'jiao'de
五角钢材,wu'jiao'gang'cai
五角型材,wu'jiao'xing'cai
无节钢筋,wu'jie'gang'jin
无筋混凝土,wu'jin'hun'ning'tu
物镜物理孔径,wu'jing'wu'li'kong'jing
无孔的,wu'kong'de
无孔构造,wu'kong'gou'zao
无孔制品,wu'kong'zhi'pin
无矿沸腾,wu'kuang'fei'teng
无楞铁皮,wu'leng'tie'pi
物理,wu'li
物理变化,wu'li'bian'hua
物理参数,wu'li'can'shu
物理测量,wu'li'ce'liang
物理常数,wu'li'chang'shu
物理动力学,wu'li'dong'li'xue
物理方法,wu'li'fang'fa
物理光学,wu'li'guang'xue
物理化学,wu'li'hua'xue
物理化学参数,wu'li'hua'xue'can'shu
物理化学流体力学,wu'li'hua'xue'liu'ti'li'xue
物理化学因九,wu'li'hua'xue'yin'jiu
物理检验试样,wu'li'jian'yan'shi'yang
物理结构,wu'li'jie'gou
物理论证,wu'li'lun'zheng
物理气相被覆,wu'li'qi'xiang'bei'fu
物理气相淀积,wu'li'qi'xiang'dian'ji
物理情况,wu'li'qing'kuang
物理缺陷,wu'li'que'xian
物理生长,wu'li'sheng'zhang
物理数据,wu'li'shu'ju
物理损失,wu'li'sun'shi
物理特性,wu'li'te'xing
物理条件,wu'li'tiao'jian
物理稳定性,wu'li'wen'ding'xing
物理吸附,wu'li'xi'fu
物理吸着,wu'li'xi'zhe
物理现象,wu'li'xian'xiang
物理性,wu'li'xing
物理性能,wu'li'xing'neng
物理性能测定,wu'li'xing'neng'ce'ding
物理性质,wu'li'xing'zhi
物理性状,wu'li'xing'zhuang
物理学,wu'li'xue
物理学应力,wu'li'xue'ying'li
物理冶金,wu'li'ye'jin
物理冶金学,wu'li'ye'jin'xue
物理因数,wu'li'yin'shu
物理状态,wu'li'zhuang'tai
无力作用时间,wu'li'zuo'yong'shi'jian
物料参数,wu'liao'can'shu
无磷的,wu'lin'de
无磷酸盐的,wu'lin'suan'yan'de
五硫化二磷,wu'liu'hua'er'lin
五硫化物,wu'liu'hua'wu
五氯化磷,wu'lv'hua'lin
五氯化镤,wu'lv'hua'pu
五氯化物,wu'lv'hua'wu
五醚,wu'mi
五面体,wu'mian'ti
无粘结剂球团,wu'nian'jie'ji'qiu'tuan
武器,wu'qi
无取向合金,wu'qu'xiang'he'jin
污染,wu'ran
污染防治技术,wu'ran'fang'zhi'ji'shu
污染防止条令,wu'ran'fang'zhi'tiao'ling
污染负荷,wu'ran'fu'he
污染工业,wu'ran'gong'ye
污染物,wu'ran'wu
污染物参数,wu'ran'wu'can'shu
污染物单位负荷量,wu'ran'wu'dan'wei'fu'he'liang
污染者负担原则,wu'ran'zhe'fu'dan'yuan'ze
污染指数,wu'ran'zhi'shu
无散布,wu'san'bu
无声变速,wu'sheng'bian'su
五水合物,wu'shui'he'wu
钨丝灯,wu'si'deng
钨酸钾,wu'suan'jia
无缩孔的,wu'suo'kong'de
五羰基化物,wu'tang'ji'hua'wu
物体,wu'ti
无跳动燃烧,wu'tiao'dong'ran'shao
无凸模拉深,wu'tu'mo'la'shen
戊烷,wu'wan
戊烷二烯螯合物,wu'wan'er'xi'ao'he'wu
无污染,wu'wu'ran
无隙沉积物,wu'xi'chen'ji'wu
无析出带区,wu'xi'chu'dai'qu
无析出物带,wu'xi'chu'wu'dai
无隙覆层,wu'xi'fu'ceng
无线电报,wu'xian'dian'bao
无线电操纵,wu'xian'dian'cao'zong
无线电测量仪器,wu'xian'dian'ce'liang'yi'qi
无线电传送的,wu'xian'dian'chuan'song'de
无线电传真,wu'xian'dian'chuan'zhen
无线电传真电报学,wu'xian'dian'chuan'zhen'dian'bao'xue
无线电传真术,wu'xian'dian'chuan'zhen'shu
无线电传真照片,wu'xian'dian'chuan'zhen'zhao'pian
无线电传真照相,wu'xian'dian'chuan'zhen'zhao'xiang
无线电电传打字电报机,wu'xian'dian'dian'chuan'da'zi'dian'bao'ji
无线电电传打字机,wu'xian'dian'dian'chuan'da'zi'ji
无线电定位,wu'xian'dian'ding'wei
无线电定位器,wu'xian'dian'ding'wei'qi
无线电发送机,wu'xian'dian'fa'song'ji
无线电放大器,wu'xian'dian'fang'da'qi
无线电干扰,wu'xian'dian'gan'rao
无线电工程,wu'xian'dian'gong'cheng
无线电话,wu'xian'dian'hua
无线电技术,wu'xian'dian'ji'shu
无线电控制,wu'xian'dian'kong'zhi
无线电联络指军系统,wu'xian'dian'lian'luo'zhi'jun'xi'tong
无线电路,wu'xian'dian'lu
无线电频率电阻焊,wu'xian'dian'pin'lv'dian'zu'han
无线电摄影,wu'xian'dian'she'ying
无线电通信,wu'xian'dian'tong'xin
无线电信号,wu'xian'dian'xin'hao
无线电遥测,wu'xian'dian'yao'ce
无线电遥控,wu'xian'dian'yao'kong
无线电遥控设备,wu'xian'dian'yao'kong'she'bei
无线电自动控制,wu'xian'dian'zi'dong'kong'zhi
物相分析,wu'xiang'fen'xi
物相检查,wu'xiang'jian'cha
物相鉴定,wu'xiang'jian'ding
无向无序,wu'xiang'wu'xu
五溴化物,wu'xiu'hua'wu
无序合金,wu'xu'he'jin
无蓄能器的液压系统,wu'xu'neng'qi'de'ye'ya'xi'tong
无序排列,wu'xu'pai'lie
无选择取样,wu'xuan'ze'qu'yang
无压成型,wu'ya'cheng'xing
无压杆挤压,wu'ya'gan'ji'ya
无压塑型,wu'ya'su'xing
无压作用时间,wu'ya'zuo'yong'shi'jian
无氧的,wu'yang'de
无氧电解质,wu'yang'dian'jie'zhi
无氧粉末,wu'yang'fen'mo
五氧化二磷,wu'yang'hua'er'lin
五氧化二镤,wu'yang'hua'er'pu
五氧化物,wu'yang'hua'wu
无氧化物的,wu'yang'hua'wu'de
无氧钠,wu'yang'na
无氧气氛,wu'yang'qi'fen
无氧熔剂,wu'yang'rong'ji
无氧铜,wu'yang'tong
无液电镀,wu'ye'dian'du
无用的,wu'yong'de
无源传感器,wu'yuan'chuan'gan'qi
五元的,wu'yuan'de
五元合金,wu'yuan'he'jin
五元合金钢,wu'yuan'he'jin'gang
无源元件,wu'yuan'yuan'jian
五原子的,wu'yuan'zi'de
无杂质半导体,wu'za'zhi'ban'dao'ti
无噪声,wu'zao'sheng
无皂土球团,wu'zao'tu'qiu'tuan
无粘结力预应力,wu'zhan'jie'li'yu'ying'li
无针孔材料,wu'zhen'kong'cai'liao
无砧座锤锤头,wu'zhen'zuo'chui'chui'tou
无珠光体钢,wu'zhu'guang'ti'gang
污浊指数,wu'zhuo'zhi'shu
隙,xi
析出,xi'chu
析出范围,xi'chu'fan'wei
析出金属量,xi'chu'jin'shu'liang
析出热处理,xi'chu're'chu'li
析出物集合体,xi'chu'wu'ji'he'ti
析出相,xi'chu'xiang
析出相晶格,xi'chu'xiang'jing'ge
析出相锁住的位错结,xi'chu'xiang'suo'zhu'de'wei'cuo'jie
析出作用,xi'chu'zuo'yong
锡锭,xi'ding
锡镀层,xi'du'ceng
矽肺病,xi'fei'bing
锡粉,xi'fen
细分级,xi'fen'ji
细杆,xi'gan
吸管,xi'guan
锡焊料,xi'han'liao
硒化钾,xi'hua'jia
系级,xi'ji
熄焦车,xi'jiao'che
熄焦时间,xi'jiao'shi'jian
熄焦塔,xi'jiao'ta
熄焦贮水槽,xi'jiao'zhu'shui'cao
系阶,xi'jie
锡块,xi'kuai
洗矿厂,xi'kuang'chang
洗矿机,xi'kuang'ji
细粒,xi'li
细粒百分数,xi'li'bai'fen'shu
系列电流,xi'lie'dian'liu
洗炉,xi'lu
吸能元件,xi'neng'yuan'jian
细砂布,xi'sha'bu
吸收断面峰值,xi'shou'duan'mian'feng'zhi
吸收量,xi'shou'liang
系数,xi'shu
硒酸钾,xi'suan'jia
细碎粘弹性复合材料,xi'sui'nian'tan'xing'fu'he'cai'liao
锡锑铅合金,xi'ti'qian'he'jin
锡瘟,xi'wen
细小泡疤,xi'xiao'pao'ba
系序,xi'xu
洗选,xi'xuan
吸氧,xi'yang
吸氧腐蚀,xi'yang'fu'shi
吸氧剂,xi'yang'ji
吸液管法,xi'ye'guan'fa
吸液管架,xi'ye'guan'jia
吸移管管理器,xi'yi'guan'guan'li'qi
吸引,xi'yin
下部烟罩,xia'bu'yan'zhao
下悬式搬运车,xia'xuan'shi'ban'yun'che
下压力,xia'ya'li
下注,xia'zhu
掀板,xian'ban
掀板机,xian'ban'ji
现场汇报,xian'chang'hui'bao
现场浇筑,xian'chang'jiao'zhu
现场制作场,xian'chang'zhi'zuo'chang
现代成就,xian'dai'cheng'jiu
现代化轧机,xian'dai'hua'zha'ji
限额,xian'e
先共晶,xian'gong'jing
先共晶奥氏体,xian'gong'jing'ao'shi'ti
先共晶的,xian'gong'jing'de
先共晶渗碳体,xian'gong'jing'shen'tan'ti
先共析的,xian'gong'xi'de
先共析渗碳体,xian'gong'xi'shen'tan'ti
先共析碳化物,xian'gong'xi'tan'hua'wu
先共析体,xian'gong'xi'ti
先共析铁素体,xian'gong'xi'tie'su'ti
先共析组分,xian'gong'xi'zu'fen
先决条件,xian'jue'tiao'jian
纤磷铅铀矿,xian'lin'qian'you'kuang
线路区间,xian'lu'qu'jian
线内计算机,xian'nei'ji'suan'ji
先驱核,xian'qu'he
显示,xian'shi
线图,xian'tu
显微照相,xian'wei'zhao'xiang
显微照相机,xian'wei'zhao'xiang'ji
显微照相术,xian'wei'zhao'xiang'shu
显微照相装置,xian'wei'zhao'xiang'zhuang'zhi
酰洗设备,xian'xi'she'bei
酰洗液,xian'xi'ye
现象,xian'xiang
显象管,xian'xiang'guan
显象过度,xian'xiang'guo'du
先行核,xian'xing'he
线性加积分控制,xian'xing'jia'ji'fen'kong'zhi
显影过度,xian'ying'guo'du
先张法混凝土,xian'zhang'fa'hun'ning'tu
先张法预应力,xian'zhang'fa'yu'ying'li
先张钢丝,xian'zhang'gang'si
现值,xian'zhi
显著特性,xian'zhu'te'xing
象,xiang
镶板法崩裂性试验,xiang'ban'fa'beng'lie'xing'shi'yan
相比,xiang'bi
相变,xiang'bian
相变范围,xiang'bian'fan'wei
相变反应,xiang'bian'fan'ying
相变化,xiang'bian'hua
相变温度,xiang'bian'wen'du
相不稳定性,xiang'bu'wen'ding'xing
相衬,xiang'chen
相称的,xiang'chen'de
相沉淀,xiang'chen'dian
相衬法,xiang'chen'fa
相衬观察,xiang'chen'guan'cha
相衬聚光镜,xiang'chen'ju'guang'jing
相衬显微镜,xiang'chen'xian'wei'jing
相衬显微术,xiang'chen'xian'wei'shu
相衬显微照相,xiang'chen'xian'wei'zhao'xiang
相衬象,xiang'chen'xiang
相成分,xiang'cheng'fen
相初显微照片,xiang'chu'xian'wei'zhao'pian
相的混合物,xiang'de'hun'he'wu
相的鉴定,xiang'de'jian'ding
相的连续性,xiang'de'lian'xu'xing
相电流,xiang'dian'liu
相电压,xiang'dian'ya
相对侧,xiang'dui'ce
相反,xiang'fan
相反极,xiang'fan'ji
相反溶质,xiang'fan'rong'zhi
相分布,xiang'fen'bu
相分解,xiang'fen'jie
相分离,xiang'fen'li
相分离器,xiang'fen'li'qi
相分析,xiang'fen'xi
相共振,xiang'gong'zhen
相畸变,xiang'ji'bian
相际反应,xiang'ji'fan'ying
相间的,xiang'jian'de
相检定,xiang'jian'ding
相间作用,xiang'jian'zuo'yong
相界,xiang'jie
相界测定,xiang'jie'ce'ding
相结构,xiang'jie'gou
相界面反应,xiang'jie'mian'fan'ying
相界线,xiang'jie'xian
相空间,xiang'kong'jian
相律,xiang'lv
相面,xiang'mian
相敏检波器,xiang'min'jian'bo'qi
相敏系统,xiang'min'xi'tong
相敏装置,xiang'min'zhuang'zhi
相片,xiang'pian
相偏析,xiang'pian'xi
相平衡图,xiang'ping'heng'tu
相平衡状态,xiang'ping'heng'zhuang'tai
相平面,xiang'ping'mian
相平稀条件,xiang'ping'xi'tiao'jian
相区,xiang'qu
相区域,xiang'qu'yu
相绕相,xiang'rao'xiang
箱式淬火,xiang'shi'cui'huo
箱式炉,xiang'shi'lu
箱式氧化铁法,xiang'shi'yang'hua'tie'fa
象素,xiang'su
相态,xiang'tai
相图,xiang'tu
相图的固相线,xiang'tu'de'gu'xiang'xian
相图的液相线,xiang'tu'de'ye'xiang'xian
向外扩散,xiang'wai'kuo'san
相歪扭,xiang'wai'niu
向外迁移离子,xiang'wai'qian'yi'li'zi
相位,xiang'wei
相位超前,xiang'wei'chao'qian
相位对比观察,xiang'wei'dui'bi'guan'cha
相位计,xiang'wei'ji
相位及振幅指示器,xiang'wei'ji'zhen'fu'zhi'shi'qi
相位角,xiang'wei'jiao
相位校正,xiang'wei'jiao'zheng
相位控制设备,xiang'wei'kong'zhi'she'bei
相位逆向,xiang'wei'ni'xiang
相位平衡器,xiang'wei'ping'heng'qi
相位调整,xiang'wei'tiao'zheng
相位调整器,xiang'wei'tiao'zheng'qi
相位调制,xiang'wei'tiao'zhi
相位同步,xiang'wei'tong'bu
相位旋转指示器,xiang'wei'xuan'zhuan'zhi'shi'qi
相位一致,xiang'wei'yi'zhi
相位滞后,xiang'wei'zhi'hou
相位指示器,xiang'wei'zhi'shi'qi
相位转换开关,xiang'wei'zhuan'huan'kai'guan
相稳定性,xiang'wen'ding'xing
相析出,xiang'xi'chu
详细数据,xiang'xi'shu'ju
详细资料,xiang'xi'zi'liao
象限,xiang'xian
象限的,xiang'xian'de
象限静电计,xiang'xian'jing'dian'ji
象限仪,xiang'xian'yi
相向动作锤头,xiang'xiang'dong'zuo'chui'tou
相谐振,xiang'xie'zhen
向心过滤器,xiang'xin'guo'lv'qi
向心式涡轮机,xiang'xin'shi'wo'lun'ji
相移热量调节器,xiang'yi're'liang'tiao'jie'qi
相应当量测温锥,xiang'ying'dang'liang'ce'wen'zhui
相转变,xiang'zhuan'bian
相字,xiang'zi
相组成,xiang'zu'cheng
销,xiao
销衬套,xiao'chen'tao
小齿轮,xiao'chi'lun
小齿轮传动,xiao'chi'lun'chuan'dong
小齿轮传动装置,xiao'chi'lun'chuan'dong'zhuang'zhi
小齿轮线坯,xiao'chi'lun'xian'pi
小齿轮箱,xiao'chi'lun'xiang
消除缩管,xiao'chu'suo'guan
销钉扩管试验,xiao'ding'kuo'guan'shi'yan
销钉装置,xiao'ding'zhuang'zhi
消光法,xiao'guang'fa
小规模试验,xiao'gui'mo'shi'yan
消耗功率,xiao'hao'gong'lv
消火车,xiao'huo'che
消火时间,xiao'huo'shi'jian
消火塔,xiao'huo'ta
销键,xiao'jian
小件,xiao'jian
小浇注要,xiao'jiao'zhu'yao
小砾石,xiao'li'shi
销联接,xiao'lian'jie
销连接,xiao'lian'jie
小路,xiao'lu
小球烧结,xiao'qiu'shao'jie
销式顶推装置,xiao'shi'ding'tui'zhuang'zhi
销式定位装置,xiao'shi'ding'wei'zhuang'zhi
小四边形构件,xiao'si'bian'xing'gou'jian
硝酸钾,xiao'suan'jia
硝酸镨,xiao'suan'pu
硝酸亚铈钾,xiao'suan'ya'shi'jia
销套,xiao'tao
小型减速机,xiao'xing'jian'su'ji
小型手动穿孔机,xiao'xing'shou'dong'chuan'kong'ji
小型轧机中间机座,xiao'xing'zha'ji'zhong'jian'ji'zuo
小型铸造,xiao'xing'zhu'zao
小型转筒式干燥机,xiao'xing'zhuan'tong'shi'gan'zao'ji
小型装置,xiao'xing'zhuang'zhi
销住,xiao'zhu
屑,xie
斜撑,xie'cheng
携带式焊枪,xie'dai'shi'han'qiang
携带式试验设备,xie'dai'shi'shi'yan'she'bei
斜顶,xie'ding
卸垛机,xie'duo'ji
斜方的,xie'fang'de
斜方点阵,xie'fang'dian'zhen
斜方对称,xie'fang'dui'cheng
斜方堆积,xie'fang'dui'ji
斜方结构,xie'fang'jie'gou
斜方晶胞,xie'fang'jing'bao
斜方晶体,xie'fang'jing'ti
斜方排列,xie'fang'pai'lie
斜轧穿孔法,xie'ga'chuan'kong'fa
斜轧扩径机,xie'ga'kuo'jing'ji
卸活塞器,xie'huo'sai'qi
卸矿仓,xie'kuang'cang
卸矿栈桥,xie'kuang'zhan'qiao
斜连刨床,xie'lian'bao'chuang
卸料,xie'liao
卸料仓,xie'liao'cang
斜磷铅铀矿,xie'lin'qian'you'kuang
斜面孔,xie'mian'kong
斜台,xie'tai
卸下,xie'xia
楔形石,xie'xing'shi
泄压,xie'ya
卸载,xie'zai
斜凿面,xie'zao'mian
歇振调制射频,xie'zhen'tiao'zhi'she'pin
芯棒划痕,xin'bang'hua'hen
芯棒拉拔,xin'bang'la'ba
芯棒圆柱形部分,xin'bang'yuan'zhu'xing'bu'fen
芯棒锥头部分,xin'bang'zhui'tou'bu'fen
信号灯,xin'hao'deng
新晶核的产生,xin'jing'he'de'chan'sheng
锌瘤,xin'liu
信息处理机,xin'xi'chu'li'ji
新蒸汽蛇管,xin'zheng'qi'she'guan
型板,xing'ban
行差,xing'cha
行旦齿轮减速机,xing'dan'chi'lun'jian'su'ji
型导槽,xing'dao'cao
型钢公司,xing'gang'gong'si
型钢结构,xing'gang'jie'gou
型钢弯曲机,xing'gang'wan'qu'ji
形管,xing'guan
形接线,xing'jie'xian
星轮式给料器,xing'lun'shi'gei'liao'qi
性能的周期性,xing'neng'de'zhou'qi'xing
性能的周期性重复,xing'neng'de'zhou'qi'xing'chong'fu
性能的周期性复现,xing'neng'de'zhou'qi'xing'fu'xian
性能估价,xing'neng'gu'jia
性能评价,xing'neng'ping'jia
性能曲线,xing'neng'qu'xian
性能曲线法,xing'neng'qu'xian'fa
性能试验,xing'neng'shi'yan
性能说明书,xing'neng'shuo'ming'shu
性能特征,xing'neng'te'zheng
性能图,xing'neng'tu
性能限度,xing'neng'xian'du
性能预测,xing'neng'yu'ce
性能指标,xing'neng'zhi'biao
形皮带清刮器,xing'pi'dai'qing'gua'qi
型坯锻造,xing'pi'duan'zao
型砂混炼机,xing'sha'hun'lian'ji
型箱,xing'xiang
形象,xing'xiang
形销柄,xing'xiao'bing
行星电子,xing'xing'dian'zi
星型发动机,xing'xing'fa'dong'ji
行星式钢球旋锻机,xing'xing'shi'gang'qiu'xuan'duan'ji
行星式钢丝绳捻股机,xing'xing'shi'gang'si'sheng'nian'gu'ji
行星式搅拌器,xing'xing'shi'jiao'ban'qi
行星式冷却机,xing'xing'shi'leng'que'ji
行星式冷轧管机,xing'xing'shi'leng'zha'guan'ji
行星式螺纹铣床,xing'xing'shi'luo'wen'xi'chuang
行星式球同,xing'xing'shi'qiu'tong
行星式热轧机,xing'xing'shi're'zha'ji
行星式压下装置,xing'xing'shi'ya'xia'zhuang'zhi
行星式轧机,xing'xing'shi'zha'ji
行星小齿轮,xing'xing'xiao'chi'lun
行星轧机,xing'xing'zha'ji
行星轧制,xing'xing'zha'zhi
性质上的,xing'zhi'shang'de
修补材料,xiu'bu'cai'liao
修补炉衬,xiu'bu'lu'chen
