阿黑与阿诗玛,a'hei'yu'a'shi'ma
裕二福,yu'er'fu
雨盖,yu'gai
玉棍,yu'gun
御果园,yu'guo'yuan
于海伦,yu'hai'lun
于浩,yu'hao
于鸿滨,yu'hong'bin
于化民,yu'hua'min
鱼枷,yu'jia
玉京道人,yu'jing'dao'ren
豫剧,yu'ju
俞菊笙,yu'ju'sheng
于俊波,yu'jun'bo
于克志,yu'ke'zhi
于魁智,yu'kui'zhi
于堃江,yu'kun'jiang
玉来子,yu'lai'zi
于连仲,yu'lian'zhong
玉玲珑,yu'ling'long
遇龙封官,yu'long'feng'guan
玉门关,yu'men'guan
于奇,yu'qi
于谦,yu'qian
雨伞,yu'san
余三胜,yu'san'sheng
于世德,yu'shi'de
于世猷,yu'shi'you
余叔岩,yu'shu'yan
玉堂春,yu'tang'chun
玉堂春含悲泪忙往前进,yu'tang'chun'han'bei'lei'mang'wang'qian'jin
余文光,yu'wen'guang
于文海,yu'wen'hai
于笑澜,yu'xiao'lan
玉小亭,yu'xiao'ting
余姚腔,yu'yao'qiang
于佑福,yu'you'fu
鱼藻宫,yu'zao'gong
俞振飞,yu'zhen'fei
宇宙锋,yu'zhou'feng
宇宙峰,yu'zhou'feng
余紫云,yu'zi'yun
原板,yuan'ban
院本,yuan'ben
原场,yuan'chang
圆场,yuan'chang
元春起,yuan'chun'qi
袁慧琴,yuan'hui'qin
袁阔成,yuan'kuo'cheng
园林好,yuan'lin'hao
辕门射戟,yuan'men'she'ji
辕门斩子,yuan'men'zhan'zi
袁佩楼,yuan'pei'lou
袁世海,yuan'shi'hai
袁松麒,yuan'song'qi
袁伟庚,yuan'wei'geng
元宵谜,yuan'xiao'mi
袁雪芬,yuan'xue'fen
鸳鸯泪,yuan'yang'lei
鸳鸯楼,yuan'yang'lou
鸳鸯冢,yuan'yang'zhong
袁永根,yuan'yong'gen
粤北采茶戏,yue'bei'cai'cha'xi
乐队场面,yue'dui'chang'mian
月儿如钩遥挂长天,yue'er'ru'gou'yao'gua'chang'tian
钺斧,yue'fu
月华旗,yue'hua'qi
岳家庄,yue'jia'zhuang
越剧,yue'ju
粤剧,yue'ju
岳母刺字,yue'mu'ci'zi
乐器,yue'qi
月琴,yue'qin
粤西白戏,yue'xi'bai'xi
岳西高腔,yue'xi'gao'qiang
岳云鹏,yue'yun'peng
韵白,yun'bai
韵变,yun'bian
晕场,yun'chang
云笏,yun'hu
云锣,yun'luo
云罗伞,yun'luo'san
云罗山,yun'luo'shan
云南华灯戏,yun'nan'hua'deng'xi
云南壮剧,yun'nan'zhuang'ju
云片,yun'pian
云苏调,yun'su'tiao
云童,yun'tong
云遮月,yun'zhe'yue
云帚,yun'zhou
砸夯,za'hang
杂剧,za'ju
在三家店内上了刑,zai'san'jia'dian'nei'shang'le'xing
在头上整整乌纱帽,zai'tou'shang'zheng'zheng'wu'sha'mao
宰相刘罗锅,zai'xiang'liu'luo'guo
臧洪,zang'hong
枣梆,zao'bang
早也盼晚也盼,zao'ye'pan'wan'ye'pan
赠绨袍,zeng'ti'pao
铡包勉,zha'bao'mian
铡刀,zha'dao
扎多衣,zha'duo'yi
铡美案,zha'mei'an
铡判官,zha'pan'guan
摘缨会,zhai'ying'hui
战北原,zhan'bei'yuan
战长沙,zhan'chang'sha
战滁州,zhan'chu'zhou
战樊城,zhan'fan'cheng
展功,zhan'gong
斩黄袍,zhan'huang'pao
斩皇袍,zhan'huang'pao
战冀州,zhan'ji'zhou
战金山,zhan'jin'shan
斩经堂,zhan'jing'tang
站立店中用目洒,zhan'li'dian'zhong'yong'mu'sa
斩马谡,zhan'ma'su
战蒲关,zhan'pu'guan
战濮阳,zhan'pu'yang
战太平,zhan'tai'ping
战宛城,zhan'wan'cheng
战渭南,zhan'wei'nan
湛湛青天不可欺,zhan'zhan'qing'tian'bu'ke'qi
斩招,zhan'zhao
帐,zhang
张保明,zhang'bao'ming
张宝如,zhang'bao'ru
张宝玙,zhang'bao'yu
张宝珍,zhang'bao'zhen
张宝珠,zhang'bao'zhu
张伯华,zhang'bo'hua
张伯俊,zhang'bo'jun
张伯涛,zhang'bo'tao
张伯勋,zhang'bo'xun
张弛,zhang'chi
张春华,zhang'chun'hua
张春奎,zhang'chun'kui
张春生,zhang'chun'sheng
张春旺,zhang'chun'wang
张存珠,zhang'cun'zhu
张德俊,zhang'de'jun
张德泉,zhang'de'quan
张德武,zhang'de'wu
张东波,zhang'dong'bo
张二奎,zhang'er'kui
张福祥,zhang'fu'xiang
张贡赫,zhang'gong'he
张广发,zhang'guang'fa
张宏,zhang'hong
张鸿滨,zhang'hong'bin
张洪刚,zhang'hong'gang
张火丁,zhang'huo'ding
张继贤,zhang'ji'xian
张继英,zhang'ji'ying
张嘉利,zhang'jia'li
张建峰,zhang'jian'feng
张建国,zhang'jian'guo
张建忠,zhang'jian'zhong
张杰,zhang'jie
张杰尧,zhang'jie'yao
张金玉,zhang'jin'yu
张君秋,zhang'jun'qiu
张楷,zhang'kai
张克,zhang'ke
张奎清,zhang'kui'qing
张蕾,zhang'lei
张立林,zhang'li'lin
张立森,zhang'li'sen
张鲁,zhang'lu
张茂起,zhang'mao'qi
张明新,zhang'ming'xin
张乃勤,zhang'nai'qin
张盘,zhang'pan
张佩如,zhang'pei'ru
张千,zhang'qian
张庆济,zhang'qing'ji
张庆森,zhang'qing'sen
张瑞田,zhang'rui'tian
张三禄,zhang'san'lu
掌扇,zhang'shan
张善曾,zhang'shan'ceng
张善增,zhang'shan'zeng
张少清,zhang'shao'qing
张绍堂,zhang'shao'tang
张世芳,zhang'shi'fang
张寿臣,zhang'shou'chen
张树茂,zhang'shu'mao
张书新,zhang'shu'xin
张松青,zhang'song'qing
张庭萱,zhang'ting'xuan
张万年,zhang'wan'nian
张闻斌,zhang'wen'bin
张闻得,zhang'wen'de
张文甫,zhang'wen'fu
张文辉,zhang'wen'hui
张文明,zhang'wen'ming
张文琪,zhang'wen'qi
张文茹,zhang'wen'ru
张文顺,zhang'wen'shun
张文习,zhang'wen'xi
张文霞,zhang'wen'xia
张文学,zhang'wen'xue
张喜林,zhang'xi'lin
张笑非,zhang'xiao'fei
张笑勤,zhang'xiao'qin
张兴海,zhang'xing'hai
张兴汉,zhang'xing'han
张兴华,zhang'xing'hua
张星武,zhang'xing'wu
张学彦,zhang'xue'yan
张雅成,zhang'ya'cheng
张雅璐,zhang'ya'lu
张雅升,zhang'ya'sheng
张尧,zhang'yao
张义勤,zhang'yi'qin
张永久,zhang'yong'jiu
张永熙,zhang'yong'xi
张玉琪,zhang'yu'qi
张玉堂,zhang'yu'tang
张云雷,zhang'yun'lei
张云武,zhang'yun'wu
张振圻,zhang'zhen'qi
张志宽,zhang'zhi'kuan
张志强,zhang'zhi'qiang
张志田,zhang'zhi'tian
赵霭如,zhao'ai'ru
赵保成,zhao'bao'cheng
赵宝贵,zhao'bao'gui
赵葆秀,zhao'bao'xiu
赵辈亭,zhao'bei'ting
赵本山,zhao'ben'shan
赵斌,zhao'bin
赵博,zhao'bo
赵传璋,zhao'chuan'zhang
赵春田,zhao'chun'tian
赵德超,zhao'de'chao
赵得亮,zhao'de'liang
赵福玉,zhao'fu'yu
赵广山,zhao'guang'shan
赵恒,zhao'heng
赵家楼,zhao'jia'lou
赵津生,zhao'jin'sheng
赵晶,zhao'jing
昭君出塞,zhao'jun'chu'sai
赵兰亭,zhao'lan'ting
赵立梧,zhao'li'wu
赵连功,zhao'lian'gong
赵连升,zhao'lian'sheng
赵亮,zhao'liang
赵龙军,zhao'long'jun
赵龙君,zhao'long'jun
赵佩茹,zhao'pei'ru
赵荣全,zhao'rong'quan
赵氏孤儿,zhao'shi'gu'er
赵世林,zhao'shi'lin
赵世忠,zhao'shi'zhong
赵寿舫,zhao'shou'fang
赵天寿,zhao'tian'shou
赵卫国,zhao'wei'guo
赵伟洲,zhao'wei'zhou
招文袋,zhao'wen'dai
赵文浩,zhao'wen'hao
赵文岚,zhao'wen'lan
赵文启,zhao'wen'qi
赵稳增,zhao'wen'zeng
赵小林,zhao'xiao'lin
赵心敏,zhao'xin'min
赵秀君,zhao'xiu'jun
赵旭光,zhao'xu'guang
赵炎,zhao'yan
赵燕侠,zhao'yan'xia
朝阳沟,zhao'yang'gou
赵幼樵,zhao'you'qiao
赵玉贵,zhao'yu'gui
赵云侠,zhao'yun'xia
赵振铎,zhao'zhen'duo
折,zhe
这时候孤才把这宽心放,zhe'shi'hou'gu'cai'ba'zhe'kuan'xin'fang
这兄妹本是夫人话,zhe'xiong'mei'ben'shi'fu'ren'hua
褶子,zhe'zi
折子戏,zhe'zi'xi
真假美猴王,zhen'jia'mei'hou'wang
甄奇,zhen'qi
真嗓,zhen'sang
真声,zhen'sheng
镇潭州,zhen'tan'zhou
珍珠烈火旗,zhen'zhu'lie'huo'qi
珍珠扇,zhen'zhu'shan
整霸,zheng'ba
正霸,zheng'ba
正旦,zheng'dan
郑法祥,zheng'fa'xiang
郑福山,zheng'fu'shan
正宫调,zheng'gong'diao
正工调,zheng'gong'tiao
郑光祖,zheng'guang'zu
郑松涛,zheng'song'tao
郑天庸,zheng'tian'yong
郑文昆,zheng'wen'kun
郑文喜,zheng'wen'xi
郑祥泰,zheng'xiang'tai
郑小山,zheng'xiao'shan
郑仲衡,zheng'zhong'heng
正字戏,zheng'zi'xi
智化盗冠,zhi'hua'dao'guan
只盼着深山出太阳,zhi'pan'zhe'shen'shan'chu'tai'yang
智取北湖州,zhi'qu'bei'hu'zhou
智取威虎山,zhi'qu'wei'hu'shan
中场诗,zhong'chang'shi
中华戏曲专科学校,zhong'hua'xi'qu'zhuan'ke'xue'xiao
钟馗嫁妹,zhong'kui'jia'mei
钟嗣成,zhong'si'cheng
重头戏,zhong'tou'xi
忠孝全,zhong'xiao'quan
中州韵,zhong'zhou'yun
周德山,zhou'de'shan
周桂林,zhou'gui'lin
周慕连,zhou'mu'lian
周琪,zhou'qi
周伟,zhou'wei
周文游,zhou'wen'you
周信芳,zhou'xin'fang
周印金,zhou'yin'jin
周志光,zhou'zhi'guang
轴子,zhou'zi
朱德仓,zhu'de'cang
朱德刚,zhu'de'gang
朱凤山,zhu'feng'shan
诸宫调,zhu'gong'diao
朱桂芳,zhu'gui'fang
朱海棠,zhu'hai'tang
祝景荃,zhu'jing'quan
朱君贵,zhu'jun'gui
朱阔泉,zhu'kuo'quan
珠帘秀,zhu'lian'xiu
珠帘寨,zhu'lian'zhai
竹林计,zhu'lin'ji
竹马戏,zhu'ma'xi
朱奴儿,zhu'nu'er
朱琦,zhu'qi
朱庆山,zhu'qing'shan
朱砂痣,zhu'sha'zhi
朱绍文,zhu'shao'wen
朱世慧,zhu'shi'hui
朱素云,zhu'su'yun
烛台,zhu'tai
住头,zhu'tou
朱文先,zhu'wen'xian
朱文正,zhu'wen'zheng
朱相臣,zhu'xiang'chen
朱永福,zhu'yong'fu
朱永义,zhu'yong'yi
朱贞富,zhu'zhen'fu
朱周义,zhu'zhou'yi
赚历城,zhuan'li'cheng
赚文娟,zhuan'wen'juan
专用霸,zhuan'yong'ba
撞金钟,zhuang'jin'zhong
壮剧,zhuang'ju
壮剧沙剧,zhuang'ju'sha'ju
庄佩臣,zhuang'pei'chen
状元媒,zhuang'yuan'mei
状元谱,zhuang'yuan'pu
状元印,zhuang'yuan'yin
状纸,zhuang'zhi
撞钟,zhuang'zhong
追韩信,zhui'han'xin
捉放曹,zhuo'fang'cao
桌围椅帔,zhuo'wei'yi'pei
桌帷椅帔,zhuo'wei'yi'pei
卓文君,zhuo'wen'jun
桌椅,zhuo'yi
自报家门,zi'bao'jia'men
自从公子南京去,zi'cong'gong'zi'nan'jing'qu
字腹,zi'fu
紫金棍,zi'jin'gun
自那日与徐杨决裂以后,zi'na'ri'yu'xu'yang'jue'lie'yi'hou
字头,zi'tou
字尾,zi'wei
紫阳民歌剧,zi'yang'min'ge'ju
自幼儿蒙嫂娘训教抚养,zi'you'er'meng'sao'niang'xun'jiao'fu'yang
宗成滨,zong'cheng'bin
总管事,zong'guan'shi
走板,zou'ban
走边,zou'bian
邹德江,zou'de'jiang
走马长锤,zou'ma'chang'chui
走马锣鼓,zou'ma'luo'gu
走麦城,zou'mai'cheng
钻锅,zuan'guo
醉打山门,zui'da'shan'men
醉太平,zui'tai'ping
罪衣罪裙,zui'yi'zui'qun
坐场诗,zuo'chang'shi
左春来,zuo'chun'lai
做功戏,zuo'gong'xi
坐楼杀惜,zuo'lou'sha'xi
左嗓,zuo'sang
左叔小花椒,zuo'shu'xiao'hua'jiao
坐寨,zuo'zhai
