愛愛惜,ai'ai'xi
食屎食着豆,shi'shi'shi'zhe'dou
濕濕碎,shi'shi'sui
世叔,shi'shu
食水太深,shi'shui'tai'shen
食死貓,shi'si'mao
濕碎,shi'sui
屎塔,shi'ta
士撻膽,shi'ta'dan
屎塔蓋,shi'ta'gai
師太,shi'tai
失蹄,shi'ti
蒔田,shi'tian
使銅銀夾大聲,shi'tong'yin'ga'da'sheng
事頭,shi'tou
事頭婆,shi'tou'po
食碗面反碗底,shi'wan'mian'fan'wan'di
食枉米,shi'wang'mi
實穩,shi'wen
食西北風,shi'xi'bei'feng
石罅米,shi'xia'mi
實行,shi'xing
勢凶,shi'xiong
勢凶夾狼,shi'xiong'ga'lang
識嘢,shi'ye
師爺,shi'ye
食夜粥,shi'ye'zhou
使用,shi'yong
誓願,shi'yuan
誓願當食生菜,shi'yuan'dang'shi'sheng'cai
失運,shi'yun
時症,shi'zheng
適値,shi'zhi
世侄,shi'zhi
濕滯十字鋤,shi'zhi'shi'zi'chu
實枳枳,shi'zhi'zhi
食粥,shi'zhou
侍仔,shi'zi
十足十,shi'zu'shi
識做,shi'zuo
手坳,shou'ao
手板,shou'ban
手板堂,shou'ban'tang
首本,shou'ben
手臂,shou'bi
瘦擘擘,shou'bo'bo
手掣,shou'che
手搊,shou'chou
手袋,shou'dai
收檔,shou'dang
收得,shou'de
手多多,shou'duo'duo
手骨,shou'gu
瘦骨,shou'gu
瘦骨如柴煲碌竹,shou'gu'ru'chai'bao'lu'zhu
瘦骨仙,shou'gu'xian
手瓜,shou'gua
手瓜硬,shou'gua'ying
手痕,shou'hen
手甲,shou'jia
手巾,shou'jin
手緊,shou'jin
手巾仔,shou'jin'zi
受力,shou'li
受落,shou'luo
收買佬,shou'mai'lao
瘦蜢蜢,shou'meng'meng
守清,shou'qing
收山,shou'shan
收聲,shou'sheng
手勢,shou'shi
手疏,shou'shu
壽頭,shou'tou
手襪,shou'wa
收尾,shou'wei
手尾手眼,shou'wei'shou'yan
受唔住,shou'wu'zhu
收綫,shou'xian
手信,shou'xin
壽星公壽仔,shou'xing'gong'shou'zi
瘦削,shou'xue
手揗腳震,shou'xun'jiao'zhen
手硬,shou'ying
手影機,shou'ying'ji
手踭,shou'zheng
手指公,shou'zhi'gong
手指模,shou'zhi'mo
手指尾,shou'zhi'wei
手指罅,shou'zhi'xia
手指罅疏,shou'zhi'xia'shu
手重,shou'zhong
手作,shou'zuo
手作仔,shou'zuo'zi
梳菜,shu'cai
梳打,shu'da
熟檔,shu'dang
輸賭,shu'du
疏肝,shu'gan
叔公,shu'gong
書舘,shu'guan
數還數路還路,shu'hai'shu'lu'hai'lu
疏乎,shu'hu
梳乎釐,shu'hu'xi
梳化,shu'hua
熟客仔熟行,shu'ke'zi'shu'xing
疏嘞,shu'lei
疏籬,shu'li
疏哩大,shu'li'da
薯莨,shu'liang
熟落,shu'luo
鼠摸,shu'mo
叔婆,shu'po
梳起,shu'qi
輸蝕,shu'shi
疏堂,shu'tang
薯頭,shu'tou
樹頭,shu'tou
數尾,shu'wei
熟性,shu'xing
熟鹽,shu'yan
熟煙,shu'yan
書友輸,shu'you'shu
叔仔,shu'zi
耍手,shua'shou
耍太極,shua'tai'ji
衰到貼地,shuai'dao'tie'di
甩底,shuai'di
衰格,shuai'ge
衰公,shuai'gong
衰鬼竇,shuai'gui'dou
甩鉸,shuai'jiao
衰女,shuai'nv
衰女包,shuai'nv'bao
衰牌,shuai'pai
甩皮甩骨,shuai'pi'shuai'gu
衰婆,shuai'po
甩青,shuai'qing
衰人,shuai'ren
衰神,shuai'shen
甩身,shuai'shen
甩繩馬騮,shuai'sheng'ma'liu
衰衰噉,shuai'shuai'dan
甩拖,shuai'tuo
甩鬚,shuai'xu
蟀子,shuai'zi
衰仔,shuai'zi
爽脆,shuang'cui
雙房,shuang'fang
雙毫,shuang'hao
爽口,shuang'kou
爽利,shuang'li
雙糧,shuang'liang
雙皮奶,shuang'pi'nai
雙企人,shuang'qi'ren
爽手,shuang'shou
雙眼簷,shuang'yan'yan
雙窬牆,shuang'yu'qiang
雙蒸,shuang'zheng
水抱,shui'bao
水螆,shui'ci
水蛋,shui'dan
水斗,shui'dou
水豆腐,shui'dou'fu
水瓜,shui'gua
水鬼人情,shui'gui'ren'qing
水過鴨背,shui'guo'ya'bei
水橫枝,shui'heng'zhi
水喉,shui'hou
說話,shui'hua
水鷄,shui'ji
水腳,shui'jiao
水浸,shui'jin
水靜河飛,shui'jing'he'fei
水客,shui'ke
水殼,shui'ke
水泡,shui'pao
水柿,shui'shi
水汪,shui'wang
水尾水皮,shui'wei'shui'pi
水洗都唔清,shui'xi'dou'wu'qing
水嘢,shui'ye
水魚,shui'yu
水圳,shui'zhen
順檔,shun'dang
順得哥情失嫂意,shun'de'ge'qing'shi'sao'yi
順風駛,shun'feng'shi
順攤,shun'tan
四便,si'bian
四邊四便,si'bian'si'bian
似層層,si'ceng'ceng
死鏟,si'chan
死黨死火,si'dang'si'huo
絲髮,si'fa
四方,si'fang
四方辮頂,si'fang'bian'ding
四方木,si'fang'mu
死估估,si'gu'gu
死鬼,si'gui
私伙局,si'huo'ju
死鷄撐飯蓋,si'ji'cheng'fan'gai
死鷄撐硬腳,si'ji'cheng'ying'jiao
私家,si'jia
死絕種,si'jue'zhong
四塊半,si'kuai'ban
死佬,si'lao
死擂,si'lei
司馬秤,si'ma'cheng
死妹釘,si'mei'ding
似模似樣,si'mo'si'yang
絲母,si'mu
死牛一便頸,si'niu'yi'bian'geng
死女包,si'nv'bao
撕票,si'piao
死橋,si'qiao
死人,si'ren
死人頭,si'ren'tou
死蛇爛鱔,si'she'lan'shan
死死地氣,si'si'de'qi
死死氣,si'si'qi
思思縮縮,si'si'su'su
死死吓,si'si'xia
思縮,si'su
四圍,si'wei
四眼,si'yan
似樣,si'yang
四邑,si'yi
思疑,si'yi
私已,si'yi
四正,si'zheng
四周圍,si'zhou'wei
似足,si'zu
鬆婄,song'bu
松柴,song'chai
鬆啲,song'di
鬆骨,song'gu
鬆化,song'hua
松鷄,song'ji
送口,song'kou
送口菓,song'kou'guo
松毛,song'mao
鬆人,song'ren
餿包,sou'bao
縮膊,su'bo
縮骨,su'gu
縮骨遮,su'gu'zhe
蘇蝦仔,su'ha'zi
塑膠,su'jiao
縮開啲,su'kai'di
縮埋一嚿,su'mai'yi'huo
縮埋一字角,su'mai'yi'zi'jiao
粟米,su'mi
縮沙,su'sha
縮數,su'shu
縮水,su'shui
縮頭龜,su'tou'gui
蘇州屎,su'zhou'shi
算度,suan'du
酸梅,suan'mei
算數,suan'shu
算死草,suan'si'cao
酸餿餲臭,suan'sou'ai'chou
酸餿爛臭,suan'sou'lan'chou
蒜頭,suan'tou
酸微草,suan'wei'cao
酸微微酸微仔,suan'wei'wei'suan'wei'zi
酸枝,suan'zhi
蒜子,suan'zi
蒜子肉,suan'zi'rou
隨得,sui'de
碎濕濕,sui'shi'shi
碎吟吟,sui'yin'yin
碎紙,sui'zhi
損爛,sun'lan
損手爛腳,sun'shou'lan'jiao
唆擺,suo'bai
鎖鏈,suo'lian
嗍氣,suo'qi
鎖匙,suo'shi
獻世,suo'shi
索嘢,suo'ye
索油,suo'you
撻沙魚,ta'sha'yu
他條,ta'tiao
撻頭,ta'tou
沓正,ta'zheng
太公,tai'gong
太過,tai'guo
太空褸,tai'kong'lv
檯面,tai'mian
太平鋪,tai'ping'pu
太婆,tai'po
檯檯櫈櫈,tai'tai'deng'deng
太子爺,tai'zi'ye
攤檔,tan'dang
貪得意,tan'de'yi
痰罐,tan'guan
探家,tan'jia
貪口爽,tan'kou'shuang
探盤,tan'pan
探熱針,tan're'zhen
嘆世界,tan'shi'jie
攤直,tan'zhi
糖環,tang'huan
劏車劏光豬,tang'ju'tang'guang'zhu
趟櫳,tang'long
唐人,tang'ren
唐山,tang'shan
趟聲,tang'sheng
塘虱,tang'shi
糖水,tang'shui
糖水舖,tang'shui'pu
劏死牛,tang'si'niu
唐裝,tang'zhuang
淘古井,tao'gu'jing
特登,te'deng
藤喼,teng'jie
藤條,teng'tiao
銻煲,ti'bao
剃刀門楣,ti'dao'men'mei
踢竇,ti'dou
趯更,ti'geng
梯橫,ti'heng
踢腳,ti'jiao
剔手邊,ti'shou'bian
剃鬚,ti'xu
剃眼眉,ti'yan'mei
天鵝絨,tian'e'rong
添飯,tian'fan
天光,tian'guang
天光大白,tian'guang'da'bai
天光墟,tian'guang'xu
田鷄東,tian'ji'dong
天腳底,tian'jiao'di
天井,tian'jing
天開眼,tian'kai'yan
天口,tian'kou
田螺,tian'luo
天拿水,tian'na'shui
天棚,tian'peng
天時,tian'shi
天時旱,tian'shi'han
天時冷,tian'shi'leng
天時熱,tian'shi're
天時暑熱,tian'shi'shu're
甜耶耶,tian'ye'ye
甜曳曳,tian'ye'ye
甜竹,tian'zhu
跳槽,tiao'cao
跳樓貨,tiao'lou'huo
跳皮,tiao'pi
條氣唔順,tiao'qi'wu'shun
鐵筆,tie'bi
貼錯門神,tie'cu'men'shen
鐵錢,tie'qian
貼錢買罪受,tie'qian'mai'zui'shou
鐵沙梨,tie'sha'li
貼士,tie'shi
貼堂,tie'tang
貼現,tie'xian
鐵閘,tie'ya
鐵支,tie'zhi
鐵嘴鷄,tie'zui'ji
聽朝,ting'chao
聽朝早,ting'chao'zao
聽過隔籬,ting'guo'ge'li
艇家,ting'jia
聽講,ting'jiang
聽尼士,ting'ni'shi
聽日,ting'ri
聽晚,ting'wan
聽聞,ting'wen
聽聞講,ting'wen'jiang
聽暇,ting'xia
聽早,ting'zao
艇仔粥,ting'zi'zhou
通菜,tong'cai
通街,tong'jie
同居,tong'ju
通拉,tong'la
同撈同煲,tong'lao'tong'bao
通竉,tong'long
同埋,tong'mai
銅盤,tong'pan
通氣,tong'qi
通勝,tong'sheng
通水,tong'shui
同屋,tong'wu
同屋主,tong'wu'zhu
銅仙,tong'xian
桐油灰,tong'you'hui
童子鷄,tong'zi'ji
偸薄,tou'bao
頭崩額裂,tou'beng'e'lie
頭婄,tou'bu
頭刺,tou'ci
頭大,tou'da
頭耷耷,tou'da'da
透大氣,tou'da'qi
透火,tou'huo
偸鷄,tou'ji
頭車,tou'ju
頭殼,tou'ke
頭殼頂,tou'ke'ding
頭蠟,tou'la
頭路,tou'lu
頭鑼,tou'luo
頭毛,tou'mao
頭泥,tou'ni
頭皮,tou'pi
透氣,tou'qi
投入,tou'ru
頭牲,tou'sheng
偸師,tou'shi
頭頭,tou'tou
頭凸額,tou'tu'e
頭尾,tou'wei
頭先頭長仔,tou'xian'tou'chang'zi
投注,tou'zhu
土狗,tu'gou
土佬,tu'lao
土鯪魚,tu'ling'yu
土談,tu'tan
突兀,tu'wu
團年,tuan'nian
褪腸頭,tui'chang'tou
褪舦,tui'tai
推搪,tui'tang
吞槍,tun'qiang
砣錶,tuo'biao
托大腳,tuo'da'jiao
拖艔,tuo'dao
拖肥糖,tuo'fei'tang
托手踭,tuo'shou'zheng
拖手仔,tuo'shou'zi
佗衰,tuo'shuai
托水龍,tuo'shui'long
陀陀擰,tuo'tuo'ning
拖友,tuo'you
瓦煲,wa'bao
瓦背,wa'bei
瓦背頂,wa'bei'ding
瓦罉,wa'cheng
襪箍,wa'gu
瓦坑,wa'keng
瓦簷口,wa'yan'kou
瓦渣,wa'zha
瓦渣崗,wa'zha'gang
外便,wai'bian
外出,wai'chu
外底,wai'di
外父,wai'fu
外家,wai'jia
外江,wai'jiang
外賣,wai'mai
外母,wai'mu
喎妥,wai'tuo
歪烏連,wai'wu'lian
萬大有我,wan'da'you'wo
晚黑,wan'hei
挽手,wan'shou
萬壽菓,wan'shou'guo
晚頭黑,wan'tou'hei
晚頭夜,wan'tou'ye
玩完,wan'wan
玩新人,wan'xin'ren
萬字夾,wan'zi'ga
網絡,wang'lao
王老五,wang'lao'wu
往時,wang'shi
望天打卦,wang'tian'da'gua
往陣時,wang'zhen'shi
爲得過,wei'de'guo
威化餅,wei'hua'bing
喂嘩鬼震,wei'hua'gui'zhen
未見官府先打三板未有耐,wei'jian'guan'fu'xian'da'san'ban'wei'you'nai
尾車,wei'ju
微菌,wei'jun
爲口奔馳,wei'kou'ben'chi
尾龍骨,wei'long'gu
尾樓,wei'lou
尾禡,wei'ma
爲乜,wei'mie
爲皮,wei'pi
威士,wei'shi
爲食,wei'shi
爲食貓,wei'shi'mao
威水,wei'shui
危危乎,wei'wei'hu
威吔,wei'ye
尾油,wei'you
爲眞,wei'zhen
爲咗,wei'zuo
搵笨,wen'ben
蚊蟲,wen'chong
蚊螆,wen'ci
搵丁,wen'ding
蚊瞓,wen'fen
文化裇,wen'hua'xu
文鷄,wen'ji
搵老襯,wen'lao'chen
搵竉路,wen'long'lu
搵米路,wen'mi'lu
搵錢,wen'qian
搵食,wen'shi
瘟瘟沌沌,wen'wen'dun'dun
搵嘢做,wen'ye'zuo
文員,wen'yuan
穩陣,wen'zhen
蕹菜,weng'cai
我哋,wo'di
窩釘,wo'ding
唔畀面,wu'bi'mian
唔曾,wu'ceng
唔單祇,wu'chan'chi
唔臭米氣,wu'chou'mi'qi
唔臭鍟,wu'chou'sheng
唔打得埋,wu'da'de'mai
唔打緊,wu'da'jin
唔到你,wu'dao'ni
唔得,wu'de
唔得閒,wu'de'jian
唔得切,wu'de'qie
唔等使,wu'deng'shi
唔抵,wu'di
唔抵得,wu'di'de
唔抵得頸,wu'di'de'geng
唔抵得佢,wu'di'de'qu
唔抵得諗,wu'di'de'shen
唔嗲唔弔,wu'dia'wu'di
唔定,wu'ding
唔對路,wu'dui'lu
唔多,wu'duo
唔多唔少,wu'duo'wu'shao
唔忿氣,wu'fen'qi
唔夾,wu'ga
唔該唔該晒,wu'gai'wu'gai'shai
唔該先,wu'gai'xian
唔夠,wu'gou
唔夠喉,wu'gou'hou
唔夠氣,wu'gou'qi
唔夠佢嚟,wu'gou'qu'li
唔夠眼,wu'gou'yan
唔怪得,wu'guai'de
唔怪之,wu'guai'zhi
唔怪之得,wu'guai'zhi'de
唔關事,wu'guan'shi
烏龜,wu'gui
唔好,wu'hao
唔好搞我,wu'hao'gao'wo
唔好手腳,wu'hao'shou'jiao
唔恨,wu'hen
唔化,wu'hua
唔話得,wu'hua'de
五花腩,wu'hua'nan
唔化算,wu'hua'suan
唔記得,wu'ji'de
唔及得,wu'ji'de
唔覺眼,wu'jiao'yan
唔覺意,wu'jiao'yi
唔淨祇,wu'jing'chi
唔經唔覺,wu'jing'wu'jiao
唔拘,wu'ju
唔聚財,wu'ju'cai
唔開氣,wu'kai'qi
唔開胃,wu'kai'wei
烏襤苟褸,wu'lan'gou'lv
唔撈,wu'lao
烏喱單刀,wu'li'chan'dao
烏喱馬杈,wu'li'ma'cha
唔理天胎,wu'li'tian'tai
烏劣劣,wu'lie'lie
五柳魚,wu'liu'yu
烏龍,wu'long
烏龍王,wu'long'wang
唔埋得個鼻,wu'mai'de'ge'bi
烏面貓,wu'mian'mao
唔嬲,wu'niao
屋企,wu'qi
唔切,wu'qie
唔清唔楚,wu'qing'wu'chu
唔湯唔水唔通,wu'shang'wu'shui'wu'tong
唔少得,wu'shao'de
唔生性,wu'sheng'xing
唔識,wu'shi
唔使,wu'shi
扤失,wu'shi
唔使恨,wu'shi'hen
唔使慌,wu'shi'huang
唔使計,wu'shi'ji
唔識駕步,wu'shi'jia'bu
唔使拘,wu'shi'ju
唔使指意,wu'shi'zhi'yi
唔熟性,wu'shu'xing
唔衰攞嚟衰,wu'shuai'luo'li'shuai
唔似,wu'si
唔似樣,wu'si'yang
唔通氣,wu'tong'qi
唔妥,wu'tuo
唔係,wu'xi
唔係噉話,wu'xi'dan'hua
唔係嘅話,wu'xi'ge'hua
唔係幾,wu'xi'ji
唔係喇,wu'xi'la
唔係路,wu'xi'lu
唔係人噉品,wu'xi'ren'dan'pin
唔係手腳,wu'xi'shou'jiao
唔係嘢少,wu'xi'ye'shao
唔相干,wu'xiang'gan
勿歇,wu'xie
唔啱,wu'yan
唔啱合尺,wu'yan'he'chi
唔啱蕎,wu'yan'qiao
唔啱牙,wu'yan'ya
物業,wu'ye
烏蠅,wu'ying
烏杬,wu'yuan
五月節,wu'yue'jie
唔在講,wu'zai'jiang
唔在理,wu'zai'li
唔在意,wu'zai'yi
污糟,wu'zao
污糟邋遢,wu'zao'la'ta
五爪金龍,wu'zhao'jin'long
唔爭在,wu'zheng'zai
唔制,wu'zhi
唔知醜,wu'zhi'chou
唔制得過,wu'zhi'de'guo
唔知好醜,wu'zhi'hao'chou
唔知死,wu'zhi'si
唔知死字點寫,wu'zhi'si'zi'dian'xie
唔知醒,wu'zhi'xing
唔志在,wu'zhi'zai
唔中用,wu'zhong'yong
屋主,wu'zhu
烏啄啄烏燈黑火,wu'zhuo'zhuo'wu'deng'hei'huo
唔自然,wu'zi'ran
唔自在唔精神,wu'zi'zai'wu'jing'shen
洗白白,xi'bai'bai
西餅,xi'bing
細膽,xi'dan
係噉話,xi'dan'hua
係噉先,xi'dan'xian
係噉意,xi'dan'yi
釐戥,xi'deng
細豆芽菜,xi'dou'ya'cai
係都要,xi'dou'yao
洗粉,xi'fen
噏風,xi'feng
係咁大,xi'gan'da
細個,xi'ge
細個仔,xi'ge'zi
細姐,xi'jie
息口,xi'kou
細佬,xi'lao
細佬哥,xi'lao'ge
細佬哥頭,xi'lao'ge'tou
係嘞,xi'lei
犀利,xi'li
稀冧冧,xi'lin'lin
細路,xi'lu
細路女,xi'lu'nv
細路仔,xi'lu'zi
係咪,xi'mi
西南二伯父,xi'nan'er'bo'fu
係呢,xi'ne
溪錢,xi'qian
係人都,xi'ren'dou
洗衫板,xi'shan'ban
蓆攝底,xi'she'di
洗身,xi'shen
細食,xi'shi
細時,xi'shi
翕手,xi'shou
細餸,xi'song
膝頭,xi'tou
膝頭大過髀,xi'tou'da'guo'bi
膝頭哥,xi'tou'ge
係威係勢,xi'wei'xi'shi
西文,xi'wen
細蚊仔,xi'wen'zi
西斜西紙,xi'xie'xi'zhi
翕眼,xi'yan
西洋菜,xi'yang'cai
係嗻,xi'zhe
西裝,xi'zhuang
西裝褲,xi'zhuang'ku
西裝友,xi'zhuang'you
下扒,xia'ba
下扒輕輕,xia'ba'qing'qing
下半晝,xia'ban'zhou
下便,xia'bian
下低,xia'di
下底,xia'di
下間,xia'jian
下欄,xia'lan
下氣,xia'qi
下下,xia'xia
烚烚,xia'xia
下晏,xia'yan
下陰,xia'yin
下晝,xia'zhou
綫步,xian'bu
先嗰排,xian'ge'pai
鮮菇冧,xian'gu'lin
綫絡,xian'lao
綫轆,xian'lu
嫌錢腥,xian'qian'xing
綫衫,xian'shan
先生,xian'sheng
仙屎,xian'shi
現時,xian'shi
先時先一排,xian'shi'xian'yi'pai
弦索,xian'suo
鮮甜,xian'tian
銜頭,xian'tou
先頭,xian'tou
蜆鴨,xian'ya
現銀,xian'yin
現暫,xian'zan
先至,xian'zhi
相當之,xiang'dang'zhi
相睇相宜,xiang'di'xiang'yi
香港地,xiang'gang'di
香港腳,xiang'gang'jiao
想話,xiang'hua
香筓,xiang'ji
香筓腳,xiang'ji'jiao
香口膠,xiang'kou'jiao
鄉里,xiang'li
香料粉,xiang'liao'fen
香爐,xiang'lu
香肉,xiang'rou
想食人隻車,xiang'shi'ren'zhi'ju
巷豚,xiang'tun
想唔,xiang'wu
香蕈,xiang'xun
香牙蕉,xiang'ya'jiao
相與,xiang'yu
小巴,xiao'ba
小兒科,xiao'er'ke
小鬼陞城隍,xiao'gui'sheng'cheng'huang
笑口噬噬,xiao'kou'shi'shi
笑口吟吟,xiao'kou'yin'yin
笑口棗,xiao'kou'zao
殽框,xiao'kuang
小氣,xiao'qi
笑甩棚牙,xiao'shuai'peng'ya
瀟湘,xiao'xiang
笑笑口,xiao'xiao'kou
小學鷄,xiao'xue'ji
小厴,xiao'yan
宵夜消夜,xiao'ye'xiao'ye
笑吟吟,xiao'yin'yin
消滯,xiao'zhi
寫包單,xie'bao'chan
卸膊,xie'bo
鞋抽,xie'chou
蟹弶,xie'jiang
歇腳,xie'jiao
斜喱眼,xie'li'yan
鞋碼,xie'ma
些少,xie'shao
歇手,xie'shou
歇宿,xie'su
些釐酒,xie'xi'jiu
蟹厴,xie'yan
蟹爪筆,xie'zhao'bi
鞋踭,xie'zheng
寫字樓,xie'zi'lou
新潮,xin'chao
心大心細,xin'da'xin'xi
心淡,xin'dan
心多,xin'duo
心多多,xin'duo'duo
新婦,xin'fu
心甘,xin'gan
心肝椗,xin'gan'ding
心掛掛,xin'gua'gua
心喐喐,xin'guo'guo
心火盛,xin'huo'sheng
心機,xin'ji
新淨,xin'jing
心口,xin'kou
新郞哥,xin'lang'ge
新曆年,xin'li'nian
新年頭,xin'nian'tou
信皮,xin'pi
新人,xin'ren
信肉,xin'rou
心實,xin'shi
新屎坑,xin'shi'keng
新屍蘿蔔皮新地,xin'shi'luo'bo'pi'xin'di
心水,xin'shui
心水清,xin'shui'qing
心思思,xin'si'si
新聞紙,xin'wen'zhi
心息,xin'xi
新鮮滾熱辣,xin'xian'gun're'la
新鮮熱辣,xin'xian're'la
新正頭,xin'zheng'tou
心知肚明,xin'zhi'du'ming
行差踏錯,xing'cha'ta'cu
行出行入,xing'chu'xing'ru
行船,xing'chuan
行檔,xing'dang
行得埋,xing'de'mai
醒定,xing'ding
醒瞓,xing'fen
行街,xing'jie
行經,xing'jing
星君,xing'jun
星君仔,xing'jun'zi
行雷,xing'lei
行路,xing'lu
行路唔帶眼,xing'lu'wu'dai'yan
腥悶,xing'men
醒目,xing'mu
醒目仔,xing'mu'zi
形女,xing'nv
星期美點,xing'qi'mei'dian
行人路,xing'ren'lu
醒神,xing'shen
行時,xing'shi
擤甩邊髀,xing'shuai'bian'bi
行衰運,xing'shuai'yun
醒水,xing'shui
星鐵,xing'tie
醒胃,xing'wei
腥鰮鰮,xing'wen'wen
行唔起,xing'wu'qi
行運,xing'yun
行運行到腳趾屘,xing'yun'xing'dao'jiao'zhi'man
行轉背,xing'zhuai'bei
形仔,xing'zi
凶神惡煞,xiong'shen'e'sha
羞家,xiu'jia
修游,xiu'you
修整,xiu'zheng
裇,xu
墟巴嘈閉,xu'ba'cao'bi
鬚刨,xu'bao
墟場,xu'chang
恤髮,xu'fa
墟咁嘈,xu'gan'cao
墟冚,xu'kan
墟日,xu'ri
裇衫,xu'shan
血本無歸,xue'ben'mo'gui
削膊,xue'bo
雪耳,xue'er
雪糕,xue'gao
雪糕批,xue'gao'pi
雪櫃,xue'gui
雪屐,xue'ji
雪梨,xue'li
雪褸,xue'lv
雪帽,xue'mao
雪批,xue'pi
學神,xue'shen
學生哥,xue'sheng'ge
學師仔,xue'shi'zi
雪條,xue'tiao
雪藏,xue'zang
雪豬,xue'zhu
雪珠,xue'zhu
削仔,xue'zi
循例,xun'li
馴品,xun'pin
尋日,xun'ri
揗揗震,xun'xun'zhen
牙擦,ya'ca
牙擦擦,ya'ca'ca
芽菜,ya'cai
閘側,ya'ce
牙齒當金使,ya'chi'dang'jin'shi
牙灰,ya'hui
牙尖嘴利,ya'jian'zui'li
牙鉸,ya'jiao
鴨腳粟,ya'jiao'su
牙力,ya'li
鴨乸蹄,ya'na'ti
牙肉,ya'rou
牙軟,ya'ruan
牙哨,ya'shao
牙屎,ya'shi
牙屎屎,ya'shi'shi
牙痛噉聲,ya'tong'dan'sheng
牙罅,ya'xia
掗掗拃拃掗拃,ya'ya'zha'zha'ya'zha
伢孲仔,ya'ya'zi
牙煙,ya'yan
崖鷹,ya'ying
牙斬斬,ya'zhan'zhan
閘住,ya'zhu
巖巉,yan'chan
煙鏟,yan'chan
煙塵,yan'chen
研船,yan'chuan
眼定定,yan'ding'ding
眼肚,yan'du
眼瞓,yan'fen
眼甘甘,yan'gan'gan
煙杠,yan'gang
眼公仔,yan'gong'zai
煙骨,yan'gu
眼光光,yan'guang'guang
眼核,yan'he
眼花花,yan'hua'hua
眼火爆,yan'huo'bao
啱偈,yan'ji
眼枷,yan'jia
眼淺,yan'jian
眼見功夫,yan'jian'gong'fu
眼見心謀,yan'jian'xin'mou
晏覺,yan'jiao
眼角高,yan'jiao'gao
眼界,yan'jie
煙精,yan'jing
鹽焗鷄,yan'ju'ji
眼倔倔眼,yan'jue'jue'yan
眼闊肚窄,yan'kuo'du'zhai
眼矋矋,yan'lei'lei
眼睩睩,yan'lu'lu
眼毛,yan'mao
眼眉,yan'mei
眼眉毛,yan'mei'mao
眼眉毛長,yan'mei'mao'chang
眼眉跳,yan'mei'tiao
眼矇,yan'meng
眼矇矇,yan'meng'meng
啱蕎,yan'qiao
眼熱,yan're
啱晒合尺,yan'shai'he'chi
檐蛇,yan'she
簷蛇,yan'she
眼蛇蛇,yan'she'she
煙士,yan'shi
眼屎,yan'shi
眼濕濕,yan'shi'shi
煙屎煙友,yan'shi'yan'you
燕梳,yan'shu
眼水,yan'shui
眼癱癱,yan'tan'tan
眼挑針,yan'tiao'zhen
煙頭,yan'tou
眼凸凸,yan'tu'tu
眼唔見爲淨,yan'wu'jian'wei'jing
眼翕毛,yan'xi'mao
啱先,yan'xian
啱牙,yan'ya
啱啱,yan'yan
巖巖巉巉,yan'yan'chan'chan
啱啱綫,yan'yan'xian
演嘢,yan'ye
眼冤,yan'yuan
腌臢,yan'za
腌臢腥悶,yan'za'xing'men
罨汁,yan'zhi
胭脂紅,yan'zhi'gong
胭脂腳,yan'zhi'jiao
晏晝,yan'zhou
煙仔,yan'zi
煙子,yan'zi
洋瓷,yang'ci
洋貨舖,yang'huo'pu
洋樓,yang'lou
羊咩,yang'mie
洋燭,yang'zhu
藥材舖,yao'cai'pu
要頸唔要命,yao'geng'wu'yao'ming
腰骨,yao'gu
約莫,yao'mo
猶如,yao'ru
咬唔入,yao'wu'ru
椰菜,ye'cai
椰菜花,ye'cai'hua
夜啲,ye'di
野鷄,ye'ji
夜麻麻,ye'ma'ma
夜晚,ye'wan
夜晚黑,ye'wan'hei
也文也武,ye'wen'ye'wu
椰衣,ye'yi
夜遊神,ye'you'shen
野仔,ye'zi
一凹一凸,yi'ao'yi'tu
一把火,yi'ba'huo
一坺迾,yi'ba'lie
一便,yi'bian
医病,yi'bing
衣车,yi'che
一沉百踩,yi'chen'bai'cai
一抽一掕,yi'chou'yi'ling
一擔擔,yi'dan'dan
一戙都冇,yi'dong'dou'mao
亦都,yi'dou
一度,yi'du
一堆,yi'dui
一哥,yi'ge
一個對,yi'ge'dui
一個骨,yi'ge'gu
一個字,yi'ge'zi
易過借火,yi'guo'jie'huo
易話爲,yi'hua'wei
抑或,yi'huo
一嚿飯,yi'huo'fan
一嚿溜,yi'huo'liu
一鑊泡,yi'huo'pao
一鑊熟,yi'huo'shu
依家,yi'jia
一腳踢,yi'jiao'ti
翳焗,yi'ju
一句鐘,yi'ju'zhong
一粒色,yi'li'se
一粒神,yi'li'shen
一粒嘢,yi'li'ye
一流,yi'liu
一竉蛇,yi'long'she
一路,yi'lu
一路路,yi'lu'lu
一轆木,yi'lu'mu
一轆杉,yi'lu'shan
姨媽,yi'ma
姨媽姑爹,yi'ma'gu'die
一面屁,yi'mian'pi
一排,yi'pai
一拍行,yi'pai'xing
一泡氣,yi'pao'qi
一撇嘢一盤水,yi'pie'ye'yi'pan'shui
翳氣,yi'qi
一日,yi'ri
一日到黑,yi'ri'dao'hei
一身筋,yi'shen'jin
一身鬆,yi'shen'song
一身蟻,yi'shen'yi
姨甥,yi'sheng
一實,yi'shi
一式,yi'shi
一時時,yi'shi'shi
一手一腳,yi'shou'yi'jiao
熠熟狗頭,yi'shu'gou'tou
一天光晒,yi'tian'guang'shai
一條氣,yi'tiao'qi
一頭,yi'tou
意头,yi'tou
一頭半月,yi'tou'ban'yue
