阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
晓发柳林戍,xiao'fa'liu'lin'shu
箫鼓葬仪雄,xiao'gu'zang'yi'xiong
霄汉鸳鸿久绝群,xiao'han'yuan'hong'jiu'jue'qun
萧何身后散图书,xiao'he'shen'hou'san'tu'shu
笑击羊皮鼓,xiao'ji'yang'pi'gu
晓看纨扇恩情薄,xiao'kan'wan'shan'en'qing'bao
晓来天始晴,xiao'lai'tian'shi'qing
小栏围蕙草,xiao'lan'wei'hui'cao
晓连星影出,xiao'lian'xing'ying'chu
校量功力相千万,xiao'liang'gong'li'xiang'qian'wan
崤陵路静寒无雨,xiao'ling'lu'jing'han'wu'yu
晓露庭中橘柚香,xiao'lu'ting'zhong'ju'you'xiang
校缗资筦榷,xiao'min'zi'guan'que
翛然散郁陶,xiao'ran'san'yu'tao
翛然是玉京,xiao'ran'shi'yu'jing
翛然忘簿领,xiao'ran'wang'bu'ling
翛然自有处,xiao'ran'zi'you'chu
笑入楚王家,xiao'ru'chu'wang'jia
孝若归来成画赞,xiao'ruo'gui'lai'cheng'hua'zan
潇洒爱东山,xiao'sa'ai'dong'shan
潇洒风尘外,xiao'sa'feng'chen'wai
潇洒青林际,xiao'sa'qing'lin'ji
晓散白杨风,xiao'san'bai'yang'feng
晓色葱笼开五云,xiao'se'cong'long'kai'wu'yun
萧瑟清蝉吟野丛,xiao'se'qing'chan'yin'ye'cong
箫声一绝草虫悲,xiao'sheng'yi'jue'cao'chong'bei
小松应有过檐枝,xiao'song'ying'you'guo'yan'zhi
小台堪远望,xiao'tai'kan'yuan'wang
宵谈转璿衡,xiao'tan'zhuan'xuan'heng
萧条白发且飞觞,xiao'tiao'bai'fa'qie'fei'shang
萧条长风至,xiao'tiao'chang'feng'zhi
萧条对秋色,xiao'tiao'dui'qiu'se
笑听咚咚朝暮鼓,xiao'ting'dong'dong'chao'mu'gu
晓雾乍开疑卷幔,xiao'wu'zha'kai'yi'juan'man
笑惜艳阳年,xiao'xi'yan'yang'nian
潇湘来奥鄙,xiao'xiang'lai'ao'bi
潇湘深夜月明时,xiao'xiang'shen'ye'yue'ming'shi
萧萧飞雨助清商,xiao'xiao'fei'yu'zhu'qing'shang
萧萧送雁群,xiao'xiao'song'yan'qun
萧萧征骑烦,xiao'xiao'zheng'qi'fan
晓星寥落春云低,xiao'xing'liao'luo'chun'yun'di
笑言委曲问人间,xiao'yan'wei'qu'wen'ren'jian
逍遥地上仙,xiao'yao'di'shang'xian
笑语如平昔,xiao'yu'ru'ping'xi
笑语哇咬顾晚晖,xiao'yu'wa'yao'gu'wan'hui
笑语忘机拙更欢,xiao'yu'wang'ji'zhuo'geng'huan
晓月映宫树,xiao'yue'ying'gong'shu
晓烛罗驰道,xiao'zhu'luo'chi'dao
谢表自称叨,xie'biao'zi'cheng'dao
谢宾缘地密,xie'bin'yuan'di'mi
斜风闪灯影,xie'feng'shan'deng'ying
谢傅何由接,xie'fu'he'you'jie
谢公高斋吟激楚,xie'gong'gao'zhai'yin'ji'chu
谢公莫道东山去,xie'gong'mo'dao'dong'shan'qu
斜辉犹可玩,xie'hui'you'ke'wan
写尽平生心,xie'jin'ping'sheng'xin
携来酒满壶,xie'lai'jiu'man'hu
斜历璇题舞罗幌,xie'li'xuan'ti'wu'luo'huang
谢柳子厚寄叠石砚,xie'liu'zi'hou'ji'die'shi'yan
携琴上旧台,xie'qin'shang'jiu'tai
斜日渐移影,xie'ri'jian'yi'ying
斜日青帘背酒家,xie'ri'qing'lian'bei'jiu'jia
携觞荐芰夜经过,xie'shang'jian'ji'ye'jing'guo
携觞命侣极永日,xie'shang'ming'lv'ji'yong'ri
谢守工为诗,xie'shou'gong'wei'shi
谢守何烦晓镜悲,xie'shou'he'fan'xiao'jing'bei
携手洛阳桥,xie'shou'luo'yang'qiao
谢守瑶华赠,xie'shou'yao'hua'zeng
谢墅阅池塘,xie'shu'yue'chi'tang
僁窣鬼兵役,xie'su'gui'bing'yi
谢庭归去踏芝兰,xie'ting'gui'qu'ta'zhi'lan
谢宣州崔相公赐马,xie'xuan'zhou'cui'xiang'gong'ci'ma
斜阳众客散,xie'yang'zhong'ke'san
薤叶照人呈夏簟,xie'ye'zhao'ren'cheng'xia'dian
心爱当时才子诗,xin'ai'dang'shi'cai'zi'shi
新成丽句开缄后,xin'cheng'li'ju'kai'jian'hou
新辞将印拂朝缨,xin'ci'jiang'yin'fu'chao'ying
新词宛转递相传,xin'ci'wan'zhuan'di'xiang'chuan
新赐鱼书墨未干,xin'ci'yu'shu'mo'wei'gan
心从次第修,xin'cong'ci'di'xiu
心存股肱守,xin'cun'gu'gong'shou
信道不从时,xin'dao'bu'cong'shi
新恩共理犬牙地,xin'en'gong'li'quan'ya'di
新恩换使车,xin'en'huan'shi'che
新恩馹骑催,xin'en'ri'qi'cui
新恩通籍在龙楼,xin'en'tong'ji'zai'long'lou
新恩已历望仙台,xin'en'yi'li'wang'xian'tai
心共黄河水,xin'gong'huang'he'shui
心会真如不读经,xin'hui'zhen'ru'bu'du'jing
心寄华亭一双鹤,xin'ji'hua'ting'yi'shuang'he
新姬苦上车,xin'ji'ku'shang'che
心计析秋毫,xin'ji'xi'qiu'hao
心交上古人,xin'jiao'shang'gu'ren
新交竹使符,xin'jiao'zhu'shi'fu
新径穿林明复昏,xin'jing'chuan'lin'ming'fu'hun
心惊视听殊,xin'jing'shi'ting'shu
心觉去年非,xin'jue'qu'nian'fei
新开潭洞疑仙境,xin'kai'tan'dong'yi'xian'jing
辛苦事寒耕,xin'ku'shi'han'geng
新林暮击钲,xin'lin'mu'ji'zheng
新柳映红旗,xin'liu'ying'hong'qi
新篇写出畔牢愁,xin'pian'xie'chu'pan'lao'chou
心期在玉京,xin'qi'zai'yu'jing
辛勤笔砚间,xin'qin'bi'yan'jian
新青排故叶,xin'qing'pai'gu'ye
新秋对月寄乐天,xin'qiu'dui'yue'ji'le'tian
新秋放鹤野田青,xin'qiu'fang'he'ye'tian'qing
新秋十日浣朱衣,xin'qiu'shi'ri'huan'zhu'yi
歆然初心会,xin'ran'chu'xin'hui
新人何似故人,xin'ren'he'si'gu'ren
心如止水鉴常明,xin'ru'zhi'shui'jian'chang'ming
新衫别织斗鸡纱,xin'shan'bie'zhi'dou'ji'sha
新声促柱十三弦,xin'sheng'cu'zhu'shi'san'xian
新诗乐府传,xin'shi'yue'fu'chuan
新受恩光万里还,xin'shou'en'guang'wan'li'hai
心术去机关,xin'shu'qu'ji'guan
新墅烟火起,xin'shu'yan'huo'qi
心随艑上郎,xin'sui'bian'shang'lang
新岁又如何,xin'sui'you'ru'he
心托秦明镜,xin'tuo'qin'ming'jing
新向延平看剑来,xin'xiang'yan'ping'kan'jian'lai
新芽连拳半未舒,xin'ya'lian'quan'ban'wei'shu
新叶映行宫,xin'ye'ying'xing'gong
新月为谁来,xin'yue'wei'shui'lai
新栽蕙兰二草之什,xin'zai'hui'lan'er'cao'zhi'shen
心在净中观,xin'zai'jing'zhong'guan
新斋池上开,xin'zhai'chi'shang'kai
新知谷口来,xin'zhi'gu'kou'lai
心知洛下闲才子,xin'zhi'luo'xia'xian'cai'zi
新知正相乐,xin'zhi'zheng'xiang'le
新竹开粉奁,xin'zhu'kai'fen'lian
新竹翛翛韵晓风,xin'zhu'xiao'xiao'yun'xiao'feng
心专眼悁悁,xin'zhuan'yan'juan'juan
新妆面面下朱楼,xin'zhuang'mian'mian'xia'zhu'lou
新自塞垣来,xin'zi'sai'yuan'lai
星槎上汉杳难从,xing'cha'shang'han'yao'nan'cong
行车无停轨,xing'che'wu'ting'gui
星辰来逼人,xing'chen'lai'bi'ren
行尘起孤驿,xing'chen'qi'gu'yi
星辰让光彩,xing'chen'rang'guang'cai
行程日已遥,xing'cheng'ri'yi'yao
行厨五熟烹,xing'chu'wu'shu'peng
行厨载满车,xing'chu'zai'man'che
行到南朝征战地,xing'dao'nan'chao'zheng'zhan'di
行到中庭数花朵,xing'dao'zhong'ting'shu'hua'duo
兴发春塘草,xing'fa'chun'tang'cao
兴废由人事,xing'fei'you'ren'shi
行逢里中旧,xing'feng'li'zhong'jiu
幸逢万物泰,xing'feng'wan'wu'tai
兴管九衢花,xing'guan'jiu'qu'hua
兴酣更抵掌,xing'han'geng'di'zhang
兴酣樽易罄,xing'han'zun'yi'qing
星河好夜闻清佩,xing'he'hao'ye'wen'qing'pei
行尽三湘不逢敌,xing'jin'san'xiang'bu'feng'di
行尽四维无处觅,xing'jin'si'wei'wu'chu'mi
行尽潇湘万里馀,xing'jin'xiao'xiang'wan'li'yu
性静本同和,xing'jing'ben'tong'he
星居占泉眼,xing'ju'zhan'quan'yan
形开犹抱膝,xing'kai'you'bao'xi
行看布政后,xing'kan'bu'zheng'hou
兴来从请曲,xing'lai'cong'qing'qu
幸免如新分非浅,xing'mian'ru'xin'fen'fei'qian
行年同甲子,xing'nian'tong'jia'zi
星气尚芳丽,xing'qi'shang'fang'li
行牵犊颔车,xing'qian'du'han'che
兴情逢酒在,xing'qing'feng'jiu'zai
行人挥袂日西时,xing'ren'hui'mei'ri'xi'shi
行人朝气锐,xing'ren'zhao'qi'rui
兴入笑言间,xing'ru'xiao'yan'jian
行色旌旗动,xing'se'jing'qi'dong
兴生红药后,xing'sheng'hong'yao'hou
星使出关东,xing'shi'chu'guan'dong
星使出鸳行,xing'shi'chu'yuan'xing
星使双飞出禁垣,xing'shi'shuang'fei'chu'jin'yuan
杏树满山花,xing'shu'man'shan'hua
行台仆射深恩重,xing'tai'pu'she'shen'en'zhong
行台绮席张,xing'tai'qi'xi'zhang
兴王叶梦期,xing'wang'ye'meng'qi
星文辞北极,xing'wen'ci'bei'ji
星象承乌翼,xing'xiang'cheng'wu'yi
星象如今属少微,xing'xiang'ru'jin'shu'shao'wei
星星仙语人听尽,xing'xing'xian'yu'ren'ting'jin
行须筇竹扶,xing'xu'qiong'zhu'fu
星悬橘柚村,xing'xuan'ju'you'cun
兴掩寻安道,xing'yan'xun'an'dao
幸依群玉府,xing'yi'qun'yu'fu
幸因采掇日,xing'yin'cai'duo'ri
幸有抛球乐,xing'you'pao'qiu'le
幸遇甘泉尚词赋,xing'yu'gan'quan'shang'ci'fu
星雨洒中衢,xing'yu'sa'zhong'qu
幸遇天官旧丞相,xing'yu'tian'guan'jiu'cheng'xiang
星榆叶对开,xing'yu'ye'dui'kai
杏园抛曲处,xing'yuan'pao'qu'chu
行云别鹤本无期,xing'yun'bie'he'ben'wu'qi
兴云感阴气,xing'yun'gan'yin'qi
行止皆有乐,xing'zhi'jie'you'le
行舟路将转,xing'zhou'lu'jiang'zhuan
兄弟尽鸳鸾,xiong'di'jin'yuan'luan
兄弟亦同行,xiong'di'yi'tong'hang
雄吼如风转如水,xiong'hou'ru'feng'zhuan'ru'shui
熊罴交黑槊,xiong'pi'jiao'hei'shuo
雄图授化元,xiong'tu'shou'hua'yuan
熊武走蛮落,xiong'wu'zou'man'luo
汹疑云涛翻,xiong'yi'yun'tao'fan
汹涌来翼身,xiong'yong'lai'yi'shen
休唱贞元供奉曲,xiu'chang'zhen'yuan'gong'feng'qu
羞尔微形饲丹鸟,xiu'er'wei'xing'si'dan'niao
休公久别如相问,xiu'gong'jiu'bie'ru'xiang'wen
修廊架空远岫入,xiu'lang'jia'kong'yuan'xiu'ru
修蔓蟠诘曲,xiu'man'pan'jie'qu
秀气肖翕辟,xiu'qi'xiao'xi'pi
羞日不禁风,xiu'ri'bu'jin'feng
修容谒神像,xiu'rong'ye'shen'xiang
袖有刘弘书,xiu'you'liu'hong'shu
修竹盈尺围,xiu'zhu'ying'chi'wei
须得垂杨相发挥,xu'de'chui'yang'xiang'fa'hui
虚怀询病苦,xu'huai'xun'bing'ku
须寄洛阳城,xu'ji'luo'yang'cheng
许君云路并华輈,xu'jun'yun'lu'bing'hua'zhou
虚眠此时景,xu'mian'ci'shi'jing
旭日闻撞钟,xu'ri'wen'zhuang'zhong
须是眠云跂石人,xu'shi'mian'yun'qi'shi'ren
蓄缩至南委,xu'suo'zhi'nan'wei
虚无天乐来,xu'wu'tian'le'lai
嘘吸写楼台,xu'xi'xie'lou'tai
虚心宜待士,xu'xin'yi'dai'shi
徐行出烧地,xu'xing'chu'shao'di
徐引竹间步,xu'yin'zhu'jian'bu
须臾宫女传来信,xu'yu'gong'nv'chuan'lai'xin
须臾皆破冰雪颜,xu'yu'jie'po'bing'xue'yan
须臾却入海门去,xu'yu'que'ru'hai'men'qu
虚舟已绝縆,xu'zhou'yi'jue'geng
徐转斗为车,xu'zhuan'dou'wei'che
宣城谢守一首诗,xuan'cheng'xie'shou'yi'shou'shi
玄都观里桃千树,xuan'dou'guan'li'tao'qian'shu
玄都留五字,xuan'dou'liu'wu'zi
宣风尽大彭,xuan'feng'jin'da'peng
宣风看鹭涛,xuan'feng'kan'lu'tao
轩后初冠冕,xuan'hou'chu'guan'mian
轩后奏宫商,xuan'hou'zou'gong'shang
轩皇传上略,xuan'huang'chuan'shang'lue
轩皇封禅登云亭,xuan'huang'feng'shan'deng'yun'ting
玄金爪擘兔心开,xuan'jin'zhao'bo'tu'xin'kai
玄览亭,xuan'lan'ting
玄牝无关锁,xuan'pin'wu'guan'suo
宣室征还未白头,xuan'shi'zheng'hai'wei'bai'tou
悬实珠玑蹙,xuan'shi'zhu'ji'cu
眩俗杂良苦,xuan'su'za'liang'ku
喧腾鼓舞喜昏黑,xuan'teng'gu'wu'xi'hun'hei
选婿得萧咸,xuan'xu'de'xiao'xian
喧喧车马驰,xuan'xuan'che'ma'chi
雪波西山来,xue'bo'xi'shan'lai
学道深山许老人,xue'dao'shen'shan'xu'lao'ren
雪峰当户戟枝寒,xue'feng'dang'hu'ji'zhi'han
学古游槐市,xue'gu'you'huai'shi
雪光映楼角,xue'guang'ying'lou'jiao
雪后山河出猎看,xue'hou'shan'he'chu'lie'kan
雪霁太阳津,xue'ji'tai'yang'jin
谑浪容优孟,xue'lang'rong'you'meng
雪里高山头白早,xue'li'gao'shan'tou'bai'zao
雪里命宾开玉帐,xue'li'ming'bin'kai'yu'zhang
学阮公体三首,xue'ruan'gong'ti'san'shou
雪蕊琼丝满院春,xue'rui'qiong'si'man'yuan'chun
雪山童子应前世,xue'shan'tong'zi'ying'qian'shi
学省清资五品官,xue'sheng'qing'zi'wu'pin'guan
血食如今配此山,xue'shi'ru'jin'pei'ci'shan
学堂青玉案,xue'tang'qing'yu'an
血污城西一抔土,xue'wu'cheng'xi'yi'pou'tu
雪馀宫苑晴,xue'yu'gong'yuan'qing
学者空纵观,xue'zhe'kong'zong'guan
学者识其真,xue'zhe'shi'qi'zhen
巡兵戊己屯,xun'bing'wu'ji'tun
寻常相见意殷勤,xun'chang'xiang'jian'yi'yin'qin
寻尺招瑕颣,xun'chi'zhao'xia'lei
埙篪自相寻,xun'chi'zi'xiang'xun
薰风香麈尾,xun'feng'xiang'zhu'wei
循陔更握兰,xun'gai'geng'wo'lan
寻花得幽踪,xun'hua'de'you'zong
寻花缓辔威迟去,xun'hua'huan'pei'wei'chi'qu
迅濑下哮吼,xun'lai'xia'xiao'hou
熏狸掘沙鼠,xun'li'jue'sha'shu
循良冠百城,xun'liang'guan'bai'cheng
荀令园林好,xun'ling'yuan'lin'hao
驯鹿受羁靮,xun'lu'shou'ji'di
巡内因经九重苑,xun'nei'yin'jing'jiu'chong'yuan
循墙还避逾,xun'qiang'hai'bi'yu
醺然耳热后,xun'ran'er're'hou
寻僧一径幽,xun'seng'yi'jing'you
寻汪道士不遇,xun'wang'dao'shi'bu'yu
寻为丞相扫门人,xun'wei'cheng'xiang'sao'men'ren
熏香菡萏茎,xun'xiang'han'dan'jing
荀谢年何少,xun'xie'nian'he'shao
浔阳江色潮添满,xun'yang'jiang'se'chao'tian'man
迅与芬轮俱,xun'yu'fen'lun'ju
亚父所封城,ya'fu'suo'feng'cheng
鸦归万家树,ya'gui'wan'jia'shu
鸦路今无羽檄飞,ya'lu'jin'wu'yu'xi'fei
牙门大将有刘生,ya'men'da'jiang'you'liu'sheng
衙门晓辟分天仗,ya'men'xiao'pi'fen'tian'zhang
衙前有乐馔常精,ya'qian'you'le'zhuan'chang'jing
雅声发兰室,ya'sheng'fa'lan'shi
丫头小儿荡画桨,ya'tou'xiao'er'dang'hua'jiang
鸦噪大雷晴,ya'zao'da'lei'qing
崖转对翠屏,ya'zhuan'dui'cui'ping
言毕依庭树,yan'bi'yi'ting'shu
烟波洞庭路,yan'bo'dong'ting'lu
烟波含宿润,yan'bo'han'su'run
烟波浩淼鱼鸟情,yan'bo'hao'miao'yu'niao'qing
烟波与春草,yan'bo'yu'chun'cao
艳彩凝还泛,yan'cai'ning'hai'fan
妍丑太分迷忌讳,yan'chou'tai'fen'mi'ji'hui
眼大不相参,yan'da'bu'xiang'can
炎帝虽尝未解煎,yan'di'sui'chang'wei'jie'jian
艳对瀛洲霞,yan'dui'ying'zhou'xia
燕尔馆破,yan'er'guan'po
雁飞彭蠡暮,yan'fei'peng'li'mu
言高未易信,yan'gao'wei'yi'xin
雁行布陈众未晓,yan'hang'bu'chen'zhong'wei'xiao
雁行登九霄,yan'hang'deng'jiu'xiao
言贺舒庞眉,yan'he'shu'pang'mei
殷红子熟照铜瓶,yan'hong'zi'shu'zhao'tong'ping
沿洄方玩境,yan'hui'fang'wan'jing
沿洄意思迷,yan'hui'yi'si'mi
炎火常为虞,yan'huo'chang'wei'yu
烟火生墟落,yan'huo'sheng'xu'luo
烟开鳌背千寻碧,yan'kai'ao'bei'qian'xun'bi
炎空忽凄紧,yan'kong'hu'qi'jin
雁来愁望时,yan'lai'chou'wang'shi
燕来鸿复还,yan'lai'hong'fu'hai
烟岚分委积,yan'lan'fen'wei'ji
烟岚餘斐亹,yan'lan'yu'fei'men
岩廊人望在,yan'lang'ren'wang'zai
掩泪望秦川,yan'lei'wang'qin'chuan
烟林隔丽谯,yan'lin'ge'li'qiao
淹留郢南都,yan'liu'ying'nan'dou
焉能籍甚乎人间,yan'neng'ji'shen'hu'ren'jian
焉能慕知己,yan'neng'mu'zhi'ji
焉能追逸轨,yan'neng'zhui'yi'gui
雁起拂麾旄,yan'qi'fu'hui'mao
眼前风景是江西,yan'qian'feng'jing'shi'jiang'xi
眼前名利同春梦,yan'qian'ming'li'tong'chun'meng
言巧智难防,yan'qiao'zhi'nan'fang
燕秦有旧曲,yan'qin'you'jiu'qu
艳倾吴国尽,yan'qing'wu'guo'jin
岩曲月斜照,yan'qu'yue'xie'zhao
艳入孝王家,yan'ru'xiao'wang'jia
燕入新村落,yan'ru'xin'cun'luo
烟散隋宫出,yan'san'sui'gong'chu
颜色真如故,yan'se'zhen'ru'gu
颜失词劬愉,yan'shi'ci'qu'yu
燕石何须辨,yan'shi'he'xu'bian
言师有道骨,yan'shi'you'dao'gu
颜衰恨镜明,yan'shuai'hen'jing'ming
烟水五湖如有伴,yan'shui'wu'hu'ru'you'ban
妍态随意生,yan'tai'sui'yi'sheng
炎天无冽井,yan'tian'wu'lie'jing
檐外青雀舫,yan'wai'qing'que'fang
雁鹜群犹下,yan'wu'qun'you'xia
言昔太上皇,yan'xi'tai'shang'huang
言下变化随顾瞻,yan'xia'bian'hua'sui'gu'zhan
言下辨曲直,yan'xia'bian'qu'zhi
烟霞拂巾帻,yan'xia'fu'jin'ze
烟霞覆双阙,yan'xia'fu'shuang'que
烟霞为老伴,yan'xia'wei'lao'ban
烟霞遥在想,yan'xia'yao'zai'xiang
檐香滴甘露,yan'xiang'di'gan'lu
言幸平阳公主家,yan'xing'ping'yang'gong'zhu'jia
筵羞石髓劝客餐,yan'xiu'shi'sui'quan'ke'can
檐燕归心动,yan'yan'gui'xin'dong
掩抑多不平,yan'yi'duo'bu'ping
岩影落池寒,yan'ying'luo'chi'han
言有穷巷士,yan'you'qiong'xiang'shi
鷃羽不离蒿,yan'yu'bu'li'hao
燕语帘栊静,yan'yu'lian'long'jing
烟月若平生,yan'yue'ruo'ping'sheng
烟云怆别情,yan'yun'chuang'bie'qing
烟云改容光,yan'yun'gai'rong'guang
燕赵佳人奉管弦,yan'zhao'jia'ren'feng'guan'xian
炎蒸动泉源,yan'zheng'dong'quan'yuan
沿浊致清涟,yan'zhuo'zhi'qing'lian
言自成周赴玉除,yan'zi'cheng'zhou'fu'yu'chu
燕子东西飞,yan'zi'dong'xi'fei
燕子双飞故官道,yan'zi'shuang'fei'gu'guan'dao
宴坐白云端,yan'zuo'bai'yun'duan
宴坐东阳枯树下,yan'zuo'dong'yang'ku'shu'xia
仰鼻嘘吸扬朱翘,yang'bi'xu'xi'yang'zhu'qiao
炀帝行宫汴水滨,yang'di'xing'gong'bian'shui'bin
杨桴击节雷阗阗,yang'fu'ji'jie'lei'tian'tian
羊公人不疑,yang'gong'ren'bu'yi
杨家绀幰迎,yang'jia'gan'xian'ying
羊濬要共和,yang'jun'yao'gong'he
养来鹦鹉觜初红,yang'lai'ying'wu'zui'chu'hong
羊酪不嫌膻,yang'lao'bu'xian'shan
扬历中枢与外台,yang'li'zhong'shu'yu'wai'tai
杨柳青青江水平,yang'liu'qing'qing'jiang'shui'ping
杨柳郁青青,yang'liu'yu'qing'qing
杨柳枝,yang'liu'zhi
杨柳枝词九首,yang'liu'zhi'ci'jiu'shou
养蜜近梨花,yang'mi'jin'li'hua
杨仆却为关外人,yang'pu'que'wei'guan'wai'ren
扬翘向庭柯,yang'qiao'xiang'ting'ke
阳秋垂不刊,yang'qiu'chui'bu'kan
杨尚书掌选,yang'shang'shu'zhang'xuan
养生非但药,yang'sheng'fei'dan'yao
仰天大吓疑鹓雏,yang'tian'da'xia'yi'yuan'chu
阳崖阴岭各殊气,yang'ya'yin'ling'ge'shu'qi
杨叶百穿荣会府,yang'ye'bai'chuan'rong'hui'fu
养鸷词,yang'zhi'ci
杨枝词二首,yang'zhi'ci'er'shou
养鸷非玩形,yang'zhi'fei'wan'xing
扬州从事夜相寻,yang'zhou'cong'shi'ye'xiang'xun
扬州市里商人女,yang'zhou'shi'li'shang'ren'nv
杨子江头烟景迷,yang'zi'jiang'tou'yan'jing'mi
瑶草临波色不如,yao'cao'lin'bo'se'bu'ru
瑶草凌寒坼,yao'cao'ling'han'che
瑶草缘堤种,yao'cao'yuan'di'zhong
遥城闻五鼓,yao'cheng'wen'wu'gu
瑶池长不夜,yao'chi'chang'bu'ye
瑶池无辙迹,yao'chi'wu'zhe'ji
遥持造物权,yao'chi'zao'wu'quan
谣传义帝冤,yao'chuan'yi'di'yuan
遥从鸟飞处,yao'cong'niao'fei'chu
摇动繁英坠红雨,yao'dong'fan'ying'zhui'hong'yu
邀福祷波神,yao'fu'dao'bo'shen
腰斧上高山,yao'fu'shang'gao'shan
邀歌蚁泛醪,yao'ge'yi'fan'lao
摇钩侔悬衡,yao'gou'mou'xuan'heng
遥光泛物色,yao'guang'fan'wu'se
妖姬满髻插,yao'ji'man'ji'cha
遥见桔槔斜,yao'jian'jie'gao'xie
遥将红泪洒穷泉,yao'jiang'hong'lei'sa'qiong'quan
药力酒能宣,yao'li'jiu'neng'xuan
遥林呈骤枯,yao'lin'cheng'zhou'ku
遥林晚蝉清,yao'lin'wan'chan'qing
药炉烧姹女,yao'lu'shao'cha'nv
摇落不伤怀,yao'luo'bu'shang'huai
摇落从此始,yao'luo'cong'ci'shi
摇落从来长年感,yao'luo'cong'lai'chang'nian'gan
腰佩黄金龟,yao'pei'huang'jin'gui
药圃夏频薅,yao'pu'xia'pin'hao
妖气扫尽河水清,yao'qi'sao'jin'he'shui'qing
瑶琴久已绝,yao'qin'jiu'yi'jue
瑶瑟有离声,yao'se'you'li'sheng
瑶坛被髹漆,yao'tan'bei'xiu'qi
瑶坛在此山,yao'tan'zai'ci'shan
夭桃定相笑,yao'tao'ding'xiang'xiao
妖童擢发不足数,yao'tong'zhuo'fa'bu'zu'shu
遥望洞庭山水翠,yao'wang'dong'ting'shan'shui'cui
遥望旌旗汝水头,yao'wang'jing'qi'ru'shui'tou
遥望星斗当中天,yao'wang'xing'dou'dang'zhong'tian
繇文光夏启,yao'wen'guang'xia'qi
遥闻丝竹出墙声,yao'wen'si'zhu'chu'qiang'sheng
药物方书绕病身,yao'wu'fang'shu'rao'bing'shen
腰下绶犹黄,yao'xia'shou'you'huang
遥羡光阴不虚掷,yao'xian'guang'yin'bu'xu'zhi
遥想长安此时节,yao'xiang'chang'an'ci'shi'jie
遥想敬亭春欲暮,yao'xiang'jing'ting'chun'yu'mu
遥想洛阳城,yao'xiang'luo'yang'cheng
遥想兔园今日会,yao'xiang'tu'yuan'jin'ri'hui
药性病多谙,yao'xing'bing'duo'an
妖星夜落照壕水,yao'xing'ye'luo'zhao'hao'shui
腰悬青绶亚三台,yao'xuan'qing'shou'ya'san'tai
邀筵次第争,yao'yan'ci'di'zheng
繇言利艰贞,yao'yan'li'jian'zhen
遥噪莫敢前,yao'zao'mo'gan'qian
瑶轸再三促,yao'zhen'zai'san'cu
要自有高情,yao'zi'you'gao'qing
夜半射落欃枪星,ye'ban'she'luo'chan'qiang'xing
野彴度春水,ye'bo'du'chun'shui
夜泊湘川逐客心,ye'bo'xiang'chuan'zhu'ke'xin
野草芳菲红锦地,ye'cao'fang'fei'hong'jin'di
野草青苔日日多,ye'cao'qing'tai'ri'ri'duo
野程泉石间,ye'cheng'quan'shi'jian
叶动承馀洒,ye'dong'cheng'yu'sa
叶动惊彩翰,ye'dong'jing'cai'han
野渡临风驻彩旗,ye'du'lin'feng'zhu'cai'qi
夜渡千仞谿,ye'du'qian'ren'ji
夜分先见日,ye'fen'xian'jian'ri
业复五铢钱,ye'fu'wu'zhu'qian
野花空解妒愁颜,ye'hua'kong'jie'du'chou'yan
野花无时节,ye'hua'wu'shi'jie
野花沿古道,ye'hua'yan'gu'dao
野火上西陵,ye'huo'shang'xi'ling
业继韦平后,ye'ji'wei'ping'hou
夜见星辰忆旧官,ye'jian'xing'chen'yi'jiu'guan
野径宜行乐,ye'jing'yi'xing'le
夜觉纱灯刻数长,ye'jue'sha'deng'ke'shu'chang
夜空寥寂金气净,ye'kong'liao'ji'jin'qi'jing
夜来清景非人间,ye'lai'qing'jing'fei'ren'jian
夜阑犹命乐,ye'lan'you'ming'le
野老娑娑起醉颜,ye'lao'suo'suo'qi'zui'yan
夜凉金气应,ye'liang'jin'qi'ying
夜猎将军忽相访,ye'lie'jiang'jun'hu'xiang'fang
野蔓系船萍满衣,ye'man'xi'chuan'ping'man'yi
野魅真形出,ye'mei'zhen'xing'chu
叶起寒棱映月开,ye'qi'han'leng'ying'yue'kai
野桥过驿骑,ye'qiao'guo'yi'qi
夜蛩思幽壁,ye'qiong'si'you'bi
野趣幽芳天与添,ye'qu'you'fang'tian'yu'tian
夜如何其夜漫漫,ye'ru'he'qi'ye'man'man
晔若观五色,ye'ruo'guan'wu'se
夜色不见山,ye'se'bu'jian'shan
夜深度银汉,ye'shen'du'yin'han
夜深观水月,ye'shen'guan'shui'yue
夜深还过女墙来,ye'shen'hai'guo'nv'qiang'lai
夜深珍木冷,ye'shen'zhen'mu'leng
曳绶司徒府,ye'shou'si'tu'fu
野戍岸边留画舸,ye'shu'an'bian'liu'hua'ge
夜树风韵清,ye'shu'feng'yun'qing
野水啮荒坟,ye'shui'nie'huang'fen
野水绕空城,ye'shui'rao'kong'cheng
夜宿最高峰,ye'su'zui'gao'feng
夜台归去便千秋,ye'tai'gui'qu'bian'qian'qiu
野田荒悠悠,ye'tian'huang'you'you
野田生葡萄,ye'tian'sheng'pu'tao
夜闻商人船中筝,ye'wen'shang'ren'chuan'zhong'zheng
叶下洞庭时,ye'xia'dong'ting'shi
邺下杀才子,ye'xia'sha'cai'zi
野香春未阑,ye'xiang'chun'wei'lan
夜行不锁穆陵关,ye'xing'bu'suo'mu'ling'guan
