阿尔法比较参数,a'er'fa'bi'jiao'can'shu
下拉列表被关闭,xia'la'lie'biao'bei'guan'bi
下拉列表对齐方式,xia'la'lie'biao'dui'qi'fang'shi
下拉列表宽度,xia'la'lie'biao'kuan'du
下拉列表项被选中,xia'la'lie'biao'xiang'bei'xuan'zhong
下拉列表项目数,xia'la'lie'biao'xiang'mu'shu
下拉列表最大高度,xia'la'lie'biao'zui'da'gao'du
下页边距,xia'ye'bian'ju
下移,xia'yi
下一个,xia'yi'ge
下一个标志,xia'yi'ge'biao'zhi
下一幻灯片,xia'yi'huan'deng'pian
下一条,xia'yi'tiao
下一帖按钮标题,xia'yi'tie'an'niu'biao'ti
下一页,xia'yi'ye
下移一层,xia'yi'yi'ceng
下一张,xia'yi'zhang
下右,xia'you
下右页号,xia'you'ye'hao
下载,xia'zai
下载对象,xia'zai'dui'xiang
下载进度,xia'zai'jin'du
下载上传结束,xia'zai'shang'chuan'jie'shu
下载上传开始,xia'zai'shang'chuan'kai'shi
下载设置,xia'zai'she'zhi
下载设置信息,xia'zai'she'zhi'xin'xi
下载数据范围,xia'zai'shu'ju'fan'wei
下载速度,xia'zai'su'du
下载线程继续下载,xia'zai'xian'cheng'ji'xu'xia'zai
下载已全部停止,xia'zai'yi'quan'bu'ting'zhi
下载支持库,xia'zai'zhi'chi'ku
夏至,xia'zhi
下中,xia'zhong
下中页号,xia'zhong'ye'hao
下左,xia'zuo
下左页号,xia'zuo'ye'hao
线程等待超时,xian'cheng'deng'dai'chao'shi
线程数,xian'cheng'shu
线程异常结束,xian'cheng'yi'chang'jie'shu
线程优先权,xian'cheng'you'xian'quan
线程正常结束,xian'cheng'zheng'chang'jie'shu
线粗细,xian'cu'xi
显存,xian'cun
显存执行缓冲区,xian'cun'zhi'xing'huan'chong'qu
线带,xian'dai
限定到纸宽,xian'ding'dao'zhi'kuan
线段,xian'duan
线宽,xian'kuan
线类型,xian'lei'xing
线列,xian'lie
线路号,xian'lu'hao
线路类型,xian'lu'lei'xing
线路名称,xian'lu'ming'cheng
线路输入,xian'lu'shu'ru
线路总数,xian'lu'zong'shu
先上下横向分页,xian'shang'xia'heng'xiang'fen'ye
先上下横向分页并重复锁定列,xian'shang'xia'heng'xiang'fen'ye'bing'chong'fu'suo'ding'lie
显示,xian'shi
显示按钮,xian'shi'an'niu
显示百分比,xian'shi'bai'fen'bi
显示斑马线,xian'shi'ban'ma'xian
显示帮助按钮,xian'shi'bang'zhu'an'niu
显示报表头,xian'shi'bao'biao'tou
显示报表尾,xian'shi'bao'biao'wei
显示比例,xian'shi'bi'li
显示编辑记录按钮,xian'shi'bian'ji'ji'lu'an'niu
显示边距标志,xian'shi'bian'ju'biao'zhi
显示边距角线,xian'shi'bian'ju'jiao'xian
显示边距线,xian'shi'bian'ju'xian
显示边框,xian'shi'bian'kuang
显示标尺,xian'shi'biao'chi
显示表尺,xian'shi'biao'chi
显示表格线,xian'shi'biao'ge'xian
显示标题,xian'shi'biao'ti
显示标题栏,xian'shi'biao'ti'lan
显示标注,xian'shi'biao'zhu
显示别名,xian'shi'bie'ming
显示饼图边界线,xian'shi'bing'tu'bian'jie'xian
显示菜单图标,xian'shi'cai'dan'tu'biao
显示菜单文本,xian'shi'cai'dan'wen'ben
显示财务金额标签,xian'shi'cai'wu'jin'e'biao'qian
显示财务金额线,xian'shi'cai'wu'jin'e'xian
显示插入空白记录按钮,xian'shi'cha'ru'kong'bai'ji'lu'an'niu
显示错误,xian'shi'cuo'wu
显示打印按钮,xian'shi'da'yin'an'niu
显示打印对话框,xian'shi'da'yin'dui'hua'kuang
显示导航链接,xian'shi'dao'hang'lian'jie
显示到后端,xian'shi'dao'hou'duan
显示到前端,xian'shi'dao'qian'duan
显示到前一记录按钮,xian'shi'dao'qian'yi'ji'lu'an'niu
显示到首记录按钮,xian'shi'dao'shou'ji'lu'an'niu
显示到尾记录按钮,xian'shi'dao'wei'ji'lu'an'niu
显示到下一记录按钮,xian'shi'dao'xia'yi'ji'lu'an'niu
显示等待光标,xian'shi'deng'dai'guang'biao
显示动画,xian'shi'dong'hua
显示短文件名,xian'shi'duan'wen'jian'ming
显示对话框,xian'shi'dui'hua'kuang
显示对话框后,xian'shi'dui'hua'kuang'hou
显示对话框前,xian'shi'dui'hua'kuang'qian
显示对象,xian'shi'dui'xiang
显示对象浏览器,xian'shi'dui'xiang'liu'lan'qi
显示对象浏览器窗口,xian'shi'dui'xiang'liu'lan'qi'chuang'kou
显示根部线,xian'shi'gen'bu'xian
显示工具栏,xian'shi'gong'ju'lan
显示固定行表格线,xian'shi'gu'ding'hang'biao'ge'xian
显示固定列表格线,xian'shi'gu'ding'lie'biao'ge'xian
显示关闭按钮,xian'shi'guan'bi'an'niu
显示光标,xian'shi'guang'biao
显示光标枚举,xian'shi'guang'biao'mei'ju
显示横向表格线,xian'shi'heng'xiang'biao'ge'xian
显示横向滚动条,xian'shi'heng'xiang'gun'dong'tiao
显示后台两端,xian'shi'hou'tai'liang'duan
显示后台中间,xian'shi'hou'tai'zhong'jian
显示加减框,xian'shi'jia'jian'kuang
显示建议,xian'shi'jian'yi
显示焦点,xian'shi'jiao'dian
显示节线,xian'shi'jie'xian
显示进度界面,xian'shi'jin'du'jie'mian
显示金额标签,xian'shi'jin'e'biao'qian
显示金额线,xian'shi'jin'e'xian
显示开始按钮,xian'shi'kai'shi'an'niu
显示空表格线,xian'shi'kong'biao'ge'xian
显示连接线,xian'shi'lian'jie'xian
显示连线,xian'shi'lian'xian
显示两端按钮,xian'shi'liang'duan'an'niu
显示列表,xian'shi'lie'biao
显示列标题,xian'shi'lie'biao'ti
显示列表项数,xian'shi'lie'biao'xiang'shu
显示列线,xian'shi'lie'xian
显示模式,xian'shi'mo'shi
显示模式信息,xian'shi'mo'shi'xin'xi
显示器边框模式枚举,xian'shi'qi'bian'kuang'mo'shi'mei'ju
显示前台,xian'shi'qian'tai
显示前台两端,xian'shi'qian'tai'liang'duan
显示前台中间,xian'shi'qian'tai'zhong'jian
显示前延时,xian'shi'qian'yan'shi
显示取消编辑记录按钮,xian'shi'qu'xiao'bian'ji'ji'lu'an'niu
显示确认编辑记录按钮,xian'shi'que'ren'bian'ji'ji'lu'an'niu
显示任务栏,xian'shi'ren'wu'lan
显示删除记录按钮,xian'shi'shan'chu'ji'lu'an'niu
显示栅格,xian'shi'shan'ge
显示设置,xian'shi'she'zhi
显示属性,xian'shi'shu'xing
显示属性编辑窗口,xian'shi'shu'xing'bian'ji'chuang'kou
显示属性编辑器,xian'shi'shu'xing'bian'ji'qi
显示刷新记录按钮,xian'shi'shua'xin'ji'lu'an'niu
显示缩进向导,xian'shi'suo'jin'xiang'dao
显示提示,xian'shi'ti'shi
显示提示块,xian'shi'ti'shi'kuai
显示同列,xian'shi'tong'lie
显示图例,xian'shi'tu'li
显示完成,xian'shi'wan'cheng
显示网格工具栏,xian'shi'wang'ge'gong'ju'lan
显示网格列标尺,xian'shi'wang'ge'lie'biao'chi
显示文本,xian'shi'wen'ben
显示文件,xian'shi'wen'jian
显示文字,xian'shi'wen'zi
显示文字脚本,xian'shi'wen'zi'jiao'ben
显示系统时钟,xian'shi'xi'tong'shi'zhong
显示下拉列表项数,xian'shi'xia'la'lie'biao'xiang'shu
显示下一帖按钮,xian'shi'xia'yi'tie'an'niu
显示下一帧,xian'shi'xia'yi'zhen
显示线,xian'shi'xian
显示效果,xian'shi'xiao'guo
显示小数位,xian'shi'xiao'shu'wei
显示新建文件夹按钮,xian'shi'xin'jian'wen'jian'jia'an'niu
显示行结束标志,xian'shi'xing'jie'shu'biao'zhi
显示星期序号,xian'shi'xing'qi'xu'hao
显示行线,xian'shi'xing'xian
显示选项对话框,xian'shi'xuan'xiang'dui'hua'kuang
显示页面分隔线,xian'shi'ye'mian'fen'ge'xian
显示页切分线,xian'shi'ye'qie'fen'xian
显示隐藏文件,xian'shi'yin'cang'wen'jian
显示隐藏子夹,xian'shi'yin'cang'zi'jia
显示用户列表,xian'shi'yong'hu'lie'biao
显示指示器,xian'shi'zhi'shi'qi
显示中台,xian'shi'zhong'tai
显示中台两端,xian'shi'zhong'tai'liang'duan
显示中台中间,xian'shi'zhong'tai'zhong'jian
显示轴线,xian'shi'zhou'xian
显示桌面图标,xian'shi'zhuo'mian'tu'biao
显示自动完成,xian'shi'zi'dong'wan'cheng
显示纵向表格线,xian'shi'zong'xiang'biao'ge'xian
显示纵向滚动条,xian'shi'zong'xiang'gun'dong'tiao
线条效果,xian'tiao'xiao'guo
线条颜色,xian'tiao'yan'se
线型,xian'xing
线性,xian'xing
线性插值,xian'xing'cha'zhi
线性方程组,xian'xing'fang'cheng'zu
线性渐变,xian'xing'jian'bian
线性滤镜,xian'xing'lv'jing
线性内插多贴图滤镜,xian'xing'nei'cha'duo'tie'tu'lv'jing
线形内插值,xian'xing'nei'cha'zhi
现行设置,xian'xing'she'zhi
线形衰减,xian'xing'shuai'jian
现行位置,xian'xing'wei'zhi
线性纹理过滤,xian'xing'wen'li'guo'lv
现行选中菜单,xian'xing'xuan'zhong'cai'dan
现行选中项,xian'xing'xuan'zhong'xiang
现行选中项目,xian'xing'xuan'zhong'xiang'mu
线性烟雾效果,xian'xing'yan'wu'xiao'guo
现行用户,xian'xing'yong'hu
现行子夹,xian'xing'zi'jia
限制边界,xian'zhi'bian'jie
线质量,xian'zhi'liang
限制上传速度,xian'zhi'shang'chuan'su'du
限制速度,xian'zhi'su'du
限制下载速度,xian'zhi'xia'zai'su'du
先左右横向分页,xian'zuo'you'heng'xiang'fen'ye
先左右横向分页并重复锁定列,xian'zuo'you'heng'xiang'fen'ye'bing'chong'fu'suo'ding'lie
相乘,xiang'cheng
相除,xiang'chu
相等,xiang'deng
相等时覆盖,xiang'deng'shi'fu'gai
相对移动,xiang'dui'yi'dong
相关,xiang'guan
相关函数,xiang'guan'han'shu
向后查找,xiang'hou'cha'zhao
向后搜索,xiang'hou'sou'suo
相加,xiang'jia
相减,xiang'jian
相交信息,xiang'jiao'xin'xi
项目,xiang'mu
项目被双击,xiang'mu'bei'shuang'ji
项目被选择,xiang'mu'bei'xuan'ze
项目被右击,xiang'mu'bei'you'ji
项目符引导,xiang'mu'fu'yin'dao
项目列表图片组,xiang'mu'lie'biao'tu'pian'zu
项目列数,xiang'mu'lie'shu
项目名称被改变,xiang'mu'ming'cheng'bei'gai'bian
项目是否已禁止,xiang'mu'shi'fou'yi'jin'zhi
项目是否已隐藏,xiang'mu'shi'fou'yi'yin'cang
项目数量,xiang'mu'shu'liang
项目数值,xiang'mu'shu'zhi
项目图标图片组,xiang'mu'tu'biao'tu'pian'zu
项目文本色,xiang'mu'wen'ben'se
项目悬停文本色,xiang'mu'xuan'ting'wen'ben'se
项目选中文本色,xiang'mu'xuan'zhong'wen'ben'se
项目字体,xiang'mu'zi'ti
橡皮,xiang'pi
向前查找,xiang'qian'cha'zhao
向前搜索,xiang'qian'sou'suo
向前移动,xiang'qian'yi'dong
镶嵌因子,xiang'qian'yin'zi
向上,xiang'shang
向上箭头,xiang'shang'jian'tou
向上移动,xiang'shang'yi'dong
像素,xiang'su
像素格式,xiang'su'ge'shi
像素类型,xiang'su'lei'xing
像素缩放,xiang'su'suo'fang
像素转换为单位,xiang'su'zhuan'huan'wei'dan'wei
像素状态,xiang'su'zhuang'tai
像素着色器,xiang'su'zhuo'se'qi
像素着色器版本,xiang'su'zhuo'se'qi'ban'ben
向纹理约束,xiang'wen'li'yue'shu
向下,xiang'xia
向下查找,xiang'xia'cha'zhao
向下箭头,xiang'xia'jian'tou
向下三角形,xiang'xia'san'jiao'xing
向下移动,xiang'xia'yi'dong
响应表头被单击,xiang'ying'biao'tou'bei'dan'ji
小报,xiao'bao
小初,xiao'chu
小点,xiao'dian
小二,xiao'er
小寒,xiao'han
小号纸盒,xiao'hao'zhi'he
销毁,xiao'hui
销毁局部引用,xiao'hui'ju'bu'yin'yong
销毁全局引用,xiao'hui'quan'ju'yin'yong
销毁声音,xiao'hui'sheng'yin
销毁所有物体,xiao'hui'suo'you'wu'ti
销毁物体,xiao'hui'wu'ti
笑脸,xiao'lian
小六,xiao'liu
小满,xiao'man
小三,xiao'san
小时,xiao'shi
小暑,xiao'shu
小数位数,xiao'shu'wei'shu
小数型,xiao'shu'xing
小四,xiao'si
小五,xiao'wu
消息操作,xiao'xi'cao'zuo
消息过滤钩子,xiao'xi'guo'lv'gou'zi
小写字母,xiao'xie'zi'mu
小雪,xiao'xue
效验码,xiao'yan'ma
小一,xiao'yi
小于,xiao'yu
小于等于,xiao'yu'deng'yu
小于等于时覆盖,xiao'yu'deng'yu'shi'fu'gai
小于或等于,xiao'yu'huo'deng'yu
小于时覆盖,xiao'yu'shi'fu'gai
斜边,xie'bian
写出,xie'chu
写出程序,xie'chu'cheng'xu
写出缓存,xie'chu'huan'cun
写出所有缓存,xie'chu'suo'you'huan'cun
写出文本,xie'chu'wen'ben
写出字节集,xie'chu'zi'jie'ji
写单精度,xie'dan'jing'du
写到内存,xie'dao'nei'cun
写到文件,xie'dao'wen'jian
斜杠键,xie'gang'jian
写环境变量,xie'huan'jing'bian'liang
写回服务器模式,xie'hui'fu'wu'qi'mo'shi
斜交叉线,xie'jiao'cha'xian
斜接处半斜角,xie'jie'chu'ban'xie'jiao
斜接处半圆形,xie'jie'chu'ban'yuan'xing
斜接处正常,xie'jie'chu'zheng'chang
写逻辑值,xie'luo'ji'zhi
写命名管道,xie'ming'ming'guan'dao
写配置项,xie'pei'zhi'xiang
写区域文字,xie'qu'yu'wen'zi
写日期时间,xie'ri'qi'shi'jian
写入磁盘,xie'ru'ci'pan
写入顶点数据,xie'ru'ding'dian'shu'ju
写入数据,xie'ru'shu'ju
写入属性数据,xie'ru'shu'xing'shu'ju
写入索引数据,xie'ru'suo'yin'shu'ju
写入无法确定,xie'ru'wu'fa'que'ding
斜上,xie'shang
写数据,xie'shu'ju
写属性,xie'shu'xing
写双精度,xie'shuang'jing'du
斜体,xie'ti
写文本,xie'wen'ben
写文本行,xie'wen'ben'xing
写文字,xie'wen'zi
斜下,xie'xia
斜线,xie'xian
协议,xie'yi
协议版本,xie'yi'ban'ben
协议地址长度,xie'yi'di'zhi'chang'du
协议类型,xie'yi'lei'xing
协议类型常量,xie'yi'lei'xing'chang'liang
写邮件,xie'you'jian
卸载,xie'zai
卸载全局钩子,xie'zai'quan'ju'gou'zi
卸载图片,xie'zai'tu'pian
写整数,xie'zheng'shu
写注册项,xie'zhu'ce'xiang
写字段,xie'zi'duan
写字段值,xie'zi'duan'zhi
写字节集,xie'zi'jie'ji
写字节集字段,xie'zi'jie'ji'zi'duan
信封纸盒,xin'feng'zhi'he
信号,xin'hao
信号操作,xin'hao'cao'zuo
新建,xin'jian
新建幻灯片,xin'jian'huan'deng'pian
新建索引,xin'jian'suo'yin
新建文件,xin'jian'wen'jian
新文档,xin'wen'dang
新文稿,xin'wen'gao
信息,xin'xi
信息图标,xin'xi'tu'biao
信息已获取,xin'xi'yi'huo'qu
新下载线程启动,xin'xia'zai'xian'cheng'qi'dong
新增,xin'zeng
新增表格,xin'zeng'biao'ge
信纸,xin'zhi
行斑马线,xing'ban'ma'xian
行被删除,xing'bei'shan'chu
行被移动,xing'bei'yi'dong
形变,xing'bian
形变创建,xing'bian'chuang'jian
形变取图形,xing'bian'qu'tu'xing
形变销毁,xing'bian'xiao'hui
行范围,xing'fan'wei
行改变值,xing'gai'bian'zhi
型号,xing'hao
行结束标志,xing'jie'shu'biao'zhi
星期,xing'qi
星期几,xing'qi'ji
行是否可视,xing'shi'fou'ke'shi
行为,xing'wei
行线宽度,xing'xian'kuan'du
行线颜色,xing'xian'yan'se
行折叠,xing'zhe'die
行政用纸,xing'zheng'yong'zhi
形状动画效果,xing'zhuang'dong'hua'xiao'guo
形状组动画方式,xing'zhuang'zu'dong'hua'fang'shi
行字符数,xing'zi'fu'shu
修订接口,xiu'ding'jie'kou
修改,xiu'gai
修改变换矩阵公式,xiu'gai'bian'huan'ju'zhen'gong'shi
修改表,xiu'gai'biao
修改程序,xiu'gai'cheng'xu
修改当前节点,xiu'gai'dang'qian'jie'dian
修改二进制值,xiu'gai'er'jin'zhi'zhi
修改节点,xiu'gai'jie'dian
修改节点名,xiu'gai'jie'dian'ming
修改节点值,xiu'gai'jie'dian'zhi
修改属性,xiu'gai'shu'xing
修改属性名,xiu'gai'shu'xing'ming
修改属性值,xiu'gai'shu'xing'zhi
修改项目,xiu'gai'xiang'mu
修改用户,xiu'gai'yong'hu
修改字段,xiu'gai'zi'duan
休眠,xiu'mian
续传,xu'chuan
序号,xu'hao
序号到字段名,xu'hao'dao'zi'duan'ming
序列光标,xu'lie'guang'biao
序列号,xu'lie'hao
序列数,xu'lie'shu
虚拟机,xu'ni'ji
虚尾箭头,xu'wei'jian'tou
虚线,xu'xian
需要动态内存,xu'yao'dong'tai'nei'cun
选定,xuan'ding
选定对象,xuan'ding'dui'xiang
选定来源,xuan'ding'lai'yuan
选定页,xuan'ding'ye
渲染目标,xuan'ran'mu'biao
渲染目标页面,xuan'ran'mu'biao'ye'mian
渲染索引图元,xuan'ran'suo'yin'tu'yuan
渲染图元,xuan'ran'tu'yuan
渲染状态,xuan'ran'zhuang'tai
渲染状态值,xuan'ran'zhuang'tai'zhi
选项,xuan'xiang
选项和填充,xuan'xiang'he'tian'chong
选择,xuan'ze
选择被改变,xuan'ze'bei'gai'bian
选择表项,xuan'ze'biao'xiang
选择长度,xuan'ze'chang'du
选择窗口打开,xuan'ze'chuang'kou'da'kai
选择窗口关闭,xuan'ze'chuang'kou'guan'bi
选择打印机,xuan'ze'da'yin'ji
选择地址成功,xuan'ze'di'zhi'cheng'gong
选择地址失败,xuan'ze'di'zhi'shi'bai
选择行列数改变,xuan'ze'hang'lie'shu'gai'bian
选择夹,xuan'ze'jia
选择矩阵模式,xuan'ze'ju'zhen'mo'shi
选择库,xuan'ze'ku
选择框,xuan'ze'kuang
选择框方式,xuan'ze'kuang'fang'shi
选择列表框,xuan'ze'lie'biao'kuang
选择起始位置,xuan'ze'qi'shi'wei'zhi
选择区被改变,xuan'ze'qu'bei'gai'bian
选择区背景,xuan'ze'qu'bei'jing
选择区文字颜色,xuan'ze'qu'wen'zi'yan'se
选择区域,xuan'ze'qu'yu
选择日期被改变,xuan'ze'ri'qi'bei'gai'bian
选择输入设备,xuan'ze'shu'ru'she'bei
选择所有文本,xuan'ze'suo'you'wen'ben
选择文本,xuan'ze'wen'ben
选择文本背景色,xuan'ze'wen'ben'bei'jing'se
选择文本前景色,xuan'ze'wen'ben'qian'jing'se
选择文件被改变,xuan'ze'wen'jian'bei'gai'bian
选择文件夹,xuan'ze'wen'jian'jia
选择项目,xuan'ze'xiang'mu
选择像素格式,xuan'ze'xiang'su'ge'shi
选择型,xuan'ze'xing
选择序号成功,xuan'ze'xu'hao'cheng'gong
选择掩码,xuan'ze'yan'ma
选择颜色对话框,xuan'ze'yan'se'dui'hua'kuang
选择整行,xuan'ze'zheng'hang
选择字符数,xuan'ze'zi'fu'shu
选择字体,xuan'ze'zi'ti
选中背景色,xuan'zhong'bei'jing'se
选中表格被改变,xuan'zhong'biao'ge'bei'gai'bian
选中标题颜色,xuan'zhong'biao'ti'yan'se
选中表头底色,xuan'zhong'biao'tou'di'se
选中对象可设置背景色,xuan'zhong'dui'xiang'ke'she'zhi'bei'jing'se
选中对象可设置前景色,xuan'zhong'dui'xiang'ke'she'zhi'qian'jing'se
选中对象可设置文字,xuan'zhong'dui'xiang'ke'she'zhi'wen'zi
选中对象可设置字体,xuan'zhong'dui'xiang'ke'she'zhi'zi'ti
选中格改变事件,xuan'zhong'ge'gai'bian'shi'jian
选中跟随滚动,xuan'zhong'gen'sui'gun'dong
选中行号,xuan'zhong'hang'hao
选中渐变起始色,xuan'zhong'jian'bian'qi'shi'se
选中列号,xuan'zhong'lie'hao
选中前景色,xuan'zhong'qian'jing'se
选中时匹配,xuan'zhong'shi'pi'pei
选中位图句柄,xuan'zhong'wei'tu'ju'bing
选中项,xuan'zhong'xiang
选中项被改变,xuan'zhong'xiang'bei'gai'bian
选中项目,xuan'zhong'xiang'mu
选中项数,xuan'zhong'xiang'shu
选中状态被改变,xuan'zhong'zhuang'tai'bei'gai'bian
旋转,xuan'zhuan
旋转饼图系列,xuan'zhuan'bing'tu'xi'lie
旋转度,xuan'zhuan'du
旋转跟随,xuan'zhuan'gen'sui
旋转字,xuan'zhuan'zi
循环播放声音,xun'huan'bo'fang'sheng'yin
循环打印,xun'huan'da'yin
循环放映,xun'huan'fang'ying
循环右移位,xun'huan'you'yi'wei
循环左移位,xun'huan'zuo'yi'wei
训练,xun'lian
询问创建,xun'wen'chuang'jian
询问删除,xun'wen'shan'chu
询问图标,xun'wen'tu'biao
寻找,xun'zhao
寻找重叠物体,xun'zhao'chong'die'wu'ti
寻找文本,xun'zhao'wen'ben
寻找文本对话框,xun'zhao'wen'ben'dui'hua'kuang
寻找文件,xun'zhao'wen'jian
寻找物体,xun'zhao'wu'ti
寻找字节集,xun'zhao'zi'jie'ji
寻找组件,xun'zhao'zu'jian
压入,ya'ru
压入方式,ya'ru'fang'shi
压入数据,ya'ru'shu'ju
压缩,ya'suo
压缩解压相关,ya'suo'jie'ya'xiang'guan
压缩解压支持库,ya'suo'jie'ya'zhi'chi'ku
压缩进度,ya'suo'jin'du
压缩空行,ya'suo'kong'hang
压缩数据,ya'suo'shu'ju
压缩一帧图像,ya'suo'yi'zhen'tu'xiang
延迟,yan'chi
演讲者放映,yan'jiang'zhe'fang'ying
掩码,yan'ma
掩码编辑框,yan'ma'bian'ji'kuang
延期,yan'qi
艳青,yan'qing
颜色,yan'se
颜色被改变,yan'se'bei'gai'bian
颜色操作参数二,yan'se'cao'zuo'can'shu'er
颜色操作参数三,yan'se'cao'zuo'can'shu'san
颜色操作参数一,yan'se'cao'zuo'can'shu'yi
颜色翻转,yan'se'fan'zhuan
颜色缓存位,yan'se'huan'cun'wei
颜色空间,yan'se'kong'jian
颜色类型,yan'se'lei'xing
颜色刷子,yan'se'shua'zi
颜色索引,yan'se'suo'yin
颜色通道操作,yan'se'tong'dao'cao'zuo
颜色透明混合,yan'se'tou'ming'hun'he
颜色位数,yan'se'wei'shu
颜色选择钮,yan'se'xuan'ze'niu
颜色选择器,yan'se'xuan'ze'qi
颜色组合框,yan'se'zu'he'kuang
延时,yan'shi
燕尾,yan'wei
燕尾箭头,yan'wei'jian'tou
烟雾结束范围,yan'wu'jie'shu'fan'wei
烟雾开始范围,yan'wu'kai'shi'fan'wei
烟雾模式,yan'wu'mo'shi
烟雾浓度,yan'wu'nong'du
烟雾效果,yan'wu'xiao'guo
烟雾效果公式,yan'wu'xiao'guo'gong'shi
烟雾颜色,yan'wu'yan'se
验证,yan'zheng
验证口令,yan'zheng'kou'ling
验证纹理和渲染状态,yan'zheng'wen'li'he'xuan'ran'zhuang'tai
验证用户名,yan'zheng'yong'hu'ming
演奏,yan'zou
样式,yang'shi
阳文,yang'wen
页被单击事件,ye'bei'dan'ji'shi'jian
页被双击事件,ye'bei'shuang'ji'shi'jian
页处理记录事件,ye'chu'li'ji'lu'shi'jian
页范围,ye'fan'wei
页分组,ye'fen'zu
页改变值,ye'gai'bian'zhi
页高,ye'gao
页行数,ye'hang'shu
页号位置,ye'hao'wei'zhi
页脚,ye'jiao
页脚距离,ye'jiao'ju'li
页结束脚本,ye'jie'shu'jiao'ben
页开始脚本,ye'kai'shi'jiao'ben
页宽,ye'kuan
页栏,ye'lan
页栏方向,ye'lan'fang'xiang
页栏间距,ye'lan'jian'ju
页栏数,ye'lan'shu
页栏显示方向枚举,ye'lan'xian'shi'fang'xiang'mei'ju
页眉,ye'mei
页眉距离,ye'mei'ju'li
页面,ye'mian
页面被改变,ye'mian'bei'gai'bian
页面边距,ye'mian'bian'ju
页面底色,ye'mian'di'se
页面翻转之后等待渲染命令,ye'mian'fan'zhuan'zhi'hou'deng'dai'xuan'ran'ming'ling
页面方向,ye'mian'fang'xiang
页面格式,ye'mian'ge'shi
页面行距,ye'mian'hang'ju
页面接口,ye'mian'jie'kou
页面解锁,ye'mian'jie'suo
页面空白高度,ye'mian'kong'bai'gao'du
页面模式,ye'mian'mo'shi
页面区顶边,ye'mian'qu'ding'bian
页面区高度,ye'mian'qu'gao'du
页面区宽度,ye'mian'qu'kuan'du
页面区左边,ye'mian'qu'zuo'bian
页面设置,ye'mian'she'zhi
页面设置对话框,ye'mian'she'zhi'dui'hua'kuang
页面信息,ye'mian'xin'xi
页面总数,ye'mian'zong'shu
页切分间隔,ye'qie'fen'jian'ge
页切分数,ye'qie'fen'shu
页数,ye'shu
一般,yi'ban
异步发送文本,yi'bu'fa'song'wen'ben
异步发送字节集,yi'bu'fa'song'zi'jie'ji
异步获取,yi'bu'huo'qu
异步获取非阻塞,yi'bu'huo'qu'fei'zu'se
异步获取数据,yi'bu'huo'qu'shu'ju
异步获取无阻塞,yi'bu'huo'qu'wu'zu'se
异步连接,yi'bu'lian'jie
异步执行,yi'bu'zhi'xing
异步执行命令,yi'bu'zhi'xing'ming'ling
已插入记录,yi'cha'ru'ji'lu
移出,yi'chu
移除,yi'chu
移出后放开,yi'chu'hou'fang'kai
一次镜像模式,yi'ci'jing'xiang'mo'shi
已打开,yi'da'kai
已打印份数,yi'da'yin'fen'shu
移到,yi'dao
移到文件首,yi'dao'wen'jian'shou
移到文件尾,yi'dao'wen'jian'wei
移动,yi'dong
移动表格,yi'dong'biao'ge
移动当前记录指针,yi'dong'dang'qian'ji'lu'zhi'zhen
移动到,yi'dong'dao
移动到首页,yi'dong'dao'shou'ye
移动到尾页,yi'dong'dao'wei'ye
移动读写位置,yi'dong'du'xie'wei'zhi
移动滚动条,yi'dong'gun'dong'tiao
移动绘画点,yi'dong'hui'hua'dian
移动记录之前,yi'dong'ji'lu'zhi'qian
移动列到最后,yi'dong'lie'dao'zui'hou
移动三维绘画点,yi'dong'san'wei'hui'hua'dian
移动时显示方式,yi'dong'shi'xian'shi'fang'shi
移动鼠标,yi'dong'shu'biao
移动文件,yi'dong'wen'jian
已断开,yi'duan'kai
一分钟,yi'fen'zhong
依附,yi'fu
一个,yi'ge
一个屏幕刷新周期,yi'ge'ping'mu'shua'xin'zhou'qi
一个纹理,yi'ge'wen'li
一个月,yi'ge'yue
已关闭,yi'guan'bi
一号,yi'hao
一号裁剪面,yi'hao'cai'jian'mian
一号光源,yi'hao'guang'yuan
异或笔,yi'huo'bi
一级分组行号,yi'ji'fen'zu'hang'hao
一级缓存大小,yi'ji'huan'cun'da'xiao
已激活,yi'ji'huo
已接收数据包,yi'jie'shou'shu'ju'bao
一阶微分方程,yi'jie'wei'fen'fang'cheng
已就绪,yi'jiu'xu
依据字段,yi'ju'zi'duan
已开始编辑,yi'kai'shi'bian'ji
已连接,yi'lian'jie
一秒,yi'miao
一年,yi'nian
易皮肤关闭皮肤,yi'pi'fu'guan'bi'pi'fu
易皮肤取背景色,yi'pi'fu'qu'bei'jing'se
易皮肤载入皮肤,yi'pi'fu'zai'ru'pi'fu
已取消,yi'qu'xiao
移入,yi'ru
已删除记录,yi'shan'chu'ji'lu
已刷新,yi'shua'xin
以太网目的地址,yi'tai'wang'mu'di'di'zhi
以太网头,yi'tai'wang'tou
以太网源地址,yi'tai'wang'yuan'di'zhi
已提交,yi'ti'jiao
一天,yi'tian
以填充,yi'tian'chong
已添加记录,yi'tian'jia'ji'lu
以图元文件格式拷贝到剪辑板,yi'tu'yuan'wen'jian'ge'shi'kao'bei'dao'jian'ji'ban
一维浮点型,yi'wei'fu'dian'xing
以位图格式拷贝到剪辑板,yi'wei'tu'ge'shi'kao'bei'dao'jian'ji'ban
一维纹理,yi'wei'wen'li
已下拉,yi'xia'la
